-0.06628-0.060901j -0.12565-0.106493j -0.00331218+0.114884j 0.0152507-0.0185705j 0.0249297+0.0397084j -0.0190841-0.0115928j -0.00652156+0.00684072j 0.0296614-0.0244126j 0.0145888-0.0218136j 0.0374826+0.0199665j 0.0147243-0.0103952j 0.0254792-0.062409j 0.00132569-0.0173558j 0.00153686+0.0149382j -0.00812313-0.00249385j -0.0111876+0.00160992j -0.00560136-0.0200693j -0.00949269+0.0349786j 0.00373634+0.0120987j 0.0167669-0.0174958j -0.0239189+0.00442898j -0.0204134+0.0320287j 0.00808874+0.0661964j -0.0522831-0.0108551j -0.00556959+0.00755842j -0.00332929+0.0073725j 0.00750043+0.00285215j -0.0210518-0.0128176j -0.0268255-0.0638466j 0.0365789-0.0203594j -0.0269245-0.00627388j 0.00326244+0.0158515j -0.00527684+0.00141953j 0.000974574-0.00943264j -0.0180863+0.0326935j 0.01006-0.0161518j -0.0475848-0.0695915j -0.000918887+0.00694028j -0.0252255-0.0292648j 0.012206+0.01571j 0.0148658-0.030484j 0.0114694-0.00600981j 0.000981829+0.0254713j -0.00151824-0.0485922j -0.0377344+0.0339111j -0.0074413+0.00552542j -0.00690147+0.00801763j 0.0210118-0.0027538j -0.0330595+0.0133888j -0.0164111-0.0183959j 0.0138738+0.00267451j 0.0196708-0.00526246j 0.0109097-0.00253033j 0.00377135-0.00406692j -0.0166038-0.00546248j -0.0108305+0.0280401j 0.0131901+0.0292676j -0.000257963-0.0278779j -0.0368921+0.00658315j 0.0259399+0.047858j 0.0197986+0.00826472j -0.0140276-0.0023162j 0.0247066+0.0330275j -0.0143791-0.000205124j 0.0272668-0.00602681j -0.0025489+0.000268952j 0.000724241+0.0068509j -0.0331018-0.0311204j -0.0167784+0.00278898j 0.00637816+0.0100336j -0.00171349+0.00745397j 0.00247507-0.0128705j -0.0124353+0.00210681j 0.06825-0.0266272j -0.0041979+0.00260698j 0.0302514-0.00138084j -0.0112115-0.0165289j -0.010956+0.0142009j -0.000405463-0.0311378j 0.0230513+0.0286325j -0.0233905-0.0276598j 0.0751807+0.00731536j 0.00635319+0.028036j 0.0221942+0.0160917j -0.0265257+0.0605468j -0.0307864-0.00624832j 0.0802812-0.0559475j -0.0125878+0.0285719j -0.0614394-0.0952784j -0.143568-0.0470002j 0.005457+0.0690327j -0.349272-0.167881j -0.0375381+0.283509j 0.0296314+0.0458724j 0.186064-0.115268j 
0.11731+0.0892544j -0.0816507-0.0524155j -0.0149093+0.036934j -0.0296387+0.118257j 0.0149693+0.026135j 0.0197932+0.0389229j -0.013144+0.0049219j 0.00287631-0.0546357j -0.00704134-0.013095j -0.00428888+0.0264596j 0.0193614+0.0253484j -0.0106305+0.0167462j 0.00786018+0.0156079j -0.0091215-0.00591739j 0.00698633-0.000944699j 0.021398-0.00345574j 0.010128-0.000947583j 0.00158191+0.00782998j -0.0256295+0.00145476j 0.00957146+0.0365441j 0.0281615-0.0170763j 0.0311715-0.0152264j -0.00667951-0.0203768j -0.0191469-0.041509j 0.0135471-0.00495065j -0.0133569-0.0091216j -0.0329335+0.0206598j 0.00382457-0.0355778j 0.0220259-0.0230869j -0.0122162+0.00724718j -0.0558801-0.0477942j 0.0145668+0.0237403j -0.00896781+0.0134868j 0.000224702+0.0168539j -0.025308+0.0195653j 0.0246398+0.0420042j 0.00624398-0.0279774j -0.00194952+0.00489358j -0.0245999-0.00671441j -0.00754402+0.0521723j 0.0330116+0.03038j 0.0296449-0.00895951j 0.0316497-0.00351291j 0.0418417-0.0230382j 0.0164195-0.0249815j -0.0144658+0.0079972j -0.00676858-0.00803515j -0.0177684+0.00423984j 0.0258487-0.0317238j 0.00949218+0.012536j 0.0358341-0.00537725j 0.0157108+0.000482169j -0.0385998+0.0227229j 0.0267192-0.0133158j 0.00269703+0.00580717j -0.00736298+0.00392796j 0.029918-0.0262855j 0.00136609+0.0510435j -0.0223555-0.01367j 0.0257224-0.0371013j -0.0285352-0.00902051j -0.02099+0.00719246j 0.0384945+0.019359j -0.0142203-0.00225569j 0.0061664-0.0231332j 0.0117762+0.000954337j 0.00103841-0.00681892j -0.0203662-0.00403225j -0.0276485-0.00741344j 0.00441633+0.0042593j -0.022334-0.00276322j 0.0166121-0.000843651j -0.00235871+0.0167424j 0.0204847+0.0101293j 0.006317-0.000772872j 0.0141557-0.00422018j -0.0128533-0.00965536j -0.016373-0.011009j 0.00951685-0.0059648j 0.0176742+0.00726711j -0.0120199-0.00675528j 0.0150647-0.0242475j -0.0499517-0.0425599j 0.00212604-0.00616103j -0.0363901-0.0426484j 0.00343122-0.0270826j 0.00329144+0.0303938j -0.0638464+0.0936217j 0.140362+0.0637931j 0.000555678-0.0958111j -0.109087-0.0299549j 0.0317024-0.26787j -0.370311-0.207909j 0.17315-0.133957j -0.0444383-0.0352331j 
-0.0897871+0.0294714j 0.120418-0.0210793j 0.0482046+0.00786446j -0.00131936-0.01961j -0.0193369+0.00525079j -0.0103025+0.0126103j -0.0299922-0.0367244j 0.00741103-0.019126j 0.0547577-0.00620239j -0.0326862-0.022916j 0.0230312-0.0390228j -0.000108275-0.0242255j 0.0540815-0.0272876j -0.00166822-0.0235189j 0.0184892+0.0325067j 0.0208262+3.60732e-05j 0.0716513-0.00823724j 0.0356707-0.00307263j -0.0197867-0.0136788j 0.000500408-0.056156j 0.0417129+0.0622639j 0.00353912+0.00753582j 0.0625134+0.00298077j 0.0342945+0.0321984j 0.0468234-0.00956628j 0.0118581+0.0214318j -0.0228968+0.00437362j 0.0469568+0.0148912j 0.0311149-0.00579965j 0.0679331-0.0427354j -0.00519925+0.0308313j -0.00799227-0.0151009j -0.0174199+0.00234443j 0.0112073-0.00474132j -0.0419708+0.00153681j -0.034659-0.0190051j 0.030229+0.0466165j -0.0588812+0.025001j 0.00354342+0.0479624j -0.0743289+0.02078j -0.00207991-0.043538j 0.0119803-0.0408304j -0.0278978-0.0250588j 0.0318782-0.00275361j -0.0262206+0.0257792j 0.0225233+0.022067j 0.0108783-0.0216005j -0.0221577-0.0201609j -0.0233672+0.0228099j 0.0264115+0.0398301j -0.0100527-0.00920059j -0.046725-0.0229355j -0.0718659-0.0119522j 0.00240759+0.0181386j 0.0261426+0.0574989j -0.0328319+0.036461j -0.0281621+0.00590406j 0.0317305-0.00917283j -0.0533447+0.0346652j -0.0587634+0.00968763j 0.0164671-0.0332452j 0.00144729-0.00964185j -0.0204122-0.0312615j 0.0384731+0.00145846j 0.0382028-0.0217406j -0.015094-0.00690372j 0.0252744-0.0123597j 0.0357731+0.0280956j -0.0240575-0.00385827j -0.000694233-0.0215898j -0.0625171-0.0173327j 0.0137147+0.0267777j 0.0414379+0.0187978j -0.0604503-0.0533197j 0.0371947+0.00942779j -0.0815188-0.0313522j -0.0731099+0.00648j 0.0120898+0.0797971j -0.0597793-0.0876079j -0.0592309+0.0333577j 0.127805+0.095643j -0.103801-0.0636932j -0.011967+0.0266138j -0.0349451-0.0555907j 0.0725871+0.000310488j 0.105901+0.0609558j 0.194326-0.0889488j -0.0915939+0.099803j -0.0730917+0.220783j -0.0298804+0.0264651j 0.000566801-0.0382958j 0.0526321+0.0925004j -0.178096+0.0618134j 0.0665845+0.0449215j 0.0877253-0.230947j 
-0.118249+0.0280222j -0.0661434+0.0325076j 0.0438904+0.00237204j 0.0806+0.0550373j 0.0404813+0.0302165j -0.0228846+0.013572j -0.0370257+0.0200491j 0.0245281+0.0583828j -0.0406247+0.0281482j 0.00999237+0.0176231j -0.0334766+0.0250349j -0.0264707+0.0193003j -0.000671738+0.0378296j 0.0495889+0.011994j -0.0291651-0.0143043j -0.0109921-0.0118096j 0.000695882+0.0274859j 0.018646+0.00246615j -0.00210339-0.000391513j 0.00475853+0.00665076j -0.0376236-0.00607559j -0.0405523-0.064047j 0.0261355+0.00596906j -0.00870102+0.0183062j 0.0454472+0.0994537j 0.0313389+0.00617026j 0.00607424+0.00338536j -0.0186325-0.00697306j 0.01973-0.0133192j 0.0218735+0.014047j -0.00762702-0.044265j -0.0197531-0.0237592j -0.0378915-0.00438349j 0.0620707+0.00739945j 0.0366036+0.00771559j -0.119027-0.0191763j 0.0358532+0.0436294j -0.0706337-0.0818874j 0.00185689+0.0382946j 0.00679255-0.0991446j 0.00948989-0.00174041j -0.00278515-0.0393002j -0.0167073-0.0531189j -0.0147455-0.0487918j -0.00326336-0.0265998j 0.051367+0.0386281j -0.000587049+0.0382666j 0.000202072+0.0101014j 0.0344351+0.00183244j 0.0166629+0.000144889j -0.0267577-0.052438j -0.042707-0.0341361j -0.0105194-0.00774458j -0.016814-0.0214081j -0.0299747-0.0716799j -0.0514966-0.0248919j -0.0280225-0.0425938j 0.0193384+0.00922378j -0.0402593+0.0235404j 0.0114012-0.0276132j 0.0183084+0.00612352j -0.0156298+0.00480452j 0.0250437-0.0174865j -0.0379554-0.011355j 0.0212072+0.0441361j -0.00278611+0.0182239j -0.000303654+0.0231636j -0.0613279+0.00437488j -0.0287561+0.0276945j 0.0477592+0.041728j -0.0183888-0.00015004j -0.0717075-0.0752298j 0.0686155+0.048149j -0.0602026-0.0507802j 0.0224039-0.0385414j 0.0295737-0.0278372j 0.0270195+0.00706686j -0.0489632+0.0296553j 0.0443217-0.0284776j -0.00646868-0.0316203j -0.0314659+0.103036j 0.0372618-0.0780597j -0.00823039-0.0489211j 0.0445545-0.00224019j 0.131663+0.115405j -0.0780368-0.0195578j -0.0442972+0.0588151j -0.208998+0.0198969j -0.229305-0.258754j 0.000516916+0.0328297j 0.0115112+0.0397824j 0.0255581+0.0353327j -0.0458007-0.0220647j 0.050129-0.155674j 0.0139359-0.0135126j 
0.00943556-0.0130208j -0.00757408+0.058279j -0.0527599-0.00333943j -0.065433-0.0567749j 0.0681665-0.0283193j -0.0837629-0.0583578j 0.00372134-0.0576858j -0.0603379-0.037471j -0.0928437-0.0630366j -0.0343347-0.0505322j -0.0160013-0.0174165j 0.0114268-0.0649647j -0.0104873-0.0633388j 0.0398286+0.026843j -0.0528496-0.0176256j 0.0364868+0.0115883j -0.0697206-0.00373557j -0.0390228-0.061478j -0.00407846-0.0278976j 0.0183829-0.00275099j -0.0992303-0.0946204j 0.0260961+0.0139869j -0.000593368-0.00596102j -0.0762091-0.0251889j -0.0103938-0.0320143j 0.0215429+0.0253999j -0.0430621+0.00245139j 0.0101527+0.0144866j -0.0315927-0.0254902j -0.0509468-0.0429439j -0.0199571+0.0511366j -0.0310631-0.0512265j 0.0547689-0.076217j 0.0274983+0.0310063j -0.0202594-0.0312547j 0.0134216-0.0920235j -0.00488781+0.0275243j -0.00896472-0.0259386j -0.0245147+0.0573967j -0.0470327-0.00806744j 0.023394+0.0258821j 0.0296502-0.0239416j 0.0431204+0.00135045j 0.0280963-0.00511908j -0.00200152-0.0103894j 0.00899674+0.00605193j -0.0395365+0.0243738j -0.0410776+0.0231213j 0.0389485+0.0550485j 0.0564822-0.0138254j 0.0164253+0.00509374j 0.0368035+0.0267976j -0.0247113+0.0445291j 0.000677038-0.0174292j -0.0408983-0.1002j -0.0614341-0.0931146j 0.0294745-0.0170642j -0.0559018-0.0321411j -0.0177668+0.0127389j -0.0245045-0.00833343j 0.0217198+0.0192258j 0.013805-0.00896398j 0.0404251+0.0071655j 0.0384357-0.00546434j -0.0448356+0.000132915j -0.0364537-0.0690774j 0.00291267-0.0122534j -0.0537354-0.0376441j 0.0267319-0.0387766j -0.0441152-0.00435766j 0.0105108+0.00763825j -0.0232318-0.0228489j -0.0123655+0.00725564j 0.0532491+0.00913846j -0.0348604-0.00709675j 0.0435726+0.0398559j 0.0839733+0.0932813j 0.0252567-0.0175718j 0.0135621+0.0249038j 0.0874501+0.0421024j -0.110851-0.0389387j -0.100304-0.0284628j -0.0211103+0.126254j -0.0151485-0.00391232j -0.0229946+0.0203031j 0.108031-0.0738692j 0.0051385-0.00164867j -0.0843267-0.0947409j -0.103001-0.0362664j -0.0246501+0.0197652j 0.0218051-0.0169353j 0.158981+0.0542611j -0.135881+0.0580407j 0.0581265-0.0691413j -0.0686352+0.0574975j 
-0.030183-0.0374684j -0.0373171+0.0019641j 0.00412926+0.0210503j -0.0290752-0.0231967j 0.0529938+0.0481658j 0.114976+0.0378172j 0.0706894+0.075022j -0.01809+0.0100833j 0.0749869-0.00725237j 0.0203837-0.0231343j 0.0641273+0.00731936j 0.0396108-0.0591756j 0.00786672-0.00370303j -0.0336732+0.0388388j -0.0522433-0.0655142j 0.0713747+0.0505638j 0.00688448-0.0291541j -0.0575815-0.0360543j -0.00474885+0.0662758j 0.00376872+0.00571413j 0.0416351-0.0507592j 0.0366908+0.00972414j -0.00465181-0.024339j -0.0480814-0.0113748j 0.0218197-0.036693j 0.0428078+0.0588055j -0.0312014-0.0305057j -0.0192563-0.0235493j 0.0664299+0.0670803j 0.0465608+0.0194704j -0.0329149-0.0169517j 0.0662864+0.116145j 0.0598672+0.0689184j 0.0504359+0.00356809j 0.0126838+0.0454046j 0.0266941+0.0354723j -0.0315298-0.00930253j 0.0446321+0.032704j -0.00813427-0.0321156j 0.0535326+0.0350494j 0.00100631-0.0245246j 0.0326906+0.0180043j 0.0693445+0.0161586j 0.0318778+0.00557679j -0.00384155+0.0362802j 0.0110295-0.0187734j -0.0119623+0.0138878j -0.0129098-0.0103282j 0.0216401+0.0393253j 0.0240299-0.0140365j 0.0178175+0.0175063j -0.0281228+0.0133259j -0.00748802-0.0264934j -0.000115243-0.0347559j 0.00415628-0.025206j -0.0255745-0.00327899j -0.0320478+0.0286811j 0.0152711+0.0121065j -0.0568688-0.00523401j -0.0367771-0.00426558j -0.00933254+0.00756642j -0.000743756+0.0233955j -0.0122354-0.0044583j 0.0337449-0.00427923j -0.0238216-0.0718411j 0.0389495+0.0685433j -0.0175566-0.0153511j 0.0512736+0.0067297j -0.00318746+0.00458976j 0.0628667+0.0127302j -0.0259273+0.00368849j -0.00567173-0.00900639j -0.0177802-0.0182115j -0.0708308+0.0223454j -0.0231916-0.0264973j -0.019633+0.0413934j -0.0530598-0.0406515j 0.0115745+0.00241582j -0.0885987+0.00889801j 0.0322242+0.0846785j -0.0425207-0.148091j 0.105197+0.007315j -0.208324-0.0592452j 0.0126437-0.00196356j -0.0915004-0.09173j 0.119849+0.172372j -0.0691085-0.0990981j -0.0817914-0.0771577j -0.106573-0.140264j -0.00667289+0.0579899j -0.114908+0.0447136j 0.0668975+0.0463533j 0.0427617+0.0247874j -0.0353866+0.0243132j -0.0251161+0.0540296j 
-0.0604795+0.0330176j 0.0569581-0.0140516j 0.0425742-0.0418516j 0.11178-0.000964303j 0.106322+0.0640662j -0.00355545-0.0156667j 0.0213762+0.0614117j 0.0371623+0.0948703j -0.0424257-0.0102023j -0.0451654-0.0753765j -0.028253+0.0454785j 0.0430973-0.0617368j -0.0170569+0.00423014j 0.0317232-0.0127789j -0.0753421-0.03084j -0.0165662-0.0151023j -0.0882882-0.0498643j -0.069933-0.0853742j 0.0172891+0.0130912j 0.030918+0.00387102j -0.122161-0.0985231j -0.010327+0.023218j -0.0178267+0.0274396j -0.058323-0.0215485j -0.0161773+0.00498858j 0.0166169-0.0179478j -0.0034099-0.00821075j -0.018786+0.00576528j 0.0115037-0.0562525j 0.0352867+0.0168376j 0.0569212+0.0133671j -0.0202021+0.0280374j 0.0277177-0.00886104j -0.0624933-0.0603312j -0.00470734+0.0253307j -0.0173445+0.0705183j -0.0714598-0.0513424j 0.00731507+0.000726452j -0.0320783+0.0442811j 0.00397169+0.0129583j -0.0220613+0.0170146j 0.0052193+0.00253221j 0.041008+0.0422591j -0.0150278+0.0291472j -0.0217925+0.0482338j 0.0121701-0.0168908j 0.0237078+0.0364481j 0.0485854+0.0197706j -0.0741319-0.040356j -0.0673929+0.0158847j 0.0174786+0.0114949j 0.0250033+0.036181j 0.028765-0.0227874j -0.00474514+0.0257769j 0.0257238+0.0325564j 0.00895055+0.0376568j -0.0444686+0.0248755j 0.00716859+0.0411538j 0.0337868+0.0526113j 0.0312103-0.00368472j 0.0957124-0.000466058j 0.019167+0.015773j -0.0487701-0.00898479j -0.0314345-0.0252759j -0.0327431-0.00809051j 0.00818492+0.0130563j -0.0113002+0.0121323j -0.0746218-0.0493566j 0.0147631+0.0202281j -0.0206634-0.024487j 0.0112142+0.00751397j 0.0169362+0.0390784j 0.040202-0.045682j -0.0224586+0.0250292j 0.0581173+0.00399885j -0.0269542-0.0297906j -0.0992354-0.0842894j -0.0191762-0.0353816j 0.0443884+0.00935581j -0.048945+0.0409586j -0.0773579-0.0465525j -0.05328-0.186825j 0.129787+0.159214j -0.0187123-0.00960915j -0.057472+0.0469976j 0.120893+0.0465241j -0.0349201+0.0141469j 0.074253+0.0959986j 0.0366373+0.0769664j -0.111745+0.0237184j 0.0173834-0.0547766j -0.019447-0.0778619j 0.0534452-0.145593j -0.0576616+0.0524212j 0.0265587-0.0281819j 
0.039558+0.032244j -0.042413+0.0253972j 0.0638441-0.00443859j 0.0865515-0.00991107j -0.017786-0.0657831j 0.00849027+0.00708712j -0.025609-0.0400607j -0.000760514-0.029153j -0.0302233+0.0907478j -0.0277176-0.00909584j -0.0140028-0.0635535j 0.0347659-0.0169575j -0.0374665-0.0511227j 0.0349368-0.0250228j 0.0319998+0.0605515j -0.0438479-0.0352164j -0.0348515-0.0144962j -0.0119747-0.0250902j -0.112027-0.08605j 0.0340098-0.0239845j -0.0138322+0.0154776j -0.0188513-0.0115929j -0.00104225+0.00338027j 0.0600436-0.0401001j -0.00948003-0.0206037j -0.0449827+0.0221535j 0.0436676+0.0831164j -0.0409132+0.0315124j 0.0375116+0.0222733j 0.00172608-0.0252717j 0.0533985-0.0135898j -0.0396644-0.0542759j -0.0309227+0.00468588j 0.0566661+0.0124947j -0.0406996+0.00234842j -0.00200375-0.0462448j 0.0247863+0.0634899j 0.0431587-0.015986j 0.0144544+0.0142435j -0.0126147+0.0609004j 0.01077+0.056457j -0.0207829+0.018462j -0.0602411-0.016424j -0.0351267+0.043273j -0.0250976-0.0455637j -0.0201896+0.0166547j -0.015381-0.0307402j 0.0590969+0.0257898j 0.0200596+0.0147051j -0.00964969-0.0341633j -0.0322845+0.025363j 0.00879359+0.00917237j 0.12436-0.0368821j 0.0178786+0.0753778j -0.00386503-0.0172467j 0.049179-0.0418215j 0.0268476+0.0383353j 0.00740029-0.0657818j -0.00693334-0.00810462j 0.0123311+0.080116j 0.0120349-0.0133156j 0.0111523-0.0474853j -0.0325239-0.000906883j -0.048747-0.0513338j 0.0255402+0.0288641j 0.0194526-0.00849016j 0.000257479-0.0315168j 0.00984159+0.0214131j 0.0141858-0.0190449j 0.0109235+0.0393622j 0.00416225+0.0307903j -0.0256399-0.0349696j -0.0160135+0.018002j 0.0367905+0.0621576j -0.0370468+0.0112511j -0.0391789+0.0018114j 0.0155255-0.00227503j 0.000261665+0.00697455j -0.0270475-0.0325982j -0.0115345-0.000614802j 0.0520895+0.0667494j 0.0353366+0.0308308j 0.132641-0.0255731j -0.00498727+0.0157461j -0.0309027+0.025912j -0.0859436-0.0569847j -0.00176259-0.050519j 0.00161168-0.0767943j 0.0553228+0.0244294j 0.064961-0.0551415j 0.0571358-0.0199306j 0.103061+0.0296202j 0.0542105-0.0085853j -0.193353+0.0809741j 0.0100391+0.244164j 
-0.0332195+0.0560874j -0.0338549-0.0039016j 0.0501258-0.0294178j -0.0206103-0.0348626j 0.0433726-0.00180311j 0.0853622+0.0519001j -0.0289644-0.000147537j -0.129975-0.0178237j 0.0770867+0.022808j 0.0443433-0.0205543j 0.0154032+0.0631124j 0.00899161+0.048001j -0.0340042+0.0171559j -0.0396522+0.0518646j 0.0378007-0.00989894j 0.0521618+0.0820273j -0.0782737-0.0141198j -0.0462181+0.104236j 0.0752985+0.018278j -0.0116439+0.0234725j 0.158818-0.0288352j -0.0796059+0.00945521j -0.00747299+0.0359848j 0.107024+0.0109463j 0.0197955-0.0175408j -0.00485216+0.0223425j 0.0116101+0.0252201j 0.0252994-0.0154939j 0.0324472+0.0472246j -0.0227529+0.0509922j -0.0331543+0.0387607j 0.0514683+0.0130583j -0.0308346-0.0140158j -0.015725+0.0293944j -0.0860919-0.0579703j 0.00597661+0.0121398j 0.0221651+0.000430335j 0.0238392+0.01463j 0.0476123-0.028017j -0.0140397+0.0133658j -0.0179478+0.017005j -0.0219314+0.00401063j -0.0463105-0.0437559j -0.00487615-0.0117402j 0.0200227-0.0727082j 0.0303329+0.027055j 0.0213599-0.0423463j -0.0146323-0.0131752j -0.0108177-0.0395684j 0.0150421+0.029714j -0.0577948-0.0108904j 0.00846256-0.020906j 0.0474234+0.0105359j -0.0330962-0.023425j -0.00157472-0.00721437j 0.0625093-0.00478081j -0.0294924-0.0446718j 0.0494904+0.0340272j -0.00662783-0.000339941j 0.0227657-0.0298806j -0.0102338-0.000637798j -0.00880486-0.00365215j -0.0102481+0.00847475j -0.00118928+0.0206215j 0.00308623+0.00752391j 0.0146788+0.0543938j -0.0239962-0.0227048j 0.0373821-0.00885946j -0.00124121+0.0127504j 0.0165356+0.0046203j 0.0371994-0.018009j -0.00754739-0.0210215j -0.0120462+0.0143524j -0.111186-0.0315065j 0.0109617-0.0015481j -0.0164722-0.0578658j 0.0542094-0.043599j 0.0352147+0.0160539j 0.055546-0.075834j -0.00858289-0.00418071j 0.0263575+0.0246735j 0.0981158+0.000145761j -0.0378227+0.00577348j -0.00557272-0.00775909j 0.000338904-0.00650515j -0.028415+0.0184404j 0.00374558+0.0931337j 0.000909686-0.0465478j -0.0310819-0.0533796j 0.090679-0.0253986j -0.00845133+0.0437692j 0.0362365+0.00657952j -0.0858607-0.0538121j -0.0218665-0.167605j -0.104963+0.0519639j 
-0.0440213+0.0438075j 0.0215733+0.040413j -0.00550213+0.0699513j 0.0216673-0.0359294j 0.00519937-0.0314215j -0.045268+0.00143794j -0.0797031-0.00614498j 0.0259259-0.0327077j -0.0507228-0.0433238j 0.0695952+0.0110086j 0.0113434-0.0385814j -0.00407458-0.0297159j -0.0284494+0.081155j 0.030228+0.0960577j 0.0211394+0.0627772j 0.000763852-0.090004j 0.23637+0.0954399j 0.0785224+0.0646247j -0.0280922-0.0314129j 0.0273394+0.0608052j 0.0554927+0.0738606j -0.0534985-0.0467472j -0.0425049-0.0610682j -0.134383+0.0475043j 0.0140295+0.00325148j 0.127554+0.0212183j -0.100134+0.00230473j 0.0055351-0.0487705j 0.0170549-0.00233383j -0.0100999+0.0384904j 0.0127261+0.0209298j -0.0716926-0.1408j -0.0190256-0.00634036j 0.0380704+0.0384856j -0.0204493+0.0350998j -0.0494422-0.0417884j 0.050855+0.0144846j -0.03395-0.0097349j 0.0437799-0.0354611j -0.023768-0.00977555j -0.0242708-0.0178272j -0.00220167-0.0372085j -0.00759441-0.0679375j -0.0251688-0.0138441j -0.0105124-0.0565193j 0.0180605+0.0117125j 0.0302978-0.00430935j -0.000337838+0.00279343j 0.00925128-0.02041j 0.0516567+0.0223584j -0.0226968-0.0458798j -0.0311855-0.0371677j 0.0353828+0.0234246j -0.0714656-0.0664991j -0.0146317+0.000310347j 0.00121447+0.00484279j -0.0448611-0.0755779j -0.00868007+0.0461489j 0.00492626+0.020681j 0.0199771-0.0689716j -0.04287+0.0033611j -0.0257258+0.00969752j 0.00958123-0.00236919j 0.0414289-0.0226211j -0.0223816+0.0187405j -0.035088+0.0284601j -0.0156836+0.0143219j -0.0290205-0.0131475j -0.0168613-0.0217778j -0.0301323-0.0423385j 0.0228629-0.0560325j 0.0268312+0.0299147j 0.0662499+0.0799394j -0.0188009+0.00821387j 0.0549397-0.00511309j 0.0736857+0.00196565j 0.066377-0.0467811j -0.00708033-0.00108705j -0.0138693+0.0343957j -0.014065-0.0643784j -0.0213553+0.00312516j 0.131033-0.00924915j -0.0104546+0.0403105j -0.0544482-0.0668782j -0.0603348-0.0372222j 0.0652382+0.0783988j -0.00546431+0.0398222j 0.0832099-0.0161838j 0.0446774+0.0292877j -0.0478734+0.0104836j -0.0627299+0.0518998j -0.0514755-0.0316043j 0.0843104-0.0908728j -0.0158225-0.122397j -0.0530475+0.00983281j 
0.0154226-0.00520454j -0.00703444-0.00954621j -0.0816676+0.00326054j -0.0436711-0.00360522j 0.131099-0.125458j 0.140715+0.0430074j -0.0170838-0.0439988j -0.0182921+0.0249834j 0.147606+0.00633701j -0.00736863+0.00723108j 0.0374351-0.0700591j 0.138328-0.0636627j -0.0112759+0.0559467j -0.00231541+0.0306676j 0.0588049+0.0991184j 0.092803-0.0912518j 0.134528+0.0466503j 0.0420691+0.0185134j -0.134223-0.0842006j -0.0366658-0.00673907j 0.0524275+0.0413772j 0.0326506-0.0559698j 0.03492-0.00669609j -0.0761926+0.0166328j 0.0593536+0.0561276j 0.0930099+0.0272744j 0.00661963-0.00110252j 0.0442355+0.022295j 0.0274-0.0477624j -0.0462079-0.0295747j -0.0279416+0.000246521j -0.0729029-0.115466j 0.0759539-0.0474006j -0.0125335-0.0221129j 0.00791793+0.00200099j 0.0281754-0.0570843j -0.0377014+0.0312772j -0.0131034-0.0180592j 0.0164266+0.017125j -0.034023-0.0314712j 0.00123815+0.00857076j 0.021079-0.035612j 0.0314576-0.0265288j 0.0297494+0.0148872j 0.000528643+0.0230057j -0.0315861+0.0192907j -0.00124848-0.00392431j -0.00281893-0.008213j 0.00173807-0.00288776j 0.0381487+0.0354231j 0.0433662-0.00633588j -0.00165282+0.0474397j -0.0505047-0.0173988j 0.050223+0.0108479j -0.035129-0.0484198j -0.0235151-0.0334445j 0.00620658+0.0693861j -0.0131013-0.0096955j -0.00117263-0.00565646j -1.19085e-05+0.0357302j -0.0204086-0.0245439j -0.00228231+0.0435336j -0.0393444-0.00621675j 0.0421689-0.00852034j -0.00387738-0.0248995j 0.0385159-0.0147623j 0.0132478-0.0190972j 0.037582-0.00268651j 0.00303748+0.0305966j 0.0148179-0.0248143j -0.012257+0.0373019j -0.0250221-0.0130898j 0.00521563-0.0246437j 0.0104766+0.00213297j 0.0475661+0.0396069j -0.0167411+0.0339784j -0.0138129+0.0435877j -0.000908947+0.0563333j -0.0741329+0.0330904j 0.0322843+0.0193097j 0.0104943+0.0123319j -0.000357878-0.0161483j -0.0845565+0.0183662j -0.0109571-0.00416623j -0.0508531-0.0019025j 0.067291+0.0354311j -0.0186442-0.0367362j -0.00126987-0.0106382j 0.0299911-0.00266239j -0.0547676+0.0429367j -0.0988701-0.00609475j 0.0248174+0.00845768j -0.0386459+0.0276612j 0.0473534+0.106893j 0.0471754-0.0128152j 
