-0.0397362-0.00289061j -0.00259852+0.00735555j -0.00040876-0.00205102j 0.0566576+0.00131912j -0.0414634+0.00145501j -0.0446165+0.0057511j 0.0261899+0.00342359j 0.0201619-0.00201149j 0.038678-0.00955592j 0.0116345-0.00125384j 0.00456662-0.00467431j -0.0602457+0.00218396j -0.00295535+0.00361506j -0.0387391+0.00285393j 0.0313105+0.00121805j -0.00487429-0.00646996j -0.0161318+0.00478748j 0.034936-0.000174012j 0.0157807+0.000878269j -0.0209955+0.00723446j -0.0531757-0.00180124j -0.0157008-0.00429464j 0.0143511-0.000679437j -0.0667113+0.00388791j 0.0148051+0.00656001j 0.0167458+0.00842005j -0.010145-0.00559062j -0.0390496+0.00310193j -0.00552471-0.00239751j 0.0019926-9.48869e-05j -0.0327251+0.00201701j 0.0164616+0.000663801j -0.0309686-0.00453912j -0.0174999-0.00220839j -0.0217796-0.00643606j -0.0213895-0.00100343j 0.00636584+0.00106657j 0.026826+0.00191453j 0.0156904+0.0132846j 0.0104168-0.00545379j -0.0400753-0.00186341j -0.0125222-0.00174104j -0.0030484-0.00344494j 0.057925+0.00159235j -0.0592701-0.0125009j -0.00192075+0.00156566j 0.00250822-0.00453131j 0.0140487+0.00601547j -0.0270058-0.00547467j 0.0299235-0.00155825j -0.0479314-0.0119933j 0.00243719+0.00460255j -0.036839-0.0148957j 0.0416564+0.00112519j -0.0224382-0.00635667j -0.00548466+0.000401375j 0.0314068-0.0300565j -0.0159634-0.00877177j 0.00267856-0.00457528j -0.0138167-0.00138948j 0.0346959+0.00770254j -0.00454173+0.00879546j 0.0048877+0.0042553j -0.00511106+0.000470111j -0.0288089-0.00937456j 0.00948529-0.0111975j 0.0181782-0.00588058j 0.0214265-0.00187616j -0.00794997-0.00652588j 0.0114882+0.0100803j -0.00158125-0.00655832j -0.00889871+0.00735651j 0.00609797-0.0032632j -0.00430576+0.0136438j -0.0274533-0.00748049j -0.0139053-0.00482679j -0.00409628-0.00544283j 0.0203194+0.00788941j -0.00910235-0.000739573j 0.0198032-0.00755341j 0.00331859+0.0121077j -0.0143298-0.0128294j 0.012644+0.003974j 0.0011495-0.0161641j 0.0149837-0.00611441j 0.017507+0.0182243j 0.00519476-0.00113707j 0.0260643-0.0110762j 0.0185256+0.0416798j 0.157058-0.100872j 0.0422199+0.188007j 0.0434893-0.091607j 0.0844686+0.0186188j -0.0261703-0.246891j -0.255093+0.0259985j 
-0.00113554+0.0045632j 0.0326962+0.001318j 0.0515126+0.00065069j 0.00993559+0.00155377j -0.0140351+0.00857533j 0.0200211-0.00024796j 0.043803-0.00661376j 0.0286709-0.00364973j -0.0313502-0.00609656j -0.00457854-0.00677626j 0.00372681-0.00511772j 0.00530448+0.000865802j 0.0115947+0.00251021j 0.0124881+0.00107072j 0.00167828-0.00139561j -0.0158947-0.00153192j 0.034455-0.00346454j -0.0783901+0.00230204j 0.00700377-0.00472791j 0.0119641-0.00334446j -0.0574573+0.00294544j -0.00856707+0.00469691j -0.0201972+0.00100435j 0.0429763+0.00484214j 0.017729+0.00582752j 0.0330286+0.00184609j -0.0346967-0.00771161j 0.0177076+0.00300009j -0.0341186+0.00738806j -0.0131579+0.000482215j 0.00306919-0.00123602j 0.017479-0.00161145j -0.0285609+0.00515767j -0.00381587+0.00180338j 0.00446719+0.00266676j -0.00269012+0.00492542j 0.000380138+0.0013894j -0.016281-0.00370225j -0.0345761+0.00445567j 0.00518053+0.00203255j -0.00533509-0.00287881j 0.0173336+0.000294646j 0.0337828+0.00130584j -0.0351437-0.00399394j -0.0815676-0.0100802j -0.027222-0.00021857j -0.0508981-0.00368029j 0.0231762+0.00225414j -0.0162873-0.00755074j 0.0197627+0.00422615j 0.0134527-0.000359759j -0.00940626-0.0113476j 0.0561013+0.00656813j 0.00908026-0.00557491j -0.00577085+0.00869012j -0.00110875-0.00312224j -0.0172558-0.000379505j 0.00834761+0.00128894j 0.0110974+0.0052149j 0.0308628+0.00666575j 0.0173246+0.0153221j -0.00583141-0.00651254j -0.029016+0.00389719j 0.0328651+0.00368583j -0.0405188+0.00772452j -0.00932943+0.00564099j -0.00380649-0.000828488j -0.0026921+0.0110255j 0.0132531+0.00449546j -0.0012709-0.00712837j -0.0145822-0.000615198j 0.0156863-0.00556627j -0.0103577+0.0121398j 0.015131+0.0018771j 0.00879588+0.00859789j -0.00511067-0.00125103j -0.000107006+0.00401923j 0.00558286-0.0104523j -0.00157208-0.00259784j -0.0177161+0.00577495j -0.0166168-6.81311e-05j 0.000995026-0.0110738j -0.00635212+0.0210417j 0.0120376+0.000725473j -0.0126932+0.0115579j -0.0122112-0.0107867j 0.0424673-0.0249381j 0.00344164-0.0244285j -0.01831+0.0150775j 0.028677+0.183178j -0.156318+0.117893j 0.112146+0.0673401j -0.0150759+0.0669493j 0.257482-0.0298368j -0.0273295-0.251592j 
0.0244902-0.00271588j 0.0449398+0.00182435j -0.0198342+0.0053538j -0.043754+0.00706738j 0.0759616+0.000604126j 0.17025-0.00574484j -0.0224027-0.0114616j 0.0100772+0.00593437j 0.088282+0.0036473j -0.0706299+0.0135695j -0.0138516-0.00149744j -0.0240634-0.00284032j 0.0224793+0.00857695j -0.00122815-0.00275402j -0.0342122-0.00257102j 0.0503161+0.0118348j -0.042749-0.000865699j -0.0706332+0.00055248j 0.00755915+0.00370733j 0.0297423-0.0114462j 0.120283-0.0019302j -0.0137219+0.00690239j -0.0470616-0.0184505j -0.0414559+0.00737812j -0.0652081-0.0094111j -0.00345282-0.00268573j 0.00926954-0.00180221j 0.0303115+0.00227335j -0.106559-0.0163547j 0.00800432+0.00136555j 0.102854+0.00741622j -0.014202-0.00126101j -0.0797368+0.0141268j 0.0182179+0.000725952j 0.00861272-0.00890716j 0.0531532+0.00128752j -0.00447903+0.0328137j -0.0558733-0.00173081j -0.0176335-0.00488543j -0.0421843-0.00930831j 0.0173371-0.0180801j -0.0312084-0.00742131j -0.0214905+0.0174058j 0.0185589+0.0166795j -0.00736432+0.00083712j -0.0122847-0.00839289j -0.0471096-0.00785372j -0.0323684-0.00248753j 0.0167745+0.00708947j -0.0477689+0.00379462j -0.0182214+0.00286509j -0.0220226-0.00519933j -0.0426278+0.000720591j 0.00921437+0.020879j 0.0209861-0.0172051j 0.0400702+0.0151089j -0.0576276+0.0131541j 0.0320373+0.0203187j -0.0410635-0.00418145j 0.0149797+0.00129993j -0.0238599-0.0273117j 0.0174074+0.00312283j 0.00314313-0.0134064j -0.0127671+0.0103873j -0.0195092-0.0385076j -0.0207478-0.00193287j -0.0309692+0.00927258j -0.0441696-0.0120687j -0.0163781+0.00867491j 0.0162334+0.0105424j 0.000901059-0.000929503j 0.0347391-0.00438097j -0.031808-0.00525125j 0.0222736-0.0185011j -0.0264097-0.00495834j -0.0248671-0.0479082j -0.00561315-0.024223j 0.00908205+0.0254977j 0.00991654-0.010786j 0.0178932+0.00230434j 0.0451822+0.0451406j 0.0398629+0.0274849j -0.156384+0.0119286j -0.0225767+0.0316226j -0.0710272+0.063347j 0.065132-0.109828j 0.0106418+0.0308044j 0.0121163+0.0213288j -0.102531-0.0418693j 0.0770679-0.112547j -0.007113+0.0380873j -0.0352365+0.213898j -0.215848-0.0360038j 0.0348243-0.00340066j 0.016003-0.0545689j 
0.0511714-0.000199503j -0.0220383+0.00380716j -0.0466027+0.0152152j 0.0319691-0.0127187j 0.138353-0.0026569j -0.0617883+0.00198304j 0.00290457-0.0017174j -0.0575433+0.0141241j 0.0145048+0.00473758j -0.00692281-0.00301537j -0.0171551+0.00849494j 0.0288705+0.00595893j -0.00202321-0.0103917j 0.0654384-0.000725885j -0.102875-4.29777e-05j 0.0342784+0.00743971j -0.0182419+0.00205105j 0.0870082-0.0151853j -0.072365+0.00631102j 0.0605922+0.00124919j -0.0371176+0.00113313j 0.0250528+0.00459711j 0.017827-0.00877886j -0.104398-0.00513256j 0.0609155-0.0340867j -0.0729549+0.00980819j 0.06262-1.15764e-05j 0.0427386-0.00966432j 0.0577313-0.00704489j 0.0274676+0.000557515j -0.0058152+0.028882j -0.055181-0.000569809j -0.028375+0.0198985j 0.00797864+0.0160446j 0.0630234+0.00526176j 0.0417711+0.00646963j -0.102499-0.0187705j -0.00821377-0.0255582j -0.0375559-0.00389811j 0.0940645-0.00482643j 0.0096325+0.00477962j -0.067467-0.00123925j -0.10341-0.0021466j 0.000774079-0.0154922j 0.0500252-0.00726781j 0.0217248-0.014235j 0.00724114-0.00999932j -0.000774979+0.00509698j -0.0202786+0.0167572j 0.00113238-0.0243372j -0.0420825+0.0196104j 0.0160299+0.0158096j -0.0248007+0.0240439j -0.0376414-0.0105007j -0.0246509+0.0143834j 0.00281122-0.010149j -0.0284695-0.0153198j 0.0140173+0.00358656j -0.0323706-0.0127725j -0.00902028-0.0016734j 0.0165049-0.0442446j 0.00493527+0.0226339j 0.0541255-0.012313j 0.00386433-0.0126272j 0.0271563+5.3083e-05j -0.024089-0.000525407j -0.0203596-0.00986017j 0.0326856-0.0398954j -0.00379285-0.0162851j -0.00727892+0.00857307j -0.0138499+0.0190063j 0.0159323+0.0247302j 0.00467742-0.0155997j 0.0687055-0.00240542j -0.00637023-0.0027897j 0.0403054+0.00414788j 0.0286519-0.00989741j 0.0391958+0.0084288j 0.00123465+0.0146422j 0.0351499-0.0117473j -0.114603+0.0293301j -0.00532516+0.107699j -0.00994599-0.10694j -0.00567961-0.0106736j -0.0698857-0.0769905j 0.0756988+0.0123403j -0.00265932-0.0180622j 0.00133174+0.0071843j 0.0538817-0.101487j -0.00348705+0.0393549j 0.0160566+0.119489j -0.26157+0.000222254j 0.0246272-0.204957j -0.0300405+0.0614302j 0.0112993+0.0680813j 
-0.00706035+0.0147829j -0.00673957-0.000393509j -0.00722506-0.0165986j 0.0577815-0.0040272j -0.0262869-0.00506098j -0.0991866+0.00779382j 0.0538304+0.00593187j -0.0107381-0.0247453j 0.0595261+0.00291612j 0.0347756-0.00253919j 0.0242554+0.00848952j -0.0516112+0.000938999j -0.0326272-0.00990471j -0.0227281+0.00893633j -0.00672266-0.00372444j 0.0571571-0.0136889j -0.0402341+0.00359301j 0.0202304+0.00900992j 0.0416023+0.00461922j 0.00223094+0.0514422j -0.0908913+0.00885478j -0.0273811-0.0224711j 0.0639394+0.0291521j -0.145212-0.00268713j -0.048567+0.0143384j 0.0212088+0.0152386j 0.0315674+0.00585056j -0.0697732+0.0170787j -0.0166269+0.00484635j -0.0206695+0.0123224j -0.00456505+0.00868741j 0.0233035+0.00506735j -0.0539104-0.0153838j -0.0133736-0.00800879j -0.0295138-0.00405864j -0.0470576+0.0251052j -0.0726425+0.0105744j 0.0352498+0.0142451j 0.00505293-0.00710052j -0.00423962-0.0206781j -0.00990446+0.010248j -0.0260164-0.0474389j -0.052428-0.0465957j 0.00326689+0.0474638j -0.0266377+0.0943081j -0.00911011+0.00881098j 0.000409818+0.0361781j -0.00550627-0.0440341j 0.00405836+0.0146802j -0.0143867-0.0106327j -0.0412669-0.0136486j -0.00677441+0.00440957j -0.0187314-0.0531594j -0.00275279+0.0170973j -0.0182362+0.00751908j -0.0219795+0.000694391j -0.0329342+0.0315006j -0.0032831+0.00114919j 0.00743902-0.0248583j 0.0100419-0.0389764j 0.0273396-0.0124576j 0.00654821+0.00568778j 0.0219344+0.0416943j -0.0187134-0.0304899j -0.00608458+0.0384374j 0.0229671+0.0283592j 0.000861141+0.00960943j 0.0254382+0.0094734j -0.0212181-0.0105281j 0.00452783+0.00326746j 0.00240981+0.0142701j 0.000402383-0.0112663j 0.00882382-0.0011474j 0.00484421-0.00680572j -0.0103203-0.0112118j 0.0168213-0.0174025j -0.0197596+0.000487663j 0.000592284+0.0183525j 0.00726005+0.00171448j 0.00844682+0.0352065j -0.0343424+0.00421396j -0.0340857+0.0300969j 0.0360818-0.0111402j -0.00281222+0.0207601j 0.00543739+0.0243458j 0.0191662-0.0362144j -0.00258728+0.0134961j 0.019034+0.0307843j 0.0500799-0.03428j 0.245257+0.134233j 0.125433-0.0269264j 0.0400517-0.0493447j 0.0131345-0.0734299j 0.0399859-0.248899j -0.0762956-0.00931615j 
0.0157503-0.0129916j -0.00724827-0.0155986j 0.0255975-0.00861253j 0.0613466+0.0195867j -0.00811806+0.00182787j -0.0827392+0.00662975j 0.0721663+0.00418499j -0.0282584-0.00580341j -0.0558383-0.00333422j 0.0409965-0.0191091j 0.0227613-0.0122986j 0.020986-0.0266052j 0.00668993+0.0082533j 0.0588597-0.0126916j -0.041759+0.0165567j -0.0281585-0.0318598j 0.0735141-0.0081821j -0.0729263+0.026647j -0.0201509-0.021849j 0.0903803+0.00290314j -0.131684-0.00148277j -0.0381432-0.00196004j 0.00399244-0.0066012j 0.0163795+0.000712402j 0.110797+0.0777119j 0.0438746-0.0140285j -0.011761+0.00493807j 0.0564175+0.00959175j 0.00673798+0.0284722j 0.00767089+0.00439178j -0.00687655-0.0440649j 0.0217109-0.00800007j -0.0310189+0.00334027j -0.0272396-0.00981938j -0.0157757-0.00498228j 0.00479265+0.00824565j -0.00321791+0.0187686j 0.0169739+0.0199871j -0.0474407-0.00315542j -0.014606+0.0569929j 0.0393167-0.0418615j -0.0283095-0.0140225j -0.030135+0.0192014j -0.00596455+0.0405954j 0.00254934-0.050447j -0.0192805+0.00815454j -0.0199705+0.0121876j -0.0169732+0.0325858j -0.0158931-0.038944j 0.0297448+0.0468575j -0.0167469-0.027182j -0.00831066+0.0293338j -0.00011002-0.0114378j 0.00299119+0.039163j -0.0131269-0.0370618j 0.00260894-0.00294485j 0.00964789+0.0390881j 0.00109125-0.0183395j -0.00055671-0.00282492j -0.0117597-0.0241133j 0.02986+0.00462557j -0.00908862+0.00280093j 0.0273568-0.000128398j 0.00464445-0.00745435j 0.00909683-0.0296642j 0.024269-0.0103065j 0.00123928+0.0166361j 0.0267301-0.0027079j 0.0160556-0.00326477j -0.00968822+0.0197663j -0.00896638+0.00398397j -0.00493959+0.0079251j -0.00761502-0.0113936j 0.00871533+0.00787963j 0.0311936-0.0259654j 0.00488989-0.0138194j 0.0170038+0.00739962j -0.00841691+0.0443012j -0.00234236+0.000634572j -0.00866434-0.01136j -0.0482825-0.0122693j 0.0022016+0.0642903j 0.00390839-0.0352315j 0.0350835+0.002409j 0.00240187-0.0490925j -0.0485601+0.0176044j 0.0765321+0.0507106j -0.0025264+0.028222j 0.00424406-0.0521387j 0.121355-0.0309089j -0.2559-0.0854364j -0.0130247-0.0518437j -0.0214535+0.0340826j 0.0638415+0.0320254j 0.0436291-0.253173j 
0.00860787+0.0023134j -0.00221951+0.00749569j 0.0191868-0.00860237j 0.0214296+0.010534j -0.0267263-0.00327836j -0.0466204+0.0135101j -0.0041638+0.0132369j -0.0269672+0.000831278j -0.0697499-0.0127034j 0.011501-0.0417657j 0.0142855+0.0369199j -0.00189737+0.0098484j -0.0171626-0.0743297j 0.0304897+0.00228968j -0.0405877-0.00542761j 0.00995114-0.0160218j 0.00063184+0.00400259j 0.0244218-0.00342892j 0.00930736-0.0115487j -0.00192971+0.020381j 0.0229102-0.00156006j 0.00940889-0.0314903j -0.0256373+0.00780096j -0.00798891-0.0131962j -0.0418761+0.0314228j -0.0304065+0.00382432j 0.0137762+0.000297818j 0.0274616-0.00214909j 0.0176062+0.037307j 0.00513071+0.000621561j 0.0124385+0.0147083j 0.0209391-0.00434519j 0.0320278-0.0119145j 0.0246042-0.00996261j 0.0118045+0.00264792j 0.00120874+0.0323743j 0.0231096-0.0370614j 0.00198303-0.0109185j -0.00195396-0.0297833j -0.0256115+0.00122787j 0.0322739+0.000846939j -0.0088631-0.011627j 0.0130745-0.0131797j 0.00885312-0.0402987j -0.00328409-0.00683466j -0.0153537+0.0062022j 0.00939293+0.00266564j 0.00124636-0.000412353j 0.0172154+0.00957j -0.0097979-0.025055j 0.00765947+0.0187574j 0.00642662+0.0398842j -0.00250337+0.027709j -0.00430978+0.0295699j -0.00190252-0.0015498j -0.0293916+0.00898167j -0.0369084-0.0185737j 0.0131304-0.00991297j -0.0314901+0.0101366j 0.0175094+0.00905615j -0.00680395+0.0371055j 0.00721444-0.0138933j 0.000190263+0.0073035j 0.00990371+0.0158615j -0.00810498+0.0247012j -0.0273925-0.008084j 0.000925385-0.00697882j 0.012593+0.0147257j -0.00326028+0.0109721j 0.0254554-0.0127751j -0.009491-0.0245476j -0.0347154+0.00621385j -0.0365371+0.0264719j -0.0156867+0.0286855j 0.0122178-0.00781129j -0.00181757+0.0178628j -0.023174-0.00113413j 0.0149155+0.010887j -0.0173827-0.0306086j -0.00714718+0.0157269j 0.0336206-0.0539545j 0.00535313+0.00834696j -0.030564+0.0309224j -0.0182656+0.027619j -0.00813112-0.00229026j 0.0205424-0.0333213j -0.0155245-0.00981088j 0.0315084-0.013918j 0.0322709+0.0290432j -0.110987-0.0339808j 0.0154527+0.052767j -0.0176128+0.0257399j -0.0145025+0.00501468j -0.017219+0.0807843j 0.00767297+0.0651095j 
0.0377167+0.00828692j 0.0234181-0.00763184j -0.0017536-0.0205514j -0.0869527-0.000297735j 0.0462622-0.0101803j 0.0309845-0.00298512j -0.00905314-0.00590714j 0.083477+0.000673979j -0.0928482+0.00713311j -0.0122919+0.00924419j -0.0140622+0.00550072j 0.0390609+0.00766716j -0.0619653-0.0139081j -0.0583421-0.00738371j 0.0679903+0.00790072j -0.120601+0.00526756j 0.15955+0.000362662j 0.306237+0.00568528j 0.0221325+0.00902457j -0.0958431+0.00128047j 0.114757+0.00536691j 0.0267896-0.0124422j -0.0121752+0.00849567j 0.0256505-0.023563j -0.0798087+0.0165455j 0.00489496+0.00109886j -0.0305045+0.00469316j 0.0820299+0.0180613j -0.0427205+0.0272803j -0.00452066-0.000623642j 0.0291508+0.00913527j -0.0631828-0.0074209j -0.055146-0.0293198j -0.0176901-0.0118927j 0.115512-0.00908357j 0.0551131+0.039773j -0.0151822+0.0201814j -0.0665028+0.0117629j -0.0435031+0.0191902j 0.0398745-0.0104661j 0.0494739+0.025672j 0.0475341+0.0385255j -0.0663471-0.0112543j 0.0184133+0.0251526j 0.112325-0.000989957j 0.0357954+0.0327302j -0.0246111+0.0264588j 0.00896186-0.015404j 0.0107502-0.0223361j 0.0245479+0.00770113j 0.01299-0.0327192j -0.00183727+0.00080439j 0.0687101-0.0432983j 0.0512556+0.00539661j 0.0879675-0.0223778j 0.00789037+0.0395527j 0.0895678+0.0297451j 0.00369327+0.01525j 0.0283856+0.0129503j -0.011999-0.000140297j 0.0149744+0.0160584j -0.041933-0.0115173j -0.0284593+0.0207515j 0.057777+0.0140383j 0.028379-0.0223208j -0.0200071-0.00386092j 0.0271918-0.00817923j 0.0254462+0.00240023j 0.0132171-0.00612869j -0.0118376-0.0267564j -0.0131204-0.0130459j -0.0149821-0.000416487j 0.0488471+0.0151224j -0.0123622-0.00804921j -0.0236977-0.00206968j 0.0206999+0.0424833j 0.0522674+0.0243968j 0.0214248-0.110818j -0.0538631+0.00776014j 0.0940548-0.026132j -0.00116932+0.0738343j 0.0169135-0.0405955j 0.000601506-0.0642694j 0.024199-0.0119914j 0.0189422-0.0258047j -0.0187906-0.00318609j -0.180541+0.0197191j -0.0369817-0.140007j -0.0801885-0.0250597j 0.0785887+0.00280073j -0.00938173-0.0327311j -0.0188095-0.000891552j -0.0210987-0.0195282j 0.00708262-0.077666j 0.0116913-0.060779j 
0.011396-0.00750599j -0.0235604-0.00109328j 0.0248315+0.00350597j -0.0396081-0.00631113j -0.0990176-0.00224755j -0.0199887-0.0111177j -0.091534+0.0104138j -0.0522266+0.00293563j -0.133793+0.00107533j -0.097688+0.0044525j -0.0322454-0.0129175j -0.0892296-0.00270208j -0.039812+0.0355747j 0.00335823-0.00535957j -0.0290313+0.0173722j 0.0783317-0.0133556j -0.0896313+0.0109737j 0.0293953-0.0168078j 0.332335+0.00225808j -0.082025+0.0111755j -0.20519-0.0091458j 0.0910277+0.0212531j 0.0580951+0.0158032j -0.0387267-0.0235729j -0.00202289+0.00541708j -0.0897617+0.00106705j 0.0247282-0.0138461j 0.00286389+0.0105618j -0.0617185+0.00592275j -0.000401488-0.00720171j -0.0700518+0.0176928j 0.0144422+0.00202335j 0.0227868-0.00864989j 0.0257483-0.00315637j 0.00959009+0.0299387j -0.0363149-0.000783871j 0.00133315-0.00525129j 0.000641926-0.00799647j -0.0389027+0.00296044j 0.0698189+0.0447324j -0.0563453-0.00693086j -0.0539595+0.0160181j -0.0345845-0.00379742j 0.0386997+0.0128145j 0.0653852-0.00143929j 0.00679656+0.00636772j -0.0177192-0.021578j 0.0268587+0.0213324j 0.033061-0.00823877j -0.0068134+0.0176579j 0.0135194-0.000919822j -0.00430987-0.0136061j 0.0581551+0.00155763j 0.0735185+0.0270252j 0.012386+0.00622015j -0.0508636-0.00772753j 0.0210658+0.0166557j -0.0372388-0.0205812j -0.0516397-0.00200289j -0.0419592+0.0032231j -0.0541242-0.00825821j 0.0284705-0.00526792j -0.0269285-0.00792936j -0.0221083+0.0160878j 0.00756074-0.00123792j -0.00804555-0.0161701j -0.00238861+0.020039j -0.00985452+0.0175146j -0.0245577+0.0110991j 0.058962-0.0359063j 0.0171653-0.0154201j -0.00421427+0.00379713j -0.0249448+0.0287331j 0.00323975+0.0312598j -0.05046-0.00603591j -0.00472619+0.0198201j -0.0226375+0.05498j 0.0663226-0.0096307j 0.0665321-0.00369501j 0.0343408+0.0796783j -0.0327857+0.0331224j 0.0493247-0.0167637j 0.0651712-0.0248274j 0.0118655+0.0130215j 0.00136883+0.0623184j 0.019467+0.00481745j -0.00990145-0.119241j 0.13522-0.0221901j -0.0373243-0.0339994j -0.0258008-0.0548981j -0.0437627+0.00781799j -0.013004+0.00408727j 0.00301873+0.0215875j -0.0111916+0.0592754j -0.00188221-0.0397943j 
-0.0136297+0.000749062j 0.00507352-0.00575037j 0.0407182-0.00330895j -0.101394+0.0108993j -0.168342+0.00986311j 0.394932+0.0126936j -0.19444-0.0013429j -0.0929341-0.0160008j 0.0211984+0.00175671j -0.126738-0.0145595j 0.0574981+0.0121855j -0.161041+0.000867242j 0.0589016-0.01482j -0.0509251+0.00742753j 0.0306907-0.00863418j -0.00863544+0.00209018j -0.10748-0.00550937j -0.140666+0.0151941j 0.044643-0.00677289j -0.0236189+0.00360487j 0.201589+0.00717883j 0.0226335-0.0055328j 0.0151071+0.0105217j 0.0215791+0.0136157j 0.0109191-0.00625629j 0.0074643-0.0181517j -0.0126196-0.0139544j -0.0437918-0.0125711j -0.010208-0.0360493j -0.00963647+0.000961792j -0.00575034-0.00911505j 0.0226037+0.00224184j 0.00978165+0.0234204j 0.0200276-0.0290364j -0.0120964+0.0221327j -0.0212749-0.0248375j -0.0205869+0.0164405j 0.0147921+0.0332543j -0.00683867+0.00209006j 0.0671233-0.0239824j -0.0259682-0.00313892j 0.0110107+0.00184537j 0.0205465+0.00196933j 0.0301886-0.0105596j 0.029989-0.0130492j 0.0149399+0.0173593j -0.00933625+0.0265476j 0.0112705+0.000433833j -0.0158602+0.00186628j -0.0226058-0.0155731j 0.0053688+0.0123734j -0.00979278-0.0195666j -0.0186753-0.0540344j 0.021176+0.00296773j 0.0445294-0.0192594j 0.0213808-0.0446716j -0.000382634-0.0325774j 0.0332793-0.0359952j -0.00284156-0.00755613j 0.00420343-0.00494011j -0.0455359-0.0317872j -0.00596947+0.0125888j 0.0036188-0.00878177j -0.0349887-0.0220295j 0.0186632-0.0130966j -0.000815876-0.00467816j -0.0114832+0.00806224j -0.0365092-0.0144509j -0.0275273+0.00869539j 0.0035217+0.00285321j 0.0297899-0.0163641j 0.0161436-0.0122803j 0.00734949-0.0291745j 0.00119285-0.0170589j -0.00775856-0.00682576j -0.0163258+0.0119692j 0.0119442-0.00657107j -0.0187644-0.0186823j 0.0381051+0.0195606j -0.0334906-0.0310919j 0.00963529+0.100776j -0.0168015+0.019906j 0.0470662-0.067301j -0.00413548-0.026317j -0.0133587+0.0441691j -0.0266928+0.0562548j 0.0353626-0.0612191j -0.0135915+0.0522643j -0.11374+0.0349791j 0.0135594+0.000576758j -0.0157469+0.00819537j -0.0183474-0.00275237j 0.00492594+0.0186049j -0.00103008-0.0146777j -0.0117345-0.0387082j 
0.0308174+0.0185863j 0.0132294-0.00140892j -0.151577-0.00805652j -0.102719+0.00574603j 0.248172+0.0121234j 0.18956+0.000605481j -0.0797213-0.00848715j 0.14425-0.00333244j 0.255391+0.000112448j -0.0451207+0.0276516j -0.0338227-0.0151166j 0.124656+0.00746143j 0.0110681+0.0332672j -0.106523+0.0111559j 0.122178-0.00640781j -0.0193609+0.00247421j 0.0184902+0.0148319j -0.0373551-0.00203606j -0.0793687+0.00791243j 0.0434007+0.00936554j 0.00155185+0.0151099j -0.0540945-0.0316102j 0.0359603+0.0453859j 0.0245194-0.0132942j -0.00681509+0.0141436j 0.0388959+0.00650781j 0.0265559+0.000973939j 0.00323377+0.0242808j 0.00692182+0.0509327j -0.0305949+0.0099475j 0.0390066-0.0315216j -0.000587785-0.00812746j -0.05057-0.0423278j -0.0294614-0.0100792j 0.00799046+0.0070423j 0.0339221+0.00801928j -0.0267255-0.0190955j 0.00143222+0.0444955j 0.031253+7.18657e-05j -0.00496287+0.00524011j -0.0165615+0.0173033j 0.0506217-0.00313751j 0.030504+0.00349632j 0.0058089-0.0109185j 0.0421037+0.0164757j 0.0145358+0.00398978j 0.00308871+0.00948568j -0.0185144-0.00852745j -0.02853-0.034637j -0.00838243+0.019843j 0.0062445-0.022373j 0.0184086+0.00156536j -0.0386721-0.0102581j -0.0288928-0.0317374j -0.00121261-0.00999805j 0.0287663-0.00612004j -0.013201-0.00619657j 0.0164621+0.00485232j 0.0349856+0.00612254j 0.00405674-0.00550563j -0.00649723-0.00127926j -0.000103281+0.00553651j 0.00524627-0.000946407j 0.00550437+0.018972j -0.0175711-0.00147915j 0.0216051+0.00135372j 0.00537137-0.00761345j -0.0208176+0.0210191j -0.000262825-0.00137534j -0.0265322-0.000791923j 0.0102927+0.0137377j 0.0367529-0.00336973j 0.0401436-0.0171065j 0.00014593-0.0500972j -0.0169854+0.0314381j 0.00971884-0.00749209j -0.012501-0.0349455j -0.0276399-0.00371114j -0.0185149-0.00338901j 0.0120288-0.0139214j 0.025281-0.00309089j -0.0175327+0.00188339j -0.0290683+0.0121243j -0.00521144-0.0163837j 0.0060459-0.00681426j 0.00933722+0.0100452j 0.0126936+0.0296154j -0.044886-0.00431713j -0.0157778+0.0658713j -0.080607+0.03347j 0.0393897+0.0562372j -0.0138461+0.00334861j 0.00255317+0.0214931j 0.0124419+0.0279004j -0.00788603+0.0430885j 
