0.00511467+0.000446011j -0.000347958+0.00580535j 0.0016184+0.00654466j -0.0057534-0.00040534j 0.00133419+0.00157596j -0.00338268+0.00328449j -0.00593628-0.00192752j -0.000901328-0.00349512j -0.0022862+5.26843e-05j -0.00035147+0.00239341j 0.00428183-0.00100224j 0.00322883+0.000511774j -0.0012748+0.00328036j 0.000690925-0.00369598j -0.00126685-0.00075989j -0.00227124-0.000197162j -0.000154988+0.00143506j 0.00187932+4.81128e-07j 0.0021091-0.00133761j -0.0018018+0.000289182j 0.00120489-0.00138399j -0.00216033-0.0035875j 0.000409622+0.000866676j 0.00112218+0.000878837j 0.000939913-0.00104857j 0.000929594-0.00269184j 0.000576176+0.00189723j -0.00130185+7.09509e-05j 0.000564029-0.000359292j -0.00188361-0.000168577j -0.00015078+3.30181e-05j -0.000353881-0.000303199j 0.000609687-0.000154804j -0.000159192+0.00100375j 0.00096236-0.00220239j -0.000391534-0.000483042j -0.0011628-0.0024656j 0.00262428+0.00223568j -0.00091518-0.00219561j 0.00118959-0.00201257j -0.00262264+0.00194913j -0.000355739+0.00314585j -0.00106183-0.00272094j -0.00124471+0.00129321j 0.00357702+0.00128028j 0.000109279+0.000127689j 0.00168673+0.00376665j -0.000146385+0.00221115j 0.00356917-0.000324553j -0.000873184+0.00147306j 0.00199293-0.00108902j -0.000219956+0.000134377j -0.000499608-0.00304805j -0.00368452-0.00289941j -0.0158673+0.000828124j 0.00137237+0.0170419j 
-0.000293899+0.00656637j -0.00735083-0.000148925j -0.00682471+0.00181441j 3.09186e-05-0.00552281j -0.00190376+0.00139541j -0.00280975-0.00330602j 0.00176064-0.00503596j 0.00299759-0.00183423j -0.000622642-0.00280603j -0.0018042-0.000644848j 0.000924684+0.00426616j -0.000469415+0.00239739j -0.00199389-0.00165357j 0.00337632+2.05329e-05j 0.000538044-0.000735537j -0.000318352-0.00209652j -0.00162197-0.000918617j -0.000389802+0.00189311j 7.4236e-05+0.00136317j 8.81102e-05-0.00256908j 0.00137835+0.000476192j 0.00364283-0.00140482j -0.00105839-0.000118697j 0.000146077+8.32466e-06j 0.000905581+0.000383788j 0.0032653+0.00152989j -0.00208399-9.80079e-05j -0.000290889-0.000533837j 0.000287725-0.000375641j -1.1978e-05-0.0008742j -0.000313778-0.000592728j 3.00361e-05+0.000258566j -0.000482983-0.000439818j -0.00143513-0.000919266j 0.00278977+0.0017821j 0.000649003-0.000497052j 0.00271475-0.00138331j -0.00345003+0.00295311j 0.00327144-0.000635045j 0.00182759+0.0025653j -0.00186219-0.0036517j -0.00390121-0.00116308j 0.00350583-0.00109635j -0.00183414-0.00166825j -0.00188069+0.00507491j 0.000450664+0.000197455j -0.00451288+0.00140797j -0.0021363-0.000882593j 0.000819727+0.00304025j -0.00298657-0.00242717j -0.000533733+0.00372011j 0.000256653+0.000191545j 0.00346458-0.000701879j 0.00262165-0.0039612j 0.0018839-0.0162336j -0.017409-0.00204041j 
-0.00415219-0.00357885j 0.00575692-0.00487191j 0.00423619-0.00340304j -4.66386e-05+0.00231709j -0.00343419-0.00104837j 0.00303895-0.00231135j 0.000903197+0.0039727j -0.00123999-0.000536826j -0.00336946-0.000564379j 0.000195487-0.00353173j -0.00340303+0.00122454j -0.0018355-0.00101386j 0.00269795-0.000281661j 7.76654e-05+0.000497869j -0.00138202+0.00114872j -0.000986713+0.00242661j -0.00115865-0.00232973j -0.00175573-0.000119861j -0.00219962+3.53585e-05j -0.00131395-0.000154666j 0.00219237+0.00112228j -0.000839047+0.00210002j -2.59333e-05-0.000246475j 0.00278532-0.000904559j 0.000133702+0.00180734j -0.000785211+0.000398565j 0.00175815-0.00256494j -0.00198672-0.00224883j 0.000219264-0.000522172j -0.0012997-0.000828539j 0.000929871+0.00237754j 0.000994719+2.96963e-05j 0.00194338-0.00124517j 0.00150824-0.000320274j -0.00435863+0.00244031j 0.000249061+0.000436969j -0.00308339+0.00215906j -0.00299467-0.00198277j -0.00287387+0.00110257j 0.000204251+0.00231636j -0.000780649-0.000963606j 0.0035578-0.00210607j -0.00150028+0.00265622j 0.00158361-0.00035451j -0.00205419-0.000749337j 0.0032914+0.00110322j 0.00230263-0.00199232j -0.000912984-0.00153353j 0.00100051+0.000807375j -0.00045346-0.00206754j -0.00296653+0.00109614j 0.000941923-0.000744647j 0.00449021-0.00503944j -0.00901731-0.00463452j 0.00973925+0.00648648j 0.00937126-0.0088408j 
0.00549855-0.00582057j 0.00529631+0.00669351j 0.00243925+0.00426292j -0.00217024-0.000644678j 0.00107944-0.00286907j 0.00176014+0.00193423j -0.00316173+8.83359e-05j 0.000286285-5.59527e-05j -0.000325135-0.00252299j 0.00322243-0.000676525j -0.00129663-0.00272207j 0.000518013-0.00145856j -0.00134792+0.001867j -0.000449268+0.000473003j -0.00191163-0.00134674j -0.00228387-5.8372e-06j 0.000701673+0.000522307j -0.000143995-0.00213432j 0.00136618-0.0012868j -0.00215687-0.00111911j -0.000249908+0.00201488j -0.00167854+0.000673846j -0.000869456+0.00064509j -0.00148592+0.00191717j -0.00130139+0.000847361j -0.000845055-0.000769037j 0.0019511+0.00146647j 0.00157557-0.00232311j -0.0014822+0.00101804j 0.00117835-0.00193261j -0.00186195+0.00164001j 0.000298168+0.000918019j 0.000552522+0.00294279j -0.000281879+0.00222739j -0.00119529-0.00632672j 0.00138786-0.000543216j -0.000267521-0.0024051j 0.00317736-0.00339676j -0.00110508-0.00410796j -0.00140859+0.00152224j 0.00117484-0.00112434j 0.00085186+0.0042261j -0.00248635-0.00188204j 0.00181992+0.00210517j 0.0011804-0.00304338j -0.00100175+0.0030631j 0.00262695+0.00146567j 0.00259894-0.0011518j -0.000789347+0.00182268j 0.00132249+0.00157274j 0.000189318-0.000531369j 0.00257966+0.000216877j 0.00328311+0.00545849j 0.00638695-0.00772965j -0.00798314+0.00772376j 0.00812699+0.0102866j 
-0.00246594-0.00245109j 0.00300992-0.000242865j -0.00144215-0.000247685j 0.00339164-0.00399227j -0.00182277-0.00587201j 0.004238-0.00261283j 0.00208786-0.00137942j 0.00457932+0.00132407j 0.00187767-0.00677537j 0.00225881-0.00297635j -0.00502501+0.000661747j -0.00286831-0.000154787j -0.00294476-0.00127395j 0.00216925+0.0035766j 0.000612164-0.00135408j -0.00168211-0.00280624j 0.00086439-0.00339545j -0.00123156+0.000249163j -0.00100862+0.00127876j -0.000624706-0.00355157j -0.000441366+0.00551253j 0.0020094-0.00133777j -0.000140515-0.000580003j -0.000164275+0.00307789j -0.00145598+0.00239393j 0.00171381+0.000912098j 0.00102398+0.00112709j 0.00279255-0.00425226j 0.000476353+0.00158867j 0.00232297-0.00287802j -0.00176139+0.00159575j 0.00140392+0.00150818j 0.00188239+0.00376703j 0.000350229+0.000984718j -0.00268483-0.00187761j 0.000735563+0.000480985j 1.61718e-05-0.00273804j -0.0024224-0.00194669j -0.000209793-0.00253231j -0.000539374+0.0018899j 0.000969894-0.00486678j 0.000565446+0.00213791j 0.000700953-0.000612082j -5.37285e-05+0.0007809j -0.00266546-0.000344673j -0.000572986+0.00331414j -0.00287484+0.00235315j -0.00122124-0.00298541j -0.0037988+0.00471962j 0.00187563-0.000687937j 0.000485441-0.00151981j 0.000347783-0.000962701j 0.0114814+0.0053262j 0.00859593-0.0146275j 0.00756687-0.00428533j -0.00598106-0.00379315j 
0.00417778+6.15911e-05j -0.00141853+0.00270849j 0.000557373-0.00315555j 0.00451024+0.00472903j 0.00533475+0.000369243j 0.00139556+0.00406221j 0.00232734+0.00171992j -0.00236983+0.00372099j 0.0057196+0.00289875j 0.00156687+0.00320283j -0.000507623-0.00366288j 0.000566013-0.00202285j -0.000840474-0.00161847j -0.00429864+0.00163246j 0.00232377+0.000512963j 0.00252752-0.00138119j -0.000103398+0.000753404j 0.00112653-0.00101465j 0.0011135+0.000671358j 0.00194094-0.000864151j -0.00338835-7.29922e-05j -0.00346767+0.00204235j 0.0015205-0.00111152j -0.00269921-0.00203883j -0.00106866-0.00182181j -0.00325696+0.000531394j -0.000997115+0.00147481j 0.00290276+0.00352404j -0.000958256-0.00203222j 0.00268208+0.00275194j -0.000367969-0.00212789j -0.000542614-0.000510141j -0.00200314+0.000257239j -0.0012195-0.000230385j 0.00473932+0.00131548j 0.00120963+0.00364267j 0.00295117+0.00429758j 0.00412642-0.000727698j 0.0015355+0.00200565j -0.00464197-0.00260322j 0.00520098+0.00269981j -0.000301737-0.00308673j 0.00166996+0.00202382j 2.79167e-05+0.00227073j 0.00128512-0.00261303j -0.00299878-0.00199301j 0.000747736-0.00339508j 0.00363003+0.00196716j -0.00452165-0.00400827j 0.00149676+0.00127401j -0.00181838-0.00106441j -0.0003042+0.00321043j -0.0106299+0.00616875j 0.00914272+0.015984j 0.00179119+0.00835076j 0.00638634-0.00381542j 
0.000154464+0.0018796j -0.00307048-0.0007206j -0.00148301-0.00351774j 0.00439052+0.00107146j 0.00449449+0.000211547j -0.00202683+0.00161575j 0.000853036-0.00327392j 0.000213609+0.00387261j 0.00305169-0.000140103j -0.00103793+0.000528523j 0.00151321+0.000798451j -0.000777937+0.000893869j -0.00291532-0.00320629j 0.00174004+0.000123592j -0.00127209+0.00114173j 0.000908243-0.00258701j 0.000483317+0.00260958j -0.000388166-0.00103703j 0.00163102+0.00221987j -0.00304041-0.00128392j 0.000262695+0.00285282j 0.00339137+0.00081867j 0.000672523-0.000321588j -0.00401948-0.00066202j 0.000661764+0.000792012j 0.000676405+0.00086938j -0.000209242-0.000451904j 0.00111891+0.00020869j -0.00286797+0.0015339j 5.12252e-05-0.000486996j -0.000644327+0.000220041j -0.00190211-0.000599621j -0.00188559+0.000839268j -0.00172344+0.000501468j 0.00379684-0.00111127j -0.00146643+0.00245502j 0.00267696+0.00355686j 0.00171242-0.00143964j 0.000543427-0.000472166j 0.00367134+0.000892672j -0.00260954-0.000999551j -0.00268559-0.00158879j -0.00166005+0.000355579j -0.000467681-0.00103539j 0.00309207-0.000388498j -0.000876827-0.00125392j -4.28135e-05-0.00269074j -0.00107971-0.0007961j 0.00182587+0.00498622j 0.00174467+0.00270307j 0.0075147+0.00588647j 0.00484217-0.0034361j -0.00394351+0.00407804j 0.00486242+0.0046978j -0.00103056-0.00802239j -0.00938982-0.00212248j 
0.000597196-0.00616943j 0.00386483+0.000896314j 0.000951412-0.00333774j 0.00515755+0.00128406j 0.00335033-0.00707006j 0.00651486+0.00148371j 0.00169434+0.00268983j 0.00304055+0.00424629j 0.00439585-0.00401521j 0.00399048-0.00365897j -0.00645334-0.000659415j -0.00252018-0.00233512j -0.00200928-0.00416352j 0.00493442-0.00148602j -0.00398646+0.00536307j -0.00401651+0.000304986j 0.000945418-0.00267368j -0.00519046+0.00189673j -0.00166214-0.000470533j -0.00459273-0.00010993j 0.00504747-0.000202815j 0.00516915-0.00141315j -0.000324127-0.000591988j -0.000122285+0.000441183j 0.00260946+0.000795818j 0.003932+0.00144753j -0.0075591-0.00292608j -0.00203132-0.00231337j -0.000302646+0.00261863j -0.00199684+0.000515313j 0.00208094+0.00383165j -0.00176813+0.00336205j -0.00149606+0.00116464j 0.000636126+0.00298107j -0.00101796-0.00261042j 0.0015639+0.00311425j 0.00310746-7.42786e-05j -0.00320378-3.91189e-05j -0.0010703-0.00196116j 0.0029506-0.000605281j 0.0024875+0.00494811j -0.00244221+0.000708767j 0.00407207+0.00581712j -0.00287423-0.000539374j -0.000269083-0.0021556j -0.000570014-0.00121387j -0.00301248-0.00299814j -0.000737774+0.00201546j 0.00733813-0.00806395j -0.00470681+6.56229e-05j 0.00969334+0.000416663j -0.00251104-0.00961513j 0.00645539+0.000882224j 0.00100824-0.00354192j 0.0057842+0.00211155j -0.00135147-0.00646932j 
0.0052849+0.000196516j 0.000116426+0.00261787j 0.00856859-0.0025974j 0.000507784+0.00379112j 0.00672884-0.00199687j 0.00413103-0.000714782j 0.00520769-0.00169089j -0.000175717+0.00265102j 0.0127578-0.00633901j 0.00975913-0.00237632j -0.0115931+0.00296374j -0.00155089-0.000424066j 0.00124404-0.00015486j 0.0163824-0.00150618j -0.0137833-0.000140472j -0.00736597-0.000134505j -0.003109+0.000563885j -0.00426859-0.000650556j -0.0037963+0.00217922j -0.00655909-0.00190963j 0.0054457+0.00282349j 0.00112562+0.00126874j 0.0022157-0.00139619j 0.00134308-0.00152946j 0.00528359+0.000391124j 0.0058963-0.000769605j -0.014973-0.000763393j -0.00329898-0.000815959j 7.85278e-05-0.00134502j -0.0022684-0.0011225j 0.00208596+0.000669835j -0.00102785-0.00215993j 0.0012128-0.00154171j -0.00203565+0.00073842j 0.00351423+0.000897761j -0.00529082-0.000280864j -0.00810937-1.25051e-05j 0.00814377+0.00281684j -0.00259281-0.00107024j -0.00177865+0.000447213j 0.00841053+0.00171642j 0.00360177-0.000443236j 0.00611971+1.32848e-06j -0.00192401-0.000190982j 0.00614448+0.00323035j -0.00400805-0.00298994j 0.00604736+0.00445239j 0.00262267+0.00536094j 0.00339344+0.00139542j -0.00354573+1.90818e-05j 0.000902589+0.00263114j -0.00163002-0.000237597j 0.00224431-0.00562011j -0.00869428-0.00332321j -0.00217378-0.00505389j -0.0033287+0.00208331j 
-0.00169215+0.00515203j -0.00594874-0.00287685j -0.00177769+0.00192885j -0.00147858-0.00464429j 0.00210389+0.00100957j 0.001558-0.000397054j -3.07205e-06+0.00031643j 0.00117475-0.00424226j 0.00777725+0.000920578j 0.00386604+0.00535447j -0.00125565+0.00019459j 0.00364139+0.00252345j 0.0027714+0.00726272j 0.00570655-0.00316075j -0.00373514-0.00291412j -0.00174961-0.000231094j 0.00256644+0.0017086j -0.00130157-0.000984223j -0.00232019-0.00587618j 0.00289509+0.00566944j 0.000979047-0.0059219j -0.000769282-0.000165491j 0.00197675+0.00137377j 0.00165677+0.00387107j 0.00379518-0.00205695j 0.00234058+0.00233984j -0.00679784-0.000660884j -0.00378205+0.0032292j 0.00360225+0.00101873j -0.00238062+0.00226641j 0.00478496-0.00604071j -0.00129233+0.000409129j 0.00182665-7.0313e-05j -0.000384004-0.00458222j 0.00187348+0.00274988j 7.32792e-05-0.00261194j -0.000201515-0.000931276j 0.00291403-0.00119465j 0.000780615+0.00603864j -0.00312381-0.00320482j 0.00832072+0.00160834j 0.000454523-0.00171251j 0.00570109+0.00412981j 7.9327e-05-0.00164602j -0.00133655-0.00022866j -0.00394203-0.000679838j -0.00152751-0.00362107j 0.00506963+0.000644229j 0.000868564-0.000851751j 0.00582406-0.00697187j -0.00264339-0.0112656j -0.00833606+0.00223828j -0.00361728+0.00374636j 0.00207224+0.00587105j -0.00223651+0.0067432j 0.00307491+0.00112944j 
0.00302125-0.000340949j -0.000489575+0.00437493j -0.00387349-0.00395159j 0.00231245+0.00367409j -0.00379839-0.00607914j -2.52363e-05+0.000163462j -3.93692e-05+0.00458615j 0.00109821+0.00266724j -0.00651539-0.00808638j 0.000303599-0.00188401j 0.00261847-0.00258065j -0.000225348-0.00571245j 0.00103503-0.00591519j -0.000747229-0.000208935j 0.00256386+0.00242768j -0.0023424-0.00411234j 0.000802564-0.00628935j 0.000263765+0.000614859j 0.00491765+0.00406328j 0.00072533-0.00690808j 0.00499286+0.007816j -0.00148691-0.000364738j -0.0016668-0.00822802j 0.00137113-0.003606j -0.000381473+0.000639198j -0.00319604-0.00247439j 0.00697566-0.00393666j 0.00180598-0.00318204j 0.00194495-0.00073902j 0.000866253+0.000151647j -0.00350914+0.00283939j -0.000356355+0.00121817j 0.00283845+0.000720302j -0.00169001+0.00326418j 0.00102593+0.00118384j 0.00129577+0.00968488j 0.00195883+0.0074082j -0.00445717+0.00207054j 0.00393836-0.000432378j -0.00208429-0.00314625j -0.00923294+0.00023778j -0.000854162-0.00522712j -0.00421122+0.00228394j 0.00108828+0.00580417j 0.0010004-0.00202599j 0.0017463-0.00303732j 0.000750834+0.00170634j -0.00503323+0.00303133j 0.0120212+0.00303877j 0.00114615-0.00720814j -0.00517846-0.00184293j 0.00237298-0.00360133j 0.00544147-0.00584193j -0.00363693-0.00566578j -0.00185145-0.00453316j -0.000703568-0.00139795j 
