-0.00586012+0.0038608j 0.00334055+0.00652344j 0.00601402+0.00411797j -0.00229499+0.00666134j 0.00455891+0.000159008j 0.00203298+0.0039525j 0.0032376-0.00464629j -0.00536233-0.00316255j 0.000332385+0.000287884j -0.0021912-0.00111819j 0.00205199-0.00294233j -0.00342494+0.00280773j 0.0032506+0.0028204j -0.00132975+0.00143177j 0.00115885-0.000708375j 0.000371495-0.000520767j 0.000680507+0.00131501j -0.000623704+0.00148248j 9.71247e-05+0.000165882j -0.000396435-0.00119879j -0.00129031+0.00164726j -0.000670983-0.00325574j 0.00355399-0.00025656j 0.000226157-0.00254457j 0.000511231-0.00242692j 0.000851712+0.000376767j 0.00250829-0.00129566j -0.00180231-0.00105069j -0.000249574+0.00112355j 0.00169935-0.000249397j 0.00172228-0.000152712j 0.00197365+0.00168182j -1.26822e-07-0.000917789j -0.00118286-0.000130077j -0.00205976-0.000363945j 5.04507e-05-0.000308512j -0.000439387-0.0016509j -0.00144657-0.000792184j -0.000538082+0.00042381j 0.00106369+0.00117875j 0.000191003+0.000193821j 0.000581385+0.00160764j -0.000261605+0.000809681j 0.000670246+0.000669827j -0.00253754-0.00206368j -0.000679421+0.00029277j 0.000185118+0.000107819j 0.000589769+0.00190866j -0.00127536+0.00283487j -0.00130977-0.00249714j -0.00127157+0.00175709j 0.00236023-0.000591902j -0.000281891-0.0012426j -0.0019883-0.000587427j 0.00243773-0.0011545j -0.00126499+4.04834e-05j 0.00269174-0.00253594j -0.000462631-0.003931j -0.0026992-0.00190229j -0.000634913-0.00196452j 0.00138214+0.00188613j -0.000668633+0.00185128j -0.000861816-0.0037078j 0.00322428+0.000461004j -0.000113384+0.00270968j 6.6947e-05-0.00232459j -0.00103742-0.00133023j 0.000611645-0.00295536j 0.00235811-0.000137404j -0.00237136-0.00161432j -0.00133447-0.000303696j -0.00120566+0.00038839j 0.00227278-0.00142229j -0.00416207-0.00122839j 0.000943341+0.00559802j 0.000406098+0.0151565j -0.0138171+0.00108059j 
-0.00446642-0.00514263j -0.00494335+0.00398774j -0.00239509+0.00583744j -0.00644096-0.00135167j -0.00136148+0.00539111j -0.00438571+5.30437e-07j 0.00188315+0.00136206j 4.56023e-07-0.00394116j -0.00156076+0.0023807j 0.00235587-0.000286879j 0.00209005+0.00204267j -0.00159242-0.00390408j -0.000979297+0.0024521j 2.6005e-05+0.000467982j 0.00108503-0.000892426j 0.00164289+6.80133e-06j -0.000984339-0.000757499j -0.000457253+0.000622918j -0.00180565+0.000551216j 0.00197338-0.000353586j 0.000974877+0.000705263j 0.00359462+0.000992641j 0.00162967+0.00268348j 0.000985091+0.000181059j 0.00200608+0.00140268j -0.000184012-0.000849568j 0.00206705+0.000880415j 0.000815263-0.00246686j -0.00194525-0.00153861j -0.000920224+0.000422384j 0.000388376+0.00184617j -0.00040254+0.00013891j -0.00121121+0.00109156j 0.00159379-0.00051412j -0.000528549-0.00125574j 0.000308179-0.00195183j 0.000502839-0.000238083j 0.000495147-0.00146146j 0.00118297-0.000419569j 3.99961e-05+0.000636818j 0.00063249+0.00167751j -0.00153368-0.00101922j 0.00155644-0.000369638j -5.85649e-05+0.000885803j 0.00262094-0.00358495j -0.00136891+0.00046278j 0.000300772+7.81806e-05j -0.00279956+0.002011j -0.00207761-0.00244749j 0.00347544-0.00155999j -0.00209371-0.00292262j 0.000813527+0.00448794j 0.00113878-0.000649658j 0.00192608-0.00221342j 0.00163109+0.00234631j -0.000123752-0.00340049j 0.00267568+0.00168688j 0.00475806-0.000162318j 0.000249589-0.00325132j 0.00106154-0.000581966j -0.00391625+0.000566527j -0.000104082-0.0024165j 0.00333443+0.000258521j -0.000786669+0.00374674j -0.00200136+0.000423517j 0.00359764-0.00102276j -6.15193e-05-0.00152676j 0.00214985+0.00140524j -0.000346904+0.0018659j -0.000687379-0.00330882j -0.00151501+0.001945j 0.00322335+0.000341485j -4.10662e-05+0.00392223j -0.00101503-0.00446332j -0.00558611+0.0030133j -0.0130766-0.0026929j 0.002649-0.0129432j 
0.00898542+0.00243837j 0.00268432-0.00743926j 0.00124165-0.00307373j 0.00431145-0.00140665j -0.00348603+0.000386436j -0.00152113-0.00510748j -0.00390861-0.000140382j -0.00229937+0.00147319j -0.00306313+0.00187431j 0.00331575+0.00378681j -0.00119215+0.00336541j 0.00398447-0.00025832j -0.000320489-0.000155546j 0.000992861+6.71439e-05j 0.00216153-0.000378173j 0.0014824-0.000872612j 0.000130632-0.00211868j 0.00201084+0.000454895j 0.000845957+0.000626511j 0.00215637+0.00248094j 0.00251993-0.000564536j -0.000834886+0.00248842j -0.00098299+0.000199742j -0.00157215+0.00286558j -0.00136637+0.00255247j -0.000454109-0.00244567j -0.00104201+0.00161623j 0.00176061-0.00108285j 0.00136585+7.16377e-05j -0.000552591-0.00105896j -0.00226098+0.000820807j 0.00208139-0.000611355j -0.00138692-0.000984663j 0.00183525+0.00101623j 0.00179629+0.000239971j 0.000469186+0.00129138j 0.000210575-0.00145457j 0.0014833-0.000327799j -0.00122348+0.000433211j -0.000616433+0.000101215j -0.000836262-0.00105077j -0.000314179+0.000553638j 0.00107146+0.00194262j -9.33226e-05-0.00166156j 0.00167789+0.00329155j -0.00097643+0.00260024j 0.000506357-0.000911156j -0.000470895-0.00123076j 0.000468612+0.000227286j -0.00431141+0.00206538j -0.000663476-0.00233654j -0.00204325-0.000214906j -0.00530809-0.00042504j -0.00233992+0.00131875j -0.00189402+0.00134211j 0.0025886+0.00125426j -0.00516323-0.000754951j -0.00299655+0.00147066j -0.00293435-0.000501658j -0.00269305+0.00198869j 0.00246129-0.00101303j 0.00351442+0.00104015j -0.000932148+0.00178187j 0.00220976+0.00192699j 0.00239836-0.00226273j -0.000826456-0.000844182j -0.000798675-0.0029248j -0.00336264-0.00132242j 0.00134156+0.00134982j 0.00224359-0.00154139j -0.00211372+0.000108402j 0.00253465+0.00114588j -0.000592184+0.0013818j -0.00551459-0.00438809j -0.00151162+0.0034533j 0.0101953-0.00566603j 0.00668412+0.00885174j 
0.00395487+0.000367211j -0.00105435-0.00336331j -0.00665228+0.0003863j 0.000101481-0.00537324j -0.00726354-8.89673e-05j -0.00156337-0.00660821j -0.000660158+0.00316619j 0.00396644-0.00337821j -0.00331995-0.0020174j 0.00334577+0.00348997j -0.00118005+0.00536365j 0.000407617-0.00290617j -0.0047433+0.000416972j 0.00176715-0.00272948j -0.00190689+0.0025548j 0.00502082+0.00394654j -0.000211643-0.00347727j -0.00332678-0.00134856j 0.00143351+0.00232098j 0.00116695+0.00166916j 0.00272078-0.00139062j 0.000580187+0.00291561j -0.00163544+0.00498801j -0.00205041+0.000234001j -0.00128969+0.00144539j 0.000657417-0.00108148j -0.00293775+0.00079124j 0.00574482-0.00277137j -0.00196765+0.000259727j 0.000143443+0.000879231j -0.00233875+0.000765342j -0.00297819+0.00170278j 0.000685421-0.00132387j 0.00169573+0.00194541j 0.00111266-0.00157502j -0.00105155-0.00023936j 0.00370365+0.000613054j 0.00320542+0.000460181j -0.00153156-0.00171542j -0.00114244+0.000845024j 0.000808055-0.00169004j -0.0019933+0.000759168j -0.000341876+0.000592228j 9.39965e-05+0.000651825j 0.00223513-0.000603919j -0.00305317-0.00150932j 0.0011038+0.000699457j -0.00238536-0.000555577j -0.00249819-0.000754129j -0.00227277-0.00297421j -0.00128262-0.0011065j -0.000475741-0.000424058j -0.000600885-0.00441658j -0.000803435-0.00188961j -0.000696925+0.00120051j 0.00160407+0.000455077j -0.000924861-0.00128275j 0.00216362-0.000663487j 0.0012977-0.00200761j 0.00234722-0.00100191j -0.000409253+0.00166165j -0.00157279+0.00306783j 0.00314016+0.00159316j -0.00258343+0.00402295j 0.00131776+0.00159987j 0.0030383-0.000616833j 0.0022672+0.000523723j 0.00522587-0.000652436j -0.00158576+0.00366404j 0.003515+3.44341e-05j 0.00161161-0.00133774j -0.000216437-0.000970508j 0.000465805+0.000711542j 0.00242702-0.0111129j -0.0109211-0.000147623j -0.00784277-0.00664058j 0.00728136-0.00646241j 
-0.00145787+0.00723213j 0.00544072+0.00204268j -0.00119024+0.00191843j 0.000716971+0.00115765j -0.000903645-0.00300169j 0.00377957-0.000798933j 0.00275783+0.000908103j 0.00325776-0.00545055j -0.00233499-0.00508696j -0.00287834+0.00379276j -0.00332587+0.00221364j -0.000960212+0.00244052j -0.00328884+0.0016795j -0.0016366-0.000668303j 0.00148025+0.00390571j 0.00184688+0.00198339j 0.00107484+0.00281545j 0.00149239-8.1352e-05j 0.00338845+0.0017691j -0.000925616+0.006008j -0.00159527-0.00178875j -0.00199034-0.000289082j -0.00101861+0.00071384j -0.00212003+0.00132876j 8.07359e-05-0.000665869j -0.000386003+0.000475296j -0.00272803+0.00232916j -0.000452448+0.00175418j 0.00248326+0.00319691j 0.00235267+0.00133228j -0.000611557-0.000235465j 7.54741e-05+0.00204293j 0.00284824-0.00118027j -7.95919e-05+0.000236188j -0.000881958-0.000601805j -0.00331357+0.00289752j 0.00193929-0.000622255j -0.000670891+0.00238527j -0.00216884-0.00394608j -0.000366116+0.000429237j 0.00139204-0.00273144j -0.000990662+0.00207511j 0.00102192+0.00284636j 0.00129357-0.00220568j -0.00197577+0.00440961j 0.000327327-0.000327487j 0.00186725+9.82304e-05j 0.00343244-0.00255848j -0.00231777-0.000399184j 0.000353065-0.00509344j 0.00240049-0.00269771j -0.000933827-0.00324967j 0.0015819-0.00394748j 0.00131462-0.0013455j -0.00343266-0.000136521j -0.00347736+0.00433833j 0.000118033-0.0028167j 0.00182094-4.11724e-05j 0.00362569-0.00268846j -0.000415385+7.2382e-05j -0.000485908+0.00293776j -0.00264105+0.00455061j -0.000156129-0.00135071j -0.0024162+0.00355246j 0.000645273-0.00186565j -0.000545272-2.73354e-06j 0.00307636-0.00378602j 0.000876835-0.00307744j -0.00223162+0.00322657j 0.00634151+0.00137226j 0.00236737-0.0061233j -0.00156384-0.000318015j 0.00116991+0.00210571j 0.0110798-0.00789472j -0.00682784-0.00639253j 7.30668e-05+0.00836498j -0.00624268+0.00303578j 
0.00137373+0.00459598j 0.00133154-0.00065075j -0.00187532-0.00635839j -0.000108415-0.00213522j -0.0016738-0.00416054j -0.00255312-0.00697387j 0.00144954+0.00197857j -0.00412059-0.00116741j -0.00280608-0.0013139j 0.00530086+0.00930575j 0.00397787+0.00539704j -0.00315165-0.00743937j 0.0024008+0.00015639j 0.0045806+0.00116803j -0.0020123-0.00432176j 0.00136813+0.0127032j 0.000736933-0.00501184j -0.00161208-0.00506987j 0.00122193+0.00854084j 0.00233291+0.00270178j -0.000180726-0.00255341j 0.00285855+0.00501113j 0.00117231+0.00967404j 0.00076388-0.00418209j -0.000680124+0.000970817j 0.00199692-0.00361609j -0.00048909-0.00317877j -0.000394134-0.0087826j 0.00188535+0.000199135j 0.000389662+0.00038404j -0.00034471+0.00541821j 0.00228528-0.00293402j 0.000174008+0.00213267j -4.83287e-05+0.000802908j 0.000231508-0.00754141j 0.00187818-0.00513028j -0.00174398-0.00261458j 0.00218554+0.00716394j -0.000676098-0.00804912j -0.000358929+0.0045073j 0.00211343-6.63668e-05j -0.000934767+0.00528629j 0.00197641+0.00612492j -0.000200105-0.000489405j 0.0042001-0.00362538j 0.0019533-0.000738723j 0.00179436-0.00125742j -0.00261346+0.00509153j -0.00589386+0.00777262j -0.00133131-0.00573619j -0.0031702+0.00175961j 0.0047845-0.00318864j -0.00181188+0.0014129j -0.00199828+0.00445712j 0.000654174-0.0035254j 0.0022971+0.000222481j 0.00209527-0.00482997j -0.000171873+0.000982762j -0.00677777+0.00761062j -0.00124104+0.00150742j 0.00159433-0.000366982j -0.00209247+0.00244519j 0.00307742-0.00383516j 0.0067453-0.00128369j -0.00210859+0.00280657j 4.60617e-05-0.00415541j -0.00319426+0.00387983j 0.00142191-0.00423078j 0.00432277-0.00176223j -0.00365183-0.00474102j -0.00158527+0.0053476j 0.00197669-0.008137j 0.00682163-0.00295808j -0.00686903-0.00408492j -0.00151176+0.0097285j -0.00278463+0.00134353j -0.00224017-0.00545756j 
0.00207341-0.00440929j -0.00297047-0.00130291j 0.0018662+0.00942402j -0.00428351+0.00128311j -0.000797571+0.00571567j -0.001652+0.00181462j 0.00179855-0.00545162j -0.00653936-0.0020611j -0.00307169+0.00648517j 0.00157615-0.00301103j 0.0032599-0.00391324j 0.000571497+0.00116117j 0.00253703+0.00327805j 0.0023802+0.000986552j 0.00369303-0.000857399j -0.00367094-0.00409081j 0.00348036-0.000284165j 0.000500535+0.00314776j -0.00402291-0.0042523j 0.00501959-0.00428163j 0.00233719+0.00395502j 0.00393525-0.00715291j 0.000877133-0.00452792j 0.00468344+0.00162242j 0.000730524+0.00142721j 0.00382979-0.00111543j 0.00454789+0.00359555j 0.00198291+0.00609238j -0.00269515-0.00616368j -0.00212978-0.00200733j -0.000595302-0.00226161j 0.00162749+3.49845e-05j 0.00120365+7.64884e-05j -0.000434182-0.000666157j 0.00122006+0.00511281j 0.00203842+0.00149673j -0.00239651+0.00305325j 0.0069737-0.00386627j -0.00202868+0.00728895j -0.00134973-0.000989226j 0.00116428-0.00168549j -0.00174726-0.00270262j -0.000103939-0.00397278j -0.00189681-0.0028048j 0.00136947-0.000351294j 0.000390017-0.000644655j -0.000279415-0.00343008j -0.00206873-0.0027007j 0.0024667+0.000384316j -0.00156636+0.000655376j -0.00364855-0.00354126j 0.0041628+0.00327101j 0.000217661-0.00313627j -0.00107377-0.00724369j 0.000239015+0.00468471j 0.00276789+0.000282222j -0.000784833+0.000907433j 9.37742e-06-0.00257339j -0.00115645-0.00531415j -0.00212569-0.000305599j -0.000740804+0.00271393j -0.00100261-0.00329741j -0.00102182-0.000772072j 0.000823903+0.00310328j -0.00376239+0.00240386j 0.00114468+0.00320185j -0.000774938-0.00346898j -0.0010252+0.00239247j 0.00085036+0.00125451j -0.00282997-0.00309611j -0.0017843+2.70022e-05j -0.000912547+0.00203148j 0.00196297-5.90913e-05j -0.00590766-0.00619716j -0.00271698+0.00376794j -0.00063973+0.00345001j -0.00242747+0.000381577j 
-0.00114169-0.00430307j -0.000564075+0.000315j -0.00101716-0.00377898j 0.00560459-0.000493607j 0.00385769+0.000767414j -0.00107164+0.00696621j -0.00125008+0.00483901j 0.0060457+0.00135535j 0.00473941+0.000799271j 0.00377196-0.00510592j -0.000434438+0.00131588j -0.0020073-0.00153566j -0.00644757+0.000451534j 0.0011234-0.00142911j -0.00209917-0.000520268j 0.0043811-0.00211864j -0.00164544+0.00488145j 0.00197146-0.00257485j 0.00582829-0.00120524j 0.00123796+0.000950334j 0.00328468-0.00198564j -0.000177078+0.000296211j -0.000967889-0.00209634j -0.00227877+0.00162458j 0.00272373-0.00128045j -0.00720018+0.0032388j -0.00562083-0.000126243j -0.000302133+0.00229139j -0.00247622-0.000281378j 0.00176855+0.00276862j 0.00124533-0.000159434j -0.00503744-0.00151907j 0.00324768+0.000538554j -0.000627632-0.0027793j 0.000787074-0.000512914j -0.00487771-0.000324423j 0.00380869+0.00151663j -0.00594414-0.000494076j -0.000648241+0.000133271j -0.000578954-0.00111381j 0.000925411+0.00245639j -0.00145971-0.00181073j -0.00114266-0.00100147j 0.000334823+0.0010588j -0.00307514+0.000584528j 0.00239433-6.41556e-05j -0.000194682+0.00197712j 0.00495869-0.000359155j -0.00661293-0.00696523j -0.00540118-0.00247065j -0.00233876-0.00105384j 0.00034733+0.00461277j -0.00425519+0.00179755j -0.00312075-0.0038937j -4.59739e-05+0.00107425j -0.00528408-0.000484086j -0.00112382+0.00371017j -0.00204987-0.00183371j -0.00159643-0.003061j 0.00146608+0.00201921j 0.0040643+0.00569703j -0.00260129-0.00364191j 0.00216142+0.00290973j 0.00384969+0.00686938j 0.001324-0.00241579j -0.00434569-0.00277762j -0.00149282-0.00100808j 0.000415156+0.00463314j 0.000676748+0.00466829j 0.0043554+0.000554981j 0.00494463-0.00062055j 0.00210847-0.00674936j 0.00618001+0.00892364j -0.00112735+0.0021945j 0.00235465-0.00161015j -0.0085741-0.0039969j 0.00086176-0.00951306j 
-0.000470139+0.000711462j 0.0011728-0.00164288j 0.000998704-0.000161056j 0.00217566-0.00242345j 0.000887723-0.00229583j 0.00258745-0.000891833j -0.00220463+0.000225842j 0.00617574-0.00175273j 0.00285159-0.00145498j -0.00123573+0.000271239j -0.00573813+0.000223859j -0.00293049+0.00214416j -0.00377517+0.00505981j -0.00542117-0.000151103j 0.00415342-0.00255696j 0.010019-0.00348894j -0.00364617+0.000450101j 0.00613685-0.000539067j 0.00724209-0.00175996j 0.00112225-0.000360851j -0.00105584+0.0021819j -0.00574354-0.000295903j 0.000892338-0.00126891j -0.003582+0.000543348j 0.00722281+0.00156475j -0.0117907+0.000243502j 0.0015384+0.00193473j -0.000962379+0.00351148j 0.0019504-0.00195351j 0.00556041-0.000839811j 0.000862927-0.00183716j -0.000723552+9.76499e-05j 0.00130058+0.000352203j 0.00138898+0.00428849j -0.00308264-0.000829042j -0.00671026-0.000779171j 0.00583653+0.00204008j -0.0096706+0.00160955j -0.00346161+0.000701924j 0.00320597+0.00079526j -0.00390361-0.00234258j 0.00309578-0.00167119j 0.00895527+0.00423724j 0.000191714-0.00248712j 0.00496153+0.00451371j 0.000594962-0.000537615j 0.000495826+0.000306093j 0.00330756-0.00233026j -0.00583419+0.000771729j -0.00192837+0.0023659j -0.00151596-0.00256149j -0.00766831-0.00285554j -0.00298989-0.0019894j 0.00116676+0.000869113j 0.00175328+0.00266224j -0.00397723-0.00118013j 0.000273978-0.000440019j 0.00424699+0.00785195j 0.000390923+0.00214949j 0.00605788+0.00584413j 0.00141397-0.00340791j 0.00389801+0.00329687j 0.00441998+0.00429607j 0.0114168-0.00115734j -0.00235498-0.00396196j -0.0021827+0.00298385j -0.00523124-0.00573474j 2.68393e-06+0.0031216j 0.00632726+0.00330464j 0.00387374-0.00306787j -0.00384395-0.00287283j -0.00117567-0.0002261j 0.00776082+0.000147875j 0.00242137-0.00178337j -0.00493986-0.00539806j 0.0027615-0.00250716j 0.00227142+0.00561048j 
0.00355218+0.0061735j 0.0102712-0.00349123j -0.00501941+0.00148805j 0.00482718-0.000976089j -0.0074889+0.00185681j 0.000328855-0.000735935j -0.00640685+0.00114954j -0.00163076+0.00290641j -0.00344308+0.00347064j 0.00742553-0.00232121j -0.00382299+0.000594089j 0.00232866+0.000853564j -0.000863084-0.00115126j 0.0107638-0.00410229j -0.00723048+0.00125764j 0.00375732-0.00407675j 0.00439018-0.00277263j -0.00102797+0.00108385j -0.0025975+0.000985674j 0.00474727-0.00166878j 0.0115929-0.0026747j 0.00553164-0.0044214j -0.00116746-0.00376401j -0.00483088+0.00408202j -0.00503136+0.00167517j 0.00498642-0.00026204j -0.00703476+0.00360525j 0.00479683+0.00347094j -0.00564668+0.000692856j -0.00568054-0.000845664j -1.93484e-05-0.00324063j -0.0073009+0.00198616j -0.000800041+0.000666043j 0.00405931-0.000537725j -6.05118e-05+0.00409719j -0.00327851+0.00196867j -0.000274911-0.000656311j 0.00614671+0.000527121j 0.00149137+0.00255448j -0.0012419-0.00177258j 0.0104685-0.000207414j -0.00561288-0.00124159j 4.48599e-05-0.00305437j 0.00402043-0.0024377j -0.00422373+0.000627019j -0.00364794+0.00233031j 0.00357782-0.00132163j 0.000296392-0.00197833j -0.0078007+0.00123356j -0.00531596+0.00350467j -0.00413033-0.00194065j 0.00916548+0.00275202j -0.000275592+0.0013729j 0.000145506-0.0029935j -0.00140063+0.000921523j -0.00471756+0.0017815j -0.00144683-0.000963319j -0.00296413-0.000336341j -0.00435808-0.00228567j -0.00337228+0.000923071j -0.000417931+0.000607938j -0.00571067-0.00482859j 0.00355088-0.000123486j -0.000516063+0.000466036j 0.00476305+0.00295438j -0.00157042+0.00267642j 0.00294917-0.00162184j 0.00513495+0.00354101j -0.000339005-0.000362143j -0.00842846+0.00167686j 0.00706319+0.00650632j 0.00384148-0.00128994j 0.00549223+0.00239811j -0.00338075-0.000740144j -0.00174945-0.00272898j -0.00540906-0.00149621j 0.00112132+0.00283896j 
-0.000629305-0.00260544j -0.00402053-0.00138057j -0.00882884-0.00177124j -0.00243691-0.00457541j -0.00185185-0.00479745j 0.0057942+0.00142996j 0.00659554-0.00113913j -0.00132172+0.000668378j -0.0021204-0.00141387j -0.0021296-0.00181903j 0.00387086-0.00232235j -0.000491871-0.00192944j 0.00310917-0.000980613j 0.00121965-0.00040156j -0.000322125-0.000114553j -0.00545912+0.00510145j 0.00647997-0.000111585j -0.00408072-0.00249089j -0.00335774-0.000165406j 0.00454463+5.43068e-05j -0.00478066+0.00048223j 0.00275578-0.00267746j -0.000670407+0.00132753j 0.00610645+0.000350374j -0.00217583+0.00175033j 0.0089545+0.000114199j 0.00260925+0.00353075j 0.000310093+0.00350572j 0.00308349-0.00205154j -0.00028972+0.00194588j 0.000755515+0.000391973j 0.00104789-0.0016463j -0.00234997-0.00117002j -0.0021561+0.00190787j -0.00171078-0.00325334j 0.00609474+0.00054227j -0.00634347+0.00272008j 0.00620932-0.000325504j 0.00121905+0.000585811j -0.00122569+0.00242362j 0.00431322-0.00171697j 0.00136954+0.0015031j -0.000187668+0.00249951j -0.000204237+0.000208638j 0.00113261+0.00125588j 0.00174375-0.00287447j 0.00142839+0.00122599j -0.00300765-0.00361033j 0.00160758-0.000446183j 0.00498364+0.00441345j 0.0019015+0.000528154j 0.00543346-0.00019626j 0.00853803+0.00501629j 0.00308341+0.00420681j -0.00126802+0.00339829j 0.00547236-0.000654474j 0.00382434+0.00595921j -0.00180963+0.00456869j 0.00115308+0.00274613j -0.00125488+0.00386787j 4.46794e-05-0.0043883j -0.00392287-0.00112819j -0.00405966+0.000966919j -0.00228744-0.00391403j -0.00325557+0.000215179j -1.92461e-05+0.0039742j 0.00180167+0.000900866j -0.00322037+0.00589783j -0.00274979-0.00241076j -0.00296845-0.00326237j -0.000354167-0.00117022j -0.00462415-0.00296879j 0.001613-0.00113828j 0.0068942+0.00338788j 0.00336024-0.00902711j 0.00117448-0.00762959j 0.00182418+0.00202325j 
