0.00889254-1.29899e-15j -0.0207406-2.80625e-16j 0.00606105-6.53064e-17j -0.00787991+6.52148e-17j 0.00814609+1.09141e-18j -0.004158+2.38549e-17j -0.00728726+7.09588e-18j 0.00495662+6.63881e-18j -0.00334534-4.08686e-18j 0.00935719-1.392e-17j 0.00153877+5.79905e-18j 0.000862615-9.04705e-18j -0.0133097+3.92058e-17j -0.00759461+6.54885e-17j -0.00320286-8.46095e-17j -0.0142237+1.6846e-16j -0.00809799-3.59242e-16j 0.000442243-9.89106e-20j 0.00139647+1.55838e-17j -0.0101301-3.61071e-17j 0.00959449+5.13277e-17j 0.00472299+1.23251e-16j 0.0115098+4.00311e-17j -0.000242356+3.09901e-17j 0.0119075-2.87671e-17j 0.00688649-1.15398e-17j -0.000698783+3.86818e-17j -0.00307254-2.20047e-16j 0.0104113-2.87282e-16j -0.000441843+1.3737e-17j 0.0151243+1.97947e-16j 0.00494478+9.75473e-17j -0.00445313+7.06577e-18j -9.69345e-05-1.12844e-18j -0.015572+1.16102e-16j -0.000552176+3.06358e-17j 0.0031823-6.5555e-18j -0.00393424+5.4458e-17j 0.00500442+1.05276e-16j -0.00974953-5.88115e-17j -0.00857088+1.21437e-16j -0.00382526+1.34239e-16j -0.0061001-6.39972e-17j -0.0120108+4.26063e-18j 0.00857787+2.87989e-17j -0.00171737+1.48951e-17j 0.00166513+4.53924e-18j 0.00181556+7.77091e-19j 0.00468523+8.38645e-18j -0.00821691+4.65009e-18j 0.00550766-8.16404e-18j -0.000548805+3.61148e-18j -0.00218924-3.53349e-17j 0.0143055-4.15432e-17j -0.0196089+9.49862e-16j 0.006681-4.37045e-15j 
-0.00619254+2.75685e-15j -0.0143278+5.97374e-16j -0.0112072+6.57935e-17j 0.00277363-6.20291e-17j 0.00245133+2.85486e-18j 0.00391376-2.41372e-17j -0.0074329-4.53214e-18j -0.00130842-2.01844e-18j 0.00457914-7.0387e-18j -0.00343437+9.07881e-18j -0.00418665+8.52595e-18j -0.00526373+9.05887e-18j -0.00875199+2.48947e-17j -0.00196292+1.98481e-17j 0.00174981-1.04832e-16j -0.00691198+9.3661e-17j 0.0049926+2.56822e-16j -0.00510929-2.8559e-17j -0.0104168+5.14815e-17j -0.00236305+3.73105e-19j -0.00231819-8.04377e-18j 0.0124592+5.7834e-17j -0.000336166+2.8775e-17j 0.00217434+6.09892e-19j 0.00158864+3.81113e-17j -0.0119518+8.74603e-17j -0.000972328+4.07322e-17j -0.00776369-2.07489e-16j 0.0136657-2.50354e-16j -0.00592792+8.37445e-17j -0.00603678-5.18481e-17j 0.00828456-5.19858e-17j 0.00356008-2.42235e-17j -0.004385+1.07985e-17j -0.00292063+1.304e-17j -0.00573793-2.96433e-17j 0.00597907-1.24062e-16j -0.000694766-2.10346e-17j 0.00258107+6.84098e-17j 0.00820222+8.86131e-18j -0.011875+9.7396e-17j 0.00561382+1.46433e-17j -0.00672772-5.61799e-17j -0.00865744+2.681e-17j -0.00160134+3.72222e-17j 0.00213102+4.83822e-18j 0.00147825-1.58582e-17j -0.00104476+5.48598e-18j -0.00032427+8.62093e-18j -0.00718535-7.6284e-18j -0.00520012-5.54282e-18j 0.00842816+5.77267e-19j -0.00229575+2.79346e-17j -0.00557355+3.75638e-17j -0.0150889-3.12658e-16j -0.00691422+1.45381e-15j 
-0.0108445+4.37148e-15j -0.0182184+9.48902e-16j -0.0197468+7.18783e-17j -0.0013281-7.12838e-17j -0.00270391-1.0201e-18j 0.00819122-4.13544e-17j -0.00990539-5.40529e-18j 0.00623101+6.76113e-18j 0.00341627+1.76142e-18j -0.00147452-4.93981e-18j -0.00216488-3.28044e-18j -0.0104584+3.43199e-17j -0.00738655+7.14008e-18j -0.00400001+1.29605e-17j 0.00444094-1.43885e-16j -0.00785608+9.91411e-17j 0.0148296+7.58979e-16j -0.00596248-1.07142e-16j -0.00400375+6.81843e-17j -0.00141331+5.69853e-18j -0.000784659-2.22856e-17j 0.0179113+7.59155e-17j -0.00215602+1.31392e-17j 0.00490226-1.7363e-17j 0.00204606+5.3695e-17j -0.0237061+1.04785e-16j -0.00196691+8.34027e-17j -0.000406273-2.17286e-16j 0.00958354-2.79909e-16j -0.00133788+4.84162e-17j -0.0108681-9.20792e-17j 0.012896-8.08773e-17j 0.0018901-3.06208e-17j -0.0161739+1.73456e-17j -0.00192244+1.48241e-17j -0.0122342-5.97404e-17j 0.0126576-3.12252e-16j 0.00367998-1.41439e-16j -0.00264951+6.18476e-17j 0.0126191+3.88094e-17j -0.0161973+1.59018e-16j 0.00467398+3.74643e-17j -0.00566069-5.61663e-17j -0.00942731+3.55525e-17j -0.00384245+2.35127e-17j 0.00163289-1.03074e-17j 0.0106483-2.18331e-17j -0.00424752-2.69765e-18j 0.00653264+2.13702e-17j -0.00842211-4.22931e-18j -0.00637182-2.13709e-17j 0.0108419+1.01431e-17j -0.00985737+7.40053e-17j -0.0114939+6.81436e-17j -0.0199595-7.47099e-16j -0.0129625+3.43165e-15j 
0.0125329-9.3551e-16j -0.0430794-2.01222e-16j 0.00614511-6.44039e-17j -0.00825679+6.55057e-17j 0.0181226+4.79101e-18j -0.00672374+3.64852e-17j -0.0166384+8.85344e-18j 0.00265298+2.39337e-18j -0.00154229-1.56567e-17j 0.0107255-7.04265e-18j -0.000735029+1.85524e-17j 0.000137835-2.18557e-17j -0.0292534+9.30554e-17j -0.0139915+1.32699e-16j -0.00635083-1.86114e-16j -0.0284413+3.41526e-16j -0.014855-6.58056e-16j -0.00356276-6.70666e-19j -0.00835288+6.00515e-17j -0.0183172-5.62855e-17j 0.0132186+8.12951e-17j 0.0141394+2.41072e-16j 0.0180173+8.20834e-17j -0.0010523+5.99351e-17j 0.0207654-2.63979e-17j 0.00860646+4.04279e-17j -0.00308119+6.87549e-17j -0.0158991-5.37432e-16j 0.0306753-6.52515e-16j -0.0066675+1.17173e-16j 0.0226957+2.88391e-16j 0.0116474+1.38966e-16j -0.00402427-7.35538e-18j 0.00189006+3.45284e-18j -0.0288047+2.07447e-16j -0.00118852+4.23676e-17j 0.00666535-2.34037e-18j -0.0115199+1.23522e-16j 0.0129942+1.95257e-16j -0.0115952-9.34268e-17j -0.0208416+2.41866e-16j -0.00196272+2.16764e-16j -0.0147819-1.4435e-16j -0.0265064+2.46956e-17j 0.0138307+7.5953e-17j -0.00217795+3.16261e-17j -0.00128962+1.89823e-18j 0.00464231+9.63016e-18j 0.00288965+1.15956e-17j -0.0183767+1.29565e-19j 0.00595453-1.15598e-17j 0.00487395+2.74967e-18j -0.000579644-6.55645e-17j 0.0225837-6.369e-17j -0.0413463+1.58119e-15j 0.00920045-7.25744e-15j 
0.0131304-4.82466e-15j 0.0142918-1.04405e-15j 0.0184474-1.62912e-16j -0.0128396+1.53805e-16j -0.00425273-6.91778e-18j -0.00636462+4.79377e-17j 0.00829607+1.2528e-17j 0.0113902+8.6843e-18j -0.0113431+2.29279e-17j 0.0129228-3.85331e-17j 0.0101042-2.79912e-17j 0.0069794-5.50119e-18j 0.0123765-4.92073e-17j -0.000818773-1.1094e-17j -0.00303338+1.31007e-16j 0.0051516-8.88162e-17j -0.00645562-3.05104e-16j 0.00981273-2.34403e-18j 0.0259929-9.42326e-17j -0.000316099-1.85037e-17j 0.010865+2.68112e-17j -0.0175493-3.3525e-17j 0.00616025-4.25535e-17j -0.0023738+5.0599e-18j 0.00317236-7.84337e-17j 0.0171485-1.63484e-16j 0.000852222-1.43207e-17j 0.0198473+2.76735e-16j -0.0244456+3.02747e-16j 0.0141357-1.97882e-16j 0.016838+1.81643e-16j -0.0101995+1.37352e-16j -0.0101369+5.46543e-17j -0.000634811-1.0741e-17j -0.00163171+3.84136e-17j 0.0056214+4.88287e-17j -0.00487974+8.96587e-17j 0.00350148-1.37093e-17j -0.00643807-6.63412e-17j -0.0178866-2.32366e-17j 0.0151186-8.32335e-17j -0.0132821+6.73322e-17j 0.0110535+7.39547e-17j 0.011409-4.76969e-17j 0.00576268-7.00448e-17j -0.00519678-7.34381e-18j 0.00459988+2.59727e-17j 0.000520482-1.83819e-17j 0.00892995-6.39098e-18j 0.00819661+1.98762e-17j 0.0120886-1.14719e-17j -0.0148487+1.07301e-17j -0.00270422-3.52914e-17j 0.0138404-7.5853e-17j 0.0156423+7.66374e-16j 0.0123204-3.58221e-15j 
-0.0179859+4.05846e-15j 0.0194222+8.8633e-16j -0.016468+1.3992e-16j 0.0193026-1.63121e-16j -0.00712098-1.30525e-17j 0.00728897-2.84771e-17j 0.00535634-1.51002e-17j -0.0157787-1.95136e-17j 0.0108002+1.01631e-19j -0.0212481+3.65511e-17j -0.00667471-1.89592e-18j -0.00428435-5.79468e-18j 0.00887909-1.79787e-17j 0.00869063-6.15032e-17j 0.00413028+7.56424e-17j 0.0156413-1.65079e-16j 0.0120472+5.72102e-16j -0.0073754-1.6287e-17j -0.0174309+2.48078e-17j 0.0143654+7.66611e-17j -0.0192895-1.0103e-16j 0.00239637-1.20335e-16j -0.021057-6.14965e-17j 0.000104723-3.07231e-17j -0.0169692+6.63979e-17j -0.0154778+7.17885e-17j -0.00158249-5.63795e-17j -0.0109659+1.02594e-16j 0.00272164+2.14629e-16j -0.00668621+1.2303e-16j -0.029436-4.31301e-16j -0.00187084-1.88227e-16j 0.0113019-4.05143e-17j 0.00208797-7.14497e-18j 0.0205089-1.44596e-16j -2.52283e-05-7.85016e-17j -0.00227944+1.40193e-17j -0.00135815-4.60832e-17j -0.00164234-1.61485e-16j 0.0229632+1.29665e-16j 0.00365652-1.30558e-16j 0.0119792-2.14338e-16j 0.00225461+3.49522e-17j 0.00730489+1.99816e-17j -0.0142564-1.63336e-17j 0.00359309-9.31727e-18j -0.00682592-1.22535e-18j -0.00102506+4.52511e-19j -0.0145005-1.10495e-17j 0.00675258-1.50614e-17j -0.0136139+2.09806e-18j 0.00954634+5.67356e-19j 0.0072512+3.96609e-17j -0.0252517+4.70425e-17j 0.0172668-1.55369e-15j -0.0141843+7.14764e-15j 
0.0132994-6.62994e-15j 0.0420705-1.4357e-15j 0.0292407-1.01094e-16j 0.00383007+9.02255e-17j -0.00203415-9.61521e-18j -0.0104237+5.45831e-17j 0.021722+1.17498e-17j -0.00998555-1.56518e-18j -0.00541565-2.10789e-18j 0.000727691+1.36865e-17j 0.00349851+4.58567e-18j 0.0161505-5.06368e-17j 0.0195858-4.10401e-17j 0.0105478-6.59728e-17j -0.00400496+2.83203e-16j 0.0216877-2.53249e-16j -0.0184063-9.69699e-16j 0.0112866+1.8412e-16j 0.00919348-1.2001e-16j 0.00763115+9.72877e-18j -0.00261911+1.42696e-17j -0.032714-1.93083e-16j -0.00140364-4.37932e-17j -0.00635911+1.41945e-17j -0.00933516-8.0701e-17j 0.0354104-1.91632e-16j 0.00567087-1.517e-16j 0.00669558+5.47789e-16j -0.0262749+6.59775e-16j 0.00458094-1.13578e-16j 0.00959311+5.03508e-17j -0.0234378+8.35419e-17j -0.00229938+4.61228e-17j 0.0253445-3.76707e-17j 0.0122432-8.54878e-17j 0.0192083+7.79068e-17j -0.0222519+4.90731e-16j -0.000721587+1.93504e-16j -0.000244938-1.50283e-16j -0.0169938-3.81015e-17j 0.0324385-3.20285e-16j -0.00719483-1.26447e-16j 0.0125156+1.25829e-16j 0.0222341-6.87262e-17j 0.00228218-5.6859e-17j -0.00109987+1.06835e-17j -0.0150526+4.54183e-17j 0.00438882-5.49517e-18j -0.0103461-2.82932e-17j 0.0197998+1.4197e-17j 0.0083199+3.88684e-17j -0.019582-2.05488e-17j 0.0147966-1.00861e-16j 0.011133-8.98505e-17j 0.0443177+6.77692e-16j 0.0174443-3.10615e-15j 
-0.0151652+2.9815e-15j 0.0234901+6.37043e-16j -0.0156769+8.88484e-17j 0.00175149-6.72759e-17j -0.0235438+1.57667e-17j 0.0100679-6.1274e-17j 0.0176593-1.9845e-17j 0.00228024+8.6698e-18j -0.00336159+2.10234e-17j 0.00129256-2.04369e-17j 0.00580114-3.62183e-17j -0.0105696+8.04228e-17j 0.0033217-4.43297e-17j -0.00237874-4.35132e-17j 0.0119571+7.13062e-17j 0.0228834-2.36904e-16j 0.0241949+1.1169e-15j 0.000386874-7.1381e-17j 0.0109585-1.27693e-17j 0.0174909+5.68635e-17j -0.0100325-6.50753e-17j -0.00374933-1.1611e-16j -0.0229815-7.33911e-17j 0.00911679-8.72328e-17j -0.0103171+1.48325e-17j -0.0101124-3.72845e-17j 0.00618735-9.76714e-17j 0.0140809+4.33129e-16j -0.0291364+7.47457e-16j 0.0179703-8.15762e-17j -0.0355925-3.93312e-16j 0.00153788-2.22837e-16j -0.0045971-4.64802e-17j -0.0116335+2.45782e-17j 0.022856-1.63167e-16j -0.00525839-4.81375e-17j 0.00226259-2.16525e-16j 0.00888529-2.87614e-16j -0.0159119-2.29893e-16j 0.0148576+8.81888e-17j 0.013155-7.42867e-17j -0.00411367-1.48127e-16j 0.00350795+2.05418e-17j -0.00186438+2.20027e-17j -0.00988048-2.8591e-17j 0.001934-3.36561e-17j 0.020369-4.31534e-17j -0.0101541-6.37468e-18j 0.00093209+1.37283e-17j 0.0207356-1.31602e-17j -0.00620302+1.56662e-17j -0.00314256+2.79465e-19j -0.00840147+1.18333e-16j -0.0249554+1.20431e-16j 0.0208401-1.71238e-15j -0.0151475+7.85852e-15j 
0.0150581-6.87654e-15j 0.0390407-1.51362e-15j 0.0319874-1.09165e-18j 0.00591896+7.1498e-17j -0.00109028+2.91315e-17j -0.0115368+5.21431e-18j 0.0277507+2.72305e-17j -0.016651-1.86465e-17j -0.00601563-3.65099e-17j 0.00580546+4.53908e-17j 0.00190263+3.86311e-17j 0.0157216-1.91248e-17j 0.00367983-4.00091e-17j 0.00621447-6.01936e-17j -0.00109686+2.32578e-16j 0.0230178-2.29204e-16j -0.0226856-1.28724e-15j 0.0117364+2.8521e-16j 0.000857083-1.02129e-16j 0.00696971-7.38963e-18j -0.00481779+6.15544e-17j -0.0333578-2.10182e-16j -0.00193933+4.75112e-18j -0.00280825+2.40938e-18j -0.00622199-6.93681e-17j 0.0474395-1.11436e-16j 0.0124382-2.29287e-16j -0.0013909+5.60885e-16j -0.0241168+8.32729e-16j 0.00420466-4.21308e-17j 0.00393078+6.17938e-17j -0.021041+1.76394e-17j -0.00416004-5.16408e-18j 0.0356907+1.30441e-17j 0.0114964-1.33167e-16j 0.0221183+1.47729e-16j -0.0264142+5.57635e-16j -0.00295564+2.08503e-16j 0.0033781-1.0732e-16j -0.019127-1.41279e-16j 0.0347449-2.86288e-16j -0.00814873-1.7107e-16j 0.00323922+4.63502e-17j 0.00830034-9.62676e-17j 0.00619686+3.29035e-17j 0.00219404+1.63701e-17j -0.0140834+8.34436e-18j 0.00298877+2.3565e-17j -0.015966-4.80822e-17j 0.0248503+2.034e-17j 0.00783482+1.0046e-16j -0.0225035-6.55905e-17j 0.0176264-8.14668e-17j 0.0134243-3.16383e-18j 0.041796+8.72615e-16j 0.0191045-3.90735e-15j 
-0.00275245+2.63065e-15j -0.02902+5.84561e-16j -0.0101036-2.6617e-17j -0.000956064-1.93996e-17j 0.00780304-2.02535e-17j 0.00370169+7.26216e-18j -0.0111134-1.8047e-17j 0.000298078+6.67756e-18j 0.00442591+1.1409e-17j 0.00402852-4.04033e-17j -0.00764122+8.56154e-18j -0.0056953-3.10202e-17j -0.0213233+8.19688e-17j -0.00422764+6.78328e-17j 0.0034119-1.8625e-16j -0.0152107+2.4178e-16j 0.000560044+1.02228e-16j -0.00381372+1.93321e-17j -0.0164969+3.19908e-17j -0.0103082-8.86785e-18j 0.00153534-2.56075e-18j 0.0182305+1.81042e-16j 0.0100722+6.12892e-17j 0.00530208+3.85176e-17j 0.00829222-7.69677e-18j -0.00846687-1.51447e-17j 0.00432103+5.78482e-17j -0.0109933-3.09444e-16j 0.0210722-4.13492e-16j -0.0109718+8.07714e-17j 0.000187432+1.30795e-18j 0.014031+1.35089e-18j 0.00276967+7.06137e-18j -0.000192136-3.88944e-17j -0.0110343+1.00486e-16j -0.00807733-4.998e-17j 0.00669958-1.00575e-16j 0.00201438+8.8886e-17j 0.00707296+2.1528e-16j 0.00296338+1.36196e-17j -0.0187541+1.4857e-16j 0.00619451+1.28899e-16j -0.016099-1.30461e-16j -0.0183524+4.33731e-17j 0.00412776+4.96247e-17j 0.00575084+4.60907e-17j 0.00277147-6.73283e-18j -0.00229607-8.44064e-18j 0.00280489+2.38954e-17j -0.0122845-1.71678e-17j -0.00427039-4.19614e-17j 0.00791564+3.86608e-17j -0.00478988-1.98728e-18j 0.00112118-4.17214e-17j -0.0290098+1.10279e-16j -0.00501861-5.63518e-16j 
-0.0188876+5.06618e-15j 0.011273+9.49599e-16j -0.0245223+3.80254e-16j -0.00416988+4.73703e-17j -0.0176095+2.3099e-16j 0.0173705-3.28574e-16j 0.00233396-4.6823e-17j 0.014992-2.35271e-16j 0.00279951+1.90362e-17j 0.00240136-1.59138e-16j -0.00642453+7.1872e-17j -0.0105563+1.90857e-16j 0.0165312-2.54847e-16j 0.0131185-2.81341e-16j 0.0158447-3.29464e-16j 0.0122256-2.32965e-16j 0.0277389+9.49045e-16j 0.00465879-9.50345e-17j 0.00509879-1.45726e-16j 0.00501293-2.50697e-17j -0.00568553-2.65574e-17j 0.00936751-2.19715e-16j 0.000508025-3.63386e-17j 0.0121072-2.35337e-16j -0.012089+1.68548e-16j -0.0329684+4.19695e-16j 0.0120057-1.07541e-16j 0.0258555-7.12991e-17j -0.0239224+5.49312e-16j -0.000583383-2.04068e-16j -0.0205037+1.10762e-16j 0.00751089-2.72998e-16j 0.00433069+6.81199e-18j -0.0167907+2.30759e-16j 0.0192578-3.66225e-16j -0.0182557+1.73434e-16j 0.00738437-4.99019e-16j 0.0308418-6.17504e-16j -0.0146681+3.89197e-16j 0.0135881-8.41339e-17j -0.00229314+3.70969e-17j 0.0064321-8.63287e-17j 0.000482291+5.14032e-17j 0.0161782-1.88781e-16j -0.0106528+9.22607e-17j 0.0108464-1.57109e-16j 0.0177044-3.2725e-16j -0.0137636+1.84412e-16j 0.0175731-2.66246e-16j 0.0034404-4.34311e-17j -0.00959436+7.47529e-17j 0.00107867+4.35671e-17j -0.0192874+4.58804e-16j -0.026087+4.3322e-16j 0.00886157-2.02387e-15j -0.0205156+9.19343e-15j 
