-0.0295462-1.77517e-14j 0.025253-3.94248e-15j 0.0146833+1.48563e-16j -0.0217251-1.50391e-16j 0.0111665-1.33552e-18j -0.00928279+3.99682e-18j -0.00652489+7.16063e-18j -0.00400888-4.24412e-18j -0.010577+4.86903e-17j 0.01585+2.58982e-17j 0.00327232-1.5724e-17j -0.00569929+1.00842e-17j -0.0178729-1.34719e-17j -0.0172016+8.69094e-17j -0.000157672+2.68085e-17j -0.0103744-4.48972e-16j 0.0113155-2.54939e-17j 0.0110481-1.15624e-15j -0.0253471+4.94984e-16j 0.00382908-1.87853e-16j 0.0198163+6.72434e-17j -0.00626078-8.53884e-18j 0.0180783-3.16741e-18j 0.0128064-5.85012e-16j 0.0169276+3.8458e-16j 0.0111139-1.36355e-16j -0.00934188+4.5482e-16j 0.0168684-4.50745e-16j -0.0067521+1.57304e-16j -0.0145251+7.12792e-17j -0.00984352+2.11319e-16j 0.00422774+7.27344e-16j 0.0246687+1.40136e-17j 0.00144156-3.49526e-16j -0.0280168+5.20282e-17j -0.00121421-8.83196e-17j 0.000500098-1.73626e-17j -0.00386812-2.51407e-15j 0.00222989+3.05941e-15j -0.00225588-5.42834e-15j -0.00788039-3.76122e-17j 0.0136597+4.31115e-16j 0.0110866+5.99814e-17j 0.010755-2.06955e-16j 0.0234267-6.33848e-17j -0.00374849-1.05577e-16j 0.00201263-2.26989e-17j 0.0182904-5.43192e-17j 0.0342413+7.21232e-17j -0.00991629-1.08662e-16j -0.0142304-1.00044e-16j 0.00489341+2.27666e-17j -0.0115944-2.57707e-17j 0.000223283-6.60217e-17j 0.0057491+6.8009e-17j -0.00225681-1.15838e-17j -0.00993502+1.81631e-17j 0.00181268-3.87122e-17j -0.00978793-3.26991e-17j 0.00914641+8.94923e-17j 0.0119478+7.7785e-17j 0.00494776+5.58074e-17j 0.00647979-2.15129e-17j -0.00667749+5.32547e-17j -0.00897549+1.25633e-17j 0.0215985-2.43822e-18j 0.00182153-1.7095e-17j -0.00288851+5.48209e-18j 0.00930637-5.49918e-17j 0.0107659-8.90882e-18j -0.0010957-4.21662e-17j 0.0120414-2.13436e-17j -0.00274342+3.9581e-17j -0.00454534-1.72674e-17j 0.0320133-2.45402e-17j -0.0273249-1.33053e-14j 0.0198003+5.98493e-14j 
0.00775138+1.13214e-14j 0.0339269+2.51142e-15j -0.01451-9.31336e-17j 0.00923943+9.51431e-17j 0.0181901-2.67181e-18j 0.00663225+9.99467e-18j -0.00302456-4.09021e-18j -0.0049161+2.69977e-18j 0.0104528-4.35555e-17j -0.00843312-7.49414e-18j -0.00797905+1.89539e-18j 0.0169215-7.12921e-18j -0.0153809+2.73742e-17j 0.00119693+1.12313e-17j 0.00271234+4.60102e-17j -0.0158515-8.39331e-16j 0.0077427-8.10911e-17j -0.00659562+6.80347e-16j 0.0122309-2.38219e-16j -0.00428107+2.06329e-17j 0.008638+1.21652e-16j -0.00588427+2.37075e-17j 0.0265747+2.37121e-17j 0.00726174-3.98699e-16j 0.00624574+1.66861e-16j -0.00579988+1.76594e-16j 0.0045741-4.30967e-16j -0.0183816+5.26652e-16j 0.0309186-8.96706e-17j -0.018057-1.26584e-16j 0.00153393+1.72958e-16j -0.0123513-3.35132e-15j 0.00149125+2.8505e-16j 0.00270753-1.25258e-16j -0.00226715+8.31563e-17j 0.0223001+3.63556e-16j 0.00775624+1.95539e-17j 0.0134609-9.22488e-16j 0.0134302+5.64658e-15j -0.00981931-1.8962e-14j 0.0182457+1.22503e-16j 0.0102883+2.56442e-16j -0.00931256+1.26333e-16j 0.0125645-1.7385e-16j -0.0138695-1.15254e-16j -0.00617539-2.33296e-16j -0.0165646-3.4156e-16j 0.0137068-6.9446e-17j 0.00857189+1.63897e-16j 0.00236188-5.76604e-17j 0.00942196-5.3337e-17j -0.00765326-3.76209e-16j 0.00852419-3.31092e-17j 0.0163667-1.51839e-15j 0.0180109-9.61511e-17j 0.0066089-3.64791e-17j -0.00795792-2.61199e-17j -0.00445739+1.97563e-17j 0.0038548-1.09767e-17j -0.00929048-9.09348e-17j 0.0155236+8.53499e-17j -0.0135941-3.89581e-16j 0.0041499+4.09959e-17j -0.0144936+1.64606e-16j -0.0112793+3.6911e-17j 0.00588461+7.87188e-18j 0.00769226-1.63971e-17j -0.00923472-1.36314e-17j -0.00331643+8.02914e-18j -0.0119094+5.83212e-18j -0.0117041+2.92362e-17j -0.0113474+1.18073e-16j 0.0162209+7.19337e-18j 9.19356e-05+3.0016e-18j -0.00295127+1.04811e-17j -0.0316344+3.96096e-15j -0.0147311-1.77955e-14j 
-0.0108358-1.47926e-14j -0.0407364-3.27431e-15j 0.0337744+1.3079e-16j 0.014114-1.11353e-16j -0.00459359-4.61114e-18j -0.00559234-6.11029e-17j 0.0194553-9.93182e-18j -0.0114752-9.85714e-18j -0.0047159+6.17895e-18j 0.00547619+6.44914e-18j -0.00654071+2.83224e-17j -0.0200278-5.731e-17j -0.00174486-5.98949e-17j 0.0168943-8.61782e-17j -0.00663399-3.01781e-17j 0.0072859+3.46811e-16j -0.014518+1.16966e-16j 0.00982786-1.02071e-15j -0.00126001-6.53383e-17j -0.00293926+2.07515e-17j -0.0128994-6.46554e-17j 0.00267919-2.90698e-17j -0.00200909+1.7931e-17j -0.0155087+6.67064e-16j 0.0145253+3.24019e-16j -0.00480859-1.56029e-16j -0.0243337+6.1663e-16j 0.00816038-6.26937e-16j -0.031276+4.24997e-17j 0.0250233-3.67303e-18j 0.0218424-6.9756e-16j -0.010503-3.44677e-15j 0.0247583+1.61632e-16j 0.0224755-2.00468e-15j -0.0103637+1.28223e-16j -0.0130625-3.54086e-16j 0.00436633+2.28807e-16j -0.0085189+2.13755e-15j -0.000472769-1.09272e-14j 0.0250223+3.59252e-14j -0.0084686+3.23119e-18j -0.0108837-1.37189e-16j 0.0295895+7.40423e-17j 0.00175567-8.55008e-17j 0.0180952+4.07978e-17j -0.0136209-1.86314e-16j 0.00706335-4.66211e-18j -0.0177114+2.28552e-16j -0.0059016-1.83112e-17j -0.00661317-6.5577e-17j 0.00469261-8.88172e-17j -0.00963468-4.85844e-16j -0.0168294+5.27977e-17j -0.0263035+2.35513e-15j -0.0240239+1.50235e-16j -0.0155098-1.83804e-17j 0.0152231+8.3378e-17j -0.0139623-1.59906e-16j -0.0280894-3.9939e-16j 0.00329329-1.16212e-16j -0.0127356-7.98844e-17j 0.0143851+3.74358e-16j 0.00397214-7.47193e-17j 0.0118771-1.48861e-16j 0.0185117-3.42581e-17j -0.000896097+4.79435e-18j -0.000384757-3.33383e-17j -0.0124313+1.34443e-18j -0.00088547+1.75656e-17j -0.00378759+2.74663e-17j 0.015465+1.69924e-17j 0.0027023-1.01846e-16j -0.021889-6.68123e-17j 0.0253813-9.39468e-19j 0.003965+2.53101e-17j 0.0401979-7.87698e-15j 0.0242436+3.54591e-14j 
0.0212497+9.03501e-15j -0.0408123+2.03744e-15j -0.0164818+1.15051e-17j -0.013332+6.95662e-17j -0.0305257+4.64475e-17j 0.00779454-1.41207e-19j -0.00410707+1.98058e-17j 0.0279786-5.7771e-17j 0.000275163-1.19415e-17j 0.00046484-5.29627e-18j 0.00923097-1.4372e-17j -0.0085515+1.41272e-17j 0.0318248-3.79512e-17j 0.00857685-8.86544e-17j -0.00170022-8.74086e-17j 0.0338743+1.69602e-15j -0.00857741+6.09535e-17j -0.0037948+4.69754e-16j -0.00258127+8.1751e-17j 0.00611541+8.11675e-17j -0.0209753-1.74385e-16j 0.0118547-3.45581e-17j -0.0484416+3.40051e-17j -0.0156341+8.16621e-16j -0.0285147-6.36393e-16j 0.013113-6.12164e-17j 0.0175974-1.68614e-16j 0.0102264-4.27873e-17j -0.0125771+4.31259e-17j 0.0168787+1.10923e-16j 0.00323849-1.92041e-16j 0.0263421+7.77671e-15j -0.0385061-5.64558e-16j -0.0165573+1.45011e-15j 0.0258001-2.68972e-16j -0.0243493-2.20019e-16j -0.0161145-5.69604e-17j -0.0266539-5.24181e-15j -0.0173816+3.40529e-15j -0.00251416-1.03677e-16j -0.0204507-2.56135e-16j -0.028989-9.18187e-16j -0.0167135-2.94323e-16j -0.0195176+4.04639e-16j -0.00850991+2.07693e-16j 0.0281033+6.56606e-16j 0.0102472+4.79739e-16j -0.0157219-7.46917e-17j -0.0380654-2.26486e-16j 0.0195597+2.80086e-16j -0.00614458+3.26715e-16j 0.0242889+1.39629e-15j 0.00633934+1.89547e-17j -0.0109209+1.08398e-15j -0.0210626+4.03448e-17j -0.00186387+4.06159e-17j 0.00620608-3.79318e-17j 0.00782424+9.0395e-17j 0.0272973+2.59546e-16j -0.00198241+8.44335e-17j -0.020272-9.86292e-17j 0.00876974+3.69063e-16j -0.0120866+4.9467e-18j 0.0153966-1.48342e-16j 0.0151096-5.7777e-17j -0.030301+3.44332e-17j -0.010367+6.44891e-17j 0.0269463-4.29586e-17j -0.00860236+7.77321e-17j 0.0173906-5.6937e-17j -0.000127631+1.5513e-17j 0.00340788-5.86207e-17j -0.00948251-6.98529e-18j -0.0239153+8.64223e-17j -0.0222947+3.80031e-17j 0.0404966+1.20476e-14j -0.0144752-5.43009e-14j 
0.0612206+4.28081e-14j -0.0157291+9.46037e-15j -0.03283-4.20453e-16j 0.0638767+3.22714e-16j 8.81463e-05-6.77844e-17j 0.0210931+6.56042e-18j 0.0194371-1.73049e-17j -0.0105059+7.6174e-17j 0.0308389-1.42511e-16j -0.0406792-1.91827e-17j -0.0163421+5.02596e-17j 0.0294715-4.28179e-17j 0.0115112+8.0865e-17j 0.0341316-1.54587e-16j 0.00330272+6.33325e-18j -0.00247139-2.79788e-16j -0.01614-2.83167e-17j -0.0275659+2.83017e-15j 0.0676858-1.35369e-15j -0.0127886+4.25471e-16j -0.0278484+3.17987e-17j 0.00445843+6.88935e-17j 0.00195757-3.42243e-17j -0.0168297+6.56642e-16j -0.0195578-4.61648e-16j -0.0376083+4.96983e-16j 0.0122291-1.16821e-15j -0.0560728+1.37359e-15j 0.0405846-4.52964e-16j 0.0147703-3.02863e-16j 0.0245818-3.3233e-16j -0.0343753-8.698e-15j -0.0345099+4.57589e-16j 0.00876907-1.80927e-16j 0.0488527+1.05441e-16j 0.0308969+5.42014e-16j 0.0119452+1.38817e-17j 0.032539+9.91345e-15j 0.010696-8.96711e-15j 0.00555149+9.61611e-15j 0.0373474+2.46626e-16j -0.00944122-3.66203e-16j -0.0213369+9.03475e-17j -0.00739849+1.40949e-16j -0.0578554-3.2319e-17j -0.0131362-2.91046e-16j -0.0210233-4.41211e-16j -0.0252592+1.15298e-16j -0.0538483+3.83131e-17j 0.0134822+8.57259e-17j 0.0427879+1.20396e-18j -0.0297834-1.03215e-15j 0.0278065+2.30967e-17j 0.0143644-1.2806e-15j 0.00919771-2.62984e-16j 0.00907809-3.00863e-17j 0.0116322-4.88151e-17j -0.0113428+7.25388e-17j 0.00845774-4.09615e-17j -0.024847-3.00441e-16j -0.00746834-8.16721e-17j -0.0251934-5.62984e-16j -0.00475894+6.85951e-17j -0.00450233+6.9416e-17j 0.00454085+3.08946e-17j -0.0285704-2.33297e-17j 0.00649297+3.73464e-18j -0.0119664+4.83184e-17j -0.020217+8.10314e-17j -0.0436478+8.60141e-17j -0.00143194+1.22976e-16j -0.0368916+1.40858e-16j 0.0190406-1.31332e-16j 0.0245024-5.61335e-17j -0.0638023+3.82482e-17j 0.0220802+2.6578e-14j -0.0466952-1.19368e-13j 
0.00781056-4.37522e-15j -0.0624979-9.67928e-16j 0.01116-7.19825e-17j 0.00543781+4.63505e-17j -0.0343359+1.50377e-17j -0.00681579+2.83855e-17j 0.00928189+9.23757e-18j 0.00322124+1.53605e-17j -0.0102657+9.84949e-17j -0.000659351-6.76556e-17j 0.0119862-2.02665e-17j -0.0172114+7.76662e-17j 0.0360527-1.08141e-17j 0.00275286+1.42642e-17j -0.00158811-6.22596e-17j 0.023745+1.19022e-15j -0.0187379+1.21576e-16j -6.85105e-05-5.38712e-17j 0.00343684+4.81801e-17j 0.00328683+8.39535e-17j -0.0222146-2.28731e-16j 0.0123781-1.66359e-17j -0.0504682-2.97767e-17j -0.0147409+7.77205e-16j -0.0228693-5.83951e-16j -0.00537425-1.89238e-16j 0.000232815+3.0343e-16j 0.0127201-4.65743e-16j -0.0411769+6.63017e-17j 0.0359418+1.29977e-16j -0.00425723-1.687e-16j 0.0110776+3.31084e-15j -0.0192025-4.00792e-16j -0.00744904+6.83457e-16j 0.0260471-9.54828e-17j -0.0285031-3.53687e-16j -0.0116518-8.73634e-17j -0.00576217+8.04521e-15j -0.0232415-1.48466e-14j 0.017024+3.65516e-14j -0.0167704-8.29877e-18j -0.0159123-4.30793e-16j 0.00535372-2.39403e-16j -0.0300885+4.31817e-16j 0.00195924+1.09212e-16j 0.00644911+2.89992e-16j 0.0266502+4.67412e-16j -0.0347514+1.59927e-16j -0.0327624-3.42593e-16j -0.00311319+1.26553e-16j -0.00293045+1.31984e-16j 0.00106605+1.39578e-16j -0.00260295+1.0896e-16j -0.0188931+1.8371e-15j -0.0235603+8.70284e-17j -0.00438603+9.77166e-17j 0.0179444+2.55106e-17j 0.0104949-4.79813e-18j -0.00159471+9.62857e-17j 0.0106226+6.88413e-17j -0.030491-1.69835e-16j 0.0140578+3.96466e-16j -0.0110089-3.68906e-17j 0.0248158-2.9204e-16j 0.0171883-5.50384e-17j -0.0184232-5.52767e-17j -0.012538+4.92405e-17j 0.0142001+1.83771e-17j 0.00255866-3.58811e-17j 0.00548791-4.64704e-17j 0.0224254-5.48314e-17j 0.0087879-2.25415e-16j -0.0190121+1.47568e-17j 0.0080738-6.315e-18j -0.0179992-9.67669e-17j 0.0600812+2.32156e-15j 0.00881488-1.06228e-14j 
-0.0162665-1.5456e-14j -0.0205851-3.42465e-15j 0.0319918+1.35371e-16j 0.00282549-1.27885e-16j 0.0268555+1.28907e-17j 0.00414973+2.16279e-17j -0.00453041+7.82678e-18j 0.00419898+1.29779e-17j 0.00422559+2.07291e-17j 0.00381108-8.47809e-19j -0.0269583+3.93812e-18j -0.0296977-6.51531e-17j -0.00851734-1.31047e-16j 0.0433105-1.31533e-16j -0.0148194+5.46352e-18j -0.003719-1.73942e-16j -0.0122853+6.30441e-17j 0.0159484-1.63172e-15j -0.0135442+9.53222e-17j -0.0142538-3.53063e-17j -0.0184678-5.3285e-17j -0.00497342-5.5281e-17j 0.0206244+8.94034e-17j -0.0158977+5.35383e-16j 0.0357533+8.33782e-16j 0.0144951-1.48937e-16j -0.0165248+5.71418e-16j 0.00819942-5.59508e-16j -0.0109413+2.11885e-16j 0.00444341-8.46815e-17j 0.0314505-7.03398e-16j 0.00412366+1.7545e-16j 0.0409987-7.08792e-17j 0.0310965-2.82782e-15j -0.0337708+1.59651e-16j -0.0112035-4.11178e-16j 0.0163494+5.94443e-16j -0.0294945-2.05772e-14j 0.0261278+2.2874e-14j -0.0112331-3.68093e-14j 0.00898443-2.92045e-17j -0.0197099-4.53972e-16j 0.0335269+8.86754e-17j 0.0348754-3.36537e-16j 0.0279553-5.4004e-17j 0.00484808+2.45237e-16j -0.0132311-2.63283e-16j 0.00127152+1.41623e-16j 0.0101173-6.03607e-17j 0.00538359+8.75416e-17j -0.00149505+4.25406e-17j 0.00121224+2.06482e-17j -0.0214515+5.03254e-17j -0.0239742+2.14012e-15j -0.0310638+1.39239e-16j -0.0170042-7.18495e-17j 0.0278358+6.5944e-17j -0.0321354-2.21869e-16j -0.0216325-4.59755e-16j -0.0117178-3.82821e-16j 0.00291246+4.66995e-17j 0.0172098+4.79308e-16j 0.00652624-9.63953e-17j 0.0162469-2.40668e-16j 0.0324257-4.01001e-17j -0.00548609-4.56647e-17j 0.00593152-2.30644e-17j -0.0329786-2.40569e-17j -0.00223532-2.32607e-17j 0.0117175-8.7412e-18j -0.0213689-1.15332e-17j -0.00137497+3.35219e-17j -0.00863482-1.45177e-17j 0.0134995-1.72484e-17j 0.019116-9.17989e-18j 0.0223571-9.94881e-15j 0.0243121+4.47492e-14j 
0.00926939+2.3673e-16j -0.0406379+4.70451e-17j 0.00368944+2.40339e-17j -0.00918079-2.73034e-17j -0.0507439+3.4873e-18j 0.00528764+1.34842e-18j 0.0497618+4.21654e-17j 0.00684059+1.26317e-19j -0.000799082+2.46944e-17j 0.0268696+6.30162e-17j 0.0199428-7.02098e-17j 0.00473505+1.07194e-18j -0.0168783-2.98401e-17j -0.0141929+3.25196e-17j 0.00189354-1.73044e-16j 0.0521309+2.69899e-15j 3.31556e-05+9.65121e-17j -0.00139725+2.15323e-16j -0.00669318+2.82676e-16j 0.0314581+3.57953e-17j 0.00300716-1.02542e-16j 0.0115577+5.9975e-18j -0.0250627+6.06884e-17j -0.0193206+9.00048e-16j -0.0165627-4.22e-16j 0.00341008+5.3489e-18j -0.0205426+4.76485e-16j 0.0115571-7.00697e-16j -0.0249287+2.54097e-16j 0.030687+4.00215e-17j 0.0411366-9.98737e-16j -0.0102575-2.73654e-15j -0.0188309-4.6926e-17j 0.00946715-8.56472e-16j 0.00747175+1.21139e-16j -0.010328+4.78682e-17j -0.0250335-3.52415e-16j -0.0219869+1.68224e-14j -0.0393493-4.14157e-14j 0.0665345+1.1583e-13j -0.0634406-4.3562e-16j -0.0277325-9.04565e-16j 0.00129419-2.79595e-16j -0.022248+2.02206e-16j 0.00284585+3.69957e-18j -0.00959938-1.76454e-16j 0.00179097-1.97718e-17j -0.010616-6.23538e-17j -0.0384616-8.29545e-17j 0.0169007+2.67233e-16j 0.00415173+2.10562e-16j 0.0183916+1.16562e-15j -0.00974514+1.00316e-16j -0.0281747+2.57844e-15j -0.0238684+1.44907e-16j -0.0209483-4.98092e-17j -0.035165-6.98076e-18j 0.00402438-3.04121e-17j 0.00204468+1.82323e-16j 0.00884019+8.60794e-17j -0.0193724-9.92144e-17j 0.0071386+2.28479e-16j 0.00580083-2.18472e-17j -0.0233425+1.93117e-16j -0.000515993+8.05801e-18j -0.00813349-2.23605e-17j -0.00125582+7.18551e-17j 0.0458992+4.52473e-18j -0.0255877+7.63023e-17j -0.00541369-2.37327e-17j 0.041033+4.21006e-17j 0.00160829-3.53084e-16j -0.0458007-1.85941e-16j -0.0130197+1.60559e-18j -0.0144112-2.49903e-17j 0.0402974+7.32562e-15j -0.00527664-3.29941e-14j 
-0.0142225-7.97175e-15j 0.016074-1.79298e-15j -0.0178479+2.14507e-16j -0.0565005-2.37021e-16j -0.0189866-1.86565e-17j -0.00200296+1.24965e-17j -0.0248931+1.14991e-17j 0.0284083+7.91922e-19j -0.0197494-2.31575e-18j 0.0274972+1.61481e-16j 0.0157563-4.11267e-18j -0.00568121-9.32686e-19j 0.0156804+1.57391e-17j -0.0334958+7.55884e-17j 0.00454132-1.82418e-17j 0.00684066+4.7517e-16j 0.0102221-1.43725e-17j 0.000792393+2.61267e-17j -0.0356417+7.12465e-16j 0.00922094-2.20899e-16j 0.0255539+7.333e-17j 0.00615478-1.27451e-17j -0.0294329-8.20316e-17j 0.00849573-2.82181e-16j -0.0184784-3.74943e-16j 0.0365174-7.60285e-17j 0.0277933+2.85392e-17j 0.0319743-8.11478e-17j -0.00858058+6.56569e-17j -0.0225148+2.38868e-16j -0.0366475+7.42194e-16j 0.0407087+1.16604e-14j -0.0226331-6.21991e-16j -0.0278496+2.09793e-15j -0.00362976-3.89761e-16j -0.0252876-2.76485e-16j -0.0353217-6.04833e-16j -0.0272521-7.28374e-15j -0.0213308+9.66562e-15j -0.0166392-1.93399e-14j -0.0211192-3.08456e-16j 5.5933e-05-1.7061e-16j -0.0213319-2.46913e-16j -0.00740802+1.33312e-16j 0.0158804+2.54113e-16j 0.033103+8.09058e-16j 0.0224813+7.99823e-16j 0.0122379-2.63436e-16j 0.0110058-1.43333e-16j 0.00987536+2.22378e-16j -0.0242848+2.02666e-16j 0.0355896+1.79253e-15j -0.00029953-1.16471e-16j 0.0088837-7.9494e-16j 0.00048822-4.84766e-17j 0.00785555+3.50921e-17j -0.0114821-6.47771e-17j 0.032365+2.60296e-16j 0.0377633+6.03696e-16j 0.00802564+3.03351e-16j 0.00759171+6.47e-17j 0.0209041+7.83711e-16j -0.00793191-2.84836e-17j -0.000867064+5.23739e-17j -0.0155319-4.4474e-18j 0.00214896+3.88779e-17j -0.00188616+4.73951e-17j 0.0332348+4.69302e-17j 0.0105065+3.64948e-18j 0.0391501+3.70423e-17j -0.00416283-2.20743e-17j 0.0201645+1.71634e-17j -0.00467374-1.00736e-17j -0.0497704-1.65274e-17j 0.0192931+8.58223e-17j -0.0189159-1.55744e-15j -0.00110922+7.21984e-15j 
0.0104624+1.75101e-14j 0.0590173+3.89602e-15j -0.0528408-1.41237e-16j -0.0290892+1.55691e-16j 0.0097078+3.18131e-17j -0.00366351+5.12691e-17j -0.058847-2.41808e-17j 0.0230372-2.48322e-17j 0.00194628-1.65277e-17j -0.0242643-8.31014e-17j 0.0235252-1.30714e-17j 0.0217661+9.4649e-17j 0.0316344+1.33662e-16j -0.0312594+1.01974e-16j 0.00923139+6.38276e-17j -0.0119607-5.53756e-16j 0.0245584-1.99997e-16j -0.00980008+1.0075e-15j -0.00767825+2.03865e-16j 0.0041158-1.46295e-17j 0.0030991-7.80219e-17j -0.00726047+3.05144e-17j -0.0201918-1.13132e-16j 0.0399624-1.54189e-15j -0.0343049-7.92418e-16j 0.00283387+8.27554e-17j 0.0483656-9.91133e-16j -0.00315749+9.93192e-16j 0.0361246-1.92557e-16j -0.0332253+1.86291e-16j -0.0643612+1.54914e-15j 0.0398939+1.21243e-14j -0.0479315-6.22408e-16j -0.0613083+5.37461e-15j 0.0274544-4.44637e-16j 0.0104569+2.77101e-16j 0.0086494-1.04927e-16j 0.0239003-6.50015e-15j 0.00121654+3.19715e-14j -0.0726733-1.04522e-13j 0.0183042-7.54875e-18j 0.0252631+5.31954e-16j -0.0497708-1.12951e-16j -0.0186282+4.35198e-16j -0.0268969+9.23753e-17j 0.0363831+5.50023e-16j -0.00170814+3.10445e-16j 0.025429-3.49587e-16j 0.0181804-7.63348e-18j -0.00427276-1.15258e-16j -0.0302411+1.39948e-18j 0.0169525+6.20576e-16j 0.0315544-1.16975e-16j 0.0476638-4.22497e-15j 0.0426997-2.4412e-16j 0.0342095+1.21002e-16j -0.0104761-1.12774e-16j 0.0279896+2.74332e-16j 0.0445203+6.21557e-16j 0.00837239+5.0544e-16j 0.00643686+2.47187e-17j -0.032853-9.64082e-16j -0.0166798+1.75322e-16j 0.00615653+3.70325e-17j -0.0194394+1.68162e-17j -0.00199229+4.11998e-17j -0.0172349+2.75645e-17j 0.0172625-2.86015e-17j 0.0163625-2.80873e-17j 0.0175809-4.73286e-17j -0.0355622-9.07633e-17j 0.0086075+2.77312e-16j 0.0513273+2.56679e-16j -0.0385104+4.59915e-17j -0.00106643-7.3424e-18j -0.0617241+7.90755e-15j -0.0291283-3.56627e-14j 
0.0643308+5.36428e-14j 0.0348349+1.1802e-14j -0.0846243-4.95508e-16j -0.0219444+1.80931e-16j 0.0146131-1.38262e-17j 0.0497006+2.46768e-16j -0.0388182-1.33696e-16j 0.0698191+2.57656e-16j 0.0410141-8.55833e-17j -0.0205244-5.16227e-17j -0.0218283-3.47427e-17j 0.02251-5.34603e-17j 0.00737052+1.3256e-16j 0.0485812-8.81618e-17j -0.00271728-7.06041e-17j 0.0282166+1.60905e-15j 0.0136418-1.5677e-16j -0.016297+1.87268e-15j 0.0125533-3.6296e-16j -0.00996129+1.61031e-16j -0.0229461-1.55194e-16j 0.00356858+3.08623e-17j -0.00264662-6.71377e-17j -0.0197271+6.23444e-16j -0.0213529-5.76931e-16j 0.0405517+6.48772e-16j 0.0542412-1.32716e-15j -0.0255594+1.40451e-15j 0.0897805+2.44808e-16j -0.042518-2.6268e-16j 0.0318544-4.90862e-17j 0.0359437+1.10677e-14j -0.0652741-9.92223e-16j -0.0214965+1.84551e-15j 0.0210633-1.579e-16j 0.0119511+3.75952e-16j -0.00329637+2.63479e-16j -0.0584859-4.34132e-14j 0.0313429+6.00827e-14j -0.0626108-1.22559e-13j 0.0146707-5.11275e-16j -0.0496301-2.12301e-15j -0.0667226-6.02887e-16j 0.0281238+2.87701e-17j -0.0519272-1.02513e-16j 0.062314+1.53437e-15j -0.0473522-1.94678e-16j 0.0351991-4.88108e-16j -0.0408008-2.67881e-16j 0.0709448+1.00073e-15j 0.0102536+7.52588e-16j 0.0545703+3.5299e-15j 0.0368344+2.66649e-17j 0.018619-1.69278e-15j 0.00153355-2.57457e-16j 0.00875622-1.02899e-16j -0.00799239-1.81301e-16j -0.0206029+1.78396e-16j 0.082496+8.61955e-16j -0.0512259-5.15904e-16j 0.020198+1.22114e-16j -0.0170975-1.61107e-16j -0.0091995-1.44096e-18j -0.00822316+2.32102e-16j 0.00835241+8.65873e-17j -0.0560595-2.32606e-16j 0.00437672+3.02301e-17j 0.0204116+5.04172e-17j -0.0362812+8.19748e-17j 0.0224995+7.58545e-17j -0.0714259-1.0344e-16j -0.0287763+3.4847e-16j 0.037342+9.69044e-17j -0.0740315-1.64348e-16j -0.0414905-6.33682e-17j -0.0263789+3.77602e-14j -0.0791318-1.69689e-13j 
