-0.0187916+3.66923e-17j 0.0406673+6.91633e-18j -0.00385486-2.87956e-18j 0.00239797+1.77273e-17j 0.013692-5.06348e-18j -0.00260461+1.8323e-17j -0.0237847+5.19488e-18j 0.021128+1.9724e-17j 0.00229339+3.57502e-18j -0.00770498-1.54001e-17j -0.00179823+4.19277e-18j 0.00145588+1.07264e-17j 0.0141249-9.38727e-18j -0.0142736+5.80355e-18j -0.00385729+1.06894e-17j -0.000990698-3.08609e-17j -0.00632393-2.97824e-17j -0.0143512+3.08672e-16j -0.00835948+1.06407e-16j 0.00118845+1.46997e-16j 0.0277356-3.18282e-17j 0.00471787+2.24501e-16j -0.00150342+1.81769e-17j -0.000867689+5.51169e-17j 0.013015-3.1292e-17j 0.00226451-1.61232e-18j -6.61154e-05-5.08958e-17j -0.0124036+3.86346e-16j -0.0103726+3.49088e-16j 0.0121444-2.91243e-16j 0.0147588+5.20503e-16j 0.00106464-7.64281e-17j -0.00131544+6.63042e-17j -0.00111892-1.14857e-16j 0.00190721+1.34508e-15j -0.00132002-1.09914e-16j 0.0053429+2.12553e-16j 0.00609185+1.33726e-16j -0.00561622-1.14852e-16j 0.0144814+1.20163e-15j -0.000258801+1.90308e-15j -0.00339832-2.45711e-16j -0.0253795-1.54966e-16j -0.0130143+4.46161e-16j -0.0116228+2.04704e-15j 0.000239028+1.10234e-16j 0.0169451+4.72464e-16j 0.0125223+3.51274e-16j 0.0216428-2.07785e-15j -0.00634918-1.41343e-16j -0.00394651+5.23663e-17j -0.0165489+3.93408e-17j -0.00178696+3.8742e-17j 0.0107416+1.23763e-15j -0.00268913-1.94413e-16j 0.00327574+2.28093e-15j -0.0142597-4.40173e-17j 0.0198641-8.23276e-17j -0.0097061+5.94381e-17j 0.00803216+1.18382e-17j -0.00703232-2.15746e-17j 0.0155815-3.50318e-17j 0.0127221-1.59748e-18j 0.00488195-1.57439e-18j -0.0165116-1.79e-17j 0.0283389-1.14751e-17j 0.00810936+4.15851e-19j -0.00133976-2.78166e-18j -0.00652234-2.26511e-17j -0.0126047-5.98081e-18j 0.0429617-2.90325e-16j 0.00819436+6.59293e-16j 
0.00410123-9.79702e-16j 0.0160657-4.3284e-16j 0.0147313+1.5081e-17j -0.0104463-2.74101e-17j -0.00628247+7.97857e-18j 0.0106384-3.44646e-17j -0.0135838-8.32614e-18j -0.00232684+1.19659e-17j -0.000127369+4.62103e-18j -0.00283735-1.13449e-18j 0.00145801+2.25439e-19j -0.00231197-8.916e-18j -0.00101887+1.1471e-17j -0.00206071+9.02725e-18j -0.00571533+2.11723e-17j -0.00224181-2.18043e-17j -0.00324817+3.13849e-19j -0.00754872+1.4915e-16j -0.00436293+1.12639e-16j -0.0106772-7.28798e-17j 0.00180489-5.94403e-17j -0.00260524-1.20112e-16j 0.0020488-1.39533e-17j -0.00672758+8.77881e-17j -0.000597074-2.86345e-17j 0.00892737+9.93423e-17j 0.00143026-1.29224e-16j -0.0101737+3.79484e-17j 0.00564315-8.02456e-17j -0.00780047+7.09152e-18j -0.00640447-2.4743e-16j -0.00548276+4.41438e-17j -0.00535098+1.35812e-16j 0.00776327-6.81207e-18j 0.00985716+6.86922e-15j 0.00585523-6.40556e-17j 0.0036598+6.36476e-17j -0.00112639-1.36467e-19j -0.0082926+2.54673e-17j 0.00353242-1.84385e-15j -0.0163938-2.90141e-15j 0.00832124+1.26183e-16j -0.0083376-2.57139e-18j 0.00375813-1.07659e-17j 0.000423284-2.1549e-16j -0.00896362+3.99337e-17j 0.00830344+1.58207e-16j 0.00407401+1.6396e-16j 0.00199467-1.01909e-16j -0.0110879+2.42414e-17j 0.00273473-4.24597e-17j -0.00680708+1.09291e-17j -0.00467651+3.36141e-18j -0.016028-1.95688e-15j 0.0139768+7.10804e-16j -0.0115505-8.16225e-15j -0.00564236-2.03649e-17j 0.0131365-1.7168e-17j -0.00119326+5.16808e-17j -0.00142866+1.88876e-17j 0.00366651-2.97915e-17j 0.00295341-1.86706e-17j 0.00332896-2.73835e-18j -0.00266975+1.5145e-17j -0.00894288-8.0232e-18j 0.00645226+9.05983e-19j -0.00883192+2.60116e-17j -0.0152811+1.07266e-17j 0.00527544+2.58173e-17j 0.0129525+6.44586e-18j 0.0130156+2.2047e-16j 0.0132157-4.91505e-16j 
0.0114836-6.98264e-16j -0.00683408-3.08929e-16j 0.0139484+5.37522e-17j -0.00570605-4.71181e-17j -0.0145109-2.51725e-17j 0.00925706-2.7349e-18j 0.00310815-2.02111e-17j -0.00745981-9.63433e-18j 0.0021828+9.60524e-18j 0.00120747-2.03461e-18j -0.00129049-5.35437e-18j 0.00147466+1.00472e-17j -0.00454881+3.37581e-18j -0.000156252+9.86298e-18j 0.00116204-1.37374e-17j -0.00372127+2.17604e-17j 0.00133643+4.62541e-18j -0.00237134-1.53638e-17j 0.001646+3.29501e-17j -0.00635437-1.1937e-16j -0.0152249-4.9102e-17j -0.00142339-1.45368e-16j 0.00501442-2.43419e-17j -0.00466767+2.58318e-17j -0.0079954-1.55971e-17j 0.00678484+1.49003e-16j -0.000720573-1.16306e-16j -0.00243192-1.2719e-16j 0.00438851-1.83485e-16j -0.0120977+2.41584e-17j -0.0110803-4.342e-16j -0.00663902+3.29929e-18j -0.000707257+2.68236e-17j 0.00942074+4.97197e-17j -0.00310167-2.20556e-15j 0.00475546+1.57165e-16j -0.00307-1.61872e-16j 0.00124581+1.93332e-17j -0.00177448+2.277e-17j -0.00464889-1.9657e-15j -0.0123665-3.16156e-15j 0.00423972+2.30506e-16j 0.00702855+6.71267e-17j 0.0101492-4.74575e-17j 0.000841477-4.33584e-16j -0.00430236-2.60524e-17j -0.00309644-1.12246e-16j -0.00259803-5.32042e-17j -0.0105822+1.06511e-15j -0.00568622+4.53449e-17j -0.00449105-2.41783e-17j 0.00451689+1.79299e-17j -0.00568788-3.26164e-17j -0.0186953-2.30438e-15j 0.0124756+7.15513e-16j -0.00497344-3.51633e-15j 0.00139528+1.11646e-17j -0.000174841+5.08589e-17j 0.00921718+3.40031e-18j -0.00300722-1.26703e-17j 0.0011438+7.87817e-18j -0.00268985+1.93964e-17j -0.000152916+6.16622e-18j -7.39454e-06+2.43134e-18j -0.0048334-2.50223e-17j -0.0111905-5.70965e-18j -0.00995103-7.02831e-18j -0.00821714-2.67435e-17j 0.0103758+6.26873e-17j 0.0148984+5.6714e-17j -0.0100384+3.0695e-16j 0.00651252-6.68384e-16j 
0.0153839+9.29215e-16j -0.0582704+4.02767e-16j -0.0095065-4.68998e-17j 0.00924157+2.87317e-17j -0.00911168+2.09836e-17j -0.00793406-6.86705e-18j 0.0400099+2.20114e-17j -0.0206785-3.08255e-17j -0.00124505-1.2241e-17j 0.0184867+1.92399e-17j 0.00260246-7.26778e-18j 0.00201424+6.30738e-18j -0.0116342+2.9233e-18j 0.0144514-1.40192e-17j 0.00366605-5.97292e-19j 0.00341035+2.85683e-17j 0.0125156+2.94525e-17j 0.0186397-4.03429e-16j 0.0160007-2.10541e-16j 0.0102466-3.70897e-17j -0.0327539+1.10829e-16j 0.00240741+3.60192e-17j -0.000188522-1.87215e-17j 0.012131-2.14785e-16j -0.0129584+5.71544e-17j -0.00882848-1.48822e-16j 0.0025339+1.5491e-16j 0.0225496-3.94502e-16j 0.00590652-2.81551e-16j -0.00527263+3.06231e-16j -0.00840943-2.41348e-16j 0.00109882+2.62022e-17j 0.0137545-2.15707e-16j -0.00229201+1.57666e-16j -0.0128931-9.01216e-15j -0.00104303+2.55959e-16j -0.0117265-3.77752e-16j -0.000346884-4.89865e-17j 0.0125852+6.96171e-17j -0.0216483+1.37728e-16j 0.0149249+2.18453e-16j -0.00325247+1.57437e-16j 0.0328962+1.76698e-16j 0.00807885-2.86557e-16j 0.00592255-1.03286e-15j 0.00863179-1.32485e-16j -0.0266306-6.40743e-16j -0.0124522-4.74845e-16j -0.0227211+2.08328e-15j 0.0209088+1.26696e-16j 0.00205735+6.99716e-19j 0.0219476-4.9191e-17j 0.00912516-2.68927e-17j 0.0070243+9.49283e-16j -0.00891007-4.55827e-16j 0.00800181+5.7022e-15j 0.0160591+6.80067e-17j -0.0282735+7.72733e-17j 0.0150039-1.11362e-16j -0.0087643-2.2544e-17j 0.00459616+5.78423e-17j -0.0217509+5.50278e-17j -0.0197188-3.46124e-18j -0.00273407-9.47297e-18j 0.0266376+4.91274e-17j -0.0361577+9.85299e-18j 0.000368527-4.9949e-18j 0.0172217+1.97292e-17j 0.00246305-1.93249e-17j -0.000903361-2.94636e-17j -0.0572767+6.52166e-17j -0.0215693-2.20727e-16j 
0.0172099-5.5314e-16j -0.0234306-2.26842e-16j 0.0139638+4.70189e-17j -0.00347597-4.79109e-17j -0.0194337-1.28341e-17j 0.00839712-5.23075e-18j 0.0151422-2.81338e-17j -0.0149622-2.05442e-17j 0.00251358+4.60812e-18j 0.0108298+9.6107e-18j 0.000707207-2.43486e-18j 0.00271458+1.25025e-17j -0.0073257+1.05667e-17j 0.00262272+1.95016e-18j -0.00144383-1.54037e-17j -0.00304278+1.37261e-17j 0.00644142+9.76123e-18j 0.000287486-1.04292e-16j 0.00778706-1.49329e-17j -0.00416203-1.36186e-16j -0.0271488-6.93658e-18j 0.00160334-7.01184e-17j 0.00570679-4.0273e-17j 0.000586909-7.18892e-17j -0.0125254-1.04118e-18j 0.00667787+1.10985e-16j 0.00226987-9.53606e-17j 0.00297618-2.41697e-16j 0.00733269-2.75732e-16j -0.0154192+1.14881e-16j -0.0146256-5.35477e-16j -0.00897754-2.00954e-18j 0.00685118-3.25194e-17j 0.0123932+1.33064e-16j -0.00702165-4.9351e-15j 0.007155+2.96488e-16j -0.00789348-3.28223e-16j 0.00381042+5.90921e-17j 0.000349666+1.79412e-17j -0.0128702-2.46727e-15j -0.0111078-3.97867e-15j 0.00502963+3.37177e-16j 0.015717+1.1093e-16j 0.0126643-4.45859e-17j -0.000494898-3.06441e-16j -0.00281401-6.63846e-17j -0.0110101-2.79651e-16j -0.00363943-1.41218e-16j -0.016958+1.66349e-15j 0.0010806+7.7351e-17j -0.00362163-1.26224e-17j 0.00975229-1.06456e-17j -0.0023143-3.51669e-17j -0.0180008-2.20318e-15j 0.0130844+7.3895e-16j -0.00393848-2.78335e-15j 0.00342307+1.52051e-17j -0.00453852+9.28842e-17j 0.0163333-2.6128e-17j -0.00696945-1.82779e-17j 0.00343412+3.42429e-17j -0.0105759+3.76717e-17j -0.00755287+2.09434e-18j -0.00122158-2.63563e-18j 0.00235286-1.2092e-17j -0.0224387+1.24602e-17j -0.011277-6.64893e-18j -0.00457821-2.9707e-17j 0.0128125+5.97207e-17j 0.0161523+5.15493e-17j -0.0266295+3.84634e-16j 0.00167572-8.15857e-16j 
-0.019845+2.0723e-15j -0.0104596+9.44248e-16j -0.0329369-9.52475e-17j 0.0270059+1.14008e-16j 0.0190052+2.79888e-17j -0.023914+4.19883e-17j 0.018661+2.56163e-17j 0.0234568+3.09867e-17j 0.00534599-4.68658e-18j 0.000873748-3.67146e-18j -0.00526612-7.0037e-18j 0.00449499+3.75978e-17j 0.0146142-3.80928e-18j -0.00762353-3.12081e-17j 0.0105323-6.62582e-17j -0.00165364+9.21962e-17j 1.83661e-05-3.39689e-18j 0.00709461-1.79961e-16j 0.0108827-2.26185e-16j 0.0264491+2.79205e-16j 0.00924353+1.66034e-16j 0.00958848+4.5328e-16j -0.00954119+5.70909e-17j 0.0128516-1.28804e-16j 0.00938947+3.25618e-17j -0.0134642-1.58465e-16j -0.00647996+1.89821e-16j 0.0210931+6.08511e-17j -0.0210245+2.69018e-16j 0.0233641-2.35988e-16j 0.0244141+1.04181e-15j 0.00284201-1.75355e-16j 0.00996983-1.19916e-16j -0.0111487-1.36116e-16j -0.0239571-1.67472e-14j -0.0131146+1.32123e-16j -0.008316-1.21682e-16j 0.0133311+2.17654e-16j 0.0154436-1.96279e-16j 0.000282678+5.20042e-15j 0.0396161+8.18678e-15j -0.0163789-5.40696e-16j 0.0020052-7.19328e-17j -0.0148926+2.79779e-16j -0.00936922+1.85415e-15j 0.0242102+2.916e-17j -0.00975933-6.02021e-17j 0.00164637-1.17494e-16j 0.0015856-2.58709e-16j 0.0165605-7.94059e-17j -0.0136358+1.42312e-16j 0.00294246+2.37903e-17j 0.00677891+3.79253e-17j 0.0360535+4.46496e-15j -0.030759-1.61373e-15j 0.0313656+2.21975e-14j 0.000942591+1.41229e-17j -0.0175592-5.34726e-18j 0.00227928-1.13439e-16j 0.00830576-3.28805e-17j -0.0182501+6.25386e-17j 0.00318353+6.25572e-17j 0.00417303+8.78191e-18j 0.0127813-2.7395e-17j 0.00508794+1.02898e-17j 0.000944641+2.02886e-17j 0.0234636-6.15735e-18j 0.0346238+2.28809e-17j -0.011848-9.41245e-17j -0.0356168-8.10078e-17j -0.00255453-5.93806e-16j -0.0227332+1.36019e-15j 
0.0117687+4.04484e-16j -0.0363432+1.99857e-16j -0.00421092+1.26748e-17j -0.00019766-1.52746e-17j -0.00311817-5.03384e-18j -0.00336474+1.39997e-17j 0.0216658-1.00676e-17j -0.0225064-3.30819e-17j -0.00564031-8.77431e-18j 0.0180039+1.37001e-17j 0.00823282+2.62347e-19j -0.00302743-2.92319e-17j -0.011555+6.72542e-18j 0.0156586-3.09154e-17j -0.00805835+4.58411e-17j 0.00692732-8.19615e-17j 0.00958654+1.20195e-17j 0.0130402-2.51783e-16j 0.00891278-1.01743e-16j 0.00156513-8.41556e-17j -0.0176908+5.24616e-17j 0.000501392+1.23678e-17j -0.00196134-5.09251e-18j 0.0104066-2.09593e-16j -0.00713004+2.31578e-17j -0.00511114-1.65684e-16j 0.00819725+1.31562e-16j 0.011748-2.82513e-16j 0.0127667-2.01134e-16j -0.00463704+3.21373e-16j -0.00806146-2.80617e-16j 0.00262674+6.15037e-17j 0.00992149-1.29282e-16j -0.00264861+2.20009e-16j 0.00640232+4.52669e-15j 0.00326805+3.44737e-17j -0.00358486-1.30594e-16j -0.00559573-1.03752e-16j 0.00301102+8.17071e-17j -0.0152771-7.41221e-16j 0.00440263-1.17807e-15j 0.00442254+2.11623e-16j 0.017666+1.04965e-16j 0.00316898-2.574e-16j 0.00695219-1.07901e-15j -0.000803882-1.17305e-16j -0.0144543-3.5397e-16j -0.00538125-2.22291e-16j -0.0091943+8.03886e-16j 0.0156276+5.98615e-17j 0.015131-5.99946e-17j 0.0100344-9.68993e-17j 0.011704-2.96433e-17j 0.00647285+7.82644e-16j -0.00268973-1.54656e-16j -0.00533274-3.77336e-15j 0.00871197+7.26745e-18j -0.011194+5.63446e-17j 0.00368804-1.47111e-17j -0.0101366+1.17049e-17j 0.0128316+1.42031e-17j -0.0192782+9.27717e-18j -0.0204271+3.87402e-18j -0.00950813+7.73948e-18j 0.0255875+1.82339e-17j -0.0191553+1.43167e-17j -0.00216889-2.55253e-17j 0.00467059-1.50259e-17j -0.00193636-2.78963e-19j 0.00240021+6.48716e-18j -0.0362814+9.75394e-17j -0.0125554-1.81275e-16j 
0.0313522-1.43796e-15j -0.0317241-6.41564e-16j 0.0323017+6.48093e-17j -0.00938402-7.53738e-17j -0.0394642-1.46102e-17j 0.0199897-4.17429e-17j 0.0193378-2.4419e-17j -0.0239172-1.73702e-17j 0.00641867+1.73227e-17j 0.0137538+5.64537e-18j -0.00255401-1.3011e-17j 0.00837302+4.73474e-17j -0.012281+2.17243e-17j -0.000569076+2.5315e-17j 0.00148314-1.44931e-17j -0.00709411+4.66513e-17j 0.0106086+1.00197e-17j -0.0058458-4.96308e-17j 0.00828841+5.79956e-17j -0.0116367-2.27998e-16j -0.0480165-5.84619e-17j 0.00222609-1.96941e-16j 0.0161111-1.05428e-16j -0.00410293-3.16812e-17j -0.0239057+6.70343e-18j 0.0147208+2.6764e-16j 0.00212559-2.59593e-16j -0.00363687-2.94949e-16j 0.010603-4.70903e-16j -0.030985+1.49752e-16j -0.0288902-1.10211e-15j -0.0153564+8.74555e-18j 0.00957466-6.47608e-17j 0.0247716+1.79235e-16j -0.0167669-1.18215e-14j 0.0135048+5.62635e-16j -0.0131583-5.90263e-16j 0.00687299+1.08518e-16j -0.001248+7.33138e-17j -0.0193238-5.28322e-15j -0.0292906-8.44627e-15j 0.00639098+6.52719e-16j 0.0256288+1.91904e-16j 0.0257502+9.43695e-18j -0.00358264-2.56322e-16j -0.00847371-7.01029e-17j -0.0151748-4.43303e-16j -0.00718975-2.21122e-16j -0.0284127+2.80636e-15j -0.00435022+1.4119e-16j -0.0132728-2.8942e-17j 0.017285+3.26923e-17j -0.0104393-6.19972e-17j -0.0405129-4.94093e-15j 0.0295254+1.62007e-15j -0.00829923-5.83604e-15j 0.00472285+4.74738e-17j -0.00373102+1.25143e-16j 0.0305192-3.38926e-17j -0.00988728-3.02672e-17j 0.00399077+3.2555e-17j -0.0126664+6.00048e-17j -0.00736279+5.6141e-18j 0.000192297+5.99785e-18j -0.00637733-2.16838e-17j -0.0377851+8.38259e-19j -0.0233953+1.60032e-17j -0.0140775-1.97368e-17j 0.0272463+1.18806e-16j 0.0344337+8.05853e-17j -0.0388036+7.47571e-16j 0.0100225-1.69192e-15j 
0.0160564+3.8366e-16j -0.0458207+2.35802e-16j -0.000757711+3.39482e-18j 0.0074851-8.26197e-19j -0.0153268+4.82964e-18j -0.00161712+2.16973e-18j 0.0336192-3.93453e-17j -0.0113464-1.09062e-17j 0.00365873-7.19868e-19j 0.0093504+2.01898e-17j -0.00169474-1.57844e-17j 0.00145262+3.95967e-17j -0.00718021+1.34638e-17j 0.00721036-3.11327e-17j 0.00802713-6.55655e-17j -0.00493741+1.18582e-16j 0.00578722+4.96057e-17j 0.0132778-4.06477e-16j 0.0167867-2.2222e-16j 0.00761631-9.65517e-17j -0.0332205+9.6411e-17j 0.000509487-3.83067e-17j -0.00108515+3.31286e-17j 0.00364944-9.48695e-17j -0.0129234+1.64945e-17j -0.000922186+5.92126e-17j -0.0040021+3.67628e-17j 0.0214399-4.93775e-16j 0.0019367-3.57503e-16j -0.00929063+1.3324e-16j -0.00918986-2.32941e-16j -0.00903979-6.2231e-18j 0.00621711-2.77049e-17j 0.00613538+5.73809e-17j -0.0165028-1.15953e-14j -0.000542991+3.27107e-16j -0.0126875-4.15663e-16j 0.0054438+5.78804e-17j 0.01077-2.46005e-17j -0.0169928-2.70032e-18j 0.0107614-1.3276e-16j 0.000464876+8.59706e-17j 0.0278105+1.49788e-16j 0.0121861-2.68758e-16j 0.00497008-1.0743e-15j 0.00958121-1.13216e-16j -0.0226511-5.04558e-16j -0.0101191-3.78333e-16j -0.0286731+2.80626e-15j 0.00821755+1.40768e-16j -0.00792878+1.05363e-17j 0.0181027-3.86182e-18j 0.000172347-3.69935e-17j -0.00826377-9.02772e-16j -0.00171689+1.75881e-17j 0.00951213+6.76073e-15j 0.012123+4.0797e-17j -0.0250926+1.47395e-16j 0.0192549-1.16628e-16j -0.00573782-3.40242e-17j -0.00351073+7.91218e-17j -0.0147656+1.01741e-16j -0.00861975+7.65487e-18j 0.00304823-1.54348e-17j 0.0118536-1.46232e-17j -0.0336877+3.95573e-17j -0.00392344-1.71769e-18j 0.0120712-1.89163e-17j 0.00947368+2.10766e-17j 0.00551999+5.95415e-18j -0.0465385+2.61481e-16j -0.012503-4.64595e-16j 
-0.00659433+1.5213e-15j -0.0278985+5.95952e-16j -0.0251635-3.07489e-16j 0.0183722+2.25563e-16j 0.0113321+1.68534e-16j -0.0179227-1.33872e-16j 0.0255465+1.68069e-16j 0.00564326+1.08476e-16j 0.000963643-8.98497e-18j 0.00698428-5.79883e-18j 0.000536529-1.28484e-17j -0.00128107-3.04339e-17j 0.00379622+4.84701e-17j 0.00456806-1.05107e-18j 0.00451168+2.49231e-17j 0.000224976+5.26942e-17j 0.00210743-5.64667e-18j 0.0148137-1.85884e-16j 0.0144497-1.52883e-16j 0.019375+2.88736e-16j -0.00348811+2.0509e-16j 0.00438494+2.61399e-16j -0.011086-5.8673e-17j 0.0119492-9.72326e-17j 0.00304933+8.21921e-17j -0.0110984-2.70655e-16j -0.00288077+1.44173e-16j 0.0252308+7.28766e-18j -0.00741226-7.54044e-17j 0.0133137+1.55611e-16j 0.0126539+7.59516e-16j 0.000173006-6.25481e-17j 0.0078239-6.57323e-17j -0.00858828-1.31881e-16j -0.0112145-7.88287e-15j -0.00844354-3.83598e-17j -0.0074902-1.68772e-16j 0.00614352+1.14762e-16j 0.0128842+1.88179e-18j -0.00730158+3.62179e-15j 0.0329224+6.01665e-15j -0.00615124-3.8316e-16j 0.0113074+7.80716e-17j -0.0074379-1.60497e-16j 0.00099142+1.63505e-16j 0.0179558+1.17741e-16j -0.0151871-3.35591e-16j -0.00247842-2.46762e-16j -0.00830114+6.79709e-16j 0.0167697+1.17544e-16j -0.00130509+5.62311e-17j 0.00698318+3.32176e-18j 0.00979816+8.15839e-17j 0.0250352+3.36132e-15j -0.0232656-1.43254e-15j 0.0192694+1.38162e-14j 0.00644575+7.42153e-17j -0.0212777-1.50833e-16j 0.00318582-1.31201e-16j 0.000412177+1.02879e-17j -0.00747732-2.36e-17j -0.00820968+3.40168e-17j -0.00623908-9.61588e-19j 0.00439037+2.75131e-17j 0.0172325+1.42319e-16j -0.0103579+5.70115e-18j 0.0144069+1.31928e-16j 0.0265634+2.35153e-16j -0.00881166-1.73449e-16j -0.0223157-2.75054e-16j -0.0226959-4.42078e-16j -0.0223698+6.13307e-16j 
0.000381306+6.87254e-16j -0.0183389+2.8712e-16j -0.00674405-8.31282e-18j 0.00978919+9.97614e-18j 0.00077094-5.42102e-18j -0.00715751+2.47003e-17j 0.0192152-5.4682e-19j -0.0063308-5.88798e-17j 0.0015529-1.86591e-17j 0.0287532+1.2291e-17j 0.00955528-1.70622e-17j 0.000286193+3.38337e-17j 0.00449246-1.8829e-17j -0.000521653-3.37736e-17j -0.019231+8.08808e-17j 0.00152932-6.83852e-17j 0.00952332+3.00338e-17j -0.00140438-6.1243e-17j 0.0171926-1.38634e-16j 0.0095194+6.02172e-17j -0.0108263+7.45747e-17j 0.014479+5.05474e-16j -0.00600317+6.50091e-17j 0.019475-3.48655e-16j 0.000132717-5.44153e-17j 0.00263837-2.04096e-16j 0.0119937+4.34411e-17j 0.01244-1.52442e-16j 0.00376992-3.72465e-17j 0.00252831+4.02654e-17j 0.00450906+2.65258e-16j -0.0106204-3.28337e-17j 0.0241232-4.48533e-17j 0.00915716+1.734e-16j -0.00252461-1.76103e-15j 0.00784987+2.5808e-16j -0.0103797-3.22023e-16j 0.0148973+2.44607e-16j 0.000346437-1.38175e-16j -0.0150069-3.2175e-17j 0.00924249-1.57817e-16j 0.00580172-4.59139e-18j 0.00201563+8.77732e-17j -0.00715662+3.94305e-16j -0.0129543+2.09286e-15j 0.00630564-5.16164e-17j -0.010827-1.11166e-16j 0.0120528+2.47237e-17j -0.00107784+5.33334e-17j 0.0181727-2.08041e-18j 0.00716858+2.69446e-17j -0.00248673-1.81324e-17j 0.0144535+7.05882e-18j 0.0162077+1.94378e-15j -0.00253214-2.13673e-16j 0.00432869+3.03372e-15j -0.0087393+3.92e-18j 0.00571163+9.22873e-18j 0.0118785-8.0553e-18j -0.00819414+1.03903e-17j 0.00341985+8.05783e-17j -0.0159103+3.50998e-17j -0.016524-1.7673e-17j -0.00226769-9.86586e-18j 0.0150146+2.3173e-17j -0.00821875-7.22129e-18j 0.00432083-1.78698e-17j 0.011851-1.74556e-17j -0.00139204-1.96539e-17j -0.0103497+2.50706e-18j -0.0155611-1.24556e-16j -0.0104727+2.37176e-16j 
