0.00193308-0j 0.00015793-0j -0.000892548-0j -0.0817496-0j -0.0784553-0j 0.0673079-0j -0.0231978-0j 0.0388602-0j 0.16985-0j 0.000701872-0j 0.000541758-0j -0.000188653-0j 0.000679492-0j 0.000405226-0j 5.26435e-05-0j 0.000376755-0j -0.00125957-0j 0.000193363-0j 0.0664751-0j -0.0229108-0j 0.0383794-0j 0.0269115-0j -0.0969299-0j 0.0462288-0j 0.0266902-0j -0.119296-0j -0.34867-0j -0.0284859-0j 0.0331169-0j 0.244238-0j -0.242475-0j 0.0511206-0j 0.0972475-0j 0.0267998-0j 0.0154729-0j -0.15146-0j 0.0483199-0j -0.0727778-0j 0.0336031-0j -0.0309541-0j 0.00522534-0j -0.0253209-0j -0.0804016-0j -0.0094953-0j 0.0824088-0j 0.13837-0j -0.0320133-0j 0.115306-0j 0.140103-0j -0.0559136-0j 0.20139-0j 0.0141095-0j 0.0328125-0j -0.0203964-0j -0.103095-0j -0.0112389-0j -0.00648881-0j -0.0438571-0j 0.0201693-0j 0.0232224-0j 0.0154628-0j 0.00798481-0j 0.00555287-0j -0.00113225-0j 0.000505765-0j 0.0172806-0j -0.00761749-0j 0.00332565-0j -0.0845952-0j -7.42036e-05-0j 
0.00015793-0j 0.00179119-0j -0.000623948-0j -0.0426155-0j -0.0548452-0j 0.11964-0j 0.0503012-0j 0.0675375-0j 0.0885418-0j 0.00093032-0j -0.000184107-0j 0.000409068-0j 0.000204534-0j 0.000525173-0j -0.000453432-0j 0.000397134-0j 0.000319193-0j -0.00041928-0j 0.118159-0j 0.0496789-0j 0.0667019-0j 0.0283672-0j 0.0141836-0j -0.25488-0j -0.143882-0j 0.0405405-0j -0.0284859-0j -0.323076-0j 0.0349082-0j -0.0410469-0j 0.0614466-0j -0.110848-0j 0.0506945-0j -0.147759-0j -0.0834113-0j 0.0514709-0j 0.0337787-0j 0.0184429-0j -0.0728636-0j 0.0105192-0j -0.0113304-0j 0.1365-0j 0.027323-0j 0.0817855-0j -0.0280051-0j -0.0156511-0j -0.033745-0j -0.0168725-0j -0.0158471-0j -0.0589382-0j -0.0294691-0j 0.397843-0j 0.0345874-0j -0.0214997-0j 0.0261258-0j 0.0619653-0j 0.0349799-0j 0.241803-0j 0.0212603-0j -0.00588487-0j 0.0162992-0j -0.00271349-0j 0.00585324-0j 0.00245512-0j 0.000533124-0j -0.208767-0j -0.00802954-0j -0.0393615-0j 0.00788748-0j -7.82175e-05-0j 
0.000892548-0j 0.000623948-0j 0.000428304-0j 0.077646-0j -0.309959-0j -0.129269-0j -0.0916494-0j 0.38169-0j 0.0195947-0j 0.000108919-0j -0.000349703-0j -0.000250502-0j 0.000902259-0j -0.000321602-0j 0.000826158-0j 8.78875e-05-0j 0.000518292-0j -0.00123003-0j -0.0429095-0j -0.030422-0j 0.126698-0j -0.0516854-0j 0.186161-0j 0.010784-0j -0.0318416-0j -0.204185-0j -0.0541078-0j -0.0378248-0j -0.0636032-0j -0.0779669-0j 0.0135984-0j -0.179989-0j -0.0310439-0j -0.0514709-0j 0.151976-0j -0.0353318-0j 0.0641613-0j -0.0336031-0j -0.016125-0j 0.0594494-0j 0.0206441-0j 0.221643-0j 0.051899-0j -0.0500832-0j 0.254838-0j 0.00958429-0j 0.0206645-0j -0.0744294-0j 0.0288737-0j -0.0130433-0j 0.0469793-0j 0.0465782-0j 0.101468-0j 0.0131658-0j -0.0159987-0j 0.00725471-0j -0.0214207-0j -0.0750652-0j 0.0345216-0j 0.00360373-0j 0.068663-0j -0.00515417-0j 0.00129535-0j -0.00150345-0j -0.000971357-0j -0.0111546-0j -0.0439824-0j 0.0241039-0j 0.054606-0j 4.78982e-05-0j 
0.0817496-0j 0.0426155-0j 0.077646-0j -0.135587-0j -0.0218433-0j 0.0177176-0j -0.0389632-0j -0.0523143-0j 0.285281-0j -0.0920678-0j 0.0229108-0j -0.0509057-0j -0.0254529-0j 0.271846-0j 0.0564265-0j -0.0494207-0j 0.165224-0j 0.0521766-0j 0.0172792-0j -0.037999-0j -0.0510198-0j -0.0216979-0j -0.0108489-0j -0.0372728-0j 0.110054-0j -0.0310092-0j 0.0471909-0j 0.0246003-0j 0.013903-0j -0.132253-0j -0.101795-0j -0.0441475-0j -0.27543-0j 0.0368989-0j -0.10895-0j 0.0672302-0j 0.0726233-0j -0.164934-0j -0.156655-0j 0.0312217-0j -0.0427532-0j -0.105732-0j -0.0211643-0j 0.0325729-0j 0.0216927-0j -0.111563-0j -0.044077-0j -0.0220385-0j -0.114394-0j 0.0456533-0j 0.0228266-0j 0.0589173-0j 0.0451773-0j -0.0462238-0j 0.0841771-0j -0.0351624-0j 0.103823-0j 0.0358091-0j 0.0631022-0j 0.0923651-0j -0.0124671-0j -0.0124039-0j 0.0267563-0j 0.0131704-0j 0.00328122-0j -0.0141095-0j 0.00621965-0j 0.0304893-0j -0.00610961-0j -0.000604566-0j 
-0.0784553-0j -0.0548452-0j 0.309959-0j 0.0218433-0j -0.170916-0j 0.0354744-0j 0.0251506-0j -0.104744-0j 0.0442709-0j -0.0284859-0j 0.0914589-0j 0.0655144-0j -0.23597-0j 0.0841094-0j -0.0726196-0j 0.0636032-0j 0.0511206-0j -0.06715-0j -0.035916-0j -0.0254637-0j 0.106048-0j -0.0145401-0j 0.0523705-0j -0.0249771-0j 0.073749-0j 0.0644547-0j -0.0887714-0j -0.0620568-0j -0.0350717-0j 0.0636597-0j -0.0617343-0j 0.111367-0j -0.0077329-0j -0.00430916-0j 0.0127235-0j 0.0243533-0j -0.188128-0j 0.0331149-0j -0.13083-0j -0.156279-0j -0.0998561-0j 0.06825-0j -0.0423753-0j -0.0821684-0j 0.0434332-0j 0.00802222-0j 0.00514744-0j -0.0185401-0j -0.00792357-0j -0.0294691-0j 0.106142-0j -0.0380309-0j -0.00527594-0j -0.0386036-0j 0.0130629-0j -0.0567424-0j 0.167541-0j -0.0231147-0j 0.10183-0j -0.051864-0j -0.00835442-0j 0.116645-0j 0.0811187-0j 0.0489134-0j 0.0143964-0j 0.00910767-0j -0.00401477-0j -0.0196807-0j -0.0445856-0j -0.00346877-0j 
-0.0673079-0j -0.11964-0j -0.129269-0j 0.0177176-0j -0.0354744-0j 0.321381-0j 0.0211766-0j -0.0354744-0j 0.0372758-0j 0.127826-0j 0.0784639-0j -0.027323-0j 0.0984122-0j -0.0141095-0j 0.00762446-0j 0.0545661-0j 0.0438571-0j 0.0280051-0j -0.313453-0j -0.0206543-0j 0.0345993-0j 0.0242609-0j -0.087383-0j -0.217985-0j 0.0240614-0j -0.107546-0j 0.0379017-0j 0.06737-0j 0.0149741-0j 0.053601-0j 0.0263579-0j 0.0231147-0j -0.00705477-0j -0.042299-0j 0.00466901-0j -0.0457037-0j 0.0109413-0j 0.00396179-0j 0.00760888-0j -0.00560899-0j 0.000789207-0j 0.0231147-0j 0.0733962-0j -0.0042934-0j -0.0752286-0j -0.0133855-0j -0.00966015-0j 0.034794-0j 0.013724-0j 0.0510419-0j -0.183843-0j 0.06737-0j 0.00990131-0j -0.00461843-0j -0.0226256-0j 0.0106521-0j -0.0011758-0j -0.209408-0j 0.00365476-0j -0.000843207-0j 0.0139398-0j 0.00103385-0j 0.000718972-0j -0.00012829-0j 5.09431e-05-0j 0.180797-0j 0.00695378-0j -0.00303589-0j 0.0772245-0j -6.11598e-06-0j 
0.0231978-0j -0.0503012-0j -0.0916494-0j -0.0389632-0j -0.0251506-0j 0.0211766-0j 0.294077-0j -0.0625276-0j -0.0819737-0j -0.0261258-0j 0.170768-0j 0.0600865-0j 0.0300433-0j 0.0771408-0j -0.066603-0j -0.368362-0j 0.0468852-0j -0.0615866-0j -0.0206543-0j -0.286823-0j 0.0609852-0j 0.025936-0j 0.012968-0j 0.0445531-0j -0.13155-0j 0.037066-0j -0.0130629-0j 0.028325-0j -0.101087-0j 0.038002-0j 0.0281778-0j -0.0508319-0j 0.0155143-0j 0.00864533-0j -0.0255268-0j 0.0157519-0j 0.00775713-0j 0.00423533-0j -0.0167328-0j 0.00193315-0j -0.00173556-0j -0.126374-0j -0.0252962-0j 0.0375047-0j 0.0259277-0j -0.0143097-0j -0.0103271-0j -0.00516357-0j 0.0146716-0j 0.0545661-0j 0.0272831-0j 0.0704196-0j 0.0105849-0j 0.0311779-0j 0.15274-0j -0.00217715-0j 0.0064284-0j 0.0428001-0j 0.0039071-0j -0.000901426-0j 0.0149023-0j -0.00035632-0j 0.000768613-0j 0.000282124-0j 5.44604e-05-0j -0.0168641-0j 0.00743391-0j 0.0364416-0j -0.00730238-0j -6.53825e-06-0j 
0.0388602-0j 0.0675375-0j -0.38169-0j 0.0523143-0j -0.104744-0j 0.0354744-0j 0.0625276-0j 0.152855-0j 0.110063-0j 0.0141095-0j -0.0453011-0j -0.0806758-0j 0.290578-0j 0.0607963-0j -0.170498-0j -0.0315038-0j -0.0253209-0j 0.0826899-0j -0.0345993-0j -0.0609852-0j -0.149084-0j -0.014007-0j 0.0504506-0j -0.0240614-0j -0.103678-0j 0.0620917-0j -0.0218825-0j -0.0380309-0j -0.00864533-0j 0.158266-0j -0.0152178-0j 0.06825-0j -0.0208304-0j -0.00466901-0j -0.0201182-0j 0.026387-0j 0.0323059-0j -0.00228734-0j 0.0224665-0j 0.00323835-0j 0.00233026-0j -0.0995985-0j -0.0423753-0j 0.0960089-0j 0.0434332-0j 0.00772812-0j 0.00557729-0j -0.0200883-0j -0.00792357-0j -0.0294691-0j 0.106142-0j 0.0554992-0j -0.00571653-0j 0.00266645-0j 0.0130629-0j 0.0011758-0j 0.00506636-0j -0.0231147-0j -0.00211007-0j 0.000486826-0j -0.00804814-0j -0.000596895-0j -0.000415099-0j -0.000378797-0j -2.9412e-05-0j 0.00910767-0j -0.00401477-0j 0.155458-0j -0.0445856-0j 3.53106e-06-0j 
0.16985-0j 0.0885418-0j -0.0195947-0j -0.285281-0j 0.0442709-0j -0.0372758-0j 0.0819737-0j 0.110063-0j 0.0729007-0j -0.0642913-0j 0.0159987-0j -0.0355477-0j -0.0177738-0j 0.189831-0j 0.117237-0j 0.0124717-0j -0.305931-0j -0.174548-0j 0.0122192-0j -0.0268715-0j -0.0360793-0j -0.0456533-0j -0.0228266-0j 0.00952545-0j -0.0281255-0j 0.0581452-0j -0.0321457-0j -0.0167573-0j -0.0281778-0j 0.0935168-0j -0.025059-0j -0.0797398-0j 0.0381781-0j -0.0152178-0j 0.044933-0j 0.00336776-0j -0.00458918-0j 0.0310103-0j -0.00357748-0j -0.0034028-0j 0.00305498-0j -0.198243-0j 0.0149654-0j -0.0221881-0j 0.0734843-0j -0.0788934-0j 0.00610961-0j 0.00305481-0j 0.240671-0j 0.0116662-0j 0.00583312-0j -0.0416608-0j 0.0299998-0j 0.00292095-0j -0.0595222-0j 0.00128802-0j -0.00380309-0j 0.0671403-0j 0.00612905-0j -0.00221826-0j 0.0606495-0j 0.000210802-0j 0.00016433-0j -0.000166907-0j -9.58629e-05-0j 0.00997696-0j 0.039339-0j -0.0215592-0j 0.00432015-0j 3.86808e-06-0j 
-0.000701872-0j -0.00093032-0j 0.000108919-0j -0.0920678-0j 0.0284859-0j 0.127826-0j -0.0261258-0j -0.0141095-0j 0.0642913-0j 0.00423908-0j 0.000201679-0j 0.000217838-0j 0.000108919-0j -0.000467915-0j 5.9288e-05-0j 0.000142608-0j -0.000286538-0j 3.14422e-05-0j -0.129437-0j 0.0264551-0j 0.0142874-0j 0.0303082-0j 0.0151541-0j -0.0915258-0j 0.0101027-0j 0.00874922-0j -0.129798-0j -0.172046-0j 0.0372968-0j 0.0909217-0j -0.0917813-0j 0.0116293-0j -0.112292-0j -0.157869-0j 0.0174258-0j 0.0184829-0j 0.0179879-0j -0.0819635-0j 0.0127194-0j 0.0112389-0j 0.00588487-0j -0.0057602-0j -0.0299309-0j 0.0109642-0j -0.00432015-0j -0.159776-0j 0.0369657-0j 0.0184829-0j 0.157787-0j -0.0211643-0j -0.0105822-0j 0.0852171-0j 0.00533555-0j 0.0235517-0j 0.119044-0j -0.0678796-0j 0.00749263-0j 0.0521846-0j 0.00458828-0j -0.0268149-0j 0.00195638-0j 0.00297248-0j 0.00210186-0j 0.00130741-0j 0.000569602-0j 0.228692-0j -0.000788748-0j -0.00384013-0j -0.0086403-0j 8.5683e-05-0j 
-0.000541758-0j 0.000184107-0j -0.000349703-0j 0.0229108-0j -0.0914589-0j 0.0784639-0j 0.170768-0j 0.0453011-0j -0.0159987-0j 0.000201679-0j 0.00408896-0j 0.000225484-0j -0.000812149-0j 0.000116439-0j 6.13689e-05-0j -0.000932144-0j 7.13042e-05-0j 3.25458e-05-0j -0.079453-0j -0.172921-0j -0.0458722-0j 0.0313719-0j -0.112996-0j 0.0181126-0j 0.0104573-0j -0.0280909-0j -0.100188-0j 0.0340472-0j -0.243786-0j 0.0701802-0j 0.0228395-0j 0.0120375-0j 0.0279435-0j 0.0312418-0j 0.0180374-0j -0.0593425-0j -0.0577534-0j 0.0203964-0j 0.0131658-0j -0.0360846-0j 0.00609142-0j -0.00596237-0j 0.0960982-0j 0.0113491-0j 0.0138706-0j 0.0177467-0j 0.0382632-0j -0.137817-0j -0.0175257-0j -0.0219072-0j 0.0789053-0j -0.0168641-0j 0.00552282-0j -0.153943-0j 0.187067-0j 0.0134331-0j 0.00775561-0j -0.0103271-0j 0.00474932-0j 0.00667281-0j 0.00202505-0j -0.00954367-0j 0.00217563-0j 0.00135329-0j 0.000589594-0j -0.0206543-0j -0.000816431-0j -0.00397491-0j 0.101111-0j 8.86903e-05-0j 
