0.995846-0j -0.000670284-0j -0.000547284-0j -7.89937e-05-0j -6.84106e-05-0j -8.06226e-06-0j -3.6799e-07-0j -0.00382859-0j 0.145136-0j -0.000478573-0j -0.000319049-0j -6.90761e-05-0j -7.97622e-05-0j -2.82002e-05-0j -6.64685e-06-0j -7.05005e-06-0j -5.87504e-07-0j -2.1895e-08-0j 
0.000670284-0j 0.974093-0j 8.83177e-05-0j -0.00121179-0j -0.000519199-0j -0.000186167-0j -1.42018e-05-0j 0.000617835-0j -0.0045943-0j -0.0147881-0j 5.14863e-05-0j 0.202905-0j -0.000605352-0j 4.55079e-06-0j -0.000153483-0j -0.00010815-0j -1.81198e-05-0j -1.01469e-06-0j 
0.000547284-0j 8.83177e-05-0j 0.982737-0j -0.00149122-0j -0.00172383-0j -0.000101046-0j 4.8487e-08-0j 0.00050446-0j 7.97622e-05-0j -0.00599808-0j -0.0120879-0j 9.10157e-06-0j 0.143226-0j -0.00106775-0j -0.000125477-0j -0.000177649-0j -7.36334e-06-0j 2.88492e-09-0j 
-7.89937e-05-0j 0.00121179-0j 0.00149122-0j 0.951932-0j 0.000123677-0j -0.00207826-0j -0.000319542-0j -7.28126e-05-0j 0.0010944-0j -9.10157e-06-0j 0.00174473-0j -0.00581006-0j -0.0206597-0j -5.36315e-07-0j 0.245481-0j -0.000592987-0j -0.000305024-0j -2.85783e-05-0j 
-6.84106e-05-0j 0.000519199-0j 0.00172383-0j 0.000123677-0j 0.958859-0j -0.00363369-0j 1.44946e-06-0j -6.30575e-05-0j 0.000468904-0j 0.0015074-0j -5.2548e-06-0j 0.00010815-0j -0.0118156-0j -0.0254802-0j 1.56648e-05-0j 0.199731-0j -0.000353671-0j 1.03562e-07-0j 
8.06226e-06-0j -0.000186167-0j -0.000101046-0j 0.00207826-0j 0.00363369-0j 0.928427-0j -0.00465021-0j 7.4314e-06-0j -0.000168132-0j -8.836e-05-0j 6.19284e-07-0j 0.00181733-0j 0.00210725-0j -1.57295e-05-0j -0.00804696-0j -0.0354716-0j 0.279505-0j -0.000556281-0j 
-3.6799e-07-0j 1.42018e-05-0j -4.8487e-08-0j -0.000319542-0j 1.44946e-06-0j 0.00465021-0j 0.898051-0j -3.39196e-07-0j 1.2826e-05-0j -4.23994e-08-0j -2.82663e-08-0j -0.000279423-0j 1.68998e-06-0j -2.49841e-09-0j 0.00383382-0j -2.85185e-05-0j -0.0318702-0j 0.338668-0j 
0.00382859-0j 0.000617835-0j 0.00050446-0j 7.28126e-05-0j 6.30575e-05-0j 7.4314e-06-0j 3.39196e-07-0j -0.0201223-0j 1.10439e-05-0j 8.73097e-06-0j 5.82064e-06-0j 1.26021e-06-0j 1.45516e-06-0j 5.14477e-07-0j 1.21263e-07-0j 1.28619e-07-0j 1.07183e-08-0j 3.99446e-10-0j 
0.145136-0j 0.0045943-0j -7.97622e-05-0j 0.0010944-0j 0.000468904-0j 0.000168132-0j 1.2826e-05-0j -1.10439e-05-0j -0.0196896-0j -1.38049e-06-0j -9.20325e-07-0j 1.89414e-05-0j 1.08208e-05-0j -8.1346e-08-0j 2.74354e-06-0j 1.93319e-06-0j 3.23894e-07-0j 1.81378e-08-0j 
-0.000478573-0j 0.0147881-0j 0.00599808-0j -9.10157e-06-0j 0.0015074-0j 8.836e-05-0j -4.23994e-08-0j -8.73097e-06-0j -1.38049e-06-0j -0.0198782-0j -7.27581e-07-0j 3.01635e-05-0j 1.7302e-05-0j 1.84802e-05-0j -1.51579e-08-0j 3.07467e-06-0j 1.27441e-07-0j -4.99308e-11-0j 
-0.000319049-0j -5.14863e-05-0j 0.0120879-0j 0.00174473-0j -5.2548e-06-0j -6.19284e-07-0j -2.82663e-08-0j -5.82064e-06-0j -9.20325e-07-0j -7.27581e-07-0j -0.0199127-0j -1.05017e-07-0j 3.48685e-05-0j -4.28731e-08-0j 2.90571e-06-0j -1.07183e-08-0j -8.93189e-10-0j -3.32872e-11-0j 
6.90761e-05-0j 0.202905-0j 9.10157e-06-0j 0.00581006-0j -0.00010815-0j 0.00181733-0j 0.000279423-0j 1.26021e-06-0j -1.89414e-05-0j -3.01635e-05-0j 1.05017e-07-0j -0.0192551-0j -2.49574e-06-0j 9.2823e-09-0j 2.96547e-05-0j 1.02631e-05-0j 5.27921e-06-0j 4.9462e-07-0j 
