0.994805-0j -0.000865877-0j -0.000530239-0j -0.000108235-0j -6.37778e-06-0j -0.00469199-0j 0.144985-0j -0.000618224-0j -8.92329e-05-0j -7.72779e-05-0j -9.10729e-06-0j -4.15689e-07-0j -0.00302676-0j -0.00305813-0j -0.000478573-0j -0.000483533-0j 0.0724467-0j -0.00025223-0j 0.0104568-0j 0.0731975-0j -0.000254844-0j 0.0105652-0j -6.30575e-05-0j -2.22942e-05-0j -5.2548e-06-0j -6.3711e-05-0j -5.57355e-06-0j -2.25252e-05-0j -5.30925e-06-0j -5.63131e-06-0j -4.64463e-07-0j -1.73095e-08-0j -4.69276e-07-0j -1.74889e-08-0j 
0.000865877-0j 0.972393-0j 8.83732e-05-0j -0.0017148-0j -0.000203154-0j 0.000781998-0j -0.00593494-0j -0.0147623-0j 0.202551-0j -0.000605732-0j -0.000217195-0j -1.65687e-05-0j 0.00050446-0j 0.000509688-0j -0.00375123-0j -0.0037901-0j 6.30575e-05-0j -0.0120879-0j -0.000865199-0j 6.3711e-05-0j -0.0122131-0j -0.000874165-0j 0.0708146-0j 3.7157e-06-0j 0.0179546-0j 0.0715484-0j -8.8304e-05-0j 3.75421e-06-0j 0.0181407-0j -8.92191e-05-0j -1.47947e-05-0j -8.28493e-07-0j -1.49481e-05-0j -8.37079e-07-0j 
0.000530239-0j 8.83732e-05-0j 0.979247-0j -0.00211258-0j 6.5093e-07-0j 0.000478874-0j 7.72779e-05-0j -0.0120668-0j 9.10729e-06-0j 0.142717-0j -0.000177761-0j 4.24261e-08-0j 0.000308918-0j 0.000312119-0j 4.88442e-05-0j 4.93503e-05-0j -0.00738473-0j 2.57431e-05-0j 5.57355e-06-0j -0.00746126-0j 2.60099e-05-0j 5.63131e-06-0j -0.00123079-0j 0.124827-0j 5.36315e-07-0j -0.00124354-0j 0.0102933-0j 0.12612-0j 5.41873e-07-0j 0.0103999-0j -9.06561e-06-0j 1.76664e-09-0j -9.15956e-06-0j 1.78495e-09-0j 
-0.000108235-0j 0.0017148-0j 0.00211258-0j 0.948604-0j -0.0036273-0j -9.77497e-05-0j 0.00149951-0j 0.00122512-0j -0.00822183-0j -0.0292682-0j 0.244623-0j -0.000395413-0j -6.30575e-05-0j -6.3711e-05-0j 0.000947778-0j 0.000957599-0j 0.00074976-0j -5.2548e-06-0j -0.00503166-0j 0.00075753-0j -5.30925e-06-0j -0.0050838-0j -0.0118787-0j 0.000133469-0j -0.00148384-0j -0.0120018-0j 0.0982105-0j 0.000134852-0j -0.00149922-0j 0.0992282-0j 0.025127-0j -2.47495e-05-0j 0.0253873-0j -2.5006e-05-0j 
6.37778e-06-0j -0.000203154-0j 6.5093e-07-0j 0.0036273-0j 0.918013-0j 5.75996e-06-0j -0.000177648-0j 7.58941e-07-0j 0.00299049-0j -1.81312e-05-0j -0.0288087-0j 0.312459-0j 3.7157e-06-0j 3.75421e-06-0j -0.000112284-0j -0.000113448-0j 4.64463e-07-0j 3.09642e-07-0j 0.00183014-0j 4.69276e-07-0j 3.12851e-07-0j 0.00184911-0j -1.47947e-05-0j 2.73687e-08-0j -0.0166222-0j -1.49481e-05-0j 0.000186788-0j 2.76523e-08-0j -0.0167945-0j 0.000188724-0j 0.0668544-0j 0.0395891-0j 0.0675472-0j 0.0399994-0j 
0.00469199-0j 0.000781998-0j 0.000478874-0j 9.77497e-05-0j 5.75996e-06-0j -0.0201083-0j 1.35345e-05-0j 1.10508e-05-0j 1.59505e-06-0j 1.38135e-06-0j 1.62794e-07-0j 7.43051e-09-0j 0.00273356-0j -0.00265255-0j -0.103625-0j 0.100555-0j 0.000341694-0j 0.000227796-0j 4.93193e-05-0j -0.000331569-0j -0.000221046-0j -4.78579e-05-0j 5.69491e-05-0j 2.01345e-05-0j 4.74576e-06-0j -5.52615e-05-0j 5.03363e-06-0j -1.95379e-05-0j -4.60513e-06-0j -4.88448e-06-0j 4.19469e-07-0j 1.56327e-08-0j -4.0704e-07-0j -1.51695e-08-0j 
0.144985-0j 0.00593494-0j -7.72779e-05-0j 0.00149951-0j 0.000177648-0j -1.35345e-05-0j -0.019669-0j -1.78332e-06-0j 2.44686e-05-0j 1.04837e-05-0j 3.7591e-06-0j 2.86764e-07-0j -0.000441126-0j 0.000428054-0j 0.00328026-0j -0.00318306-0j 0.0105585-0j -3.67605e-05-0j -0.144871-0j -0.0102456-0j 3.56712e-05-0j 0.140578-0j 0.000432213-0j -3.2492e-06-0j 0.000109585-0j -0.000419405-0j 7.72174e-05-0j 3.15292e-06-0j -0.000106338-0j -7.49293e-05-0j 1.29373e-05-0j 7.24476e-07-0j -1.25539e-05-0j -7.03009e-07-0j 
-0.000618224-0j 0.0147623-0j 0.0120668-0j 0.00122512-0j -7.58941e-07-0j -1.10508e-05-0j -1.78332e-06-0j -0.0198436-0j 3.01109e-05-0j 3.48077e-05-0j 2.04034e-06-0j -9.79055e-10-0j -0.000360178-0j 0.000349505-0j -5.69491e-05-0j 5.52615e-05-0j 0.00428254-0j 0.00863056-0j -6.49839e-06-0j -0.00415564-0j -0.00837481-0j 6.30583e-06-0j -0.102261-0j 0.00076236-0j 8.9589e-05-0j 0.099231-0j 0.000126839-0j -0.000739769-0j -8.69342e-05-0j -0.00012308-0j 5.25732e-06-0j -2.05979e-09-0j -5.10153e-06-0j 1.99875e-09-0j 
8.92329e-05-0j 0.202551-0j 9.10729e-06-0j 0.00822183-0j 0.00299049-0j 1.59505e-06-0j -2.44686e-05-0j -3.01109e-05-0j -0.0192215-0j -2.49731e-06-0j 4.19644e-05-0j 6.45222e-06-0j 5.19871e-05-0j -5.04467e-05-0j -0.000781386-0j 0.000758231-0j 6.49839e-06-0j -0.00124571-0j 0.0041483-0j -6.30583e-06-0j 0.0012088-0j -0.00402538-0j 0.0147508-0j 3.82922e-07-0j -0.17527-0j -0.0143137-0j 0.000423384-0j -3.71575e-07-0j 0.170076-0j -0.000410838-0j 0.000217783-0j 2.04045e-05-0j -0.000211329-0j -1.97999e-05-0j 
7.72779e-05-0j -0.000605732-0j 0.142717-0j 0.0292682-0j -1.81312e-05-0j 1.38135e-06-0j -1.04837e-05-0j -3.48077e-05-0j -2.49731e-06-0j -0.0193614-0j 7.3372e-05-0j -2.92677e-08-0j 4.50222e-05-0j -4.36881e-05-0j -0.000334791-0j 0.00032487-0j -0.00107626-0j 3.75185e-06-0j -7.72174e-05-0j 0.00104437-0j -3.64067e-06-0j 7.49293e-05-0j 0.00843614-0j 0.0181925-0j -1.11845e-05-0j -0.00818616-0j -0.142605-0j -0.0176534-0j 1.0853e-05-0j 0.13838-0j 0.000252516-0j -7.39416e-08-0j -0.000245033-0j 7.17505e-08-0j 
-9.10729e-06-0j 0.000217195-0j 0.000177761-0j 0.244623-0j 0.0288087-0j -1.62794e-07-0j 3.7591e-06-0j 2.04034e-06-0j -4.19644e-05-0j -7.3372e-05-0j -0.0187469-0j 9.38977e-05-0j -5.30592e-06-0j 5.14869e-06-0j 0.000120044-0j -0.000116487-0j 6.30878e-05-0j -4.4216e-07-0j -0.00129755-0j -6.12184e-05-0j 4.29058e-07-0j 0.0012591-0j -0.00150454-0j 1.12306e-05-0j 0.00574541-0j 0.00145996-0j 0.0253262-0j -1.08978e-05-0j -0.00557516-0j -0.0245757-0j -0.199563-0j 0.000397177-0j 0.193649-0j -0.000385408-0j 
