0.993069-0j -0.0012253-0j -0.000102109-0j -0.00606114-0j 0.144732-0j -0.000618612-0j -0.000126274-0j -7.44075e-06-0j -0.00383099-0j -0.00387069-0j -0.000618224-0j -0.00062463-0j 0.0723203-0j 0.0104385-0j 0.0730698-0j -6.30972e-05-0j 0.0105467-0j -6.37511e-05-0j -7.43607e-06-0j -3.39409e-07-0j -7.51313e-06-0j -3.42926e-07-0j 
0.0012253-0j 0.968993-0j -0.00258285-0j 0.00107147-0j -0.00839855-0j -0.0209134-0j 0.201842-0j -0.000251391-0j 0.00067723-0j 0.000684248-0j -0.00513981-0j -0.00519307-0j -0.0084879-0j -0.00122434-0j -0.00857586-0j 0.100321-0j -0.00123703-0j 0.101361-0j 0.0178918-0j -1.43489e-05-0j 0.0180772-0j -1.44976e-05-0j 
-0.000102109-0j 0.00258285-0j 0.938188-0j -8.9289e-05-0j 0.0021294-0j -9.11302e-06-0j -0.0252133-0j 0.282443-0j -5.64358e-05-0j -5.70207e-05-0j 0.00130317-0j 0.00131667-0j -7.43607e-06-0j -0.0145478-0j -7.51313e-06-0j 0.000133004-0j -0.0146985-0j 0.000134382-0j 0.0683236-0j 0.0325515-0j 0.0690317-0j 0.0328888-0j 
0.00606114-0j 0.00107147-0j 8.9289e-05-0j -0.0200872-0j 1.74839e-05-0j 1.07067e-05-0j 2.18549e-06-0j 1.28781e-07-0j 0.00335001-0j -0.00325074-0j -0.103517-0j 0.100449-0j 0.000441403-0j 6.3711e-05-0j -0.000428323-0j 5.51754e-05-0j -6.18231e-05-0j -5.35404e-05-0j 6.50248e-06-0j 2.96796e-07-0j -6.3098e-06-0j -2.88001e-07-0j 
0.144732-0j 0.00839855-0j 0.0021294-0j -1.74839e-05-0j -0.0196347-0j -1.78444e-06-0j 3.46255e-05-0j 4.10212e-06-0j -0.000558335-0j 0.000541791-0j 0.00423746-0j -0.0041119-0j 0.0105401-0j -0.144618-0j -0.0102278-0j 0.000432484-0j 0.140333-0j -0.000419669-0j 0.000155074-0j 1.18298e-05-0j -0.000150479-0j -1.14793e-05-0j 
-0.000618612-0j 0.0209134-0j -9.11302e-06-0j -1.07067e-05-0j -1.78444e-06-0j -0.0197731-0j 4.26574e-05-0j -1.31437e-08-0j -0.000341909-0j 0.000331778-0j -5.51754e-05-0j 5.35404e-05-0j 0.00861552-0j -6.50248e-06-0j -0.00836022-0j -0.101898-0j 6.3098e-06-0j 0.0988785-0j 0.000126919-0j -3.02916e-08-0j -0.000123158-0j 2.9394e-08-0j 
0.000126274-0j 0.201842-0j 0.0252133-0j 2.18549e-06-0j -3.46255e-05-0j -4.26574e-05-0j -0.0191543-0j 7.32429e-05-0j 6.97919e-05-0j -6.77238e-05-0j -0.00107063-0j 0.0010389-0j -0.00087472-0j 0.00587027-0j 0.0008488-0j 0.0208971-0j -0.00569632-0j -0.0202778-0j -0.174657-0j 0.000282319-0j 0.169482-0j -0.000273953-0j 
-7.44075e-06-0j 0.000251391-0j 0.282443-0j -1.28781e-07-0j 4.10212e-06-0j -1.31437e-08-0j -7.32429e-05-0j -0.0185366-0j -4.11253e-06-0j 3.99066e-06-0j 0.000126838-0j -0.00012308-0j -5.41873e-07-0j -0.00213517-0j 5.25816e-07-0j 1.29454e-05-0j 0.0020719-0j -1.25618e-05-0j 0.020569-0j -0.223091-0j -0.0199595-0j 0.216481-0j 
0.00383099-0j 0.00067723-0j 5.64358e-05-0j 0.00335001-0j 0.000558335-0j 0.000341909-0j 6.97919e-05-0j 4.11253e-06-0j 0.488188-0j -0.512919-0j -0.000328589-0j 0.000345235-0j -0.000268292-0j -3.87246e-05-0j 0.000281884-0j -3.35365e-05-0j 4.06864e-05-0j 3.52354e-05-0j -3.95232e-06-0j -1.80398e-07-0j 4.15254e-06-0j 1.89536e-07-0j 
-0.00387069-0j -0.000684248-0j -5.70207e-05-0j 0.00325074-0j 0.000541791-0j 0.000331778-0j 6.77238e-05-0j 3.99066e-06-0j 0.512919-0j -0.517828-0j -0.000345235-0j 0.00034854-0j -0.000281884-0j -4.06864e-05-0j 0.000284582-0j -3.52354e-05-0j 4.10758e-05-0j 3.55727e-05-0j -4.15254e-06-0j -1.89536e-07-0j 4.19228e-06-0j 1.91351e-07-0j 
-0.000618224-0j 0.00513981-0j 0.00130317-0j 0.103517-0j 0.00423746-0j -5.51754e-05-0j 0.00107063-0j 0.000126838-0j 0.000328589-0j -0.000345235-0j 0.477524-0j -0.501715-0j 4.32955e-05-0j -0.000594047-0j -4.54888e-05-0j -0.000254524-0j 0.000624141-0j 0.000267418-0j -9.12635e-05-0j -6.96206e-06-0j 9.58868e-05-0j 7.31474e-06-0j 
0.00062463-0j -0.00519307-0j -0.00131667-0j 0.100449-0j 0.0041119-0j -5.35404e-05-0j 0.0010389-0j 0.00012308-0j 0.000345235-0j -0.00034854-0j 0.501715-0j -0.506517-0j 4.54888e-05-0j -0.000624141-0j -4.59241e-05-0j -0.000267418-0j 0.000630115-0j 0.000269978-0j -9.58868e-05-0j -7.31474e-06-0j 9.68045e-05-0j 7.38476e-06-0j 
0.0723203-0j 0.0084879-0j -7.43607e-06-0j -0.000441403-0j 0.0105401-0j 0.00861552-0j 0.00087472-0j -5.41873e-07-0j 0.000268292-0j -0.000281884-0j 4.32955e-05-0j -4.54888e-05-0j 0.481762-0j -0.000731032-0j -0.506167-0j -0.000845062-0j 0.000768065-0j 0.000887872-0j -4.95354e-05-0j 2.37695e-08-0j 5.20448e-05-0j -2.49736e-08-0j 
-0.0104385-0j -0.00122434-0j 0.0145478-0j 6.3711e-05-0j 0.144618-0j 6.50248e-06-0j 0.00587027-0j 0.00213517-0j -3.87246e-05-0j 4.06864e-05-0j 0.000594047-0j -0.000624141-0j 0.000731032-0j 0.46666-0j -0.000768065-0j 6.06297e-05-0j -0.490301-0j -6.37011e-05-0j -0.00101881-0j -0.000156647-0j 0.00107042-0j 0.000164583-0j 
-0.0730698-0j -0.00857586-0j 7.51313e-06-0j -0.000428323-0j 0.0102278-0j 0.00836022-0j 0.0008488-0j -5.25816e-07-0j 0.000281884-0j -0.000284582-0j 4.54888e-05-0j -4.59241e-05-0j 0.506167-0j -0.000768065-0j -0.511012-0j -0.000887872-0j 0.000775417-0j 0.00089637-0j -5.20448e-05-0j 2.49736e-08-0j 5.25429e-05-0j -2.52127e-08-0j 
6.30972e-05-0j 0.100321-0j -0.000133004-0j 5.51754e-05-0j -0.000432484-0j 0.101898-0j 0.0208971-0j -1.29454e-05-0j -3.35365e-05-0j 3.52354e-05-0j 0.000254524-0j -0.000267418-0j 0.000845062-0j 6.06297e-05-0j -0.000887872-0j 0.470056-0j -6.37011e-05-0j -0.493868-0j -0.00178133-0j 7.10562e-07-0j 0.00187157-0j -7.46558e-07-0j 
0.0105467-0j 0.00123703-0j -0.0146985-0j 6.18231e-05-0j 0.140333-0j 6.3098e-06-0j 0.00569632-0j 0.0020719-0j -4.06864e-05-0j 4.10758e-05-0j 0.000624141-0j -0.000630115-0j 0.000768065-0j 0.490301-0j -0.000775417-0j 6.37011e-05-0j -0.494993-0j -6.43108e-05-0j -0.00107042-0j -0.000164583-0j 0.00108067-0j 0.000166158-0j 
-6.37511e-05-0j -0.101361-0j 0.000134382-0j 5.35404e-05-0j -0.000419669-0j 0.0988785-0j 0.0202778-0j -1.25618e-05-0j -3.52354e-05-0j 3.55727e-05-0j 0.000267418-0j -0.000269978-0j 0.000887872-0j 6.37011e-05-0j -0.00089637-0j 0.493868-0j -6.43108e-05-0j -0.498595-0j -0.00187157-0j 7.46558e-07-0j 0.00188948-0j -7.53703e-07-0j 
-7.43607e-06-0j -0.0178918-0j 0.0683236-0j -6.50248e-06-0j 0.000155074-0j 0.000126919-0j 0.174657-0j 0.020569-0j 3.95232e-06-0j -4.15254e-06-0j -9.12635e-05-0j 9.58868e-05-0j -4.95354e-05-0j 0.00101881-0j 5.20448e-05-0j 0.00178133-0j -0.00107042-0j -0.00187157-0j 0.455138-0j -0.00227965-0j -0.478194-0j 0.00239513-0j 
