-0.00802086-0.000367455j 0.00481833+0.0108808j -0.00958908-0.0204152j -0.011974-0.0136843j -0.00073819-0.00722086j -0.00666556-0.0293155j -0.00698363+0.00426675j 0.00807704-0.00718503j -0.0145686+0.0171202j 0.02736+0.00340507j 0.0245185+0.01166j 0.0097323-0.0013989j 0.00310034+0.00878408j 0.000602137+0.00601072j 0.0154653+0.0126644j -0.00969545-0.0137768j 0.00364044-0.0276014j -0.0229619-0.00779025j 
0.00316763-0.00695992j 0.00821982-0.016466j -0.0262163+0.0221126j -0.0215262+0.0186687j -0.00508535-0.00039631j -0.037345+0.000909645j -0.00233846-0.000970191j -0.0116355-0.022399j 0.0126937-0.0151509j -0.00470729+0.00738267j -0.00421025+0.0139178j -0.00346553+0.00634129j 0.000462205-0.00606499j -0.00123891+0.00279345j -0.00722229+0.0193596j 0.00791343-0.0163397j 0.00497216-0.0111505j -0.000394848-0.00216012j 
0.00693091+0.00591588j -0.0043419-0.013052j -0.000684557+0.0119186j -0.000170448+0.0197447j -0.000584762-0.0104372j 0.00598682+0.0104409j 0.008572-0.000564837j 0.0309688+0.00958975j 0.0233376+0.0209284j 0.0045958-0.00833498j -8.10355e-05-0.000149999j -0.0042191-0.0101805j 0.00667242+0.0186016j -0.00293798+0.00758994j -0.0170866-0.00472288j 0.0069571+0.00989364j 0.0160237-0.0224205j -0.0274122-0.00240556j 
0.00162921-0.00260486j -0.0229017+0.00546899j 0.00673838+1.41128e-05j 0.018336+0.000703505j -0.018487-0.00553005j -0.0102246-0.0093896j -0.00874279-0.000521144j 0.00661743-0.0427552j 0.0164717-0.00801834j -0.0070504-0.0211492j 0.00662357-0.0171666j -0.000587098-0.00226416j 0.00122793-0.00823271j 0.000335869-0.00198035j 0.00641814-0.00214873j -0.0041669+0.004681j -0.0163988-0.00244758j -0.0130031+0.0275492j 
-0.00473454+0.00333429j -3.80434e-05-0.0251906j -0.00266714+0.00245229j -0.0103196+0.0109646j 0.0226377-0.0129854j 0.0025015-0.0176449j -0.0190926-0.0137877j 0.0301782-0.00196357j -0.000105132-0.00604531j 0.00176249-0.0130805j 0.00823082-0.00294009j 0.00363324+0.00996008j -0.00468863-0.0258582j 0.000926179-0.0156052j 0.00862529+0.000292797j -0.00423893+0.000103658j -0.00959427+0.0231994j 0.00126536-0.0062788j 
-0.00891032-0.0142912j 0.00122405+0.0103621j -0.00145423+0.00522001j -0.00586584-0.0213017j 0.00156283+0.0221897j -0.00600242+0.00881261j -0.0140966-0.0215292j 0.00161068+0.0143553j 0.011592-0.0179922j 0.000208974-0.0099809j 0.00834202+0.00025615j 0.000146993+0.00197982j -5.60266e-05-0.00695015j 0.00107492-0.0046242j -0.0119953+0.00813281j -0.00518821+0.0132014j -0.00586749+0.000151498j -0.025585+0.00473701j 
0.0139707+0.000645458j -0.0131892-0.0198908j -0.0107229-0.00923482j 0.0181677-0.000176069j -0.0164351-0.00506824j -0.0047106-0.0167941j 0.015546-0.022596j -0.0171183+0.0154417j 0.00656244+0.011029j 0.010773-0.0048272j 0.00126578+0.010167j 0.000636927+0.00824026j 0.00120372-0.0120411j 0.00323222-0.0118735j -0.00417305-0.00572793j -0.00984969+0.00233502j 0.00358755+0.0134766j 0.000735982-0.0279242j 
-0.012099+0.0123121j 0.014247+0.000209311j 0.00833219-0.00989696j -0.00154147-0.00814115j -0.0113207-0.0283995j 0.006974+0.022924j -0.0072383+0.00735302j -0.0180437-0.0114023j -0.0162498-0.017455j 0.00824647-0.00313992j 0.00675474+0.00691999j -0.00869185+0.0145975j 0.00355257+0.00432826j 0.0106762-0.0133059j -0.0154957+0.00857343j 0.0129864+0.0175353j 0.0118297+0.0200487j -0.00447733-0.00764709j 
-0.00931796-0.0010763j -0.000128533+0.00709106j 0.00265694-0.0167278j 0.0136174+0.00655969j 0.0228257-0.030005j -0.0162+0.00809131j -0.00296752-0.0129067j -0.0112112-0.00093172j 0.00897804-0.0184792j -0.00157724+0.0210195j -0.0104178+0.0144863j -0.00172858-0.0164274j -0.00933784+0.0121181j -0.00212673+0.0155222j -0.0107707-0.00793929j -0.0235912+0.0190116j -0.0114773+0.003511j 0.00014733-0.00248644j 
-0.0102717+0.000432415j 0.00337237-0.00810944j 0.0292586-0.00105768j -0.0127778+0.00950533j 0.0196701+0.0232487j -0.000716359-0.0125255j 0.0164813+0.00260781j -0.0226046-0.0223337j 0.00974398+0.00930751j -0.00418872-0.00868651j -0.00878869-0.00640331j 0.002014+0.000153633j -0.00798984-0.00721372j 0.00101949-0.0032106j -0.00952625-0.00852627j -0.0157589-0.00634903j 0.00581691-0.0043564j -0.0128392-0.00415413j 
-0.00614565+0.00296027j 0.00854826-0.0104316j 0.00445219-0.00280362j -0.0128607+0.000888371j -0.00267473-0.002714j 0.0193652+0.00133565j 0.00378465+0.00239135j -0.0155607-0.00877975j 0.000896445-0.00258039j -0.0152413+0.00231679j -0.00860536-0.00191812j 0.0159551-0.00501944j -0.00328521-0.00616282j -0.0140657-0.00055444j 0.000307737-0.00111324j -0.0125896-0.00614766j -0.00427342-0.00279877j 0.00179932+0.0050269j 
