0.0113931-0.0122284j 0.0231404-0.00413415j 0.0173093-0.00600453j -0.00762423+0.00130796j 0.00446915-0.005618j -0.023528+0.00572908j 0.0139875-0.00130405j -0.00834762-0.00596549j -0.0108995+0.00454275j 0.00959387-0.00203155j 0.0249005+0.000104513j -0.0112321-0.000818645j 0.00410434-0.000558936j 0.0074266+0.0103888j -0.00908165+0.00105461j 0.0137877+0.000822634j 0.00747211+0.00136838j -0.00846586-0.00744151j -0.0108979-0.00621098j -0.00636865-0.00472751j 0.0212418+0.00594772j -0.00139772-0.0116513j 
0.0118591+0.0235116j -0.00691917+0.000101447j -0.00410565-0.00390844j 0.000434569+0.0188671j 0.0114109+0.0046802j -0.00617579-0.0162339j 0.000992173+0.00477145j 0.00460236+0.012699j -0.00610095-0.00813179j 0.00648066+0.0192953j 0.00558556-0.0106658j -0.00883588-0.00712715j -0.00201691-0.00901764j 0.0119958-0.0126415j -0.000624793-0.00703492j 0.00169213+0.0164826j 0.00370917-0.00961223j -0.00773656+0.0110473j -0.0199987+0.00182452j -0.00950854-0.00218292j -0.00489279-0.0134043j -0.0224625+0.0204777j 
-0.0100268-0.0134954j -0.000153935-0.0115099j -0.00677886-0.0105954j 0.00428428+0.0180195j 0.00478376-0.00349235j 0.000343598+0.000130599j 0.00812808+0.0339874j -0.00308298-0.00802615j 0.00197337-0.00801218j -0.000757122-0.00519153j -0.00959064-0.0117076j 0.00373723-0.0266077j -0.00525012+0.0158746j 0.000396563+0.00817001j 0.00277316-0.00695371j -0.00714169+0.0224168j -0.0111163+0.00717651j 0.00574953+0.00043589j -0.00769782+0.0224813j -0.00418266-0.00238009j 0.0106736-0.00329798j 0.00554673-0.0149251j 
4.51799e-07+0.00809199j 0.00636017-0.0076917j 0.00988534-0.00631636j 0.00183498-3.53743e-05j -0.0127035+0.0141068j -0.0135692-0.0104234j 0.00130369+0.0038516j -0.00715615+0.00153295j -0.000127641+0.00141504j -0.0105554+0.0188692j 0.00536476-0.00606813j 0.00428813-0.0115807j 0.00570393-0.00567529j -0.00923755-0.00904405j -0.0088933+0.00450649j -0.00458441+0.00479674j -0.00142877-0.00325762j -0.00365451+0.0109838j 0.0150007+0.0104419j 0.00079775+0.0148362j 0.0028668+0.00493133j 0.0122441+0.0188464j 
-0.0104892+0.0176262j -9.09842e-06-0.0118651j 0.00286474-0.00477897j -0.00891078-0.00326917j 0.0104572+0.00618981j 0.00402556-0.000441089j 0.00866764-0.0147459j -0.00130708+0.00925266j 0.00261913-0.0100801j 0.0128407+0.00119804j -0.0161811+2.84678e-05j 0.00633154-0.00462528j -0.00657456-0.0146348j -0.000832607-0.0020199j 0.00484232-0.00269941j 0.00809573-0.00428828j -0.0116717-0.0126546j 0.00297891-0.00133504j 0.00148832-0.0118029j -0.00589819-0.00106833j 0.023532+0.00409269j 0.0091919-0.0056609j 
0.00103982-0.0032131j -0.00681821-0.00363154j -0.00681206-0.00924385j -0.00357662-0.00171079j 0.00878195+0.0191494j -0.00212546+0.012356j -0.00261405+0.00705299j -0.00203745+0.00925611j 0.00541706+0.00742391j 0.00572314+0.0216042j 0.00287453-0.0109953j -0.0102308-0.00139063j 0.000318417-0.00127153j -0.00012584+0.0110963j 0.00353698+0.0155902j -0.00478817+0.00974335j 0.00772312+0.00242129j 0.00355535+0.00392198j 0.00682506-0.0208045j 0.0165446-0.00718943j -0.00328089-0.00423987j 0.00378894-0.0134871j 
0.00796164+0.0126659j -0.0143901-0.00824666j -0.0056876-0.00698829j -0.000465378+0.00398884j -0.00130108-0.00183786j -0.0075118-0.00464005j -0.0117419-0.0102551j -0.00226788+0.000831221j -0.0130504+0.000638753j -0.00601397-0.00314673j 0.00381877+0.0188094j -0.00996942-0.0128503j -0.0121988+0.00310256j -0.00554761+0.00208919j -0.00911702-5.46818e-05j -0.00471861-0.00835208j -0.00656804+0.018386j -0.00147586+8.55852e-05j 0.00386618+0.000284002j 0.00170945+0.0109738j 0.00824838-0.0236009j -0.00295204-0.0140472j 
0.000887872-0.0121301j 0.00214108-0.00450876j -0.00134289-0.0147854j -0.00354997+0.0131143j -0.000189273+0.00485704j 0.00215264-0.00627223j 0.00298356-0.010788j 0.00663179-0.0189255j 0.00258789-0.0131593j -0.00274404+0.00378029j -0.00714421+0.00593808j -0.00946126+0.00430995j 0.0176206-0.0202203j 0.00071474-0.00242164j 0.00998038-0.00759334j 0.00498142-0.00257235j -0.0073+0.0157789j -0.0136962+0.0107165j -0.0037844-0.000971625j 0.0097876-0.00700192j -0.00630256+0.00276381j 0.00455738-0.0030279j 
0.0140819+0.00545973j -0.00028292-0.000290893j 0.0129438+5.17296e-05j -0.0132121-0.005563j -0.00378143-0.000904454j 0.00468965-0.000645671j 0.00719969-0.000499218j 0.0220328+0.00602734j 0.01311+0.00207915j -6.74148e-05-0.00495992j -0.00473329-0.00336201j -0.00533663-0.0108396j 0.0191259+0.0159488j 0.000981538-0.000160293j 0.00888515+0.0109243j 0.00427151-0.000818332j -0.0148077-0.00553848j -0.0108392-0.013706j -0.00156449-0.00371635j 0.00555967+0.0113867j -0.00378292-0.0108291j 0.000249871+0.0033166j 
-0.00550334-0.00170359j -0.00236077+0.000692835j -0.0049814+0.0038103j -0.00565898-0.00364179j 0.0124104-0.00535726j -0.000875936-0.00433779j -0.000934754+0.000573396j -0.00689227-0.00809407j 0.0103692+0.00675857j 0.018003+0.00477184j -0.0047401+0.0123644j -0.00682866-0.0019016j -0.00457162+0.00523034j -0.00121349-0.00679206j 0.0137212+0.0148125j -0.000610522-0.00166569j 0.00386105+0.00654678j 0.00337721+0.0045876j -0.0110855+0.00511887j -0.00912397+0.00514143j -0.00352944+0.00134835j -0.00943099+0.00339485j 
-0.00143401+0.00821504j -0.0105399+0.00645344j -0.000776243-0.00202359j -0.0157442+0.0145778j -0.00312139-0.00378892j -0.00653265+0.0103373j -0.00147761+0.00314518j -0.00707473+0.0120596j 0.00472439-0.0117902j 0.00182254-0.0126245j 0.0128366-0.00264146j -0.0178034+0.0132545j 0.0013832+0.000233415j -0.0066962+0.0043496j 0.0151424-0.0185166j -0.00864639+0.0068884j 0.00373169-0.00725159j -0.00223261-0.00202664j 0.0105137+0.000966561j 0.0152921+0.00297428j 0.00472146+0.00674433j 0.00427479+0.00376221j 
