0.132687+0.0232394j 0.0175532+0.185137j 0.0373433+0.0182233j -0.156937+0.0988407j -0.0989229-0.0900918j 0.179085-0.0848177j 0.183251+0.205285j 0.063077-0.104112j -0.0600243+0.211017j -0.0005507+0.120017j -0.26283+0.0771019j -0.106517-0.164828j -0.126524-0.0177934j 0.04878+0.161029j -0.256952-0.129613j 0.111704-0.287165j -0.0312948+0.287691j -0.212708+0.0570537j -0.0637457+0.0352107j -0.091655+0.0237344j 0.239784-0.111438j 0.115362-0.0194778j 0.104714+0.00557863j -0.0861393+0.132627j 0.0504711+0.00776072j -0.0949989-0.0809578j 0.0586797-0.0315097j -0.270943-0.126028j -0.0113665-0.00770184j -0.192143-0.281567j -0.0716305+0.0863085j 0.219411-0.182157j 0.101052+0.273246j 0.194039-0.112225j 
0.1014-0.0882831j 0.154535+0.103146j 0.0377522-0.0173972j -0.0230657+0.183859j -0.132178+0.0190564j -0.114042+0.163057j -0.261991-0.0875336j -0.00280102+0.122062j -0.0534377-0.213619j -0.0596163-0.104574j 0.18951-0.199177j 0.175616+0.0893582j 0.190468+0.119587j 0.110357-0.270688j -0.209281-0.190967j -0.0644614-0.0946586j -0.205458+0.269155j -0.0132837+0.00558126j -0.275178+0.115559j -0.0526351-0.0359355j 0.0971503-0.0734928j 0.0492932-0.00540736j 0.0761883+0.137492j -0.109709-0.00300561j 0.115416+0.0229843j -0.232929-0.117438j 0.0930019+0.0288991j -0.0597545-0.0380465j -0.210437-0.0647389j -0.0196135-0.292398j 0.104432+0.282829j 0.257908-0.118866j 0.0533542-0.163229j -0.130135+0.0138098j 
-0.11551-0.00652926j 0.0180379-0.058114j 0.0620578-0.0729177j -0.0544855+0.0261421j -0.0239848-0.113554j -0.145794+0.0323495j -0.0267155-0.107939j 0.00476345-0.121639j -0.0458727-0.0473607j 0.121768-0.0033065j -0.106664-0.0290209j 0.0351836-0.144766j -0.0837116+0.0892541j 0.0879054+0.0363157j -0.0760985+0.163256j -0.0753171-0.0321241j 0.127697+0.0696139j -0.0691211-0.0646989j -0.0612672-0.0576678j -0.0483836-0.00977144j -0.110463-0.0204379j -0.0897737+0.0629901j 0.00124618+0.0105171j -0.0566221+0.147466j -0.0317253-0.0187387j 0.0578954-0.0514684j 0.0584695-0.090786j 0.0793893+0.0745975j -0.0653406-0.0552262j 0.0035358-0.0353343j -0.128667+0.0219714j 0.0723248+0.135151j -0.149819-0.0180443j -0.0272594+0.171707j 
0.108917-0.0829757j 0.0284259+0.0661198j 4.01303e-05+0.113199j 0.0292429-0.0653215j 0.108502+0.0840432j -0.0576272-0.0363958j 0.0262371-0.0432376j 0.0406307-0.0377607j 0.00020325-0.0299009j 0.0399448+0.0379199j -0.0246684-0.0436259j 0.0572329-0.0348567j -0.0735911+0.257509j 0.22208+0.0342103j 0.0717855+0.0650432j 0.0326487+0.0432971j 0.141162-0.00123689j -0.006901-0.0693096j -0.158935+0.0113686j -0.0177389+0.0986955j -0.0661591+0.0675125j -0.0311215+0.0708962j -0.00835624-0.135714j -0.0106073+0.137162j 0.0291069+0.0706753j -0.0639676-0.0711241j -0.0169963-0.0995702j 0.158139+0.0114601j 0.00307103-0.0710714j -0.138921-0.00609839j -0.0361521+0.0432013j 0.0749919-0.0621433j -0.224827+0.0291044j 0.0674814+0.259744j 
-0.0241311+0.112897j -0.0546071-0.0266763j -0.0620302-0.0725055j 0.0169625+0.057915j -0.115682+0.00535566j -0.0335151-0.146317j 0.108793-0.0275877j 0.122716+0.00395216j 0.0475351-0.0463405j 0.00326679+0.122822j 0.0292144-0.107687j 0.145488+0.0354401j 0.0234189+0.172549j 0.149434-0.014594j 0.0754636-0.13272j 0.12886+0.0244889j 0.00219003-0.036468j 0.0659257-0.0516778j -0.0812354+0.0763119j 0.057267+0.0924142j 0.0557847+0.0509509j 0.0324852-0.0170557j -0.0555092-0.149472j 0.000895151-0.00909534j 0.0886+0.0654292j -0.111143+0.0186256j -0.0503522+0.00868258j 0.0631441-0.0572237j 0.0677737-0.0624516j -0.13282+0.0670919j 0.0738782-0.0300052j -0.0722823-0.165972j -0.09046+0.034275j 0.0813717+0.0923767j 
0.0541718-0.0199884j -0.0280885-0.0531742j -0.0147866+0.0450091j 0.0307639+0.0428165j 0.0251319-0.0670773j 0.0584775-0.0432965j -0.0480845-0.0131961j -0.0314725+0.128482j 0.0791132-0.00612129j 0.0605461+0.0036384j -0.0433665+0.0256598j 0.07772-0.0695818j 0.0398187-0.0334826j 0.0155079-0.00425753j 0.0340121-0.057813j -0.0288297-0.0478652j 0.00801739-0.0697022j 0.0383311+0.129761j 0.0637464+0.0642569j 0.0118892+0.0418992j 0.0901706-0.0170851j 0.0476135-0.00441117j 0.0220547-0.0124769j -0.00682936+0.0180471j -0.0117275+0.00552499j -0.00132392+0.0121068j -0.0529918+0.0193697j -0.0397214+0.0260283j -0.049542-0.0126718j -0.0408376-0.0484726j -0.0995803-0.0382071j -0.0118514+0.0586843j -0.0685704-0.0185483j -0.0905933+0.0571433j 
-0.0600577+0.0177889j 0.0533435+0.022451j -0.0874461+0.00165739j -0.0602532-0.0274691j -0.00495383+0.0429381j -0.0613048+0.0106326j 0.0166092-0.0532406j -0.0240058+0.0387538j 0.0116087+0.0925624j -0.101035-0.0349916j -0.0270976-0.0483768j 0.0024076-0.00939288j -0.0280712-0.00651866j 0.0433549+0.0197298j -0.0425515+0.0345833j -0.0514883-0.128099j -0.0109011-0.0327143j -0.071979+0.0524779j 0.0688183+0.0229917j 0.0151398-0.0163601j 0.0472982+0.0546483j 0.0757758-0.0493108j 0.00885754+0.0139429j 0.0020117-0.0112998j 0.0180539+0.00830667j 0.000887726-0.0345944j -0.125892-0.00181451j 0.0481844-0.0788162j 0.0150051+0.0467644j 0.0280669+0.0485198j 0.0329777+0.0104722j 0.00829191-0.005447j -0.0356936-0.0804027j -0.0781795+0.0509918j 
-0.0185891-0.0652966j -0.0455484-0.0226004j -0.0555701+0.110379j 0.0249834+0.000995203j -0.0540751-0.0760314j -0.0605613-0.0139069j -0.00759416-0.0240521j 0.0450497+0.0650441j 0.0315274+0.0333424j -0.0776073-0.0382399j -0.0228534-0.0103167j -0.0231874-0.0532113j -0.0543298+0.0386136j -0.0110745+0.0251228j -0.0577779+0.0344088j 0.0114412+0.0716678j 0.0591939+0.0919473j 0.0880069-0.0316169j -0.0460268+0.009333j 0.0312907+0.00975672j 0.00945443-0.0109657j 0.0266453-0.0695343j 0.00842985-0.00960809j 0.000805677-0.00744865j -0.0392044+0.0525718j -0.0385152-0.00120061j 0.00553188+0.0202387j 0.0242888-0.0521966j -0.0208872+0.0372175j 0.0867855+0.0757546j 0.0274934+0.0659469j -0.0199891+0.0593925j 0.0229966+0.0279165j 0.0777696-0.0136947j 
-0.0720665+0.0398279j 0.037358-0.000938889j -0.046264+0.106574j -0.0607973+0.00260205j -0.0240538+0.0395332j 0.00122104+0.00542115j -0.0285031+0.00641856j 0.0438867+0.0255358j 0.0396545-0.0284094j -0.00228336+0.0254984j -0.0147167+0.0251867j -0.0140833-0.0253494j 0.0965388-0.052338j -0.0380423-0.0974093j 0.0170813+0.0514236j -0.0377509-0.0256691j -0.0144842-0.00925962j -0.0531894-0.0412379j -0.0576216-0.0494892j -0.0688834+0.0682328j -0.0134462+0.0172917j -0.067861+0.0153725j -0.0122436+0.0146758j -0.00595868-0.0294114j -0.0113202+0.0317913j -0.0116989-0.0838536j 0.0160402+0.00698543j -0.00619882+0.0600123j 0.179342-0.034612j -0.0269194-0.0573157j -0.028439-0.125011j 0.0154135-0.0577221j 0.00118993+0.0319439j 0.00197058-0.0235067j 
-0.0348036+0.00726082j 0.000968571+0.00299872j -0.00206996+0.0588654j -0.0146562-0.00187139j -0.0271366+0.010435j 0.0279095+0.0355446j 0.0389879-0.0103103j -0.0925638-0.0871234j -0.0564849+0.038152j 0.0181548+0.0220526j 0.0200423-0.0364866j 0.0288838+0.0872045j 0.0401952-0.0197336j -0.0205842-0.00706513j -0.0270948+0.00159797j 0.0262182+0.040165j 0.130018-0.0262469j 0.196834-0.00344248j 0.021568+0.0993722j 0.0715936+0.0888335j 0.0926093-0.0913104j 0.00964082-0.109997j 0.0173388-0.0427567j -0.00793984+0.00814826j -0.0284318+0.143399j -0.0569711+0.0132334j -0.00675683+0.0520477j -0.0306836+0.0266489j -0.00381882+0.0372479j 0.057143-0.0379398j -0.110518+0.0255022j 0.0450518+0.161183j -0.0193466+0.0552595j 0.00178519+0.0104257j 
0.0277342+0.0116886j 0.0170761-0.00186912j -0.00502995-0.0625968j -0.00255676+0.00367852j 0.0374403+0.00846588j 0.0283767-0.0848263j 0.0186715+0.0356691j -0.0167843+0.0241159j -0.0536214-0.0380592j 0.0913631-0.0856727j 0.0383281+0.0110828j 0.0275724-0.0365034j 0.0020024-0.00927316j -0.0181024-0.0573586j -0.0480118+0.158116j -0.112314-0.0235906j 0.0526333+0.0418842j 0.00195518-0.0356325j -0.0321923-0.0275306j 0.00591524+0.053755j 0.0574129+0.0114157j -0.0277299-0.144006j 0.00776544+0.00686829j -0.0167832-0.0451357j 0.00541997+0.110883j -0.0915203-0.0909667j -0.0728297+0.0911341j 0.0236222-0.0952091j 0.195075+0.00971004j 0.128018+0.030438j 0.029402-0.0384924j 0.0245512+0.00360131j -0.0219092+0.0101982j 0.0431265+0.0221189j 
