-0.396005-0.183257j 0.103495-0.566076j -0.331389+0.139523j 0.378898-0.144348j -0.0178278-0.0496406j -0.00446098+0.205848j 0.0184114-0.0489543j -0.374996-0.158497j 0.326047+0.152767j -0.0782689-0.569744j -0.401751+0.164125j -0.00611985-0.213616j 0.250058-0.0501903j -0.140827-0.0887845j 0.0739977+0.130161j -0.0771983-0.0497723j -0.0651416+0.0875488j 0.0149242+0.0489155j -0.00155293+0.15862j 0.0158277-0.0476643j 0.0627821+0.0892488j 0.0782557-0.0489534j -0.0764047+0.128295j 0.142611-0.0837006j -0.245507-0.0567696j -0.012976+0.210702j 
0.0680848-0.237166j 0.212037+0.038763j 0.132933+0.042408j 0.14725-0.046961j -0.0112328+0.107676j 0.00292488-0.197345j 0.00696825+0.107343j -0.145064-0.0507378j -0.131234+0.0367932j -0.213502+0.0281037j 0.0577351+0.237727j -0.379039-0.0092169j -0.029515-0.353033j -0.000405149-0.134718j -0.251684-0.0732986j -0.0574675+0.205587j -0.187972+0.0733167j 0.0849657+0.0413097j 0.00322754-0.31422j 0.0869543-0.0412193j 0.185722+0.0761142j 0.0512541+0.207911j 0.252772-0.0647953j 0.00479042-0.130937j 0.0428245-0.354861j -0.379692-0.00436481j 
0.00202535+0.0410036j 0.0406489-0.0166041j -0.125629-0.128309j -0.113526+0.0585855j 0.0107317-0.0393713j -0.00594084-0.000855634j 0.0745919-0.0592429j 0.009686+0.00583346j -0.0682337-0.00168749j -0.0783814-0.0152361j -0.0589336+0.111941j -0.0170922+0.0410913j 0.025542-0.0765774j -0.291258-0.0431161j -0.0183953+0.257858j 0.134231-0.0580178j 0.00262912-0.00938821j -0.0359156-0.0111609j -0.047893-0.0236047j -0.0269818-0.211872j -0.109594+0.014341j 0.096325-0.0293189j 0.0882679+0.0269741j 0.112245-0.00344087j 0.165139+0.0522417j 0.0796474-0.211194j 
0.0623691-0.0882656j 0.08058+0.00477266j -0.121753+0.0372435j -0.0505841+0.111576j -0.0314127-0.124543j -0.000471133+0.00700804j 0.0329006-0.123711j 0.0488783+0.113053j 0.123776+0.0388044j -0.0812399+0.00173617j 0.0599733+0.0890278j 0.0306776-0.12505j 0.0909706+0.0701363j 0.167174-0.0365414j -0.0299513-0.0881138j -0.00632727+0.10446j -0.0353686-0.0343621j 0.0923878-0.0784322j -0.000216633-0.0109228j 0.092115+0.0806452j 0.0366968-0.0348408j 0.00415056+0.105099j 0.0319298-0.0855248j -0.16478-0.0396045j -0.0948434+0.0657642j 0.0273619+0.127323j 
-0.0792323-0.0453327j 0.0844459-0.013797j 0.0388849-0.14631j -0.0981426-0.015712j -0.0389665-0.0452185j 0.00107282-0.0045825j 0.0562276-0.0240123j 0.0929922+0.0296292j 0.0295268-0.147302j -0.06799-0.0516789j -0.0934345+0.00455104j -0.121084-0.0455079j -0.0107857-0.119267j 0.0663241+0.146598j 0.205464-0.0884694j -0.00135538-0.125875j -0.0629252+0.0553349j -0.108621-0.0817917j -0.016891+0.0744851j -0.133168+0.0264906j 0.0326685+0.075751j 0.0584741-0.110997j -0.1449-0.172023j -0.126781+0.103535j 0.063768-0.100839j -0.126735-0.0144082j 
0.0569115+0.113016j -0.0792129+0.0127985j -0.0706612+0.00147201j 0.00962633-0.00375202j 0.0742217+0.0592885j -0.00592717+0.000195593j 0.0092266+0.0391668j -0.111288-0.0610986j -0.129551+0.126342j 0.0390075+0.0184642j -0.00177517+0.0423587j -0.0739409-0.212817j 0.165833-0.0460232j 0.11245+0.00253412j 0.0872256-0.0265371j 0.0973861+0.0309991j -0.109491-0.0143846j 0.0293249-0.211497j -0.048138+0.0238643j 0.0370976-0.0104803j 0.00266804+0.00791817j 0.134471+0.0625645j -0.0101562-0.257772j -0.292102+0.0359382j 0.0206091+0.0778998j 0.0191212+0.0431064j 
0.0138756+0.00718681j 0.0229177-0.0239035j -0.036479-0.00429154j -0.0420373-0.0139235j -0.023386+0.0246181j 0.0614543-0.0688543j 0.0222727-0.0215845j -0.0511852-0.0204547j 0.0186667-0.027604j 0.028843-0.0107871j 0.0556409-0.0195222j 0.0114861+0.00345299j 0.0204933-0.0324287j -0.061186+0.00814461j -0.0598542-0.0380293j 0.0689018-0.0621019j 0.0520239-0.16139j -0.0379765-0.00301463j 0.131572-0.0040252j -0.00570082-0.114948j -0.0593442-0.0506786j -0.0418523-0.0209142j -0.0311425+0.0101949j -0.0815638-0.0299479j -0.0542793-0.0381404j -0.100245+0.030975j 
0.0190045+0.028657j 0.0176773-0.0458282j -0.0272094-0.0152855j -0.0418944+0.0368004j -0.00183445+0.0777607j 0.0114852-0.107518j -0.0563216-0.0303876j -0.0519905+0.0399548j 0.0248095-0.0077342j 0.0285184-0.0481434j 0.0427156-0.035534j 0.00612531+0.0262846j 0.010142-0.0229048j -0.0531717-0.0672144j -0.0593361+0.00538603j -0.0603484-0.0887673j -0.0443266+0.0254289j -0.0230489+0.0400623j -0.0452846-0.0323121j -0.0709451+0.0802266j -0.0230427+0.070051j -0.0758474-0.00534807j 0.00127106-0.0677296j -0.0416647-0.0580946j -0.0263832+0.0572093j 0.0236656+0.00646218j 
-0.00489068-0.049347j -0.0193712-0.00952265j -0.0164085+0.0823173j -0.0523392-0.0120724j -0.0315454-0.0348142j -0.00999806-0.0876199j 0.0992341-0.0729136j -0.069893-0.0125794j -0.0649268-0.0595147j 0.00709631+0.00786654j 0.00282682-0.0780193j -0.00831248-0.030002j -0.0259028+0.0193431j 0.0778159+0.0792678j 0.0361352+0.0225494j 0.0235438+0.0330267j -0.0742465-0.0278114j 0.0110852-0.0209189j 0.0225893-0.0649425j -0.0259122-0.0612134j -0.0103-0.0164463j 0.0654327+0.0128297j 0.0285696+0.0768344j 0.0469136+0.0932413j -0.00299608-0.0149831j 0.0163331+0.0536441j 
0.0688005-0.00267012j 0.0187663-0.0275391j -0.0978333-0.0499911j -0.00847006-0.015518j 0.0701625+0.0984508j -0.000767598+0.0309188j -0.0691266+0.0968016j 0.00553633-0.0162234j 0.0967552-0.0515568j -0.0189137-0.0287901j 0.0689196+0.000776989j 0.00858221-0.0350737j -0.0100053+0.00646407j 0.0127331+0.0678565j 0.000611915+0.0407296j -0.0203048+0.0166551j -0.0339791-0.00694635j -0.011708+0.011394j 0.000375825-0.0622378j -0.0122642-0.0128062j 0.0328668-0.00691175j 0.0218201+0.0160025j 0.00013084+0.0412961j -0.0123952+0.0689208j 0.00949681+0.00640701j 0.00860144+0.0347978j 
0.0101868-0.045475j 0.0161439+0.0540238j -0.0258858-0.0172284j -0.00904097-0.0890669j -0.0318535+0.00838835j 2.11681e-05+0.145656j 0.0328132+0.0086364j 0.00785812-0.0901125j 0.0258824-0.0192364j -0.0164418+0.0535982j 0.00957984+0.0458851j 0.0256922-0.0391836j 0.0269023+0.029769j 0.0129459-0.0071224j -0.0559655+0.00328513j -0.000642665-0.069421j -0.0523408+0.0389739j -0.106009-0.000734969j 0.00182252-0.150701j -0.105461-0.00190035j 0.0516834+0.0401354j 0.00221081-0.0698265j 0.0566126+0.0043831j -0.0104879-0.00737284j -0.0281621+0.0278579j 0.0246719+0.0404002j 
