0.810652-0j -0.211698-0j -0.172851-0j -0.172851-0j -0.149693-0j -0.122224-0j -0.0386506-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.211698-0j 0.00828113-0j 0.193253-0j -0.197507-0j -0.00184196-0j -0.277813-0j -0.175229-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.172851-0j 0.193253-0j 0.346052-0j -0.331383-0j -0.422049-0j -0.116514-0j 0.035283-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.172851-0j 0.197507-0j 0.331383-0j -0.331303-0j 0.139658-0j -0.119024-0j -0.399848-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.149693-0j 0.00184196-0j 0.422049-0j 0.139658-0j 0.00153819-0j -0.606721-0j 0.123905-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.122224-0j -0.277813-0j -0.116514-0j 0.119024-0j 0.606721-0j -0.33771-0j -0.370242-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.0386506-0j 0.175229-0j -0.035283-0j -0.399848-0j 0.123905-0j 0.370242-0j -0.475145-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.843927-0j -0.170969-0j -0.135163-0j -0.0901086-0j -0.135163-0j -0.156073-0j -0.05518-0j -0.0901086-0j -0.0955746-0j -0.05518-0j -0.0142474-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.170969-0j 0.0088248-0j 0.148063-0j 0.098709-0j -0.151323-0j -0.00188166-0j 0.0604467-0j -0.200677-0j -0.107001-0j -0.184001-0j -0.0790669-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.135163-0j 0.148063-0j 0.388591-0j 0.0780363-0j -0.372119-0j -0.141146-0j -0.245282-0j 0.0780363-0j -0.255638-0j -0.0499026-0j 0.0123386-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0901086-0j 0.098709-0j 0.0780363-0j 0.406893-0j 0.0780363-0j -0.468591-0j 0.0318582-0j -0.270541-0j 0.05518-0j 0.0318582-0j 0.00822575-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.135163-0j 0.151323-0j 0.372119-0j -0.0780363-0j -0.372029-0j 0.138138-0j -0.0477873-0j -0.0832462-0j 0.08275-0j -0.247421-0j -0.240997-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.156073-0j 0.00188166-0j 0.141146-0j 0.468591-0j 0.138138-0j 0.00376714-0j 0.283228-0j -0.384731-0j -0.301683-0j -0.175404-0j 0.0721779-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.05518-0j -0.0604467-0j 0.245282-0j -0.0318582-0j -0.0477873-0j 0.283228-0j -0.128093-0j -0.0318582-0j -0.4666-0j 0.100136-0j -0.00503722-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0901086-0j -0.200677-0j 0.0780363-0j -0.270541-0j 0.0832462-0j 0.384731-0j 0.0318582-0j -0.447855-0j 0.0588639-0j 0.0275107-0j -0.404806-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0955746-0j -0.107001-0j -0.255638-0j 0.05518-0j -0.08275-0j 0.301683-0j 0.4666-0j 0.0588639-0j -0.0691028-0j -0.540348-0j 0.170411-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.05518-0j 0.184001-0j 0.0499026-0j -0.0318582-0j -0.247421-0j -0.175404-0j 0.100136-0j -0.0275107-0j 0.540348-0j -0.320118-0j -0.20556-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0142474-0j -0.0790669-0j 0.0123386-0j 0.00822575-0j 0.240997-0j -0.0721779-0j 0.00503722-0j -0.404806-0j 0.170411-0j 0.20556-0j -0.27055-0j 
