0.00493483-0.0533914j 0.0167649+0.00972139j 0.0318479-0.0572372j -0.0147095-0.0319772j 0.0382554+0.0111504j -0.0284153-0.00154844j -0.0495614+0.0170542j 0.000777244+0.00161158j -0.0159994+0.00174594j 0.00484609-0.0122167j 0.0174603-0.0245687j 0.00442195-0.00415563j 0.00171136+0.00313532j 0.0121233-0.0471826j -0.026045-0.0116391j -0.0352919+0.0412424j 0.0236386-0.0359761j -0.01322+0.0118207j 0.0261164-0.00479053j 0.00274047-0.0118312j 0.00032959-0.00877603j -0.0079694-0.00133997j 0.00177106+0.00653124j 0.00278351-0.000329032j 0.00241054+0.00411883j -0.00505695+0.00333731j -0.00149196-0.00202785j 0.00134611-0.00655955j -0.00225622+0.000953479j 0.00253851-0.00368224j -0.006488+0.00945801j -0.000975205+0.00130102j 0.00292767-0.00268969j -0.00306854+0.00448498j 0.00362653+0.00391179j -0.0384964+0.0268225j -0.000488682-4.88514e-05j 0.00655749-0.00731435j 0.00475023+0.00953643j 0.00341239-0.00652555j -0.0132868+0.021202j -0.00431708+0.0180157j -0.00341946+0.00639663j 0.0127081-0.00750453j -0.0090153+0.00962294j 0.0035924+0.0079967j -0.00936138+0.014229j -0.00230736+0.0115523j -0.00844406-0.0029657j 0.0088913-0.00892823j -0.00238674+0.00313925j -0.00753541-0.00554914j -0.002393-0.008376j -0.00380394-0.00511595j 0.00546099+0.0059082j -0.00449243+0.00353952j -0.0113673+0.00337576j 0.00456218+0.000926003j -0.00407269+0.000807311j -0.000801501+0.00408054j -0.00143536-0.00317565j 0.000646674-0.00302514j 4.8165e-05-0.00288242j 0.0086953+0.00387958j -0.00316623-0.00403187j 0.00173302-0.000635032j 0.00243667-0.00420017j 0.00136713+0.00378013j 0.00354275+0.000699059j -0.00422787+0.00176293j -0.00135118+0.00461316j -0.00506093-0.00292752j 0.00506629-0.00129403j 0.00032219+0.00371204j -0.00593211-0.000378679j 0.000351961-0.000553717j -0.00533511-0.0052631j -0.00159837-0.000169814j -0.00334786-0.00232735j 0.00289993-0.00213218j 0.000845888+0.00978952j 0.0156404+0.00163315j -0.00553877+8.29621e-05j -0.00668464-0.000435271j 0.00403904+0.00195212j 0.00749522-0.00288611j 0.00942127-0.00285211j 0.0198415+0.0217276j -0.00576599-0.00289422j -0.00313045+0.00965143j -0.00319795+0.00101121j -0.00605942+0.0235729j -0.0441071-0.0445202j -0.0149852-0.00130425j -0.00413252-0.00870001j 0.0176021-0.0237776j -0.00186422+0.0190987j 
-0.0168378-0.012799j 0.00621916-0.0556112j -0.0459342-0.0135718j -0.0474316+0.0456957j 0.0300515-0.0307881j -0.0131878+0.0181166j 0.0025433+0.0209309j 0.000717408+0.00775699j -0.00848507+0.00369948j -0.00112901-0.000365204j -0.00876199-0.0163737j -0.016155-0.00783695j 0.0236777-0.00740893j -0.0479846+0.00526443j -0.017675+0.048016j 0.0199508-0.0308373j 0.0318946-0.0455109j 0.0225684-0.00718711j 0.00493648-0.00861273j -0.0124926-0.00886765j -0.0123191+0.000670642j -0.00375294+0.00160694j 0.00652654-0.00351065j 0.00258587-0.00243071j 0.00791234-0.01128j -0.000335227+0.00398278j -0.00179972+0.00661111j -0.00483484+0.00564198j -0.00116043+0.0021378j -0.00428195+0.00526338j -0.00295076+0.00398118j -0.0023886+0.00360847j 0.0112915-0.0151997j -6.25614e-05-0.00281737j -0.0178313+0.017801j -0.00452325-0.00733808j -0.0168438+0.00758498j 0.00231043+0.00753056j -0.0266797+0.0154823j -0.0123781+0.019549j -0.00337941+0.00876986j 0.00483501-0.0108399j -0.00731435+0.022384j -0.0108061-0.00236458j -0.00173631+0.00662693j 0.0160488-0.00272073j -0.00627185+0.00888509j 0.00883108-0.00655277j -0.00475648-0.0034288j -0.00247595+0.00446276j -0.00311392+0.00275501j -0.00684594+0.0036092j -0.00754812+0.00578293j 0.00511402+0.00227923j 0.000968207-0.00443974j 0.00161779+0.0034014j -0.000241437+0.00156627j -0.00827892+0.000317445j 0.00281198-0.00702859j -0.00220349-0.00106288j -0.00349323+0.00705658j -0.00205326-0.00632743j 0.00218799-0.00482916j -0.00526195-0.00596539j -0.00136254+0.00290888j 0.00393524+0.00359772j 9.23029e-05+0.00454186j 0.00711475-0.00835606j 0.00467228-0.00281394j 0.00155108-0.000123428j -0.000448611+0.00349272j -0.00633072-0.00241949j -0.00441771-0.00266715j 0.00179516+0.00183885j 0.00106723+0.00220177j -0.00495537-0.00201958j 0.00157767+0.00172966j -0.000586993-0.00512991j -0.00653526+0.0029668j -0.0014177-0.00593891j -0.000798755+0.00227843j -0.00705548-0.00679154j -0.0110705+0.000633108j 0.000620762-0.00528372j -0.0099595-0.00490579j 0.000478147+0.00234688j 0.0220398+0.0184707j -0.00751329+0.00803051j 0.00905352+0.0100934j 0.00322072-0.00523925j -0.01284+0.0031433j -0.0439295-0.0445058j 0.0048683-0.0244162j 0.00621283+0.00930858j -0.0122772+0.00162785j 0.002053-0.0190069j 0.0171812-0.0231083j 
-0.00102019-0.0468565j -0.00834882-0.0754568j 0.0300988-0.0403823j -0.0104888+0.0312499j 0.0157921+0.0117946j 0.00830047-0.0321885j 0.0126171-0.00841475j -0.0239092+0.0142175j -0.00728123-0.0161282j 0.0179498+0.0277365j 0.0434983-0.0111831j -0.0335656-0.0371183j 0.0601923-0.000164251j -0.0632402+0.0300916j -0.0272516-0.0198646j -0.0628397-0.116869j 0.080592-0.100163j -0.00994637-0.0401792j 0.0360262-0.00733173j 0.00271288+0.00560049j -0.014869+0.0139548j -0.0207307+0.000100037j 0.00745795-0.00740548j 0.00939594-0.000319214j 0.0120364-0.00332788j 0.00363152-0.00635638j 0.00551754-0.00622458j -0.00682859-0.00435422j 0.00145935-0.00758253j -0.0112897+0.00695565j -0.00294015-0.0159229j -0.00432139-0.000280098j 0.0234879+0.0121256j 0.00393916-0.00417175j -0.0424916+0.0055164j 0.0139352-0.040737j 0.0041207+0.0160336j -0.0299838+0.037636j -0.0337696-0.0251151j -0.0114766+0.0280186j -0.0142063+0.00828237j 0.0172833-0.0253292j -0.0262398+0.000286446j 0.00790257+0.00172519j -0.00884028-0.0106679j 0.0053617-0.0112124j -0.0080772-0.0106041j 0.0110988-0.0164786j 0.00972193-0.0093806j -0.00942345+0.00901437j -0.00987375-0.000414755j -0.00916876+0.00811044j -0.00385779+0.0052449j 0.00453909+0.00400338j 0.00212501+0.00134971j -0.00299447+0.00122552j 0.00311633-0.00858691j -0.0131341-0.000440419j 0.00266738-0.00437948j 3.34555e-06-0.00189391j -0.010547+0.00749594j 0.00231254-0.00145054j 0.00254676+0.000638798j -0.00675896+0.00893624j -0.00539837-0.0009828j 0.00311623-0.00189881j 0.00156982+0.00064713j 0.0103641-0.000597663j 0.00376767+0.00117107j -0.00163032+0.0036821j 0.00113289-0.00274446j -0.00108913+0.0053846j 0.000950997+0.00575596j 0.000708604-0.00755613j -0.00363825+0.00516945j -0.00199196+0.00369921j -0.0100733-0.00336782j 0.00191968-0.00512333j -0.0152514-0.000671249j 0.00562554+0.00400682j -0.000631924-0.0094948j 0.00250303+0.0119869j -0.0109805+0.00472371j 0.00557698+0.00317486j 0.0070009+0.006078j 0.00207874-0.000851421j -0.00783092+0.0030466j 0.00550617-0.000702037j -0.0029923+0.00237519j 0.0067845-0.00900477j -0.00505282-0.00504209j -0.00320366+0.0130671j -0.0139014+0.0233598j -0.0115525+0.000250973j -0.00771515+0.00450731j 0.00407812+0.0297082j 0.0356128-0.0283384j 
0.0170011+0.0643615j -0.0062426-0.0440099j -0.0499291-0.0221452j -0.0228242+0.00303381j -0.0244017+0.0108996j -0.00414618-0.0331454j 0.0530266-0.0335609j -0.00752892+0.00216811j 0.0180969+1.23695e-05j -0.00604171+0.0204296j -0.0493977+0.0262572j 0.00698929+0.0202355j -0.0216261+0.0404692j -0.100681-0.0406906j 0.0346609-0.0430756j 0.0925372-0.113556j 0.0697716+0.108061j 0.0393049-0.0166065j -0.00687707+0.0202166j -0.00770693-0.0108674j -0.0145821-0.00656367j 0.0145812-0.0145228j 0.00540264+0.0242585j -0.00774973+0.00364929j -0.00554804+0.0226252j 0.0208669-0.00374134j 0.0101463-0.00575663j -0.00696745-0.00672715j 0.00900058-0.00289795j -0.010733-0.00501552j 0.0257483-0.0124613j 0.00423298-0.0043737j -0.000833368+0.0132488j 0.0112273-0.00725305j 0.00801067-0.0208744j 0.0436077+0.00860631j -0.0114633+0.00943977j -0.0324366-0.0291659j 0.0329121-0.0474513j -0.0111631+0.00838166j 0.0140997-0.0256225j 0.0217432-0.0022831j 0.0137763-0.0280685j -0.0122065+0.00243761j 0.0103025-0.0062868j 0.00464115+0.00860176j 0.0202025-0.0126772j 0.0113701+0.00360429j 0.00430147-0.0089996j -0.00659673-0.00517858j 0.0083802-0.00340681j 0.00219706-0.00627599j -0.0115995-0.00775817j 0.00212756-0.00163294j 0.000262643+0.0163525j 0.0119596-0.00814051j 0.00932237-0.00548504j -0.00161776-0.00359191j -0.000423192+0.00588009j 0.00254229-0.00149205j -0.00336029-0.0100424j -0.00859267+0.0127932j -0.0052252+0.00489061j -0.00162994+4.22673e-05j -0.0034032-0.00280138j -0.00315791-0.00296077j -0.0113095-0.000270777j 0.00334394+0.00833163j -0.00239551+0.00457243j 0.00441412-0.00380046j -0.00158606-0.00373229j -0.00395045+0.00666948j -0.00306169+0.00537422j -8.04314e-05-0.00184478j -0.000775846-0.00210842j 0.00395791+0.00217344j -0.0101874+0.00184053j -0.00217384+0.00687053j -0.00274688+0.00209332j -0.00233889+0.00657082j 0.00323188-0.00216726j -0.0114754+0.00357604j 0.00712458-0.00104156j 0.00332016-1.8218e-05j 0.000758725-0.00996018j -0.00324063+0.000739214j 0.00584789+0.0105392j 0.011345-0.00330762j 0.00877588-0.00395535j 0.00423005+0.00250504j -0.00571963-0.00663815j -0.0153131+0.0266082j 0.00324116-0.0125843j 0.010098-0.00219631j -0.011263-0.00064528j -0.037396+0.0306177j 0.0047025+0.029179j 
0.00835759-0.0193473j -0.0567053+0.00276636j 0.0258698-0.101067j 0.082906-0.0158334j -0.074345-0.111452j 0.0597821+0.0943909j 0.0256501+0.089571j 0.0825883+0.0151954j -0.0196289+0.0567742j -0.0317606-0.0735618j -0.0939626-0.0960435j 0.0735219+0.0832356j -0.136502-0.0159964j 0.132549-0.161923j 0.100471+0.0793797j -0.00716348+0.177593j -0.143527-0.0233682j -0.0384067+0.0501291j -0.0378732-0.0706885j 0.0386321+0.00518355j 0.0265279+0.0113853j 0.0174096+0.0197536j -0.00581844-0.00990065j -0.00462548-0.00841353j 0.00269504-0.0152102j -0.0118167+0.00653355j -0.0115285+0.00558737j -0.00376539+0.00861919j -0.00793761+0.00723037j 0.0120716+0.0024867j -0.000858732+0.0194785j 0.00384986+0.00167436j -0.00613016-0.0143524j -0.00474577+0.00530171j 0.0257275+0.00346044j -0.00636814+0.0223388j -0.00340699+0.0085299j -0.00324824-0.00981532j 0.00432968+0.00546572j 0.0211528+0.00245245j 0.00148837+0.0142303j -0.0108059+0.00485771j 0.00886496+0.00926111j 0.00963146-0.015784j -0.000301525+0.012435j -0.0168963-0.00453246j 0.00811817+0.0130106j -0.0159212+0.000372785j 0.00325068+0.0137467j 0.00641823-0.00689192j 0.0115156-0.000714145j 0.00964349+0.0102627j 0.00238012+0.0118453j -0.002055+0.00177912j 0.00255599-0.00862973j -0.000678626+0.00175991j -0.000527567+0.0164431j 0.0132527-0.00542968j -0.000811973+0.00331939j 0.000298831+1.55241e-05j 0.00511375+0.00423305j 0.0058125-0.00161833j -0.000677322-0.00205841j 0.0066489-0.0189187j 0.00331571+0.00823485j -0.00679228+0.000388016j -0.0063536-0.000665584j -0.00381703-0.00682713j -0.00194073-0.00545325j 0.00543383+0.000578392j -0.00440362+0.00138159j 0.00293952-0.000572911j 0.000580416-0.0083873j -0.00474338+0.00359084j 0.00448763-0.00124085j 0.00484281-0.00201599j -0.000668472+0.00940197j -0.0048529-0.00139451j 0.00830741+0.00496231j -0.000512869-0.00520566j 0.0012919+0.00876812j 0.00999814-0.0124348j 0.013214+0.00202059j -0.00279218+0.000383895j 0.000376607-0.00334224j 0.000264252-0.00386431j 0.0025095-0.000590544j -0.0138827-0.0124009j 0.00507342+0.00785492j -0.00778741+0.0062312j 0.0026035+0.00268407j 0.000678338-0.0351273j 0.030304-5.6852e-05j 0.0168963+0.0110037j 0.00693506-0.00136936j -0.00437623-0.0322543j -0.0289899+0.00509438j 
-0.0606424-0.00152883j 0.0528027+0.0697644j 0.0111119-0.0334568j -0.0346512-0.0744608j -0.0876723+0.00517923j -0.0162206-0.0314204j 0.084006+0.0575514j -0.0721703-0.0119305j 0.0225969-0.0199959j -0.0199914+0.0126776j -0.0156943+0.0657917j 0.0468499+0.0629428j -0.0508741+0.149232j -0.125195-0.10913j -0.0289564-0.132332j 0.162514+0.068926j -0.0528624+0.144896j 0.0424363+0.0469946j -0.0385119+0.0160274j 0.00804544-0.0138394j 0.00123031-0.030918j 0.0308384+0.00924433j 0.0137228+0.0289373j -0.0178561-0.00133112j 0.00256855+0.0225852j 0.0112242+0.0225431j -0.0103712+0.00262045j -0.0186333-0.0232618j -0.000201653+0.00699077j 0.00131705-0.0190626j 0.0177807+0.0219823j 0.00865317-0.0063165j -8.1658e-05+0.043535j -0.00276128+0.0181188j 0.0157221-0.0109024j 0.0229665-0.00812542j -0.0177261-0.0255249j 0.0065698+0.00166412j -0.0259398-0.0130356j -0.0109088-0.030335j 0.0264501+0.00580877j 0.0050042+0.0205768j 0.00143148-0.00744562j -0.00950581-0.00481923j -0.00499305-0.00586531j -0.00183178+0.011631j 0.00726832+8.76488e-05j -0.00244133+0.0105029j 0.00716584+0.00176284j -0.00557626-0.00547673j 0.0083653-0.00171361j 0.00608493+0.000265045j -0.00885856-0.00692764j 0.0131767+0.00595451j 0.00471344-0.00787719j 0.0132641+0.00276061j 0.00467649+0.00861851j -0.00474451-0.00934711j -0.0037462-0.00307024j 0.00153917+0.00251637j -0.00970098-0.00927194j -0.000362812-0.00241474j 0.00158142-0.00071956j -0.00306484-0.00892066j -0.00465571-0.00325198j 0.000414741+0.00155149j -0.0109615-0.000809901j 0.00300506-0.0020479j -0.00760824-0.00186088j 0.00708248+0.000964339j -0.00370259+0.00143644j -0.00145386-0.00437645j -0.000823367-0.00873845j -0.0029789+0.00676279j 0.00554954-0.000432975j 0.00368361-0.00161435j -0.0038102+0.0155458j -0.00620629+0.00217901j -0.00686802+0.00360285j -0.000129707+0.00190077j 0.00557103+0.00995575j 0.015375+0.00484073j 0.0071319+0.00292624j 0.00855651+0.00521384j 0.0115058+0.00388985j 0.00677093+0.00888523j 0.0180285+0.0174741j 0.00295848+0.00783364j 0.0162061+0.00290533j -0.000962981+0.00603523j -0.0155935-0.0213541j -0.0325114-0.00436136j -0.00933122-0.028713j 0.0137633-0.00427043j -0.0203362-0.0206624j -0.0191509-0.00526005j 0.00937677+0.0216528j 
-0.0520353-0.0532419j -0.0176563-0.0072034j 0.045608-0.0132565j 0.00915561+0.0295185j 0.0234088+0.0125284j -0.0478813+0.115015j 0.00551614+0.0149077j 0.0139755+0.030614j -0.0603785+0.00392594j -0.0525429-0.0296373j -0.0193813-0.0134517j -0.0120524+0.0264828j 0.071032-0.0534677j -0.0632821-0.0420243j 0.0271637-0.040694j -0.0412235+0.0374712j -0.0459937-0.0808073j -0.024453-0.00246186j 0.0401781-0.0385267j -0.0245152+0.0118848j 0.0115183-0.00435721j 0.00548476+0.0217185j 0.00193533+0.00228956j 0.00452882-0.0104829j -0.0155189+0.000385128j -0.0113295-0.00144325j 0.0095788-0.0121859j 0.0165482-0.0197077j -0.00384169-0.00595542j 0.0075868+0.00635625j -0.0138078+0.0229253j -0.00618667+0.00932764j -0.0364956-0.0218574j -0.0305672-0.0112125j -0.0116374+0.026509j 0.0374938+0.026645j 0.0155581-0.0279109j 0.00223054+0.0122626j -0.0017389-0.0225348j 0.0113857+0.0038169j 0.00847529+0.0262066j 0.00491955-0.00781103j -0.00498721+0.0158503j 0.00145682-0.0083083j 0.0118856+0.00690328j 0.0148128-0.00474783j -0.000968481+0.0124106j 0.0077036-0.0149601j -0.0218621+0.00700523j -0.0110484-0.00217872j 0.0110037+0.00717717j 0.00277011-0.00747056j -0.018409+0.00212713j 0.00324072+0.00323821j 0.0167612+0.000728898j 0.00208373+0.00497304j -0.00543179+0.00150607j -0.00458095+0.00590195j 0.0042259+0.0053787j -0.00204465-0.0022601j 0.0048887-0.00413504j 0.00119666-0.00234635j 0.00420381+0.00082979j -0.000236965+0.00276422j -0.00161011+0.00137137j 0.00191974+0.000944044j -0.00413579-0.0104487j 0.0176779+0.00377567j 0.0135856-0.00334324j 0.000673039+0.00213239j -0.00486459-0.0038862j -0.00763287+0.00817988j -0.00219443+0.00235253j -0.00235143-0.0104746j -0.00944345+0.00121503j 0.00493831+0.00518411j -0.0319515-0.0111671j -0.00796975-0.0161707j -0.0132174-0.00908546j 0.0175286+0.00033555j -0.00212748+0.0101961j -0.00380187+0.0271858j -0.00187782-0.00346994j -0.0109076+5.30882e-05j -0.0145545+0.0114355j -0.0100978-0.00379657j -0.00377084+0.00347032j -0.00916503-0.0100742j -0.00637275+0.00853001j 0.00296699+0.00497969j 0.00837619-0.00510089j -0.00930507-0.00771909j 0.00840818+0.0110103j 0.00951933+0.018794j 0.0137985-0.00257493j -0.00446342-0.00388471j 0.00801174-0.016354j 
-0.0675229-0.00380492j -0.0264004-0.00274889j 0.0376261+0.000740458j -0.0526097+0.02845j -0.0181361+0.0116244j 0.0330739-0.0451339j 0.0402384+0.018826j 0.0217838-0.011352j 0.0263291+0.0420276j -0.0518067+0.033185j -0.0884279-0.0297521j 0.0274947+0.0342756j -0.0359369+0.0232691j -0.0780406-0.163577j 0.160682-0.0351996j 0.0907402+0.0664794j -0.105514+0.0375839j 0.0424197-0.000104477j -0.022584+0.0263649j 0.00169077-0.0234248j 0.00361468-0.00916277j 0.00531727+0.00417059j -0.017098-0.00105248j 0.000189713-0.00663646j -0.0163076-0.00871465j 0.009633-0.000287061j 0.0168072-0.0031939j 0.0123321+0.0103123j 0.0067591-0.00232826j 0.00503634+0.00931348j 0.00917029+0.00173362j 0.00744287+0.00479398j 0.00719537-0.0323212j 0.0202216-0.00847643j -0.00642825-0.0180563j 0.0187986+0.0301204j 0.0287519+0.00199802j -0.00263482+0.0222735j 0.0145262-0.00770582j 0.00509299+0.00666522j 0.0222026+0.0100576j 0.0102967-0.00302759j 0.01279-0.00260319j -0.00273947-0.00402912j -0.00318679+0.00602853j -0.00330868+0.0113521j 0.00793082-0.00187141j 0.00484791+0.0043744j 0.0143278-0.0249195j -0.000207533-0.00897473j -0.00391389+0.00129337j 0.00579741-0.000330168j 0.00712306-0.0132138j -0.00362581-0.000109178j -0.00854646+0.0165632j -0.000802296+0.00669376j 0.0140421-0.00672348j -0.00392122-0.00700383j 0.00283647+0.00818052j 0.00326094-0.00455847j 0.00820987+0.00966058j -0.00162836-0.00613985j -0.00342004+0.00324091j -0.0105339-0.00221402j 0.0103901-0.00038929j -0.00724017-0.00374236j 0.00113272-0.00648535j -0.0123901+0.0135216j -0.00655264+0.0128919j 0.00663454+0.0105605j -0.00227122-0.00240074j -0.0025979-0.013523j -0.0148541-0.000326794j 0.00498026-0.00117305j 0.00662113+0.00164403j -0.000156267-0.00190301j 0.0113867-0.0259477j 0.00517294-0.00781301j 0.00924448-0.0137716j -0.0113831-0.000324487j -0.0050794+0.000117499j -0.030856-0.00243209j 0.00200368-0.0112349j 0.00327025-0.00928674j -0.00559221-0.010427j 0.00241942+0.000489342j 0.010851+0.012473j 0.00768803+3.74007e-05j 0.00916181+0.00618052j -0.00223086+0.00746437j 0.000737709+0.000869062j -0.0228471+0.00565427j 0.0193364-0.0186853j 0.00995395+0.00820006j -0.00472635+0.00660035j -0.0282461+0.00805273j -0.00736084+0.0160944j 
-0.0145855+0.0153243j 0.0138374-0.00463817j -0.0337789+0.0136869j 0.00693561-0.0114339j -0.013951+0.0671781j 0.0243423+0.033411j 0.0687593-0.0114429j -0.0462061+0.0308765j 0.0382808+0.0079409j -0.0105074-0.00196725j 0.0505903-0.0450274j -0.0497862-0.142959j 0.0857638+0.0953072j 0.00133565-0.101012j 0.131344+0.00962716j 0.0923221-0.0417375j 0.0107875+0.0924693j 0.0143+0.00188542j -0.00146079+0.0326442j -0.0108721-0.0169196j 0.00169522-0.0144985j 0.00685896-0.0109776j -0.0138088-0.00988244j 8.32495e-05+0.00465641j -0.0167298-0.0113819j 0.00846225+0.000419251j 0.00583838+0.0117464j 0.00294248+0.010624j 0.00483533+0.00221182j -0.0126787-0.00507199j -0.00382838-0.00429124j -0.00971573+0.00384031j 0.0034083-0.0193454j 0.00824852-0.0171416j -0.00996789+0.00598549j -0.0104627+0.0145149j 0.0091096-0.00481591j 0.00995573-0.0103343j 0.0253832+0.000847317j -0.0034144+0.000898597j 0.00438546-0.00628221j 0.00549012+0.0011708j 0.0075534-0.00425712j -0.00409066+0.00433556j 0.00987495+0.00275935j 0.00152872+0.00186706j 0.00299636+0.000866031j 0.00690574-0.00112078j -0.00284747+0.00364148j -0.00360263-0.00365651j -0.00200485+0.00213768j 0.00287223-0.00902066j -0.00015823-0.000751582j -0.000622943+0.00180623j -0.00576308+9.46166e-06j 0.003615-0.00142045j 0.00129557+0.00250606j -0.00317426-0.000104506j -9.85939e-05+0.00471096j -0.000977809-0.00261177j 0.00320001-0.00489896j -0.00844238+0.0068161j -0.00221259+0.00119697j 0.00215654-0.00835776j 0.000309251+0.00054685j -0.000547236+0.00528128j -0.00199669+0.00738468j 0.00354439+0.000715516j 0.00208045+0.000899641j -0.00524639-0.00215935j -0.00187989+0.00354107j 0.00301656+0.00522914j 0.00378124+0.00233312j -0.00195435+0.000440816j -0.0109767+0.00625853j 0.00481981-0.000450734j -0.00719419-0.0033577j 0.000276969+0.000680293j -0.00198366-0.00268953j 0.00719935-0.00207102j -0.00939661-0.00283452j -0.0220552-0.00663564j -0.00171875-0.00633152j -0.000727885-1.32239e-06j -0.0066677-0.0106715j -0.00885633-0.00350337j 0.000942021+0.00594854j 0.0150017-0.00225703j -0.00319239-0.00200347j 0.00467512+0.00132561j 0.00465562+0.00449857j -0.00740913+0.00122158j -0.000622885-0.0158664j -0.0056558+0.00846258j 0.000349507+0.00409541j -0.0117292+0.00234558j 0.000944356+0.0138097j 
-0.0385193+0.0281153j -0.0142684+0.00223925j -0.0364562+0.00768789j -0.0308577+0.0518923j 0.0520859+0.0561326j -0.113026+0.0763474j 0.0376022+0.0816532j -0.148076+0.0211971j 0.0860088+0.0355635j -0.0326326+0.0315017j 0.165561+0.103706j 0.0913822+0.0325645j -0.12203+0.0911689j 0.056492+0.13277j -0.0963033+0.165026j 0.00694383+0.0349467j -0.0198225+0.01403j 0.00381588-0.0319478j 0.00377443-0.00241972j -0.0135816+0.0275598j 0.00126162-0.00798653j 0.0263278+0.00632726j 0.0254397-0.0273988j -0.0205117-0.00643158j 0.0254918-0.0102922j 0.00572019+0.00675113j -0.0244867+0.00964828j -0.042511+0.00911096j -0.00673297-0.0011173j -0.00559859+3.04027e-06j 0.000710245-0.00709473j 0.00755946-0.00166642j 0.0344022-0.0110278j 0.0268757+0.0129444j 0.00282599-0.0129074j -0.0199522+0.00743987j 0.00641538+0.015859j 0.00523357+0.00161617j 0.000978977+0.01408j 0.0039133+0.00404973j 0.0165097-0.00741992j 0.00498247+0.00092987j 0.00939627-0.00455089j -0.00418862+0.0102274j -0.00738573+0.00714512j 0.00348783-0.0179158j 0.00127835-0.00068522j 0.00727116-0.00288949j -0.0139233+0.00512283j 0.0032434-0.000785716j -0.000799442-0.0025607j 0.00416561-0.00389895j -0.0136671-0.000585218j -0.0103408+0.00100349j 0.00899878-0.00250929j 0.0136491+0.00310016j -0.0113009-0.000756825j 0.00634606+0.003437j 0.00356263+0.00023018j -0.00248934-0.00355716j 0.00244144-0.000994992j -0.0130907+0.00581023j -0.00798699+0.00315065j 0.0294062-0.00927474j -0.000379964+0.00111185j -0.0170484-0.0044107j -0.0204608+0.00319747j 0.0108082+0.0036758j 0.00624858+0.00286725j 0.0098191+0.00441722j -0.00978191+0.000453697j -0.00991534-0.00240917j -0.00102724+0.0135726j -0.00186748-0.000918943j -0.00983636-0.00517141j 0.00754676+0.00670924j 0.00105769-0.0196202j 0.00797511+0.0017953j 0.00659801-0.00364616j -0.00757344+0.00717857j 0.000466196-0.0126155j 0.0057841-0.0118264j 0.000599598+0.00276586j 0.00468829+0.00795306j 0.00829672+0.00172723j 0.00959169-0.0034122j 0.0139447-0.0149683j 0.0107776+0.000153179j 0.00978886-0.00214823j -0.000828242-0.00197371j -0.0153726+0.0135806j 0.00571527-0.00744417j 0.0185705+0.00898097j -0.00293781-0.00628299j -0.0151199+0.0125608j -0.00133245-0.00390323j -0.0127371+0.00047605j 
-0.0120767-0.0459091j -0.00604328-0.00446809j -0.0219903-0.115771j 0.122259-0.0446463j -0.063894+0.0834971j 0.0388608-0.103573j -0.00124979+0.0299892j -0.00124645-0.0257343j 0.0678968+0.0109556j -0.100067-0.0122731j -0.0825427+0.098637j 0.000780273+0.11758j 0.0450147-0.0283967j -0.212647+0.128577j -0.172108-0.152548j 0.0138408-0.0542566j 0.0310421-0.0294341j -0.0281373-0.0150129j 0.00935232-0.03074j -0.0252048+0.0123502j 0.00181474-4.02201e-05j -0.00872373+0.0120778j 0.018476-0.0186328j -0.0193687-0.00175406j 0.00736459+0.00960349j 0.00520201+0.000811286j -0.00340862-0.00594964j -0.0201658-3.78266e-05j -0.00134361-0.0121087j 0.0158058+0.0194608j -0.00890815+0.00736049j 0.0202659+0.00160901j 0.00830718-0.0136369j -0.00853669+0.0259446j -0.0163799-0.00339262j 0.0117832-0.00388179j -0.00855468-0.00781501j 0.00395337-0.000270917j -0.0187122+0.011832j -0.000896327-0.0072905j 0.000317994+0.008612j -0.00659226-0.00174119j -0.0118767+0.0112081j -0.00130374-0.00463867j -0.00296739+0.00156998j 0.00252163-0.0031514j -0.00594119+0.00234834j -0.00276782+0.00462403j -0.0109497-0.000551798j -0.0115191+0.00761716j -0.0037923+0.0004389j -0.00986673-0.0197298j 0.00376585-0.0124523j -0.00211816-0.00592422j 0.0082091-0.0069956j 0.00980842-0.0112699j -0.00739763-0.00532199j -0.00264949+0.0225388j 0.00271432+0.000345787j 0.00117215+0.00234599j -0.00808992-0.0121132j -0.00460977+0.00418102j 0.00195244+0.00641809j 0.0018756+0.0218638j 0.0038843+0.00324764j 0.00285784-0.00764338j -0.00359656-0.0108932j 0.00622273+0.00212827j -0.00191631-0.00280385j 0.0032045-0.00519359j 0.00157952-0.00683433j -0.0100868+0.00123112j -0.000985984+0.00876374j 0.00286684-0.00375215j -0.00113222-0.01677j -0.00547072+0.00902838j 0.0101425-0.00301638j 0.0107787-6.64348e-05j 0.003791+0.0017104j -0.0186411+0.0084637j 0.0101717+0.00712425j 0.00371677+0.0290217j -0.0026898+0.00404006j 0.00905798+0.00462654j 0.000536898+0.0232251j 0.00525981+0.0149216j 0.00137657-0.0129815j -0.00492849-0.00340488j 0.00619979-0.000248572j -0.0013613-0.0014521j -0.00347212-0.00532098j 0.00226276+0.0234957j 0.00532581+0.0297138j 0.00659577-0.00819928j -0.00226436-0.000451586j 0.00615282+0.010015j 0.00546979-0.0233343j 
