-0.179287+1.66533e-16j 0.0199559+0.0174296j 0.0243351+0.0378513j 0.0660939+0.120135j -0.0266191+0.0127516j 0.00667148-0.0126557j 0.0156126+0.113282j -0.0147529-0.029349j -0.00128225+0.0557769j -0.0306017+0.0354001j -0.0102005-0.0427972j 0.00413576+0.0334862j 0.0145851-0.00767905j -0.00970694+0.0617618j 0.0154617-0.02698j 0.00254174-0.0393102j 0.0100088+0.00171902j -0.000891544+0.0104371j -0.019356-0.00826122j 0.0343672-0.00155334j 0.0159924-0.00159585j -0.00648304+0.0250737j 0.0154616-0.0171683j 0.0116339+0.00599856j 0.071532+0.00896631j 0.00633591+0.0254627j 0.0126619-0.00219023j 0.0129961-0.0200398j 0.0270184+0.0085878j 0.0380056-0.0248276j -0.036695-0.0452644j 0.0497883-0.00239573j 0.0669723-0.0565033j 0.0339535+0.0898511j 0.192489+0.0480723j 0.0411464-0.158764j 0.0362357+0.117771j 0.100503-0.0352296j 0.0519374+0.0342864j 0.0489793+0.048421j 0.118865+0.0345323j -0.0397026+0.0203669j -0.0516924-0.0701432j 0.0241516+0.0289913j -0.010387+0.027747j 0.0141694-0.0010204j 0.0262101+0.0188359j -0.00842004-0.0495495j -0.0136052+0.0322406j -0.0254698+0.0198293j -0.00902717-0.00430952j 0.0107251+0.0399988j -0.00881232+0.00188659j -0.00329924+0.00414723j 0.0153665+0.00671266j 0.0122623+0.000921389j 0.0146189-0.00493004j 0.00382487-0.0226699j 0.00693413-0.0101252j 0.000316899-0.0249761j -0.00126054-0.0185124j 0.0204812-0.019156j 0.00075607+0.00387176j -0.0144029+0.0255012j -0.00195695+0.00983636j -0.000132643-0.0253961j 0.0355836-0.00611299j 0.00178612+0.00704137j 0.0129473-0.0106095j 0.0215489-0.0106291j 0.00204624-0.0224334j 0.00865801-0.00248754j 0.0279871+0.0356425j -0.056992-0.00610434j 0.00614119+0.0178782j -0.0115008-0.0018198j 0.00894608+8.45505e-05j -0.0087761-0.0301126j -0.0226376+0.0114141j -0.0189504+0.0501523j 0.00941083+0.0276847j -0.00900168+0.0122552j 0.00930327-0.0508508j -0.0070358+0.0401225j 0.0709257-0.183593j -0.0963767-0.112575j -0.300256-0.0458218j 0.034886+0.133797j 0.0399352-0.139961j 0.0594011+0.0484974j -0.0146127-0.0158397j -0.142168-0.0168879j 
0.0199559-0.0174296j 0.17306-5.20417e-18j 0.0976317+0.108542j -0.0178706-0.0317542j -0.0110648-0.0488226j -0.0313939-0.0727086j 0.013181-0.0477491j 0.0158211-0.0497352j 0.0525716-0.0385106j 0.0166796-0.00252408j 0.00353269+0.0141079j 0.0116968-0.0759935j -0.00281228-0.0235538j 0.0181757-0.0132039j 0.0215366+0.0127341j -0.0392975+0.0238776j -0.00166515-0.00983859j -0.00588667-0.0076668j -0.022908+0.018134j 0.0144733+0.0315709j -0.00305984-0.0252697j 0.0259936-0.00236806j 0.0249142-0.015762j -0.0158998-0.0156435j 0.096904-0.0736054j 0.000540564+0.0087209j 0.020097-0.0107158j -0.0241774+0.00494828j 0.046779-0.0550519j -0.000212818+0.00802046j 0.000779972+0.0527692j 0.0565824-0.0584909j -0.052262-0.0394558j 0.133146+0.00788953j -0.0253658-0.181027j -0.123292-0.0750174j 0.0896114-0.0523828j -0.020294-0.125555j 0.0662052+0.013044j -0.0723157-0.0294401j 0.0308771-0.00828477j 0.126164+0.00825044j 0.000883396-0.0202664j -0.0432016-0.086561j -0.0187934+0.00925826j -0.0382445+0.00318147j 0.00108193+0.0530864j 0.0119684+0.0494531j 0.0208221+0.00853666j -0.00288169+0.0150512j -0.0215697-0.0211138j -0.0286576-0.0104865j 0.0113647-0.0210882j -0.00533485+0.0371481j 0.0150055-0.0397369j -0.0131004+0.00366234j -0.00044753-0.0164318j 0.00139173+0.0253617j -0.0165093+0.00213556j 0.0292514+5.78256e-05j -0.00882617-0.0150075j -0.00695704+0.00354612j 0.00747846+0.0255155j -0.00800112+0.0152401j 0.0064141+0.00833674j -0.0165991+0.015661j 0.0145367+0.026065j 0.00197152-0.0137217j -0.00102254-0.0154862j 0.0222911+0.0078434j 0.00961843+0.0238537j -0.0405083+0.0129835j -0.0330575+0.00906507j 0.00107321-0.0107489j 0.0476582+0.00915907j 0.0285105+0.0247137j 0.0115544-0.00895556j -0.00535719-0.00643466j -0.0117223-0.00419134j -0.00199092+0.0175988j -0.0479996+0.0424941j 0.00141998-0.0884557j -0.0381812+0.0537034j -0.0263259-0.0170086j -0.166908-0.0264802j -0.202368+0.0858203j 0.0570498+0.247895j 0.154562+0.076893j 0.00176855+0.0089745j 0.00280839+0.0509398j 0.119336-0.0159019j -0.00211201+0.00633962j 
0.0243351-0.0378513j 0.0976317-0.108542j 0.0739979+5.89806e-16j 0.0704833+0.0411423j 0.058152+0.085067j -0.0624548-0.0478892j 0.0359766+0.0617101j -0.0421378+0.108557j 0.0852822+0.0852221j -0.00510029+0.0127949j 0.0589809+0.0578509j 0.0370698+0.0629934j 0.0103071-0.000139887j 0.0509788-0.0152794j -0.0492873+0.00104069j 0.0173984+0.00665785j -0.0230631+0.0468989j 0.0219004+0.00303568j 0.00532247+0.000457708j -0.0223012+0.0908995j 0.0286999+0.0369287j 0.0103671-0.0273891j -0.00123104-0.0157504j -0.0158398+0.0615642j 0.0451292-0.0184603j 0.0365764-0.0266281j -0.0358901-0.00508816j -0.0918352-0.0429166j 0.0703933+0.0247113j 0.0532213-0.0584885j -0.0200071-0.0305937j 0.118919+0.062943j -0.021213+0.306686j -0.113473+0.0532017j 0.0631081-0.0816321j -0.0882562+0.0621986j 0.0616065-0.00660976j -0.123031+0.147804j 0.0696415-0.0761216j -0.052535-0.00247395j 0.00996251-0.0678632j 0.0700354-0.0895125j -0.0291762+0.00787403j 0.0188406+0.0295049j -0.0130992-0.00159757j -0.034495-0.0215619j 0.000227481-0.0284394j -0.00254309-0.0536707j 0.034901-0.0132087j 0.0132802+0.00725797j 0.00679031-0.0383841j -0.00818644-0.0229238j -0.0107566+0.00362075j 0.00571762-0.0604618j 0.0191223-0.00251385j -0.000516917-0.0374425j 0.00253454+0.0117274j 0.0157095-0.0346894j -0.0125763-0.0325037j 0.031445-0.0280612j 0.00270706+0.0070328j -0.0232736-0.0169642j 0.00116942+0.00030638j -0.00111783+0.0384858j -0.00317971-0.00248726j -0.00728034-0.0100058j -0.000299273+0.0436177j -0.00617043-0.0256499j 0.00693547-0.00837006j 0.00459473+0.0462406j 0.00276868-0.00720651j 0.00672951-0.0322092j 0.00938155+0.0363886j -0.00749249-0.013522j 0.0166433-0.0324032j 0.00159622-0.00382161j -0.00102565-0.013971j -0.0155927-0.00363788j 0.037827+0.0457899j 0.0336905+0.0864016j -0.115504+0.0217083j -0.0167498+0.0541281j -0.0709132-0.0666664j -0.0387422+0.0304431j -0.0466142+0.156897j -0.0347108-0.0227635j -0.0771643-0.00120054j -0.00848842-0.00313333j -0.0107282-0.0214424j 0.014338-0.0159029j -0.00100735-0.00250627j 0.0548792+0.00449599j 
0.0660939-0.120135j -0.0178706+0.0317542j 0.0704833-0.0411423j 0.0480404-1.38778e-17j 0.0779154+0.0185196j 0.049842+0.0218034j -0.0178785-0.0416183j -0.069822-0.0575608j -0.0122314-0.0569593j 0.0176543-0.0593362j 0.0418691+0.0370848j 0.0148474-0.00582752j -0.00505836+0.0672519j -0.0112464-0.0310795j 0.042304-0.0430741j -0.008973+0.0890664j 0.0205849-0.0761626j -0.0018494-0.0323341j 0.0198525-0.0218572j 0.0651751-0.10556j -0.0137837+0.00521048j -0.0269172-0.00840993j 0.0184928-0.0182794j -0.0343529+0.0246487j 0.0460991-0.0160363j 0.0228852-0.0446455j -0.00397821-0.0494061j -0.0525041+0.0776507j 0.0526026-0.0521539j -0.125259-0.0997782j -0.00150989-0.079422j 0.046717-0.237549j 0.228581-0.0757977j 0.0226135+0.151514j -0.115132+0.0306259j -0.0119749-0.0266895j 0.0252761+0.121029j -0.0282637+0.0994459j -0.0653233-0.0477883j 0.00786254+0.09791j -0.0412528+0.147171j 0.0275376-0.0499445j -0.015407-0.022091j -0.0300726-0.0203248j 0.0300573+0.0267347j -0.0236297-0.019577j -0.0111785+0.00947676j 0.0105236-0.0391076j 0.00887618+0.031886j 0.0105124+0.00857111j -0.00762082+0.0185727j -0.0196138+0.00072702j 0.00536223-0.0347979j -0.000270203-0.00402988j -0.0150828+0.0120514j -0.025383-0.0146312j -0.00426644+0.0141475j 0.00986837+0.0133011j 0.00939932-0.00909164j -0.0150464+0.00134994j -0.0380311+0.00832266j -0.0130934+0.00204665j 0.0214804-0.0195515j 0.0111247-0.013759j -0.0123077+0.0288637j -0.00464754-0.00377841j 0.0346334-0.00586449j -0.0196271+0.0337066j -0.00503242+0.00758765j 0.0145188+0.0103923j 0.0149007+0.0113508j 0.00396678-0.0261394j -0.00262692-0.0320548j -0.0167764+0.0438255j 0.0400408-0.0531666j 0.0337383-0.0269685j -0.0026298+0.0651308j -0.00959119-0.0210341j 0.0114551-0.0113457j 0.121068-0.0691696j -0.00767761+0.099732j 0.0546044+0.0562991j -0.0336054+0.0787978j -0.00795609+0.160584j 0.0521462-0.00304921j -0.0448889-0.0434007j 0.060074-0.0241242j 0.0175345+0.0437652j -0.0433313-0.0529099j -0.00351815+0.016861j -0.00562097-0.00481446j 0.0150014-0.0747842j 
-0.0266191-0.0127516j -0.0110648+0.0488226j 0.058152-0.085067j 0.0779154-0.0185196j 0.0630069-9.29812e-16j 0.123676-0.0018111j 0.00743751-0.046076j -0.0536994+0.00711744j 0.0156684-0.00918974j -0.0215162-0.0749582j 0.0509204+0.0316302j 0.0867008-0.0275708j 0.0493898+0.0210114j 0.0260433+0.00525013j -0.0467594-0.0210705j 0.029253+0.0291591j -0.02899+0.00115869j 0.0110377-0.0127348j 0.0450058-0.0490433j 0.0190366+0.111793j -0.00921742+0.0100388j -0.073089+0.0442682j -0.034934-0.00545644j 0.0797566+0.056181j 0.0244462+0.136808j -0.0321444-0.146954j -0.145262-0.0684553j -0.00621511+0.0214921j -0.00862352+0.152353j 0.0482565-0.0509751j -0.0790744-0.079829j -0.0560273+0.0448385j 0.11088+0.0408555j 0.172254-0.187938j -0.144682-0.00983185j -0.000285368-0.158014j 0.118005-0.0162792j 0.130003+0.0412005j 0.0727763+0.025159j 0.0511647+0.0961032j 0.00585239+0.184627j 0.103271+0.0651892j -0.0193357-0.0134755j -0.010249-0.0234435j 0.0302832+0.00657799j -0.0487917-0.0295515j -0.0106102+0.0106225j -0.0253966-0.0261398j 0.0203589-0.00174657j 0.0011886-0.0240643j -0.0145318-0.0211384j -0.0249087-0.00419491j -0.0106792-0.00665824j -0.0209589-0.0140174j 0.00992109+0.0166446j -0.0261432-0.0167055j 0.0123399+0.00599331j -0.0150045+0.00887553j -0.0252652+0.0239025j 0.0102765-0.0278354j -0.00626838-0.0206561j -0.019716-0.0208737j -0.00780286+0.0101723j 0.00229766+0.00587445j -0.00428857-0.0123019j -0.000283757+0.00263002j 0.00132164+0.0214664j -0.00264473+0.00125519j -0.00791633+0.017465j 0.000470438+0.0162042j 0.0197467-0.0235513j 0.0183582-0.0237776j 0.00874713+0.0454548j 0.0094948-0.0544698j -0.0386211-0.00208339j -0.0160117+0.0299325j 0.060757+0.0332733j -0.061152-0.0430194j 0.0095201-0.090945j 0.0363463-0.0294213j -0.0124259-0.0468146j -0.0183297-0.0144088j -0.0253145-0.0440337j 0.0647957+0.00744425j 0.00344118+0.0503545j -0.0263317+0.00566235j 0.0102362-0.026941j 0.042003+0.0124201j 0.0107988-0.0183237j 0.0226862+0.0209126j 0.0730763+0.0420917j 0.00484936-0.0725968j 
0.00667148+0.0126557j -0.0313939+0.0727086j -0.0624548+0.0478892j 0.049842-0.0218034j 0.123676+0.0018111j -0.11605+1.4877e-13j -0.0761409+0.00182059j 0.0802781+0.00237388j -0.000497654-0.0334904j -0.0925942-0.0321872j 0.0178812+0.0468547j -0.00514967-0.0175599j -0.0108865-0.00303487j -0.0736605-0.0574163j 0.0760571-0.0559862j 0.0209481+0.0806571j 0.0586535+0.0303489j 0.0176273+0.101192j 0.00493163+0.0567134j 0.0200788+0.0378474j 0.0944184+0.0382313j -0.0916377-0.00124539j 0.102806+0.0231636j -0.0902374-0.0402083j -0.0935248-0.0188213j -0.0124832-1.74903e-05j 0.0263257-0.196132j -0.0438363-0.0848863j -0.00385661+0.0245448j 0.0388801+0.00845671j 0.0330247-0.101168j 0.143607-0.0162438j -0.131062+0.173526j 0.0577988+0.048261j 0.0332505+0.131024j -0.0394461-0.108899j -0.122693-0.00493961j 0.153515+0.0153329j -0.207365-0.157147j 0.0785595-0.0778467j 0.279971-0.00665696j -0.0958007-0.256545j -0.0345306-0.0295508j 0.0381321+0.0800349j -0.0362912+0.00218061j 0.0256389-0.00756056j 0.0261406-0.0270786j -0.0247812-0.0454198j -0.0321497-0.0404158j -0.0115257+0.00670226j 0.00888838+0.00750708j 0.0349677-0.00623689j 0.00750041-0.0116027j -0.0264652-0.0274621j 0.0160286+0.0125803j 0.00353003+0.0126293j 0.0073057+0.00658257j -0.0297929+0.0204414j -0.00321337+0.020975j -0.0264175-0.01787j -0.0135919+0.00766663j 0.0294013+0.0089274j -0.00716882-0.0147949j -0.00242696+0.00254863j 0.00629369-0.0123872j -0.0351445+0.00316886j 0.0069291+0.00826972j 0.0174097-0.00663216j 0.0332017+0.0109687j 0.016363+0.0193281j -0.0086145+0.0255912j 0.0262398+0.0165342j -0.0389352-0.0329149j -0.0406948-0.0196281j -0.0505861-0.037777j -0.046176-0.00720468j -0.0681793+0.0337045j -0.0162974-0.0579167j 0.0205341+0.00432039j -0.0230387+0.0617243j 0.0315948-0.0248621j -0.00504631-0.0042074j -0.015049-0.0121067j -0.0350817+0.00935598j -0.0104216+0.05242j -0.000492047+0.0242454j -0.0126872-0.0325867j 0.0277192+0.00947328j 0.0152026-0.0314941j -0.0118935-0.000329673j -0.0231543-0.142819j -0.156526-0.0190193j 
0.0156126-0.113282j 0.013181+0.0477491j 0.0359766-0.0617101j -0.0178785+0.0416183j 0.00743751+0.046076j -0.0761409-0.00182059j 0.0388889-7.21645e-15j -0.00217707+0.0733577j -0.0284448-0.02695j 0.053069+0.0147887j -0.011005-0.0498935j -0.00699226-0.0508037j -0.0342431-0.0145328j 0.000366828-0.0976254j -0.0818527+0.0143399j 0.0088375+0.0158856j 0.0323862+0.0254037j 0.0196048-0.0436454j 0.00268222-0.0526999j 0.00443061+0.0551165j 0.0583492-0.0448643j -0.0301537-0.00654284j 0.0181115+0.0361378j -0.021476+0.0373489j -0.0421525-0.113176j 0.0303394-0.0619118j 0.12287+0.0594679j 0.0662732-0.270827j -0.0918595+0.00655332j -0.014092-0.0167951j 0.110504+0.00378498j -0.0874366-0.0800553j 0.0748031+0.0155967j 0.227536-0.261605j 0.0693548+0.071565j 0.188059-0.133083j 0.00296787-0.161102j -0.0377368+0.0921555j -0.146263+0.178904j -0.113898-0.051345j -0.147286-0.151772j -0.225158+0.027599j 0.00491102+0.0857075j 0.0522464-0.0089183j 0.0125085-0.0192589j 0.0257922-0.0121436j -0.0282755+0.00760829j -0.0147083+0.0139205j -0.00116017-0.00141578j 0.0236443+0.0158193j 0.0242189-0.0259231j -0.0228409-0.0207036j -0.0161814+0.0118361j -0.0246537+0.00414556j 0.0108084-0.0265014j -0.0153747-0.00318052j 0.00709103-0.00988648j 0.00127899+0.0153124j -0.0226382+0.0331948j 0.0062472-0.00561115j 0.0165373-0.0150754j -0.0162052-0.0107924j -0.00912538+0.0165671j 0.0150286-0.00437572j 0.0179777-0.024041j -0.018811+0.00990821j -0.0201481+0.0291513j 0.00901307-0.0352036j 0.00740093-0.00767201j -0.00773137+0.0307759j 0.00866141+0.01025j 0.0319873-0.000816929j 0.00171248+0.006133j 0.0179057-0.0492195j 0.042706-0.0330405j 0.0149804-0.0089653j -0.0325902-0.100985j 0.0561334-0.0125569j 0.016053+0.0196953j 0.0172554-0.0387271j 0.0251804-0.0240933j 0.0240119-0.00565384j 0.0359692-0.0133435j -0.0122185+0.0215421j 0.0112617+0.0367395j 0.000823072+0.0477844j -0.00645746+0.0117051j -0.0153839+0.00180762j -0.013548+0.00721542j 0.0316701-0.0483098j -0.115186+0.0172782j 0.0256896+0.0974162j 
-0.0147529+0.029349j 0.0158211+0.0497352j -0.0421378-0.108557j -0.069822+0.0575608j -0.0536994-0.00711744j 0.0802781-0.00237388j -0.00217707-0.0733577j 0.06273+6.93889e-17j -0.00844115-0.00606867j -0.0315998-0.0343497j 0.0550539-0.00586278j 0.0267521-0.065149j 0.019223-0.0355192j -0.0434356+0.052601j -0.0713856-0.112527j -0.0244957+0.0277295j -0.0378909+0.0153054j -0.0120453-0.0109105j 0.0385176-0.0235475j 0.078618+0.142139j -0.0443837-0.0489666j -0.0515735+0.0477492j 0.0508016-0.0410445j 0.033315-0.113211j 0.0691636-0.0799323j -0.144228+0.0401992j 0.071397-0.0623501j -0.0653148+0.0396478j 0.0756141+0.0170177j -0.194396+0.0944441j -0.0468331-0.00189226j -0.200005+0.057168j 0.0298223+0.0833923j -0.176504+0.0544937j 0.0218787+0.0257548j -0.255239-0.0689782j 0.038416+0.122206j -0.210049+0.299566j -0.0665672-0.0824555j 0.167905-0.245972j 0.0483624-0.155558j -0.113918+0.0351312j -0.0238231+0.0562951j -0.0538768+0.0347237j 0.0642024-0.0163721j 0.00389704-0.0457884j -0.0118957+0.00417948j -0.0124171-0.000323498j 0.00663723+0.00316783j -0.00156535-0.0123599j -0.0127311-0.017361j -0.0223861-0.00805313j -0.0191721+0.00487548j 0.000673615+0.00231082j -0.0162385+0.0162721j -0.0164592+0.00418564j 0.00318417-0.00516994j 0.00220084+0.016637j 0.00527306+0.0341061j -0.0117523+0.0156528j -0.0199681+0.00477905j 0.0110742-0.0376442j 0.00328845+0.000620775j 0.00485632-0.00956978j 0.00157311-0.0271883j 0.0083095+0.00922528j 0.019996-0.0278074j -0.0238565+0.00527897j -0.0124213+0.0395283j 0.0304147-0.00447918j 0.0299073-0.0453899j -0.00448389-0.00791417j 0.00268291-0.00329739j -0.0154839+0.0138075j 0.00331436-0.00358786j 0.0170035+0.00759887j -0.00982348-0.0377679j -0.00544005-0.0400431j -0.0608385-0.0253478j -0.0305786+0.0440438j -0.0137359+0.00416972j 0.0284152-0.00148635j -0.0111362-0.00313459j 0.0476612-0.00351882j -0.00987342+0.0197264j 0.0028862-0.024752j 0.0447907-0.0233364j 0.0245594+0.0158702j -0.042965-0.0344622j 0.0366659-0.0692298j -0.0193593-0.00992445j -0.0163272+0.0361218j 
-0.00128225-0.0557769j 0.0525716+0.0385106j 0.0852822-0.0852221j -0.0122314+0.0569593j 0.0156684+0.00918974j -0.000497654+0.0334904j -0.0284448+0.02695j -0.00844115+0.00606867j -0.0552035+1.38778e-17j -0.0558184-0.00912113j -0.100702+0.0133194j 0.0222467+0.0253289j 0.0114441+0.0247434j 0.0483762-0.0166658j -0.00388116-0.0327172j 0.0313044+0.00387184j 0.00528684-0.0431444j 0.0228114+0.105619j 0.0289479+0.024135j -0.120248+0.068004j 0.0745298+0.0790061j 0.0522803+0.121966j -0.0613307+0.0725556j 0.0333892+0.0646214j -0.00496915+0.101915j 0.0137904-0.0860411j -0.185226+0.116423j 0.0671361+0.0232405j -0.0145957-0.0278357j -0.087156-0.0954693j -0.0866594+0.243166j 0.0483059-0.0627268j -0.0567412-0.0850869j -0.243747+0.0307597j 0.080817+0.00954414j 0.0982223+0.21073j -0.0529861+0.0283153j -0.0996567-0.00748304j 0.0245041+0.101114j 0.00873622-0.0381742j -0.00699113-0.0446878j -0.0218251+0.0253649j -0.0262223+0.0561874j 0.00436757-0.0176053j 0.00527065+0.0111412j 0.000814439-0.00898571j 0.0188343+0.000529373j -0.0036943+0.00109054j -0.00813111+0.00833062j 0.0135593-0.000700968j 0.0170062+0.000915873j 0.00725747-0.0179559j -0.00164418-0.00718845j -0.00965239+0.000358811j 0.00632466+0.0125331j -0.00440415-0.00257467j -0.00511349-0.00696654j -0.00133504+0.0232844j -0.00925324+0.00959873j -0.00219908+0.00150679j 0.00953192-0.00581561j -0.015088+0.0129534j 0.00463502-0.00447784j -0.0110014-0.0266476j -0.00672272+0.00914988j -0.00134123-0.00287378j 0.0139865-0.00608569j 0.0261764-0.0185016j -0.0169056-0.0322332j -0.0147366-0.0208295j 0.0255611-0.0149768j 0.0026471-0.018686j -0.00688708+0.00011949j -0.0135342-0.0139963j 0.00955447+0.025123j -0.000433783-0.0287927j 0.0076723-0.0213704j -0.0202359+0.00470647j 0.0162637-0.018406j -0.0329836-0.0148956j -0.0308563+0.0196982j 0.00776221+0.000752629j -0.00614483+0.0264865j -0.0117808+0.0057665j -0.00383498+0.0114345j 0.00441715-0.00859094j -0.0310768+0.0185228j -0.0223319+0.00141767j 0.016099+0.00559369j 0.00684682+0.0190492j -0.00814637+0.0182159j 0.00371797+0.0200907j 
-0.0306017-0.0354001j 0.0166796+0.00252408j -0.00510029-0.0127949j 0.0176543+0.0593362j -0.0215162+0.0749582j -0.0925942+0.0321872j 0.053069-0.0147887j -0.0315998+0.0343497j -0.0558184+0.00912113j 0.105717-1.15533e-14j 0.0174953-0.0101677j 0.0393064-0.0178663j 0.0139604+0.0276596j -0.117502-0.0667969j -0.0987513-0.00514264j -0.0357361+0.0304388j 0.00101103-0.0174082j 0.0153011-0.0355165j -0.0954317+0.0366107j -0.0433961-0.112765j 0.0755237+0.0665036j 0.0262009-0.0878816j 0.0564965-0.0963358j 0.0511616-0.0373719j -0.114353+0.128169j -0.127778+0.182324j -0.114222-0.0403042j 0.0224892+0.21999j 0.0045447-0.0543454j 0.0638866+0.0902353j -0.0522081+0.133961j 0.00596769-0.0672429j 0.0582528-0.0203833j -0.00957274-0.0807692j -0.135739-0.034713j 0.00955121+0.0831088j -0.157463+0.248995j -0.125473-0.105795j 0.0867901-0.0118339j 0.0219704+0.173477j -0.0157772+0.0106404j -0.0903732+0.0172795j 0.00619481+0.00478501j 0.0034272+0.00302823j 0.0148641-0.0035833j 0.0555364-0.0242718j -0.0153724+0.00483688j -0.00665752-0.00801587j 0.0028933+0.0316422j 0.0199567+0.0308491j 0.0179379-0.00136129j -0.0124474-0.00540552j -0.0123203+0.00563977j 0.00657977-0.0115855j -0.0193743+0.0006302j -0.00350974+0.00255039j 0.00506624+0.0215416j -0.0046355-0.0217092j 0.0035227-0.0167239j -0.00563321+0.0354418j -0.000677431+0.00949705j -0.00761051-0.0028789j -0.00665533-0.00636035j 0.0110392-0.0174777j 0.0335238+0.00643316j 0.00860321-0.0152116j -0.0154538+0.0243536j 0.000955789+0.0234864j 0.00793198+0.0104702j 0.0366812-0.016161j -0.020018-0.0341306j -0.0144148+0.0201206j 0.00789728-0.00740783j 0.00360595+0.000856382j 0.00108207+0.00335866j -0.0224178+0.00888851j -0.0193621+0.0392824j -0.00559102+0.0130611j -0.00825187+0.0314464j -0.00400521+0.000941047j -0.00999375+0.026389j -0.034708-0.0172592j 0.00990123+0.00421035j -0.00107768-0.00193065j 0.0311469-0.0188488j 0.0314343+0.0179576j 0.0167479-0.00882171j 0.00861008-0.0128011j 0.034473-0.0543317j 0.0338358+0.0326179j -0.034735+0.0279959j 0.0226941+0.00683675j 
-0.0102005+0.0427972j 0.00353269-0.0141079j 0.0589809-0.0578509j 0.0418691-0.0370848j 0.0509204-0.0316302j 0.0178812-0.0468547j -0.011005+0.0498935j 0.0550539+0.00586278j -0.100702-0.0133194j 0.0174953+0.0101677j -0.122952-1.18239e-14j 0.00948759+0.0289809j 0.00130757+0.0665922j -0.0342134+0.0155084j 0.0210646-0.0948209j 0.0558195+0.0529965j 0.0304078-0.0283367j 0.0882171+0.06674j -0.106349+0.0212607j -0.151921-0.00881844j -0.0255156-0.0569301j -0.0484937-0.0794012j 0.0782547-0.0139887j -0.0220523+0.0732065j -0.0464001+0.211627j 0.121584-0.0931504j -0.177765-0.117208j -0.108842+0.000521672j -0.00281982+0.115267j -0.102929+0.240008j 0.0227139-0.0222727j -0.0655606-0.0780429j -0.231013+0.0225178j 0.00156065-0.00883421j -0.0142136-0.0500747j -0.139905+0.0873065j -0.0306788-0.139444j 0.121329-0.0418399j 0.0391654+0.104584j -0.0582416-0.0581899j 0.0477619+0.0165913j 0.0897499+0.0318835j -0.0215076+0.0101671j 0.0294016-0.0206353j -0.0157171+0.0173161j -0.014249+0.000251909j 0.0219349-0.0146362j -0.00393913-0.014909j 0.00639863-0.0231433j 0.0132538-0.00145459j 0.0133559-0.002724j 0.00630095-0.0237371j 0.00549224+0.0131379j -0.002649-0.00193147j 0.018955-0.00589179j -0.00376182+0.00884526j -0.0101518+0.013917j -0.0153105+0.0105884j 0.00697899+0.0323972j 0.0104079+0.0070496j -0.00423692+0.00441678j 0.0127992+0.00238164j -0.0194173-0.00317817j -0.0263108+0.00400006j 0.00330388-0.0227672j -0.0335162+0.0155734j 0.0149187-0.00527916j -0.00194674-0.0339211j 0.0195625-0.0104633j 0.00323942+0.0126962j -0.0194078+0.0198056j 0.005507+0.0305662j -0.0354004+0.0128823j -0.0383861-0.00143109j -0.00510727+0.00256278j -0.0155244+0.0276201j 0.0279678+0.0128241j 0.0129221+0.0127386j 0.00699192-0.0110023j -0.0153072-0.00452991j -0.00781105-0.0287734j 0.0186432+0.00107127j 0.00902918+0.0247559j -0.00641279+0.00951858j -0.00882561+0.0294094j -0.00951439-0.0111545j 0.00066155-0.0325467j -0.00754345+0.0202393j 0.0126368+0.0394605j -0.0409276+0.00190923j -6.96826e-05-0.00831968j -0.0244612+0.00225745j 
