-0.0605891+1.8735e-16j -0.042386-0.000103526j 0.0328142+0.000486312j -0.041278+0.00175133j 0.0205961-0.000678199j -0.0381033-0.000597218j -0.0321688+0.00223314j 0.00587183+0.00112991j -0.0271634+0.00133226j -0.00955226+0.00140243j 0.0253027-0.00122918j 0.0272979-0.000313495j -0.00015935+0.00139862j 0.0173891-0.000345991j -0.00486374-0.000782512j -0.0243624+6.19635e-05j -0.0178514+0.00163004j 0.0105151+2.88019e-05j -0.0228296-0.00102029j -0.00370328-0.00120797j 0.0121327-0.00103717j -0.0295474+0.00151633j 0.0558748+0.0018851j 0.0282799-0.0023528j 0.00705112-0.000160286j -0.10016-0.000126245j 0.0243469-0.00638681j -0.432518-0.00476434j 0.509525-0.0115551j 0.184394-0.00426491j 0.0329202+0.0109471j -0.0493418-0.00652045j -0.056581+0.00293866j 0.0107242+0.00300619j 0.0270689+0.00351485j -0.0481521+0.00406522j -0.0313828-0.0044112j 0.00898538+0.00104393j -0.00229143+0.000313651j 0.0133104-0.00450785j 0.0484271+0.00134195j 0.0210856-0.000699084j -0.00662492-0.000350785j 0.0065684-0.00117459j 0.0317236-0.00186826j 0.0162902+0.0034479j 0.00289139+0.000184938j 0.0239407-0.00130561j -0.00337097-0.000992416j -0.00473549+0.00130718j -0.000657653-0.0041425j 0.0006203+0.00170211j -0.0276236+0.00197679j 0.0054546+0.00064008j 0.00647869-6.89849e-05j 0.00427313+0.00260397j -0.00069367+0.00365899j -0.0170079-0.00137814j 0.00986426-0.00468588j 0.00659316-0.00384599j 0.0234768+0.00296383j -0.0225998+0.000248838j -0.00950013+0.00775535j -0.0397994+0.00034317j 0.0325707-0.00847912j -0.000563256+0.0166637j -0.105365-0.00197628j -0.00653047-0.023067j -0.110171-0.00837589j 
-0.042386+0.000103526j 0.0766114-3.50154e-15j -0.050714+0.00186781j -0.025515-0.00020368j -0.0081025+0.000317356j 0.026478-0.0014749j -0.03557-0.000618545j -0.0260072+0.000812741j -0.00474838-0.000575932j -0.0188772-0.000517272j 0.0251013+0.000783827j -0.0123001+0.00108817j -0.0196606+0.000307858j 0.00302953+0.000946854j 0.0260191-0.000334946j 0.0117727-0.00147231j -0.0182502-0.00148604j 0.00825635+5.48438e-05j 0.0187031-0.000689464j 0.0300701-0.000691229j 0.000292936+0.00165671j -0.0178408-0.00215631j -0.0384051+0.00315551j 0.0437296+0.00208635j 0.0176203-0.000216157j 0.00315392-0.006966j 0.128059+0.000905017j 0.505564-0.0120253j 0.432155+0.00422221j 0.0456175+0.010322j -0.209471+0.00303794j 0.080983-0.00409001j -0.0381853-0.00515725j -0.00974206+0.00210905j -0.0507972+0.00481625j -0.0272335-0.00497572j 0.0275697-0.0032566j -0.00919097+0.00115478j -0.0189248+0.000730041j 0.0280646+0.000769227j -0.0127998+0.0064087j 0.000114041+0.00308069j 0.00431046-0.000137754j -0.00132655+0.00182403j 0.0091138+0.0035175j -0.0201669+0.00265254j 0.000604866+0.00124004j 0.00575044+0.00335457j 0.00167034-0.000457474j 0.00187751-0.00232242j 0.0300108-0.000266477j -0.00726487-0.000977751j 0.000762538-0.00516979j -0.00107929+0.000479795j -0.00163418+8.26202e-05j -0.0160151-0.00102051j -0.0190765+0.00094589j 0.0164928-0.00622978j 0.0200778+0.00419332j 0.019179+0.00335209j 0.0025822+0.00356978j 0.0215019-0.000213876j -0.0461617+0.0028258j 0.0167509-0.0125169j 0.0117977+0.00635744j 0.0959112+0.00277444j -0.00354448+0.0157272j 0.120886+0.00887461j -0.00516518-0.0230975j 
0.0328142-0.000486312j -0.050714-0.00186781j -0.0119754-7.73687e-16j 0.0208481-0.000542385j -0.0125334+0.00156611j -0.0137292+1.06094e-05j 0.0418631-0.00053334j -0.00954224+0.000614936j 0.0108177-0.00127343j 0.0514003-0.00146626j -0.0108107-0.00121101j -0.0144662+0.0015545j 0.0110553-0.00047084j -0.0188356-0.000440704j -0.00587483-0.00160413j 0.0258007-0.00119523j 0.0391781-0.000599916j 0.0318558-0.003259j -0.0161427-0.00069554j 0.00238896+0.00121071j -0.0589653+0.00177632j 0.0638973+8.61253e-05j 0.0368719-0.00129j -0.079032+0.00116538j 0.0843082-0.00481623j 0.640939-0.00435412j -0.430281+0.00197334j -0.0260668-0.00688845j 0.265934-0.00404554j -0.00119847-0.00587809j 0.120204-0.00145002j 0.00886992+0.00150521j 0.0188478-0.00182771j -0.00744231+0.00248243j 0.0387332-0.00382236j 0.0188276-0.00078525j 0.0435717+0.00329801j 0.0116935-0.00138235j 0.0432833-0.00497554j -0.00740082-0.00305124j -0.0221309+0.00146876j -0.00791422+0.00128729j 0.0100855+0.000702118j 0.0151814+0.00579714j -0.0234434+0.00104063j -0.0043581-0.00592558j 0.00300356+0.00148302j -0.0141503-0.00365895j 0.0154476-0.00584749j -0.0203515-0.001592j -0.00897452+0.000506311j -0.0136355-0.00319138j -0.00119989-0.00517748j -0.0232603+0.000821521j -0.0232828+0.00650243j -0.0199354-0.00784085j 0.0094491-0.00442215j -0.0525907+0.0069608j 0.0130993+0.00275j 0.0347032+0.00098937j -0.0522248-0.00201478j 0.0296463-0.0129297j 0.0685053+0.002951j 0.066685+0.00120537j 0.095031+0.00895264j -0.000517508+0.02197j 0.142659+0.0149957j 0.00282507+0.00945509j -0.00140533+0.00338517j 
-0.041278-0.00175133j -0.025515+0.00020368j 0.0208481+0.000542385j 0.0314948-2.37137e-15j -0.0373371+0.000440076j -0.0282367-0.000702056j 0.0228433-8.35255e-05j 0.0183428+0.000377673j 0.0172612+0.000311557j 0.0252138+0.000451502j 0.0203008+0.000195337j -0.0173638+5.70853e-05j 0.0189598+0.000322533j 0.00983859-0.000128136j -0.00857115+0.000158468j -0.00748404+0.000450987j 0.00798349+0.0011831j 0.0313249+0.00234223j -0.0371307-0.000875856j -0.0167927+0.000735039j -0.0423261-0.00253022j 0.0192419+0.00158431j 0.086204+0.00223905j -0.0253588-0.00116425j 0.189096+0.00329573j -0.485885+0.00872472j -0.643414+0.00322212j 0.234453-0.00284038j 0.0739011+0.00725946j 0.107867-0.00145548j -0.00883924+0.00511033j -0.0104712+0.00302024j 0.0355734-0.00105537j -0.0457168+0.00226069j 0.0208405+0.00348495j 0.00279519+0.00103667j 0.0163359+0.00494786j 0.00135806+0.0023369j 0.0391641+0.00171115j 0.0201066-0.00354662j -0.00991752-0.000314974j 0.00136098-8.95418e-05j -0.0149687+0.00310778j -0.0117462+0.00178752j -0.00308982-0.00236398j 0.00573869-0.000849462j -0.0148021+0.00105342j 0.00760009-0.00205399j 0.0162977+0.00205875j 0.00423985+0.00173305j -0.0162329-8.00082e-06j 0.0131442-0.00200417j -0.00908393+0.00219059j -0.00102395+0.000366386j 0.013888-0.000558942j 0.0285994-0.00231725j 0.000390694+0.000763476j -0.00117374+6.48727e-05j 0.0049112-0.00977754j -0.0239003+0.0049518j -0.0345887+0.00026295j -0.125393+0.00279823j 0.0393208-0.0160233j 0.00229148-0.00614717j -0.03474-0.0217305j -0.128254-0.0138614j -0.00143333+0.0117284j 0.00577675-0.0025843j 0.000787147+0.00617506j 
0.0205961+0.000678199j -0.0081025-0.000317356j -0.0125334-0.00156611j -0.0373371-0.000440076j 0.0485481-1.8683e-15j 0.0126835+0.000366424j 0.0029569-0.000145895j 0.00614556-0.00159395j -0.00801154-0.00105272j -0.0207984+0.000654386j -0.0389636+3.59526e-06j 0.0284844+0.000120526j 0.000890528-0.000599179j -0.0186102-0.000142189j -0.0177721+0.000613266j -0.00523293+0.000956534j 0.0193231+0.000107178j -0.0756787-0.00105328j -0.00639176+0.000584098j 0.0454989-0.000384858j 0.018592+0.00018213j 0.0290996+0.000250706j -0.108105-0.00222999j 0.0375505-0.000723459j -0.836096+0.00203648j -0.0188849+0.0063457j -0.286155+0.00411149j 0.041815+0.00172167j 0.103298+0.00024217j -0.0191469-0.0019915j 0.0272209-0.0024109j 0.0058681-0.00480214j -0.0565607+0.0023651j 0.0549904-0.00210723j -0.00342593-0.00645908j 0.00574904+0.0023048j -0.022806-0.00335709j -0.00236755-0.000859703j -0.0218194-0.000860292j -0.0145706+0.0053109j -0.00299656-0.00259794j -0.00759008-0.00253352j 0.0186882-0.0049362j -0.0136244-0.0043353j -0.0152053-0.000244127j 0.0257598+0.00109788j 0.0164606-0.00192814j 0.00845473-0.000162042j -0.00655995-0.00274144j 0.0445253-0.00531945j 0.0203001-0.00110606j -0.00939126+0.00541791j 0.0325848+0.00320867j 0.0224731-0.00650672j -0.0177083-0.00761799j -0.00370917+0.00607855j 0.0327704-0.00384064j 0.0106758-0.00143245j 0.0136855+0.00432669j -0.0723847+0.00266959j 0.0260377-0.000805819j 0.0651099-0.0117693j 0.0234755-0.00897654j -0.00218578+0.0116125j -0.155282-0.0118011j 0.00921038-0.00757194j -0.00428764-0.00862964j 0.00438868+0.00051369j -0.00485661+0.00085245j 
-0.0381033+0.000597218j 0.026478+0.0014749j -0.0137292-1.06094e-05j -0.0282367+0.000702056j 0.0126835-0.000366424j -0.0403852-3.78126e-15j -0.0186324+0.000378934j -0.0185104+0.00111613j -0.00438347+0.000627266j 0.00200516-0.000222499j 0.0314497-0.000909015j 0.0250812-0.000733207j -0.000663937+0.000724231j 0.00430329+3.40674e-05j 0.0204529-0.000240515j -0.00378832+9.96075e-05j -0.0505976+0.00151411j 0.037418+0.000232551j 0.00202907-0.00151884j 0.0493742+0.000396707j 0.0543077-0.00217404j -0.109952+0.00191558j 0.549496-0.00237034j 0.672907-0.00208663j -0.0358175-0.000948002j 0.142565+0.000118714j -0.0463825-0.000326697j 0.0597627+0.000187344j -0.125859-0.00174458j 0.02844+0.00273196j -0.0770191+0.00379169j 0.0307006-0.00327449j -0.0257363-0.00237973j 0.00376265+0.00460079j 0.0245592+0.00127214j -0.0207688+0.00268793j 0.0154589-0.00195926j -0.0149019-0.00302072j -0.00113283+0.000811177j 0.00499449-0.00385415j 0.0148131+0.00231716j 0.0247546+0.00127981j 0.0185374-0.00316007j 0.00903912+0.00221702j 0.0119873-0.00560988j -0.0107674+0.00494822j 0.0033705+0.00523849j 0.0189427-0.00352956j -0.00580704-0.0064863j -0.0405368+0.00720048j -0.00403984-0.00550351j -0.00837714+0.00358491j -0.0186781+0.00191741j 0.0609055-0.00299195j 0.023446-0.00301592j 0.0426804-0.00965669j 0.0240559-0.00205477j -0.0118371+0.00989408j 0.0592783+0.0017083j -0.0684315-0.00158535j 0.0424749+0.00890357j -0.0350997-0.00740349j 0.0473534+0.0154679j -0.142918-0.00568121j -0.00063862-0.00913883j 0.00105355-0.000916777j 0.0126271-8.93254e-05j 0.000961599-0.00393834j 0.00754567-0.00130534j 
-0.0321688-0.00223314j -0.03557+0.000618545j 0.0418631+0.00053334j 0.0228433+8.35255e-05j 0.0029569+0.000145895j -0.0186324-0.000378934j 0.0336508+1.56646e-15j 0.0382843+0.0010741j 0.0303253+0.000555j 0.0251265-0.000908281j -0.00680776-0.000201597j 0.000884223+0.000107069j 0.044141+0.000420882j 0.0110322+0.000102615j -0.0237581-0.000961383j -0.0176969-0.000776757j 0.0626753+0.000384103j 0.0440146-0.000308432j -0.0524357-0.00140475j -0.0723235-0.000183151j -0.101422-0.00119276j 0.0450735+0.000746657j 0.664974-0.00309797j -0.523974-2.03113e-05j -0.187025+0.00130254j -0.0358325-0.0026676j 0.215577-0.00190969j 0.140286+0.00144155j 0.022781+9.76369e-05j 0.0889882-0.00326645j 0.00730003+0.00439626j -0.0381409+0.00211236j 0.0218269+0.00141523j -0.0085903+0.000568842j 0.00845922-0.00210966j 0.021582+0.000940609j -0.00307162+0.0011892j -0.0163494+0.00439911j 0.0308821-0.00093899j -0.00644863-0.00297743j -0.0126487+0.000300174j 0.00475895-0.00315742j -0.0246824+0.00106548j 0.0106017+0.00256852j -0.03103+0.00174595j 0.000792035-0.00110434j -0.000505013-0.000148519j -0.00976228-0.00304581j -0.0165258-0.00124452j -0.0233226+0.00520054j -0.0240362-1.33824e-05j 0.00186302-0.00110299j -0.0150208-0.000440209j -0.00207784-0.00918821j 0.0364661+0.00266031j -0.0187416+0.00382728j 0.0531518-0.00967803j -0.080763+0.00728668j -0.0331094+0.00656206j 0.00687125-0.00842554j -0.0271055+0.00445925j -0.0481961+0.00519731j 0.132561+0.0094248j 0.027585+0.00821476j -0.00959264-0.00260578j 0.011373+0.00393365j -0.00106341+0.00575511j 0.00878988-0.000902796j 0.00240938+0.00293567j 
0.00587183-0.00112991j -0.0260072-0.000812741j -0.00954224-0.000614936j 0.0183428-0.000377673j 0.00614556+0.00159395j -0.0185104-0.00111613j 0.0382843-0.0010741j 0.0166889+1.7357e-15j 0.0303389-0.000778139j 0.0241331-0.000554656j -0.0347621-0.00138999j -0.0131186+0.00209628j 0.0114834-0.000463501j -0.038154-0.0002416j -0.0333855-0.00120181j 0.0275278-8.68149e-06j 0.0727927-0.000422614j 0.00610352-0.00127532j -0.0916011-0.00052565j 0.124763+0.00226615j -0.221757+0.000753921j 0.845373-0.000531803j 0.0325305+0.00130554j 0.215428+0.000492785j 0.0276197-0.00157424j -0.110869+0.000292864j 0.11906-0.00213774j -0.0179738-0.00126365j 0.0379945+0.000297813j 0.023348-0.00253888j 0.0390213+0.000512826j 0.00365832+0.00140294j 0.0146413-0.00238669j 0.0098226+0.000247278j 0.0291601-0.00403019j 0.0246252+0.0024746j -0.0106375+0.0054019j -0.0160547+0.00421652j 0.0185747+0.00108224j 0.000367614+0.00732261j -0.0436078+0.0019398j -0.0206742+0.00116774j 0.0278841+0.0004552j -0.0110332-1.17969e-05j -0.0233047-0.001464j 0.0230718-0.00233397j -0.000659183+0.00256489j 0.00824309-0.00239204j 0.0163281-0.00433966j 0.00342936-0.00755583j 0.0102865+0.0015414j -0.05394+0.00644734j 0.0105078-0.00484824j -0.0441927-4.69236e-07j -0.0884176+0.00464084j -0.0445029+0.00181463j -0.00151323+0.00426621j -0.0453045+0.00248513j 0.0158469-0.00469346j 0.0290469+0.0157314j -0.113487+0.00228433j 0.0813362+0.00411216j 0.0110897-0.00242092j -0.0133355+0.00565083j -0.00478405+0.000329544j 0.00194944+0.005984j -0.0113809+0.00148805j 0.000307567+0.0020013j -0.00256343+0.00108921j 
-0.0271634-0.00133226j -0.00474838+0.000575932j 0.0108177+0.00127343j 0.0172612-0.000311557j -0.00801154+0.00105272j -0.00438347-0.000627266j 0.0303253-0.000555j 0.0303389+0.000778139j 0.0315187-3.7843e-15j 0.024091-0.00143726j 0.0239203-3.82531e-05j -0.0275626+0.00143747j 0.0385633+0.000729173j 0.0128514+0.000886294j -0.0118272+6.56152e-05j -0.0088634-0.00129429j 0.0660723+0.000193696j 0.143952-0.000966501j -0.13612-0.000371846j 0.0648194-0.00187858j -0.825646+0.00190504j -0.324585-0.00030742j -0.110123+0.00133447j 0.140504-0.000213499j -0.070134+0.000101792j -0.0279149-0.00110115j 0.0609625-0.000536736j -0.0212739-0.00143063j -0.0402678-0.00096344j 0.0496252-0.000145805j -0.0142042+0.00342727j -0.0137863+0.00271163j 0.0197962-0.00112815j -0.00922915+0.000501531j -0.000832606-0.00224143j 0.0316091-0.00252718j 0.00768809+0.00413092j -0.0102616+0.0072226j 0.0446528+0.000956838j 0.0238056-0.00276712j -0.030942+0.00354728j -0.00264861-0.00135101j -0.0199938-0.000730454j -0.00486294+0.00396469j -0.0395395+0.00311466j 0.0118931-0.0034712j 0.0128422-0.000323995j 0.0138748-0.0021479j 0.032222-0.0058157j -0.00295204-0.0063596j 0.0350977-0.0027993j 0.00634325-0.00420001j -0.0161483+0.00331944j -0.105536+0.0032477j 0.0267825-0.00099892j -0.0492527-0.00509647j -0.034606-0.00411789j -0.0982724-0.0131357j 0.0189654-0.00244054j 0.111397+0.00111927j 0.02424+0.00667377j 0.00331175+0.00576529j 0.00412425-0.00330367j -0.00176122+0.00582657j -0.005935+0.00195857j -5.55717e-05+0.00494493j -0.00443109+0.0052286j -0.00233489+0.000236844j 0.00211079-0.000189781j 
-0.00955226-0.00140243j -0.0188772+0.000517272j 0.0514003+0.00146626j 0.0252138-0.000451502j -0.0207984-0.000654386j 0.00200516+0.000222499j 0.0251265+0.000908281j 0.0241331+0.000554656j 0.024091+0.00143726j 0.0113815+5.6732e-15j -0.00976599+0.00146119j -0.0153303-0.00149986j 0.0297815+0.000709072j 0.0274898-8.44699e-05j -0.00605842-0.000129583j -0.0144634+0.000600382j 0.0878155-0.000788138j 0.087521+0.00144803j -0.0064415+0.000888066j -0.896226+0.00181353j -0.0235959-0.000572123j 0.0726479-0.00202282j -0.0755661+0.00120274j 0.185741-0.000135922j -0.0834016+4.79322e-05j 0.0247901-0.000865439j 0.0439939+0.00140197j 0.0529851+0.000556137j 0.0440883+0.000853328j 0.0307443-0.00140749j 0.00960337+0.00120161j -0.0515019+0.00338897j 0.0214191+0.00430324j -0.0219426-0.00120837j -0.00408111+0.00010245j 0.0130316-0.00171698j 0.00486951-0.000217601j 7.02881e-05-0.00229566j 0.00359353-0.000546967j -0.0110575-0.00379969j 0.00407608-0.0014795j 0.00982321-0.00239704j -0.0252351+0.00292414j 0.00910759+0.00264471j -0.00950932+0.00556321j -0.0317969+0.00148601j -0.0370141-0.000777067j -0.0229819+0.00103106j 0.00111665+0.00185435j 0.0132151+0.00512176j -0.0608951+0.00877459j -0.0163205+0.00154943j -0.0319576-0.00189913j -0.0705979-0.00237152j 0.105844-0.00393722j 0.0456914+0.00687899j -0.0078875+0.00321106j -0.00171632+0.00156954j -0.0902283+0.00103039j -0.0195004-0.00581161j -0.0833476-0.0133583j -0.0206535+0.0069729j -0.00917522-0.00185466j 0.00468844-0.00208546j 0.000605694+0.00218435j 0.00677409-0.00157048j -0.00101528+0.00334029j 0.00464881-0.000313601j -0.000985653+0.00160314j 
0.0253027+0.00122918j 0.0251013-0.000783827j -0.0108107+0.00121101j 0.0203008-0.000195337j -0.0389636-3.59526e-06j 0.0314497+0.000909015j -0.00680776+0.000201597j -0.0347621+0.00138999j 0.0239203+3.82531e-05j -0.00976599-0.00146119j 0.0377799-1.93617e-14j -0.0486355-0.00115724j -0.0472969+0.000785762j -0.0046192+0.000578313j 0.0737996-0.000216678j 0.119996-0.00161293j -0.116312+0.000471481j 0.229103-0.000562099j 0.858516-0.000999507j -0.0155976-0.000707694j -0.165799+0.000244691j 0.0943398-0.000455093j 0.0436957-0.00154951j -0.0357646+0.000173875j -0.0619471+0.000818389j -0.0419368-0.00253277j -0.0422896+0.00071949j -0.0936705-0.0013144j 0.0190524-9.52286e-05j -0.0578889+0.00233716j -0.00128181-0.00354815j 0.00710618+0.00285803j 0.0248917+4.37906e-05j -0.0278952+0.000155466j -0.0132976+0.00238408j 0.00244183-0.00370688j 0.0332055-0.0010415j -0.0217456-0.00361251j -0.00699868+0.00372658j 0.0196537-0.00423212j 0.00511746+0.00204548j 0.0106904+0.00219383j 0.00156525-0.00305095j 0.00900346+0.00784838j 0.0222414-0.00165023j -0.0315675+0.000404334j 0.0123356+0.0110881j -0.0500127+0.00298736j -0.0454936+0.00833316j -0.050932+0.00368048j 0.0302027-0.00195974j 0.00773751-0.00491024j 0.0036804+0.0024103j 0.0191283+0.00224748j 0.0694179+0.00222044j -0.0655879+0.000115831j -0.0526849-0.00238807j 0.0759679-0.0030447j 0.0956005+0.0136368j 0.0174917+0.00290655j -0.0365634+0.00160376j -0.0171647-9.8818e-05j 0.00144107+0.00449896j -0.00572934-0.00409602j -0.000503133+0.000806415j -0.00704913-0.000507416j -0.00356776+0.000454274j -0.0059274+0.00136231j -0.00376454-0.000959607j 
