0.160638+4.85723e-17j 0.120901+0.0121603j 0.0980345+0.0985895j -0.060485-0.0998387j 0.0382915-0.018797j 0.0173313+0.0243958j 0.0258333+0.0935417j -0.022096-0.103076j 0.0220508-0.0728758j -0.02118+0.0124539j -0.00682429-0.0418132j 0.0161944-0.0175587j 0.000169255+0.0626946j 0.00231774+0.0142155j 0.0283322+0.0207312j -0.00277216-0.022122j 0.0845003-0.0136869j -0.0149559-0.00971579j -0.0536947+0.0312503j 0.0357927+0.0555046j -0.096697+0.00664179j -0.0490505+0.0199943j -0.0730514+0.06662j 0.226415+0.0836838j 0.0565932-0.239116j -0.0810058+0.0924487j 0.0667096+0.108927j 0.0554201+0.0236066j -0.135619-0.107127j 0.09165+0.0260642j -0.0629278-0.0137874j 0.0358729+0.0535246j 0.0213377+0.0526365j 0.010972-0.0422404j -0.00242752-0.00109523j 0.0194068+0.0453292j -0.00458291-0.0173088j -0.00686689+0.00159471j 0.0117761-0.0384896j -0.0176729-0.00540877j -0.00369715-0.0319229j -0.00626857-0.00757121j -0.0195877+0.0163544j 0.00972396-0.0274291j -0.00585761+0.0342249j -0.015378+0.00589891j -0.00677678+0.0174599j 0.0138378+0.00182839j 0.00505815+0.0208084j -0.0443092-0.00644291j 0.0106826-0.0218599j -0.010474+0.0207007j 0.0155099+0.015277j 0.0092435+0.00402107j 0.0135791-0.0166914j 0.00555915-0.0247591j 0.00673905-0.00798281j 0.00546804-0.00271902j -0.0228125+0.0312292j -0.0119206-0.0127726j -0.00386315+0.0586374j -0.0454347+0.109343j 0.0483098+0.109356j 0.236719+0.0533501j 0.0218149-0.127351j -0.0228279+0.129263j -0.0284119-0.0169885j 0.0227156+0.00613301j -0.133191-0.0480002j 
0.120901-0.0121603j -0.146983+7.42462e-16j -0.0917185-0.0752912j -0.0560634-0.0784178j -0.00624163-0.0764943j -0.0371419-0.0693543j 0.000261671+0.0761669j 0.0181998-0.0466529j 0.0333456-0.077914j 0.0270865-0.0265335j -0.0348776-0.0445947j -0.0141983+0.0502694j -0.0373193+0.0495501j -0.00868464-0.000922052j -0.000656271+0.0135666j 0.00597224+0.00616422j -0.070967+0.0641039j 0.0389178-0.00392769j 0.0525899-0.028481j 0.0264764+0.0124092j 0.0991391-0.101459j -0.0244673-0.0469834j -0.143363-0.122387j -0.00389566+0.19257j 0.154761+0.114055j 0.00311721-0.100009j -0.161685+0.152545j 0.149401+0.0692853j 0.0364055+0.0494119j -0.0732308-0.021922j -0.0990664-0.0296756j 0.0348493+0.0705859j -0.0222402-0.0478271j -0.00428602-0.00162007j 0.0308694+0.0167931j 0.010377-0.0131211j 0.00561061-0.0609322j 0.0190937-0.00836056j 0.0261065-0.0118142j -0.00377456+0.00990379j -0.00992268-0.0346353j 0.00562146-0.0150975j -0.00325196-0.0218468j -0.0164374-0.00247046j 0.00776506+0.017642j -0.0069332-0.00829704j -0.000184044+0.000619735j -0.0174129+0.00606431j -0.0032471+0.0170046j 0.016286+0.0191799j 0.0295803+0.00453597j -0.00092346-0.011039j 0.0151024+0.0210686j -0.0467087-0.00498099j -0.0218918+0.0258422j -0.00278449+0.0038472j -0.00178676-0.00858659j -0.0445521+0.049013j 0.0191424+0.0322257j 0.0616178-0.0380345j -0.000377771+0.0146669j -0.0609085-0.00716436j -0.184449+0.0222374j 0.0349418+0.195517j 0.095759+0.0952548j -0.00738284+0.00312078j -0.033112+0.0780184j 0.133496+0.0187037j 0.00327515+0.0177528j 
0.0980345-0.0985895j -0.0917185+0.0752912j -0.106377+3.33067e-16j 0.0415176+0.0461201j 0.0831976+0.0949189j -0.0332932-0.00541828j -0.0283996-0.066654j 0.139124-0.00783302j 0.028608+0.0008703j -0.0675735+0.026263j 0.0122647-0.0450622j 0.00608529-0.117614j -0.0399799+0.0496557j -0.0380441+0.0443042j 0.0022916-0.0869828j 0.0361576+0.018648j -0.0182116+0.0566613j -0.00411359-0.0725394j 0.084367+0.093134j -0.0892334+0.194943j 0.0915027+0.124331j -0.10126+0.240413j 0.10977+0.135526j -0.00880319+0.038824j 0.142745+0.0703435j -0.0578936+0.135748j 0.0596261-0.10365j 0.103479-0.128655j 0.0774325-0.117027j -0.0943545+0.064211j -0.0461788+0.0513843j -0.0192867-0.014465j -0.0303946-0.00298687j 0.00699892+0.0231211j 0.0267287+0.0106394j -0.0103668+0.00931357j -0.00241077+0.0599122j 0.019323+0.00839512j 0.0228155+0.0363279j -0.0194484-0.0170493j 0.0026557+0.00821724j 0.011999-0.0160935j 0.00550009-0.0218519j 0.0194649+0.00599163j 0.0108361-0.00855293j -0.0254048+0.0435916j -0.00112058-0.0179083j -0.00458362-0.0207506j -0.0099192-0.00230786j -1.108e-05+0.0656964j 0.00370644+0.0160955j -0.00360197-0.0132848j -0.00494078-0.0110366j -0.0176881+0.0234778j 0.00371898+0.0402177j 0.0151708+0.0160301j 0.0279226+0.0159942j -0.0645622-0.0148542j 0.0501356-0.0369137j 0.0700538+0.0296752j -0.0209032-0.0142237j -0.0494998+0.141034j -0.0119122+0.00480199j -0.0491265-0.0184057j 0.0152293-0.0045167j -0.00839231-0.0281365j 0.0176708-0.0286782j 0.0243028-0.0100894j -0.0230284-0.00237842j 
-0.060485+0.0998387j -0.0560634+0.0784178j 0.0415176-0.0461201j 0.0185451-2.01228e-15j -0.0113828+0.0202348j -0.0686975-0.0272456j -0.0469643-0.0498648j -0.00938215-0.0247862j -0.0252107+0.0881041j 0.0464391+0.0944636j 0.0118125-0.0587204j 0.0207066-0.0785655j -0.0247421-0.0556237j -0.00304759-0.0183736j -0.0445132+0.0431167j 0.000503239-0.0359872j -0.0385288+0.015268j -0.097438+0.016044j -0.0025534+0.062217j -0.162287+0.0190639j -0.101926+0.136422j -0.0806684-0.126567j -0.16841+0.276461j -0.14549+0.0710131j -0.194584+0.0404746j 0.0297377+0.00727906j -0.0960799+0.247987j -0.0519668+0.165546j -0.041523-0.110228j -0.0295375+0.0292445j 0.0699049-0.0517919j -0.0304387-0.00396166j 0.0290589+0.0130857j -0.0333832-0.024403j -0.00861607-0.00426146j -0.00628097+0.012534j 0.0183764-0.00745863j -0.00403907-0.0229114j -0.00264075-0.00406965j -0.00264134+0.0172941j 0.0234944-0.00421155j 0.0110079-0.0160745j 0.0198037-0.0061313j 0.0211662-0.0179108j -0.00654672-0.0156788j -0.0151483+0.0138283j 0.00825021-0.0104271j 0.0129367+0.00617459j -0.0157205+0.00713767j -0.0337927+0.0541004j -0.0201879+0.0123534j 0.00445859+0.00567602j -0.0314232+0.0135981j 0.0268149-0.00201321j -0.0335277+0.0126643j -0.00264753-0.0274353j -0.0159499+0.0165502j 0.0601326-0.0555916j 0.0424124+0.0547393j -0.0327031+0.112768j -0.00178269+0.0391366j -0.0413319-0.00326811j 0.0159198+0.0600246j -0.0459501+0.0268012j -0.0189165-0.0298991j 0.0426396+0.0272571j 0.0110315+0.00361105j -0.00256633+0.00675603j 0.0122773-0.0461135j 
0.0382915+0.018797j -0.00624163+0.0764943j 0.0831976-0.0949189j -0.0113828-0.0202348j 0.0479083+7.49401e-16j -0.150839-0.0215231j -0.0265009-0.0543336j -0.0758889-0.0386565j -0.0438066+0.0660463j 0.104837+0.0555207j -0.0492556-0.00837802j 0.0295148+0.000180624j -0.0333661-1.46657e-05j -0.0445868-0.0148312j 0.0264112+0.116252j -0.0930498-0.120376j -0.0071111+0.0673647j 0.132875-0.184264j -0.0881006+0.0282806j -0.102593+0.00731789j -0.0164224-0.100169j -0.263893-0.0332436j 0.101038-0.144265j -0.114653-0.038959j -0.0416947-0.108108j 0.0177115-0.188442j 0.326203-0.0337414j -0.0816792-0.0336685j 0.0297603-0.277015j -0.0482298+0.0793249j 0.0234685-0.00194764j 0.00147755-0.00139278j 0.0334811+0.00699151j -0.0604163-0.0148138j -0.00483854-0.0219804j -0.0077551+0.00226005j -0.0185445-0.0252646j -0.0222069-0.0319709j -0.0240175-0.00226802j 0.0196063-0.00996506j 0.0011002+0.00907324j -0.00623911-0.00105157j 0.0186222-0.00870139j -0.00706025-0.00404465j 0.00403187-0.011612j 0.00319844-0.0160664j 0.00921303-0.01368j -0.00586893+0.0279966j -0.00444015+0.00085862j -0.0160127-0.0311019j 0.0143587-0.0110963j 0.012214+0.00504592j 0.00432806+0.0293056j 0.0118397-0.00613376j -0.0218504+0.0688803j -0.0638847-0.031989j 0.000153437+0.027259j 0.00437602+0.0327339j -0.00514158+0.0103305j 0.0106167-0.0131655j 0.0471058+0.0361817j -0.0415485-0.0206131j 0.0400573-0.0212085j -0.00901811+0.0282478j -0.0275963-0.00746354j 0.00227812+0.0185511j -0.00842395-0.00182144j -0.0448353-0.0286846j 0.0154563-0.0593741j 
0.0173313-0.0243958j -0.0371419+0.0693543j -0.0332932+0.00541828j -0.0686975+0.0272456j -0.150839+0.0215231j 0.0324397+4.32987e-15j -0.0703726-0.0151788j 0.0525507+0.00539079j 0.136885+0.0964449j -0.0165293+0.070619j 0.0115454-0.0205476j 0.100453+0.039438j -0.108071-0.0321719j 0.0552378+0.026622j -0.0847853+0.00881057j 0.0978867-0.104302j -0.0179865-0.146569j 0.0237501-0.0970218j -0.0132275-0.163774j -0.0442934-0.00908611j -0.0803375-0.0127383j 0.079156-0.153952j 0.145284-0.158284j 0.0355653+0.196233j 0.0522965-0.120078j -0.141891-0.16162j 0.0297497-0.0757873j 0.304862+0.224643j -0.15566+0.17512j 0.0179475+0.0066555j -0.0361113-0.080407j 0.0243104+0.029231j -0.0189061-0.0185511j 0.0116425-0.00116481j -0.00815031-0.011757j 0.0100234-0.0131987j -0.0170715-0.0438058j 0.000817303+0.0146907j 0.00519967+0.00867587j -0.00232024-0.00318454j -0.0256012+0.0149121j -0.00264515+0.0284453j -0.00797611-0.0286972j 0.00561055-0.0104048j 0.0197882-0.0140667j -0.0222682-0.030887j 0.0141504+0.0117674j 0.0118148+0.00903632j 0.0306635-0.0120992j -0.00145083-0.0171014j 0.0339442+0.0201767j -0.0429282-0.028554j -0.019-0.0237849j -0.0383181-0.0224011j -0.00183088-0.0206264j 0.0290671-0.0568177j -0.0136166-0.0241972j -0.0321488+0.0274498j 0.0157052+0.0044761j -0.010058-0.00365754j -0.0156627+0.026058j 0.000772626-0.0367857j 0.0142208-0.0252142j 0.0115434+0.0329182j -0.017302-0.00370938j 0.000231356+0.0128484j -0.00481218+0.0184878j 0.0331016+0.0932327j -0.0916143+0.00898811j 
0.0258333-0.0935417j 0.000261671-0.0761669j -0.0283996+0.066654j -0.0469643+0.0498648j -0.0265009+0.0543336j -0.0703726+0.0151788j -0.0174116+2.11914e-14j -0.0556307-0.0809259j 0.0227887+0.0124016j -0.00276963+0.059999j 0.00955574-0.00771134j -0.000694836+0.0352372j -0.0381575+0.00157239j 0.0351075+0.0935681j 0.0124598-0.0690158j -0.0873842-0.023189j 0.0399951+0.19374j -0.0423754+0.104304j -0.000876387+0.107533j 0.157373-0.0213435j -0.133755-0.0769942j 0.074-0.0620024j -0.162543+0.162527j -0.116182+0.0917604j -0.0232498-0.000976282j -0.141645+0.199494j -0.104044+0.165342j -0.126758+0.218306j -0.287524-0.107584j 0.064337+0.0367493j 0.0163975+0.0168902j 0.00590845+0.0376347j -0.00152317+0.0221566j 0.0166829-0.0144829j -0.0189416+0.00757337j 0.000167085-0.000822385j 9.15827e-05-0.00765226j -0.00454062-0.00543953j 0.0136252+0.00484412j -0.0299096+0.0160747j -0.00489449-0.0174647j -0.0112643-0.00956363j -0.00961749-0.00302311j 0.0310856-0.0152714j 0.000613047+0.0154215j -0.0103223+0.00886845j -0.015711+0.0122453j 0.0205004-0.0270181j -0.0246802+0.0295355j -0.00371243+0.0199906j 0.00125554+0.00539653j -0.015255+0.0163753j 0.0226194-0.00556868j -0.0378956+0.0486309j 0.0149525-0.000828335j -0.0408908-0.0563865j -0.0169478+0.058924j -0.004892-0.0232691j -0.0230557-0.00216195j -0.0295494-0.0136178j 0.0324318-0.0110038j 0.0120581+0.0171706j -0.00807722+0.0259133j -0.00578699+0.0118442j -0.0103351+0.00169442j -0.028488+0.0131435j 0.0103823-0.0348211j -0.0570946+0.0250905j -0.0392427-0.0632997j 
-0.022096+0.103076j 0.0181998+0.0466529j 0.139124+0.00783302j -0.00938215+0.0247862j -0.0758889+0.0386565j 0.0525507-0.00539079j -0.0556307+0.0809259j 0.0615957+2.28331e-13j 0.027538-0.0229262j -0.084677+0.0301834j -0.0503774-0.143198j -0.0121905-0.0671318j 0.103634-0.0825435j 0.159784+0.0346034j -0.000921869+0.0941734j -0.0835076+0.107968j -0.0215845+0.102753j 0.201684-0.0560038j 0.0742301-0.0253411j 0.144917-0.287918j -0.097538+0.0534074j 0.0105709+0.0825232j 0.040303+0.0836577j 0.035904-0.0375207j 0.323101+0.19599j -0.098535+0.189006j 0.0401695-0.213382j -0.0453151-0.06407j 0.114316-0.160188j 0.0210121-0.0104724j 0.0219203-0.0613393j 0.0404859-0.0249357j -0.0134591+0.015229j 0.0251601-0.0219237j -0.0170842+0.0258795j 0.0214182+0.00877781j 0.0219504-0.00307777j 0.0184196+0.00425107j 0.00376195-0.00399628j -0.00711802+0.0220271j -0.0216583-0.0047626j -0.00655933-0.00692518j -0.00761687+0.00480428j -0.00967908+0.0298102j -0.000847905-0.00903375j 0.00719702-0.0159867j -0.0139621+0.0284545j 8.28063e-06-0.020145j 0.0320191+0.00755375j 0.0195325+0.0191077j -0.0012876-0.0018047j -0.0136388-0.0148507j -0.000578556+0.0347525j 0.00762805+0.0193848j -0.0210023-0.000575491j -0.0166625+0.0192402j -0.02739-0.00675935j -0.0171751-0.0167373j -0.0160229+0.00780309j -0.0195664+0.0452345j -0.0373846-0.00064327j -0.0100677-0.00794751j -0.00106886-0.02307j 0.0332255-0.0257248j 0.028721-0.00293806j -0.0307524+0.00234107j 0.00575126-0.0399345j 0.00637392-0.0116788j 0.0137041-0.00606718j 
0.0220508+0.0728758j 0.0333456+0.077914j 0.028608-0.0008703j -0.0252107-0.0881041j -0.0438066-0.0660463j 0.136885-0.0964449j 0.0227887-0.0124016j 0.027538+0.0229262j 0.0290313-4.16334e-16j 0.015655+0.0418445j -0.0887838-0.00338093j -0.00298586-0.0988791j -0.0601915-0.0340688j 0.02776-0.0137395j 0.0568843-0.137642j -0.0149152+0.0354329j -0.0780742+0.131663j 0.0710074+0.0744893j -0.0775378+0.0898109j -0.103977+0.00535506j 0.0573416+0.190539j -0.0351981-0.00967743j -0.0526498-0.000330979j -0.0868801-0.00310527j 0.0325404+0.104828j 0.0761714+0.188114j -0.253698+0.182708j 0.0246699-0.0490873j 0.114047-0.0949629j -0.0374215-0.0251768j -0.0508432-0.0396287j -0.00511108-0.000434334j -0.00984554-0.0118033j 0.00576969-0.00526604j 0.0364614-0.0155176j 0.0125048+0.00965501j 0.00739208-0.0101077j 0.0254238-0.00627597j 0.00296706-0.0385094j 0.0245384+0.0164054j 0.00447466-0.0152705j 0.0157078-0.0112067j 0.00754114-0.0129534j -0.0138158-0.00486195j 0.0161045+0.00472312j -0.0172493+0.0186634j 0.0087179-0.0221381j 0.0261394-0.00391723j 0.00896374+0.0504819j 0.00692679-0.00398822j -0.0174392+0.0215988j 0.011569+0.00536326j 0.00911668+0.000664857j -0.0274794+0.0191619j 0.0127127+0.00341043j 0.0161842-0.000917905j -0.000821729+0.00046944j -0.00758142-0.0479674j -0.0343063+0.00463572j 0.00289397-0.0028036j 0.0116081-0.0013241j -0.00885309+0.0146155j -0.0214033-0.0116686j -0.000507051-0.0108222j -0.00810884-0.00547058j -0.0103796+0.0315012j -0.0313273-0.00700702j 0.0306574-0.0250224j 0.0256627+0.0076142j 
-0.02118-0.0124539j 0.0270865+0.0265335j -0.0675735-0.026263j 0.0464391-0.0944636j 0.104837-0.0555207j -0.0165293-0.070619j -0.00276963-0.059999j -0.084677-0.0301834j 0.015655-0.0418445j 0.0522962-1.72362e-14j -0.0102787+0.129895j -0.0249332+0.109564j -0.0230257+0.124501j 0.0902909+0.0630618j 0.0714375+0.114587j -0.174693+0.0735425j 0.0907642-0.0723845j -0.0166645-0.0714921j 0.238605+0.0506197j -0.137715-0.274892j 0.0636575+0.134697j -0.158045+0.295017j -0.207623-0.0222091j -0.0341519+0.117082j 0.00860987+0.016871j 0.165136-0.0965576j -0.0583051+0.0989567j 0.0223201-0.0356638j 0.000564121+0.114025j -0.0288237-0.00064654j -0.0113939+0.0302421j -0.0458079-0.00227451j 0.0225933-0.0237807j -0.0300183+0.0215049j 0.0120163-0.0219045j -0.0111833-0.00264249j -0.0186081+0.0137891j -0.0127428-0.0154973j -0.00267646+0.0142701j 0.00868317-0.0230089j 0.00681772+0.00407463j 0.0081397+0.00460456j 0.00932508-0.025335j -0.000733593-0.0115446j 0.00711077-0.00424096j -0.00218257+0.0115558j -0.0148987+0.00987816j -0.0324267+0.00728467j -0.0126737+0.0106957j -0.0116808-0.00798407j -0.00547925-0.0523673j 0.00713539-0.023303j -0.0158265-0.0104041j -0.00123563-0.00668895j 0.0167205-0.00238394j -0.00228291+0.0123217j -0.00789587-0.0104551j 0.0164475-0.000640102j 0.00449453+0.00124229j 0.00282163-0.0150858j 0.0164424+0.00971424j 0.0059799-0.00528888j -0.00240895+0.0113238j -0.0055803-0.0153194j -0.00636208-0.000520562j 0.0223912+0.00240391j -0.0105595+0.020586j -0.00288201-0.0157873j 0.0129758+0.0153821j 
-0.00682429+0.0418132j -0.0348776+0.0445947j 0.0122647+0.0450622j 0.0118125+0.0587204j -0.0492556+0.00837802j 0.0115454+0.0205476j 0.00955574+0.00771134j -0.0503774+0.143198j -0.0887838+0.00338093j -0.0102787-0.129895j 0.282862+1.76248e-14j -0.0105628-0.107237j -0.126878-0.162599j -0.0239067+0.016657j 0.0833703-0.0116921j 0.241948+0.207973j 0.110217-0.247559j 0.0734589-0.108199j -0.109913+0.200618j -0.13599-0.00795239j -0.0798315-0.0763459j 0.0347093-0.0780977j -0.0218304+0.118373j 0.0985097+0.00474622j 0.104905-0.099559j 0.114436+0.024535j 0.0117796+0.00851319j 0.0522137+0.0180813j 0.0590544-0.0400175j -0.0383704-0.0177808j 0.00354439-0.0293318j 0.00821567-0.0183232j -0.0244362+0.00697352j 0.0222522+0.00926804j 0.000662688+0.0207703j -0.0088052+0.0122963j 0.0206731+0.0329358j -0.00687407-0.0129033j 0.00516337-0.00947049j -0.00799878-0.00238124j 0.0159454-0.00981013j 0.00478646-0.00686015j 0.0129679+0.0315126j -0.0128389+0.0162589j 0.00357082+0.025607j -0.000254779+0.00137136j -0.00590407-0.00303432j -0.0311483-0.00100362j -0.00882472+0.0269888j -0.00785806+0.0258205j -0.0106226-0.0154604j 0.0225088-0.0187776j -0.0136855+0.000196588j -0.0168564-0.0172734j -0.0212284-0.00845933j 0.0233882-0.00650659j -0.0053946-0.00185119j -0.0239216-0.0337274j -0.0181771+0.01796j 0.0044642-0.00571589j 0.012127+0.00650806j -0.00554187+0.00978428j -0.00973937-0.0150334j 0.00238266-0.0242897j 0.000747623+0.0108151j 0.00619733+0.00798548j -0.0124702-0.00589942j 0.00157777-0.00421152j 0.0171596+0.00131985j 
