-0.00410118-0.00151815j 0.00803182-0.0173395j 4.82927e-05+0.00746483j 0.000414399+0.0257073j 0.00320985+0.00442159j -0.00257781-0.00212536j -0.00276416+0.0125337j 0.000788388+0.0094465j -0.00304041-0.0278909j -0.0020012-0.0126678j -0.00686568-0.00758285j -0.00118368+0.0041867j 
0.000702106-0.00557151j 0.0237172+0.0132995j -0.0108896-0.00134611j -0.038808-0.00468429j -0.00928646+0.00493741j 0.00533023-0.00183421j -0.0101397-0.0026247j -0.00785684+8.27945e-05j 0.0235138-0.000180799j 0.0105925-0.000460634j 0.00602092-0.00486318j -0.00390439-0.00103902j 
0.00277525-0.00253422j -0.00343794+0.00833534j 0.000950661-0.00370649j 0.00444976-0.0146644j -0.00171217-0.00682624j -0.00236294+0.00350298j -0.00698313+0.00477657j -0.00335674+0.00482153j 0.00836161-0.0143914j 0.00334262-0.00705295j -0.000538579-0.00759726j -0.00227971+0.000589924j 
0.000868241-0.00189303j -0.00770662+0.0169018j 0.000533837-0.00872401j 0.000323043-0.0330039j -0.00890203-0.00777162j 0.00280254+0.00824876j 0.00923648+0.00537829j 0.00800061+0.0010993j -0.0245169-0.00113132j -0.0116907-1.49445e-05j -0.00926573+0.00365111j 0.00210498+0.0011235j 
0.00276186-0.000575057j -0.000121938+0.0127393j -0.00197993-0.00462148j -0.00697758-0.0161288j -0.00351894-0.00227414j 0.00197356+0.00109645j -0.00178647-0.00673362j -0.00268476-0.00440532j 0.00816284+0.0129323j 0.00397415+0.00570714j 0.00507238+0.00191116j -0.000517166-0.00241486j 
-0.00675382-0.00282857j 0.0211673-0.00111017j -0.00878942+0.0022473j -0.0346651+0.0078359j -0.0105448+0.0106737j 0.00879627-0.000294635j 0.01257+0.0058508j 0.00947028+0.000584593j -0.0265845+0.000856853j -0.012448+0.00155299j -0.0103328+0.00746j 0.00247463+0.00286643j 
0.00199678-0.00560483j 0.000741968+0.0122788j -0.000757531-0.0052032j -0.00203037-0.0214853j -0.00636044-0.00859109j -0.00165689+0.00648804j -0.00742026+0.0130581j -0.00164744+0.0103923j 0.00238047-0.0299233j 5.50116e-06-0.0140575j -0.00657513-0.0117037j -0.00306495+0.00284136j 
