0.00413421+0.000654073j 0.000659038-0.00842033j 0.00506922+0.00436719j -0.00212144-0.00307753j -0.0239581-0.00701845j 0.00727742+0.01052j 0.023007-0.0011109j 0.00262807+0.00259321j 0.0035086-0.00472006j -0.00584229-0.00483956j -0.00218169+0.00189807j 
0.000473691-0.00474985j -0.00819218-0.000300914j 0.00594012-0.00588366j -0.00170039+0.00259524j -0.0133687+0.0349436j 0.00684541-0.00791006j 0.00326761-0.035153j 0.00113836-0.00278708j -0.00483888-0.0054446j -0.004544+0.00487337j 0.000994404+0.00257783j 
0.00273768-0.000112054j -0.000706377-0.0035241j 0.00341159+0.00389354j -0.00194239+0.000559992j -0.0251679-0.0117838j 0.00517819-0.000640691j 0.0261062+0.00569113j 0.00172282-0.00095087j 0.00393451-0.00221559j -0.00160279-0.00129306j -0.00128373-0.000307076j 
-0.00295229+0.000279182j 0.00380514+0.00846824j -0.00225073+0.000701295j 0.00502377+0.00489117j -0.00859963+0.000192073j -0.0172352-0.0129552j 0.0125564+0.000206283j -0.00592305-0.00379296j 0.00316901+0.00217008j 0.00992562-0.000346494j -0.00160369-0.00380689j 
-0.000305473+0.00545044j 0.0151294-0.00405577j -0.000630068+0.0045217j 0.00871512-0.00726695j 0.00236892+0.00674944j -0.0242403+0.0253682j 0.00086473-0.0123877j -0.00709337+0.0088783j 0.00463471-0.00326781j 0.00219159-0.0159958j -0.00619556+0.00126285j 
-0.000908052+0.000661272j 0.00242314+0.00172205j -0.000945376+0.000310444j 0.00208034+0.000244587j 0.000975047+0.00118275j -0.00648374-0.000132293j 0.000239518-0.00106289j -0.00208621+0.000176395j 0.000816441+0.000442556j 0.00250836-0.00154024j -0.000816831-0.000692661j 
-0.00610661-0.000605593j 0.00350619+0.0167621j -0.00525469-0.00136311j 0.00740114+0.00962661j -0.00406864+0.00304293j -0.0260598-0.0272174j 0.00986181+0.00150749j -0.00918404-0.00796068j 0.00274838+0.00547834j 0.0170931+0.00347135j -0.000789648-0.00665705j 
0.00020671-0.00424131j -0.0115863+0.0027948j 0.000688444-0.00388852j -0.00652459+0.0051988j -0.000632373-0.00219685j 0.0184169-0.0183301j -0.0025193+0.00663274j 0.00536315-0.00640313j -0.0040143+0.00210589j -0.00216687+0.0120027j 0.00470471-0.000594983j 
