0.0103867+0.00208436j 0.0035264-0.00918419j 0.00379596+0.0160585j -0.00921367+0.00596853j -0.00101534-0.00962231j -0.00633006-0.00651673j -0.0050955-0.0045561j 0.00221407-0.00617502j 0.0011616+0.00164403j 0.00532197-0.00756568j 0.001871+0.00770657j -0.00142225-0.00383689j -0.00158661-0.000747261j 0.00379454-0.0138545j 0.0224674-0.00650877j 0.00676576+0.014892j 0.00235606+0.000888125j 0.00290839+0.000300693j 0.00316841-0.00321174j -0.00339115-0.000343582j 0.00299699-0.0067592j 0.00822674+0.00849365j -0.00728117+0.000823063j -0.000556751-0.00126361j 0.00477883-0.00101601j -0.00600747-0.00198618j -0.00383247-9.51224e-05j 0.000578743-0.00114792j -0.00182822-0.000375724j 0.000820781+0.00642345j -0.00296094-0.00810491j -0.00853612-0.00147215j -0.001027-0.00997472j -0.00106728+0.0010309j 0.00293553-0.00813299j -0.00563872+0.00452468j 0.00541562+0.00209953j -0.0037227+0.00827689j -0.00431295+0.00138351j -0.00707357+0.00350647j -0.0110738-0.00999393j 0.00675486-0.00827987j -0.00366154+0.00664378j -0.00537016-0.00509242j -0.00486868+0.00388416j -0.0103646+0.00557369j 0.000995375+4.49168e-05j -0.00484644-0.000121846j 0.00814262+0.00227599j -2.55949e-05+0.000381766j 0.0011509+0.00165523j 0.00118622-0.000447603j -0.00125992-0.0022943j -0.00376474+0.00025005j -0.001767-0.0126675j -0.00129151+0.00368438j 0.00231066-0.00179628j -0.000552123+0.000500832j -0.00467601-0.00585857j -0.00283116+0.00235718j -0.00392457+0.00708158j 0.000437726-0.0017702j -0.00898058+0.000468866j 0.002599+0.0064251j -0.00375392-0.00422195j 0.00865316+0.0107623j -0.0118199+0.0126704j -0.0212392-0.00796099j 0.00771246-0.0218843j 
0.00384365-0.0146383j -0.00993633-0.00644096j 0.00307584-0.0102419j 0.00679719+0.0015111j 0.00980686+0.00680455j -0.00154598+0.0101468j -0.000308688+0.0168033j -0.00289476+0.00892095j 0.00218079-0.00289648j 0.00193956+0.00759817j 0.00145306-0.00604565j -0.00713589-0.0105233j -0.0005264+0.000508278j -0.00652982+0.00600355j -9.96025e-05-0.00393366j 0.00497326+0.00215509j 0.00261229-0.00500649j 0.00461429+0.00191584j -0.00129654+0.00741195j -0.00137868+0.00640355j 0.00210643-0.000847583j -0.0029498-0.000733693j -0.002052+0.000782285j 0.00573776-0.00300903j 0.00920934+0.00290194j -0.0041025+0.0060869j -0.003159+0.00603435j 0.00434688-0.000595341j 7.09764e-05-0.00206217j 0.00133018-0.00326006j -0.00887932+0.0010394j -0.00411881+0.00213551j -0.00130458-0.00339399j -0.00274224-0.00226728j 0.000451438-0.00126762j 0.00787477+0.00621596j 0.00346796-0.00229842j -0.00367365-0.00206685j 0.00204695+0.00619379j 0.00629144-0.00631438j -0.0129028+0.00161631j 0.000217635-0.0162348j 0.010451+0.0117479j -0.0114048+0.00813082j 0.00590386-0.000286642j 0.00200478+0.00723578j -0.00770131+0.00236916j 0.00113975-0.00286827j 0.00245638-4.85485e-05j -0.000605509-0.00344781j 0.000328889-0.00217829j -0.000784805-0.00157939j 0.000434676+0.00242317j 0.00208729+0.00326158j -0.00332092-0.000927341j 0.00248476+0.00192664j -0.00295547-0.0019024j 0.00495217+0.00204145j 0.000921098+0.00135223j 0.00497067-0.00174146j 0.00092974+0.0116554j -0.00466754+0.000878214j -0.000660571-0.00146307j 0.00464856-0.00594362j -0.0024095+0.00250461j 0.00437732-0.0059854j 0.00849944+0.00802805j -0.0158541+0.0121895j -0.0146503-0.0161778j 
-0.00127534-0.00225182j -0.000501001-0.00261463j -0.00225635-0.00364893j -0.0010873+0.00399055j 0.000824146+0.00295712j 0.000841233+0.000444527j 0.000737351-0.000224673j 0.00149903-0.000926139j 0.00444746-0.00600171j -0.00142703+0.00265038j -0.0012178+0.00116605j 0.00134+0.00122782j -0.00146628-0.00307317j 0.00401246-0.00219384j -6.85593e-05-0.00287615j -0.000365113-0.00158118j 0.00150838+0.000341572j 0.000401005-0.00387306j -0.00101445+0.00663926j -0.00953822+0.00696828j 0.000643808-0.000434177j -0.00326212-0.000669333j 0.0142998+0.000562921j -0.0144408+0.00236452j 0.0162363-0.00539558j 0.000515665+0.000220543j -0.00261233-0.00480536j -0.0252636+0.000192059j -0.00746627+0.000848531j 0.0149577+0.00190482j 0.00320913+0.000207415j -0.0122314+0.00133793j 3.47902e-05+0.00452298j 0.023215+0.00183702j -0.00189772-0.00778319j 0.00563326+0.00176789j 0.0190162+0.00185994j -0.00235784-0.00251052j 0.0033867+0.00494307j 3.18376e-05-0.00527122j -0.00291736-0.00357923j -0.00141509+0.0014631j -0.000425567-0.00358737j -0.00068783+0.00816164j 0.00972718+0.0121495j 0.000406825+0.00425131j -0.000752228-0.00433945j -0.00132085-0.00288607j 5.3205e-06-0.00691042j -0.000743859+0.01206j 0.00155834+0.0128083j 0.000628879+0.00614635j -0.00176366-0.0200949j 0.000344968+0.0066437j -0.0005522-0.0021243j -0.000693913-0.00773537j -0.000320529+0.00443361j 0.000784896-0.0182777j -0.00183715+0.00181974j -0.00127458+0.01252j 0.000923458+0.000277669j -0.00227592+0.0127545j -0.000112358-0.00280205j -0.000585394+0.00721134j 0.00122116-0.00110776j -0.00210395+0.0118806j 0.000765804-0.00131019j 0.00166905-0.00260878j -0.000331993+0.00111155j 
-0.00479637-0.00874493j 0.00509583+0.00818868j -7.27366e-05-0.0037291j -0.0005393-0.000762757j -2.36561e-05-0.00430412j -0.00182484-0.000233611j -0.00429539+0.000277375j -0.00060022-0.00602732j 0.000545042-0.000395228j 0.00260221-0.00556421j 0.00292087-0.00466211j 0.00605896+0.00836563j -0.00409214+0.00136399j 0.0021122-0.00187271j 0.00622437-0.00379145j -0.00492185-0.00994342j -0.00711491-0.00570132j -0.00516276-0.00153088j 0.00392863-0.00291543j -0.00518791+0.0042185j 0.0069148+0.000160802j -0.0166688+0.00763058j -0.00700282+0.000214478j 0.00834255-0.00548728j 0.0120885-0.0046025j -0.00562013+0.00350327j -0.0078815+0.0018303j 0.00519184-0.000743253j -0.00170393+0.00154005j -0.0034501-0.00112951j 0.00361645+0.00416607j -0.0100894-0.000849852j 0.0157465+0.000291507j -0.0175657-0.00338168j -0.00110482+0.00344727j 0.000812195-0.00259156j 0.0129956+0.00651457j -0.000467722-0.00340381j -0.00512446+0.00256754j -0.00419684-0.00556724j -0.0100661-0.00385672j -0.0195032-0.010677j 0.0116196-0.0136852j 0.00647997+0.0155017j 0.00138548-0.0109896j 0.00725906-0.00988014j -0.00477914-0.00888057j -0.0019298-0.0105118j -0.000695317+0.0124201j -2.61706e-05-0.000343582j 0.000120981-0.0012754j 2.56299e-05-0.000763268j 0.000411827+0.00277191j 0.00180821-0.00218661j 0.000935047-0.0033259j 0.000414044-0.000857128j -0.000845908+0.000562868j 0.000446729-0.00670052j 0.00288688-0.00503802j -0.00132552-0.00184448j 0.000755967+0.0171707j -0.000260632-0.00237857j 0.00341617+0.00134629j -0.0012667+0.00141606j 0.0013737+0.00157567j -0.00345896-0.00130904j 0.00107098+0.00802486j 0.0113275-0.00995552j 0.00446056-0.000313944j 
-0.0032969-0.00322968j -0.00853753+0.00544762j 0.00632441+0.00769275j 0.00713737-0.00144189j 0.00201723-0.014214j 0.00130291-0.00723818j 0.00118005-0.00944166j -0.00311749-0.00436122j -0.00097374-0.00388522j -0.00517648-0.0144007j -0.0029502+0.00405899j -0.00802143+0.0141686j -0.00684593-0.00681701j -0.00283635-0.0246188j 0.00156406-0.02625j 0.00672717+0.000652197j 0.00407043-0.0059344j 0.00243936-0.00179361j -0.00333277+0.00507566j 0.00161822+0.00774558j -0.00178609+0.00136061j -0.00376512-0.00497524j 0.00204754+0.00617315j 0.000530101-0.00372592j 0.00135488+0.00382698j -0.00226405+0.00309806j -5.5815e-05+0.00224158j 0.00118229+0.00056412j 0.00073621+0.00133994j 0.00264015-0.00135341j -0.00408477+0.00143257j 0.0028535+0.00294786j -0.00361103+0.00578617j 0.00650199+0.000513338j 0.0041088+0.000833164j 0.0094952+0.00189953j -0.00765217+0.000206781j 0.00366597-0.00582343j 0.00340359+0.00447183j 0.0105219-0.00328987j 0.000492374+0.00553094j -9.77438e-05-0.00720377j 0.00785297+0.00542197j -0.00385569+0.00258453j 0.00711951+0.00625534j 0.00440724+0.00799618j -0.00367486-0.00191324j 0.00429253+0.000797563j -0.0029643-0.00468141j -0.000224247+0.000204686j -0.00134673+0.00110373j -0.00133991+0.000866732j 0.00104431-0.00147366j 0.00397675+0.00464391j -0.0022047+0.00821054j 0.00205315-0.00272239j -0.0026798-0.00079832j 0.000775399+0.00148661j 0.000326129+0.00737938j 0.00605173+0.000938914j -5.7697e-07+0.00397015j -0.00512595+0.00589289j 0.00176578+0.00128405j 0.00152454-0.00711859j -3.50278e-05+0.00347435j 0.00122679-0.0087545j 0.0123702+0.00014855j -0.000864519+0.0175157j -0.0168822-0.000231021j 
-0.000897429-0.00184964j -0.0018873-0.000214719j -0.00241643-0.00236427j 0.000136918-0.00330769j -0.00339624-0.000295741j 0.00390101-8.71341e-05j 0.000684377+0.000685369j 0.000187884-0.000727376j 0.00667031+0.00393964j -0.00312845-0.00258992j 0.00414938+0.00156758j 0.00430966+0.000769826j 9.56358e-05+0.00155273j 0.000880085+0.00390599j 0.00105986+0.00251843j 0.00284966-0.000549524j 0.00106062-0.000598156j 0.00266606+0.00143423j 0.00168372-0.00115907j 0.00233985+0.00268179j -0.000949709-0.00465225j -0.00064749+0.00564066j 0.000471082-0.00265405j 0.00144469+0.00355431j -0.0016294+0.00817705j 0.00105954-3.18264e-05j -0.0002522+0.00161313j -0.000592093+0.0134097j 0.000762422+0.0401068j -0.00167166+0.0281006j -0.00167837+0.0165208j 0.000389275-0.00581507j 0.000680646-0.0035552j -0.000306502-0.000261221j 0.00100832-0.00633918j 9.06046e-06-0.00278285j -0.00363883-0.00116839j 0.0016398-0.00045227j -0.000335016+0.00201612j 0.00076074+0.00352633j -0.00234764+0.00103591j 0.000993129-0.00428942j 0.00162968+0.00145524j -7.13849e-05+0.00272877j -6.30791e-05+0.00179298j 8.72727e-05+2.97014e-05j -0.000722774-0.000249665j -0.000365293+0.00544729j -0.00108853+0.00169898j 0.000842842-0.000282766j -0.00574185+0.000934211j 0.00532441-0.00269895j -0.000733509+0.000269719j -0.000204365+0.000525341j -0.0020747+0.000593765j -0.000114182+0.000526885j -0.000396751-0.000118386j -0.00173186+0.00103278j 0.00220542-0.00164196j -0.00276975+0.00352255j -0.00100341-0.000268131j -0.000784526+0.000258207j -0.0004371-0.000380501j -0.000407995+4.75754e-06j 0.000882474+0.000127344j -0.00130935+8.34479e-05j 0.000813346+0.000117386j -0.000979146+0.00285825j -0.0024435-0.000731427j 
-0.00336799+0.00574048j 0.00197334-0.0018723j -0.003457-0.000329196j -0.000773181-0.00671594j -0.00125403+0.000434106j 0.00173841-0.0048747j 0.00205493-0.000650432j -0.00235784-0.00326118j 0.00042207+0.002097j 0.000514243+0.00174242j 0.00310262-0.000977506j 0.000778399-0.000867497j -0.00136319+0.00325841j -0.00267123-0.000273708j -0.00583963+0.00238733j 0.00100923+0.00649844j -0.00417118+0.00175463j 0.00243439+0.0146791j 0.00424097+0.00573093j 6.03938e-05+0.00325303j -0.00338772-0.00731901j 0.00301091+0.0284181j 0.00121929-0.00749114j -0.00360593-0.00775862j -0.00150202-0.00418905j 0.00738883+0.00485149j -0.000582421-0.00313361j -0.000906573-0.00578641j 0.000947345-0.00766595j -0.000661729-0.00544206j 0.00221014+0.00584404j 0.00584446-0.00691009j 0.00307639-0.0116527j 0.00567459-0.00895945j -0.000174815-0.00627408j -0.00376231+0.00392685j -0.00582121+0.00373771j 0.00281447+0.000413745j 0.00612323-0.00618786j 0.00311366-0.00907242j 0.00085367-0.00140286j 0.00257929-0.0243209j 0.00268274-0.00731268j 0.0022399+0.0095633j -0.000533929-0.00183731j -0.00124933-0.000439114j -0.00138684-0.000489413j -0.000680088+0.00243609j -0.00252087-0.00569238j 0.0010543+0.000857141j 0.00115597-0.000738744j -0.00105634+0.000618105j -0.000421872+0.00262054j 0.000665235-0.00226259j 0.00145627+0.000312222j 0.00101541-0.0017701j 0.000296823-0.00121593j -0.000241949-0.00590463j 0.0019832-0.00191927j -0.00126063+0.000120573j 0.00161185-0.00392911j -0.00168201+0.00370996j 0.00281481+0.00368666j -0.000702778-0.00253985j 0.00121074+0.00253076j -0.00289728-0.00463051j 0.00270983-0.00408909j 0.00987186+0.00190355j 0.00290181+0.0122898j 
0.0052924-0.00110829j 0.00765684+0.00108515j 0.000300294+0.00219279j -0.00800137-0.0097142j -0.00965723-0.0136548j -0.0005206+0.000542271j -0.000439359+0.00051691j 0.00915499+0.013563j -0.00441847-0.00139684j -0.0020336+0.00836149j 0.000276361+0.0187571j 0.000881529+0.0101551j 0.00768845-0.0152635j 0.00285397+0.00034015j -0.0123743+0.0173542j -0.0179623+0.0060967j 0.00713521+0.00447416j -0.00513485+0.00435931j 0.00227236-0.00424428j -0.00755028+0.00111163j -0.0105987-0.000977099j 0.00585151+0.00284888j -0.00327704+0.000802497j 0.00512596-0.000981434j 0.00183913-0.00215405j 0.00334866+0.00173207j -0.00768135-0.000103218j -0.0054907-0.000381483j -0.000351271+0.000390835j -0.00159799-0.00582531j 0.00098397+0.00595763j 0.00495499+0.000316433j -0.000287193-0.00249873j -0.000731281-1.91669e-05j -0.010069+0.00446324j -0.00661922-0.00253687j -0.00218609-0.000807522j -0.00499452+0.00100903j -0.012812-0.0023974j 0.00492782-0.00737484j -0.00426021+0.00562928j 0.001481+0.00304211j 0.00310632+8.13086e-05j 0.00690406+0.00101508j 0.00193721+0.000244734j 0.00894643-7.46785e-05j -0.00491754-0.00065171j 0.00463623-0.000449833j 0.00153103+0.000323996j 0.00206627-0.000849456j 0.00181019+0.000194893j 0.00192288+0.00142767j -0.000376974-0.00058256j 0.00337984+0.00449084j -0.000847383-0.00132276j 0.000872702-0.00183003j -0.0025287+0.00223204j 0.00555595+0.00236951j 0.000176178+0.000365347j 0.0023484+0.00264924j 0.000573149+0.00540404j -0.0040148+0.00139689j 0.00583764-0.00183816j -0.00209439+0.00023595j 0.000819217-0.000603162j -0.00309291+0.00143338j 0.00577966+0.00115911j -0.00269946+0.00146477j -0.00608825-0.00630702j 
-0.00543384-0.00623753j -0.00522481+0.00236447j -0.0098638-0.00227183j -0.000131909-0.00470451j -0.0159851+0.00182913j 0.0151071+0.00186294j 0.00386036-0.00375837j -0.00889082-0.00818547j 0.00402659+0.00289574j 0.00233644-0.0067638j 0.0191485+0.00640682j 0.0146516+0.0044644j 0.00171652+0.00541796j 0.00185704+0.00755134j 0.00164552+0.00457332j 0.00498689-0.0040927j 0.00189246-0.00612781j 0.00243519-0.00543535j 9.7365e-05-0.0070684j 0.00274829+0.0085693j -0.00659866-0.00651066j -0.00272998-0.000600304j 0.00463868-0.00148864j 0.00486373+0.0024362j -0.000670936+0.003748j -0.00204937-0.00457074j -0.00243223-0.00792067j -0.00258294-0.00553743j 9.97832e-05-0.0130957j -0.00211998-0.00449094j -0.00013996-0.00493065j -0.000394639-0.00264969j 0.000965806+0.000833875j -8.53064e-05+0.00133216j -0.000674363-0.000910492j -0.000678078+0.00347374j -0.00371748-0.0134921j 0.00180118-0.00197562j -0.00318123-0.000496574j -0.00228681+0.0139042j -0.0136464+0.00538678j 0.00119549-0.00523806j 0.00268305+0.00729866j -0.0018778+0.00273321j -0.00199558+0.00161141j -0.000173313+0.00604833j 0.00113839+0.00511629j -0.000417955+0.00740516j -0.00533541+0.00595725j 0.00166481+0.00191886j 0.00043425-0.00319097j -0.00369753+0.000499916j 0.000939618+0.00149342j -0.000250765+0.000672655j -0.00340529-0.0046152j -0.000118761+0.00377262j -0.000953592-0.00148882j -0.000294704-0.00254085j 0.00528739-0.00223803j -0.00642945+0.00472008j -0.00349809-0.00629101j 0.00136619-0.00438029j -0.0046315-0.00617939j -0.00259377+0.00360352j 0.00342947-0.00113611j -0.00583794+0.00523616j -0.00307538-0.00115409j -0.00766771+0.00505932j -0.00737077-0.00607456j 
-0.00706999+0.00218285j -2.8212e-05-0.00135764j -0.00587125-0.00648079j -0.000480843+0.00677669j -0.003393-0.010145j -0.00190836+0.0239999j 0.00562319+0.00270135j -0.00305552-0.0109819j -0.000446365+0.00675555j 0.00233321+0.00165893j 0.00146012+0.0100021j -0.0103581+0.0184427j -0.00623396+0.0124575j -0.0111817+0.0035694j 0.00623027-0.00443984j -0.00758028+0.0028911j -0.00448906+0.00870674j -0.00541046-0.000373229j -0.0100106+0.00464766j 0.0084044-0.000212241j -0.0111814+0.00268496j 0.00573036-0.00399449j 4.51963e-05+0.00150421j 0.00651261+0.000479371j 0.00829157-0.00207595j -0.0101772+0.000553568j -0.00735216+0.00157795j -0.00339955-0.000814219j -0.00215345+0.00263722j 0.00426149+0.00217607j -0.00327611-0.00383747j -0.000616021+0.00232086j -0.00436925+0.000894076j -0.00207455-0.00112701j -0.000627297-0.00108476j 0.00247694+0.00379317j -0.0001803-0.000272531j -0.010834+0.00378664j 0.0027432-0.00132243j 0.0121902-0.0051536j 0.00659692+0.00126294j -0.00218737-0.00466523j 0.00422824+0.00215315j -0.00713187+0.00344251j 0.00267379-0.00103105j -0.00471627+0.00123236j 0.00472117-0.00123498j 0.00689754+0.00227273j 0.00156824-0.000309249j -0.00298202-0.00116684j -0.000363906+0.000809854j -7.37915e-05+0.00250881j -0.00123685+0.000904777j 0.00464006-0.00114732j 0.00124357+0.00294615j 0.00393993+0.00195093j -0.00137598-7.02523e-05j 0.000485391+0.00138328j -0.00230572-0.00282138j 0.00542143+0.00129304j 0.00508964-0.00263052j -0.000429174-0.000448512j -0.00424225+0.00171183j 0.00270884+0.000173595j -0.0020009-7.55201e-05j 0.00458369-0.000230261j -0.00164995-1.05335e-05j -0.00161466-0.00223458j 0.0027926+0.00245369j 
0.00424172-0.00570382j -0.00672366-0.00838746j -0.00755369+0.00154009j 0.00202082-0.00210396j 0.0127179+0.00107559j 0.00570256+0.000303619j 0.00125476-0.00255917j -0.018508-0.0035631j 0.00761921+0.00211429j -0.000425782-0.00172538j -0.0164264-2.12687e-05j 0.00862093+0.00961321j 0.0111922-0.00702708j -0.000689076-0.00591604j -0.0171316-0.00613366j -0.00805046+0.00342404j -0.00231661+0.00496944j -0.00187845+0.006433j 0.00226553+0.00175433j 0.00273458+0.0099415j -0.000866128+0.0010072j 0.00143464-0.00447869j 0.00173567+0.0023093j 0.00398407+0.000749582j 0.00662626+0.00933063j 0.00296224-0.00193263j -0.00395986+0.000390691j 0.00183292+0.00538357j 0.000883736-0.00108337j -0.00546003-0.00307772j 0.00146543-0.000828538j -0.00314214-0.0143087j -0.00116978-0.00289348j -0.00299466-0.00862523j -0.00492815+0.00288562j -0.00266883+0.00845097j 0.00214613+0.00259192j -0.00272206-0.00273213j -0.00259077+0.00839011j -0.00545177-0.00482397j -0.00110576-0.00378275j 0.00356022+0.00451725j -0.0086037+0.00137479j 0.00279196-0.00589722j -0.00173608-0.00665428j -0.000793002-0.0122163j -0.00520535+0.00787765j -0.00239751-0.00210301j 0.00448408-0.000994899j 0.0002083-7.99679e-05j 0.0013037-0.00190681j 0.00174737-0.00223521j -0.000653711+0.00280104j -0.000390971-0.00262921j 0.0033287-0.00685713j -0.000213206+0.00233292j 3.26097e-05-0.00276358j 0.0021704-0.00709737j 0.00179345-0.00442796j -1.21336e-05+0.000649284j 0.005387-0.00394663j 0.00194499-0.000789201j 0.00388828-0.00921674j -0.000478193+0.00239629j 0.00282133-0.000129036j -0.00750659+0.00281677j -0.00230262-0.00956545j 0.000476966-0.00902886j 0.00744593+0.00406462j 
