-0.131378+0.00587521j 0.0115088+0.13301j -0.0247796-0.0678951j -0.0592257+0.0646162j -0.022768+0.032065j -0.049147-0.0132384j 0.010544-0.0207983j 0.0670421+0.000842799j 0.0115156+0.0115809j 0.0512138-0.0250629j -0.0194533-0.03486j -0.0623406-0.0544058j 0.0217224-0.0634026j -0.0182562+0.135963j -0.1372-0.0189227j 
-0.364346-0.0343961j -0.0268197+0.3663j -0.0804114-0.206047j -0.185458+0.207376j -0.089268+0.095857j -0.142469-0.0376027j 0.0305589-0.0298088j 0.242394+0.00126979j 0.029613+0.0331785j 0.142684-0.0316183j -0.0891876-0.0981253j -0.180686-0.212839j 0.0881402-0.202049j 0.0199168+0.365446j -0.363003+0.0279714j 
0.00791914-0.00236686j -0.00473273-0.00649987j -0.003637+0.0023771j -0.001721+0.00704478j -0.00265226+0.00396099j 0.00217388+0.00578735j -0.00118255+0.00399575j 0.0040836-0.00605034j -0.00541867-0.0050844j -0.00578383+0.00959809j -0.00804855+0.00630543j -0.00453766+0.00674924j -0.0238546+0.00434167j -0.0124523+0.0135972j -0.00803784-0.00808114j 
-0.00501807+0.0420311j 0.0424148+0.00194124j 0.0134463+0.0175847j 0.0173102-0.0397443j 0.0307953-0.00492185j 0.00306217-0.0157307j -0.000811382-0.015031j -0.0537232-0.00128148j 0.000881883+0.0149461j -0.00450093-0.0221064j 0.0320713+0.00323392j 0.0119651+0.0418528j -0.00666738+0.0225539j -0.0410053+0.000628519j -0.00397125-0.044364j 
-0.00401456-0.00497879j -0.000761841+0.00566798j 0.00892923-0.00406218j -0.00695746-0.00614731j -0.00261019-0.00379779j -0.00351194+0.00535268j -0.00183923-0.00546935j 0.00222559+0.00913793j 0.00433418+0.00268468j -0.00106826-0.00755169j 0.00590588-0.00955j -0.0144242-0.0129668j 0.0291512-0.0210065j 0.0177614-0.0158665j 0.0105347+0.0133546j 
-0.0401403-0.00139904j -0.00388514+0.0382828j 0.0184968-0.0197657j -0.0265976-0.0218299j 0.0179126+1.44039e-05j -0.00742509-0.00943871j 0.00461293-0.0205903j 0.000941495+0.00437318j 0.00455702+0.0281507j 0.003379+0.00416169j 0.0233079+0.00122572j -0.0240647+0.0106293j -0.0131859-0.0344655j 0.00766644+0.0319977j -0.0331947+0.0111109j 
0.0124905+0.0182966j 0.0145362-0.00728267j 0.00133085-0.019385j -0.0169851+0.000381551j -0.0127884-0.00523659j -0.00324666+0.00890045j 0.0150897+0.00991419j 0.00103143-0.00291691j 0.0139804-0.0131514j 0.00261312+0.0101169j -0.0117642+0.00710681j -0.0151554-0.00558218j -0.00726189-0.016122j -0.0165718-0.00590481j 0.0115914-0.0170457j 
0.0171773-0.0222655j -0.0197898-0.0132964j -0.0004664-0.0150242j -0.0181341-0.00135239j 0.00707601-0.000546123j 0.0135051+0.0118722j 0.00526301-0.0207239j -0.000215865+0.000599742j -0.00284285+0.0045481j -0.00105155+0.0135491j 0.0216369+0.0114581j -0.0169414+0.0271136j -0.0283701-0.00754373j 0.0118536+0.00178031j -0.000124679+0.00905393j 
-0.00448169+0.0036013j -0.00180765+0.00391932j 0.0219881+0.000771065j -0.00118709-0.0195022j 0.0135259-0.00952887j -0.0049065+0.012995j -0.00851803+0.0115973j 0.00521292-0.00578026j 0.00871916+0.0224048j -0.0162793+0.00553378j -0.00145241-0.00151524j -0.00780878-0.0117767j 0.00595349-0.000291433j 0.00469423-0.00843379j 0.0136727+0.0102349j 
-0.0225153+0.0159718j 0.0136525+0.0203428j -0.000788631-0.000191304j 0.00150418+0.00517798j -0.0141527+0.00291282j -0.0107879-0.0191611j 0.0078095+0.00997009j 0.000304638+0.0038976j 0.00262384-0.011564j 0.00986214-0.00197769j -0.0142279-0.000788494j 0.00746682-0.00804702j 0.000389184-0.0117178j -0.0112014+0.0173329j -0.018532-0.00913037j 
-0.000607252+0.00756846j 0.00261631-0.0018145j -0.00390019+0.00498113j -0.000405809+0.00366261j 0.000504121+0.00893466j -0.0165384-0.0173578j 0.00979226-0.0215962j 0.0139392+0.0122865j -0.0173651-0.000456211j 0.0061881+0.0160521j 0.0118572+0.00959655j 0.0166808-0.00525545j -0.0139945-0.00642036j 0.000951452-0.00580707j 0.00459732+0.00558942j 
