0.0255555+0.252869j -0.252938+0.025559j -0.0546331-0.269516j -0.279946+0.0582229j 0.0985645+0.173262j -0.105748+0.117543j -0.065628+0.0700977j -0.174152+0.0134358j 0.0843584+0.167522j -0.0293729+0.113028j 0.0665753-0.100316j -0.0566208+0.00852274j 0.0382442+0.00476662j 0.0889166-0.0826018j 0.0889964-0.078684j -0.0408079-0.000720769j -0.0228333-0.0124403j 0.0735343-0.0484739j 0.00728864+0.0238436j 0.0776622+0.0128492j -0.0571774-0.0548136j 0.0356232+0.0185388j 0.00223762+0.0510749j -0.00651318+0.00413197j 0.0280411+0.00539244j 0.0612336-0.0143507j 0.0218582+0.0170071j -0.160302-0.0241516j -0.00230903-0.001286j -0.0160178+0.00672432j -0.0405704-0.0327675j 0.0181446+0.00242789j 0.00620249+0.00392916j 0.026987-0.0441028j -0.0461646+0.00665095j -0.0741908+0.034804j -0.0798212-0.0144199j -0.0442917-0.0292719j -0.0444312-0.0746787j -0.0190823+0.00676147j -0.0361051-0.0838061j 0.0615913+0.0640277j -0.0532388-0.102333j 0.0423934+0.01719j 0.0586029+0.0501246j 0.0156877+0.11392j -0.000424262-0.10899j -0.117624+0.146247j -0.175718-0.0234113j -0.0685279-0.0688626j -0.0971935-0.120412j 0.101592-0.167177j 0.273476+0.0641988j -0.0596708+0.261691j -0.24872-0.0275373j -0.0275158+0.248557j 
-0.0307073-0.0330911j 0.0332109-0.0306811j 0.0112193-0.00201582j -0.00251076-0.0111401j -0.0031883+0.0146195j -0.00817732-0.00869844j 0.0150466+0.0119524j -0.0258089+0.0145923j 0.00941138+0.0298682j -0.0103716+0.000217446j -0.00546229-0.0101795j 0.00869299-0.00391775j -0.00977295-0.0109393j 0.0164907-0.0268481j 0.0251071-0.0140275j -0.00304294-0.00203563j 0.00314434+0.0087979j 0.00996427+0.00478479j -0.000767176-0.00617224j 0.00173836-0.00535354j -0.00565444+0.00841008j 0.00273609+0.000487731j -0.00230188-0.00404638j -0.00512027-0.00890553j 0.0119425-0.00367972j 0.013863+0.00544893j 0.0165699+0.000263253j -0.0247119-0.00333554j -0.00278504+5.76247e-05j -0.0151766-0.00336761j -0.0134976+0.00180826j 0.00772392+0.0066475j 0.00593519-0.00736957j -0.00048848+0.0042623j -0.00362937-0.00306001j -0.00221623-0.0112218j 0.000730968-0.00639837j -0.00511436-0.00446398j -0.0115752+0.00302375j 0.00570597-0.00529521j -0.0145813-0.0206179j 0.013168+0.0103482j -0.00889303-0.0282646j -0.0123838+0.0105204j -0.0113804-0.00195212j -0.00460586+0.0105812j -0.00791958-6.94483e-05j -0.0134587+0.02796j -0.025147-0.0143002j 0.0150916-0.0101692j -0.00755375+0.00944231j -0.00268871-0.0140222j 0.00182463-0.0111619j 0.0111764+0.00123379j 0.0342512+0.0317988j 0.0316925-0.0340748j 
0.00123196-0.00881595j 0.00905492+0.00116966j 0.00190082+0.00130561j 0.00137128-0.00208959j -0.00212521+0.0020218j 0.000270423-0.00334567j 0.00438642+0.002294j -0.00354503+0.00207505j 0.000473631+0.00422116j -0.00167507-0.0015039j -0.00291601-0.00191167j 0.00146305-0.000904017j -0.00436771+0.00041238j 0.0021981-0.00378706j 0.00241649-0.00177056j 0.000169809-0.000984792j 0.00303218+0.00210527j 0.00147496-0.00011003j -0.00164316-0.00132492j -0.00244259-0.00274966j 0.00186586+0.00263612j 0.00187837-0.0001586j -0.00110306-0.000453382j -0.000669872-0.00288302j 0.00117452-0.00132034j 0.0033718+0.00137814j 0.000803784+0.000180766j -0.00215073+0.00178583j -0.000484599-0.00120739j -0.00154475-0.00159869j 0.000339364+0.00249342j 0.000683132+0.0014796j 0.00133085-0.00207554j 0.000515741+0.00126027j -0.00090144+0.00259078j -0.00143234-0.0037343j -0.000336824-0.00212506j -0.00103702-0.000849059j -0.00218034+0.00374694j 0.001092-0.0012658j -0.00116723-0.000574502j 0.00099069+0.000178626j -0.00230132-0.00129386j -0.00495973+0.00224517j -0.000862884-0.00243529j 0.000346394+0.00127438j -0.00111568+0.00198686j -0.000404771+0.00130534j 0.000425527-0.00318909j 0.0034702+0.00129559j -0.00207295+0.002688j -0.00248504-0.000188438j -0.00460693-0.00286517j 0.00287135-0.00451736j 0.00259471-0.00353569j -0.00332915-0.00259131j 
-0.002867+0.0213974j -0.0215274-0.00280969j -0.0055286+0.00737256j 0.00777053+0.00615593j 0.000894736-0.00673875j 0.00293956+0.000403846j -0.00162539-0.0023207j 0.00497076-0.00282126j -0.005665-0.00428838j 0.0031817-0.000275785j 0.00722844-0.0014884j 0.0045346+0.00107131j 0.000616285-0.0136868j 0.00307925+0.00961044j 0.00114162+0.00599421j -0.00102895+0.00258681j -0.00902379+0.00385136j -0.000644759+0.00713778j 0.00547862-0.00379098j 0.00998726-0.00111737j -0.00959843+0.000624061j -0.00797623+0.00605959j 0.00270189+0.000724533j 0.00472894+0.00179668j 0.0023616+0.00111418j -0.00904982+0.00429659j 0.00199266+3.46216e-05j 0.00153063-0.00917078j 0.000231226+0.00179727j 0.00241692+0.00131661j -0.0071503-0.00512j -0.00309607-0.000794971j 0.00482042+0.0012233j -0.00273292-0.000989431j -0.00550449-0.0072029j 0.0107727+0.00600746j 0.0100877+0.00465838j 0.00488727-0.000546556j -5.78127e-05-0.0100197j 0.00539186+0.00570951j 0.00376471-0.00503137j -0.00147338+0.000223646j 0.00468846-0.00866636j 0.00246496-0.0147089j 0.00259659-0.00121155j -0.00866453-0.00160571j -0.0025947-0.000648701j -0.00681093+0.00359766j -0.00659349-0.00206334j -0.000901312-0.00173448j -0.00400572-0.000334863j 0.000487633-0.00669133j 0.00967089-0.0061426j 0.00538815+0.00895513j 0.0245875-0.00223641j -0.00246434-0.0247487j 
-0.00786862+0.0190409j -0.0190878-0.00774074j 0.00625574+0.0117791j 0.012577-0.00593114j 0.000959929-0.00949668j 0.00492953+0.0100801j -0.0168902-0.00362677j 0.00944459-0.0138946j -0.00612769-0.00585497j 0.00277571+0.00449924j 0.00820878-0.000441289j 0.00292535+0.00563432j 0.00830541-0.0104631j 0.00114712+0.00426146j 0.00652494+0.00409411j 0.00123587+0.00728846j -0.0127359+0.00294503j 0.0023797+0.00385879j 0.00322795+0.00105791j 0.0110537+0.0026355j -0.0075101+0.00379296j -0.00664217+0.00142413j 0.0041252-0.00444138j 0.00467044+0.00800869j 0.0012929+0.00397038j -0.00488564+0.0021954j 0.00403919+0.00150964j -0.0059764-0.0118359j 0.00238495+0.00285628j 0.00013686+0.000634034j -0.00624645-0.00725972j -0.00117031-0.00393456j -0.00151797+0.00465141j -0.00518686+0.00391982j -0.00227507-0.00864362j 0.0115124+0.0043021j 0.00412932+0.00483542j 0.00289238-0.000484388j 0.00184851-0.0141112j 0.00309782+0.00100041j -0.00211133-0.00782374j -0.00489564+0.00305512j 0.00857927-0.00819385j 0.00907049-0.00814191j 0.000636539+0.00290321j -0.00551526-0.0027157j 0.000727765-0.00419526j -0.00331646+0.00236721j -0.00971265+0.0104257j -0.0127037-0.0108757j 0.00509086-0.00495051j -0.003012-0.0033423j 0.0123271-0.0185962j 0.0173418+0.0117187j 0.0168343+0.00156982j 0.00136218-0.0168671j 
-0.0101299-0.00793571j 0.00801887-0.0102058j 0.0244254-0.0044749j -0.0043758-0.0255798j -0.00199915-0.00273537j 0.00960205+0.0134636j -0.025504+0.0103419j -0.00373204-0.020612j -2.08822e-05-0.00154036j 0.00265794+0.00797246j -0.000286268+0.00246727j -0.000158796+0.00809196j 0.0153167+0.00428311j -0.00864562-0.00903894j 0.00599579-0.00833191j 0.00729651+0.00393827j -0.00391645-0.000723123j 0.00171839-0.00970033j -0.00192418+0.0107762j 0.000871113+0.00681805j 0.00840092+0.00193814j 0.00132376-0.00971852j -0.00269735-0.00826501j 0.0027784+0.00961545j -0.000358519+0.00518614j 0.00713392-0.0074194j 0.00322511+0.00136975j -0.0124012+0.00392469j 0.0044567-0.00105208j -0.00445636+0.000406881j 0.00281522-0.00219503j 0.00208892-0.00611371j -0.00859448+0.0106086j 9.00794e-05+0.00863078j 0.00588249-0.00206594j -0.00332459-0.00412281j -0.0120201+0.00359308j -0.00395062+0.00138712j 0.000644264-0.00504195j -0.00946165-0.00671685j -0.01197+0.00102492j -0.00345557+0.00681589j 0.00588745+0.00043491j 0.0143841+0.0103318j -0.00161218+0.00849258j 0.00628924-0.00332299j 0.00493866-0.00886371j 0.00565129-0.00613819j 0.00647568+0.0236177j -0.0274275-0.00349099j 0.0109948-0.0155923j -0.00118681+0.0102363j -0.0093856-0.01945j 0.0189501-0.00849796j -0.0110568+0.013796j 0.0138598+0.0111332j 
0.00409281+0.00273098j -0.00285332+0.00406666j 0.000141606-0.00107757j -0.000934398-0.000204933j -0.0005194-0.000312624j -0.000375477-0.000558972j -0.000724979-0.000543035j -2.85436e-05-0.00106381j -0.000692675+0.000207499j 0.000628335-0.000525443j -0.00018745-0.000905353j -0.000562041-0.00163271j -0.00269151+0.00130107j 0.00108071+0.000243593j -0.00051898-0.000434216j 0.000776973-0.000111695j 0.00143078+0.000851095j 0.000689356-0.000676906j -0.000566194-0.000878154j -0.00120437-0.00172728j 0.000591516+0.00028149j 0.00149878+0.00172131j 3.20726e-05-0.000247747j 0.000151691-0.000727853j -0.000599437-0.00015759j -4.30497e-05+0.00115744j -0.000965216-0.000963003j -0.000414778+0.000871895j 0.000745244+0.000388275j 0.00094688+0.000113149j -0.00101219+0.00157401j -0.000426+0.000827201j -0.000669965-0.00060955j 0.000540129-0.00086869j -0.000792672+0.00119781j 0.000491662-0.00136908j 0.000600377-0.00210781j 0.000130176-0.000389866j -0.00145678-0.000120852j 6.90487e-07-0.00120156j -0.000504421+0.000508307j 0.000435572-0.000220947j -0.00228878+0.000841286j -0.00197478-0.000858149j -7.45343e-05+0.00045622j -0.000144882+0.0016049j 0.000526093+0.000619303j 0.00219142+0.00053379j 0.000592614+0.00275714j -0.00149836+0.000449545j 0.00132885-5.5814e-05j 2.33384e-05+0.00164071j -0.000754086+0.00309233j -0.00316764-0.000487237j -0.00437123-0.00110976j -0.00121708+0.00437748j 
0.00732039-0.00319697j 0.00343277+0.00701252j 0.00447353-0.0018159j -0.00184089-0.00527746j -0.00149453+0.0024278j -0.000138434-0.00118689j 0.000142361+0.000183576j -0.00215851-0.00146172j 0.00085705+0.00242016j -0.00105426-0.000166119j -0.00362213-0.00110309j -0.00171285-0.0020126j -0.00406996+0.00766956j 0.000579382-0.00265731j 0.000301301-0.00179057j 0.0018525-0.00136094j 0.00460071-0.000344552j 0.00126466-0.00363041j -0.00312495+0.000195503j -0.00606936-0.0014613j 0.00321088+0.000501817j 0.00366199+0.0004062j -0.0027169-0.00018922j -0.00259579-0.00127688j -0.000296736+0.000333975j 0.00280802+0.000728062j -0.0012857+0.000141425j 0.00023849+0.004337j 0.00177967-0.00113555j -0.000388564-0.00178781j 0.00144606+0.0041425j 0.00206182+0.00222366j -0.00312086+0.000724266j 0.00112754-0.00193484j -0.000926987+0.00322187j -0.00296446-0.00294936j -0.00246374-0.001753j -2.08198e-05-0.000513066j 0.000277616+0.00370591j -0.00218763-0.00185603j -0.00016077-0.000441809j -0.000410813-0.00125825j -0.00219356+0.00207556j -0.00375995+0.0025353j 0.00133-0.000989479j 0.000295507+0.00205813j 0.00236193+0.00257742j 0.0013854-0.00151648j 0.000938549+0.00126691j -0.00337742-0.000453342j 0.000759874-0.00215192j 0.000416463+0.00321602j 0.000434907+0.000932613j -0.000873459+0.000743649j -0.0011959+0.000301793j 0.000579805+0.000869841j 
-0.00680521+0.00426644j -0.00422926-0.00641702j -0.00636328+0.00355424j 0.0042129+0.00707839j 9.21101e-05-0.00158897j -0.00041901+0.00163982j -0.00210772-0.000337191j 0.00206174-0.00283493j -0.00366505-0.000173217j 0.000181064-3.20087e-05j 0.00310849-0.0014324j 0.00273698+0.00193388j -0.00150892-0.00616377j 0.0018818+0.00183945j 0.00112161+0.00189j -0.00132259+0.00334657j -0.00203604+0.00341449j 0.00344647+0.00238171j -0.000347786-0.00120495j 0.00425575-0.00464013j 0.000591434+0.00118289j -0.00109886+0.00130163j 0.00367208-0.00174026j 0.00274202-0.00256445j -0.00308603-0.00100993j 0.000562587+0.00187716j -0.00227698-0.000905929j -0.00465198-0.00232888j -0.000179431+0.00186643j 0.00361966+0.00154498j -0.0030228-2.50422e-05j -0.00448771-0.0014555j 0.000961778-0.00478293j 0.00153202+0.003508j -0.000172869-0.00095954j 0.00314696-0.000281231j 0.000966735-0.00572793j -0.00127743-2.63673e-05j -0.00409936-0.00155496j 0.00249396-0.00307998j -0.000704956+0.00228693j 0.00137573+0.00181887j -0.00209946+0.000339693j -0.000864485+0.000601285j -0.00341879+0.00267597j 0.00215045+0.00105579j -9.78025e-05-0.00118306j 0.0039434+0.00226122j -0.00164599+0.00412619j 0.000635155-0.0016762j 0.00151047+0.00152938j -0.00184694-0.000736701j -0.00616851+0.00577411j -0.00581073-0.00586369j -0.00560823+0.00477398j 0.00472026+0.00609561j 
-0.00102608+0.00891042j -0.00897045-0.000881907j -0.00192535-0.00453864j -0.0046294+0.00198521j -0.00599072-0.000755478j -0.000587241-0.00718594j 0.00383137-0.00185261j 0.00290755-0.000786838j -0.00502812-0.00397116j 0.000847153-0.00282042j -0.000610285-0.000450351j -0.00412257+0.00181172j -8.92145e-05+0.00660295j 0.00373514+0.00334721j -0.00386827+0.00356796j -0.00410463+7.00042e-05j 0.00496949+2.36941e-05j 0.00116871+0.000541604j 0.000170745-0.00103602j -0.00213957-0.00384131j -0.00101581-0.00289757j 0.00269578+0.000988293j 0.00462278-0.00152118j -0.00075249-0.00418521j -0.00449932-0.00115273j 0.00047613-0.000706484j -0.00292709-0.00293043j -0.00143975-0.00162577j 0.000477216-0.00257973j 0.00200452-0.00109294j -0.00180843-0.00072342j -0.00085928+0.00446893j -0.0037818-0.00128392j 0.00121997-0.00431946j 0.00302192+0.00151161j 0.00112521-0.000429294j 0.000906106-0.00630921j -0.000673655-7.56677e-05j -0.000812695-0.000802036j -0.00455533-0.00286194j 0.0014479-0.000352572j 0.000557209+0.000870417j -0.00382347+0.00176937j -0.00697466+0.00330547j -0.00111784+0.00173372j -0.00240103+0.00666209j 0.00354178+0.00346301j 0.000892809+0.00317986j -0.00379148+0.00173768j -0.00345666-0.00113833j -0.00074717-0.00542096j 0.00459826-0.00172964j -0.0026441-0.00162255j 0.0017677-0.0024021j -0.00318333+0.00766189j 0.00751691+0.00328964j 
-0.0121752+0.00374017j -0.00349864-0.0120361j -0.00693699+0.0121099j 0.0132422+0.00723023j 0.00234636-0.00205252j 0.00189684+0.00530219j -0.00541992+0.00312385j -0.00276948-0.00615825j -0.00323047+0.00352559j 0.00377856+0.00123499j 0.00363868-0.0063436j 0.00700695-0.00277916j -0.00929223-0.00988072j 0.00166184+0.0027007j 0.00209216-0.00275198j 0.00134015+0.00384339j -0.00228596+0.00767075j 0.00543517-0.00109454j -0.00154562+0.000398881j 0.00404078-0.0111657j 0.00521972+0.00140067j -0.00251119+0.00212518j 0.00129956-0.000829121j 0.00379405-0.00359139j -0.00211713-0.00131828j 0.00482605+0.00283346j -0.00204219-0.000790838j -0.0062769+0.00169954j 0.0013495+0.00314411j 0.00723443+0.000762966j -0.00174494+0.0024707j -0.010056-0.00256417j 0.000701267-0.00778949j 0.00653715+0.00755073j -0.00324427+0.000467024j 0.00259236-0.0018861j 0.000981835-0.00684344j -0.00204872+0.000102471j -0.00638261+0.0013959j 0.00469245-0.00562746j -0.00123961+0.00784382j 0.00356746+0.00210167j -0.00505123+0.000121705j 0.00238741-0.00249867j -0.00387805+0.00559916j 0.00228546-0.00387415j -0.00346534-0.00034366j 0.00980694-0.000298295j 0.00511634+0.00722895j 0.00102857+0.000800773j 0.00428712+0.00482648j -0.0039378+0.00426809j 0.000925859+0.0158838j -0.0154471+0.00185063j -0.00956365+0.0083347j 0.00842978+0.00988817j 
