-0.00874847-0.00101698j 0.00117942+0.00399052j -0.0106734+0.00252569j -0.00674573+0.0179041j -0.0104423-0.00663195j 0.00775304+0.0102194j -0.0137625+0.00512118j -0.00589631-0.0128801j -0.00942357+0.010337j -0.00694256+0.0124198j -0.00130702-0.00625167j 0.00307346-0.00215268j -0.00833802+0.00212279j 0.00136095+0.00349759j -0.00439649-0.00215325j -0.00126481+0.00527498j -0.00174811+0.00448643j 0.0128097+0.00118999j -0.00227844+0.00408396j -0.00293404-0.00103604j 0.00466596-0.000352523j -0.00293226-0.00480176j -0.00828084-0.000404016j 0.00108524-0.00869619j 0.00460402+0.000936287j -0.00598841-0.00617441j -0.00568655-0.00584807j 0.00201805-0.00231467j -0.000525332-0.00166949j -0.000869374+0.00812781j 0.000517077-0.00114863j -0.005102+0.0100992j -0.000514353+0.000450213j -0.00504379+0.0075036j -0.00517904+0.00642831j -0.0104158+0.0130493j 0.0131022+0.00457831j -0.0160272-0.00377526j 0.00709537-0.014182j 0.0136631+0.00623547j 
0.00119188+0.00839577j 0.0141317+0.00126322j 0.00254102+0.00834024j -0.00137773+0.0122523j -0.000990234-0.00159168j 0.00223105-0.00188129j 0.0046325+0.00601711j 0.00398085-0.00305536j -0.00235183-0.00696171j 0.00869018+0.000820261j -0.0105902-0.00181212j 0.00711165+0.00185015j 0.00378969+0.00166695j -0.00783686+0.0101047j 0.0112213-0.00678323j -0.0105376-0.00446646j 0.000502883-0.00152951j -0.00959698+0.00245962j 0.0036022+0.00335128j 0.00136795-0.0091791j -0.00805146-0.0109268j 0.00312094-0.00197539j 0.0093949+0.00505699j -0.00737283-0.0035933j 0.00366015+0.00852541j -0.00272522+0.00241125j -9.18977e-05+0.000720737j -0.00124654+0.00407053j -0.0133222-0.00222377j -0.00136099-0.0177738j -0.000595422+0.00332955j -0.0022607-0.00114135j 0.00896506+0.00737519j 0.00156192+0.00751267j -0.00492673+0.000893591j 0.00857497-0.00146522j -0.0137018+0.00357601j -0.0166727+0.00915223j -0.0243953-0.0061135j 0.00184595-0.0228176j 
-0.00194243-0.0124963j -0.0129979-0.000874943j -0.00780924-0.00647508j 0.000895342-0.00966616j -0.00170873-0.000124981j 0.000185167+0.00314515j -0.00465347-0.00348166j -0.00922127+0.00617599j 0.00601289+0.0111832j -0.00566632-0.00453958j 0.00605945+0.0056716j -0.00720844-0.00339179j -0.00317833+0.00172576j 0.00931242-0.00939116j 0.0027021-0.00296827j 0.00565661-0.00490253j 0.00210699-0.00311542j -0.00392994-0.00112544j -0.0063076-0.000498956j 0.00197318+0.00672156j -0.00645131-0.00119325j 0.00471244-0.00179758j 0.00617873+0.00688272j 0.00207103+0.00626856j -0.00366267+0.00105975j 0.0116741+0.00980955j 0.0126219+0.00790904j -0.00412063-0.00280256j -0.00529747-0.000553335j 0.00321107-0.000238361j 0.00474609-0.00592091j 0.0154171-0.0162251j 0.00691816+0.00862922j -0.00241611-0.00361384j 0.0123435-0.00834036j -0.000322859-0.0195087j -0.0232425-0.00969764j 0.00744785-0.005576j -0.0106582+0.00541602j -0.000822741-0.0128294j 
-0.0123349-0.00583775j -0.0219861-0.00236945j -0.0104382+0.00164125j 0.00322493+0.00168271j 0.00301853+0.00226712j 0.00152649+0.0119238j 0.00326906-0.00586535j -0.00730251+0.0102927j 0.00757073+0.00319876j 0.00353184-0.0016161j 0.00503231-0.0037859j -0.001486-0.00707485j 0.00727257-0.00624212j -0.00183207-0.00350697j 0.0122646-0.013965j -0.00362734-0.00331355j 0.0147984-0.00301472j -0.00199709+0.00797558j 0.00272247+0.00872287j 0.00167808-0.00209213j 0.00316027-0.0100348j -0.00643301-0.0115437j -0.00356067+0.00947965j -0.0112849-0.0163325j 0.00906347+0.0122466j 0.000365996-0.000200963j 0.00407436-0.00260282j -0.00225372-0.00530627j -0.00574966+0.000586321j -0.0105577+0.0142112j 0.00637015-0.0132253j 0.00220386+0.00290934j 0.00913925+0.00658268j -0.00603679+0.0106476j 0.00634568+0.00267449j -0.0170504-0.000536369j -0.000146362+0.0106966j -0.0133809+0.000639545j -0.0035076-0.00108832j -0.00262357-0.00464449j 
-0.00148346-0.00562538j -0.0122326+0.000118482j -0.00099524+0.00271378j 0.00269852-0.0144939j 0.00182198-0.0052746j 0.00305162-0.0094422j 0.00247737+0.00783819j 0.00948736+0.000509313j -0.0042017-0.0092804j 0.00764641+0.00899101j 0.00103941-0.0097207j 0.00971893-0.00310456j -0.00304514-0.00166719j -0.00463603+0.00526405j 0.00233167+0.00695755j -0.00187385-0.00115602j 0.00701117+0.0014753j 0.0104296+0.0107324j 0.00849861+0.00758657j -0.0078168+0.000440551j 0.00501275+0.0125925j 0.0171815+0.00903147j 0.00637505+0.00214568j 0.00676745-0.00636562j -0.00637001-0.0196751j 0.00852237+0.00352203j 0.0104644-0.00331249j 0.00438252+0.000182494j -0.0251444-0.00629514j -0.00423363+0.00363513j -0.0140727+0.0141571j 0.0165414-0.0113512j 0.00822246-0.0162835j -0.00933623-0.0106496j -0.00975022-0.0155292j 0.00308085-0.0066515j -0.011818-0.000558431j 0.00617447-0.00107744j -0.00819441+0.00501756j -0.00334206-0.00697957j 
0.014581-0.00904914j 0.00976758+0.0031256j 0.000813345-0.0124371j 0.00118874-0.0132292j 0.00127449+0.00405244j -0.00555159-0.00942885j 0.00560045+0.00374494j -0.00196545+0.0103233j 0.0135056+0.00408379j -0.00170386-0.0104497j -0.0152923+0.0178164j 0.00303919+0.0165479j -0.00334758+0.00611234j -0.00253515+0.0145482j -0.00202731-0.00436523j -0.00771792-0.000194256j -0.00804259+0.000837929j -0.00601945-0.00445776j 0.000453112+0.00159714j 0.00343017-0.00555107j 0.002914-0.00111792j -0.00573851-0.0063442j 0.00545577+0.00328043j 0.00119746-0.000841402j 0.00167297+0.00950406j -0.00584414-0.012687j -0.0222309+0.00107168j 0.00236218+0.00681135j -0.00263099-0.000786716j -0.00997002-0.0180097j 0.00214305+0.00674128j -0.0188211+0.0160809j 8.24696e-05+0.00128384j 0.00210973+0.00896115j -0.0130514+0.0121841j 0.000350525+0.0117022j 0.00799259+0.0182604j -0.0217111+0.00368749j -0.00402197-0.0103028j 0.00251684-0.000832654j 
-0.00111819-0.00896459j -0.00185903+0.00265796j 0.00161262+6.05139e-05j 0.00106861-0.0103281j -0.0117075+0.00231946j -0.00220439-0.0170987j -0.00991605+0.0107727j 0.00275877-0.0118861j -0.00388781+0.00333661j -0.0175884+0.00128219j 0.0165649+0.00398986j -0.0128102+0.00368551j -0.00228991-0.00836531j -1.54071e-05-0.0138391j -0.000620448-0.0013919j 0.00208682-0.0111093j 0.00538391-0.00929865j -0.0116048+0.00595715j 0.0165217-0.00165714j -0.0178402+0.000804066j 0.00728429-0.0139739j 0.00580009+0.00635976j 0.00474054+0.000599923j -0.00913835-0.0214183j -0.00969104-0.00408142j -0.00846681-0.000387448j 0.00042298-0.00164217j 0.00494653-0.00572496j -0.0147329+0.00167194j -0.00384991+0.00922555j 0.00202452+0.00893511j 0.00725671+0.00336907j -0.00289618-0.0089288j -0.00975083+0.00126823j -0.00362144+0.00612838j 0.00185818+0.00582145j 0.00522868+0.00125799j -0.00491993-0.00163193j 0.000752365-0.00165302j 0.00281735+0.000909516j 
0.00605071-0.00786214j 0.0255011+0.00390793j -0.00600395-0.00655605j -0.00205287+0.00367416j -0.00317388+0.00398466j -0.00302879+0.00193034j -0.0103231+0.00563077j -0.00301401-0.00522418j 0.000572975+0.00378701j -0.018604+0.00507521j 0.000898934+0.0122866j 0.00656613+0.00188228j -0.00296231+0.000301261j 0.00517896+0.0134191j -0.00256656-0.00556677j 0.000474721+0.00289275j 0.00867793-0.00267852j 0.0235815+0.00175673j -0.0030807+0.013684j 0.00778776+0.0114872j 0.00956717+0.0218532j 0.00577928-0.011836j 0.00670455+0.014983j 0.0145853+0.00554508j -0.00440018-0.00778168j 0.028078+0.000277022j 0.00310766+0.00875233j -0.00245512-0.00128189j -0.0156046+0.00283415j -0.00604041+0.00639549j -0.000883215+0.000691187j 0.0182101-0.0186252j 0.00926516-0.00650397j -0.00722795-0.00702364j 0.00382917-0.0125593j -0.00673305-0.0156371j -0.0174832-0.000223528j 0.00768677-0.00073682j -0.00848403+0.0111301j -0.00488638-0.0103239j 
0.00460007-0.00161583j 0.000411613+0.000337021j 0.00504142+0.00141764j -0.000319561-0.0140635j 0.00197157-0.00260259j -0.00495172-0.0157386j 0.0109586+0.0140805j 0.0136335-0.00500635j -0.00950604-0.0141854j 0.0115578+0.0113915j 0.00359898-0.0129958j 0.00731599-0.00727809j 0.00868987-0.00494556j -0.00308301+0.00600466j 0.00944606-0.00252455j -0.00260421+0.00516867j 0.0124508+0.000845249j 0.01285+0.0031088j -0.00167041+0.0098268j 0.0128039-0.00108878j 0.0108241-0.000448767j -0.00949623-0.0152087j -0.0120235+0.0123617j -0.00359372-0.00135872j 0.00989435+0.00753492j 0.00869577+7.61531e-05j 0.00133246+0.00106279j -0.00496258-0.00454377j 0.00902318-0.000766868j -7.29583e-05+0.0194846j 0.00715548-0.0138603j 0.00463304-0.00242546j -0.000400689+0.0100318j -0.00432245+0.00621438j 0.00953116+0.00129444j -0.0104546-0.00263776j 0.00531288-0.00211924j 0.00296684-0.00489154j 0.00449878-0.00226915j 0.00120025+0.00679421j 
0.000716787+0.0044696j 0.00814189-0.000958405j -0.00625848+0.0082905j -0.0107422+0.018169j -0.0107553-0.0184533j 0.0120779-0.00177057j 0.00335676+0.00268851j 0.00550394+0.00151398j -0.00178467+0.00300569j 0.0176748+0.00275245j 0.00983131-0.014647j -0.0139074-0.0175061j 0.00172431+0.00260709j 0.00533276-0.0270709j 0.0048375-0.00105086j 0.00450227-0.00292158j 0.00552438+0.00641213j -0.0114942+0.0100699j -0.000679064-0.00208562j -0.0172533-0.00299878j -0.0142589-0.00637385j 0.00573467+0.00207916j -0.007202-0.0110654j -0.00945323-0.0107793j 0.00508535-0.00161903j -0.00572263+0.0126315j 0.0185724-0.0123386j 0.00261578-0.00636664j -0.00419339+0.00285278j -0.00691924+0.01089j 0.00500917-0.00589068j 0.00605554-0.00272664j 0.0106356+0.000962622j -0.00344211+0.00237854j 0.00609821-0.000107542j -0.0116311-0.00968663j -0.00652534+0.00483888j 0.00160863+0.000827896j -0.00426815+0.0100482j -0.00935239-0.00597666j 
0.00203969-0.000464527j -0.0117841+0.00223835j -0.00967898-0.00669408j 0.00658844+0.014899j 0.00515039-0.00468193j -0.00104724+0.0121053j 0.00327621-0.0090173j 0.0048721+0.0107215j 0.0123631-0.00704543j 0.00208292-0.00406964j -0.0107263+0.00931299j 0.0105757+0.00451048j -0.00579288+0.00482245j -0.00143844+0.0173119j 0.000620551+0.00361424j -0.00250565+0.000844569j 0.00544799-0.00274292j 0.0188169-0.00445753j 0.00619055+0.00167058j 0.0010225+0.0128649j 0.0159983+0.0136808j 0.0144241-0.00409484j 0.00681903+0.0065702j 0.00113237-0.00372977j -0.0160986-0.0103072j 0.00860514-0.00314019j -0.0103651+0.0035195j 0.00272824-0.00164216j -0.0225191+0.00789543j -0.00341484+0.00482633j -0.0032255+0.0198174j 0.0126123-0.00469683j -0.00721812-0.0183323j -0.00816568-0.00252798j -0.0138412-0.00178205j 0.00429183+0.00261541j 0.001787-0.000378446j 0.00118766+0.00577504j -0.00272897-0.00073598j -0.000460697-0.00284974j 
0.00155255+0.00441842j 0.0238198-0.0060215j 0.00142348+0.00195543j 0.00115711-0.00265209j 0.0174737+0.00896085j 0.000224971+0.0154394j -0.00425523-0.0163046j -0.00216762+0.00831435j 0.00396826-0.00742953j -0.00830121-0.00454647j 0.01174-0.00476864j -0.00480632-0.000988865j 0.00707525-0.0181661j -0.00969644-0.00368967j 0.00900693-0.00437658j 0.00152555-0.00988664j 0.014966-0.0130524j -0.00316372+0.00526204j 0.0114498+0.000786117j -0.00109417+0.00362126j 0.0128763-0.00803169j 0.00259018+0.00383958j -0.0012934+0.00682335j -0.00938651-0.0154244j -0.00727512+0.000712828j -5.67722e-05-0.000339714j 0.00478167-0.000454694j -0.00106896-0.00504753j -0.00482771-0.00228292j 0.00130476+0.0148435j -0.0028125-0.000667927j 0.00946695-0.00222393j -0.00653028-0.00559053j -0.00803609-0.0040893j 0.00330034-0.0058515j -0.00185505+0.00208794j 0.00196941-0.00494067j 0.00713981-0.00536244j 0.0113606+0.000575584j -0.00134282+0.0080128j 
0.000937947-0.00473904j -0.00871248+0.00853257j -0.00463479-0.00792462j 0.0119406+0.0172406j -0.0122554+0.00834904j -0.0197856-0.00341974j 0.00391276+0.00951073j 0.0040704-0.0151079j 0.00303557-0.00688759j -0.0198491+0.00582322j 0.00930486+0.0176622j 0.00408654+0.0158724j 0.00203913+0.00165459j 0.000617737+0.00445003j -0.00623496-0.00381717j -0.00372923-0.00304266j -0.00111211-0.00606686j 4.14585e-05-0.00501137j 0.00392663+0.00717831j 0.00842658+0.00157523j 0.00707307+0.00275752j -0.00997387-0.00500489j 0.0153417+0.0097339j 0.00634454+0.00178466j 0.000791214+0.00186664j 0.0116496-0.00989377j -0.00540377+0.0138252j -0.00274351+0.00271352j -0.00326745+0.00336708j -0.00143665-0.00173023j 0.000844788-0.00414379j 0.00223968-0.00502953j 0.00522273-0.00218777j 0.00231615+0.00211311j 0.00361849-0.00164229j -0.00141069+0.000552622j -0.00267102+0.00224441j -0.0015126+0.00587708j -0.00626092+0.00523035j -0.00368622-0.00701242j 
0.00512833-0.0258576j 0.0118439+0.00499972j -0.0267072-0.00246872j -0.00438707-0.0073816j -0.0140573-0.0109852j 0.00357656-0.002119j 0.00957559+0.00145208j 0.00463616+0.0125612j 0.015872+0.00228909j 0.0144536+0.00106732j 0.00350259-0.00383002j -0.00405829+0.0021573j -0.00964395+0.0151026j 0.00558983-0.0140726j -0.00763755+0.00355891j 0.00278164+0.00083815j -0.00268927+0.00222317j 0.00381096-0.00348013j -0.0013213-0.00079979j -0.00335136+0.00540715j -0.00133002-0.00243262j -0.00492282-0.000995542j 0.00329985+0.000454206j -0.00806237+0.000511823j 0.00222336-0.00447841j -0.00289084-0.00227241j 0.00047445+0.000394211j -0.00169866-0.00327588j -0.00478905+0.00584265j 0.00615318+0.0147349j 0.00104103-0.00482208j 0.00787327-0.00224208j 0.00438624-0.00371278j 0.000123737+0.010894j 0.00277136+0.000872932j -0.0108943+0.0102764j 0.00611904+0.00247903j -0.00805226+0.00116607j -0.00152918-0.00630028j 0.00370719+0.000816342j 
0.023268+0.00152525j -0.00384278+0.0050814j -0.00453506-0.0212779j 0.00749578+0.019845j 0.00271201-0.0127542j -0.0166956+0.00270752j 0.0135704+0.000119206j 0.0143065-0.000613074j 0.00651804-0.0145925j -0.000252364+0.00546952j 0.0112719+0.00518084j -0.00192789+0.0115837j -0.00330629-0.0024677j -0.000505962-0.00576022j -0.000838247+0.00543154j 0.000741587-0.00767174j -0.00182825-0.00510776j -0.00714586-0.00541354j 0.00192434-0.0022503j 0.00470574+0.00148403j 0.00962937-0.00156337j -0.00197065+0.00153076j 0.00649096+0.00485431j 0.0021994-0.00227673j -0.00528707+0.000889581j 0.00580402-0.00638096j -0.0011288+0.0080464j -0.00108269+8.43449e-05j 0.00111073-0.0039665j 0.0018678+0.00430752j 0.00135338+1.7581e-06j 0.00465137-0.00190874j -0.00435147+0.000291302j -0.00537828-0.00264605j 0.00176898-0.00399592j -0.00312542-0.00397833j -0.00178782-0.00529121j 0.00886997-0.00874167j 0.0102723-0.00134548j -0.000805748+0.00697126j 
