0.323507+0.072934j 0.0712614-0.333462j -0.127478-0.0961255j 0.0939536-0.164704j 0.0554046-0.0682564j -0.0149445+0.00178686j 0.104277+0.102272j 0.0313868-0.0459436j -0.0653882+0.000895409j -0.042722+0.14005j 0.0751819-0.0489322j 0.0425941+0.0165691j -0.0668587+0.110495j 0.074075-0.00942081j 0.0626606+0.025806j -0.0751049-0.0627111j -0.0441382+0.00666727j 0.0495326-0.0430432j 0.199271-0.0281921j -0.0228347-0.0275209j 0.123179-0.0424396j -0.0724286-0.0779385j 0.162326+0.194649j -0.105585+0.148659j -0.0554186-0.367369j 0.36021-0.0567968j 
0.130592+0.0634951j 0.064789-0.135405j -0.0704813-0.0460088j 0.0425761-0.0948499j 0.0252689-0.0144308j -0.00355338+0.0032016j 0.0260448+0.0610204j 0.027164-0.026976j -0.0399164-0.00373307j -0.0279639+0.0605095j 0.0419009-0.025083j 0.0186723-0.00730856j -0.0517953+0.0531868j 0.0420858-0.00554473j 0.0495947+0.0151258j -0.033912-0.0293287j -0.00247862+0.0182538j 0.0174202-0.00987005j 0.121498-0.0113299j -0.00187612+0.000830258j 0.0505171+0.0109207j -0.0531618-0.0380359j 0.0780306+0.137484j -0.0837376+0.0834227j -0.0737834-0.123309j 0.117655-0.0777909j 
-0.0276753+0.0205528j 0.0212883+0.0240832j -0.00631531+0.00135714j -0.00254262-0.0206155j 0.0207206-0.000775749j -0.0138446-0.0153104j -0.000773206+0.0166189j 0.00450595-0.0204418j -0.033717-0.00412959j 0.0160667+4.58954e-05j -0.00690784-0.00105806j -0.0185473+0.0146356j -0.000195306+0.0107161j 0.00891532-0.0320762j 0.0158462-0.0331333j 0.0173176+0.0201613j 0.00585173-0.0118898j 0.0149936+0.00322413j 0.0188334+0.00495612j 0.00495131+0.0102392j 0.0129765+0.00974407j -0.015737+0.00490573j 0.00476706+0.0160489j 0.00927873-0.000638256j -0.0188349-0.00909347j 0.00597959-0.0195218j 
-0.00413998+0.0251449j 0.0278774+0.000810419j -0.0115303+0.00209058j -0.00714504-0.0219452j -0.0186838+0.0262591j 0.00901122+0.0194704j -0.0221369+0.0137311j 0.0141201+0.00814946j 0.00311609-0.00353754j 0.00148676+0.00871382j 0.00327617-0.00859423j 0.0118345-0.0252323j -0.0315183+0.00205139j 0.00350077-0.0207543j 0.00552085-0.000205176j -0.0121078-0.00672208j 0.0239463+0.0311542j -0.00547555-0.0084611j 0.0389418-0.00142955j 0.00619387+0.0244193j 0.000115888+0.0217614j -0.0245464+0.0136818j 0.00364504+0.0175783j 0.0153683+0.00443646j -0.0195065-0.000684299j -0.00289974-0.0201516j 
0.0439195-0.015252j -0.0128468-0.0427221j 0.00944429-0.00318709j 0.0036076+0.0274436j -0.0133396-0.00909902j 0.0108492+0.0184388j 0.00975251-0.00246655j -0.00958231+0.0174053j 0.0163564+0.000929257j -0.00571723+0.00199516j -0.00596131+0.00224056j 0.00933376-0.00741238j 0.00683914+0.00031734j -0.0033175+0.000988626j -0.0205161+0.00946124j -0.0171763-0.00529124j -0.00844034-0.007122j -0.00116483-0.0180175j -0.0173259-0.00113678j -0.00205451-0.0152808j 0.000727688-0.0180754j 0.0200483+0.00374478j 0.00335653-0.0259315j 0.0183953-0.00566658j 0.0231056-0.0505558j 0.0519558+0.0229409j 
0.0223499+0.00980722j 0.00902295-0.0233777j -0.00411032-0.0169376j 0.0225558-0.008288j 0.00879531-0.000151474j -0.00451134-0.00872639j -0.00747441+0.00704647j 0.00164052-0.00366693j -0.00799923+0.000662046j -0.0207342-0.00482957j 0.0160104-0.000582993j -0.00273798+0.015526j 0.0129518+0.00239302j 0.00650667+0.0250742j -0.00437025+0.0107903j -0.00609016+0.0022178j -0.000901734-0.00586373j 0.00721957-0.0146368j -0.000542186+0.000140189j 0.000635716-0.0154394j 0.00139276+0.00764667j 0.0143566+0.0041379j 0.032095-0.00706333j 0.00269855+0.0360343j -0.0121903-0.0285649j 0.0275091-0.0103907j 
-0.0298052-0.00698194j -0.011019+0.0296028j 0.00561463+0.0121113j -0.00962623+0.00744121j 0.00205887+0.00216199j -0.000661469+0.00582494j 0.00796613-0.0154455j -0.00105261-0.0123461j 0.0194568+0.00590348j 0.00949664+0.00645197j -0.0105244-0.0122813j 0.0114875-0.0046575j 0.00629216-0.00318245j -0.022728-0.00214644j 0.0146005-0.000252392j 0.00641595+0.000426817j 0.00479565+0.0102999j -0.000981467+0.0166943j 0.00537566-0.00599398j 0.00242854+0.00810866j -0.00915043-0.00656531j -0.0126409+0.00112576j -0.00976929+0.0101168j -0.0158156-0.0176336j 0.0116705+0.0211882j -0.0212599+0.0120061j 
-0.00183802-0.00557249j -0.00811259+0.00232733j -0.0269363+0.0101579j -0.0111736-0.0326792j 0.00839771-0.00981287j -0.0280293-0.0051911j -0.0137794+0.0101816j 0.00857255-0.00140997j -0.011115-0.0170062j 0.000160415-0.024741j 0.0106654-0.00890575j -0.00713951+0.00997445j -0.00769945+0.00836462j -0.018462+0.016707j -0.00554337+0.00770627j -0.0230498-0.0151612j 0.00216166+0.0161981j -0.00440399+0.000752624j 0.00134177-0.0118121j 0.00895504+0.0147089j 0.00458202-0.00387564j -0.0127339+0.0042013j -0.010672+0.00211863j 0.00210922-0.0115602j 0.00852395-0.00506561j 0.00639605+0.00922712j 
-0.0164943+0.0037367j 0.002133+0.0163126j -0.00715681-0.0141027j 0.0111732+0.00509123j 0.0192778-0.00748537j 0.00285281-0.00220769j -0.000110787+0.00149679j -0.00998774-0.0292345j 0.0143682+0.00753199j -0.0163338+2.22673e-05j -0.00305688-0.0167252j 0.0179863-0.017818j 0.0152346-0.00815542j -0.0249537+0.000983089j 0.0173695+0.0164831j 0.00553898-0.00660665j 0.0115212-0.00813868j -0.000640038-0.00495318j 0.00558994-0.00127884j 0.00593608+0.00170877j -0.0027828+0.0162135j 0.0104743+0.0094804j 0.00194107-0.0183993j 0.0179943+0.00196369j -0.004045+0.00105376j -0.000854893-0.00304066j 
-0.0313304+0.0108594j 0.00457241+0.0280542j -0.0178769+0.000804543j -0.000708557-0.0193792j -0.00131278+0.0230423j 0.00770584+0.0149466j -0.00125323-0.00471345j 0.00876184+0.00767596j 0.0129687+0.001948j 0.0133188+0.00862347j -0.00101984-0.00406968j 0.0114435+0.00408644j -0.00648915+0.0106092j 0.00437109+0.00272995j -0.015025+9.37872e-05j 0.0101263-0.000430075j 0.0122799-0.0141403j 0.00197218-0.0132761j -0.00250595-0.000230933j 0.0161268+0.0101634j 0.0048707+0.000717611j 0.0151296+0.0101234j 0.00651877-0.0233448j 0.0147146-0.00312538j -0.00124032+0.00295756j -0.000972536+0.0039137j 
0.0194463-0.00776227j -0.007831-0.0186868j 0.00218311+0.000817241j -0.000600115-0.00256242j -0.0014631-0.0156011j -0.00309172-0.00362763j 0.017403-0.00219792j 0.000801735-0.00212906j -0.00635016-0.00228887j 0.000794237+0.00688909j 0.00298806+0.00646221j 0.00418358+0.000640605j -0.0164915+0.00310125j -0.00228244-0.00296003j 0.00211956+0.00588665j 0.00247168-0.0143957j -0.00366882-0.00900754j 0.0070667+0.0117063j -0.0057657+0.00160978j -0.00361473+0.0202358j 0.0118835-0.00347515j -0.0127608-0.00224668j -0.00566274+0.00148509j 0.00198218+0.0079685j 0.00664792-0.0181538j 0.0190192+0.00805048j 
0.009335-0.000502001j -0.00153843-0.00816921j -0.00974442+0.000840244j -0.00372846-0.00843585j 0.000219476-0.0125664j 0.00341121+0.00465859j 0.0158959-0.00279436j 0.00207556-0.0095475j -0.0103009-0.00265493j 0.000290694+0.00388195j 0.00251964+0.00697232j 0.0104213-0.00719844j -0.0181562+0.0174285j -0.00258442-0.00152701j 0.00100051+0.0124399j -0.00243227-0.019931j -0.0013035-0.0197795j 0.0114671+0.00371118j -0.00438695+0.00521139j 0.0153234+0.0220975j 0.0134393-0.00238595j -0.0059492+0.00461941j -0.00429479+0.00366912j 0.000577939+0.00947538j -0.00129977-0.0201488j 0.0229244-5.74905e-05j 
0.0176232-0.0121423j -0.00712316-0.016199j -0.00320979-0.0116681j 0.00947269+0.0130331j 0.00185337-0.0156803j -0.00516421+0.00844552j -0.00190776+0.0105085j -0.00586758+0.00220325j 0.00149867-0.00442392j -0.00847028-0.00848874j -0.00215463-0.00450644j 0.00262572-0.00501653j 0.00220268-0.000447533j -0.00124822-0.00639305j 0.00201011-0.0020487j -0.00919215-0.00149901j -0.00363129+3.32546e-05j 0.00561463-0.00257887j -0.00445288+0.00429213j -0.00315765-0.00584539j -0.00391239-0.000851461j -0.000487309-0.00246721j 0.0055533+0.00779762j -0.0074162+0.00575364j 0.00534811-0.00810785j 0.00733797+0.00136922j 
0.0103273+0.00661478j 0.00443336-0.0119247j -0.00279914+0.00512319j 0.00921414-0.00115679j -0.00230311+0.00724695j -0.00490016+0.0140838j -0.00201241-0.000664333j 0.012467+0.0106762j 0.0118536-0.00803057j 0.00125412+0.00456868j -0.00301175-0.00470805j 0.0028034+0.0133838j -0.00463951+0.00312477j -0.0051953-0.000888016j 0.00700715+0.00540666j -0.00463611-0.000599663j -0.0141038-0.00853235j -0.00448289+0.011094j -0.00978761-0.00192683j 0.00378291+0.00460372j 0.0153627-0.0107381j -0.00609963-0.0145473j 0.00887562+0.00233338j -0.00628998+0.00889048j -0.00435818-0.00603493j 0.0058938-0.00432483j 
