0.0414244-1.3219e-14j 0.0154125-2.87824e-15j -0.0148459-1.75901e-17j -0.0183989+1.49504e-17j 0.0210119-9.70626e-18j -0.00030887-1.92788e-17j 0.0144451-6.55154e-18j -0.0147696-5.87201e-19j -0.0236923+6.39755e-18j -0.0214946+1.97793e-17j 0.0085321-1.38533e-17j -0.0201411+3.59694e-17j -0.00557338-6.37533e-17j 0.0343145-7.69265e-17j -0.00670622+1.89722e-16j 0.0110822-1.84436e-16j 0.0109397+4.13907e-16j 0.0263269+3.59219e-16j -0.000904963-2.07549e-16j -0.00159741-1.97918e-17j 0.00138294-1.06863e-16j -0.0168348-1.91764e-16j -0.00524844-2.23633e-17j -0.00104726-5.52891e-17j 0.00159398+8.69879e-17j -0.0250811+1.05594e-17j -0.0104447-1.37828e-17j -0.0207598+2.01147e-16j -0.00242662+4.99442e-16j -0.000195745+1.04405e-16j -0.0172956-2.42125e-16j -0.00253141-7.2613e-17j 0.00650055-8.11776e-17j -0.0134943+1.5955e-17j 0.00670751-7.51906e-17j 2.70777e-05-4.88063e-17j -0.016893+2.42138e-16j 0.00759827+1.81659e-16j 0.00177989+2.62048e-17j 0.00317653-4.62692e-17j 0.00656672-1.60324e-16j 0.0148332-1.70412e-16j -0.0168829-1.17807e-16j -0.00438277-2.80705e-17j -0.00800869-1.86813e-17j -0.0109417-9.6142e-17j 0.00608086-1.13995e-17j 0.0160797+3.11349e-17j 0.0259241+5.20041e-17j 0.005581+1.96356e-17j 0.000157224-5.73758e-18j -0.016915+2.0247e-18j 0.00998352-1.15903e-16j 0.0259568-9.80552e-17j -0.0332444+1.16074e-15j 0.00599659-5.27802e-15j 
0.0218113-4.1992e-15j -0.0347256-9.12967e-16j 0.000459707+4.86351e-17j 0.0114446-4.53082e-17j 0.00562041-1.32387e-17j 0.0184111-1.08214e-16j 0.00735035-1.16122e-17j 0.0198118+1.86617e-17j 0.00211714+8.71927e-18j -0.00361889-4.38648e-18j -0.015317+2.35816e-17j 0.0105115-6.96942e-17j -0.00867254+4.48844e-17j -0.00971993+1.03599e-17j -0.0319051+5.69904e-16j 0.0187522-5.32433e-16j 0.00668339+3.65618e-16j -0.0261477-4.51748e-16j 0.0142695+1.07896e-16j 0.0114016+6.97159e-17j -0.00297905-8.52437e-17j -0.0410626-2.73472e-16j 0.00905747+2.09731e-17j 0.00219222-2.30724e-17j -0.00669484-3.80839e-17j 0.0012591-1.27315e-16j 0.00773495+1.41713e-17j 0.00776972-3.83244e-17j 0.00163146-1.69109e-16j 0.00724387-5.84497e-17j 0.00566153+6.04468e-17j -0.00798174+5.85339e-17j 0.00357648-2.78492e-17j -0.014664-2.6639e-17j 0.0336848-1.80994e-16j 0.0116931+5.4953e-17j -0.00810528+8.73708e-17j 0.013792+2.02406e-16j 0.00182092+2.11531e-16j -0.00164387-8.95208e-17j 0.0108331-2.12364e-16j 0.0134483-9.45564e-17j -0.00916294-6.43432e-17j 0.000939876-5.45011e-17j 0.0150393+2.66777e-17j 0.00682809+8.2355e-17j -0.00857695-1.89937e-17j 0.00134072+6.49353e-18j -0.00881716-1.73237e-17j -0.0036371-2.19184e-17j -0.00035385+2.36289e-18j 0.0170499-9.698e-18j 0.00861382-4.70042e-17j 0.00661301-5.40099e-17j -0.014298-2.71015e-15j -0.0341548+1.23689e-14j 
-0.0188063+3.55688e-15j 0.030933+7.59364e-16j 0.0499188-2.36417e-16j -0.0129074+2.64531e-16j 0.00057385-6.11421e-19j -0.00633949+3.66581e-17j 0.00864728+1.3663e-17j 0.00507371+4.68674e-17j -0.0307825+6.512e-18j -0.00673306+1.57819e-17j 0.0167479-1.05711e-17j -0.00844442+5.20491e-17j 0.00148966-7.42307e-17j 0.0314742-8.70486e-17j -0.0121856-5.81176e-18j -0.0105511-6.05291e-17j 0.0146879+6.91111e-16j 0.0084655+1.81595e-16j -0.0205308-8.26739e-17j -0.0255608-4.19292e-17j 0.0108522+7.33469e-17j 0.0249973+2.10056e-16j -0.0222292+3.39262e-17j 0.0433198-9.09139e-17j -0.00263624+1.74688e-17j -0.0203029+1.359e-16j 0.0107353+6.56362e-17j -0.00535727-3.16157e-16j 0.0112077-2.36271e-16j 0.0171054+1.62816e-16j 0.00638884+1.43915e-16j 0.00917793+2.69083e-17j -0.0114406-4.5787e-17j -0.00582442+3.12179e-17j -0.032163+2.39096e-16j 0.00311814-6.74805e-18j 0.0122607-1.58308e-16j -0.012791-7.10673e-17j 0.00515887+2.0724e-17j 0.00391578+7.81868e-17j -0.0165707+2.34149e-16j -0.0117611+1.13689e-16j -0.0193428-9.48264e-17j 0.00611675+3.23501e-17j -0.0151556+4.98827e-17j 0.0097729-6.48561e-18j 0.00238958-1.4788e-17j -0.00939679-6.51778e-18j -0.00789649-2.68583e-17j -0.00905478-2.50769e-17j -0.0193157-1.13655e-17j -0.0191079+3.84707e-17j 0.0137513+4.60861e-17j -0.0301683+5.19717e-17j 0.0107369+3.63826e-15j 0.04405-1.66303e-14j 
-0.0293988+8.40462e-15j 0.00560985+1.73796e-15j -0.0333992+2.50888e-16j -0.0086648-2.89721e-17j -0.0215876+7.03226e-17j 0.00184705-6.91842e-18j -0.0159139+8.56157e-17j 0.00974044+4.36406e-20j 0.014756-3.99465e-17j 0.00592883+1.5951e-17j 0.00775203-8.11362e-17j -0.00752785+1.21793e-16j 0.00563493-1.51216e-17j -0.00869755+5.83174e-17j 0.0248733-5.62133e-16j -0.0127651+4.74064e-16j -0.00830281-3.93417e-16j 0.0209902+2.56799e-16j -0.0217105+4.84509e-17j 0.00494971-5.13066e-17j 0.0148727+1.2279e-16j 0.0421148+1.72338e-16j -0.00729406+1.07271e-17j -0.0129832+1.70761e-16j -0.00354444+1.57527e-17j 0.0256731+5.03588e-17j -0.0141169-1.06965e-16j -0.0262231+9.10953e-16j -0.0279084+1.35081e-15j -0.022885+1.42199e-16j 0.0113272+2.76683e-16j 0.000865206+1.50139e-16j 0.0078854+9.72122e-17j 0.0247722-6.85751e-17j -0.0146356+1.6857e-16j -0.00650221+3.35816e-17j 0.0126737-2.54449e-16j -0.0175615-4.10324e-16j -0.0181295-6.18144e-16j -0.00420452+1.61327e-16j -0.00506664+2.38238e-16j -0.0262284+2.70674e-16j 0.0319746+6.84736e-17j -0.00568154+9.43089e-17j 0.00542978+6.09346e-18j 0.00328425+5.4194e-17j -0.00822692+3.59188e-17j -0.0130366+7.16117e-18j -0.0101489-4.04439e-17j -0.00183376+4.01316e-17j 0.0143476-8.75015e-17j 0.00247836+8.12684e-18j -0.0269233+1.37261e-16j 0.0198807-8.70865e-17j 0.030946-7.62061e-16j -0.000927601+3.0213e-15j 
-0.065929+2.2689e-14j -0.0481661+5.39536e-15j 0.0429533-1.9501e-16j 0.0449163-2.83618e-16j -0.0344501+1.24302e-16j 0.00309546-1.67794e-16j -0.0174547+3.11175e-17j 0.0379398-3.43257e-16j 0.0437258-1.9769e-16j 0.0414299-1.87322e-16j -0.0255866+2.62117e-16j 0.0457293-3.85933e-16j 0.00742309+1.78065e-16j -0.0700263+4.97092e-16j -0.0102121+3.4506e-16j -0.0106424-1.0973e-16j -0.0174863-5.94477e-16j -0.0709785-5.42292e-16j 0.0162502+3.2615e-16j 0.00711579-2.06289e-17j -0.00769669+1.70087e-16j 0.00473482+4.81659e-16j 0.0191514-4.74465e-17j 0.0115913-4.34509e-17j -0.00579522-9.74172e-17j 0.0443627-2.99949e-16j 0.0287324-8.80197e-17j 0.0508851-1.01492e-15j 0.0187683-1.61189e-15j 0.0101334-3.40124e-16j 0.0359965+2.42001e-16j 0.00364733+1.84033e-16j -0.0149168+1.33583e-16j 0.0100621+1.21539e-17j 0.00556596-2.29883e-16j 0.00662515-9.46661e-18j 0.0262176-4.46989e-16j -0.00248907-1.75804e-16j 0.00397643+2.6991e-16j -0.00466612+4.6643e-17j -0.00654846+1.09502e-16j -0.0157939+2.25301e-16j 0.0205714+1.57023e-16j 0.0115311-3.5848e-17j 0.0191814-1.63591e-16j 0.0231321+2.93672e-17j -0.0140954+1.58459e-16j -0.0310229+8.11558e-17j -0.0546618+2.33719e-16j -0.00849933+3.05823e-17j -0.00908238+5.54442e-17j 0.0404842-3.10331e-16j -0.00751172+1.65216e-16j -0.0576875+3.70935e-16j 0.0521594-3.49634e-15j -0.0271003+1.57085e-14j 
-0.0545959+1.27058e-14j 0.0513811+2.41689e-15j 0.00158354+1.21024e-16j -0.00668279+2.49296e-16j -0.0183198-4.9104e-17j -0.0365988+3.52895e-16j -0.0198441-3.09246e-18j -0.0367185+2.11708e-16j 0.0125451+1.39591e-16j 0.0194692+1.07172e-16j 0.0190339-1.98696e-16j -0.00431363+2.90429e-16j 0.0175158-5.35931e-17j -0.0059405-2.61629e-16j 0.064798-1.36625e-15j -0.0370053+1.15274e-15j -0.0224232-1.10759e-15j 0.031193+1.74607e-16j -0.0177073+6.85875e-17j -0.015473-2.615e-17j -0.00173193+1.22851e-16j 0.0754972+2.77504e-16j -0.00701425+8.35852e-17j -0.0141089+1.53727e-16j 0.0163082-5.03934e-17j 0.00941984+3.40633e-16j -0.00882094+1.64184e-16j 0.00360405+4.19388e-17j 0.00370717-1.51814e-16j -0.0138612+9.71299e-17j -0.00580535+5.68545e-17j 0.0139848-1.51434e-16j -0.0112185+5.29431e-17j 0.0322458-2.60492e-17j -0.0592221+5.4516e-16j -0.0228783+2.13196e-17j 0.0203752-2.11756e-16j -0.0231655-3.36635e-16j -0.00380272-2.69061e-16j 0.000661966+1.10335e-16j -0.0195496+4.3875e-16j -0.0248423+2.42742e-16j 0.0268659+1.90988e-16j 0.00086154+1.383e-16j -0.0218115+8.62129e-17j -0.0112937+6.9974e-18j 0.0157034-5.96133e-17j -0.00535036-1.30439e-16j 0.0089498-2.22993e-16j 0.00845205-2.88495e-17j 0.00070873-2.05646e-17j -0.0200614+2.51243e-16j -0.0205892+1.75763e-16j -0.024815-1.65241e-17j 0.0370444+4.03831e-15j 0.0533149-1.83184e-14j 
0.00458092-1.99091e-15j 0.010195-4.65135e-16j 0.00834154-8.6735e-17j -0.0207652+1.28804e-16j 0.00800409-2.49501e-17j 0.0440126-1.8486e-16j -0.00940179-2.17979e-17j 0.0179542+6.44739e-17j -0.0215131-2.52441e-17j -0.0216231-3.11512e-18j 0.00679923+2.36366e-17j -0.00587086+3.33105e-17j -0.0131852-6.55476e-17j 0.0340226-5.83626e-17j -0.0186331+1.37755e-16j 0.00185703-2.35915e-16j 0.03079+1.48561e-15j 0.010436+2.13077e-16j -0.0274014-1.4469e-16j -0.0175835-2.69722e-18j 0.0131946+1.36333e-17j -0.00442897-7.12713e-17j -0.0398783-1.16335e-16j 0.0181708-4.39901e-17j -0.0114235+2.44308e-17j -0.0156633+1.07635e-18j 0.00317496-1.52218e-16j -0.0112273+8.03191e-16j -0.0369435+1.17201e-15j 0.0126532+6.63128e-17j -0.000670986+1.70411e-16j -0.00323003+5.68416e-17j 0.0166521+1.59268e-17j 0.00839029+4.71789e-17j -0.0115302+9.81485e-17j 0.0128049-8.0487e-19j 0.00225029+2.77743e-17j -0.0207419-3.11901e-16j -0.0119707-6.53002e-16j -0.00270094+1.09886e-16j -0.0115517+1.79864e-16j -0.017788+1.22835e-16j -0.021176-1.84841e-16j -0.00306565+1.24865e-17j 0.00516185+1.53907e-16j 0.02021+1.31601e-16j -0.00853274-8.56689e-17j 0.00641231+4.3796e-17j -0.0115527-6.70506e-17j -0.0369789-4.92739e-17j 0.0147682-1.57744e-17j -0.00806153+1.51874e-17j 0.0067378-5.87538e-17j 0.0182953-6.63337e-17j 0.000433216+1.48691e-15j 0.0172482-6.84655e-15j 
0.0235752-6.38892e-15j -0.00467151-1.46529e-15j 0.00632649+6.77912e-17j 0.0116165+8.0976e-17j 0.022704+2.15224e-16j 0.0477787+2.21432e-16j -0.0276093-3.45097e-16j -0.0348894-4.64408e-16j -0.0113205-1.40023e-16j -0.0177084-2.10842e-16j -0.00696002+3.82132e-19j 0.0259686+1.68266e-16j -0.0239582-1.58931e-16j -0.0125834-8.19407e-17j 0.00198227+1.75259e-16j 0.0143903+3.07473e-17j 0.00650719+4.55589e-16j -0.0248738-4.58101e-16j -0.00748082+4.00165e-18j -0.00396018+3.04791e-17j -0.0214694-4.59751e-16j -0.0409561-9.12462e-16j -0.0163251-2.39164e-16j -0.0361993-4.05487e-16j 0.0119699+1.84145e-16j -0.0280596-6.02348e-16j 0.0178963+1.8188e-16j 0.045865+7.02716e-16j -0.0240921-3.3976e-16j 0.0203342-5.36759e-17j -0.0239273-8.6673e-16j -0.0343668-5.94926e-16j -0.0114358-2.13416e-16j 0.0122552+1.09516e-16j 0.0183941-1.45255e-17j 0.0064736+6.49987e-17j 0.00759011+5.52601e-17j 0.00264499+1.3418e-16j 0.00666287+3.71829e-16j -0.0158395-4.2463e-16j -0.00053822-1.08583e-16j 0.0193565+2.09818e-16j -0.0236032-4.08552e-16j 0.00479106-5.96132e-17j 0.0174886+2.5076e-16j 0.00625484+1.21437e-16j 0.0106189+8.36228e-17j 0.0380918+4.84661e-16j 0.0284618+3.77428e-16j -0.0371678-3.64112e-16j 0.0321106+3.16604e-16j 0.00541127+2.50522e-17j 0.0124875+1.22926e-16j -0.00766119-7.6414e-17j -0.0278089+5.75336e-16j 0.00416075-4.00348e-15j 
0.00942432-1.7314e-15j -0.0168958-3.02363e-16j 0.0184893-3.98495e-17j 0.0206986-7.33302e-17j 0.0167198-5.80833e-17j 0.0122858-1.32587e-16j -0.0288122+5.89223e-17j -0.00440128-2.75813e-17j 0.0295712-8.27672e-17j 0.0046283-2.82405e-17j -0.00935071+1.86042e-17j 0.0067119-2.38791e-17j 0.0207318-9.44219e-18j -0.0347362+1.03663e-16j 0.00785335-1.84504e-16j -0.0106697+1.55843e-16j 0.00874457+5.43304e-16j -0.0407943-5.80957e-16j 0.0327115+1.61731e-16j -0.00256372+6.85836e-17j -0.0144882-3.54798e-17j -0.0411003-1.2122e-16j 0.0170315+2.6579e-18j 0.00105125-1.28427e-17j -0.014999-7.49086e-17j 0.0145707-2.19276e-16j 0.0107597-2.17212e-17j 0.0483319-2.91322e-16j -0.00733843-6.13502e-16j 0.0234288-3.59887e-16j -0.018194-1.6592e-16j 0.00542132-1.64982e-16j 0.00607541-6.92551e-17j 0.00590294-9.75152e-17j 0.0250939-2.65352e-16j 0.00986952+1.06675e-17j -0.0231458+7.39153e-16j 0.00503048+9.30435e-16j 0.0504135+1.10986e-15j 0.00862031-3.26568e-17j -0.000283009-1.20583e-16j 0.016981-1.90641e-16j -0.0252667-9.00698e-17j -0.00763279-8.86675e-18j -0.011816+1.03252e-17j -0.000459647-9.22696e-17j 0.00588285-3.5507e-17j 0.00807115-3.35948e-17j -0.00158226+3.67186e-18j -0.0155948+7.54507e-17j 0.0278099-6.29953e-17j 0.0099174-5.17791e-17j 0.0181811-4.28212e-17j -0.0222858+5.61814e-17j -0.0209676-3.51954e-16j -0.00926234+1.90903e-15j 
-0.0208691+3.35088e-15j 0.0441999+7.55042e-16j 0.117769-5.00717e-16j -0.0176553+5.18144e-16j 0.00823023+2.05867e-17j -0.0177432+4.69415e-17j 0.0401781+5.99969e-17j 0.0198731+1.08238e-16j -0.0645192-4.20029e-17j -0.00998403-2.40706e-17j 0.0178337+6.42243e-17j -0.00597265-5.81343e-17j -0.00289546-1.15705e-16j 0.06806-1.49818e-16j -0.0519754+4.53602e-16j -0.00760068-5.66121e-16j 0.0331123+1.58535e-15j -0.000656293+6.34961e-17j -0.018671-1.19043e-16j -0.0485131-7.13496e-17j 0.0137461+7.96248e-17j 0.0186831+2.3522e-16j -0.034117+9.52254e-17j 0.0983764-1.91654e-16j -0.00309975-1.77547e-17j -0.0505761+1.81118e-16j 0.028673+2.36859e-16j 0.00136856-1.39792e-15j 0.0506195-1.47562e-15j 0.0445316+3.20053e-16j 0.0145866+2.47466e-16j 0.0240522+3.50902e-17j -0.0214712-1.58097e-16j -0.0348881+1.09685e-17j -0.0533738+4.31344e-16j 0.0121049-1.14583e-17j 0.0140176-2.63983e-16j -0.0109988+2.68893e-18j 0.00863644+2.17166e-16j 0.0133989+1.38905e-16j -0.0261954+3.15737e-16j -0.01038+1.39517e-16j -0.052406-2.87575e-16j 0.0172125+1.64433e-17j -0.0267114+5.13332e-17j 0.0206064-1.43789e-17j 0.00477407-3.11751e-17j -0.0172435-2.46638e-17j -0.0240573-8.87002e-18j -0.00886923-5.72683e-17j -0.0612044-2.71402e-17j -0.0325741+3.45708e-17j 0.0417734+7.55437e-17j -0.0662014+8.70412e-17j 0.00933527+6.19643e-15j 0.0735405-2.8465e-14j 
0.00942658-5.70961e-15j 0.0464642-9.75069e-16j 0.00108504-1.78977e-16j -0.0016404-2.12273e-18j 0.0223081+1.44966e-16j -0.0423675-3.34319e-17j -7.70345e-05-5.35921e-17j -0.0717496-5.99859e-16j 0.0174948+1.5714e-16j 0.015223+5.94266e-17j -0.00109983-8.68275e-18j 0.0018584+1.27088e-17j 0.00818983+8.35049e-18j 0.0132213-8.43952e-17j 0.0544567-3.39841e-16j -0.0197398+6.60656e-16j -0.01388-9.02339e-16j 0.0298576+5.54216e-16j 0.0328463+1.04871e-16j -0.0140775-9.4178e-17j -0.0384541-4.52566e-16j 0.00433055-1.14392e-16j 0.0053368-6.29373e-18j -0.0350297-4.01033e-16j 0.0315855+2.76589e-16j -0.0249754-1.43652e-16j -0.00567605+1.16214e-16j 0.0451137-8.67648e-16j 0.036548-1.69333e-15j 0.00617084-2.07099e-16j -0.040233-9.90784e-16j 0.0262582-3.13467e-16j 0.0084291-8.51784e-18j 0.0071548+6.97409e-17j -0.0395043-6.33663e-17j -0.0207787-2.91261e-16j -0.0200041+2.3005e-16j 0.00311354+1.85569e-16j 0.00464358+8.59163e-17j 0.00840913+2.428e-17j -0.00403453-2.1572e-17j 0.0165984-1.7626e-17j -0.00877816-1.19603e-17j -0.00297758-9.89494e-18j -0.0366607-3.35606e-16j -0.0344286-5.5258e-16j 0.0329584+2.46533e-16j 0.0326781+2.80859e-16j 0.0344821+3.78858e-16j 0.0203395+1.73989e-16j -0.00491225+5.53378e-17j -0.0262047-1.28779e-16j 0.00907284-1.03613e-17j -0.0122553+3.4064e-17j -0.0215921+4.0613e-15j 0.0433616-1.8931e-14j 
