0.00398131-0.00369072j 0.00800778-0.000982062j -0.0029748-0.00230064j -0.0131997+0.00431057j 0.00897775+0.000221058j -0.00706431+0.00411805j 0.00473064-0.00309739j -0.0101594-0.000454902j 0.00109773+0.000192822j -0.00236823+0.00185062j 0.00634495-0.00279732j 0.000256328+0.0018459j -0.00154534-0.00104765j 0.00438236+0.00232204j -0.00202499+0.000868259j -0.00942202+0.00231027j 0.00727288-0.00126481j -0.000513072-0.000678491j 0.000489128-0.000620739j -0.00135721+0.00384458j 0.00191669-0.000514174j -0.0046263+0.00118637j 0.000588759+0.00130855j -0.00753701+0.00309015j 0.000859253-0.000241951j 0.00803732-0.00332391j -0.0110413+0.0019907j -0.000484274+0.00126545j 0.00762291-0.0026984j -0.00582003-0.000600075j 0.00736407-0.004935j -0.00316524-0.00401544j -0.0030137-0.00220421j -0.0101109+0.00183206j 0.00234829-0.00260739j 0.000435841-0.0032556j 0.00735291-0.00146385j -0.00936586+0.000977696j -0.00639257+0.00715464j 0.00629138-0.000460877j 0.00609451-0.00153019j -0.00300292+0.000988626j -0.00243795+4.77415e-05j 0.00331189-0.000122182j -0.00683136+0.000563431j 0.00549229-0.00360685j 0.00915585-0.00410462j 0.00463484+0.000522674j 0.000909854-0.00196935j 0.00434745+0.00482892j -0.00306172+0.00161521j 0.006245+0.00313369j 0.0101189+0.00196322j 0.00775906+0.00165567j 0.00182634+0.00254965j -0.00413858-0.000613632j 0.000827134+0.00399296j -0.00569777-0.00343409j 0.000968169+0.00365286j 0.00537428+0.00141035j 0.00985333+0.00251412j -0.0060985-0.00460776j 5.51288e-05+0.00475421j 0.00130798-0.00107209j -0.00441736+0.00285868j 0.00345872+0.00151346j -0.000987327+0.00619269j -0.0143864-0.00883787j 0.0052197-0.00175654j -0.00938258-0.00802143j 
-0.00631747-0.000651237j 0.0106467-0.00578466j -0.00515425-0.000157699j -0.00491515+0.00226659j -0.00144966+0.000234377j 0.00220627-0.000224129j -0.00621446+0.00183488j 0.00056385-0.00153875j -0.00342848-0.00101631j 0.00279366-0.0028204j -0.0021224+0.00141357j -0.0172428+0.00351957j -0.00420102+0.00347064j -0.00337356+0.00122514j 6.94572e-05-0.00197962j 0.00465483-0.000973763j 0.00239361-0.00338299j 0.00417833-0.00103476j -0.00239726-0.00209457j -0.000490385+0.000429013j 0.00458691-0.00212327j -0.00213356-0.00289198j -6.56111e-05+0.00190303j -0.0098057-0.000246839j 0.00188981+0.00161356j 0.00542254-0.00119602j -0.00432651+0.00285813j -0.00604686+0.00643648j -0.00331955+4.89484e-06j -0.00359536+0.000700745j -0.0140366+0.000359701j 0.00284946-0.00168439j -0.00465312+0.00438991j -0.00557709+0.00102952j -0.00227993+9.56723e-05j -0.00082319-0.00462567j -0.0104858+0.00194468j 0.0115403-0.000340533j 0.00060429+0.000824635j -0.00684844+0.00194617j 0.00308562-0.00406722j 0.00609931-0.00194667j 0.00307134-0.000494516j 0.00158238-0.00532804j -0.0111656+2.42673e-05j -0.010761-0.00204875j 0.00017716+0.00178184j -0.0033953+0.00183887j -0.00606715-0.00466111j -0.00825443+0.00214653j -0.0123053-0.0016763j -0.00153931-0.00311284j 0.0015017+0.00262303j -0.00604106+0.00221156j 0.00059992+0.000116026j -0.00917376-0.00380578j -0.0106368-0.00330451j -0.00530236-0.00054015j -0.000261091+0.00353778j -0.00756696-0.00473538j -0.000295079+0.00582406j 0.00187597-0.000646848j -0.00391625-0.00588051j -0.000918805+0.00347091j -0.00164504-0.000612828j -0.0112868-0.00598716j 0.000625651+0.00231029j 0.000293388+0.00117109j -0.00744294-0.00814313j -0.0112285-0.00270291j 
-0.00833426+0.00141899j 0.00822825-0.00542846j 0.00222211-0.00290596j -0.00502487-0.000155241j -0.00626608+0.00314818j -0.00176253-0.000412354j -0.00582007+0.0025415j -0.00389066-0.000250614j -0.00671105+0.00180598j -0.00442279-5.01815e-05j 0.00121525-5.11515e-05j -0.00722109+0.00162572j -0.00111028+0.00132608j 0.0051515+9.17654e-05j 0.00527418-0.00196025j -0.000738802+0.000594804j 0.0049647-0.00359197j -0.00432311+0.000372713j -0.00106126+0.00253495j 0.00808818-0.00212891j -0.0152601+0.00461243j 0.00287384-0.00281372j -0.00498898+0.00436936j 0.002038+0.00141211j -0.00241252+0.00249755j -0.00478283-0.000952197j 0.00342905+0.00284898j -0.0085001+0.00150376j 0.00319977-0.000769884j -0.000661428+0.00275205j 0.00420435-0.0037218j 0.00126819+0.000156128j 0.00461083+6.91931e-05j 0.0114419-0.00262277j -0.0150216+0.00135604j -0.000176278+0.00721566j 0.00292803+0.00068738j -0.00309483-0.00077624j -0.00709507-0.000855534j 0.00437943+0.0023995j 0.00234023-0.00274852j -0.010875-0.00146964j 0.00384932+0.00220214j -0.018341-0.00347789j 0.00394201-0.0021399j 0.00929183-0.00239751j 0.000209548+0.00060563j 0.00353707+0.00355616j 0.00568951-0.00263629j -0.00498718-0.00301917j 0.00308322+0.00168055j 0.00438833-0.000138533j -0.00639229-0.00434937j -0.00722098-0.00170045j 0.000432132-0.000572438j -0.00899505-0.00359609j 0.00785266+0.00216923j 0.00118565+0.00353807j -0.00487937-0.00326352j 0.000706734-0.000344087j -0.00243028+0.000267194j -0.00128936-0.00480105j 0.00311653+0.00161906j 0.0100374+0.00443259j 0.00226875+0.00101249j -0.0013423-0.00150275j -0.00896426-0.00122901j -0.00020071-0.00372447j -0.00805595-0.00558918j -0.00724212-0.00123628j 
0.00354121-0.000435362j -0.00354723+0.00251145j 0.00285284-0.00154442j -0.00173894-0.000211342j -0.0051746+0.00249702j -0.00565845-0.00232067j -0.00863571+0.00239711j -0.00774703+0.00433049j -0.00589144+0.00423055j 0.00588043-0.00304772j -0.00633554-8.73178e-05j 0.00554965-0.00270261j 0.00862505-0.00322431j 0.0068443-0.001266j -0.00634517+0.00196718j 0.0018039-0.00333973j 0.00184031-0.00107566j -0.00955845+0.000886683j 0.00284263-0.00127044j 0.0120592-0.00211928j 0.0105917-0.000206539j 0.00583788+0.00241397j 0.00402977-0.00263229j -0.00693265+0.000399697j 0.00607346-0.00188623j 0.00263237-0.00314406j 0.000885616+0.000161414j 0.000293155-0.000276093j 0.00902196-0.00267452j 0.00554529+0.00109521j -0.00496833-0.000949392j 0.00691357-0.000728372j -0.00211289+0.00115185j 0.00651582-0.00268563j -0.000654744-0.00027422j -0.000877539-0.0180583j 0.000332836+0.00166307j 0.00109111-0.000548953j -0.008133+0.000190334j -0.00267227+0.00155717j 0.0101075-0.00141682j 0.00585172+0.00100491j -0.00452356-0.00192891j -0.0054663-0.00110288j -0.00577123-0.00326973j 0.00660117+0.00177139j -0.00334419-0.00125118j -0.0061703-0.00347033j -0.00527491+0.00341382j 0.00820191+0.00187855j 0.0049927+0.000415003j -0.00267332-0.00323406j 0.00689643+4.59041e-05j -0.00738698-0.00168089j 0.000745855+0.00263607j -1.20193e-06-0.000556987j -0.00569462-0.00264686j 0.00958067+0.00496421j 0.0117196+0.00394561j 0.00318454-0.000785933j -0.00489315-0.00123534j 0.00176+0.0027465j 0.0058177+0.00497131j 0.0100711+0.00330017j 0.00576308-0.00270495j -0.00727249-0.00252725j -0.000860495+9.96905e-06j -0.00265641-0.00185891j 0.00319429+0.0024565j 0.00258286+0.00036717j 
-0.00767724+0.00219561j 0.00450329-0.00375349j 0.00374031-0.00370279j -0.00364754-0.000535138j -0.00630648+0.00196317j -0.00163252-0.000600022j -0.0101654+0.00420023j -0.00199115+0.00258536j 0.00507937-0.00309153j -0.00117134+0.00278003j 0.00249163-0.00129422j 0.00654683-0.00106145j 0.0029339-0.00301651j -0.00190527-0.00052601j 0.0138982-0.00455386j 0.000989326-4.12849e-05j -0.0137286+0.0037438j 0.000708181-0.000982681j -0.00208473-0.00201728j -0.00640111+0.000568662j -0.00107868-0.00181124j -0.00115109-0.000597522j 0.00215251+0.000574325j 0.00350582+0.000837615j 0.00688414+0.0013813j 0.00653468-0.00264878j -0.0170895+0.00364703j 0.00387222+0.00104592j -0.00549489+0.00250817j 0.0109352+0.00286651j 0.0018471-0.00173255j 0.00916265+0.00102854j 0.00154261+0.000679005j -0.0053966-0.00145223j -0.00691412+0.000613105j -2.75374e-05-0.00407529j 0.00977535+0.00118012j -0.00245491-0.00121939j -0.000988771-0.00270713j -0.00174244+0.00209175j -0.00502084-0.0010397j 0.00863282+0.0032887j 0.00918447+0.00186144j 0.00631672-0.00165311j 0.000640166-0.00242683j -0.000443398-0.00136273j -0.00663285-0.00209841j 0.00301495+0.00239933j -0.00295946-0.00171237j -0.00143072-0.00340474j 0.0125096+0.00276196j -0.000523805+0.00137513j 0.00712291+0.000555205j 0.0135154+0.00651483j -4.3734e-05+0.000825281j 0.00654013+0.00113273j -0.00638154+0.00133564j -0.000464448-0.000749909j -0.00981084-0.00216994j 0.00304408+0.00013924j -0.000133934-0.00200931j 0.00883794+0.00272662j 0.00699384+0.000185611j 0.00362762+0.00163704j 0.00383593+0.00038338j -0.00163792-0.00270628j -0.00711241-0.000782191j -0.000607691-0.00199461j -0.00628329-0.00342657j -0.00315774+0.000131496j 
0.0098949-0.00461269j 0.000325969+0.00316567j -0.00990883+0.00358773j -0.00266247+0.00394852j 0.0011912-0.000189869j -0.00330851-0.00110241j -0.00399107+4.8951e-05j -0.00109443-0.000117946j -0.00396802+0.00153664j 0.0124424-0.00485412j -0.00197648-0.000308381j -0.00288411+0.00138165j 0.00808251-0.00375753j -0.00632208-0.00138454j -0.00247601+0.000188137j -0.00151368+0.00176006j -0.00906721+0.003483j 0.0120029-0.00407684j 0.00154735-0.00179747j 0.00992744-0.000818636j -0.00445458+0.00363678j -0.00258233+0.00337692j 0.000156963+0.00028723j -0.00605484-0.00277419j 0.00401877-0.00180528j -0.0143501+0.00124033j -0.0093548-0.000716414j -0.0020313+0.000426558j -0.00664168-9.68497e-05j -0.00401091-0.00138163j 2.65271e-05-0.00141392j -0.00233795-0.00429097j 0.00324346+0.000336704j 0.00245005+0.000144391j -0.00892532-0.00193664j -0.000623996+0.00844001j 0.0151583+0.00334589j 0.00722307-0.000576961j -4.52623e-05+0.0032401j 0.00098284-0.00141532j 0.00390586-0.000986587j -0.00426926-0.000622223j 0.000977573-0.00254796j 0.0112087+0.00120175j 0.0138577+0.00335351j -0.00154402-5.20945e-05j 0.00780366+0.00291842j 0.00255288-0.000305022j -0.00517224+0.000385553j -0.0108653-0.00286976j 0.00759535+0.00319735j -0.00040346+0.00192163j 0.000510854-0.000101095j -0.00547347-0.00168794j 0.00386628+0.00143046j -0.00255561-0.000616765j 0.000406174-0.00302635j 0.00365097-0.000154889j 0.00150371+0.00341133j 0.00503292+0.00135547j -0.0023039-0.0021395j 0.004099+0.00249888j -0.00508399+0.00116665j 0.00438628+0.00100259j -0.00339539-0.00325303j -0.00774802-0.000919733j 0.0092106+0.00295988j -0.00244078+0.00070501j 0.00704561+0.00233739j -0.000543736-0.00198817j 
-0.00182555+0.00262746j -0.00442975+0.00114609j 0.0092211-0.00530279j -0.00315667-0.00151158j 0.00965041-0.00309179j 2.64413e-05+0.00197761j -0.00256471-0.000970902j -0.00512486+0.00534834j 0.00623894-0.00344061j -0.00465311-0.000583819j -0.00854555+0.00324233j -0.00275872+0.00235179j -0.00102074+0.00024958j -0.0116881+0.0050277j -0.00203188+0.00079449j 0.00144192-0.0010846j 0.00866715+0.000673069j -0.0020521-0.000986993j -0.00593826+0.00362826j 0.00798338-0.00253611j 0.0071957+0.000225467j -0.00773803+0.000616977j -0.00727822+0.00132174j 0.00471387+0.000989754j 0.0137357+0.00146276j -0.00631866-0.000751328j -0.00477298-0.00173827j 0.00108556+0.000193153j -0.0103397-0.00127812j 9.20325e-05-0.000734511j 0.00948359+0.00137558j 0.00628939+0.00235874j -0.0150531-0.000670825j 0.0133059+0.00110215j -0.00239349+0.000254621j -0.000530252+0.00595737j 0.000685716-0.000185869j 0.00482839+0.00431999j 0.00350651-0.000964431j 0.0160811+0.00417519j -0.000743832+0.000302059j 0.00627231+0.00074085j -0.00136392-0.00301277j -0.00274712+0.000200247j 0.000261684-0.00103808j -0.00257684-0.0001746j 0.0047454-0.00385699j 0.001504+0.00125789j 0.000359926+0.00183898j -0.0101422-0.00198983j -0.00014446-0.00160519j -0.00141596+0.000975599j 0.00337406+0.00107362j 0.00229631-0.000469689j -0.00878004-0.00340996j -0.00274125-1.29298e-05j -0.00554516+0.000139679j 0.00141753+0.00192462j 0.00962828+0.00013058j -0.0072091-0.0020953j 0.00622477+0.00291234j -0.00169335+0.000180701j 0.00573591+0.000430697j -0.00521653-0.00150894j 0.00543735+0.00207397j 0.00315847-0.000330235j -0.00514284-0.00101601j -0.00212917-0.00154354j -0.0008436+0.000649654j 0.00245338+0.000974729j 
0.00514132+0.0118956j -0.00263709+0.000762705j 0.00513748+0.0109402j -0.00199263-0.00853223j -0.00331652-0.00226941j -0.00345152-0.00388905j 0.00184156+0.0108449j 0.00325731+0.000515311j 0.00162969-0.0033523j 0.000172506+0.00166758j 0.00181367+0.0015217j -0.00285863+0.00217184j 0.00033025-0.00412332j -0.000937422-0.00078253j 0.000896391+0.00114344j -0.00147772+0.00539142j 0.00280678-0.00121349j 0.000160761+0.00302663j 0.00367895+0.00184036j -0.00182579-0.00939553j 0.00308137+0.00722636j -0.000146443-0.00305722j -0.000296594-0.000158895j -0.00190544-0.00179703j -0.00140294+0.000194352j 0.00141923+0.0021238j -0.00537806-0.00423914j -0.00453003-0.0068567j 0.0030436+0.00201689j -0.00184708+0.00223393j 0.00222507+0.00303691j 0.001299+0.00509893j -0.0022444-0.00124777j -0.00182378+0.00219242j 0.000970615-0.00240073j -0.0101987+0.00266529j 0.00354597+0.00519056j -0.00110847-0.00114003j -0.00642595-0.0141394j -0.00138751-0.010786j 0.00450335+0.00423075j -0.000840592-0.00578003j 0.000905394+0.00248299j 0.0035937+0.00243166j -0.00240939-0.0120068j -0.0016287+0.00771215j 0.00681125+0.000925973j 0.00252215-0.0023894j -0.00228754-0.00135761j -0.000717155-0.0130987j -0.00301816-0.00702377j -0.00418682+4.68486e-05j 0.00251031-0.00600411j 0.00214425-0.00234768j 0.00694059+0.00316283j -0.00590085+0.00537798j 0.00812107-0.00462375j -0.00312728+0.000323772j 0.00744388-0.00984796j -0.0063427-0.00244933j 0.0156859-0.00459257j 0.00141669-0.00117402j 0.00193988+0.00325347j 0.00636972+0.000760384j 0.00321203-0.000244135j -0.00427466-0.00181073j 0.0127799-0.0101732j 0.000166139+0.00716896j -0.0147413+0.00813403j -0.00562386+0.0124015j 
0.00437879+0.00253028j 0.0056783+0.011214j 0.000971115-0.00275558j -0.00218442-0.00436617j 0.00222494+0.00589447j 0.00155803+0.00758144j -0.00122638-0.00390985j -0.000463758-0.000219832j 0.0022427+0.00510013j 0.00364612+0.00965904j -0.00138013-0.0094004j 0.00124521-0.00450358j -0.00459429-0.00711858j 0.00265138+0.00522653j 0.00354528+0.00615054j 0.000125621-0.00448135j 0.000981197+0.00375576j -0.000187395-0.0067203j 0.000105161+0.00525977j 0.000404949-0.00119304j -0.000442603+0.00679049j 0.00414114+0.00263294j -0.00154243-0.000729174j 0.00249315-0.000346596j -0.00348317-0.00376171j -0.000652791-0.000161363j -0.00174852+0.00119804j -0.00469395-0.00636065j -0.000515579-0.00067096j -0.000537636+0.00224614j -0.00145201+0.000444532j -0.00121014-0.00231307j -0.00089416-0.00659382j -0.00275562+0.000552319j -0.00364635-0.00552608j 0.00117664-0.00359824j -0.00646469-0.00414752j 0.00296021-0.00500419j 0.00283843+0.00483471j -0.00329467-0.0003661j 0.000151494+0.00660635j 0.00113464+0.00219212j 0.00406658+0.0139478j 0.000683611+0.010771j -0.00201007+0.00659448j -0.00323642+0.000284068j -0.00126059-0.0187946j -0.000766856-0.0068065j -0.00384538+0.00572648j -0.0106997-0.00200029j 0.00165076+0.00198356j 0.000366329-0.00061388j 0.00103669-0.00971551j -0.00272554-0.0026801j -0.00397738-0.000133285j -0.00957858+0.00404567j -0.00131409+0.0122677j 0.00328124-0.00488325j -0.00922699+0.00175823j -0.000604+0.0024635j 0.00652898-0.00355534j 0.00635156+0.00824672j -0.00826809+0.0104079j 0.0109877-0.00253628j -0.00629641+0.00675172j 0.000564921+0.0115591j -0.00593512+0.00298888j 0.0071898-0.00561133j -0.00650568+0.0140777j 0.0119391-0.0051182j 
-0.00395851-0.00589103j -0.00316318-0.00866745j -0.00338887-0.00912502j -0.00223312+0.00186459j 0.0024626+0.00545295j -0.00175644-0.00492992j 0.0016504-0.00336678j -0.00384503-0.00557932j -5.61782e-05+0.00888331j -0.00175647-0.00143633j 0.000858906+0.00328592j 0.00277457+0.00616775j 0.00175997+0.00303201j 0.00194207+0.00327186j -0.00172508+0.000276058j 0.000787734-0.00248515j -0.0017251+0.00151861j -0.000554902-0.00127704j 0.00278778+0.010786j 0.000535652+0.00303171j 0.00240333+0.00481205j -0.00194861-0.00226741j 0.00267016+0.00557802j 0.0028199+2.15067e-05j 0.00155366-0.00193021j -0.00276253-0.00442769j 0.00430477+0.00582771j 0.00199927+0.00306449j -0.00230283-0.00110898j 0.00151245+0.00302242j -0.00512019-0.0115308j 0.000773032+0.00421732j -0.00183675-0.00373739j 0.00144435+0.00621524j 0.00436757+0.0100732j -0.0120385+0.00192871j 0.000995883+0.00761627j -0.000567647-0.00417268j 0.00288308+0.00418966j -0.000719773-0.00378202j -0.000372151-0.00880643j 0.0010102-0.00730661j 0.00309402+0.0115289j 0.00647508+0.00528158j 0.00207065-0.0132804j 0.000147625+0.00350166j 0.00324952-0.00516065j -0.00304762-0.0113564j 0.00538979-0.0217292j 0.0028635-0.0142863j 0.00114726-0.00486949j -0.00455525+0.00578887j 0.00225061-0.00591649j -0.000753866-0.00549195j -0.0018593-0.00313193j 0.00302201-0.000884772j 0.000553711+0.000370273j -0.000618072+0.00504158j 0.00898183-0.00573816j -0.00388851+0.00717602j -0.000248887-0.00192829j 0.00918994-0.00985543j -0.00951055+0.00163403j -0.00352323+0.00514336j -0.00142266-0.00271134j -0.00182564+0.00571984j -0.0036023-0.00385667j 0.0082982-0.0126522j 0.00629303-0.00968913j -0.0029157+0.000962102j 
0.000465962-0.00200288j 0.00348407+0.00607149j 0.00334687+0.00837732j 0.00384422+0.00315786j -0.000783968-0.00520872j 0.00504019+0.0102205j -0.00170584-0.00583553j -0.00257463-0.00410518j -0.00174145-0.0076844j 0.00147321+0.00294897j 1.52436e-05-0.00149764j 0.0038058+0.00144805j -0.000864374-0.00511701j 0.000466191+0.000851001j 0.00144+0.00207142j 0.000785614-0.000844509j 0.00129184-0.0012163j -0.000377258-0.00704328j -0.00228046-0.00329806j 0.00208694+0.00419976j -0.00401462-0.00875983j 0.00139602-0.00104922j -0.00252062-0.00396047j -0.000599996+0.00280125j 0.000369687-0.0013533j 0.00453399+0.00699272j -0.0016933-0.00416391j -0.00428177-0.0057284j -0.00169671-0.00719228j -0.000994651-0.0144433j -0.00183365-0.00467155j 0.00315804-0.00163664j -0.00206406-0.00461108j 0.00421543+0.0201405j -0.00199882+0.0161716j 0.00787985-0.000809671j -6.07662e-05+0.0159063j -0.000675338-0.00321329j -0.00198905+0.0109219j -0.00278718-0.00836432j 0.000258295-0.00314068j 0.00100035+0.00219631j 0.00160359-0.00690452j -0.00733025+0.0096648j -0.00156285-0.00944802j -0.000971998+0.0174677j -0.00545426+0.0150377j 0.000331065+0.00361764j 0.00320618-0.022502j 0.00389044-0.00458668j 0.00423288-0.0106243j -0.00237319+0.00598811j 0.00396867-0.00283909j -0.000248808+0.00636878j 0.000156473+0.000765321j -0.00496795+0.00119446j -0.0047526-0.000345657j -0.000184235+0.00286273j 0.000711303-0.00326262j -0.00295599+0.00919203j 0.00265112-0.00244368j 0.00223305-0.00207222j 0.00314261-0.00631715j 0.000922737-0.00167005j -0.00573731+0.00737074j -0.00203503+0.00803259j 0.00215681+0.0033165j -0.00595287+0.0128587j 0.000453974+0.00282031j 0.00390137-0.00499247j 
