-0.0885231-0.188829j -0.0898913-0.102072j 0.0232249-0.134241j -0.0161969-0.0356167j -0.0564015-0.0669868j -0.0295353+0.00580072j -0.000170694-0.105185j 0.00692382-0.00634351j -0.055716+0.0601775j -0.0071024+0.0156195j 0.00586188-0.0277799j 0.0139521+0.033093j 0.0238954-0.0302252j 0.000358828-0.0334677j -0.0500442-0.0178478j -0.00778247+0.0145505j -0.000784562-0.00063059j -0.0040302-0.0621655j -0.0249096-0.00752618j 0.0138219+0.0263932j -0.0343034+0.0147651j 0.0280858-0.0534887j 0.0290805-0.0132682j -0.0436793-2.55046e-05j 
-0.269821+0.0511134j -0.0965044+0.0689542j -0.114906-0.0319975j 0.0226499+0.0130868j -0.0384158+0.0549181j -0.0406547-0.0137359j -0.0707885+0.00578894j 0.00645471+0.0452655j 0.0459491+0.0140577j -0.0251801-0.0159583j 0.0187739+0.0302826j -0.00633739+0.0132603j 0.0083605+0.0413086j 0.00916136+0.0152137j -0.00778338+0.0110466j -0.0117692+0.0201575j 0.00299187-0.000636375j -0.0156626+0.0174716j -0.0177744-0.00752825j -0.00247183+0.00953606j 0.00884556-0.0405249j -0.00752501-0.00139284j -0.0257487+0.0315787j 0.0275409-0.0071295j 
0.0649985-0.15811j -0.056044+0.0523565j -0.076123-0.0110211j -0.0596171+0.103778j -0.0251376+0.0161666j 0.135644-0.047801j -0.0144912+0.029064j -0.117222-0.0407563j 0.0614229+0.0221718j 0.0219456-0.0174781j -0.0111817+0.0186364j -0.0364448-0.0448739j -0.0296209+0.0226706j -0.000345383+0.0289632j 0.0502495-0.0398952j 0.00334293-0.0491295j 0.00108458+0.00243321j 0.0454719+0.0228155j 0.0578881-0.01897j -0.0283484-0.0167488j 0.0374259-0.00715505j 0.0192293+0.0561273j -0.0201284-0.00508751j 0.0236225-0.00684601j 
-0.0673547+0.180387j -0.0847136+0.0112166j -0.062277-0.0587343j -0.0759436-0.0198914j 0.0267092-0.014828j 0.0741725+0.0849468j 0.0134968+0.0306979j 0.00800271-0.0969223j -0.00833084+0.0118727j 0.0300897-0.0103014j -0.0277254-0.0287891j -0.0420584+0.022419j -0.0038207-0.0360361j 0.0284562-0.0206818j 0.0141748-0.0416762j -0.0420741-0.0231575j -0.00575641+0.000378j 0.0585789-0.0264188j -0.00337597-0.0289466j -0.0320701-0.0126274j -0.00629235+0.0347272j 0.0526549+0.0264153j 0.0339749-0.0290462j -0.0339913-0.0156913j 
-0.0235661-0.00819336j 0.0307344+0.0511621j -0.0203042+0.0564196j 0.00775856+0.0113468j -0.0263256-0.0716232j 0.00378032-0.0585031j 0.0467021-0.0806077j -0.0406146+0.0143364j -0.0487723+0.0218484j 0.0222888+0.0265971j -0.00197435-0.0546105j -0.0212003+0.00982976j 0.0377754-0.0450333j 0.0382391+0.010561j 0.0123137+0.0892764j -0.0245959-0.00501439j -0.00634603-0.00931981j -0.0266201+0.0724973j -0.0504634+0.0021619j 0.0261559-0.0593901j -0.0515119+0.0333227j -0.0707482+0.034672j 0.0471408+0.0199407j 0.00152244-0.015443j 
0.0976175-0.00312029j -0.0475216-0.0980287j 0.046089-0.0993274j -0.00381263+0.00204938j -0.00136183+0.00300905j 0.00425074+0.00264228j -0.00385923+0.00267865j -0.00162689-0.00312825j 0.00367903+0.00170539j -0.0574497-0.0419804j 0.0226+0.0655644j 0.00754427+0.0680071j 0.0170934+0.065819j 0.0496724-0.0019241j 0.0681541+0.0498016j -0.0239718+0.097914j -0.00191047+0.000794185j 0.0228791+0.0985498j -0.0692506+0.0482205j -0.0476632-0.00363839j 0.017827-0.0651235j -0.00784608+0.0672603j -0.0239433+0.0659726j 0.0574864-0.0402453j 
0.0231924-0.00899361j -0.0215959-0.0554168j 0.0293608-0.0520399j -0.0491722-0.0222689j 0.0410709+0.014176j 0.0467642+0.0807403j 0.00429576+0.0578449j 0.0261639-0.0714177j 0.00671418-0.0110044j 0.00216582+0.0158782j 0.0479884-0.0198586j -0.0715386-0.0367377j 0.0506819+0.0331127j 0.0246028+0.0599544j -0.0508057-0.00448182j -0.0254445-0.0734344j 0.00624402-0.00930104j -0.0237064+0.00583149j 0.014657-0.0879567j 0.0374303-0.00883138j -0.0373973-0.0449808j -0.0215121-0.00837767j -0.00196367+0.0543052j 0.0225146-0.0262132j 
0.0762727+0.177165j -0.0607145+0.0594485j -0.0846194-0.00925562j -0.00841175-0.0104383j -0.0093806-0.0970629j 0.0137711-0.0314628j 0.0726815-0.085512j -0.0270331-0.0143184j -0.0746134+0.0207935j -0.0351198+0.0156304j 0.0333236+0.0294224j 0.0540402-0.0248024j 0.0070083+0.0347391j -0.031915+0.0129589j -0.00348485+0.0302316j 0.0576227+0.0277499j 0.00577697+0.000682956j -0.0435731+0.0229342j 0.013099+0.0419488j 0.0286518+0.0198304j 0.0033177-0.0360721j -0.0417553-0.0238176j -0.0283241+0.028641j 0.0293015+0.0104737j 
0.0736002+0.153684j 0.0747529-0.0120463j 0.05726+0.0498899j -0.0604696+0.0218335j -0.1179+0.0427484j 0.0134866+0.0290705j -0.137067-0.0463448j -0.0249029-0.0152426j 0.0610584+0.10283j -0.0229368-0.00821829j 0.0195718-0.00559971j -0.0217242+0.0560072j 0.0363354+0.00751078j 0.0277231-0.016579j -0.0590356-0.0200995j -0.0463234+0.0211994j 0.000602853-0.00228317j -0.00233843-0.0494767j -0.0490049-0.04j 0.000374368+0.0293504j -0.0292041-0.0230079j 0.0371117-0.0433361j 0.0115118+0.0179759j -0.0214014-0.0175189j 
0.268856+0.0351668j -0.113766+0.0355132j -0.100422-0.0653895j 0.0458579-0.0152098j -0.00555854+0.0453073j -0.0710056-0.00396659j -0.0399766+0.0147056j 0.0400756+0.0535297j 0.0215251-0.0140493j 0.0270189+0.00807352j -0.0250369-0.0315107j -0.00661414+0.00162947j -0.00852005-0.040408j -0.00304178-0.010215j -0.0179063+0.00788179j -0.0148471-0.016623j -0.00306332-0.000975534j -0.0114896-0.0203802j -0.00778757-0.0104446j 0.00939908-0.0142144j -0.00878097+0.041049j -0.00608334-0.01325j 0.0190332-0.0301689j -0.0251431+0.0153256j 
-0.0762975+0.189514j -0.0265135-0.133088j 0.0856329-0.105555j 0.0568598+0.0600582j 0.00750342+0.00665919j -0.00166645-0.10544j 0.0292335+0.00616453j -0.0547147+0.0683728j 0.01662-0.0364201j 0.0443005+0.000655761j -0.0291421-0.0132661j -0.02719-0.053949j -0.0346296-0.0162557j -0.0135663+0.0257768j 0.0257109-0.00766671j 0.00446217-0.0616069j -0.000952918+0.000297474j 0.00735956+0.0148204j 0.0491814-0.0180565j -0.00114632-0.0333337j 0.0238836+0.0315931j -0.0150315+0.0326742j -0.00560559-0.0283155j 0.00633145+0.0160585j 
0.346698+0.00690002j -0.060308-0.204367j -0.050273+0.207535j -0.0336314-0.032614j -0.0622299-0.0887584j -0.0156312-0.0160785j 0.046906+0.0239765j 0.0335001-0.00396861j 0.0996166-0.0748698j -0.00535791+0.0121311j -0.00448329-0.0228655j 0.00936353+0.0268514j -0.00261537-0.00939905j -0.0137194-0.0128913j -0.0426141-0.0411191j -0.0037527-0.000771526j 0.0199752+0.000837147j 0.0157735+0.0178974j 0.00713148-0.00768024j -0.0225484+0.0464489j -0.00526846+0.0267124j -0.0324529+0.04411j 0.0074154+0.00945231j 0.0634492+0.000337847j 
