0.0120569-0.00249013j 0.0029254+0.0118329j -0.00164446-0.0116746j 0.00774389-0.00140367j -0.00242211+0.000174124j -0.0047272-0.00252824j -0.00657772+0.00543067j 0.00142028-0.00230801j -0.00195318-0.000594355j 0.0011627-6.24492e-05j -0.00215447+0.00111921j -0.0010323+0.00239958j 0.00164972+0.00253392j -0.00184947-0.00796424j 0.00458661+0.0113521j 0.0071664-0.00568889j -0.00314486+0.00329322j 0.0109914+0.00438333j 0.00570384+0.00724812j -0.00408027+0.00249396j -0.00448772+0.00419265j -0.00841814+0.00317322j 0.00137426+0.000814857j 0.000889213-0.000488109j 0.00428677+0.00217836j -0.00203838-0.00530441j -0.00584158-0.000715459j 0.00974232+0.00353784j 0.000806784-0.00358255j 0.00136531+0.00630678j 0.00809107+0.00897078j 0.00502814+0.00221958j 0.00547881-0.00400842j 0.000956482-0.00403129j -0.00310052+0.0114792j -0.00428557-0.000700172j 0.00410811-0.0109259j -0.00516882-0.0035103j -0.00594526-0.00267296j -0.00516729+0.00264065j -0.00655698+0.00516829j -0.00103005-0.00726049j -0.00856175+0.000870803j -0.00835074+0.00749061j -0.00166581+0.00830825j -0.00684019-0.00858167j 0.00369113-0.00191952j -0.00475755-0.000971914j -0.0120373+0.00637808j -0.0127344+0.00550613j 0.000811397+0.000742909j 0.00134534-0.00209278j 0.000914708-0.00103046j 0.000934028-0.00751113j 0.0034466+0.0117844j 0.00446731+0.00142681j 0.00273744-0.00416631j 0.00669242+0.00658366j 0.000586476+0.000685625j 0.000829755-0.000737839j 0.00314032-0.00422883j 0.00257724+0.000547453j 0.0012981+0.00577899j 0.00128515-0.000720493j -0.00434043-0.00114606j -0.0124708-0.012343j -0.0113549+0.0100384j -0.0327675+0.00131771j 0.00177105+0.0310235j 
0.00198985+0.0110029j -0.0114284+0.00214199j 0.00769926-0.0069617j 0.00721881+0.00373542j 0.00870246-0.00510877j 0.00245271+0.000806349j -0.00614554-0.0108734j 0.00281755-0.00305349j -0.000222313-0.00434701j 0.00075731-0.0026062j 0.0006767-0.00396375j -0.0018584-0.00163008j -0.00473887+0.00204129j 0.00744179+0.00400735j -0.00817156+0.00353683j 0.000489405+0.00871849j 0.000725586-0.00386622j -0.00137789+0.00547471j -0.00675177+0.00907085j 0.00029784+0.00227908j -0.00207296+0.000301458j -0.00780433-0.00756102j -0.00233863+0.00188092j -0.00235-0.00171599j -0.00238175+0.00674502j 0.0063408+0.00492091j 0.00252133-0.0072656j -0.00273176+0.006055j 0.00361105+7.7806e-05j -0.00638168+0.00116107j -0.00482772+0.00725834j -0.000942711+0.00220553j 0.00174845+0.00290216j -0.00184433-0.00288398j -0.0169302-0.00415537j -0.00127097-0.00659224j 0.00859361-0.00302978j -0.0027805-0.00726075j -0.000716064-0.00681206j -0.00376448-1.79288e-06j -0.00875009-0.00306741j 0.00291386+0.000882298j -0.00288616-0.00737875j -0.00571372-0.0108023j -0.0058209-0.00712464j 0.0141786-0.00546151j 0.00270958+0.00417004j 0.00490699-0.00136733j -0.00857932-0.0105809j 0.00324855-0.0143955j -0.000816497+0.00103761j 0.00181513+0.00111329j 0.00176123-0.000495185j 0.00794981+0.00189395j -0.00484904+0.00728719j -0.000445301+0.00379745j 0.00747299+0.00346035j -0.00201571+0.00504272j 0.000478834+0.00686216j 0.00923779-0.00218639j 0.00545698+0.000154416j 0.000990433-0.00247672j -0.00462134-0.00283159j -0.00457595+0.00917138j 0.00344921-0.00509913j 0.0040464-0.0161645j -0.0163732-0.00237869j 0.00403224-0.0297296j -0.0309589-0.00445451j 
-0.00160466-0.000944839j 0.00235479+0.0006968j 0.00393649+0.00605147j -0.00233587+0.00136565j 0.00651056+0.00123655j -0.00197298-0.00472314j 0.00825099-4.66969e-05j 0.00320818+0.00844321j -0.00516323-0.00610605j -0.00326103-0.0173378j 0.00455232-0.00307137j -0.00239599-0.0104107j -0.000831525-0.00195912j 0.00113153-0.00194024j 0.00363347-0.015242j -0.00510046+0.0158307j 0.000764627-0.000528862j -0.0196918+0.00834578j -0.0123454+0.00480362j 0.0017863+0.000460573j 0.0101791-0.00623844j 0.00791508+0.00610806j 0.00737522-0.00573701j -0.00382587+0.00360329j 0.00412748+0.000669148j 0.00124383+0.0034147j 0.00711711+0.00138892j -0.000854753-0.00422389j 0.00335487-0.00161543j 0.000905063-0.00708002j -0.00127345-0.00713412j 0.00707156-0.0013716j -0.00768537+0.00506503j -0.00623077+0.00123281j 0.0042781+0.00350732j 0.00461254-0.00620345j 0.00985745+0.00193103j -0.0032825+0.00731461j 0.00271737-0.0019815j -0.00250427+0.00301564j -0.000321873-0.000600941j -0.00592052-0.0100825j -0.00278104+0.0104815j 0.000110951+0.00293055j 6.07952e-05-0.00201962j -0.00206335+0.00815829j -0.000804295+0.000969262j 0.00697511+0.00156954j 0.000419303-0.00069014j 4.08546e-05+0.0101336j 0.000871341-0.00269158j 0.000779808-0.0049161j -0.00171604-0.0062041j -0.00490525-0.000333825j 0.00169546+0.00359614j -4.90135e-05-0.00401311j -0.00204044-0.00183701j 0.00061689-0.000749481j -0.00958186-0.00164003j 0.00421302+0.00426597j 0.00188833+0.00788087j -0.00252006+0.00107336j 0.000463874+0.000654064j -0.00494786+0.00758495j 0.00875813-0.0141586j 0.0186114-0.00310413j -0.00600007-0.0160353j -0.00164927+0.00475445j 0.00733732-0.000124433j 
0.000122567-0.0104717j 0.000181175-2.92198e-05j 0.000361158+0.00743128j -0.00158993-0.00233426j -0.00691488+0.0042881j -0.00498083+0.000992036j -0.00439325+0.0102331j -0.00389632+0.0012213j -0.00195585-0.00606193j 0.00378151-0.00328j -0.00255154+0.00595891j -0.00405871-0.00339367j -0.00375663+0.00834034j -0.00942809-0.00297527j -0.00252524-0.00363554j -0.00918334+0.00274283j 0.000130539+0.000982053j 0.00740329-0.00417002j 0.00858688-0.00740938j 0.000911119-0.00409116j -0.000974164-0.00142214j -0.00214349-0.00155443j 0.00692667-0.00305714j 0.00912365-0.00458815j 0.000271004-0.0042198j -2.89006e-05+0.000428604j -0.00954276+0.00855498j -0.00604014+0.00776372j -0.00584719+0.00241487j -0.00241494-0.00101025j -0.00370742+0.00443605j -0.00444884+0.00981201j 0.00731513-0.000332596j -0.00683225-0.000644733j 0.000576928+6.54146e-05j -0.00154889-0.00607273j 0.00142391-0.00250235j -0.00483184+0.00198864j 0.000844587+0.00937727j -0.00558764-0.0140666j -0.00736884-0.00817222j 0.0076668+0.0156748j -0.00432564-0.00927956j 0.0124296+0.0150621j 0.0137643+0.00029937j -0.0123277+0.00548452j -0.00312896+0.000139853j 0.000666723+0.00404998j 0.000696097-8.18337e-05j -0.00996954+0.00168392j 0.00297726+0.000619455j 0.000782572-0.00300041j 1.31509e-05-0.00789471j -8.89665e-05-0.00211998j 0.0011562+0.0139522j -0.00499244+0.00668972j -0.0029362-0.00360988j -0.0013013-0.00136926j -0.00520396+0.0167645j 0.0017354+0.0015275j -0.000995861-1.81429e-05j -0.00329453-0.00408365j 0.00538313-0.00156063j -0.00646405-0.00207856j 0.00594156-0.00454633j 0.00139625+0.00482797j 0.00313369+0.00789835j -0.00287994-0.00529731j -0.00116985+0.00640365j 
0.00737209-0.000789799j -0.000685966+0.00611214j -0.000441585+0.00192181j -0.000160856-0.00353641j -0.00827709-0.000483215j -0.00112531-0.0139756j -0.000923158+0.00851154j 0.00601181+0.0115182j -0.000706904-0.00422677j 0.00518278-0.00975939j 0.0023701-0.00417697j -0.00306193-0.00928447j 0.0041908-0.00481669j 0.00313679-0.0117742j -0.00520001-0.0067403j 0.00439124+0.0123946j -0.00553691-0.00171936j -0.0061799+0.0103345j -0.00497653+0.00337268j -0.00356237+0.00339832j -0.000276726-0.00400705j -0.00778981-0.00435342j -0.00020739+0.0027434j 0.00842104+0.00240387j 0.00160801+0.00587476j -0.00281915-0.00511168j 0.00242107+0.00106996j 0.0034328-6.35341e-05j 0.00198797+0.00100519j -0.00255083-0.00642856j -0.00413525+0.00480666j -0.00381841+0.00834665j -0.00546985+0.00310589j -0.00186765-0.000156637j 0.001378+0.00468347j -0.00316982+0.000130426j 0.00513691+0.0110687j -0.00131977-0.00670152j 0.00793781-0.0034887j 0.00133385-0.00438782j -0.00216431-0.00586392j 0.00504294-0.00446712j -0.000581317-0.00170804j -0.00565048-0.0128516j -0.00392084-0.00187029j 0.00382411-0.00224865j -0.000272998-0.00537386j -0.0102811+0.00409135j -0.000109672-0.0163153j 0.00390752-0.00906076j 3.60535e-05-0.000616594j 0.000240364-0.00264403j 0.00124736-0.000584968j 0.00782872+0.000527304j -0.00699082-0.00494976j -0.000440837-0.00364869j 0.00198248-0.00106718j -0.000277804+0.00395243j 0.00335825-0.00527805j -0.00601143+0.00728537j -0.00823294-0.00559246j -0.00106805-0.000754118j 0.00203586+0.00563385j 0.00487177-0.00325445j 0.00492502+0.0101165j -0.0110684+0.0152879j 0.0128533+0.00278264j 0.000190326-0.0110336j -0.0115939-0.00308089j 
-0.000732062+0.00155098j -0.000767297-0.00497908j -0.00273522-0.00241663j 0.000670797+0.00932876j -0.00038537+0.00416543j 0.0025359+0.00536068j 0.00035141-0.00245679j -0.00243148-0.00898405j 0.00155466-0.000995285j 0.00732831-0.000276551j 0.00442921-0.00265036j -0.00338+0.00816006j -0.00247786+0.00571887j -0.00245656+0.00574949j 0.00396302+0.000648898j -0.00276692-0.00179627j 0.000996899-0.00688974j -0.000578947-0.00280414j 0.0043968+0.00672565j -0.00596375+0.00327808j 0.00104537+0.000774916j -0.00274094-0.00141714j -0.00160451+0.000351247j 0.00951144-0.000569803j 0.0180541-0.00534816j 0.00929887-0.00730901j 0.00372583+0.00419924j 0.0149043+0.000484696j 0.00265279+0.00149763j -0.0110635-0.00158263j -0.0194997+0.000167331j -0.000783377+0.00184099j -0.0192498+0.00121033j -0.0132342+0.0053663j 0.00952399-0.000343978j -0.0135161-0.00907322j 0.0142574-0.0030563j 0.0163756+0.00295903j -0.00730215-0.0051574j 0.00474862+0.0110383j -0.0050155-0.00693686j -0.00329398+0.00118579j -0.00135118-0.000749251j 0.00401833+0.00282762j -0.0047743-0.00496893j 0.0027697-0.00326672j 0.00188647-0.00715471j 0.00386568-0.0116651j -0.00166998-0.00868266j 0.00211201+0.00532378j -0.00126672-0.00337892j -0.00219988-0.0103993j -0.00335659-0.0211865j -0.000913247+0.000655475j 0.00137571-0.00196787j -0.00167711-0.00422477j 3.86059e-05-0.00837644j -0.00136334+0.00791238j -0.000504716-0.000640303j -0.000488766+0.0158357j 0.00166509-0.00394038j 0.00241426-0.0045804j -0.00128172+0.00789397j -9.92438e-05+0.00704681j -0.00067483-0.00133648j -0.00157152+0.0114069j -0.00151144+0.00282625j -0.000264066+0.00457904j 0.00163186+0.00107599j 
0.0028598+0.00837285j 0.00507691+0.00500169j 0.000640408-0.00340431j -0.0041045+0.00164297j -0.00366366-0.00130426j -0.00313293-0.00536952j 0.0096286-0.000327723j -0.00417184+0.00112685j -0.00608625-0.00264568j 0.000194969+0.00179111j -0.000108665+0.00148371j -0.000890011+1.94104e-05j 0.00749644+0.0115755j -0.00551384-0.00821059j 0.00761177+0.0134329j -0.000710395-0.00212181j 0.000720654-0.00406864j -0.00206466+0.00657957j -0.00264798-0.00136427j -0.00408658+0.00154793j 0.00333156-0.00314585j -0.00317666+0.00542463j 0.00027231+0.00109525j -0.0109039+0.00168113j -0.000628006+0.00126176j 0.000807771-0.00241938j 0.00766924-0.00102299j 0.0122417+0.00305118j 0.00404904-0.00363109j 0.00486458+0.00270447j 0.00765331+0.00575096j 0.00541999+0.00449681j -0.00992925+0.00140909j 0.00340825-0.00643871j -0.00298905+0.00938994j 0.00338278+0.00201027j -0.011327-0.00214749j 0.00708675+0.000878998j 0.00171646-0.00378151j 0.00542019+0.00542985j 0.00755657+0.00749822j -0.0146255-0.00247683j 0.00691296+0.00196386j -0.0160869+0.000924747j -0.00672891+0.00335692j 0.00287179-0.0161398j 0.00306243+0.00106979j -0.00513367+0.00169852j -0.0114185+0.00870607j -0.0105085+0.00086094j 0.000468534+0.00106011j 0.000349621+0.00183286j 0.00516174-0.00236659j 0.00495826-0.000354j -0.00261688+0.00584777j -0.00834351+0.00218703j -0.00310376-0.00984271j -0.00297735+0.000925649j -0.000525739+0.000931502j -0.0019546-0.00108752j -0.00137525+0.00321933j -0.00184182+0.00361053j 0.00503686-0.0119426j -0.00331112+0.0171155j 4.96502e-05-0.00379477j -0.00260169+0.00420816j 0.00405852-0.00418062j -0.00330764+0.00273535j 0.00111665-0.0109425j 
0.00421426-0.00689244j 0.0039752+0.00254509j 0.00680518-0.00357853j 0.00558306+0.00706051j 0.00051545+0.00915196j -0.00484653-0.00380839j -0.00412244-0.00812493j 0.00401676-0.00985972j 0.00119984-0.000342988j -0.00199381-0.00376402j -0.00917723+0.001277j -0.000299494+0.00348277j -0.00520735+0.0019032j 0.00373679+0.000578442j 0.00157711+0.00384556j -0.00251496-0.00312421j -0.00577052-0.00444056j -0.0003909+0.00595092j -0.0154672+0.00339353j -0.00353253-0.0104832j 0.00617612-0.00515333j 0.00201832+0.00081365j 0.00291462-0.00787323j -0.000255607-0.00831957j -0.00191076+0.00175222j 0.00441466+0.00379757j 0.00262841-0.000906456j -0.000585893+0.00378906j -8.02359e-07-0.0015506j -0.000294788+0.00930384j -0.00133924-0.00545369j 0.00627832+0.0064598j 0.00999577+0.00733113j -0.00811355-0.00170214j 0.0078577-0.00586319j 0.00616919-0.00318409j 0.0166451+0.00645157j -0.00337894+0.00114022j -0.00514845-0.00580725j -0.00612255-0.00141772j -0.00278583-0.00411351j 0.00254812+0.000279409j -0.00929791-0.00140512j 0.000445306-0.00149856j -0.00715949-0.00898218j 0.00755474-0.000759609j 0.000519615+0.00743962j 0.00332222+0.0067845j -0.00418953-0.00720349j -0.00755355-0.0123269j -0.0025426+0.00133042j 0.00513189+0.0006245j 0.00256547-0.00346971j 0.000875934-0.0114073j -0.0044835+0.00721049j -0.00171472+0.00891404j -0.00990877+0.00276939j -0.00707917+0.000864258j 0.00059136+0.00491751j -0.00258824+0.00151445j -0.00423169+0.00684665j -0.00663598-0.00202244j 0.00084208-0.00386687j 0.00983648-0.00452347j -0.00454443-0.00509397j 0.0191253+0.00358908j 0.00419347-0.0122779j -0.0053043+0.00216857j -7.01519e-05+0.00275365j 
-0.00259331-0.000329952j -0.00106855-0.00283798j -0.00247003+0.0049986j 5.30312e-05-0.00474241j 0.00164556-0.00362562j 0.00393909+0.000347967j -0.00394214+0.00236217j -0.00184407+0.009252j -0.00205219-0.00799207j -0.00383974-0.00739882j -0.00564576+0.00535739j 0.00241017-0.00560557j -0.00283925+0.00855503j 0.00493095+0.000826341j -0.000499213-0.0140957j -0.00586288+0.00800312j -0.00167627+0.00248026j 0.0102585+0.0200966j 0.0071843+0.0141396j -0.00222614-0.000377245j -0.0090996-0.00336144j 0.00256312-0.00737605j -0.00700415-0.00457949j -0.00206706+0.00667349j 0.0024847+0.00693461j 0.00402388-0.00318887j 0.00244083-0.00179967j 0.00419168+0.000256133j 0.000529581-0.00169859j -0.00389119+0.0270953j -0.0012651-0.0131457j -0.00650608-0.00100611j 0.00185104-0.00451285j -0.00205252-0.00124742j 0.000812291-0.0110529j -0.00794922+0.00206689j -0.00463627-0.00869495j 0.00739174+0.00546654j -0.00621177-0.0028688j 0.00170404+0.0129226j -0.000236046+0.00898335j 0.00038025+0.000876938j 0.000451582-0.00500978j 0.000207998+0.00546451j -0.00081541-0.00894155j 0.00320147-0.00712428j 0.00145396+0.00203699j 0.00234549-0.0113297j 0.000649709+0.000769439j 0.000715201+0.000993177j -0.00584744+0.00213734j -0.00171478-0.00133751j -0.0013046-0.00130906j 0.00128771+0.0026375j 0.00748721-0.00324493j 0.00477486+0.000598998j 0.000252005+0.00279719j -0.002846+0.00568444j 0.0051402+0.00383768j 0.00508211-0.0044493j 0.00716511-0.00340663j 0.00150054-0.000175977j -0.00461376-0.000230173j 0.00366194+0.00619929j -0.0096106-0.00408791j -0.00807291-0.0113317j -0.00690836+0.00901952j 0.000751224+0.00145763j 0.000648664+0.001784j 
0.000106864-0.00408738j 0.00259372-0.00373527j -0.00163306-0.0020417j 0.00278093-0.00298646j -0.00211146-0.0022888j -0.00165358+0.00139946j -0.00405328-0.000222931j -0.00202045+0.00563908j 0.00262407+0.00275879j 0.000645808+0.00399199j -0.0050382+0.00643106j -0.00435497-0.00378908j 0.000730351+0.0077237j 0.00146257+0.00252303j -0.00314203-0.00742562j 0.000631458+0.00486216j 0.00113011+0.00477611j 0.00194651+0.00433581j 0.0035339+0.00976165j 0.00110698+0.00481075j -0.00321069-0.00267361j 0.00235819+0.00950106j -0.0025025-0.000462338j -0.0026629+0.00584995j 0.000371456-0.00232955j 0.00221125+0.0037775j -0.00141712-0.00418201j 0.00381938-0.00425507j -0.00501777-0.00152894j -0.00174274-0.0277943j -0.00309069+0.0146592j -0.0012977-0.0137711j 0.00992259-0.000568268j -0.00366241+0.0133117j 0.00183261+0.00844912j -0.00319421+0.00482176j 0.0014384-0.00397562j -0.0027739+0.00821688j -0.00376233-0.00572749j -0.00256545+0.0125239j -0.00347484+0.010375j 0.00434138-0.0053271j -0.000396882-0.0102718j -0.00301047-0.00143167j -0.00307981-6.20775e-05j 0.00826849-0.00590523j -0.000510957+0.00670175j 0.00178958-0.00522414j -0.00149597-0.00553595j -0.00212853-0.0115516j 0.00486115-0.00245131j 0.00101684+0.00158525j 0.000724785-0.00197491j 0.00205639-0.00207844j 0.00127037+0.00241076j -0.0019926+0.00639966j -0.00707562+0.000370089j -0.000739427-0.0019897j 0.00307164+0.00456174j -0.00340811+0.00324396j 0.00258694+0.00267977j -0.000905757-0.0027598j -0.00135035-0.00122079j 0.00152426+0.00531255j -0.00475972-0.00967801j 0.00314342-0.00901922j -0.00606178+0.000700152j -0.00166338+0.000254048j 0.000810238+0.00508001j 
-0.0037869+0.00735007j -0.00723669+0.000584894j 0.000805641-6.33449e-05j 0.00531986+0.00248779j 0.00811099+0.000147189j 0.00247553-0.00154831j -0.00446925+0.00103921j 0.00213847-0.00284184j 0.00379756-0.00568596j -0.00237043-0.000447355j 0.00330093+0.00341826j 0.00191723-0.00431121j -0.0033608+0.00283881j -0.00207154-0.00552846j 0.00394475-0.00313607j -0.00258142+0.00514725j -0.00401901-0.00512933j 0.00298064+0.0153374j -0.00437872+0.00596614j 0.004765-0.000899158j -0.00280954-0.00588065j -0.00110039-0.0203536j -0.00558094-0.0103594j -0.00221958-0.00922432j -0.00659799-0.00254365j 0.00436985+0.0103682j 0.00696995+0.00270481j 0.00100349+0.00555746j 0.00011985+0.00465709j 0.000222912-0.0172187j -0.00102678+0.0191577j 0.00269496+0.00940286j -0.00179916-0.00458304j 0.00147571+0.00675296j -0.00226458-0.00888672j 0.00345066-0.00320213j 0.00246575-0.00253151j 0.00583719+0.00155478j -0.00288082-0.00639845j 0.00360103+0.00399206j 0.00640074-0.00655628j -0.00712375+0.0124729j -0.000862924+0.0018818j 0.00742436+0.00252164j -0.000136224-0.00215647j -0.000144476+0.0083022j 0.00205955-0.000261712j 0.00573851+0.000848076j 0.000129461+0.00832414j 0.00346163+0.013621j 0.00325224-0.00497702j -0.000570719+0.00148373j -0.00235729-0.00189909j -0.00445513-0.000329809j 0.00477405-0.00523194j 0.00454007+0.00266081j 0.000777623+0.00846201j 0.00194178+0.00148448j 0.00280765+0.00131876j 0.00149886+0.000205182j 0.00193546+0.00227874j 0.00372283+0.000808532j -0.0011393-0.00522549j 0.00685695-0.00321272j -0.0124348+0.00308123j -0.00114451-0.00694244j -0.00450375+0.000109898j 0.00235444+0.00840668j 0.00378245-0.00384131j 
