0.0695551+0.0334383j 0.0411232+0.091254j 0.00815287-0.00148182j -0.00706171+0.0997852j -0.0531355+0.0542994j 0.0625705+0.0355482j 0.0309096+0.0985833j 0.00941333-0.0399071j -0.0151434+0.0926207j -0.00343686+0.0400245j -0.0609123+0.0832683j -0.0698397+0.0129144j 0.0200453+0.021657j 0.00497138-0.0426139j 0.0117651-0.0217085j 0.00395576+0.0275444j -0.0365363+0.0175082j 0.00288303-0.0217564j -0.0348237+0.0248358j -0.00674158-0.00662832j 0.0096193+0.0179194j 0.0050833+0.00998586j 0.0116576+0.011791j -0.0178928-0.00221217j 0.0169014-0.00267369j -0.0322386+0.00338885j 0.0118774+0.00158606j 0.00516196-0.0287693j -0.02806+0.0115285j -0.0122259-0.0318969j 0.0384283-0.00365658j 0.00403527-0.0244163j -0.0383+0.00788126j 0.0201829+0.0152159j 
0.0601575-0.0839227j 0.129821-0.0330789j -5.41856e-05-0.0111152j 0.129912+0.0323565j 0.0592403+0.0825344j -0.0212969-0.00833993j -0.0140745-0.0296062j -0.00119112+0.0129287j 0.000704314-0.0296977j -0.000699804-0.0126995j 0.0153717-0.0286981j 0.0211312-0.00712613j -0.00854262+0.0218571j 0.0295902-0.0134912j 0.0493805+0.00833374j -0.0102417+0.0351143j -0.0438701-0.0532052j 0.0170708-0.0238552j -0.0359243-0.0371576j 0.00291265-0.0178946j -0.00848657+0.0441835j -0.0067772+0.0228882j -0.00873822+0.0265392j -0.00755189-0.0281636j 0.00604548+0.0232842j -0.00700075-0.0438074j 0.00195408+0.0188116j 0.036885-0.0356035j -0.0166651-0.0242919j 0.0453523-0.0517155j 0.0103385+0.0342252j 0.048213-0.00586392j -0.0284875-0.0147683j 0.0068469+0.0215653j 
-0.0539887-0.0552367j -0.00745261-0.100019j -0.00822196-0.00140131j 0.0407607-0.0915742j 0.068538-0.0329183j 0.0704962+0.0143118j 0.0601552+0.084363j -0.00340613-0.0410363j 0.014386+0.0930711j 0.00922563+0.0392757j -0.0321838+0.0983251j -0.0623904+0.0338633j -0.0204705+0.0144772j 0.0376442+0.00847235j 0.00237251+0.0252415j -0.0385421-0.00377515j 0.0132882-0.0307293j 0.0274947+0.0117733j -0.00411312-0.0280225j 0.0117943-0.000833183j -0.0328085-0.00455825j -0.0167782-0.00324432j -0.0170476+0.00123919j 0.0125603-0.0111743j -0.00527925+0.00942264j 0.00974674-0.0164584j -0.00739209+0.00585517j 0.0338036+0.0257181j -0.0027973-0.0215083j 0.0353071+0.0185322j -0.00337367+0.0272521j 0.00982771+0.0213745j -0.0039514-0.0418684j -0.0200359+0.0200974j 
-0.065601-0.0691463j 0.0186121-0.0216068j 0.0241301-0.0847383j 0.00339899+0.029081j -0.0923749+0.0240641j -0.050904-0.0826245j 0.0221911-0.0415588j 0.0285114-0.0769305j -0.019385-0.0151713j 0.0668822-0.0475495j -0.0352946+0.0324805j -0.0925049-0.0276465j -0.00825689-0.0606411j -0.0220033+0.0326153j -0.050667-0.0203695j -0.00698156-0.0111884j -0.0113489+0.0400063j 0.0116587-0.0288213j 0.0102396-0.0317603j -0.0223563-0.00909686j -0.0229383-0.0222909j -0.0201963+0.00825227j 0.0319202+0.0056365j -0.0399333+0.041491j -0.0135407-2.22751e-05j 0.0173335-0.0276517j 0.0257219-0.0272167j 0.0302835+0.0167742j 0.00830025+0.00402103j -0.0214661-0.0198311j -0.0139656+0.0180756j 0.0473561-0.0185832j -0.0412303+0.00394438j 0.0479695+0.0497996j 
-0.116334+0.0619377j -0.0219644-0.0325568j -0.104241-0.0633432j 0.0398911+0.0061968j -0.00162333+0.132098j -0.035883+0.0364651j -0.0242615-0.00640757j -0.043005-0.00486984j -0.00515241+0.0117727j -0.0325756-0.0282586j 0.0210471+0.0143278j -0.00259257+0.0508103j 0.0607403+0.00838365j -0.0191971-0.037738j -0.00831044-0.00208487j -0.00867308-0.0123381j -0.0117031-0.0175226j -0.00520417+0.0202101j 0.0220082+0.012119j -0.00634081-0.0235884j 0.00261567-0.00902724j 0.00450209-0.00616141j 0.0102025+0.0443954j 0.0068255-0.0306132j -0.00942979-0.0105603j 0.0099606+7.08084e-05j -0.00140851+0.0137091j -0.0178823+0.017349j 0.00158082+0.0285415j 0.0116121-0.0267591j 0.00625391-0.00237931j 0.0149089-0.00562993j 0.0192958-0.0383101j -0.0549234+0.0125109j 
-0.0253563-0.0149623j 0.00360495-0.00800945j -8.38889e-05-0.0273293j 0.00351217+0.00830884j -0.0254651+0.0151816j -0.0286693+0.0745729j -0.0383361+0.00636861j -0.0649286+0.0199442j -0.000113443+0.0204105j -0.0649837-0.0200611j 0.0392762+0.00702754j 0.0283419+0.0748398j -0.0394135+0.0141203j 0.0207627+0.0359265j 0.0333936-0.10885j 0.0515334-0.00232833j -0.030556+0.023145j 0.0451476-0.0442406j -0.0010252+0.00363799j 0.0494011-0.000630821j 0.0353181-0.0302113j -0.0274139-0.0134631j -0.0739052-0.024792j -0.0720741+0.0243271j 0.0276066-0.0130646j 0.0367809+0.0301287j 0.0487158+0.00158594j 0.00224128+0.00304739j -0.0427493-0.0444818j 0.0334249+0.0256573j -0.0506971-0.00300033j 0.0312438+0.108254j -0.0212967+0.0354624j 0.0387843+0.0138647j 
0.00292124+0.131784j -0.0388337+0.00499027j -0.103559+0.0647958j 0.0233843-0.0327651j 0.117407+0.060604j -0.00236559-0.05045j 0.0205975-0.0132191j 0.0326533-0.0280567j -0.00524545-0.011931j 0.0426068-0.00500174j -0.0242074+0.00559135j -0.0352787-0.0357526j -0.0551327-0.0145825j 0.017476+0.0380006j -0.0154381-0.00584358j 0.00612662+0.00279042j 0.0114337+0.0274453j 0.00164317-0.0292808j -0.0175569-0.0168999j 0.00133402+0.013759j -0.0104407-0.000411955j -0.0095613+0.0105375j -0.00611358-0.0303772j -0.010946+0.0445823j 0.00434835+0.00629745j -0.00208001-0.0097933j 0.00639928-0.0236363j 0.0224203-0.0126953j -0.00521028-0.0198846j -0.0117809+0.0165844j -0.00860618+0.0116913j 0.00853272-0.00247597j -0.0211327+0.0380781j 0.0608559-0.00654863j 
0.0923555+0.02325j -0.00386487+0.0279096j 0.0253982+0.0845589j -0.0182306-0.0224862j 0.064493-0.0702697j -0.0930482+0.0278254j -0.0348224-0.0321776j -0.0673787-0.0476982j -0.019814+0.0149406j -0.0289053-0.07734j 0.0222083+0.0428615j -0.0505233+0.0823472j 0.0485814-0.0491076j -0.0401129-0.00442594j -0.0464844-0.0196697j -0.0137667-0.0184294j -0.0231783+0.0179537j 0.00891165-0.00485351j 0.0298515-0.0174251j -0.0257664-0.0275447j -0.0160554-0.026896j -0.0134737-0.000206464j 0.0393066+0.0423521j -0.0319512+0.00450594j -0.020028-0.00844177j 0.0236081-0.0224938j 0.0224768-0.00868357j 0.0104149+0.031731j 0.0113978+0.0275912j -0.0096144-0.0409722j -0.00712327+0.0108188j 0.0505219-0.0190712j -0.0216243-0.0335557j -0.00901381+0.0593488j 
-0.0230119-0.0608881j 0.0234068+0.105078j 0.0282794-0.0260654j -0.0878962-0.0409532j 0.097734+0.017535j -0.017411-0.0654767j 0.018244+0.0690572j 0.0650869-0.0762662j -0.00160621-0.0197575j -0.0574537+0.0181317j -0.023701-0.0514272j 0.074151+0.0622529j 0.00902583-0.0489715j 0.00114599-0.0205346j -0.0213983-0.0383529j -0.0214583+0.0370967j -0.0472389-0.00394999j 0.0283082-0.0447164j 0.0234562-0.0405655j 0.0175489-0.0144295j -0.0146701-0.0260324j 0.00968765-0.0223158j 0.00240212-0.00470588j 0.0169434+0.00411111j 0.00393574-0.0173927j -0.0100251-0.00413342j 0.0332359+0.000293261j -0.0118616-0.0246791j 0.0272707-0.0115776j 0.0462549+0.0198191j 0.0299482-0.00508285j -0.0440056-0.00779238j 0.00721917-0.0307083j -0.0267898-0.069955j 
-0.0755526-0.0200746j 0.153278+0.0124871j -0.062294-0.0233348j -0.10366+0.0970251j 0.0434593-0.115558j -0.0431003-0.0182505j 0.0670932-0.0203915j -0.0711177-0.0295962j -0.00620222+0.0265991j -0.0267711+0.035872j -0.0606645+0.00831797j 0.0344808-0.0628671j 0.00887586+0.00521798j 0.00474332+0.0217336j -0.0241752-0.00832294j 0.0379559-0.0445872j -0.00498165-0.0165583j -0.0478475-0.00669437j -0.00482243+0.0215977j 0.00249055-0.00382318j -0.0148787+0.0223857j 0.0121396-0.00929855j 0.00341331+0.0126191j -0.00661278-0.00782398j 0.0128841-0.0172209j -0.0100701+0.000925109j -0.0485109+0.002198j 0.00600788-0.0177087j -0.00531771-0.0233161j 0.0168172+0.00309022j -0.0133543+0.0036543j -0.0217479+0.0175778j -0.0308824+0.00216254j 0.0167667+0.0463391j 
-0.00420286+0.0884083j -0.00153066+0.0367802j 0.0769557-0.159492j 0.0176035-0.0253725j 0.0757186-0.0592426j 0.000232959+0.0782654j -0.0126996+0.0317505j 0.00223258-0.0792194j -0.0493273-0.0522676j 0.101471-0.0075072j 0.0480826+0.00181246j 0.055823-0.00686466j -0.00672926+0.0498687j 0.025363-0.0111232j 0.0164445+0.0375826j -0.0125989+0.0121941j -0.004104-0.0207277j 0.00438613-0.0236355j 0.00152032-0.0228003j -0.0401023-0.0144134j -0.00495675-0.026986j -0.0532382+0.0303955j -0.00649847-0.00236331j 0.00169628-0.00554916j -0.00123243-0.0294645j 0.017651-0.00889432j 0.0492355-0.00702323j 0.00149321+0.0439662j 0.00256562-0.00489312j -0.0573463-0.012944j -0.0405826-0.0288904j -0.0255052-0.00168991j 0.018883+0.0284684j -0.00102054-0.00264984j 
