0.0249709+0.0470037j -0.0529949+0.0644999j 0.0620903-0.0429061j 0.071156-0.0204136j -0.034232+0.0167858j 0.030022+0.010968j -0.0186626+0.00277879j 0.0832037+0.00103134j 0.0179072+0.00325468j 0.0312654-0.00988937j -0.03401-0.0177962j -0.0701707-0.022243j -0.0599281-0.0443895j 0.0488332+0.0654496j 0.0279656-0.0433621j 
-0.108121-0.00782394j -0.0465073-0.0781006j -0.00486028-0.0145535j 0.0248507-0.0343067j -0.0454742-0.0583295j -0.0163769-0.0852439j 0.00302311-0.0359306j 0.0521687-0.000297534j -0.00273998-0.0366912j -0.0172759+0.0836763j -0.0466052+0.0573564j -0.0234442-0.0339257j 0.00398104-0.0109884j 0.0513409-0.0781146j -0.105541+0.00301437j 
0.0124868+0.0453329j -0.0271685-0.0372431j -0.0286205+0.0958617j -0.049744+0.000249874j 0.00991495+0.0660893j 0.0109809+0.0146317j 0.00265101+0.00868988j 0.0228341-0.0239886j -0.0639519+0.0654969j -0.0404282-0.0074102j 0.0250687-0.00269451j -0.0539938-0.00419606j 0.0191028-0.0253925j 0.0403476-0.0188292j -0.0671886-0.0759114j 
-0.025482-0.0476285j -0.0164881-0.0114271j 0.0816394+0.0121973j 0.00264515+0.0726965j 0.0472392+0.0181788j 0.00220299-0.0343675j -0.034859+0.0490941j -0.0306973-0.000374057j 0.034462+0.0487483j 0.0032068+0.0334053j 0.0473455-0.0154113j -0.00584023+0.0737727j -0.0819798+0.0114275j 0.0158286-0.0131134j -0.0247058+0.0469522j 
-0.0598145+0.0546074j -0.0377547-0.052927j -0.0179607+0.0488315j -0.00120331+0.0212623j 0.0277841+0.0603902j -0.0196898+0.000252423j 0.0186067+0.0717343j 0.0202263+0.00499157j -0.0483114+0.0565343j -0.0183089-0.00923373j 0.049668-0.0412449j -0.0090795+0.0215113j -0.00603828+0.0514263j 0.0585968-0.0274782j -0.0282244-0.0765213j 
0.0693202-0.074614j 0.0364007+0.0214234j 0.019489+0.0257768j -0.0537768+0.00307785j -0.0274437-0.00329742j 0.0403703-0.0080492j -0.0634583-0.0657601j -0.0221525-0.024855j 0.00334851-0.00852878j -0.00975681+0.0155572j -0.0110881+0.0654938j -0.0507319-0.00365682j -0.0269517-0.0962187j -0.0277856+0.0334136j -0.0137282+0.0469334j 
0.00572164-0.00343739j 0.0102765-0.0319481j -0.00927361+0.00177415j 0.0577124-0.0506608j -0.00303009+0.034945j 0.0728324+0.0132618j 0.0146621+0.00228553j 0.0137512+0.0311573j -0.0693846+0.0173606j -0.000120178-0.00468667j -0.0156821-0.00564203j 0.0315131+0.0106441j -0.0262379+0.0204753j -0.0296506+0.0219624j -0.00589944+0.0797179j 
-0.00831264+0.0161345j -0.0206753-0.0548346j -0.0432947+0.0148891j -0.03007-0.0876507j 0.0622815-0.00344233j -0.0132787-0.0521946j -0.000913834-0.0120162j 0.0309415-0.0317919j 0.0355749+0.0651497j -0.00242269+0.030416j -0.0264227+0.0123746j 0.0262452+0.0120557j -0.016635+0.00134297j 0.0280491+0.0784778j 0.0817934+0.0111966j 
-0.00801114-0.0351464j -0.00623278+0.0336213j 0.0366474-0.0268817j -0.0317865-0.0317508j 0.0117419+0.0396602j 0.0449653-0.108285j 0.00956417-0.0129111j 0.0521469+0.012809j -0.0190539+0.0915316j -0.025393-0.0233853j 0.0140733-0.000451475j -0.0258864-0.0643418j 0.0667136+0.0290772j -0.0276633-0.00742167j 0.0722576+0.0272356j 
0.0122668-0.0182513j -0.0704605-0.0233042j 0.0375863+0.0815747j -0.0545341-0.0340715j -0.0211355-0.0321861j 0.0718557+0.0461639j 0.0368112-0.0182132j -0.0371358-0.00062765j -0.0358581-0.017432j 0.0724046-0.0478019j -0.0202452+0.0319589j 0.0536148-0.032961j -0.0390463+0.0834729j 0.0694816-0.0225499j 0.0158439+0.0169687j 
-0.0218621-0.0535026j 0.0648138-0.00249527j 0.00650589-0.0168286j 0.0515983+0.00216491j -0.0152755+0.0442197j 0.0304701+0.0174505j 0.0561515+0.00633415j 0.0176255+0.000421021j -0.0563478+0.00719966j 0.0303191-0.0174539j -0.0154823-0.0436233j -0.0507685+0.00203218j -0.00334071-0.0165502j -0.0649873-0.00589626j -0.0241595+0.053917j 
-0.0561474-0.00348698j 0.00367207-0.0260129j 0.0163982+0.0237884j -0.0322329+0.0524197j -0.00586242-0.0334813j -0.0376891+0.0603843j 0.0315357-0.0475731j -0.0602958-0.0452943j 0.0353215-0.0441081j 0.0448614-0.0553106j -0.0344614+0.00508858j -0.0401333+0.0471943j -0.0276811-0.0092425j 0.0236179-0.00964358j -0.0207329-0.0522795j 
-0.0733625+0.0279134j -0.0255238+0.00675935j 0.064529-0.027991j -0.0278314+0.064275j -0.0132236+0.000173642j 0.024308-0.0230427j -0.0189691-0.0924424j -0.052238+0.0102149j 0.0112625+0.0127937j -0.0460264-0.108717j -0.01242+0.0392807j -0.031927+0.0320042j 0.0374146+0.0255694j -0.00608026-0.0311712j 0.0078039-0.0370871j 
0.0785725-0.0159292j -0.0240623+0.0806402j 0.0158583+0.00130234j -0.0250644+0.0158291j -0.0284613-0.00989317j -0.00589296-0.0302686j -0.028943+0.0684063j 0.0327027+0.0300366j -0.00073644-0.0130316j -0.00886056+0.0528455j 0.0622438-0.00360565j 0.0215164-0.0890656j 0.0442223+0.0138244j 0.0168485-0.0564296j -0.00982367-0.0178381j 
-0.00448293-0.0785175j 0.0285792+0.025214j 0.0261521+0.0208147j -0.0312365+0.010248j -0.0163609+0.00647709j -0.000639493+0.00442512j 0.0697155+0.0174617j 0.0150475-0.0301371j -0.0151767+0.00274226j 0.0726455-0.0133889j -0.00320838-0.0353229j -0.0571225-0.0505099j 0.0112132+0.00317733j -0.0106846-0.0324974j 0.00531433+0.0024074j 
-0.0094597+0.00588229j 0.00102153+0.00725918j -0.0229424+0.00601945j -0.0335322+0.00743664j 0.00449371-0.0127606j 0.0159924-0.0115695j 0.00602081+0.0246134j 0.0706859+0.025272j 0.0298847-0.00672678j -0.0167114-0.0619784j 0.0115113+0.0139775j 0.0234656-0.0188203j -0.048608+0.0142559j -0.0494769+0.0202772j -0.0363725+0.036801j 
-0.00774569+0.0127269j -0.00882144+0.0163814j -0.0120844+0.0373958j -0.0369956+0.0259652j -0.0141972-0.0211062j 0.00387394-0.050408j 0.0624408+0.018586j 0.0488364-0.0694168j -0.0157105-0.0504301j -0.0774906+0.0335045j -0.00714551-0.0212745j -0.0185816+0.00789602j -0.0129698+0.0461336j -0.00789193+0.0911946j 0.047473+0.0299335j 
0.00928275-0.00482934j 0.0132189-0.0401716j -0.00620773-0.0147901j 0.0440261-0.00192491j 0.012026+0.00574522j 0.0287469+0.0259569j -0.0369814+0.0388117j 0.0538658-0.0544344j 0.0476276-0.0269596j -0.0899124-0.0536321j 0.0596494-0.0234739j -0.0504606-0.0839045j 0.0224889+0.0311264j -0.0318426-0.00127497j 0.0230027+0.0936241j 
-0.0130054-0.0184233j -0.0181381-0.0221875j -0.0275254-0.0489664j -0.00690132-0.0718326j 0.0464391+0.004503j 0.059988+0.0125782j -0.0361803+0.0802849j -0.00277045+0.0625408j 0.0259611+0.00825646j 0.022361-0.0328271j -0.00415693-0.00807297j -0.0308377+0.00131948j -0.0126532-0.0799543j -0.080564-0.0490095j -0.0129291-0.000969271j 
0.000633514-0.00642653j -0.000687009+0.0385197j 0.013273+0.0214448j -0.0180741-0.00449734j -0.0467507+0.0208487j 0.00834852+0.0249159j -0.0554344-0.0366606j 0.0536471+0.0758336j 0.023595-0.00168881j 0.00235201-0.0349833j -0.00245461-0.0125409j 0.0729943+0.00331339j -0.00765392+0.0356356j -0.0294805-0.0360574j -0.0634824+0.0120798j 
-0.00428207-0.0167668j -0.0208277+0.00744625j 0.00257256+0.00380228j -0.00917609-0.0516443j -0.043873+0.0372562j 0.0467057-0.00490105j -0.0358019+0.00979345j -0.0124577-0.00550603j 0.00512499-0.0424328j -0.0380184+0.0712915j -0.0342036-0.0905882j -0.0189905+0.0276604j 0.0494268-0.00499505j -0.0263923-0.0113863j 0.0424573-0.00470021j 
-0.00641728+0.0113776j -0.00418314-0.0426319j -0.0350187-0.00694605j -0.0170727-0.00499507j -0.0419773+0.0352759j 0.0215949-0.0477348j 0.0242369-0.00578751j -0.0561051-0.0712838j 0.0302723-0.0299752j 0.000672456+0.0571604j -0.044221-0.0809315j -0.0378097+0.00519976j 0.0119023-0.0117785j 0.0231325+0.0312264j 0.0559336-0.0115647j 
-0.00451599+0.0249116j 0.0178497-0.0352066j -0.0419401-0.00852561j -0.0253882+0.0370719j -0.0342974+0.022172j -0.00564844-0.0134407j -0.00534243-0.0405638j 0.00405532+0.0243781j 0.0774433+0.0218336j 0.062267-0.0875195j -0.00718393+0.00222371j 0.0512742-0.0362022j -0.0641361+0.0093522j 0.00706402-0.0116867j -0.0689969+0.0113047j 
0.00662016+0.00725653j 0.0234026+0.0137548j 0.0417653+0.0139929j 0.00115776+0.0418369j -0.0108261+0.0993972j -0.0173864-0.00842937j -0.065879-0.0219362j -0.00254442-0.0151936j -0.0222275-0.0295267j 0.0312214+0.0303693j -0.0769722+0.00574954j 0.0466359-0.0391021j 0.0577721+0.017751j 0.0276512-0.0111383j -0.00849342+0.00224107j 
-0.00389046+0.00768842j 0.017262+0.0173028j 0.0157987+0.0117177j -0.0335082+0.0358164j 0.0283225+0.0938361j -0.0118887-0.042848j -0.0357541+0.0248267j 0.0215144-0.00194008j -0.0280162-0.0351505j 0.0446612+0.017318j -0.101835+0.0291778j 0.038691-0.031398j 0.0208459-0.011087j -0.00906264+0.0200008j -0.00990909+0.000260063j 
0.00917043-0.0543622j 0.0138986-0.00869272j -0.00605923+0.0507549j 0.0302739-0.0331937j 0.0230725+0.0159768j -0.0502282+0.05445j -0.0532969-0.0223699j 0.0799887-0.000756372j 0.0502517-0.0240296j -0.0522875-0.0518855j 0.0223179-0.0171454j -0.0302677-0.0306459j 0.00928488+0.0512467j -0.0152716-0.0107822j 0.00986101+0.0537034j 
-0.0052424+0.055592j -0.0292546-0.0106321j 0.0143907-0.0268065j -0.00159274+0.0413468j -0.0337916-0.0151025j 0.0876895-0.00810392j -0.0088547+0.0435918j 0.00206042-0.0250168j 0.00227319-0.044165j -0.0821388-0.0297455j 0.0366406-0.0068815j 0.00810732-0.0397203j 0.00723812+0.0299131j -0.0302456+0.000719434j -0.00998212+0.0551919j 
-0.0165772-0.0154052j 0.0680409+0.0468881j 0.00772962-0.0477743j -0.0432945-0.0189756j 0.00934474-0.00763157j 0.031601-0.0282617j 0.0191253+0.0627097j 0.107699+0.00165618j -0.0195806+0.0641831j 0.0325046+0.0270612j 0.0116935+0.00867289j 0.0454565-0.0223477j -0.00793555-0.0479188j -0.0666643+0.0454312j -0.0204718+0.0183265j 
-0.00398865+0.00102866j -0.0524516-0.0150027j -0.0496515+0.0279295j -0.0366656-0.00640407j 0.0835138+0.03734j -0.00539633-0.0486945j 0.00434708+0.0674149j 0.00214861+0.0459391j 0.00247656-0.0685583j 0.00522501-0.0506509j -0.081383+0.0406214j -0.0368602+0.00634549j -0.0489989-0.0281151j -0.0538411+0.0163235j 0.00222129+0.00215023j 
-0.00239986-0.00667303j 0.0189308+0.0084766j 0.00495922-0.0228342j 0.0035435-0.00857535j 0.0265141-0.0250276j 0.00497286+0.00427932j 0.0136385+0.0304184j 0.0271355+0.000623889j -0.0139414+0.0310763j 0.00486214-0.00436571j 0.0277711+0.0246279j -0.00352539-0.00954022j -0.0049772-0.0226094j -0.018797+0.00778013j -0.00346093+0.00721594j 
-0.0093519+0.000727943j 0.0101195+0.0196493j -0.0215704-0.0108735j -0.0361615-0.0296096j -0.10275-0.0274096j 0.0441162-0.0181499j 0.0278582-0.0346509j 0.0215716+0.00230359j 0.0372377+0.0258322j -0.0109272+0.0424616j 0.0276605-0.0939832j 0.0341192+0.0365413j -0.0159427+0.0113969j -0.0167737+0.0175251j -0.00497358-0.0064156j 
0.00870507+0.00423458j 0.0244692+0.0149929j 0.0611252-0.00751485j 0.0376974+0.04521j 0.0749717+0.0159964j -0.0360121+0.0255475j -0.0264258+0.0245314j 0.00321718-0.0153877j -0.06969+0.01133j 0.0172996-0.00550151j -0.00329329+0.100292j 0.00827377-0.0428985j 0.0425292-0.00612603j 0.0270243-0.0100771j -0.00655314+0.00532439j 
0.0703436+0.0102036j 0.00481864+0.0104971j -0.0644179-0.00694676j 0.0542525+0.035365j 0.00844224+0.00419251j -0.0648229-0.0871588j 0.075411-0.0246595j -0.00232616+0.0257451j -0.00401623+0.0390192j 0.00434059-0.0152318j 0.0343592+0.0201471j -0.0281933-0.0373686j -0.0421143+0.0104339j 0.0176012+0.033498j 0.00591904+0.0270146j 
-0.0550823-0.0123754j 0.0254441-0.0313939j 0.0112504+0.0106662j -0.0384942-0.00521876j 0.0415329-0.0811036j 0.00171494+0.0570593j 0.0292738+0.0308343j 0.0571106-0.0731511j 0.0237988+0.00690925j -0.0223193-0.047069j 0.0432243+0.0327408j -0.0183156+0.00386847j -0.0349197+0.00593365j -0.00499252+0.0428629j 0.00684608+0.0133749j 
-0.043103-0.00311333j -0.0243692+0.0118376j 0.0475255+0.00319425j -0.021283-0.0250866j 0.0318958-0.0915012j 0.0397466+0.068661j 0.00629679+0.0434251j 0.011315-0.00679523j -0.036983-0.00738895j -0.0457162-0.00394614j 0.0444997+0.0374188j -0.00865088+0.0510301j 0.00196728-0.00548506j -0.0206733-0.00524471j 0.00308415-0.0172435j 
-0.0624127-0.0107909j 0.0310273-0.0372104j 0.00877024+0.034068j -0.0715796+0.00456102j -0.00244654+0.0135318j 0.00468719+0.0349673j -0.024043+0.000865408j 0.0520162-0.0791035j 0.0534965-0.0379095j 0.00769433-0.024793j -0.0469241-0.0191987j 0.0187099-0.00652321j -0.0122087+0.020538j 0.00174678+0.0387382j 0.00148863+0.00847548j 
-0.00836041-0.000269271j 0.0804102-0.0476283j 0.0146177-0.0806827j 0.0322012+0.0033617j -0.00456056+0.00995222j 0.0197984+0.0322502j -0.0257899+0.00809287j -0.004417-0.0595421j 0.0362793+0.0811195j 0.0599636-0.011054j 0.0470688-0.0050378j 0.00596189-0.0745271j 0.0274068-0.0469409j 0.0195011-0.0245227j -0.0127019+0.0182436j 
-0.0234603+0.0939749j -0.0310033-0.00312722j 0.0195812-0.0300743j -0.0496237+0.0851951j -0.0598957-0.0212251j 0.0895361-0.0568176j 0.0500134+0.0268283j -0.0553605-0.0550796j -0.0350011-0.0378101j -0.0279248+0.0243617j -0.0119652+0.0055602j 0.0429955+0.000784983j -0.00869866+0.0140159j 0.0144813+0.0410189j -0.00855157-0.00322398j 
0.0478475-0.0255643j 0.00393049+0.0917271j 0.0124766+0.0487155j 0.0183909+0.00784595j -0.00734595+0.0198701j -0.0772836-0.0354641j 0.0157806-0.0508644j 0.0471081+0.0691812j -0.0632604+0.0161466j 0.00134671+0.0497627j -0.0142475+0.021662j 0.0384676+0.027548j 0.0107799+0.037714j 0.0096343+0.0175387j -0.00741925-0.0126211j 
-0.0346573-0.0356965j 0.0508732+0.021819j 0.0498181+0.0140177j -0.024399-0.0180359j 0.00975719-0.0142544j -0.0160684+0.0615189j -0.0302644-0.00603918j 0.0696689-0.0263469j -0.00725969+0.0255971j 0.0159955+0.0123466j 0.00514587+0.0130074j 0.0350407+0.0061517j 0.022867+0.00536435j -8.18153e-05+0.00768343j -0.00978425-0.00547317j 
