0.0284889-0j 0.0254812-0j 0.0238887-0j 0.0174458-0j 0.0107438-0j -0.150871-0j -0.184779-0j -0.134943-0j -0.155819-0j -0.113794-0j -0.160023-0j -0.0371651-0j 0.383839-0j 0.00375108-0j 0.321859-0j 0.407122-0j 0.332414-0j 0.242761-0j 0.228877-0j 0.144755-0j 0.00314538-0j 0.00397863-0j 0.00324853-0j 0.00237239-0j 0.00223671-0j 0.00141462-0j 0.00132621-0j 0.359849-0j 0.214572-0j 0.0386012-0j 0.00351664-0j 0.00209692-0j 0.135707-0j 0.000377233-0j 
-0.110337-0j -0.0986884-0j -0.0925204-0j -0.0675673-0j -0.0416107-0j -0.0200185-0j -0.0245176-0j -0.0179051-0j -0.020675-0j -0.0150989-0j -0.0212328-0j -0.00493128-0j -0.00375108-0j 0.42682-0j -0.00314538-0j -0.00397863-0j -0.00324853-0j -0.00237239-0j -0.00223671-0j -0.00141462-0j 0.3579-0j 0.452711-0j 0.369637-0j 0.269945-0j 0.254506-0j 0.160964-0j 0.150904-0j -0.00351664-0j -0.00209692-0j -0.000377233-0j 0.400144-0j 0.2386-0j -0.00132621-0j 0.0429237-0j 
-0.00165466-0j 0.0231921-0j -0.0245176-0j -0.0179051-0j 0.030584-0j 0.0747692-0j 0.00518222-0j 0.00378456-0j -0.0684813-0j -0.103215-0j 0.0793047-0j -0.0684619-0j 0.00164197-0j 0.00640077-0j 0.0243295-0j 0.00174157-0j -0.0222835-0j -0.0162735-0j -0.0316647-0j -0.0303494-0j 0.0948421-0j 0.00678904-0j -0.086866-0j -0.063438-0j -0.123437-0j -0.118309-0j 0.0399889-0j 0.0272012-0j 0.0162197-0j -0.0135987-0j 0.106037-0j 0.0632281-0j 0.0102582-0j -0.053011-0j 
0.000246662-0j -0.00345728-0j 0.00365486-0j 0.00266914-0j -0.00455919-0j -0.0350194-0j -0.00242718-0j -0.00177256-0j 0.0320743-0j 0.0483423-0j -0.0371437-0j 0.0320653-0j 0.0107127-0j 3.24776e-05-0j 0.158734-0j 0.0113626-0j -0.145384-0j -0.106174-0j -0.206591-0j -0.19801-0j 0.00048123-0j 3.44476e-05-0j -0.000440759-0j -0.000321885-0j -0.000626318-0j -0.000600301-0j 0.000202904-0j 0.17747-0j 0.105822-0j -0.0887225-0j 0.000538031-0j 0.00032082-0j 0.066928-0j -0.000268978-0j 
0.00523249-0j -0.07334-0j 0.0775314-0j 0.0566209-0j -0.0967151-0j 0.0167754-0j 0.00116269-0j 0.00084911-0j -0.0153646-0j -0.0231574-0j 0.017793-0j -0.0153602-0j 0.000177887-0j 0.000688953-0j 0.0026358-0j 0.000188678-0j -0.00241414-0j -0.00176304-0j -0.00343048-0j -0.00328799-0j 0.0102084-0j 0.000730745-0j -0.00934991-0j -0.00682821-0j -0.0132862-0j -0.0127343-0j 0.00430425-0j 0.00294692-0j 0.0017572-0j -0.00147325-0j 0.0114134-0j 0.00680562-0j 0.00111135-0j -0.00570589-0j 
0.00375108-0j -0.00301524-0j 0.00314538-0j -0.00642585-0j 0.00141462-0j 0.0178529-0j -0.0243295-0j 0.0497039-0j -0.0205165-0j 0.0134655-0j -0.02107-0j -0.00489346-0j -0.0454203-0j 0.0130407-0j -0.0380861-0j 0.0536051-0j 0.0437684-0j -0.0894165-0j 0.0301359-0j -0.0171291-0j 0.0109349-0j -0.0153906-0j -0.0125664-0j 0.0256725-0j -0.00865235-0j 0.00491795-0j 0.0240922-0j 0.0473807-0j 0.0282524-0j 0.00508256-0j -0.0136035-0j -0.00811158-0j -0.0839122-0j -0.00145926-0j 
0.00343562-0j 0.00344291-0j -0.00324853-0j -0.00237239-0j -0.00603834-0j 0.0205165-0j -0.0222835-0j -0.0162735-0j -0.0210536-0j 0.0105175-0j 0.021761-0j 0.0473369-0j 0.0462891-0j -0.0132901-0j -0.0437684-0j 0.049097-0j 0.0449143-0j 0.0328007-0j -0.0211542-0j -0.0813562-0j 0.0125664-0j -0.0140963-0j -0.0128954-0j -0.00941747-0j 0.0060736-0j 0.0233583-0j 0.00529846-0j -0.0489346-0j -0.0291789-0j -0.0859811-0j 0.0140497-0j 0.00837761-0j -0.0184544-0j 0.0246862-0j 
-0.0167754-0j 0.0134846-0j -0.0140666-0j 0.0287373-0j -0.00632638-0j -0.0385526-0j 0.0525387-0j -0.107334-0j 0.0443045-0j -0.0290782-0j 0.0454998-0j 0.0105672-0j -0.0149606-0j 0.00198506-0j -0.0125448-0j 0.0176565-0j 0.0144165-0j -0.0294521-0j 0.00992617-0j -0.00564198-0j 0.00166452-0j -0.00234277-0j -0.00191286-0j 0.00390788-0j -0.00131706-0j 0.000748612-0j 0.00366732-0j 0.0156063-0j 0.00930578-0j 0.0016741-0j -0.00207073-0j -0.00123475-0j -0.0276391-0j -0.000222129-0j 
-0.0153646-0j -0.0153972-0j 0.0145279-0j 0.0106097-0j 0.0270043-0j -0.0443045-0j 0.0481203-0j 0.0351421-0j 0.0454644-0j -0.0227122-0j -0.046992-0j -0.102222-0j 0.0152467-0j -0.00202303-0j -0.0144165-0j 0.0161716-0j 0.0147939-0j 0.0108039-0j -0.00696777-0j -0.0267972-0j 0.00191286-0j -0.00214575-0j -0.00196294-0j -0.00143353-0j 0.000924525-0j 0.00355561-0j 0.000806533-0j -0.0161181-0j -0.00961097-0j -0.0283205-0j 0.00213864-0j 0.00127524-0j -0.00607851-0j 0.00375773-0j 
3.24776e-05-0j 0.000409106-0j 0.00048123-0j -0.000983127-0j -0.000600301-0j 0.00414391-0j -0.000319582-0j 0.00065289-0j 0.00422317-0j -0.00572043-0j -0.00489065-0j 0.00422198-0j -0.00126766-0j 0.000112909-0j -0.0187832-0j 0.00149609-0j -0.0191425-0j 0.0391072-0j -0.0272015-0j 0.0234308-0j 0.001673-0j -0.000133255-0j 0.001705-0j -0.00348323-0j 0.00242281-0j -0.00208695-0j 0.003686-0j 0.0233671-0j 0.0139335-0j -0.0116819-0j -0.00208128-0j -0.00124104-0j -0.0413837-0j 0.0010405-0j 
-0.0102728-0j 0.00825757-0j -0.00861398-0j 0.0175979-0j -0.0038741-0j 0.00167501-0j -0.00228267-0j 0.00466338-0j -0.00192492-0j 0.00126337-0j -0.00197685-0j -0.00045912-0j 0.000313865-0j -0.0726424-0j 0.000263184-0j -0.000370424-0j -0.00030245-0j 0.00061789-0j -0.000208246-0j 0.000118366-0j -0.0609125-0j 0.0857327-0j 0.0700004-0j -0.143007-0j 0.0481974-0j -0.0273952-0j -0.134204-0j -0.000327412-0j -0.000195231-0j -3.51217e-05-0j 0.0757777-0j 0.0451851-0j 0.000579854-0j 0.00812873-0j 
