0.272026-0.0418066j -0.357524+0.259917j 0.249244+0.551148j 0.300713-0.0837038j -0.00399766+0.0592217j -0.146777+0.00371075j -0.034396+0.0543788j 0.0593808-0.00118547j -0.0984708+0.0939737j 0.0233245-0.0336798j 0.0402906+0.0296962j 0.0683536+0.0103707j 0.0101849-0.00461848j 0.0581031+0.0266649j 0.00884914+0.0643615j -0.0239143+0.0409215j -0.0689034+0.0325j 0.0495099+0.039088j -0.0824174-0.0837047j -0.014343-0.072072j -0.00712399-0.0456837j -0.0087157+0.0734517j 0.0196553+0.0334868j 0.0693757-0.100708j 
0.930867+0.00681822j 0.369664-0.0393561j -0.0968685-0.0750506j -0.0512476+0.00641601j -0.0742443-0.00347016j 0.0608013+0.00839295j -0.0178247-0.0300558j -0.0251533+0.0287727j 0.0237967-8.54799e-05j -0.0152791-0.0553745j 0.0222649-0.0227571j -0.00828893+0.00104628j -0.0368828+0.0116213j 0.0269212-0.0306261j -0.0267758-0.0132347j 0.0116607+0.0239085j 0.0039306+0.0112399j 0.0160715-0.0269905j 0.00530454+0.00611016j 0.0288967+0.024464j 0.00722529-0.0234172j -0.0148841+0.0242142j -0.00663531-0.00145408j 0.00592002+0.000438294j 
0.118565-0.0143272j -0.251047+0.0527599j 0.110009+0.289102j 0.0978824-0.199181j -0.124239-0.109931j -0.213333-0.0503844j 0.0041105-0.0218545j 0.00345257-0.00963682j 0.116867-0.107836j -0.0524453+0.0505492j 0.0217092-0.0366445j 0.0792587-0.0295811j -0.0377026-0.181167j -0.0283544-0.157237j 0.0779704-0.030032j -0.0155029-0.0437629j 0.109432-0.0666629j -0.105086-0.0991668j 0.135871+0.188556j 0.0487939+0.0961553j 0.00866536+0.0449913j 0.00661349-0.0534814j -0.0633059-0.0723881j -0.0345123+0.151456j 
0.0197389+0.0454494j -0.0981798-0.0581459j -0.0120692+0.0488711j -0.170045-0.027131j -0.0263987+0.242245j -0.0292019+0.0652552j 0.0874739-0.147608j -0.0471809-0.0772169j -0.130901-0.125697j 0.163574-0.00821949j -0.0742127-0.008437j -0.15255+0.0279284j 0.0588766+0.0429119j 0.188341+0.0364844j -0.0227012-0.0696599j -0.0195478-0.0272848j -0.00246136-0.0741065j -0.140588+0.0538978j -0.039012+0.230061j -0.0527708-0.0432441j -0.00250538+0.0325664j -0.0577947+0.121967j 0.116777-0.0263979j -0.0869187+0.214244j 
-0.0564097+0.0279435j -0.00630063-0.0334625j 0.00725523+0.0514844j -0.0139779-0.211701j 0.185368+0.0409503j -0.0477399-0.0748833j 0.128281-0.162066j -0.0063306+0.0921208j 0.172961+0.11487j 0.0451468-0.129829j 0.301976-0.0714996j 0.0625967-0.122654j 0.0721889+0.257342j 0.0979587+0.230644j -0.0328556+0.0442567j -0.0991558-0.0168581j -0.113641+0.2908j -0.0209824-0.00640614j 0.118734-0.0143831j -0.0277429-0.126071j 0.0440688-0.0680373j -0.00803863+0.119746j -0.106531+0.0148572j 0.0315535-0.155351j 
0.0639014+0.0158625j 0.0540947+0.00281688j 0.0307267+0.0135504j 0.126892-0.0966239j -0.351114+0.0379322j 0.197135-0.122145j 0.20209+0.0900812j 0.0747373-0.121058j 0.0350632-0.0210908j 0.0608725+0.346956j 0.0793917+0.169502j -0.00168804-0.115839j 0.0469484+0.120884j 0.0395995+0.179597j -0.013006+0.0537645j 0.0401039+0.00485894j -0.0516188+0.0178233j -0.0418226+0.0156834j 0.0270252-0.0433433j -0.00776696+0.00445846j 0.0064521+0.00722861j 0.0208261-0.0471817j -0.0266235+0.0105494j 0.0030331-0.0560106j 
0.0162789-0.0300752j -0.0624001-0.0362494j -0.0487385+0.0978731j -0.168461+0.0675595j -0.117558-0.23958j 0.000124399+0.224382j -0.191749-0.125169j 0.275066-0.0539866j 0.00450898-0.152975j -0.193152+0.116379j 0.0599569-0.106826j -0.0549774-0.0272691j 0.0482196+0.246501j -0.0468849+0.184723j -0.0913703+0.0147244j -0.155427+0.123273j -0.0904726+0.175606j -0.0164687+0.140272j 0.00983507+0.056143j 0.00151661-0.0968008j 0.0297508-0.0648483j -0.0494932+0.166444j -0.0277929+0.053816j 0.0363144-0.0315461j 
0.0502987+0.013515j -0.0436228+0.0127929j -0.0204302+0.0692522j -0.087577+0.0982333j 0.152174+0.195623j -0.166609+0.165067j -0.15398+0.0209953j -0.101531-0.0269114j -0.156001+0.0064358j 0.0987479-0.215114j -0.0580146-0.15571j 0.0649272+0.127883j -0.0375679-0.0236795j -0.048884+0.0289573j 0.0181384-0.0300829j 0.0809131-0.0263806j -0.0457555+0.0673871j 0.160566-0.0266141j -0.162098-0.107942j 0.0591208-0.0299163j -0.038881-0.0305872j -0.0848516-0.0644047j 0.015557+0.121714j -0.0909768-0.144751j 
0.0273871-0.00377581j -0.073142-0.0524554j -0.00217828+0.0605063j -0.0336205-0.181745j 0.00398657-0.170281j -0.149551-0.0748096j 0.179527-0.0478427j 0.0991236+0.149891j 0.185613-0.125361j -0.137377-0.0137776j -0.116569-0.0245039j -0.0946583-0.00937652j 0.0241017-0.0802351j 0.115069-0.0762678j 0.0956425-0.0278599j 0.112557-0.0234246j 0.0698347-0.205923j -0.067858+0.0370345j 0.0170871-0.179021j -0.0281607+0.0267156j 0.0312059+0.0229174j 0.116687-0.149139j -0.0389993+0.0414809j -0.0105235-0.102002j 
-0.0162853-0.00960645j 0.0395144+0.0288359j -0.0293456+0.00846281j 0.0367831+0.036535j -0.0371646-0.0274962j -0.0576773-0.00667788j -0.229802-0.0391892j 0.0157026-0.0758076j 0.0217863+0.0614675j 0.0324718+0.0117092j 0.259352-0.137708j 0.0351115-0.0265874j -0.0517406-0.019386j -0.246725+0.0453309j -0.0343484+0.142744j 0.108238+0.104756j 0.0298535+0.18477j -0.0607667+0.0653177j 0.0311497+0.0623534j 0.222409+0.376858j -0.10783+0.272725j 0.0619766-0.289751j -0.0170026-0.0140804j -0.0259189+0.104468j 
-0.0794889-0.00275649j 0.0964287-0.000818335j -0.0817472-0.111629j 0.0773137-0.020194j -0.165109-0.0610268j -0.152664-0.160427j -0.195676+0.0626413j -0.058282-0.146806j 0.0857096-0.0579474j 0.0537336+0.0528619j 0.118211-0.095835j 0.0758815-0.00318404j -0.203356-0.23603j -0.144261-0.242129j 0.0614529-0.00850379j -0.214629-0.0074864j 0.10282-0.0517252j 0.148551-0.200345j 0.0987578+0.113752j -0.0786646-0.246214j 0.0856209-0.195933j -0.0909456+0.263182j -0.0748209+0.027391j 0.0189064-0.0235359j 
