-0.0876132-0.0175136j 0.0801044-0.113512j -0.0128843+0.00463938j 0.0620923+0.0899091j -0.0261458-0.029047j 0.0396269-0.0306597j -0.0481142-0.0950051j -0.0477892-0.0300556j -0.0626299-0.0308281j 0.111524-0.0683948j -0.16606-0.0856223j 0.00570985+0.148672j -0.142555-0.014522j 0.0126521-0.151766j 0.13556+0.0678763j 
-0.0387887+0.0457272j -0.0523882-0.00379832j -0.062084-0.000872225j -0.0905989+0.0602785j -0.115314-0.00704553j 0.0514904+0.0156226j 0.0449424-0.0354419j -0.0103441+0.0747696j 0.0894465-0.197296j 0.0824459+0.0702463j 0.130751-0.0175043j -0.149531-0.00941234j 0.132611+0.00553431j 0.181007+0.0835322j 0.0667154+0.0651037j 
-0.0640024+0.0492617j -0.116921+0.0487879j 0.0434461-0.01922j -0.0535564-0.0319534j -0.163922+0.0722261j -0.198242+0.0252922j 0.0493496+0.0904912j 0.126701+0.14303j -0.0622539+0.0244867j -0.0638236-0.039314j 0.375507+0.112435j -0.205055-0.100712j 0.194197-0.00543045j 0.25622-0.0344342j -0.054667-0.280705j 
-0.0401879-0.0784087j 0.149276-0.157389j 0.0458093+0.00773485j 0.0876333+0.0334613j 0.00323875-0.0876837j 0.047427-0.0243823j -0.0406042-0.0641219j 0.00834376+0.0275103j -0.0476988+0.0396741j 0.0770561-0.129114j -0.188018-0.0576002j -0.133593-0.00192921j -0.132189-0.0309697j 0.0394439-0.220321j 0.0246654-0.0264542j 
0.0598321-0.0885039j -0.106777+0.11295j 0.0536697+0.169146j 0.129544-0.0293151j 0.185987-0.194761j -0.0575235+0.0620181j -0.250716+0.013137j 0.144268+0.1269j -0.104138-0.174965j -0.133665+0.0643818j 0.135985+0.0355774j -0.0688586-0.235663j -0.0587943-0.166849j -0.0919098+0.0854135j -0.17854+0.0455917j 
-0.0982792+0.0671914j -0.0466527+0.00841766j 0.173389+0.185439j -0.0164837+0.0384013j -0.0901098-0.0306343j -0.229696-0.0267432j 0.0469081-0.0974993j 0.0518884-0.0312122j -0.188466+0.180861j -0.0184517-0.151688j -0.155883-0.00678153j 0.0307711+0.11673j -0.187034-0.112113j -0.100302-0.0767861j 0.0490283+0.215358j 
-0.0858825+0.150067j -0.0873683+0.0196223j -0.107988+0.17176j -0.0646666+0.132038j -0.252086-0.0966929j -0.0343829-0.0248581j 0.184083-0.0554608j 0.00829163+0.106645j 0.0492835-0.154216j 0.253824-0.0200831j -0.0116297-0.0733414j -0.155966+0.134119j 0.100891+0.0560953j 0.0768887+0.0749243j 0.144912+0.252798j 
-0.143919+0.132958j -0.133022-0.00846981j -0.0171689-0.0625063j -0.00371461+0.0729985j -0.0267917+0.102084j -0.00805316+0.151959j -0.228806-0.0803377j -0.269334-0.043213j 0.00360032-0.229195j -0.0809387+0.136293j 0.0476926-0.152911j 0.0611386+0.0736555j 0.051618+0.0612567j -0.0137177+0.0347512j 0.119123+0.129343j 
0.0544019+0.0933093j 0.017545+0.0436772j -0.0330193-0.12544j -0.114902-0.019675j -0.0314138+0.175298j 0.0172548-0.0288459j 0.160163+0.109737j -0.116519-0.143117j 0.0295341+0.15915j -0.04744+0.00837893j -0.0516971+0.0404631j 0.161044+0.0556388j 0.0671392+0.0636083j -0.0624439+0.0164494j 0.00726377-0.0118787j 
0.01295-0.016876j -0.0565563+0.217016j -0.118477+0.168691j 0.233633-0.0962647j -0.0164486-0.18919j 0.0101713+0.136263j -0.0568761+0.0542648j 0.132196-0.0852816j 0.0264089-0.196171j -0.102184-0.0303462j -0.143669-0.00279013j 0.155124+0.145159j 0.110028+0.0232499j -0.102354+0.152707j -0.0764659+0.0792785j 
-0.0695943-0.16285j 0.226798-0.243796j 0.208405-0.0126745j 0.0697178-0.158973j -0.0768348-0.00940724j 0.207327+0.141016j -0.235471-0.173485j 0.0415729-0.101031j 0.0275896-0.169128j -0.12837-0.0307415j 0.0854117+0.0781873j -0.0716092-0.135054j -0.12647-0.12825j 0.0776183-0.122813j -0.0419932-0.0392853j 
-0.0320264-0.0694148j -0.117233-0.0129888j 0.0598417-0.0116686j 0.0794847+0.0884819j 0.132519-0.0267889j -0.14837-0.0559063j -0.159767+0.019503j 0.0212541+0.148664j -0.179875+0.0209284j 0.0167708-0.0271087j 0.081054-0.0567439j -0.0883019-0.0223974j -0.0955012-0.106839j 0.0520953-0.0700281j -0.0382712-0.109796j 
0.0534324-0.0502361j 0.193538-0.0949388j -0.00660011+0.0224576j 0.017444-0.0716436j -0.0843724-0.0565407j 0.234518+0.0595976j 0.0702822-0.0686156j 0.0409133-0.0731057j 0.179769-0.0901292j 0.0531213-5.84746e-05j -0.0337257+0.0953557j 0.0145897-0.0657569j -0.0131087+0.0145274j -0.0263017+0.0190639j 0.00193582+0.0712529j 
-0.0719646-0.0246219j 0.0514043-0.0300652j -0.0593667-0.100518j 0.059477-0.0135579j -0.16584+0.0421779j 0.0528273+0.0195393j -0.0160717+0.0242037j -0.0322382-0.0907354j 0.0329163-0.148452j 0.0882343-0.0717523j 0.0481103-0.0486715j -0.014647+0.146203j 0.124958+0.0882035j 0.0936903-0.0287454j 0.0546843-0.0635731j 
