0.0188546+0.0925313j 0.141726-0.0497141j -0.0137643-0.0099987j -0.0278115+0.0489432j 0.217085+0.00927377j -0.120788-0.0257559j -0.145117-0.0757006j -0.0878109-0.112276j 0.0283902+0.0904129j 0.194489-0.0359791j 0.023732+0.0588017j 0.0790402-0.0407941j 0.141892+0.0905568j 0.251455+0.0522293j 0.193593-0.167208j 0.184281-0.00543052j 0.108347-0.0105433j -0.199518-0.127335j 
0.100771-0.12511j 0.00448165-0.0982649j 0.0511917+0.0467191j 0.0834279-0.00384113j -0.0503555+0.0681995j 0.139585-0.159756j 0.121996-0.0153343j 0.00308204-0.117448j 0.206889-0.0620215j -0.0509054+0.145024j 0.0285819+0.0898483j -0.0103176+0.0693877j 0.0568323-0.0561006j 0.0199727+0.170653j 0.199912+0.0848037j -0.0614463+0.149468j -0.135265-0.127071j -0.0609174-0.255416j 
0.0425476-0.0683837j -0.0848603+0.048476j -0.0118592-0.162004j -0.16864-0.114434j -0.41045-0.114861j -0.0823462+0.221878j 0.158645-0.00993107j 0.197764+0.230748j -0.110885+0.0408098j 0.0168146+0.00194762j -0.0113596-0.238579j -0.138868-0.0868776j -0.143266-0.049592j 0.170175+0.0786855j 0.0770754-0.0177481j 0.126565+0.0573361j 0.00822717-0.00300687j -0.066159+0.0274436j 
-0.0701367-0.029003j -0.173431+0.102118j 0.191634+0.0251088j -0.305725+0.187588j 0.15945-0.0244637j -0.20726+0.227242j -0.206098-0.212338j 0.107302+0.0813881j -0.00941828+0.03204j 0.0784794+0.00571018j -0.146434-0.0827612j 0.359427-0.113485j 0.202699+0.00279211j -0.0682077+0.00260178j 0.0507652+0.0771023j -0.0765221+0.0470144j 0.0236918+0.0400724j 0.0699605-0.0411588j 
0.0395278+0.0485575j -0.080862-0.120697j 0.0677804-0.0208686j -0.0590417-0.0539903j -0.0995447+0.0448731j -0.0214537-0.144221j -0.109685-0.215878j 0.075401-0.0867197j -0.0639407-0.128948j 0.0594849-0.0309444j -0.0507174+0.0150654j -0.164589-0.0827803j -0.0341443+0.169813j -0.306942+0.0475306j -0.124026-0.254121j -0.00610631+0.0667328j 0.194071+0.276426j 0.213158-0.126857j 
-0.0705044+0.0679931j -0.044339+0.0427438j 0.0072195+0.153344j -0.187374+0.068461j -0.100343-0.26104j -0.0638689+0.0871101j -0.0919197-0.296547j 0.192238+0.231167j -0.0218319+0.0437477j 0.0101567-0.0345642j -0.155844-0.0853947j 0.0447994-0.0669623j 0.0632241+0.0367874j 0.00133125+0.0162192j 0.0635209+0.00866827j 0.0515942+0.024286j 0.00336508-0.020714j 0.0306227+0.0312881j 
0.0331415-0.110794j -0.0695051+0.139296j -0.154986-0.199748j -0.0923181+0.0705708j 0.105986-0.0808637j -0.0165774+0.128323j 0.0548176+0.0310573j -0.109395+0.0617399j 0.204158-0.178466j 0.0998987-0.156385j -0.0248165-0.0292425j -0.0820177-0.0352663j 0.0192453-0.0888305j -0.149776+0.332219j -0.247594-0.159659j 0.0438503+0.055459j -0.148265-0.0909648j 0.0397146-0.0788627j 
-0.0199365-0.0969001j -0.073908+0.103054j 0.0895632-0.369685j -0.0394078-0.140561j -0.201025+0.27964j -0.244632+0.130932j 0.112129+0.306047j 0.0162805-0.0792j -0.0705474+0.12713j -0.0150116+0.0609059j 0.0867614-0.138022j -0.0763789-0.0327694j -0.0283988+0.00502003j -0.140823-0.0329229j 0.21516-0.0571104j 0.0169668+0.0474099j 0.0524-0.0399997j 0.0201219+0.0509554j 
-0.160695+0.0867351j 0.154764+0.0242996j -0.137594-0.017473j 0.128122+0.0358037j 0.200414-0.220171j 0.0712083-0.0451692j 0.125415-0.0490848j -0.0787689+0.0555577j 0.0626414+0.160351j -0.0305243-0.00143439j -0.0618941+0.000446864j -0.0774032-0.242934j 0.0694714+0.038467j -0.188697-0.129342j 0.360764-0.0457865j -0.0187736+0.0540101j 0.111692-0.0781422j 0.0105296-0.010733j 
0.0532313-0.156409j -0.126099+0.111764j 0.104602+0.0275982j -0.0947181+0.0325306j -0.145001-0.0195084j 0.00169294-0.225206j -0.0445123-0.143543j 0.0778228+0.00776008j 0.318797+0.0884947j 0.161777+0.0615928j -0.0852579+0.00514094j -0.00392468+0.08752j 0.0154411+0.000435139j 0.00105628+0.0211615j 0.167757+0.0879395j -0.00848112+0.0288785j -0.172621-0.395318j -0.163403-0.0358251j 
-0.0812647+0.0700818j -0.102843+0.162625j 0.053372+0.0891286j 0.058591+0.0162624j 0.0888479+0.055206j 0.050245-0.201606j -0.163784-0.0165908j -0.0117804-0.0241488j 0.00933823+0.0448265j 0.0281643+0.00181997j -0.0224644+0.112341j 0.00445318+0.134006j -0.0674503+0.0188148j -0.283961-0.11595j -0.186965-0.0221928j 0.0935638-0.0140496j -0.0972847-0.102294j 0.0766577+0.270163j 
