-0.0307017-0.0219j -0.00240123+0.00538904j 0.00890322+0.0231363j 0.0140515-0.0158525j -0.0532665+0.00664429j -0.00659626-0.00857389j -0.0515257-0.0122704j 0.0337942-0.0129819j -0.0273662+0.0165116j -0.126962+0.00859154j 0.2339-0.0207397j -0.310372+0.0765266j -0.020529+0.179087j 0.132089+0.00568364j 0.131576+0.000740588j 0.115914-0.0692351j -0.00959506-0.0777721j -0.0566907-0.0561919j 0.0894864+0.0220487j 0.0134046-0.0742452j 0.0897377-0.0564439j -0.0238301-0.0357897j -0.0992741+0.0614194j -0.134512-0.206692j -0.00302022+0.0815108j 0.00114226-0.247428j 0.0205189-0.141885j 0.0167613+0.286601j 0.0501108-0.188306j 0.102481-0.18674j -0.0273572-0.114765j 0.245517+0.000807049j 0.462297+0.0986292j -0.080295+0.103349j 
-0.103501-0.00647977j -0.148876+0.00298509j -0.0485523+0.0171184j -0.0247474+0.0151295j -0.0487336+0.00861364j -0.0382122+0.0144496j -0.124861+0.0127207j 0.00923379-0.0042789j 0.0140393+0.00197421j -0.0459527+0.014512j 0.00938668-0.0195961j 0.329969+0.0170867j 0.0287964+0.0944657j -0.260984+0.0371254j 0.0787636-0.0357725j 0.0409865-0.0357898j 0.0099168-0.0190561j -0.114066-0.035187j 0.039108-0.0474521j -0.0147264-0.0610144j -0.0231001+0.0755558j 0.0192573-0.0409091j -0.145037+0.284726j -0.139525-0.172291j -0.0953143-0.0325914j -0.105701-0.0166394j 0.0351108+0.134589j 0.0073633-0.152583j -0.00047841-0.0731639j 0.0866284-0.222002j -0.0130977+0.289189j 0.111365-0.0532728j -0.111417+0.13397j -0.495314-0.122117j 
0.0922815-0.0152868j 0.0279122+0.0127153j 0.0115242+0.0293389j 0.0440065-0.0357845j 0.0162362+0.0181466j 0.00111897+0.000493944j -0.227932+0.0113794j 0.246146-0.018237j -0.441281+0.0088829j 0.424134-0.00666802j -0.0804634-0.00141206j 0.281614+0.00795394j -0.0751325+0.192916j 0.186002+0.0580782j -0.036535-0.00789921j -0.00626274-0.0760915j 0.0826588-0.187263j -0.175889-0.11946j 0.0112317+0.061253j 0.0028976-0.134164j 0.16599-0.114776j -0.114564-0.167927j -0.00413457+0.0413513j 0.00708909+0.0140123j 0.0739479-0.0209142j 0.11607+0.0646335j -0.0103082-0.0117453j -0.029106+0.133046j -0.0512147+0.0279281j -0.0383797+0.123872j -0.0360569+0.0813992j 0.171296+0.0601437j -0.0722021-0.0328796j 0.0906762+0.01906j 
0.0358173-0.0153431j 0.0405867+0.00532822j 0.0405245+0.0169915j -0.0291091-0.00183285j 0.10887+0.00678855j -0.101101-0.00277713j 0.32794-0.00807346j -0.328918+0.00408475j 0.406843+0.0149389j 0.368425+0.00742101j 0.0308192-0.00561371j 0.367133+0.0303338j -0.0801124+0.113819j 0.0725805+0.0186825j -0.325811+7.58423e-05j -0.188391-0.046604j 0.00260758-0.0719581j 0.0773931-0.0370867j -0.124711+0.0237123j 0.0896709-0.0090392j 0.0401594-0.0140674j -0.068555+0.000884417j -0.0244954+0.0182497j 0.0533481-0.068389j -0.0824986+0.05008j -0.00557067-0.0867231j 0.0436708-0.067863j -0.00239394+0.0820437j 0.105527-0.0491199j 0.0288888-0.0569628j -0.0812047-0.0262815j 0.0713253+0.014702j 0.140106+0.0336223j -0.00191733+0.0296556j 
-0.00506594-0.00281491j -0.0305528-0.00621461j 0.0652632-8.96194e-05j -0.089772+0.0151486j -0.574898-0.00495846j 0.0339808+0.0018191j 0.48521-0.00974013j 0.173132-0.00532312j -0.231538+0.0029041j 0.105998+0.00445293j -0.365504-0.00480549j -0.00428458+0.0191044j 0.138908-0.00448542j -0.215386-0.00941868j 0.0884274-0.00858298j -0.0623661+0.00272033j -0.0480671-0.0277034j 0.156491+0.0348734j 0.0570888-0.0180086j 0.0543057-0.0388762j 0.0143745+0.0627913j -0.0248155+0.0594619j 0.0519158-0.0401423j 0.106835+0.000214827j -0.0139814+0.0499497j -0.00492175-0.0765542j 0.0229416-0.0625189j 0.0105246+0.0534789j 0.0657823-0.0299654j -0.0505001-0.0443627j -0.0560232+0.0315824j 0.107055+0.0199183j 0.065683+0.0192467j -0.0454835+0.0159884j 
-0.00203369+0.0108709j -0.127276-0.021535j -0.0688707-0.0299685j 0.0513596+0.00796196j 0.106254-0.00991575j 0.00548939-0.00710736j -0.364576-0.00400078j 0.0756249+0.00966262j -0.0725244-0.0055272j -0.133178+0.00465456j -0.201172-0.000549138j 0.464725+0.0172425j 0.0261799-0.156528j -0.239785-0.0621229j 0.0450087+0.00995157j -0.0163577+0.0665447j 0.0232228+0.111505j -0.0239437+0.0674175j -0.0637005-0.00508391j -0.088066+0.101364j -0.203558-0.0123782j 0.0744322+0.0796253j 0.055664-0.136779j 0.214736-0.0112751j -0.123838+0.084853j -0.0610651-0.146415j 0.0833308-0.104716j -0.102814+0.122234j 0.122449-0.0674666j -0.0187841-0.0537704j -0.0184583-0.200029j 0.0883307+0.00317027j 0.236865+0.0148396j 0.111812+0.0850512j 
0.146609-0.0117075j -0.317583-0.00647425j 0.0374345+0.0133448j -0.0332057-0.0180645j -0.0667606+0.00740767j -0.0154452+0.0135778j 0.0420184+0.00861192j -0.143106-0.00892018j 0.314771+0.00716396j -0.440695-0.00795233j -0.181019+0.0032297j 0.0549606+0.0159395j 0.0542382+0.0656734j -0.0176799+0.0307046j 0.154829-0.0268972j 0.0905065-0.00340101j 0.0526876-0.176082j -0.249107-0.0401205j -0.109952+0.0391447j 0.128374-0.0922048j 0.226785-0.0492258j -0.150452-0.0567879j -0.0328038+0.00268779j 0.0108129+0.0693801j -0.00428028+0.0684694j -0.0207598+0.0228687j 0.0188265-0.0307743j -0.0713563+0.135137j -0.0310903+0.0694817j -0.106039+0.183093j 0.0180215+0.115309j 0.250718+0.10162j -0.178141-0.0622609j 0.138754+0.0352055j 
0.496343+0.0148034j -0.0441632-0.00547938j 0.101113-0.000499845j 0.0603824+0.00188313j 0.0202648-0.00395822j 0.0223914-0.00226895j -0.104336+0.0110659j 0.00933626+0.00315992j 0.0055807-0.00109743j -0.180661+0.0178107j -0.397444+0.00198005j 0.0337043-0.00303938j -0.0532832-0.0297806j 0.57185-0.0063845j -0.0289218+0.000734154j -0.0194398+0.006129j -0.015141+0.106321j 0.222171+0.00550585j 0.0236058-0.0308239j 0.0237463+0.0141015j -0.0511682-0.0112759j -0.0418718-0.0140088j 0.0317307+0.0156032j 0.0654943-0.0495412j 0.0360864+0.00970793j -0.0173121-0.0426302j -0.0326748+0.0260705j 0.0642435-0.0730764j 0.0058002-0.0625314j -0.0047019-0.168993j -0.0811718+0.0825825j -0.0415294-0.0478569j 0.0377468+0.0679862j -0.178694-0.0518705j 
0.00175085-0.00432542j 0.115161-0.0199456j -0.0179258-0.00632484j -0.000382826+0.0422122j 0.213727-0.0333579j 0.0212652+0.0449948j 0.0281082-0.0131404j -0.0304896-0.0490742j 0.0561745+0.00955183j 0.0979565+0.00840464j 0.0443033-0.00772587j -0.117689+0.015672j -0.0120678-0.100027j 0.00644705-0.0373593j -0.0416149-0.0416496j 0.0127436+0.0728216j 0.109756+0.00139682j -0.0754505+0.174797j 0.321699-0.112167j -0.134161-0.338389j 0.0210197+0.233235j 0.0595091+0.0871046j 0.194363-0.184105j 0.27342+0.162258j -0.0291229+0.159203j -0.0993201-0.105143j -0.113378+0.100599j -0.103127+0.138286j -0.148567-0.0996016j -0.0783887-0.0444825j -0.104091+0.273618j 0.243554+0.0793833j -0.0723506+0.0171845j -0.124015-0.0164089j 
-0.0518969+0.0227288j 0.034752+0.0128824j 0.00154751-0.00961374j 0.043095-0.0716119j -0.111963-0.022095j -0.027716+0.0243739j -0.0907749+0.0365009j -0.0527087-0.0434427j 0.0869811-0.0011504j -0.132751-0.00233201j 0.0727462+0.00409365j 0.16145-0.0533372j 0.0038864-0.00745889j -0.151048+0.001252j -0.0429272+0.0234157j -0.0507885+0.0182644j -0.113608+0.196874j 0.421623-0.0390636j 0.310292-0.0447151j 0.0883014-0.271874j 0.02534-0.210577j -0.224448-0.349861j -0.0476306-0.154901j -0.0896521+0.068201j 0.0159357-0.0776244j 0.105622+0.123364j -0.0572035+0.130734j -0.152826+0.0695529j -0.206471-0.120375j 0.0522482-0.00304902j 0.0458885-0.0693279j 0.0264734-0.0300422j 0.0514636+0.00766089j 0.0479773+0.00239027j 
-0.0243554+0.0141054j -0.156061-0.0121371j 0.0153123-0.00959157j 0.0160091-0.000448913j -0.141437-0.0100478j 0.0744843+0.0149984j -0.105314+0.00469845j 0.0310321-0.00451343j -0.163207+0.000497801j -0.250672-0.00372539j -0.0363394-0.00336148j -0.163936+0.00480705j 0.0365698-0.0629046j -0.0755205-0.0174656j -0.803983-0.010419j -0.29974+0.0142463j 0.186302-0.0198364j -0.151175+0.00976496j 0.0210365-0.0117368j 0.0155567-0.0621966j 0.0355737+0.0159397j 0.0549946-0.0109033j -0.0754215+0.0577297j -0.0494925-0.0329304j 0.0132314+0.0108227j -0.00337512-0.0210386j -0.00847996+0.0264178j 0.0167327+0.0393741j -0.00932747-0.0216593j 0.0840804+0.0202033j -0.00309497-6.01701e-05j -0.0150773+0.0126362j 0.0147351+0.000748532j 0.00170758+0.00841805j 
