0.146037-0.16051j -0.109676-0.489944j -0.655206+0.0694602j -0.0422994-0.432785j 0.120885+0.0561356j 0.0556751-0.118203j 0.032622-0.078137j 0.00866669-0.0462744j -0.00128781-0.00572359j -0.0163839-0.00399551j -0.0347831-0.0360387j 0.0500936+0.0377448j -0.0560436+0.00550694j 0.0159191-0.011391j 0.0141809-0.011731j 0.0270089-0.0365805j 0.0279113+0.0290912j -0.0304754+0.00983601j -0.0273273+0.0339742j 0.0106476+0.0135667j 0.0460957+0.0122479j -0.047567+0.0463941j 0.0113355+0.031905j -0.0199718-0.0259734j 0.00815339+0.00107247j -0.0272939-0.0265744j -0.00624998-0.0057934j -0.0386799-0.00767555j 0.0397035+0.0241239j -0.0385117+0.0192742j -0.0368867+0.0430627j -0.0179849+0.0367311j -0.0149452+0.0237497j -0.0637144+0.0149094j 0.021094-0.0308237j -0.0301617+0.0352411j 
-0.230328-0.196902j 0.0165583+0.0250226j -0.261158+0.0102711j -0.00477507-0.249711j -0.27852+0.0428972j -0.07923+0.201757j -0.049251+0.0983652j 0.0441091-0.199589j 0.0077318+0.0449082j 0.0310674+0.0681852j 0.031407+0.0278759j -0.112844-0.13221j 0.0162795-0.0644557j -0.0141539+0.00553159j 0.0848585+0.0136062j 0.0184201-0.0110198j -0.0525162-0.00331726j 0.0537334+0.0167097j 0.0813124-0.0768509j 0.066159-0.00194984j -0.137221-0.0411525j 0.024484+0.014105j -0.0598575-0.0603012j 0.0683068+0.0380774j 0.0230648-0.0499009j -0.0964503-0.0113467j 0.0273027+0.029915j 0.113319+0.0182687j -0.129202-0.041978j 0.110667-0.0444035j 0.0367998-0.0440728j -0.00529235-0.013483j -0.0044252-0.0263923j 0.119634+0.0450266j -0.0127489+0.0356052j 0.118908-0.0574736j 
0.0732487-0.240503j -0.222122+0.128688j 0.0473351-0.0559614j 0.190016-0.0413223j -0.0067579-0.364673j -0.276738-0.0953197j -0.166576-0.0800217j 0.183647+0.0617494j -0.0315702-0.0249136j -0.00377262+0.00579414j -0.0174089+0.0320709j -0.0238934+0.0938014j -0.0413396+0.100337j -0.0108249+0.0139449j 0.038048+0.0528514j -0.00890852+0.0288019j 0.00689585+0.0498657j -0.0182256-0.0216722j 0.112851-0.036678j 0.0144103-0.0780331j -0.0685459+0.0171477j 0.0220451+0.0022906j 0.0136904-0.00612938j -0.025432-0.0409278j 0.0440435-0.0183181j -0.0185774+0.0226032j -0.0053179+0.00375761j -0.0298782-0.00846098j 0.0238196+0.0224687j 0.0521736+0.00446808j 0.0494286-0.0189079j 0.0187081+0.0112667j 0.0269816-0.0451758j -0.0549447+0.0283767j 0.00291616-0.0630276j 0.0506611-0.0337006j 
0.115601+0.0104602j -0.115792-0.135144j 0.0559767-0.00405388j 0.114887+0.137173j 0.110741+0.0063708j 0.119589-0.168033j 0.0946177-0.0911896j -0.0760256+0.0227716j 0.0851341+0.164296j 0.0288044-0.0829308j 0.00164444+0.0635822j -0.198272+0.0261829j -0.0921614-0.118331j -0.102371+0.150984j 0.16463+0.0375029j 0.0110946+0.0323153j -0.0273412-0.0168195j 0.099906-0.0491067j 0.230994-0.125991j 0.0710727-0.0578136j -0.322766-0.0170157j 0.0110303+0.0198181j -0.158954+0.00734683j 0.0896172-0.0412947j -0.060468-0.0652887j -0.111598+0.0162988j 0.106075+0.0120679j 0.137297-0.0083455j -0.180239-0.0220802j 0.185083-0.0462828j 0.02728-0.0325864j 0.0189506-0.023281j 0.0354627-0.113448j 0.0637664+0.0733955j 0.0206854-0.0442174j 0.200388-0.096433j 
-0.00225052+0.0141483j -0.0637528+0.0171271j -0.0347222-0.0141612j 0.0602059+0.0590946j -0.0481775-0.0203025j 0.0826736+0.00517958j -0.0235369+0.159988j -0.0806237-0.00643244j -0.120983-0.115064j 0.178786-0.193397j 0.0732535+0.21736j -0.0484379-0.0015816j 0.0964402-0.0190002j 0.0647145-0.0244706j -0.0118317-0.0561066j -0.402828-0.178287j -0.0482062+0.16146j -0.595672+0.111667j -0.028622-0.0757607j 0.00303512+0.0157532j -0.0876697-0.0263837j -0.132141-0.0189708j -0.117912+0.049059j 0.0257964-0.0496875j 0.0207372+0.0198957j -0.0952272+0.0237573j 0.136223+0.0180226j -0.0908405+0.00456487j -0.0377176+0.0523292j -0.0136091+0.0813143j 0.0192177+0.0581086j 0.0155823+0.0286386j -0.0598496-0.0514732j -0.119686+0.0545921j 0.0513926-0.0587675j 0.038012-0.0341177j 
-0.0517026+0.0935537j 0.0562363-0.016429j -0.000209311+0.0168511j -0.0426629-0.0730496j -0.0781573+0.00439325j 0.0950268+0.104221j -0.0163873+0.0901555j -0.0106083-0.082173j -0.0638683+0.143293j 0.107483+0.0227227j 0.00617357+0.081114j -0.0455465+0.212506j -0.0518911+0.146356j -0.202895+0.195089j 0.23061-0.0128619j 0.113956+0.138815j 0.258395-0.0453087j 0.0781548-0.055497j 0.17607-0.143617j -0.10479-0.0930648j -0.218004-0.0653253j 0.0120922-0.010786j 0.014691-0.0374768j -0.0598131-0.0972579j -0.0624332-0.0544028j 0.0745336+0.0222115j 0.0342416+0.0434184j -0.0591406-0.0128516j 0.174077+0.123646j 0.0376513+0.00709705j 0.0300873+0.00673904j 0.0565523+0.022453j 0.0778347-0.0641801j -0.1677-0.0368805j -0.0255467-0.11279j -0.0402987-0.0996281j 
-0.0467291-0.0515861j -0.00462954+0.124405j 0.0352794-0.00679951j 0.0652903-0.03323j 0.0168806+0.0563405j 0.0251214-0.0463165j -0.0762962-0.236369j -0.0521224-0.150154j 0.217227-0.0353442j 0.050893-0.0421589j -0.00497531+0.0733987j -0.0647794-0.205139j -0.237806-0.255879j -0.0466428-0.0104013j 0.203525+0.0341271j 0.056556+0.0256971j 0.181891-0.186795j -0.106072+0.0843525j -0.0306348-0.0197734j -0.112152+0.0920294j -0.183099-0.0380733j 0.0361113-0.046896j 0.0246173+0.14771j -0.0235434+0.234269j -0.141115+0.135237j 0.0326954-0.113419j 0.0227434-0.025176j -0.0204604+0.0916643j -0.0243483-0.0696404j -0.107214+0.102399j -0.0514003+0.166534j -0.0330504+0.0198942j -0.0494717+0.0795746j -0.0238899+0.143503j 0.0140006+0.0886117j -0.121345+0.188594j 
0.0330522-0.024705j -0.08632-0.0570976j 0.034063-0.0194907j 0.0556127+0.0687519j 0.0170371+0.0164827j 0.0111962+0.0145385j 0.05487+0.0295056j -0.0221326+0.105198j -0.0798665-0.0385695j 0.0257025+0.372289j 0.0620719+0.0991694j 0.00715656-0.0227758j -0.0506918-0.0168895j -0.0805478+0.0136734j -0.114306-0.00467698j 0.10173-0.0353208j 0.238431-0.101908j 0.0976826-0.00335165j -0.201648+0.0813421j -0.100566-0.0218394j -0.00538808+0.101435j 0.0237257-0.0134257j 0.176487-0.0960844j -0.12725-0.0213055j 0.0640647+0.0380255j 0.0584706-0.00113648j 0.0844615+0.0400919j -0.145223-0.0460756j -0.134864+0.00253525j 0.0951996+0.0644569j -0.0123463-0.0318434j 0.0642613+0.0233851j -0.092654-0.0392004j -0.0628599+0.0102225j 0.089866+0.0203192j -0.00362423-0.00903644j 
-0.0940252-0.144946j -0.0261458+0.0245942j -0.0290478-0.0258725j 0.0544878+0.0452898j 0.00501353+0.151085j -0.0564368+0.0141242j 0.0305749-0.0390096j -0.0754314+0.089062j 0.0519423-0.118761j -0.111143+0.281757j 0.204848+0.116606j -0.0759479-0.248372j -0.0576363-0.243778j 0.117857+0.0232153j 0.0806159+0.00810116j -0.0955046-0.110465j -0.0493014-0.0143746j 0.00759211+0.0288147j -0.037552-0.0726215j 0.0385453-0.0233175j -0.0998862-0.110433j -0.0223285+0.0360091j -0.023353-0.130182j 0.024974+0.0130355j -0.0543842+0.0342473j 0.0006245+0.0072553j 0.0127481+0.0175281j 0.101575-0.0517082j 0.0741888+0.0065342j 0.0354602-0.0475654j 0.0387409-0.0777398j -0.0074896-0.0133792j -0.0476216+0.0236587j 0.126505-0.0676374j -0.0917504+0.106534j -0.0285712-0.0410236j 
0.0335313+0.0496996j 0.0425553+0.027431j 0.0261215+0.0369501j -0.00185365+0.0242491j -0.0149645-0.0642698j 0.00723591-0.0116599j -0.124138-0.165282j -0.0199477-0.265165j 0.102564-0.124884j 0.129828-0.381701j -0.143634-0.289994j 0.0390845-0.19243j 0.029675+0.0388308j 0.0753261-0.0658205j 0.0295441+0.021717j 0.233663+0.235751j -0.165345+0.0643064j 0.000558795+0.0411554j 0.0122459+0.00378855j -0.0484181-0.00711542j 0.0192741-0.0476178j 0.00928158+0.0153743j -0.0367104+0.0540702j 0.049108-0.0511314j -0.0202842-0.0353374j -0.00346885+0.0351315j 0.0160101-0.0499606j -0.0115211+0.003313j -0.0365763-0.0127363j -0.0183434-0.0452036j -0.0544107+0.0299998j -0.00942504-0.00257859j 0.00889262+0.00518487j -0.0137526-0.0152262j 0.0175963-0.031335j 0.0227756-0.0374775j 
0.000803786-0.0691023j -0.0730635-0.0555681j -0.0192656+0.0060576j 0.12564+0.0812675j 0.0255973+0.0435689j -0.0140204-0.0157002j -0.052058-0.0975732j -0.123978-0.118102j 0.0177087-0.2808j 0.138203+0.0179609j 0.128631-0.0446563j -0.0809553-0.222069j 0.109686-0.0309726j 0.141491+0.0488452j 0.0248425+0.0395379j 0.211595+0.108327j -0.0205501+0.0242988j -0.0590769+0.083014j -0.0680761-0.0861872j -0.0236199-0.111893j -0.159249-0.0764091j 0.0269014+0.00415324j 0.0570399-0.189564j -0.145492-0.162541j 0.071585-0.0640748j -0.0389713+0.13025j 0.0445446-0.0128041j -0.114027-0.0265104j 0.202447+0.0250727j 0.0806471+0.0243009j 0.169006-0.133822j 0.107507+0.0292961j -0.0144908-0.0095556j -0.165348-0.0479123j 0.0106644-0.0248928j -0.0737735-0.0547249j 
