-0.84866+0.00297892j 0.120791-0.00625409j -0.464318-0.00762745j 0.00109273-0.112639j 0.0235312+0.0358923j -0.00326775+0.0569275j -0.00550104-0.107013j -0.0565657-0.0539256j -0.0619403-0.042006j -0.0226458+0.0395809j 0.0606205+0.047793j 0.0135494+0.0157449j -0.0395886+0.0363956j -0.0154958+0.0227471j 0.0486495-0.00322609j 0.0444156-0.0130555j 0.0169184+0.0101971j 0.0233465+0.0147383j -0.00437881-0.00980462j -0.0322072+0.0158008j 0.00350267+0.0363745j 0.0103622-0.0136521j 0.00906638-0.0118115j -0.0294253+0.0132049j -0.0205108+0.0401972j -0.0196048+0.0221197j -0.0350147-0.00997759j -0.0194301+0.0330343j 0.00218157+0.0416124j -0.008913+0.0233094j -0.0537448-0.00258485j -0.0105704+0.0216557j 0.0430267+0.0176614j -0.000682167+0.0223368j -0.00463248-0.0171332j 0.0277131+0.0171985j 0.00905692+0.0272169j -0.0158164-0.0169974j -0.0052168-0.0607204j 0.0384191-0.0203637j 
-0.0962769-0.00760208j 0.00195152+0.033438j -0.281191+0.0417796j -0.073398+0.280186j -0.290392-0.0165783j -0.135588-0.275219j 0.135322+0.320818j 0.14334+0.201434j -0.342529+0.0645347j 0.0774334+0.0223453j -0.0297808-0.0885715j -0.187785-0.0247324j 0.00102891-0.0150894j 0.0417567-0.058308j -0.0312188-0.0472621j -0.0786088+0.0358937j -0.00674948-0.0179954j -0.0293458-0.084955j 0.0203927-0.00129062j 0.12522+0.0270293j 0.0270741-0.081512j 0.00629307+0.0287806j -0.0585214-0.0491914j 0.0681249+0.0597977j -0.0221367-0.0769675j -0.0348222-0.0508244j 0.00487615-0.047781j 0.036857-0.027914j 0.0795086-0.0990859j -0.0150538-0.0788557j 0.119413-0.013697j -0.0253946-0.0202779j -0.0639016-0.0915321j 0.040027-0.0151765j -0.00726928+0.0170527j -0.0530581-0.00488608j 0.0196175-0.0938996j 0.034692+0.0474008j 0.0169268+0.147936j -0.0417141+0.0455564j 
-0.0776452+0.0581465j 0.000948359+0.0888589j 0.149658-0.0794808j -0.314938-0.131295j -0.0508087+0.315599j -0.0475228-0.520572j 0.387237-0.175095j -0.229946+0.237021j 0.289328+0.00467763j 0.0445932+0.00509745j 0.0622878-0.134808j 0.00621319+0.0336996j -0.00641014+0.000702549j -0.0022434+0.0214124j -0.0264749+0.0235659j 0.000833113+0.0204139j 0.0254616+0.00972946j 0.00825119+0.0265346j 0.0314536+0.0217121j -0.103361-0.00349208j 0.109883+0.023358j 0.0797851-0.0728445j 0.00639404+0.0314153j 0.00418719+0.00677875j -0.00822825+0.0212587j -0.0170616+0.0149691j -0.020415-0.0163915j -0.020794+0.00197081j 0.00761354+0.0112457j 0.00788643-0.0306212j -0.0080056+0.0219586j 0.00249974+0.10506j -0.00591409+0.0430211j 0.0783662+0.0322936j -0.0202653-0.0163774j 0.0072823+0.0348658j 0.0351839-0.0352236j -0.0339729+0.0571899j -0.00869179+0.00153579j 0.0372009-0.0487604j 
-0.0688649+0.0671207j 0.014436-0.0401025j 0.00901706-0.0988521j 0.0507565-0.0654011j 0.289701+0.169123j 0.0797996+0.312821j 0.0431417-0.000302107j -0.114696-0.232467j 0.0439292-0.0954132j 0.166523-0.026996j 0.125736-0.16949j 0.192408+0.0119113j 0.127218+0.0421259j 0.070134-0.0572325j -0.0694966+0.0384001j -0.0867283+0.064146j 0.0190684-0.00847433j -0.0275964-0.0536793j -0.0995018-0.0130422j -0.0719474+0.0263332j 0.0605437+0.0625615j -0.0486239-0.0857421j -0.00442491-0.0281203j 0.032645+0.134998j -0.0522182-0.0906663j -0.109492-0.0729229j -0.103523-0.0956787j 0.086813-0.0287883j 0.0721202-0.0737327j -0.0554601-0.0270122j 0.0658359-0.002464j -0.0379137-0.0430242j -0.0272364-0.0934955j 0.0567706+0.00834122j -0.0399743-0.0439911j -0.0639383-0.00151944j 0.00293763-0.0877014j 0.0209454+0.0557752j 0.0173329+0.0734529j 0.0557166+0.00362462j 
0.0625169+0.0319174j -0.0156762-0.00786617j 0.119545-0.011658j -0.0519694-0.0689156j -0.24042+0.100317j -0.0874637+0.030758j -0.211304+0.186123j 0.117045-0.0292688j 0.0512235-0.126055j 0.0783162+0.222825j 0.248454+0.122414j 0.0344766+0.020456j -0.0325453+0.133073j 0.00904814+0.178693j -0.0723765-0.114622j -0.128868-0.0292038j 0.0080401+0.0163303j 0.0434587-0.0586972j -0.056751-0.04165j -0.0541352+0.0675525j 0.0532949-0.00319098j 0.0193673+0.00274518j 0.0945372-0.0569622j 0.00135596-0.0432159j -0.022292+0.0740926j -0.0695637+0.0191776j -0.0321623+0.0325483j -0.0355399+0.115479j 0.0499142+0.0407476j -0.0308248+0.00827679j -0.15079-0.00438538j -0.0622672+0.0681043j 0.0425682+0.0431367j 0.0172623+0.0500175j -0.0209507-0.00250124j 0.0284581+0.0139516j 0.0191869+0.0408434j 0.0158985-0.0130271j -0.0400848-0.111497j 0.0776069-0.0687532j 
0.075529+0.050375j -0.0175082-0.0194215j -0.151947-0.0866462j -0.105461+0.0931005j 0.0253721-0.024993j -0.0062473+0.0700253j 0.0193782+0.188658j 0.183953-0.0766625j -0.187324+0.0609216j 0.0768802-0.0737541j -0.0323981-0.20477j -0.176547-0.0421489j 0.0595192-0.0118017j 0.112379+0.0499317j -0.149653+0.130717j 0.0439152+0.041983j 0.0290358-0.00571804j 0.0804772+0.0451758j -0.0110993-0.0270119j 0.0269138-0.0619059j 0.00630132-0.0750962j 0.028139+0.0605836j 0.0186874+0.0766609j -0.0335816-0.0822346j 0.0150229+0.109012j -0.0332544+0.0809935j -0.0479277+0.0847724j -0.193574+0.0277724j -0.127876+0.0863724j -0.0198009+0.0923941j -0.193602+0.0759389j 0.0174808+0.151608j 0.0852381+0.195141j 0.0316622+0.0196302j -0.0268928-0.0570251j -0.0131113+0.0155286j -0.000503555+0.061636j -0.0372988+0.0409755j -0.0331211-0.172214j 0.0788782-0.174454j 
0.0215396+0.008067j 0.0247549+0.00151871j 0.0196765+0.016632j 0.028455+0.0661702j 0.0488087+0.150792j -0.0186115+0.0230218j 0.131368+0.0524571j -0.10467+0.0169297j -0.104369-0.0312421j 0.0159983-0.102171j 0.121718-0.0281877j 0.084321-0.0982013j 0.0785348-0.041368j 0.0887351-0.106676j -0.0591126-0.180152j 0.00955469+0.0373166j -0.079349+0.0223734j -0.0198735+0.0338939j 0.0564589-0.01253j 0.0355474+0.071092j 0.00435486+0.0320981j -0.0342979-0.101392j 0.211379-0.0218026j -0.0852483-0.21962j -0.0455185+0.244683j 0.0309877+0.261225j 0.166912+0.050195j 0.00727986+0.131635j 0.0271448+0.0528235j -0.000113082+0.0778899j -0.032705-0.0933769j -0.054377-0.0327446j -0.00166437+0.102109j -0.111655+0.0777013j 0.104851+0.0649117j 0.277522+0.0386278j -0.0374388+0.167877j 0.0499424-0.20383j -0.0340333-0.143297j 0.00283348+0.0832388j 
0.0211983-0.0307507j -0.00889355+0.00844465j -0.0507842+0.0444526j -0.0429828+0.0215276j 0.0203719-0.0515562j 0.0202529-0.0346875j 0.0115413-0.0872994j -0.0951293-0.0420906j 0.0403296-0.112059j -0.0317321-0.00783418j -0.122574-0.00484919j -0.0303678+0.176351j 0.0365604-0.0366618j 0.0896428-0.100263j 0.216772+0.0465401j -0.00424171-0.0924099j 0.0716292-0.0434698j 0.142041-0.212191j -0.179207+0.117133j -0.15279+0.0473136j -0.01313-0.169286j 0.0674157+0.138981j 0.25099+0.0257807j 0.0537052-0.0816261j 0.0272403+0.02394j 0.00392027+0.00116875j -0.0244681+0.138611j -0.0284094+0.230503j 0.0462229-0.00955837j -0.0755049-0.00270796j -0.138697-0.0698465j -0.0886224+0.0639058j -0.0522182+0.0406216j 0.0313742+0.0210266j -0.00998489+0.0172774j -0.0336953-0.0464024j 0.00302136+0.0296247j 0.0717228+0.0562285j -0.0908574-0.0848517j 0.128015-0.171828j 
-0.0299077-0.065553j -0.0393917+0.000749144j 0.0220951+0.0808407j 0.100089-0.0527101j -0.0133487-0.0490919j 0.000749063+0.0242985j -0.00748773-0.0901267j 0.0254856+0.075621j -0.0352803+0.0541927j 0.0361556+0.250102j -0.119412-0.186365j 0.0409012+0.0290519j -0.0426101-0.213695j -0.0990384-0.0293002j -0.257912-0.0262015j -0.0225417+0.0215985j 0.229552-0.100465j -0.120929-0.157464j 0.134415+0.0450279j -0.0690736+0.00414884j -0.0314254-0.0489787j 0.0888004+0.0453841j 0.0165219-0.0886057j -0.0521712-0.0559472j -0.0382743+0.0816596j -0.0421334+0.0237485j -0.124311+0.0170271j 0.0197298-0.0203322j 0.0237337+0.026491j -0.0282669+0.0156036j -0.0623577-0.0517072j -0.0348016-0.0195091j 0.0573779+0.0177484j -0.0330169+0.0920084j 0.00734387-0.0192188j 0.140337+0.077869j -0.0138824+0.0885562j 0.0198865-0.114627j 0.0188191-0.0849714j 0.0171277+0.0452071j 
0.0415128-0.0126477j 0.00335549-0.0594368j -0.02325-0.0059826j 0.0127066+0.0301861j 0.0716309-0.0283112j -0.0165569+0.00436877j 0.0480172-0.0413533j -0.000258156+0.0226559j -0.0337004+0.0434445j -0.330121+0.0272712j 0.201198-0.084882j -0.139967-0.010761j 0.167599-0.0663657j -0.11347-0.00110547j -0.036974-0.139181j -0.093781-0.0172896j 0.0509187+0.360714j 0.169832-0.0485341j -0.0902311+0.0748914j -0.034529-0.122797j -0.0121214-0.000887832j -0.000868036+0.0741192j -0.0482829-0.117335j -0.00262404+0.0558525j -0.0224106-0.0250682j -0.00092425-0.0552065j -0.0664012-0.0824154j 0.0294916-0.0250199j 0.0525054+0.0435701j -0.0199968+0.0289738j -0.0224488-0.0161397j -0.0201437+0.0048486j 0.0503346-0.0181019j -0.0292511-0.0540166j 0.00601836-0.0168184j -0.00986549+0.0122253j 0.00305044+0.0394905j 0.00619446-0.0143133j 0.00254962-0.026426j 0.0107595+0.0050031j 
-0.0537574-0.00747763j 0.0125976+0.00146775j 0.0898996+0.0385494j 0.00727351-0.157687j -0.0125101+0.179945j -0.0322894+0.0569344j 0.0303537+0.0233686j 0.0197916+0.00332577j -0.0939745-0.1271j 0.100767-0.102799j 0.109524+0.0623919j 0.112806-0.00227906j 0.123627-0.0746143j -0.153286-0.122739j 0.0311902-0.0623659j 0.148559-0.0728407j -0.0408621-0.00747818j -0.085324-0.104132j -0.0499904+0.0841087j 0.122849-0.116016j -0.122109-0.26932j 0.127866+0.241745j 0.0591695-0.175245j 0.132366-0.0451726j 0.110556-0.112182j 0.0700483-0.175788j -0.0568189+0.13127j -0.00880008-0.0895714j -0.118087-0.0311592j 0.00982586-0.173889j -0.10574+0.0133209j 0.0655573+0.0393736j -0.0703267+0.0776567j 0.0679666+0.0898117j -0.0593777+0.0356154j -0.137651-0.0468645j -0.00312798-0.0379159j -0.0231767+0.0766407j -0.00219242+0.0177069j 0.0499105-0.117228j 
