0.0207186-0.0192654j -0.0262368-0.0301604j -0.139644-0.0469536j -0.0482479-0.0134228j -0.152741-0.0307428j 0.0422359-0.00962102j -0.0684788-0.192375j -0.202519-0.145935j -0.130206+0.195871j -0.0826692+0.0501906j 0.0814729+0.0022521j -0.0715852-0.198807j 0.20307-0.0785747j 0.0760938+0.00312943j -0.0362723+0.0307979j -0.188543+0.0835592j -0.0439566+0.0310082j -0.0135473+0.00902626j -0.134405+0.0268554j 0.0765238-0.0191611j -0.00522401-0.000682321j 0.0816359-0.00797574j -0.0358732-0.0439049j -0.526764-0.0358716j 
-0.0640513-0.0149499j 0.179337+0.026457j 0.124995+0.0240657j -0.021181+0.0184437j 0.179434+0.0673201j -0.0931946+0.139831j -0.0485799+0.155968j -0.0754575-0.243195j -0.0815314+0.037246j -0.110653+0.0220722j -0.0694858-0.127331j -0.0780955+0.123882j -0.140834+0.0461806j 0.0204701-0.0554556j 0.0484759-0.016053j 0.0711023+0.0424959j 0.0442928-0.0277908j 0.0456302-0.03399j -0.227165+0.0369735j 0.137971+0.01419j 0.177249-0.00872448j -0.0893047-0.0289326j 0.45889+0.0191105j -0.0999774-0.019951j 
-0.0248793+0.0103975j 0.065487+0.0135104j -0.0463314+0.00432436j -0.0615437-0.00129738j -0.00459085-0.0280021j 0.0500394+0.132437j 0.100559-0.0975165j 0.296659+0.490144j 0.492982-0.332787j 0.0600823-0.0570694j -0.0700583-0.0238504j 0.111136+0.00603891j 0.0165168+0.0396838j -0.0446087+0.0230882j -0.0570723-0.0397109j -0.121007-0.0946813j -0.0297825-0.00711173j -0.0468127+0.0137561j -0.122025-0.0198077j 0.0639958-0.0138125j -0.106116+0.030888j 0.085824-0.0632886j 0.0512051-0.00272545j -0.136785-0.0339067j 
-0.109923-0.124732j 0.234556+0.0123963j -0.194619-0.0181695j -0.141799+0.00799943j -0.0636963+0.0448243j 0.0463757+0.464409j 0.121352-0.288756j 0.031001-0.028276j 0.106228+0.0158509j -0.498632+0.0905707j -0.0472905-0.303853j -0.163896-0.155819j 0.111746-0.00245657j 0.0286314-0.0388333j -0.0265937-0.0323163j 0.0386205+0.030878j -0.02474-0.00961153j -0.110493-0.0090614j 0.0786075-0.00333506j -0.0198332-0.00399707j -0.00348644-0.0191029j -0.106273+0.0415608j -0.00582503+0.0143489j 0.117932+0.0285958j 
0.108367+0.0417636j -0.191411-0.0380863j -0.0918166-0.0790454j 0.0217734-0.0362691j -0.0206814-0.120118j 0.166462-0.187359j 0.137305-0.344014j 0.0330543+0.0857398j 0.0426151+0.129999j 0.122442+0.00540978j 0.268186+0.144702j -0.227091-0.257384j 0.306839-0.106963j -0.164817+0.0932164j -0.0501283+0.0484613j 0.157132-0.0198231j -0.0556811+0.0555212j -0.0120683+0.0585578j -0.061094-0.00814561j 0.0731023-0.0662531j 0.131686-0.0688397j -0.126147-0.0104329j 0.157322+0.0441243j 0.0435936+0.0186782j 
-0.0699128+0.0374749j 0.176743-0.0204956j 0.0999305-0.0127744j -0.0673274-0.00381931j 0.214282-0.0416518j -0.0945253-0.108488j -0.0421922+0.0152723j -0.0263042+0.0205706j -0.0985935+0.0283824j 0.119201-0.0150208j 0.10294+0.071584j -0.199228+0.0149574j 0.00143735-0.0152621j -0.167483+0.0311131j -0.132016+0.0155502j -0.289025-0.00583043j -0.142588+0.0196833j -0.181274+0.00490372j 0.260131-0.00228775j 0.348513+0.00278676j -0.319911-0.0461901j -0.134198-0.0286876j -0.0913626+0.0194104j 0.0603398+0.00124269j 
-0.111492+0.0143705j 0.128996-0.00469897j 0.10831-0.00360854j -0.101734+0.00340395j 0.104514-0.0156905j -0.0817628-0.0687735j -0.0964196+0.0424269j 0.0238256-0.0362419j 0.0308111+0.0123578j 0.162544-0.0184938j -0.0190877+0.0416128j 0.0509693+0.0204965j 0.444674-0.0117304j 0.276042+0.000336829j 0.149299+0.00277879j 0.1261+0.00240478j 0.267848-0.00216158j -0.517794-0.0164849j -0.0931238-0.0048162j -0.327533-0.00760816j -0.0329879-0.0172447j -0.0213535-0.00459942j -0.104917+0.0140811j 0.0480875-0.00300926j 
0.0022735-0.0116662j -0.0641647-0.000964268j -0.0806789-0.0056327j 0.0274946-0.00267269j -0.026824+0.00451691j 0.00166704+0.0402582j -0.000611343-0.0429081j -0.0489806-0.113593j -0.11115+0.0804494j -0.138728+0.0293917j -0.00306063-0.0343229j -0.0292352-0.0514921j -0.00975895-0.0171627j -0.0267095-0.015143j 0.0178915+0.00724216j 0.0618171+0.0423366j -0.0198596+0.00430545j -0.0295189-0.00510885j 0.37344+0.041525j -0.150985-0.0121114j -0.135396+0.0073281j 0.0306682+0.000889033j -0.263815+7.59248e-05j 0.338012-0.0336215j 
0.0726539-0.00747748j -0.104826+0.0134671j 0.235817+0.0078121j 0.306977-0.00122137j 0.0798073+0.0215165j -0.104619+0.0302621j -0.140707+0.0245961j -0.0416488+0.00465294j 0.0719748-0.0420904j -0.292846-0.00454297j -0.150549-0.0233063j -0.0453411+0.0353639j 0.246993+0.0245964j -0.198238-0.0118645j 0.319147-0.00626329j -0.349261-0.0183969j -0.0501363-0.0134195j -0.0437563+0.000396014j 0.0495812-0.00266682j 0.0512596+0.0040161j -0.14251+0.0202717j 0.0795425+0.00789901j -0.190456+0.00729309j -0.207743+0.0134675j 
-0.000169988-0.013443j -0.0193421-0.000138814j 0.0362722+0.00919034j 0.0227939-0.00319144j 0.0384529-0.0286343j -0.00114528-0.00922056j -0.0136625-0.0296595j -0.032572+0.00526686j -0.0187523+0.0260387j -0.0603886+0.00962173j 0.031608+0.00903384j -0.0944616-0.0321876j 0.106761-0.00913915j -0.0252025-0.00416156j 0.0599001+1.71871e-05j -0.00587575+0.0195569j 0.0087651+0.00173173j -0.000944641-0.00967931j -0.183675+0.050093j 0.0720551-0.0116803j 0.0460818-0.00214879j 0.0210683+0.0471523j 0.155514+0.0317871j -0.131837-0.022098j 
-0.114213-0.00649738j 0.160751+0.0116877j -0.203719+0.0112232j -0.205305-0.000170482j -0.134766+0.00766169j 0.0107785+0.0168524j -0.0232178+0.0347543j -0.131613-0.0349613j -0.0972281-0.0245103j 0.132544-0.0110605j 0.024629-0.017407j 0.101982+0.0479402j -0.131434+0.023295j 0.226893-0.0117061j -0.247595-0.0179924j -0.152208-0.0245756j -0.01932-0.0166478j -0.0261677-0.0165848j 0.00798537+0.00196846j 0.0692405+0.00181607j -0.0150525+0.0167473j 0.109794+0.00556793j -0.195886+0.0277624j -0.197078+0.0209768j 
