-0.0620719+0.124896j -0.116064-0.0518643j 0.13005+0.213065j 0.252382-0.0855637j 0.0563928-0.0465022j -0.161583-0.0899863j 0.0695805+0.279383j -0.109897+0.140075j -0.0720355+0.0995098j 0.0848894+0.234773j -0.210167+0.0139751j -0.160205+0.0124974j 0.183174-0.160528j 0.028624-0.0308868j -0.00242683+0.0363735j 0.192506+0.034937j -0.0590583+0.0372715j 0.0690512-0.0922152j -0.0255954-0.0487131j -0.00438207-0.0370724j -0.0392587-0.249069j 0.12641-0.0823696j -0.0268019-0.063962j -0.0262757-0.107551j -0.0558177+0.0261425j -0.185165-0.029427j 0.0125462+0.0806906j -0.179296+0.00456433j 0.27474-0.0731325j -0.0478345-0.2807j 0.0921366-0.0346662j -0.0424899-0.110872j -0.0885948+0.137928j -0.142972-0.0891376j -0.0517006+0.0199637j 0.0339186+0.0441223j 0.0126041-0.0638163j -0.0511552+0.0203823j 0.00590276+0.0073223j 0.0403103-0.0369976j 0.0132708+0.0273625j -0.0131363+0.030906j -0.0184054-0.0235999j -0.0467038-0.00455511j -0.00464559-0.0264725j -0.00440736+0.00958714j -0.0373663-0.02563j -0.0105849-0.0316722j 0.015604+0.0207887j -0.00334738-0.0228836j -0.018654-0.00995567j 0.018574+0.0123257j -0.0196684-0.00692875j -0.0110129+0.0115895j -0.00138028+0.018767j 0.0280347-0.0205543j -0.0238688+0.0108949j 0.00346578-0.0218964j -0.00179525+0.018324j -0.00712023+0.011846j -0.0216858+0.00601709j 0.00500019+0.0109947j 0.0131409+0.0227088j -0.0166791-0.0300631j 0.00815647+0.0126432j -0.00649403+0.00271821j 0.031373+0.019219j -0.000500484+0.0355693j 0.0279741+0.00939196j -0.0176132+0.03362j 0.0318464+0.0344957j 0.0289203-0.033512j 
0.0539419+0.146676j -0.144397+0.0655836j 0.0387043+0.0828704j 0.0504656-0.0244152j -0.158382+0.191053j 0.28266-0.00744597j -0.076754-0.0826908j -0.203452-0.196474j 0.0872178-0.205661j 0.0390175+0.11857j 0.0498479+0.141977j 0.167811-0.0138869j -0.0330409+0.0111535j -0.164344-0.112812j 0.0750071-0.105506j 0.149046-0.0405992j -0.0648488+0.0761665j -0.107984-0.0266824j 0.0500992+0.0451029j -0.0107573-0.158061j -0.0974477+0.203012j -0.00927107-0.201941j 0.128133-0.00250926j 0.184063-0.0938496j -0.177462-0.0979948j 0.022409-0.110564j -0.228124-0.0360813j 0.00647181-0.279073j 0.102416-0.0744923j -0.0506677-0.0984705j -0.121891-0.184661j -0.181914+0.106876j -0.0256924+0.0875857j -0.0881125-0.0236062j 0.0429025-0.0407353j -0.0849145-0.0627132j -0.0200138+0.0625956j 0.0125767-0.0393472j -0.0480055+0.0321869j -0.00999889-0.031986j -0.0035285-0.0221237j -0.025214-0.00148014j -0.0104179+0.0145497j 0.0114143-0.00315951j 0.0251716+0.0314525j 0.030301-0.0225845j 0.0245101-0.0112j -2.21669e-05-0.00474j 0.0215026+0.00264934j 0.00946504-0.0181867j -0.0144103+0.00616277j 0.00788394+0.00771257j 0.0269343-0.00463305j 0.0171838-0.00809711j -0.00413441+0.015822j -0.0170812+0.00540108j -0.00687155+0.0223297j -0.0175186-0.0216605j 0.00415158-0.00215911j 0.0145507-0.0166172j -0.0221835+0.0163637j -0.0151271+0.00490055j -0.0277445-0.0138573j -0.00880693-0.0143972j -0.0103344+0.0184899j -0.0146444+0.00703194j -0.00580408+0.0144108j -0.0179174+0.00326119j 0.00734902+0.0225148j -0.0308624+0.00154165j 0.0349816-0.00952931j -0.0121281-0.0375423j 
0.111654+0.00268188j -0.00325641+0.120393j -0.138656+0.165482j 0.155682+0.129571j -0.156759-0.107469j -0.0418273+0.132318j 0.0564979+0.0401978j 0.0955522-0.067658j -0.208944+0.000935944j -0.015391-0.196685j -0.0356521-0.0214593j 0.00912376-0.220349j -0.0784316-0.169081j 0.0271727+0.0328106j -0.0768248-0.0274205j 0.0595188-0.00727633j -0.0149229-0.0800439j -0.123562-0.117312j 0.133181-0.0370347j -0.268198+0.00712971j 0.0351347+0.00460388j 0.107292+0.170083j -0.013914+0.33813j 0.158182-0.217434j 0.377217-0.0628281j 0.115998+0.145186j -0.0727065+0.0441576j -0.0245072-0.100412j 0.0804055-0.154255j -0.148959-0.0713857j -0.147295+0.0749048j 0.0796092+0.1376j -0.0838233-0.0209193j 0.0127922-0.0868389j 0.019924+0.0103781j 0.0201232-0.0387755j -0.0236023-0.007664j 0.0238152-0.00139491j 0.0284737-0.0301299j 0.0363302+0.0371413j -0.0134826+0.0159292j -0.00269867+0.0301592j -0.00658639-0.00366035j 0.013137+0.0194959j 0.0240213-0.000567744j 0.023735-0.0136119j -0.0166593+0.0121148j 0.00327761-0.00484413j -0.024995+0.0021975j -0.00924389+0.000341505j -0.000685413+0.00678962j 0.00739072+0.0259412j 0.00251265+0.00163916j -0.00557992-0.00451j 0.00785692+0.00961415j -0.00692388-0.0163042j -0.00605921+0.00938514j 0.00263244+0.00734767j 0.0145073+0.00135315j 0.00637582-0.00818007j -0.00054893-0.0130658j 0.00286556+0.0224906j -0.00735612+0.00463429j 0.0213332-0.0125549j -0.0217693+0.00527606j -0.0275241-0.0103844j -0.00250082-0.0211105j 0.00851264-0.00769019j 0.0150012+0.0180745j -0.018722+0.00893135j 0.0066009-0.00992651j -0.0108534-0.00835819j 
-0.0147055+0.0695684j -0.0619415-0.0119032j 0.0761606+0.0579684j 0.0573107-0.0435455j 0.0485593-0.0131359j -0.0333166+0.0545524j 0.071094+0.010511j -0.019857+0.0579757j -0.0213254-0.0149886j -0.0365008-0.0569173j 0.0449784+0.00538644j 0.0409224+0.0155983j -0.0219957+0.0139227j -0.0131496+0.0364213j -0.00106255-0.0251296j -0.0400067-0.0264572j 0.017031-0.00130483j -0.0205154+0.0261018j -0.00167509+0.000452123j 0.00653775+0.0203647j 0.0255869+0.034794j -0.00178273+0.0282787j -0.00794686+0.00165178j 0.0235669+0.029318j 0.0173111+0.0174387j 0.0436136-0.0173212j -0.028232+0.0205469j 0.0150256-0.0246334j -0.0617688+0.0182748j -0.00839833+0.0885852j 0.0400917-0.0214632j -0.0113871-0.0403506j 0.0323703-0.190937j 0.20088+0.0152459j 0.113929+0.050679j -0.0827902-0.0233871j 0.215901+0.186858j 0.180274-0.126771j -0.0891539-0.0413819j 0.0997545-0.095091j 0.0859827+0.0888112j -0.0794081+0.135763j 0.0163705-0.160967j -0.069124+0.0645482j -0.11979+0.0445772j 0.00637082+0.114027j -0.0288728-0.117915j 0.0902819-0.205j 0.0015768+0.0729774j 0.0566154+0.00168288j -0.133225-0.0477192j 0.0620598-0.0387021j -0.0902766+0.0546096j -0.0497918+0.0452796j 0.0261229+0.0678066j 0.0595101+0.0563859j -0.108824+0.0447498j 0.0349111-0.0491498j 0.0367087-0.0602867j 0.0680697+0.0354226j -0.100448+0.0767175j -0.0222724+0.0813163j -0.0390648-0.0174093j -0.132894-0.0398744j 0.135607+0.00211255j -0.0204809+0.109824j 0.133386-0.00213688j 0.118368+0.228735j 0.12922+0.0851704j -0.0952754+0.181679j 0.0814534+0.135963j 0.118258-0.088677j 
0.0602227+0.0455489j -0.0427725+0.0661154j 0.0571815+0.0248641j -0.00548038-0.0527032j 0.00348935+0.053855j 0.0202505+0.00127312j 0.0207388-0.0212556j 0.0228527+0.00312566j -0.0153465+0.00614918j 0.0426616+0.0134648j 0.0425793-0.0470037j -0.0776262-0.0315784j 0.0243955+0.0186395j 0.00395176-0.00949078j 0.00687914+0.0566845j -0.0137859+0.00518941j -0.00246904-0.00574538j 0.0287574-0.031115j 0.00203518-0.0282479j 0.0298726+0.0174092j 0.0384278-0.0123774j 0.00205289+0.016315j 0.0142607+0.0181588j 0.00595062+0.0249905j 0.0184434+0.0238556j 0.00900724+0.0294508j 0.0369066+0.0305315j -0.0221258+0.0455569j -0.045149+0.0661828j 0.0382138+0.0371559j 0.0128468-0.0361939j -0.0300719-0.012798j -0.0233444-0.0830991j 0.0909542-0.0298531j -0.0912467+0.155142j 0.1577+0.0116031j 0.0530447-0.0318064j -0.0275457+0.00556813j 0.0120757+0.00493672j 0.0448318+0.0717912j 0.23236+0.118971j -0.0877753-0.357418j -0.0583379+0.202955j 0.0641976-0.0120727j 0.0591607+0.0326325j 0.174263-0.0815515j 0.076-0.0644735j 0.0921082-0.0097166j -0.0173443-0.049856j 0.0218336-0.0899839j 0.023293+0.0867681j -0.154897-0.00293701j 0.205706+0.0625119j 0.0627591+0.0603099j 0.0221816+0.122626j -0.0214399-0.125734j 0.0420001+0.111281j -0.158841-0.0494769j 0.0690998+0.0568304j 0.0738006-0.164067j -0.130745+0.0527482j -0.0500299+0.0488302j -0.0747065+0.045043j 0.0870844-0.0387776j 0.0858008+0.129669j -0.172541+0.105469j -0.0489151+0.0621936j -0.243301+0.0560163j 0.0403553+0.0323443j -0.100781+0.014643j 0.150146-0.061591j -0.0616358-0.158216j 
-0.0722949-0.0227844j 0.0195993-0.078604j -0.0181216-0.0607632j -0.0293861+0.0183288j -0.0267901-0.0700001j -0.0364103+0.0654774j 0.0427069+0.00472014j 0.00775942-0.0158205j 0.0163406-0.0288307j 0.00798114+0.0263894j 0.0349758-0.030576j -0.0272289-0.0154332j 0.0358923-0.0129801j -0.0319494+0.00944196j 0.0197353+0.0308238j 0.00762891-0.0450178j -0.0236876+0.00908388j 0.0250037-0.00434338j 0.0469574-0.0151874j -0.0245415-0.0161901j 0.000283972+0.0138466j -0.00612117+0.00404413j 0.0102218-0.0201224j 0.0161122-0.0107025j -0.00685768+0.00707814j -0.00464401+0.00283493j -0.023102-0.0361779j 0.0195468-0.0288569j 0.00518682-0.0682288j -0.0549709-0.00107008j -0.0402255+0.0414877j 0.0343665+0.0381074j -0.0281833+0.0941201j -0.0932434-0.0240724j 0.0305057-0.167087j -0.205796+0.119899j 0.117343+0.0667307j -0.0125222-0.0787047j 0.197804-0.0946588j 0.0627064+0.027134j 0.213894-0.000571427j 0.036918-0.117434j 0.0725385+0.137863j 0.117277+0.176307j -0.0589208-0.10322j 0.0827412-0.0798125j 0.112589-0.163717j 0.137393+0.00626757j 0.0381377+0.150175j 0.0479113-0.0665843j 0.145868+0.0124356j -0.120559-0.0401786j -0.0249795+0.117263j 0.00751531+0.166069j -0.144785-0.100747j 0.0101804+0.158952j -0.00947495+0.0266428j -0.00135655-0.00548971j -0.0404995-0.0134569j 0.123495+0.0531829j -0.0875232+0.128045j 0.112915-0.127633j 0.24818+0.165463j 0.0875179-0.185431j 0.0637141-0.137321j 0.0857308+0.0234117j 0.0609884-0.0156938j 0.0385873+0.1563j -0.225762-0.0964719j 0.0971911-0.18148j 0.0117717+0.0659304j 0.0708191-0.00626336j 
-0.047196+0.0166056j -0.0186385-0.0513602j 0.0385329+0.0142837j 0.0459555-0.0278371j 0.0599389-0.0667417j 0.0241632-0.076081j -0.0518983-0.0666793j 0.0431286+0.0321503j -0.013654-0.0355384j 0.0387959-0.00377857j 0.030855+0.00509225j 0.0181491-0.0130476j -0.00838129-0.0299198j 0.010632-0.00664733j 0.0150018+0.00528508j 0.0323549-0.0140959j 0.0135459+0.0192723j 0.0297032-0.00369616j 0.0197045-0.0122729j -0.00148157-0.000778119j -0.00945242-0.0125378j 0.0146748+0.0118745j -0.00572785-0.010585j -0.0166405+0.01913j 0.00695883-0.0241951j 0.011303+0.00889355j -0.0230714-0.00395748j -0.000560645-0.0247267j -0.0166468-0.0562568j -0.0501344+0.0192711j -0.0206383+0.030604j 0.0282176+0.0189678j 0.0379891-0.061476j 0.0675031+0.0555655j 0.224035-0.0733236j 0.0969056-0.207261j -0.044421-0.262559j -0.214868-0.121468j -0.0910999-0.0555078j 0.223711-0.073186j 0.0283465+0.113072j 0.123079-0.066392j 0.00314072-0.0684641j -0.0204732-0.066279j 0.0270294+0.0449017j -0.0914955-0.0613482j 0.0822148-0.0921684j 0.0668454+0.0664651j 0.0443546-0.00661642j 0.132712+0.146282j -0.033906-0.0166804j -0.110428-0.0393596j 0.10743-0.100432j 0.0117946+0.161399j -0.0487623-0.101789j -0.0550858+0.0602554j 0.0781214+0.00333703j 0.0958541-0.0838734j 0.055084-0.162357j 0.0846182-0.0918063j 0.121909+0.0809595j 0.0897799+0.0832824j -0.110222-0.0318059j -0.0765889-0.0303391j -0.187021+0.0157978j 0.225415-0.256855j 0.20464+0.299644j -0.16333+0.030691j 0.0229919+0.00790083j -0.0163437+0.0239796j 0.0325915+0.0151852j 0.0177679-0.0292145j 
-0.00420844+0.0830348j -0.0826348-0.0106467j -0.00174188-0.0507973j -0.0424256+0.0427919j 0.0833443+0.0143705j 0.000508624-0.0247516j 0.00862615-0.0102341j -0.0210021-0.0241136j 0.0142638+0.0345792j -0.0110087+0.0292884j -0.00776801+0.0094118j -0.0316915-0.0371279j -0.0366233-0.0270656j -0.0206734+0.000783569j 0.0219408-0.0375866j -0.00866748+0.0136753j -0.0128566-0.00661064j -0.00703416-0.00667991j 0.0537452+0.0131378j 0.00329753+0.0365778j -0.000461261+0.00460731j 0.012946-0.0146228j -0.0166091+0.00171693j 0.0147105-0.00016498j 0.0113614+0.0100881j 0.0102354+0.00368046j -0.00875759+0.0336425j -0.0363486-0.0193403j -0.0698156-0.0218741j -0.0197928+0.0768595j 0.0340393+0.070366j 0.0670667-0.0390813j -0.0874109+0.093372j -0.110343-0.0717807j 0.170249+0.11662j 0.0462404-0.0842037j 0.0163654+0.0206703j 0.0537852+0.000724013j 0.132909+0.0830126j -0.0577512+0.109034j -0.0605753-0.0605254j -0.108867-0.122264j -0.118158-0.116506j -0.0300314+0.00682784j -0.143918+0.0582362j -0.0913989+0.0893595j 0.0152029-0.00775133j -0.0756721-0.00770889j 0.0948005-0.183088j 0.180273-0.0530995j 0.125328-0.0797655j -0.199029+0.0049524j 0.0472602+0.0971218j 0.0162272-0.0427417j 0.17858-0.0418285j -0.0688093-0.110127j -0.147446-0.230791j 0.0202264-0.00895771j -0.150716-0.0320271j -0.0281957+0.213765j -0.0632685+0.405987j -0.311337+0.030183j -0.0824416+0.117377j 0.131574+0.0593981j -0.115743-0.00504017j -0.0180544-0.124157j 0.0747635-0.0474006j 0.0634689+0.00675608j -0.0555699+0.0440415j -0.0420473-0.0475377j 0.0120474-0.000527006j 7.01303e-05-0.00826588j 
-0.0238417+0.0197834j -0.0155958-0.0203944j 0.0223327+0.0190942j 0.0275803-0.00753343j 0.021831-0.0142821j -0.0244169+0.00689369j 0.0207794+0.0198383j -0.0168485+0.0244855j -0.00384898+0.000391319j -0.0106946-0.00413124j -0.00330098+0.00863959j 0.0119613+0.0128306j -0.0017992-0.012596j -0.0134511+0.0106603j 0.00174993-0.0107343j -0.0024327-0.00705565j 0.00723862-0.000137937j -0.00145259+0.0149932j -0.0024516-0.00223549j 0.000769566+0.0010292j -0.00271923+0.00251288j 0.00719424+0.00200582j -0.00352178-0.00977629j 0.00160153+0.00273404j -0.000413706+0.00466361j 0.00312112-0.0155945j -0.0129485+0.00484398j 0.0037146-0.0145044j 0.00176363-0.00879373j -0.0119656+0.00821701j 0.0101862+0.00432411j 0.00427799-0.0160092j 0.0153808-0.031077j 0.0289937+0.000590968j 0.0583245+0.0171341j -0.0610421-0.0179103j 0.0629185+0.0589601j 0.0444484-0.00418035j -0.0235386-0.0155078j 0.0596198-0.0310776j 0.00414591+0.0118917j -0.0546416+0.093194j 0.0394109-0.0893334j -0.00364006+0.0212706j -0.047909-0.0134082j -0.00479722+0.0632201j -0.000310018-0.0707325j 0.0104218-0.0584128j 0.0086826+0.0278368j 0.0637393+0.0258803j -0.0536745-0.0535616j 0.0205214-0.0347145j -0.0755109+0.0226485j -0.0504385-0.0103605j 0.00872782+0.0321627j 0.0196569+0.0661678j -0.0645797+0.0166748j 0.0468168-0.0478777j 0.0103398-0.0411834j 0.0285863+0.0319473j -0.0144838+0.0250962j -0.00122965+0.0163416j 0.00756655+0.00866324j -0.0451179+0.00846999j 0.0446348-0.0297823j 0.0425846+0.00793762j 0.0719884-0.0153961j 0.0912519+0.0107065j 0.0350836+0.00283629j -0.00253562+0.0441163j 0.0156196+0.0512571j 0.0401897-0.0123949j 
0.0119405+0.0383639j -0.038245+0.0190937j 0.0302967+0.0411781j 0.0267577-0.0208035j 0.00024567+0.0240027j 0.00164483+0.00898609j 0.0148771+0.00986584j -0.0166186+0.00735928j -0.0102798-0.00656834j 0.00869137+0.00143234j 0.0115187-0.00219215j -0.00699098-0.00547421j -0.0016945+0.00182261j -0.00768984+0.00568749j 0.00725417+0.00847624j 0.00414336-0.000876406j -0.00638938-0.0059024j 0.000902346-0.0156509j -0.00118733-0.0059993j 0.00605087-0.00138207j 0.0145539+0.00646992j 0.00596271-0.00147429j 0.00601434+0.00474784j 0.0169198+0.00448006j 0.00236303+0.0037678j 0.00753675+0.0025362j -0.009486+0.0140047j -0.00551026-0.00254233j -0.00615594+0.0149418j 0.00262458+0.0124834j 0.0115832-0.0229236j -0.0123247-0.0153849j 0.0126793-0.0469387j 0.0578926-0.00512403j -0.042763+0.0623902j 0.026856-0.0243497j 0.0453226+0.0595225j 0.021179-0.00745203j -0.0241869-0.00399625j 0.0389787+0.0174535j 0.0484767+0.0777944j -0.0552273-0.0678016j -0.0174297+0.00223511j -0.00293225-0.00629892j -0.00657369+0.0340722j 0.0651269+0.00561474j -0.0111856-0.0335385j 0.0551311-0.0353107j 0.00619859-0.0147275j 0.0363492-0.0477703j -0.0373462+0.027068j 0.0274933+0.00746213j 0.0728148+0.0538825j 0.0048217+0.0391609j 0.0286423+0.0761829j 0.00791501-0.0668454j -0.0150031+0.0246218j -0.0444592-0.00894168j -0.00228108-0.00414574j 0.0452069-0.0385841j -0.0618453+0.026383j -0.000995005+0.0464095j -0.0458356+0.0143878j -0.0253442+0.0040941j 0.0442799+0.0416232j -0.0384176+0.0829265j 0.0219443+0.0374988j 0.0179693+0.0669429j 0.0515798+0.024012j -0.032387+0.0445891j 0.0486224+0.00266525j -0.00815642-0.0566575j 
0.00718651-0.0003906j -0.00248856+0.00887135j -0.00760506+0.0106471j 0.00027313+0.00680026j -0.00652388+0.0110427j -0.000333535+0.00714536j -0.00837542+0.000591701j -0.00398984-0.00247503j -0.00073491-0.00458448j 0.000277501-0.0117497j 0.00298695+0.00105692j 0.0122253+0.000296207j -0.00868448+0.00536488j 0.010345+0.00227228j 0.00269431-0.00127038j -0.00180267+0.00473283j 2.18081e-06-0.00499569j -0.00511813-0.00872065j 0.00136913-0.00280177j 0.00173506-0.00606418j 0.000802965+0.00322886j 0.00502108+0.000142722j 0.00495444+0.00119121j 0.00150026+0.00242678j 0.00155833-0.0049387j -0.00358023+0.0121921j 0.00248101-0.00662708j -0.00600032+0.00676464j 0.000268317+0.0062384j 0.0017931+0.00666254j 0.000227734-0.00667451j 0.000472791+0.000667486j 0.018569+0.00968554j -0.00244891+0.00351976j -0.0469624-0.00592537j 0.0255941-0.00468685j -0.019936+0.00101471j -0.00355799+0.0264126j -0.0195532+0.000986379j 0.00573789+0.00262393j -0.0361087+0.0269884j 0.00427704+0.0110236j -0.0181297-0.0131812j 0.00544033-0.0199146j 0.0112544+0.0137691j 0.00564318+0.00280527j 0.00985173+0.00793377j -0.00203624-0.057787j -0.0186021-0.0102199j -0.0463354+0.0211714j -0.0484069-0.025062j -0.0355557+0.000225204j -0.00867598-0.0306175j 0.0170503-0.0302229j 0.0265423-0.00434048j 0.0247658+0.00854612j -0.0219386+0.0310154j 0.00246942-0.0126957j 0.0123877-0.000664869j -0.0479115-0.0577707j -0.0235974+0.0106537j -0.00878585+0.0261933j -0.0612499+0.0107955j -0.0107295-0.0172204j -0.00447944-0.0290838j -0.0249663+0.01331j -0.018624-0.00638559j -0.00238275-0.00868817j 0.0202688-0.0233068j 0.019286+0.0060925j -0.00146875-0.00197201j -0.00455158-0.00116182j 
