0.0191808-0.0764502j -0.0119782+0.00853973j -0.0498057+0.0181756j -0.0585343+0.0219609j 0.0294913-0.00329524j 0.0306567+0.0235933j -0.0196637+0.00772898j -0.0483827-0.0190134j 0.00128391-0.0293777j 0.00456336-0.00357739j -0.0138257+0.021908j 0.0234841-0.00318483j 0.0220607-0.00785482j 0.0139405+0.0379724j 0.00434278-0.040058j 0.000799469+0.0156465j -0.0158346-0.0118023j -0.0196612-0.00608442j 0.00332036-0.00560238j 0.016172-0.0128397j -0.00637266-0.00554206j -0.00327-0.00193401j 0.00432786+0.0234206j -2.96178e-05-0.0122656j 0.00760937-0.0178442j 0.00584431+0.0137023j -0.0105956-0.0296572j 0.00217368-0.00462254j 0.000368644-0.0033249j -0.00500675+0.00932943j 0.000939267-0.000702913j 0.00314908-0.0122176j 0.00188143-0.00935034j -0.0190422-0.0126036j 0.00466768+0.00545911j 0.0136103+0.00635541j -0.00814682-0.0189738j 0.000112371-0.0104966j -0.00767761-0.00214176j -0.016125-0.0363441j -0.0230243-0.00152211j 0.00731447+0.00611366j -0.0192364-0.0156147j 0.0272784+0.0137227j -0.00924822-0.0132081j 0.0230022+0.0162197j -0.0250585-0.0121307j 0.0020052-0.0212227j -0.00540863-0.015064j -0.00408146-0.00479075j -0.00688152+0.00519649j 0.00433353+0.0032066j 0.0127583+0.016494j -0.000812769-0.00352897j -0.00898154+0.0046689j -0.00948788-0.0149589j -0.0295066-0.00612643j 0.000466251+0.0125478j -0.00558278+0.0301308j 0.0127408-0.0127687j -0.0132252-0.0221303j 0.0179757+0.0340289j -0.0122899+0.00429949j -0.0048987-0.00424002j 0.0047692-0.00402494j -0.00503301+0.0131383j -0.00784748+0.00318671j 0.00855956+0.0108658j 0.00599875+0.0155101j -0.0100156+0.0370014j 0.0378306+0.00546892j -0.0125066+0.00111576j 0.0296723-0.0562722j 0.0383786+0.0237997j 0.0330375-0.0252744j 0.0554263-0.041958j 0.0338236-0.00810413j -0.0315018-0.0816606j -0.0110665-0.0248033j -0.0185976+0.0402772j -0.0591534-0.111456j -0.0808526-0.0155049j -0.058862+0.0892732j -0.112299-0.0484602j 0.0845146+0.00271782j 0.0176833+0.0589564j -0.0832974-0.0596358j -0.04002-0.0840772j -0.00555371+0.0669536j 0.121121+0.113335j 0.147804-0.216085j -0.167671+0.0766416j 
-0.00706925+0.0157091j -0.00664246+0.0840124j -0.0393712+0.026407j 0.0432659-0.0189661j 0.0076423+0.00423496j 0.0134559-0.00823376j 0.0722699+0.0237587j -0.00386349-0.0071659j 0.0113258+0.0126083j -0.00988667+0.0164711j 0.0211739+0.0500409j -0.00446803-0.00416851j -0.0274248-0.00794725j 0.0493607+0.0140089j -0.00638683+0.00765018j 0.0245796+0.00372422j 0.0155457+0.00454895j -0.0134996-0.00151177j -0.0130678-0.00462156j 0.00445947+0.00214609j 0.00293718-0.0061634j -0.00539804-0.0141842j 0.0314628-0.000450072j -0.00501005+0.00106383j -0.0129774+0.00230562j -0.00976156-0.00572025j -0.0403688+0.00325006j -0.00134639+0.00668741j -0.0191543+0.00868067j -0.00914844+0.00345999j 0.010151+0.0104927j -0.00660251-0.00636452j -0.0251507-0.00220192j 0.0124354+0.0139389j -0.000954432+6.5845e-05j 0.0179151-0.000470809j -0.000186966+0.00612216j -0.0182396+0.00572703j -0.00893057+0.00759133j -0.0300608+0.00986208j -0.0108879+0.0273183j 0.0110134+0.00228057j 0.00552643-0.00368688j 0.01303-0.00393636j 0.00727448+0.00214405j -0.00561759-0.017088j 0.00409103+0.00960302j -0.015322-0.0155814j -0.0115267-0.00998957j 0.00588198+0.00388391j -0.0092067+0.00775622j -0.0150745-0.0286856j -0.00492457+0.0182824j 0.000962653+0.0190971j 0.00554107+0.012267j -0.00164814+0.0087252j 0.00807311+0.0063716j -0.00907034-2.42944e-05j 0.00524956-0.0119391j 0.00115833-0.0291764j -0.00901206+0.0129386j 0.00243095+0.00741151j 0.0141021+0.0328181j -0.00428042-0.00627746j -0.00734384+0.00832403j -0.00112567-0.0134088j 0.0171487-0.0111062j -0.0428714-0.0257392j 0.0301453-0.0105065j -0.000375385+0.0296649j -0.0164068+0.0305686j -0.0174748+0.0170374j -0.0315054+0.0180493j 0.0312409-0.0302517j -0.0127811-0.0247646j -0.0501741-0.0607823j 0.0102434-0.0451449j -0.0705279+0.0164339j 0.00121744+0.0265169j 0.0488285-0.0352242j -0.124138+0.00983996j 0.0496716+0.0960766j 0.0657056+0.0576044j -0.0785475+0.126132j -0.0262079-0.0614935j 0.0917637+0.0253166j -0.00632371+0.114999j -0.0538082-0.028049j -0.102639-0.106755j 0.00794489+0.0309003j 0.150828-0.0793457j 0.135385-0.218113j 
0.00504923+0.0517946j 0.0224844+0.0414489j -0.00393534+0.00702514j 0.0114337+0.0135869j -0.0520051+0.0399954j 0.0134709+0.0167664j 0.0530193+0.0047827j -0.00951423+0.0186309j -0.0128569+0.00258553j 0.0276419+0.00246168j 0.0208547+0.0510605j 0.0249575+0.00366917j -0.0937191+0.0207821j 0.0244669+0.0170504j -0.027488-0.0565328j 0.00975335-0.00603798j -0.0362865+0.00947193j -0.0344169-0.0214607j -0.0259982-0.0139056j -0.00779062+0.000434787j 0.00163262-0.00589282j 0.0049946+0.00140634j 0.0341899-0.00289334j 0.000301591-0.00232658j -0.0210671-0.0229394j 0.0127731+0.014917j -0.00435924-0.0501616j -0.0183869+0.00707141j -0.0178539-0.0310586j -0.0314295+0.0132702j 0.0207058+0.00962237j -0.0353244+0.020477j -0.0126305-0.0184599j -0.0265626+0.0171389j 0.0109208-0.00409455j 0.00161133+0.0054121j -0.00173693+0.000365986j 0.0104584+0.0310355j -0.0130751-0.0136281j -0.0385861+0.00555727j 0.0225559-0.0328206j 0.0355751-0.0199033j -0.0305028-0.0302381j 0.033108-0.00538927j 0.0108641-0.0133746j -0.0270815+0.0175066j 0.0199625-0.0322873j -0.00136075-0.0318028j -0.00651211+0.00965363j 0.0281606+0.0269325j -0.00401145+0.0186207j 0.0116214+0.0254253j -0.0174769-0.0140997j -0.0207225-0.0403947j 0.0101133-0.0457757j 0.0104366-0.00613321j 0.0188314-0.00422808j -0.0508651+0.000515266j 0.00341895+0.0360524j 0.0388621+0.013519j -0.00896391-0.00829157j 0.00872904+0.0361279j -0.00593255+0.0253135j 0.0101436+0.0268323j -0.0340427-0.0189563j 0.0118421+0.0302154j -0.014035+0.0631036j -0.0483305-0.0320352j 0.0173495+0.052548j 0.0121623+0.0296042j 0.0486945-0.0635648j 0.0343075+0.00950558j 0.0238756-0.0153918j 0.0339275+0.038141j -0.133274-0.0312875j -0.00655621+0.00372501j 0.00846023+0.00312212j 0.0196569+0.0456349j -0.0775497-0.0247254j 0.0823563+0.0230382j -0.098669-0.0283588j 0.0452524-0.0286258j -0.0465477-0.196515j 0.0215761-0.0444277j 0.0314621+0.0966875j 0.11508+0.02159j -0.0293308-0.128972j -0.0201749+0.109276j 0.0802263-0.071004j 0.0309695+0.0926919j -0.0727448+0.226403j 0.175723-0.04591j 
0.0310176+0.0336531j 0.0136426-0.0647397j 0.0493912-0.0127555j 0.00401878+0.0476103j -0.0305593+0.0241821j -0.0579576+0.101338j 0.0613524-0.00280144j -0.0337829+0.00778581j 0.0220123+0.0109065j -0.0361336+0.000910344j 0.0571756-0.0296894j 0.0268288+0.0350405j -0.0183225+0.0344842j -0.0187001+0.0184304j -0.0360069-0.0128109j 0.0132832+0.00398037j -0.00225358-0.00733085j -0.0104108+0.02671j -0.0102695+0.00715789j -0.0171242-0.00796888j 0.00313087-0.0316382j 0.0107891+0.00301241j 0.00330366-0.0261277j -0.0317488-0.00862752j -0.0359697+0.0210765j 0.00416003+0.0133906j -0.00198366-0.00600888j -0.000643581-0.00429902j -0.0176878+0.0175404j -0.0142904+0.0181516j -0.00398874+0.00340688j 0.00450897+0.0331814j -0.00976785+0.0278137j 0.00578277+0.00692558j 0.00189461+0.00269444j -0.0144448+0.0322189j 0.00215138-0.00904878j -0.00167321-0.0219143j 0.0213793+0.00535206j 0.0152816+0.025585j -0.00261799-0.0378896j -0.00107528-0.00162615j -0.0646635-0.0196394j -0.0291419+0.00396826j -0.0342034-0.0106748j 0.0320505+0.0199511j -0.00540158-0.015008j -0.00536018-0.00397558j 0.00308448+0.00217342j 0.0201917-0.00654907j 0.0133979+0.00117754j -0.00237816-0.0226184j -0.0112215+0.00467513j -0.0175916+0.014356j 0.0172042+0.00303062j -0.0376144+0.0249824j 0.013867-0.0109046j 0.0374075-0.00145533j 0.0667058-0.014591j -0.036092-0.0460549j 0.0192818+0.0135577j -0.0126841+0.0107884j 0.0261449+0.0312446j -0.0082574-0.038552j -0.0135071+0.0501688j 0.050743-0.0200394j -0.0146856-0.0360647j -0.068004+0.0407192j 0.0338057-0.0419428j 0.0529087-0.0504329j -0.0466511-0.0655451j -0.0506403-0.044531j 0.0315632-0.0418626j 0.0484733-0.053599j 0.0115649+0.0568961j -0.0300856+0.0752029j 0.0405877+0.00358818j 0.0412934+0.00150135j 0.0174328+0.0620869j 0.0530728-0.0517537j -0.0163511+0.0681537j -0.0406456-0.0540536j -0.19241+0.0716757j -0.00715032-0.0494642j -0.00591547-0.128123j 0.0318596+0.0339333j 0.0359228-0.111813j 0.0267369-0.0358019j 0.0375232-0.0529255j 0.114308-0.0904721j -0.172309+0.0432542j -0.0802823+0.22181j 
0.00755459-0.0236191j 0.0119248+0.0463057j -0.0238494+0.0403917j 0.0193528-0.0126109j 0.024384+0.00233543j -0.000777626+0.0457105j 0.0999433-0.0220113j -0.0293895+0.00231313j -0.0206019+0.000527597j -0.0437992-0.0463107j 0.0466564+0.0210257j 0.0271405-0.054923j -0.0150439-0.0261563j 0.0436619+0.0262054j 0.0255064-0.00885353j 0.0271052+0.0123201j 0.00226215+0.0351722j -0.0146919+0.0064679j 0.00763566-0.000317944j 0.0361841-0.0127257j -0.0109152-0.00325636j 0.0255694+0.0325898j 0.050483+0.00619283j 0.0179253+0.00795489j -0.0408529+0.0299775j -0.0372703-0.0444401j -0.0574568+0.0194356j 0.0207196+0.00901882j -0.0185384+0.00457636j -0.0251973+0.010488j -0.00481638+0.0389458j 0.00286391-0.00336186j -0.0442158-0.0279897j -0.00249634+0.0213274j -0.000737224+0.00511847j -0.0184795-0.0386817j -0.0457482+0.0223934j -0.073751-0.0440873j -0.00722637+0.00349626j -0.0817192-0.0108439j -0.0373464+0.132245j 0.051816-0.0249602j 0.00271082+0.0211656j 0.0879607+0.0661767j -0.0121057+0.0129748j 0.0454037-0.0408055j -0.0601905+0.037265j 0.0223177-0.0436468j -0.0225365-0.0637333j -0.0352051-0.0130392j 0.00761044-0.0318451j 0.0206596-0.0139989j 0.0226822-0.0145464j 0.0413245+0.0696473j -0.0221378+0.00578037j 0.00169787-0.000494566j -0.0195697-0.0790572j 0.0165448+0.0102949j 0.0282506-0.00452082j 0.0322949+0.0217934j -0.0176626-0.0322087j 0.0180192+0.0241487j -0.0130667+0.00622061j -0.0205428-0.0084853j 0.00853051+0.0768281j 0.00314647+0.0230829j 0.0376144-0.0279378j 0.075692-0.00686587j 0.0543206+0.0709887j -0.0723003+0.0577251j -0.108524+0.107989j 0.0466298-0.0753596j 0.0730285-0.0369326j -0.0149073-0.0220018j 0.0353749-0.0655883j 0.044877-0.0454578j 0.0528805-0.0862496j 0.0357672-0.0297213j 0.0632979+0.0362734j 0.033554-0.0572067j -0.0958438+0.0225536j 0.00437163+0.0111204j 0.0490525+0.0137749j -0.104792+0.0457975j -0.0240533+0.0336305j 0.0694101-0.00676676j 0.0178467-0.116438j -0.0351404+0.0227331j -0.0797596-0.00732972j 0.0606969+0.0799226j 0.0922892-0.0929468j -0.00483453-0.0365821j 
0.000963598-0.0609122j -0.00664985-0.0118521j -0.0259757+0.0262953j -0.0508616+0.0453978j 0.0236991-0.0148534j 0.0229804+0.0138379j -0.0104091-0.00398729j -0.0656357+0.00553596j -0.0136207+0.0284266j -0.0291684-0.0160373j 0.00285429-0.0333915j 0.0414991+0.0188718j -0.0041901-0.0214378j 0.0284595+0.0671116j -0.00173242-0.0528848j -0.0318404+0.044689j -0.0321583-0.0122665j -0.024599-0.044704j -0.0243087-0.0255013j -0.000398208+0.00243345j -0.0113166-0.0112879j 0.00648127+0.00655186j -0.0061648+0.0479074j 0.0271528+0.00099046j 0.049451-0.00916176j 0.0730952+0.0150651j 0.0193567-0.0563934j 0.0208345+0.0156779j -0.0159923+0.00683017j 0.00804999+0.0125588j 0.0286577+0.0107603j 0.0164844-0.00331413j 0.0300036-0.0415818j -0.0431202-0.0257077j -0.0169947+0.0584236j -0.00164169+0.0361291j -0.0583525-0.0741866j 0.0349393-0.0788271j 0.00998559+0.0339989j 0.0144526-0.0775408j -0.0823202-0.0509223j 0.0138293+0.0287964j -0.043273-0.0210104j -0.00624521+0.0540355j -0.0135151+0.0508846j 0.0729861+0.0455058j -0.00110238-0.051991j 0.0434655+0.0242943j 0.0322464-0.0444916j 0.0169558-0.0794584j -0.0132515+0.0418484j 0.0452569+0.0371108j 0.0358297-0.0245734j -0.025617-0.0298452j -0.0478886-0.0522779j -0.0215138-0.0474507j 0.00319947-0.0744373j 0.0416104+0.0255245j -0.00723227-0.0189278j 0.0361993+0.0508163j 0.0171879+0.00136672j -0.0206503+0.0172493j -0.00580724-0.0270787j 0.0618747+0.00112767j 0.00200769-0.00897306j 0.0642924+0.0467882j 0.00854531-0.106901j -0.0169007+0.0687146j 0.0495054-0.0783486j 0.020867+0.0161338j 0.0478603-0.019522j -0.0511787-0.0456711j 0.111705-0.0970075j -0.111874+0.0883492j 0.0164115+0.062998j -0.0453521+0.0370832j -0.0108872-0.0142026j -0.0220694-0.0184633j 0.0369567-0.0337999j -0.0248769+0.0718996j 0.0322924-0.0620795j -0.0475526+0.00245868j -0.0250676-0.00570102j -0.0980193-0.00444615j 0.00204227+0.079134j 0.0806808-0.0436183j -0.0295863-0.0605121j -0.0835323+0.0809812j 0.00429278+0.0917202j 0.0622912+0.0564903j 0.032887-0.0654868j -0.103579+0.0741923j 
0.000664434-0.0512937j -0.00717492-0.0233553j 0.0420561+0.00725469j 0.0111862+0.0295328j -0.00635005+0.000375565j -0.00844393+0.118513j 0.049377-0.026385j -0.0197371-0.00253666j -0.00355701+0.0294049j -0.0438907+0.0033579j -0.0108877-0.0350992j 0.0537007-0.00735038j 0.0303656+0.0530733j -0.0132035-0.0097564j -0.0519854+0.00380932j 0.000816512-0.00669516j -0.010301-0.0233948j -0.0240409+0.0152938j 0.0290688+0.00628433j -0.000709707+0.00215003j 0.00767283-0.0237039j 0.00377838+0.0455986j -0.0217146-0.0392984j -0.0111739-0.000386565j -0.00153502+0.0575715j -0.0155328+0.00438989j 0.022113+0.0168515j 0.0117566+0.000481136j 0.0148482-0.0175282j -0.0267422+0.0194243j -0.0111901-0.0117307j 0.0385516+0.0429145j 0.03362+0.0079503j 0.0477327-0.00105751j -0.0163178-0.00442626j -0.0455023+0.0161223j 0.00865558-0.00387851j -0.0174368+0.0326141j -0.00472315-0.0582845j 0.041586+0.0361645j 0.0271568-0.00118817j 0.0603813+0.0254208j -0.0386804-0.0145271j 0.0135232-0.0291316j -0.00253773+0.00131702j -0.0961359-0.0175378j 0.0723961-0.0411625j -0.0273828-0.0355971j -0.0125891+0.00173355j 0.0289933-0.0129282j 0.00331661-0.00595518j -0.0765438+0.0163119j -0.0104173-0.0510825j 0.00410794-0.0179484j 0.00454283-0.0472418j 0.00361223-0.00725365j 0.0323396-0.0266553j -0.0193766+0.0152683j 0.0617769+0.0438162j 0.0382755-0.0405852j -0.004646-0.01078j 0.0244659+0.0437756j -0.0128221+0.00133042j -0.0205498+0.00246886j -0.000926366+0.0184229j 0.071843-0.0052254j -0.0612039+0.00186024j 0.066207+0.0698878j -0.0709575+0.0396574j 0.0141884-0.052101j -0.0216484+0.04047j -0.0235379+0.0627581j -0.0615223+0.0380191j -0.0221557+0.0053626j -0.0229189-0.0420128j 0.0558086+0.0880175j -0.0113558-0.00258142j -0.0562405+0.0442232j 0.0624986+0.0517193j -5.98292e-05+0.0304359j 0.0377291-0.0205597j 0.0636669+0.0389362j 0.0390541-0.0762684j -0.11561+0.0516909j -0.0880583+0.104464j 0.17995-0.0388982j -0.0769944-0.175951j -0.110955+0.192376j -0.0913228+0.078661j 0.0570573+0.049506j 0.0426836-0.0475664j 0.0177558+0.0190467j 
-0.0420145-0.0244935j -0.00919461-0.0468915j -0.0311423-0.0373349j -0.0100472+0.0492812j 0.00324005+0.0766687j 0.0168235-0.0305456j 0.000125881-0.0415257j -0.022238-0.0159236j -0.0162642+0.0351315j -0.0268456-0.0195827j -0.0217449+0.00353109j 0.0673388-0.00979353j -0.048312+0.0307397j -0.0270227-0.0151964j -0.00442786-0.0255881j -0.0108114+0.0100041j 0.0319748-0.0128939j -0.0372294-0.0846436j 0.00255706+0.0156199j 0.0344467+0.0492579j -0.0134465+0.0237389j -0.0480915+0.0679068j -0.0709659-0.0359768j 0.0329586-0.0171397j -0.056453-0.0390292j 0.0158543-0.030562j 0.0284161+0.0453729j -0.0183521+0.0781932j 0.0128929+0.0619976j -0.004572+0.000412698j 0.00723851-0.0400049j -0.0322583+0.0154061j 0.0120423-0.0408435j 0.0653852+0.0302402j -0.0446346-0.0536419j -0.0260933-0.0441117j -0.0301348+0.0357114j 0.0673971-0.0191221j 0.0313277+0.000469686j -0.0606956+0.00624841j 0.0350329+0.0770643j 0.0438662+0.0211952j -0.0162118-0.0117012j 0.0371203+0.00115791j 0.053893-0.0327971j -0.0272087+0.0142893j 0.0123733+0.0356242j 0.0108433-0.0151049j 0.00201852+0.0036025j -0.0291488+0.0584466j 0.029408+0.000592862j 0.0209794+0.00261976j 0.0326422+0.00316948j -0.0238029+0.0171603j -0.0105966+0.0350813j 0.0468574-0.0333599j 0.0294292-0.0126353j 0.0528285-0.0289715j -0.0472898+0.0194994j 0.00249428+0.00988218j 0.00337827+0.0309865j 0.0455791+0.0610792j -0.00323158+0.00684935j 0.0845768-0.00892818j 0.00473576-0.0318041j 0.00123152+0.100705j 0.0268638-0.0156605j -0.0104462-0.0263661j -0.127742+0.0182545j -0.0133424-0.0205287j -0.0905138-0.0600154j 0.0238636-0.070034j 0.0766886+0.0187559j -0.0543506-0.00457407j 0.0882841+0.0801661j -0.0714468-0.0708451j 0.05698-0.0194215j -0.102289+0.125594j -0.0375611+0.0084705j 0.0490495-0.00667788j 0.010446-0.0306132j 0.0416632+0.0671096j -0.0313321+0.0533345j -0.00590288+0.00147557j 0.0146412+0.0247257j 0.0576355-0.00546834j -0.00944251+0.0868465j -0.0549003+0.0326979j 0.0853857-0.0268029j 0.015147+0.0779541j 0.0485817+0.00173325j -0.00655344+0.0329057j 
-0.0428026-0.020157j 0.0520874+0.0585644j -0.0565071+0.0101838j 0.017132-0.0107849j 0.0447354+0.0118435j 0.0143296-0.000533822j -0.0106115-0.0128826j -0.0554293+0.0341989j -0.0407891+0.0359945j -0.0383375-0.0427896j -0.0992522+0.0577747j -0.0358378-0.0128041j 0.0470855-0.0243099j -0.0354023-0.0360336j -0.00297358+0.0101879j 0.01657-0.0102959j -0.00584242+0.00703912j -0.0115098-0.0112346j 0.078169+0.00714027j 0.00713033+0.0180289j -0.0340241+0.0580782j 0.0678138+0.0381921j -0.0469424+0.0739244j -0.0540419-0.029643j 0.00043463-0.0215781j -0.0176432-0.0357003j 0.0231903-0.0222913j 0.0997934+0.00382141j 0.0419435-0.0352577j -0.0366775+0.0101752j -0.064967+0.0474181j -0.00428773+0.026481j -0.035067-0.0274761j 0.0153074-0.0290568j -0.0263855+0.0162594j -0.0184326+0.0414993j 0.00727871+0.0389011j -0.0280362-0.0162182j -0.0141547-0.0359392j 0.00913756+0.0565421j 0.0486845-0.0475922j 0.0148619-0.0373218j 0.0551647-0.0266086j -0.0294213+0.0134741j 0.043021-0.0568542j -0.00321898+0.0168626j 0.0416757-0.0454553j -0.0326974+0.0221671j -0.012692+0.0276504j 0.0313286-0.00187569j 0.0109562-0.0436171j -0.0150026+0.00621637j 0.00218669-0.00157452j 0.0443905+0.000874835j -0.0482071+0.0145307j -0.0119209+0.0169134j -0.0439395-0.00288289j -0.0178521-0.0190952j -0.0418277-0.0103818j 0.0563268-0.014932j -0.00804191-0.0353737j 0.0715783-0.0454706j -0.0297871+0.0621674j -0.0445472-0.0736602j -0.0325124+0.0486922j 0.0186707+0.00343701j -0.0743229-0.0501549j 0.0362656-0.0192428j -0.0301664+0.0990087j -0.0232243-0.0468245j -0.00880379-0.0450894j -0.0646593-0.0240972j -0.0346311+0.00817754j 0.0289546+0.0881873j -0.00706453-0.0454401j -0.0140235+0.0395615j 0.0478789-0.0506785j 0.0852056+0.119022j -0.00157289-0.0197755j 0.0778801-0.103046j -0.0525524+0.0468689j -0.0326148+2.24424e-06j 0.0114963-0.0103634j 0.0516876+0.0442183j -0.0488319-0.0677487j -0.0520452+0.0138359j 0.181419-0.00636818j 0.0421215-0.0567077j 0.0199098-0.146885j 0.0102665+0.0628257j -0.0185816-0.014555j 0.0785871-0.0704818j 
0.0176505+0.0288513j 0.00214128-0.0386039j -0.0437119+0.0191379j 0.00901691+0.0591027j 0.0130187+0.029812j -0.0320039-0.0116646j -0.0232264+0.0139561j -0.0304658+0.0452642j 0.0328199-0.0393045j 0.019116+0.0536436j 0.0452472+0.0139503j -0.0255081+0.0942529j 0.0232479-0.0200698j -0.0158761+0.0100596j 0.0403219+0.0358272j 0.00812833+0.00641283j 0.126222-0.00650706j 0.0205405+0.0699209j 0.0416053+0.0326082j 0.00250666-0.0197962j 0.0154701+0.0296843j 0.00991596-0.034548j 0.0393277-0.00467845j -0.0170788-0.0304081j -0.103901+0.0160301j 0.0163211-0.0788468j 0.00762317+0.0326086j -0.0271499+0.00436451j -0.0116998+0.0916615j 0.0249316+0.0395691j -0.0965944-0.0251367j -0.0151347+0.0719735j -0.0148563+0.0655716j 0.0159198+0.0521912j -0.0278747+0.0117423j 0.0274252+0.0124575j 0.0673877-0.0220332j -0.0454978-0.123522j 0.0646386+0.0138161j -0.00442675+0.0834931j -0.057753-0.0797001j -0.0197643+0.0659589j -0.10363-0.0173717j -0.05481+0.080611j -0.0454683+0.00561891j 0.116246+0.0101998j -0.0550964+0.0798447j 0.0291198-0.0234724j 0.0113765+0.064435j 0.00878056+0.0524098j 0.0235658-0.0340283j 0.0650442-0.0880595j -0.0251945+0.139187j -0.00958497+0.00246389j 0.0922462+0.111617j -0.0120662+0.0417155j -0.0356856+0.0458978j -0.00222606+0.00854403j -0.0454578+0.0580663j 0.00321951-0.0212912j 0.0525755-0.0161616j -0.0166789+0.0152534j 0.0553408+0.052248j -0.00325818-0.0999953j 0.0118616+0.0331771j 0.0310269-0.0277645j 0.0253928+0.0476886j -0.0772202+0.0384032j 0.0208917-0.0251786j 0.0613067-0.0258209j -0.0391916-0.0624775j -0.123177+0.00574584j 0.0327871-0.0669359j 0.0492308+0.0683565j 0.0588029-0.047471j -0.091375+0.0521478j -0.0636839+0.0146858j 0.0338361-0.0601413j 0.0503975+0.069858j -0.091672+0.0220144j 0.00287088+0.0214176j 0.000789746+0.0027249j 0.0820808-0.0253719j -0.0527798-0.0930443j 0.0730439+0.0333857j -0.10441-0.0580087j -0.0502873+0.126828j -0.0278604+0.0761837j 0.00198693-0.0374746j 0.0839387-0.119437j 0.0345689+0.0102422j -0.0095385+0.0264189j 
0.0232816+0.0366701j 0.0108507-0.010703j 0.0126117-0.0295022j 0.00770914+0.00677164j -0.0226317+0.0394872j 0.00938708+0.064544j 0.0337812+0.00562918j -0.0291546+0.0201618j -0.0543936-0.0411343j 0.00363457-0.0172265j 0.0322324+0.07392j 0.0330676+0.0177537j -0.0764808+0.0503666j -0.0360603-0.01766j -0.0778254-0.0610967j 0.0498261-0.0425666j -0.0606092-0.00769489j -0.0381622-0.0307202j -0.0180007-0.0659688j -0.0449854+0.0442043j 0.0307753-0.0344226j 0.0552364+0.00628664j 0.039468-0.00782317j -0.022158-0.068564j -0.0828664-0.0859724j -0.0353368+0.0521335j -0.0118949-0.0228998j 0.0080532+0.0426226j -0.018384-0.0403458j -0.0888118+0.0169088j 0.0400974+0.0341965j -0.0877319+0.0630787j -0.0438822+0.00947198j -0.0676682+0.0148858j -0.0104766+0.0512698j 0.0734074+0.0788949j -0.0156005+0.032649j 0.158011-0.0136089j -0.0449274+0.112922j -0.00467864+0.0456667j -0.00544901-0.0249272j -0.169412-0.10631j -0.0432671-0.103623j -0.0354499-0.000320565j 0.00523834-0.181152j 0.0862443+0.022654j 0.0189353-0.0340409j 0.0917336+0.0882933j -0.00842208+0.0290654j 0.0913845+0.0540116j -0.0225827+0.0478934j 0.086598+0.0274737j -0.0497646-0.0752294j 0.00553828-0.00971241j -0.072269-0.0458645j -0.0394732+0.0113083j -0.0218325+0.0113517j -0.0321188-0.012788j -0.0832603+0.0207632j 0.0555728+0.0299202j -0.0283995-0.00623206j -0.0223838+0.00834135j -0.0318073+0.0357425j -0.0120737+0.0528743j -0.00679883+0.0358723j 0.041175-0.0195499j -0.171302+0.054209j -0.019447-0.00557386j -0.0496386+0.0205141j 0.0315268-0.0847895j 0.102165-0.112131j -0.0298588+0.0733233j -0.0191809+0.0699407j 0.0794782-0.0715187j 0.00866969+0.0402554j -0.00214311+0.0542777j 0.0116878+0.0454153j -0.0160337+0.0824646j -0.0527497-0.023476j 0.060939-0.0227446j 0.0902565-0.0893652j 0.00367314+0.0307459j -0.0995722+0.00564997j 0.0216036+0.0875917j 0.00359313-0.00969899j 0.00192784+0.0669703j 0.00612309-0.0532251j -0.00444049+0.0376807j 0.023166-0.0163003j -0.00446605+0.0184181j -0.0296501+0.0334127j -0.0261905+0.00396704j 
