-0.00111428-0.00424071j 0.00185144+0.00543613j 0.00109932-0.00473403j -0.00360203-0.00421919j 0.00165157+0.00428787j 0.00253791-0.0056399j 0.00979153+0.0058539j -0.00189182+0.00425518j -0.00802006-0.00601851j 0.00834848-0.00224372j 0.00393297-0.000700729j 0.0125523+0.000647834j -0.00139034+0.00822088j -0.0110294-0.00326225j -0.00330191-0.00541813j -0.00219025-0.00250486j 0.00556978-0.000414701j 0.00174965-0.00169487j -0.00216311-0.00224034j 0.00255109+0.00114736j 0.00656811+0.00354639j 0.00737541+0.000175075j 0.00307424+0.000233237j 0.00426884+0.00207007j -0.00161317+0.00547448j 0.00353368-0.0011498j -0.00323208+0.0015913j 0.000619603+0.00195948j 0.0062083+0.00203721j 0.00484851-0.00332063j -0.000885426-0.00493385j 1.3437e-05-6.94338e-05j 0.00740432-0.00101968j -0.00179321+0.0015585j 0.00119947+0.00396566j 0.00359404-0.000350303j 0.00301577+0.00049507j -0.00439217+0.0049693j 0.00276993+0.00375028j -0.000914449-0.00130435j 0.00715736+0.00228462j 0.00287476+0.00655763j -0.0126323-0.00303987j -0.00377172+0.00489433j 0.00160985+0.000615839j -0.00321215+0.00253754j -0.00777165+0.00224797j -0.0071971+0.003921j 0.0068524+0.00912382j 0.00637805+0.000865243j -0.00908256+0.00314661j 0.00139665+0.0051235j -0.00309674-0.00524785j 0.00744758-0.0102241j -0.00818321-0.00878742j -0.0064588-0.0016852j 0.00229158-0.0110865j 0.00220417+0.00734605j -0.00435977-0.00533067j -0.0114041-0.0180816j -0.00882545+0.00478944j -5.22162e-05+0.00261146j 0.00299148-0.00117052j -0.0091299+0.00592209j 0.00142886+0.0045921j 0.00871243-0.00604868j -0.0144814-0.0294522j 0.0203308-0.00218611j -0.032224-0.0264386j -0.0145699+0.0216158j 0.0296005-0.0152329j -0.0292358+0.026132j 0.0144637+0.0368694j -0.0370615-0.0199565j -0.0214019-0.00413339j -0.0322079+0.00158332j -0.0149743+0.0104009j 0.000384329+0.0218099j -0.0130596-0.00979464j 0.0141379+0.000421771j -0.00632228+0.0110934j 0.0136221+0.000545095j 0.000678596+0.0138377j 0.0187402+0.00515606j -0.00776779+0.00552694j 0.00402141+0.0105097j 0.0160391-0.0026581j -0.0162599-0.00674778j -0.00328207-0.00884132j -0.0236796+0.000361679j 0.00428284-0.00088504j -0.309357+0.000875885j 
-0.00204353-0.00497587j -0.000586372-0.004117j 0.00383336+0.0042902j -9.66354e-05-0.00446723j -0.00364506-0.000512188j 0.00694163+0.00560497j 0.000108262+0.00885477j -0.005665-0.00362977j 0.00784258-0.00275843j 0.0101244+0.00425935j 0.0095613+0.00339806j 0.00190073+0.00770203j -0.0101621-7.24583e-05j 0.00305573-0.0118625j 0.00451385+0.000738986j 0.00675406-0.0017756j 0.00339469+0.00315923j 0.00506722+6.66096e-05j 0.000743771-0.00221042j -0.00283017-0.000134229j -0.00344442+0.00454288j -0.00114951+0.00710766j 0.00107551+0.00327601j -0.00157114+0.00133972j -0.00588795-0.00099137j 0.00511061+0.00567881j -0.00120205-0.00506859j 0.000167126-0.00179696j -0.00312628+0.00293786j 0.00818119+0.00286574j 0.00657342-0.000374745j -0.000794646+0.000895976j 0.0022165+0.00653001j -0.00284225-0.0013088j -0.00518401+1.57889e-05j -0.00059883+0.0052666j -1.31226e-05+0.00166096j -0.00680124-0.00345375j -0.00106222+0.000486474j -0.00143138+0.00141215j -0.0019325+0.00714344j -0.00763678+0.00248493j 0.00111179-0.0122934j -0.0110501-0.00451737j 0.00178601+0.000890114j -0.00258704-0.00105694j -0.00514114-0.00637785j -0.00513914-0.00983316j -0.0121565+0.00511325j -0.00155258+0.0043999j -0.00407302-0.011308j -0.00721523+0.00085173j 0.00139674-0.00240951j 0.0146324+0.00874953j 0.00716477-0.00774629j 0.000327977-0.00404456j 0.0119204+0.00523657j -0.00599621+0.00342823j 0.00313497-0.00324209j 0.0192227-0.00510684j -0.00397444-0.00812969j -0.00429484+0.00171037j 0.00128664+0.00217407j -0.00869632-0.0104517j -0.00492693-0.000370451j 0.0075057+0.0111062j 0.0284591-0.0108376j 0.00342077+0.0193282j 0.0249952-0.0287165j -0.0262396-0.0161421j 0.021703+0.0286052j -0.0342545-0.0307213j -0.0416682+0.00856224j 0.0170123-0.0312528j 0.000971753-0.0179903j -0.0071653-0.0288539j -0.0161514-0.0146667j -0.0274503-0.00261413j 0.0115854-0.00943987j 0.00294021+0.0110127j -0.0163823-0.00686062j 0.00310928+0.0114729j -0.0202307-0.00196456j -0.00373819+0.0129928j -0.0111136-0.00621751j -0.0166691+0.00105079j 0.00883827+0.0115559j 0.00862742-0.0084143j 0.0157152-0.0004025j -0.0031732-0.0105305j -0.313681+0.000635318j -0.00428999+0.00254219j 
0.000946706+0.00165924j 0.00121673+0.00473392j 0.00175939+0.00184861j 0.000423927+0.00365381j 0.00442309+0.000486996j 4.04924e-05-0.00845711j 0.000516768+0.000379835j -9.12659e-05-0.00535675j -0.0084122-0.00572103j 0.00715815-0.00647804j -0.00479549+0.00143202j 0.00626123-0.000975368j 0.000480862+0.00402076j -0.00563315+0.00105432j 0.00369207+0.00756745j 0.00399026-0.00230634j 0.00213429+0.00445558j 0.00374818-0.00255372j -0.00318445-0.00499716j -0.00107279+0.00161649j 0.00302871+0.00803024j 0.0015408-0.00285035j -0.00337496-0.00510393j 0.00587722-0.00568956j 0.00383163+3.91266e-06j 0.001062+0.00477725j -0.00333411-0.00897338j 0.00056101+0.00547868j -0.00240819-0.00682291j 0.0103587+0.00140672j -0.000483316-0.00650653j -0.00392517+3.87281e-05j 0.00751225-0.0050719j 0.00225295-0.000770227j -0.00357013-0.00709771j 0.00319297-0.00716611j -0.00155205+0.00491965j -0.000587606-0.00209382j -0.00178699-0.000384307j -0.00134558+0.000262846j -0.00122768-0.00362863j -0.00376036+0.00456898j -0.00728472-0.00576596j -0.00791267+0.0056767j 0.0153399-0.00271508j -0.00410031-0.012649j 0.00525426+0.000591668j -0.00740285-0.0079654j 0.00403336+0.0166264j 0.0126882-0.00763343j -0.0120499-0.00402812j 0.0007762-0.0205284j 0.00815255-0.00576546j 0.0327448+0.00444134j 0.0267214+0.000586938j -0.0228519-0.0178817j 0.00119797-0.0148693j -0.0143889-0.023767j -0.0153935-0.0157399j 0.0082638-0.0418373j -0.00334493-0.020708j -0.0200477-0.0152549j 0.00876481+0.0125489j -0.0131711+0.00960559j -0.0120997+0.0212721j -0.0122873-0.00931944j -0.0167431+0.0166402j -0.00630296-0.0123724j -0.00612822+0.0486002j 0.00354894+0.00378172j -0.00936561-0.00508925j 0.0150057+0.0103945j 0.000227175-0.0307929j -0.00885579+0.0285569j -0.00384852-0.00344498j 0.00207138+0.0206764j 0.010788+0.0128395j -0.00605552-0.0104622j 0.00120224+0.013922j 0.011881-0.00781753j 0.00397722+0.0113216j 0.000463011-0.0141605j -0.00141778-0.016528j -0.00610892-0.00108273j -0.0305147-0.00274834j 0.00732373+0.00535671j 0.000268428-0.00131291j 0.00232637+0.0133291j 0.244741+0.00495002j -0.111545+0.00944242j -0.080275+0.00120603j -0.0243495-0.00355835j 
0.000469276+0.00451985j -0.00110844-0.00253223j -0.00303571+0.00157152j -0.00152697-0.00474399j -0.000927446-0.0100215j -0.00523455-0.00102214j 0.00175012+0.00313176j 0.00105883-0.00493717j -0.0046695+0.00235522j -0.014663-0.00961816j 0.000213067+0.00682575j -0.00220363+0.000655982j 0.00665879-0.00361148j -0.00592361+0.00183497j 0.000764955+0.00366394j -0.00617367-0.0074606j 0.0037318+0.00184652j -0.00330571-0.00381392j -0.00112816-0.000351151j 0.00016182-0.000171579j 0.0109756-0.00155035j -0.00274873+0.000978512j -0.00310363+0.00290432j -0.00313465-0.00622683j 0.000153051-0.00663769j 0.00793165-0.00137553j -0.00650949-0.0044071j 0.00049642+0.00087103j -0.00161472-2.19522e-05j -0.00382404-0.00898043j -0.00919378-0.0014566j 0.00377443+0.00153877j -0.00421409-0.00606986j -0.0022634-0.00186129j -0.00494453+0.00309615j -0.00487405-0.00241835j 0.00844639+0.00295014j -0.00174348-0.00339855j -0.00121116+0.000998782j 0.00361197+0.00295208j 0.00196241+0.0036848j 0.00471017+0.00238212j -0.00561196+0.00232121j 0.00909818+0.00955522j -0.00815883-0.0185921j -0.00456747+0.0012381j -0.00274379-0.00885568j -0.00284041-0.00135204j 0.0176547-0.000689711j -0.0101839-0.0113226j -0.0018294+0.0072647j -0.0232997-0.00615046j -0.0113282-0.00693872j -0.00585792-0.0285089j -0.00842851-0.0261601j -0.00955178+0.0203309j -0.0124319+0.00517522j -0.00947453+0.00765932j -0.013368+0.0173627j -0.0473152-0.0103673j -0.0206207-0.00969882j -0.00429393+0.0177364j 0.0109541-0.00358698j 0.00927158+0.00571807j 0.0256672+0.0124272j 0.000686564+0.0192085j -0.00148714+0.0285442j -0.00257144+0.0159938j 0.0216399+0.0108516j 0.00554444-0.0233231j 0.00336856+0.0306516j 0.00314682-0.0413803j -0.0120846-0.0182877j 0.00501494+0.00457919j -0.0180238-0.00587699j 0.0090956-0.0145856j 0.0123747-0.0178522j -0.000109734-0.00943103j 0.00710081-0.0011056j -0.00997367-0.00490595j 0.0187516-0.00875557j -0.0133077+0.00178466j -0.0191842-0.00886889j 0.0100971+0.00705333j -0.00104726+0.00646739j 0.0162709-0.00695546j -0.000987131+0.00597327j 0.0114198-0.00114558j -0.111965+0.00926976j -0.277375-0.0036462j 0.0244315+0.00305049j -0.0692368+0.00251671j 
-0.00135119-0.00306667j 0.00192364-0.00324525j -0.00159524+0.000835427j -0.00119069-0.00240974j -0.00161266-0.00387218j 0.00124773+0.00659421j 0.00337029-0.000451045j -0.00153006-0.00511599j 0.00105627-0.00163635j 0.00568691+0.0027726j 0.00411871-0.00626355j 0.00320909+0.000395463j -0.0037174-0.000106674j 0.00449039-0.00298908j -0.00131124+0.00616813j -0.00209273-0.00291743j 0.00613036+0.0072057j -0.00111066-0.00350407j 0.00531031+0.00320688j 0.000761588-0.00514654j 0.000940734+0.000112462j 0.00168557+0.00682739j 0.00308271+0.00355679j -0.00505441-0.00338253j -0.00256039+0.00358049j 0.000218702+0.000539011j 0.00754495+0.000601601j -0.00230837-0.00339188j 0.0037488+0.00015639j -0.00232949-0.000642002j 0.00682089+0.00562477j 0.00358886+0.00127681j -0.00727216+0.000607562j 0.000435569-0.000735536j -0.00051443+0.0067547j -0.00785255+0.00531604j 0.00171791+0.00406928j -0.0040347-0.00317234j 0.0023094+0.00206265j -0.00679485+0.00512828j 0.00909776+0.0116563j 0.0129435+0.00464016j 0.00819457-0.0180178j 0.00345096-0.00228016j -0.0107748-0.010432j 0.00826715+0.0119178j -0.00478228-0.0248571j -0.0046003-0.0241237j -0.00220877+0.00207928j -0.0245242+0.0022379j -0.0062934-0.0215661j -0.0237799-0.0153798j -0.0211871-0.0290834j 0.00436226+0.0373378j -0.0153764+0.0222139j 0.00868916-0.00325165j 0.000614156+0.00405677j 0.00085542-0.0190271j -0.0011784-0.00777782j 0.00682838+0.00665155j 0.00329789-0.00566699j 0.0112144-0.00620443j -0.00394059+0.0030232j -0.00370348-0.0112079j 0.00409275-0.000882815j 0.0265542+0.0080108j -0.012324-0.00938179j -0.0113871-0.00507507j -0.0177345-0.0128809j -0.000764541-0.0110036j -0.000687283+0.00987775j 0.00201412-0.00820274j 0.0159428+9.24792e-05j -0.0204581-0.0126115j -0.00428318-0.0134745j -0.00941781-0.005097j -0.00065281-0.00749491j 0.0151341-0.00995443j -4.11465e-05+0.00182717j -0.0154859+0.00412682j -0.00264717+0.000741574j 0.0115198+0.0097226j -0.000126885-0.00985059j 0.0132058-0.00114318j 0.00727512-0.0138754j 0.00500971-0.000512435j -0.021531+0.00401026j 0.276253+0.00118474j -0.00762551+0.00391877j -0.0557691-0.00543866j -0.0103478+0.00561951j 0.0197534+0.00766125j 
-0.00312315+0.00291841j -0.000921403-0.00375533j 0.00168506+0.00343273j -0.00305528-0.00224871j -0.00221302-0.00786972j 0.00377774-0.00499694j 0.00278082-0.00425995j -0.00434335-0.0049207j 0.00833967-0.00396919j 0.00639399+0.000646227j 0.0111785-0.00324385j 0.000653134+0.00477958j -0.00306678-0.0101915j 0.000201649+0.00387154j 0.0078876+0.00488912j 0.00689182-0.00167913j -0.0009623+0.00646581j 0.00782518+0.00238585j 0.000369897+0.0152171j -0.00238555+0.00154155j 0.00291968+0.00625148j -0.00599231-0.00180848j -0.00543237-0.00391049j 0.00433686+0.00188394j -0.00526376-0.00522937j 0.00255467-0.00372354j -0.00352266+0.0040194j -0.00737747-0.000359578j -0.00420419+0.00475506j 0.00543058+0.00317314j 0.000353827+0.0140199j 0.00239321+0.00073895j 0.00137665-0.00379867j 0.0038322+0.00483015j -0.0161129-0.00565482j 0.000380257-0.00854194j -0.00630203-0.00768426j -5.70041e-05-0.00421553j -0.0107271+0.0020586j -0.00516888-0.0129102j -0.00986309+0.00955619j 0.00298427+0.00524641j 0.0134151+0.0239506j -0.0045947+0.00254677j 0.0129386-0.0105185j -0.0101691-0.00602665j 0.0214448-0.019476j 0.00468019-0.0183772j -0.00180023-0.0246495j -0.013559-0.0199164j -0.00704382+0.00873247j 0.00167233-0.028542j 0.0330679-0.0104317j 0.00547144-0.00450455j -0.018903-0.0333169j -0.0181448+0.0157918j 0.00402326+0.00698581j 0.01082+0.00800834j -0.0131561+0.0129j 0.00193659+0.0154258j -0.00799204+0.00859872j -0.0037339+0.0122604j 0.00720719-0.00624836j -0.0129182+0.00347619j -0.00845632+0.00609862j 0.0107609+0.0217786j -7.67414e-05+0.022841j 0.0131384-0.00215221j 0.00153197+0.0193554j -0.00404057-0.0123449j 0.00741145+0.0119303j -0.0206618-0.0197599j -0.0136205-0.0190745j -0.0187421+0.0116729j 0.00906177+0.00688222j -0.0264802-0.0038941j 0.00532945-0.0122505j 0.00792012-0.00238197j -0.00295809+0.00830057j 0.0067644-0.0101971j -0.0184603-0.00783844j -0.00757722+0.00361053j 0.00329895-0.00790518j 0.0149021-0.0013011j -0.0190922+0.00526722j 0.0173048-0.00458345j -0.262794+0.00178209j -0.0376124+0.00162045j 0.0287043+0.0146672j 0.0553183+0.000580294j 0.0102965+0.00873187j 0.0153584-0.00377009j 
-0.000166226-0.0016368j 0.00248617+0.000835042j 0.000123901+0.00223106j -0.00234357-0.00227199j 0.00236743-0.00168488j 0.000967478+0.00340219j 0.00410504-0.00124806j -0.00160192+0.00366863j -0.0104826-0.00647993j 0.00979282-0.00260732j -0.00113865+0.00123778j 0.00664972-0.00518402j -0.00517329-0.00185517j -0.00454054-0.0104784j 0.00189229-0.00955792j 0.00577487+0.000382796j 0.00621601-0.00374935j 0.00437288-0.00204703j 0.00412857+0.00229952j -0.00235353-0.00382538j 0.00472547+0.00307849j -0.00025505-0.00233441j 0.000505922+0.0041408j 0.00152207+0.00176687j 0.00153797+0.00274956j 0.00612698+0.0134288j 0.0036286-0.00524202j 0.00127387+0.00864973j 0.000138274+0.00127624j 0.00866606+0.000867287j 0.00819552-0.00646306j -0.00121845-0.00398508j 0.00170173+0.00390972j 0.00338051-0.000508785j -0.00465164+0.00700881j -0.00329096+0.0134822j -0.00588248-0.00406547j 0.000920821+0.00543191j 0.00520084+0.00753439j -0.00791548+0.0070222j 0.00798482+0.00764626j -0.000583852-0.0190829j 0.000938463-0.0115652j -0.0124842-0.0119548j 0.0122327+0.00907793j -0.00249979+0.000102502j -0.00699893-0.029064j -0.022205-0.0136162j -0.0176383-0.0153089j 0.00145941+0.0361291j -0.00898908+0.0287422j 0.00947837+0.0234507j -0.00515745-0.00512673j 0.0255921-0.037034j -0.0274972-0.032369j -0.00841972+0.0235756j -0.00792941+0.00255246j 0.000253739+0.0274468j -0.0125316+0.0224034j -0.00556056-0.00475687j 0.0121017+0.0177611j -0.00974938+0.0120644j 0.000121888-0.0116496j -0.00104273+0.0144319j 0.00485423+0.0069739j -4.66003e-05-0.00927903j -0.014216+0.00437083j -0.00729107+0.0184211j -0.00353885-0.00977403j 0.0112328+0.000137424j -0.00908375+0.0141069j 0.0153162-0.0129255j 0.0183145+0.0127071j -0.006387+0.0021669j 0.0126559-0.00251605j -0.00178976-0.00427065j -0.00670885-0.0183449j 0.0143883+0.00206824j -0.00293057-0.00497884j 0.00625219+0.00637924j -0.000183133-0.0024704j 0.0142862+0.00475439j 0.00601155+0.00343278j 0.00500635+0.00838517j 0.00365302+0.0144963j -0.249262-0.00430513j -0.0236931-0.000541346j -0.00169794-0.00675212j 0.0291931+0.00119339j 0.0780572-0.0113841j -0.016963-0.00164092j 0.00249514+0.00626143j 
0.000951514+0.00264254j -0.00106137+0.000431018j -0.00299695-0.0045561j 0.000713461-0.00547639j 0.0031674-0.00162667j -0.00339165+0.00310796j -0.00074469-0.00151607j 0.00272637+0.00817912j -0.00867014+0.00230152j -0.00836241-0.00659209j -0.0031432+0.00540361j 0.000646376+0.000645691j 0.00307167+0.00153327j -0.0108126+0.00066813j -0.00451289-0.00582747j 0.00279335-0.00383771j 0.00386291+0.00315513j 0.00209825-0.00369559j 0.00354997-0.00191527j -0.000879003-0.00428689j 0.0115571-0.00519732j -0.00514616-0.0038651j -0.0056791+0.00256778j 0.00576486-0.000431742j 0.00414738+0.00090573j 0.0105111-7.43718e-05j -0.00764906-0.0028772j 0.00430434+0.0016988j -0.00552105-0.0071346j 0.00566899-0.00758265j -0.00216166-0.00718389j -0.00335164-0.00325223j 0.0075118-0.00324528j 0.00174615-0.00331118j -0.00600315+0.00730519j 0.00234142-0.00177688j -0.0125109-0.000540719j 0.00802258-0.0026775j 0.00216582+0.000639717j -0.000906619+0.00584677j -0.00314079+0.00191656j -0.00880274+0.0030152j 0.00177531-0.00493581j -0.00379829+0.0152535j 0.0116182-0.015847j -0.0139109+0.0214692j -0.00485543-0.00593883j -0.0098957+0.0138169j -0.00715744+0.0143338j 0.0230273+0.00892282j 0.0174523+0.0195437j -0.00942322-0.0460381j 0.0119285-0.0208708j -0.00782186-0.01273j -0.0133986+0.05315j -0.00299588+0.0235924j 0.00224815+0.0249215j 0.0220264+0.0109333j 0.00104807+0.0234327j -0.00118091+0.0497824j 0.0178781+0.0130949j -0.00448438+0.0144452j -0.00256986-0.00767373j 0.0111285-0.00411539j 0.00451121-0.0184957j -0.0184231+0.00635718j -0.0124588-0.00941913j 0.0102586-0.00612452j 0.00417514-0.0229372j 0.0214628-0.00161122j -0.00812764-0.00744926j 0.0123296+0.00355542j 0.000597437+0.0048707j 0.00516581-0.00408706j -0.00752865-0.00899106j 0.0118921+0.0062654j -0.0016052+0.00375328j 0.0133735-0.00440242j 0.0134982+0.00147634j 0.00991982-0.00864921j 0.0175046+0.00302868j -0.00372037+0.00930046j 0.0113171+0.00137257j 0.00288819-0.010593j -0.235475-0.00409903j -0.0172964-0.00579731j 0.0320602-0.00674837j 0.0129228-0.00176044j 0.102224-0.000278163j -0.0358106-0.000221889j -0.00515057-0.0011599j -0.00638891-0.00136168j 
-0.00088892-0.000858011j 0.00135833+0.000306138j 0.00157034+0.00691962j -0.00503765+0.00234639j -0.00132721+0.00296498j 0.001169-0.00399639j 0.00504899+0.00345768j -0.00297217-0.000484854j -0.000840709-0.00416356j 0.00482329-0.0026073j 0.006823+0.00523037j 2.07953e-06+0.00143378j -0.00172233-0.00568455j 0.00116685-0.00451686j 0.00346907-0.000699578j 0.00514079+0.0028047j 0.00313142-0.00822655j 0.00464364+0.000963272j -0.00601557-0.00561613j -0.00655636+0.00934342j -0.00465584+0.00725123j -0.00277787-0.000761525j 0.00345128-0.0084277j 0.000830258-0.00479139j 0.00105461-0.00739978j 0.00378141+0.0108032j 0.0026318-0.0110291j 0.00342724+0.0091576j -0.00283368+0.00300498j 0.00291992+0.00496266j -0.00016915-0.0058301j -0.00357314-0.00523761j 0.00053095+0.00624282j 0.0020285+0.00346727j 0.000472498-0.0189174j -0.00252891-0.0087929j 0.00265098-0.0069967j 0.000308962-0.00733818j 0.00686245-0.0090153j 0.0019105-0.00240528j -0.00265809-0.00951341j -0.013523-0.00548351j -0.0110587-0.0125735j -0.00373899-0.0145475j 0.00261561+0.0151009j 0.00998549-0.0397208j 0.0157933+0.0191347j -0.024802-0.00343549j -0.0034668-0.00100251j -0.0142359-0.0197426j -0.00839215+0.0149242j 0.0140774-0.0436968j -0.0137832+0.0172263j -0.00488808-0.00724161j -0.0152367-0.0165066j 0.00415428-0.0129857j -0.00804924+0.00516902j -0.00739257+0.0181914j 0.00488478-0.0103728j -0.00850335-0.0085771j -0.00674158-0.000537039j 0.00449811-0.00447588j -0.000163771+0.000785876j -0.00541731+0.000164965j 0.0107691+0.00705584j 0.00610383-0.00332262j 0.00297688-0.00219723j -0.00561329+0.00402911j -0.00772738+0.0105188j -0.00592467+0.00650776j 0.000893487-0.00114066j -0.0115562-0.00449033j 0.0156492-0.0145512j -0.0182016-0.00293995j 0.00637855-0.00633677j -0.006089+0.000747917j -0.0073012+0.00320579j -0.00856043+0.00270256j -0.0210928+0.00768475j -0.000145793+0.00106957j 0.0161226+0.000190361j 0.0368804-0.00478782j -0.0032195-0.00558229j -0.200328+0.000391909j 0.0307463-0.000540838j 0.00504355+0.00267753j -0.00763701+0.00470999j 0.0878344+0.00834008j 0.020921-0.00187115j 0.0359839+0.00648172j -0.00192963+6.31381e-05j 0.00583283-0.000266671j 
0.000808449-0.00110385j 0.00119828-0.000174989j -0.0033897-0.00201557j 0.00106476-0.00317519j 0.00126137-0.000338394j -0.00162518-0.00231404j -0.000673364+0.00527871j 0.00346694+0.00133968j -0.000685153+0.00585648j 0.00320159-0.00427082j 0.00277944+0.000520936j 0.00473577+0.00827708j -0.00371694-0.00570056j 0.00169067-0.00727015j -0.00908983+0.00563447j -0.000356919-0.0062025j 0.00185877-0.0101908j 0.00234215-0.00200811j 0.0011712+0.000165011j 0.00422978+0.00591026j 0.000673291+0.00293898j -0.0011483+0.00549371j -0.00499049-0.0044382j 0.00227827-0.00746477j -0.00237381-0.00731252j -0.00142774-0.0018836j 0.00155484-0.00646606j 0.00354794-0.00182717j 0.00476065+0.0108332j 0.00182744-0.00305452j 0.00274109-0.00143858j -0.00398612+0.00454481j 0.00558964+0.00419515j 0.000114869-0.0079187j -0.000740614+0.000244524j -0.000694302+0.00419027j -0.00174818+0.00918167j -0.00339782-0.0104031j -0.00332764-0.0142531j 0.00181724+0.0027417j -0.0132981+0.0320133j -0.00376918+0.014462j -0.00899226+0.00462136j -0.0109401-0.0172919j -0.0103172-0.000418283j 0.00338249-0.0281779j -0.00256435-0.0341176j 0.0244269+0.0372754j -0.0103606-0.0177676j -0.0110679+0.00232438j 0.0147716+0.00773168j 0.00661605+0.00170946j 0.00280538+0.0108791j -0.0124619+0.00838962j 0.00763592-0.0107071j 0.00935331-0.00531828j 0.0101386+0.0013058j 0.027714+0.00948383j 0.00409253-0.0113554j 1.36997e-05-0.0108074j 0.00496578+0.00382062j 0.00717476-0.00581441j -0.0117037-0.00147934j 0.000946934+0.0036968j 0.000315128-0.000468382j -0.0110094-0.000903817j -0.0120947-0.00484053j 0.000124797+0.00536558j -0.0196247-0.0002618j 0.0141502-0.00149226j -0.0162602+0.00934042j 0.00186168-0.00118914j 0.00912868-0.00653605j -0.0163463+0.00365015j -0.0133147-0.00567839j 0.00975882-0.00526556j 0.00316459-0.00364934j 0.00481969-0.000514687j -0.0148948+0.00415317j 0.00976111+0.00461413j 0.00238914-0.00729197j -0.0548048+0.00184742j -0.226259-0.00218447j -0.0194763+0.00157615j -0.066719+0.00148029j -0.00721485-0.00356475j 0.0325151+0.00563421j 0.0263949-0.000137164j 0.00745695+0.00346696j -0.0253719+0.00110029j -0.00572581+0.000690027j 0.000705072+0.000772078j 
-0.00250133+0.000383203j 0.00156376-0.00268655j 6.34519e-05-0.00199526j -0.00223252-0.00110848j -0.000518609-0.000727564j 0.00226942+0.006664j 0.00678533-0.000293207j -0.00574785-0.00108404j 0.00227725-0.00267801j 0.00573892-0.0053761j 0.0130767-0.00420371j 0.00408179+0.00911167j -0.00153966-0.00462054j -0.000461951+0.00657815j 0.00682296-0.000561224j 0.00655208-0.00279815j 0.00919926+0.0123187j 0.00373598-0.00150823j -0.00297408-0.000367863j -0.00890396-0.00103525j 0.00161587-0.00359071j -0.00592402+0.00365106j -0.00389073-0.0127863j -0.00395043-0.00315637j 0.00109957+0.0013014j 0.00802978-0.000679507j -0.00643647+0.0105371j 0.00311181-0.00789916j -0.015863+0.00264466j 0.00521084-0.00059995j 0.0032937+0.00358445j -0.00462577-0.00552668j 0.00287002+0.0128858j 0.00404245-2.32042e-05j -0.0111395-0.00511667j -0.00157195-0.0114879j -0.0207425+0.00734193j 0.00400713-0.0316995j -0.00174795+0.00190442j 0.00215908-0.0197607j -0.0148138-0.0161783j -0.00294544-0.00702279j -0.00196248-0.0107933j -0.00434008-0.0100632j 0.00268198-0.0311145j 0.00707073+0.0441375j -0.00143823+0.0237108j -0.0275585+0.0359151j 0.00628133+0.0102238j 0.011331-0.0160164j -0.0074601-0.0192501j -0.00781348+0.0469005j -0.00709358-0.000763389j 0.0102963+0.0171336j -0.00723933+0.0381348j 0.000950669-0.00355821j 0.00479594+0.0113813j 0.00644099-0.0115886j -0.00740505+0.00407645j -0.000531964+0.00756503j -0.004186-0.0178555j 0.00139324-0.00133585j 0.00317879+0.00262467j -0.00721139-0.0121642j 0.007469-0.0131468j 0.00285833-9.73088e-05j -0.00331095+0.00762528j 0.00708682-0.0120274j 0.00201334-0.00402358j 0.00360908-0.00927809j 0.00172313-0.00424928j -0.0137728-0.00598805j -0.00208757-0.00326127j -0.018064-0.00134839j -0.000362276+0.00565207j -0.0171819+0.000105993j -0.0173802+0.00349585j 0.0159252-0.0114748j 0.0368538-0.00889656j 0.0299163-0.00180903j -0.0317348-0.00145019j -0.166599-0.0056031j 0.0622114+0.00393178j -0.094687-0.00491825j 0.00244335-0.0110933j -0.0438016-0.0100086j -0.0845743-0.0010859j -0.0416643-0.00183491j 0.00606394-0.00438176j 0.00881295-0.000979913j -0.000226162+0.000958257j 0.00493039-0.00106188j 
