0.0516861-0.281969j -0.290898-0.0447602j 0.0424063+0.0685501j 0.0365506-0.183692j -0.237352+0.0353606j 0.0986586-0.0572476j 0.118567-0.280884j 0.261472+0.0482761j 0.0719597+0.0754465j 0.00556485+0.178312j 0.148792+0.0436134j -0.157512-0.257054j -0.196021+0.115001j -0.275028-0.0929961j -0.052015+0.282288j -0.309222+0.114773j 0.111729+0.305046j -0.0284968+0.0249866j -0.0234307-0.0118147j -0.0332752-0.00993608j 0.0405368+0.00836438j 0.0237529-0.0549398j -0.0287315-0.018562j -0.00699612-0.0340113j 0.0026525-0.00925286j 0.0299718-0.00418647j 0.0168812+0.0178991j 0.016863+0.00742636j 0.000875874-0.0491185j 0.00602455+0.00853969j -0.0294937+0.00954642j -0.0244778+5.40014e-05j -0.00864593+0.015877j 0.0388048-0.0100133j 0.0134374+0.0246215j -0.0102005-0.01838j -0.0159585+0.0139881j 0.023067+0.0263349j -0.02668+0.0235843j -0.0234777+0.0696343j -0.0707977-0.0242342j 0.012407-0.0117868j 0.00682442+0.0102002j 0.00195986+3.73112e-05j 0.00102868+0.00125952j -0.00777223-0.00226509j 0.000537437-0.00161268j 0.000769977-0.00992787j 0.010924-0.000493648j -0.016472+0.0126336j 0.00186026+7.75305e-05j 0.0119515+0.0127353j 0.0037075+0.00183082j 0.00155094-0.013757j 0.0181934+0.00714218j 0.0158071-0.00565431j -0.0162493-0.0024854j -0.00174462-0.0144659j 0.00072646-0.0165862j 0.00477929+0.00150352j 0.0138398+0.00194659j -0.00203549+0.00289988j 0.00168244-0.0148202j 0.00841011+0.00150061j -0.0107789-0.0132646j -0.00744275-0.0175977j -0.00122133+0.00317943j -0.00255224+0.0125974j 0.00146779+0.00196778j 0.00553403-0.0183988j 0.0132742+0.000250054j -0.000287039+0.0040251j -0.00744263+0.00258323j -0.00258507-0.00269784j 0.00121134-0.00477566j -0.0010393-0.0139489j 0.010573-0.00859006j -0.0156371+0.00882068j 0.0208703-0.0089369j 0.00431452+0.0143907j -0.0033082-0.01275j -0.00310191+0.00127063j -0.005874+0.00634129j -0.0115699-0.006937j 0.0160595-0.000402318j -0.00159024-0.0038659j -0.00149182-0.00846207j -0.00927346+4.18759e-05j 0.00181517-0.00581936j -0.00678604-0.00249215j 0.00594047+0.00364223j 0.0120621+0.0249211j 0.0235878-0.0123868j 0.00291978-0.00589971j 0.00721103+0.0028377j -0.0240362-0.00295973j -0.00202274+0.0241657j 
0.00359371+0.00578224j 0.00764489+0.0053864j 0.000971974-0.00496036j -0.00145211-0.00664465j 0.00742281-0.000639115j 0.00427211-0.00213136j 0.00108853+0.00441164j -0.00228771-0.00471458j 0.000677569+0.0063087j 6.23171e-05+0.00372225j -0.0148436+0.00461594j -0.00296446-0.0116403j 0.0050432+0.000156652j 0.0109913+0.0134657j 0.00250481+0.00776164j -0.000758055+0.00106344j -0.0130355+0.00260752j -0.0105156-0.00269208j 0.00491944+0.00177893j 0.00319938+0.0124537j -0.00132962-0.0022118j 0.00181206-0.000283816j 0.00280978+0.00029866j -0.00161279-0.0064998j -0.00933199-0.00648028j -0.000740519+0.00845589j 0.00367322+0.00194328j -0.000946185-0.00815229j -0.00549317-0.00343351j -0.0142243+0.00634278j 0.0141134+0.00900757j -0.00589277-0.00764725j 0.00675151-0.00887727j 0.0121451+0.00275095j 0.00561031-0.0113239j 0.0071659+0.0101924j -0.000496191+0.00440318j 0.000151245-0.000979402j 0.00325062+0.00216514j 0.00176062+0.000318063j -0.00327921+0.00571398j -0.00280042+0.00115348j -0.00253996-0.00283122j -0.00784049-0.00368684j -0.000107517+0.00261571j -0.00461064-0.00443093j 0.00973867+0.000315993j 0.00393612+0.000933812j -0.00545477+0.00867127j 0.00541275-0.00118877j 0.00134202+0.00256242j -0.011907+0.00027771j -0.00723831-0.012664j -0.0120864-0.00318714j -0.00304949+0.00242472j 0.00533252-0.0127718j -0.00457564+0.0160138j 0.000894009+0.00471304j 0.00148158-0.00200321j 0.0155309+0.000637059j -0.00791603+0.00213626j 0.0119139-0.00103234j 0.00166875-0.00436963j 0.000394812-0.000477751j -0.00114191+0.0138446j 0.00736145-0.00341246j -0.00184966-0.00776148j 0.00839599-0.0108686j 0.00826185+0.0120947j -0.00924603-0.00770957j -0.00194725+0.00810327j -0.0093157+0.00723716j 0.0171546+0.011205j 0.0106745+0.00446196j 0.0018402+0.00310875j -0.0042443+0.00572373j -0.0126871+0.00672197j -0.00645958+0.00118026j 0.0115659+0.0182886j 0.00344867+0.00528346j -0.0048743+0.00905867j -0.0160286-0.013404j -0.0075202+0.000698625j 0.0095861+0.00983065j -0.000314755-0.00736492j -0.011821+0.0143837j -0.000243383-0.0180751j 0.00936441-0.00316297j 0.00151003+0.00058699j 0.00827778-0.00160977j -0.0138159+0.00380412j -0.0106354+0.0027683j 0.00332863+0.00832289j -0.00466051+0.00140468j 0.0105036-0.0119733j -0.00233373+0.0107898j 0.00178492+0.00316466j 
0.000795785-0.000573515j -0.0052955+0.00393294j -0.00151698-0.00154364j -0.00252694-0.000792603j -0.0012449-0.00566403j 0.00310709-3.05129e-05j -0.00186068-0.000669176j -0.00107957-0.00236088j -0.00364591+0.000434568j -0.00196583-0.000215433j -0.00612284+0.00283022j -0.00171246-0.0068079j 0.00653124-0.000832369j 0.00311519+0.00575371j -0.00332726+0.005355j 0.000907023+0.00143623j -0.0037038-0.00383353j 0.000262201-0.000956355j 0.00193297+0.00483631j 0.000525097-0.00690814j 0.00464889+0.0076287j -0.00287756+0.00354525j -0.00886187-0.00097181j 0.00398438+0.00868547j 0.00679425+0.0104833j -0.00207355-0.00937009j -0.00773279-0.000883793j 0.0132832-0.00488176j -0.000428469-0.0038561j 0.0012807-0.00758823j -0.00247054-0.00440479j 0.00785208+0.0031657j -0.00578812+0.00248156j 0.00248994-0.00117849j -0.00310438+0.00218403j -0.00253491-0.0029389j 0.00115941+0.00311552j -0.00263971+0.00363662j -0.00185297+0.000855269j -0.000979134-0.00326934j -0.00353997+0.000553798j 0.000407018-0.00701521j -0.00223231+0.00532626j 0.00525313-0.00181739j -0.00687158+0.0107109j 0.0148181+0.00428648j -0.000374076-0.000222039j 0.00609129+0.00487083j 0.00112082+0.00637636j -0.00671903-0.00389412j 0.0026175+0.0121208j 0.0160617-0.000802988j -0.00825944-0.00385113j 0.01019-0.00432379j -0.00207209+0.0105451j -0.0024992+0.00127339j 0.010439+0.010119j 0.0042094+0.0137384j -0.00677494-0.00865312j -0.0164126+0.00312253j -0.016397+0.00698842j 0.00341796-0.000905944j 0.00311256-0.00795142j -0.00816461-0.00862228j 0.0124579+0.00464538j -0.00045451+0.0045193j 0.0150434+0.00188233j 0.00830694+0.0121562j -0.00462675+0.0249873j -0.0156969+0.00162467j 0.00296476+0.00160053j 0.0046128-0.00579551j 0.0149014-0.00596863j 0.0015251+0.000793403j -0.00410292-0.00988048j -0.00721497+0.00257607j 0.00427298+0.00211017j -0.00313747-0.010539j -0.00300317-0.00842024j -0.0140655-0.0101888j -0.0042884+0.00178841j -0.0109401-0.00668961j -0.00511248+0.0173062j -0.00976965+0.00400233j 0.0176488-0.0015603j -0.00488061+0.0159193j 0.00138654-0.0139656j 0.0117581-0.00428436j -0.00242372-0.0111654j 0.00282403+0.00978723j 0.010829-0.0099099j -0.00290565+0.00147782j 0.00224529+0.00197146j 0.0059912-0.00359883j 0.00134324+0.00179234j -0.00103858-0.0035594j -0.00338367+0.00106864j 
0.00169067+0.00422568j 0.0054462+0.00147368j 0.00200115+0.00211483j 0.00102325-0.00148675j 0.00194899-0.00113061j 0.000548264+0.000535577j -0.00228361+0.000481024j 0.000183382-0.00237392j -0.000633126+0.00163669j -0.000532461+0.00303445j -0.00645597-0.00103862j -0.00197627-0.00607922j 0.00177797-0.00247938j 0.00339693+0.00153897j 0.00174796+0.00183391j 0.00116963+0.00492034j -0.00206067+0.0024842j -0.00453407-0.00673057j 0.000621511+0.000592991j 0.0024098+0.00541178j 0.0001905+0.00453364j -0.000327448-0.00553602j 0.00332189+0.00566154j 0.00597134+0.00144848j -0.00269371-0.00186376j -0.00147132-0.00862551j -0.00754142-0.00206632j -0.00592392-0.00955424j -0.000840264-0.00290571j -0.00622701+0.0170378j 0.0167058+0.0037947j 0.00464225+0.00786618j 0.000407343-0.00514378j 0.00845219+0.015132j 0.0127054-0.00369416j -0.00160332+0.00569309j -0.00931313-0.00538107j -0.00398624+0.0044896j -0.00374835+1.02409e-05j -0.00460928-0.0027668j 0.00297202-0.00299411j 0.00219046-0.00241372j -0.000701372-0.0024612j -0.000427777-0.00374522j 0.00449887+0.0050083j 0.00577716+0.0028338j -0.0103678-0.00578371j -0.00550135+0.000894478j -0.00176091+0.00548511j 0.000431371-0.00220774j -0.00281748+0.00157255j 0.00506079-0.00412832j 0.000784353+0.017034j 0.00669301+0.00647107j 0.00703656+0.00745589j -0.00472763+0.0132607j 0.0111799-0.00614925j -0.00326358-0.00168132j -0.00435032+0.00823645j -0.00622927-0.00270236j 0.00436047-0.00453279j 0.00278666-0.000661268j -0.0111798+0.0131345j 0.0151999-0.000367699j -0.00836974-0.00469301j -0.00292488-0.000948692j -0.00182193+0.0153294j -0.00207529+0.0115032j -0.0128786-0.0260529j -0.00393276+0.0103873j 0.000517163+0.0044688j 0.00754383+0.00188894j -0.0202367-0.00687694j -0.0203211-0.0293453j 0.00532164+0.0119869j 0.0217507-0.0157964j 0.0173387-0.00722779j -0.0100603+0.0119303j -0.00212591-0.0197309j -0.00144973+0.00292977j -0.001751-0.0130887j 0.0153858+0.014944j 0.010286-0.0028031j -0.00559341+0.00394732j -0.0156111-0.0021049j 0.00671027+0.00170137j -0.00786449+0.0191579j -0.0132371-0.0151629j -0.0029711-0.00342961j 0.00958233+0.005333j -0.0090355+0.00543726j 0.00199599-0.00555876j -0.000968477-0.00403785j -0.000133001+0.0069249j 0.00394567+0.00833434j -0.000705947+0.00475176j 0.00221661-0.00470401j 
0.00205851+0.000956571j 0.012702-0.00266078j 0.00401417+0.000393161j 0.00196941-0.00330212j 0.00610996-0.000203948j 0.00280603+0.00247681j -0.00458414-0.0011386j 0.00716192-0.00261502j -0.00573121+0.00419036j 0.00716281-0.00317845j -0.00583394-0.00146064j 0.0079508-0.00121895j -0.00371882+0.0005626j -0.00186504-0.00122259j 0.00403017+0.00102845j 0.00942725+0.000828521j -0.000811988+0.00719187j -0.00661073-0.00146108j -0.000123161+0.00622907j 0.00718799-0.0023204j 0.00952018+0.00283825j -0.00524984-0.000122941j -0.00335786+0.000781919j 0.00259578+0.00725712j 0.00617376+0.00383623j -0.00492585+0.00174946j -0.000755041+0.00262328j 0.000672124-0.0125976j -0.00993382-0.00657788j -0.00916221+0.00714299j 0.0085263-0.00340984j 0.00389569+0.00131343j -0.00416661-0.00360884j 0.0131703+0.00293027j -0.00349181-0.00837316j 0.00558206+0.0018968j -0.000552073+0.00954762j -0.00447489+0.00203292j 0.00017301+0.00043941j 0.00254964+0.00255548j 0.000339131+0.000323198j 0.00290777-0.00743821j -0.00368319-0.00904704j 0.0094053+0.00553333j 0.00433499-0.00583378j -0.000445564-0.00925976j -0.00187414-0.00151848j 0.00240405-0.00303102j 0.00536051-0.00495125j 0.00239035+0.0118579j 0.00482547+0.00367082j 0.00829199+0.0114946j -0.000743339-0.00325132j 0.0145732-0.00730728j 0.00244115-0.0232357j -0.00153366-0.00416184j 0.00775249-4.94039e-05j 0.00958034+0.00459893j 0.000834245+0.000678949j -0.0099349-0.000417281j 0.00241284-0.00539128j -0.00981211+0.00125414j 0.00553837-0.00561289j -0.00477126+0.0134232j 0.00475292-0.000513257j -0.00188635-0.00669954j -0.00424498-0.00514643j -0.00698512-0.00683219j 0.00477191+0.0174921j -0.00972938+0.00115701j 0.00766268-0.0128004j -0.000164858+0.0038786j 0.000328946+0.0063157j 0.00916526+0.00388588j -0.00545538-0.00963864j 0.000417974+0.0134049j -0.00547028-0.00313389j -0.0167592-0.0114033j -0.00386403+0.013508j -0.00350669+0.000934814j -0.00169376+0.0145983j 0.00592868+0.000351827j 0.00722559+0.00876553j -0.00162743+0.00144348j -0.000352927+0.025675j -0.00596027+0.00235715j -0.00675721-0.00168247j -0.0042265+0.0173566j -0.00871622+0.0193682j 0.00739669-0.000273151j 0.0159532+0.00156976j 0.00100898-0.00287078j -0.00598599-0.00219007j 0.00311319+0.00479757j -0.00412287-0.00258178j 0.00454892+0.000122671j -0.00140246+0.000984019j 
0.00309039+0.000686081j 0.004016-0.00368804j -0.00135638+0.0012183j -0.000546952+0.000895727j 0.00178531+0.00421287j -0.000818251-0.00465605j 0.00687456-0.00381493j -0.000757942-0.00442256j -0.00295596+0.00262172j 0.00205844-0.000492856j -0.00289966+0.00432614j 0.00165584-0.000928269j 0.00201581+0.00141878j 0.00270002+0.000979751j 0.000452323-0.0013969j 0.00318407+0.00171067j 0.00175335-0.00273608j 0.00335202+0.00110595j -0.00511582-0.00261604j -0.00144821-0.00106964j -0.00176958-0.00870114j 0.00752467-0.00525762j 0.000666842+0.00658513j 0.00173267+0.00186837j 0.00676687-0.00266078j 0.0038261-0.00380784j -0.00759337-0.00606226j -0.00788994+0.00846415j 0.00436968+0.00767681j 0.00988167+0.00342589j -0.00404126+0.000811737j 0.00486075+0.00512596j 0.00244212+0.00265771j -0.0070811+0.00430913j 0.0019418+0.0102162j -0.00645269-0.00322425j 0.00110124-0.00981144j 0.00395666+0.00149463j -0.00327607+0.0023357j -0.00657409+0.00696243j -0.00596686-0.00399579j 0.00237597-0.000190524j -0.00190547-0.00136063j 0.00162068-0.00102411j 0.00593101+0.00139229j 0.00889025-0.00310519j 0.00527632-0.00181491j -0.00713394-0.0063473j 0.00122303-0.00756025j 0.0134029+0.0100684j 0.0014528+0.0043017j -0.000970451-0.0061047j -0.0100938-0.010835j 0.0044061-0.00153006j -0.00192822+0.00502775j -0.00503011+0.0110742j 0.00570254+0.00166551j 0.00372391-0.000522196j 0.00256325+0.0024529j 0.00368124+0.000152664j 0.0125458-0.00692522j 0.0121582+0.00405717j -0.0264292-0.00272191j 0.00417768-0.00655327j 0.00183315+0.0119116j 0.00969963-0.0175415j 0.0141626+0.0112637j 0.0128184+0.00591019j -0.00777992+0.0151945j -0.0177808+0.00811974j -0.00574239+0.0144888j -0.000462108-0.00277879j 0.0263406+0.00917147j -0.000505563+0.00574912j 0.0149081-0.0032749j -0.00213246+0.00237742j 0.0123974+0.0180048j -0.0176653+0.00102099j 0.0213571+0.00427764j -0.00819108-0.00135765j -0.0036052+0.00672252j -0.0202082+0.0121714j 0.00412087+0.0126601j 0.0109456+0.00805284j -0.00466576-0.0113801j 0.000339404+0.00210717j -0.0268387-0.002578j 0.00883265-0.0114579j -0.00389296-0.00218084j -0.0108211-0.00294612j -0.00581398-0.00960004j -0.000101783-0.00484342j -0.00414238+0.00176086j -0.00600044+0.00169451j -0.00687177+0.00661203j 0.00331156-0.00507298j 0.000385429-0.00512836j 
0.00207584+0.00333274j 0.00728749-0.000613926j 0.00312162-0.000499273j 0.00126305+0.000290013j -0.00407597-0.00825261j 0.00528558+0.00345147j -0.00896394-0.00259358j 0.00584027-0.00936068j -0.00764781-0.000308815j -0.000936502-0.00988388j -0.00524735+0.00632908j 0.00296202-0.00145266j 0.00178698+0.00246313j -9.03852e-05+0.00269554j 0.000563559-0.000484875j -0.00315352+0.00278182j 2.76178e-05+0.00483024j -0.00509095-0.00404632j 0.00127701+0.000907507j -0.0036151-0.000993406j 0.00597874-0.000898876j -0.00171378-0.00154443j -0.0040693+0.00490002j 0.00826439+0.00804042j 0.0109738+0.0035821j -0.00429388-0.00318905j -0.0102552-0.00208152j -0.00629731+2.96103e-05j -0.00466134+0.00361258j 0.00497458+0.00787233j -0.00204176-0.00839627j 0.0112552+0.011734j -0.00749839+0.0103755j -0.00257383+0.00808265j 0.00169374+0.00219286j -0.000430291+0.00122708j 0.00128756-0.00560645j 9.18956e-05-0.00289587j 0.00240507+0.00103343j -0.0024244-0.00317195j 0.00340125-0.00148556j 0.00465757-0.00389942j 0.00567027+0.000505899j -0.00637699-0.000613856j 0.00988037-0.00261491j -0.00443956-0.000944079j 0.00151906-0.00140167j -0.00138486-0.00712668j -0.00691397+0.00508469j -0.00498676-0.00559382j 0.00287725-0.00357285j -0.00251332-0.00244685j -0.00425783+0.00239319j -0.0126836+0.000125999j -0.00418792-0.00140684j 0.000227143+0.0037041j 0.00304949-0.00203612j 0.00108121+0.00139679j -0.00327564+0.0104966j -0.0142416+0.00146553j -0.00679791+0.00455398j 0.00381064+0.00679313j -0.00377992+0.00332707j 0.000585005-0.00136513j -0.0103002+0.00771008j -0.00619454-0.00426098j 0.00869676-0.00555285j 0.00320102+0.00118703j -0.000202253-0.00554435j 0.000293795+0.00346398j -0.00348543+0.00147014j 0.00376498+0.00729899j -0.0106316-0.00167576j -0.0051061-0.00937216j -0.0122916-0.00283285j 0.0110435-0.00487025j 0.00342285-0.00886539j -0.00228697+0.00422713j 0.000526207+0.00481649j 0.00246267+0.00579729j -0.000338324-0.00101909j 0.00761367+0.00103329j -0.00809017-0.00228774j -0.00177266+0.0087734j -0.00112536-0.00569376j -0.00229529+0.00863931j 0.00319358-0.00148774j -0.00345568-0.00763467j -0.00299739+0.00764574j 0.0133088-0.00360608j -0.00666213-0.00700395j 0.000836963+0.00193424j 0.00236629-0.000593992j 0.00113335+0.00064877j -0.00237026+0.00569993j 0.00215115+0.00358117j 0.00505752-0.00348781j 
0.00659797+0.00247288j -0.001198+0.000916127j -0.00187333+6.51494e-05j 0.00148124+0.00141162j 0.000738214+0.00477132j -0.000438811+0.0027308j 0.00233898-0.00141761j -0.00423422-0.0120041j 0.0115347+0.00831354j -0.00564955-0.00639747j 0.0117386-0.00122452j 0.00238239+0.00304673j -0.00353759+0.00221266j 0.0038513+0.00330924j -0.00211579-0.00313318j -0.00470325+0.00185478j -0.00530856+0.00174998j -0.00518416-0.00263801j -0.00443538+0.00361347j -0.00377616+0.0024744j -0.00343029-0.0101574j 0.00290359+0.00271251j 0.00817752+0.000466109j -0.0093443+0.00833893j 0.0106084-0.00868953j 0.000268657+0.00473231j 0.00854228-0.00231971j -0.0178383+0.00371912j -0.00259016+0.00682469j -0.00251749+0.014022j -0.00740394-0.00314859j -0.00432232+0.0038872j 0.00623759+0.00843382j -0.00249456+0.00478269j 0.00136849+0.00626286j 0.00111081+0.00153969j -0.000323564-0.000579567j 0.00149944-0.00248549j 0.00232925+0.00689073j 0.00373403-0.0028241j -0.00116439+0.0031724j 0.00528577-0.00776297j -0.00217281+0.000604749j -0.00144051-0.0109976j 0.00122818-0.000421044j -0.00274524-0.00529268j 0.00638125+0.000672564j 0.00139116-0.00318518j 0.00239375+0.00131023j -0.00182803+0.0108646j 0.00194328+0.017346j 0.00348062+0.00023031j 0.0142257+0.00364792j -0.000526308+0.0046341j -0.00335285-0.00438304j -0.00568242+0.00662779j -0.00926555+0.00478996j 0.00697587+0.0114511j 0.00583909+0.00124554j 0.0021508-0.00762899j -0.00480076+0.00640146j -0.00924567-0.0032505j -0.00249742+0.00330545j -0.00282797-0.00440586j 0.0076413-0.00194405j -0.00238219+0.00573092j 0.00404051+0.00551448j -0.00746139-0.00297491j 0.00248312-0.0123704j -0.013882-0.00942933j 0.00229341-0.00251106j 0.00452233+0.00596979j -0.0225761-0.00068785j 0.00574781-0.00185678j 0.00697399+0.00904644j 0.00747483-0.0127909j 0.00322163-0.00644529j -0.00366546-0.0112653j -0.00575919+0.000920411j 0.0135338+0.0116294j 0.00488038+0.00121725j -0.00214243-0.0171137j -0.0137618-0.00336738j -0.0115346+0.0146252j -0.0156692+0.0134404j 0.00100399+0.00943517j 0.00491642-0.0039682j 0.00419229+0.00406587j -1.86198e-05+0.0133025j -0.00157768+0.000304608j -0.0016807-0.00254347j -0.000534716-0.00136835j 0.00164359+0.000608342j -0.00509947+0.00233588j 0.000731285-0.00155619j -0.000634619+2.40136e-05j -0.000361129-0.00100909j 
-0.00703079+0.00601753j -0.00526446+0.00210789j 0.000625371+0.00299315j 0.00164138+0.00475592j -0.00255052+0.00185007j -0.00352927-7.89668e-05j 0.00687819-0.000486127j 0.00192199+0.012652j -0.00133881-0.0154742j 0.00117744+0.00339361j 0.00209716-0.00678459j -0.000173445+0.00835639j -0.00152383+0.000892362j -0.00940761-0.00477881j -0.0021074-0.00875696j -0.0062957-0.00295559j 0.00582319-0.000889381j -0.000445949-0.00381327j -0.00419396-0.00263616j 0.00167802-0.00208069j -0.000214354+0.00448052j -0.00838062-0.00305657j 0.000645075+0.00173785j 0.00136885-0.000288643j 0.00177519-0.001203j 0.00292624+0.00409895j 0.00521687+0.000984675j -0.00604805-0.000355409j -0.00388841-0.00502652j -0.000488034+0.00605165j 0.00256448-0.00797676j 0.00223709+0.00411617j -0.00477207+0.00536597j 0.00274669+0.00120842j -0.000230742-0.00146909j -0.000563145+0.00613208j -0.00249536+0.00116019j -0.00188439-0.00188423j -0.00101365+0.00193134j -0.000818385+0.00104172j -0.0018263-0.00605038j 0.00496433-0.00345644j 0.000736203-0.00136731j 0.00402813-0.00247949j 0.00398042-0.00539535j 0.000515495-0.00337047j 0.00276993+0.0066395j 0.00104211+0.00268981j 0.0115664+0.00126993j 0.00505854+0.00235835j 0.00370704+0.0100618j -0.0037458+0.0144618j -0.00105553+0.00557255j 0.00764402-0.00557395j 0.0150118-0.0056419j -0.00451816-0.00919539j -0.00616206-0.000800503j -0.00605458-0.018838j 0.000102893-0.00109962j 0.0151708+0.00315528j 0.019071-0.0151682j 0.00532636-0.00443747j 0.00399747-0.00167662j 0.00302337+0.00960224j 0.00944048+0.0124828j 0.0214786-0.00905574j -0.0158435+0.00346356j 0.0185176-0.00757004j -0.00351585+0.0146036j -0.0100947-0.0035525j -0.00524199+0.00729627j -0.0160633-0.00117935j 0.0140457-0.00163046j 0.00716023-0.00453685j -0.00291983-0.0078913j -0.00629102+0.0250137j -0.0125421+0.0135817j -0.0139039+0.0131385j 0.00984814-0.00681953j -0.00151603+0.00645572j -0.00674439+0.0180151j -0.0116647+0.00796589j 0.0108904-0.0126273j 0.00681349+5.52865e-05j -0.0144383+0.00611622j -0.00209852+0.00395583j -0.012529+0.00345495j -4.94705e-05+0.0105565j -0.00881793+0.0106322j -0.00171998-0.00195006j -0.0017711+0.00197042j 0.00189649-0.00095302j -0.00250736+0.00113575j -0.00431716+0.00365942j 0.000189021-0.00215242j -0.00309907+0.00119265j 0.00147708-0.00026099j 
-0.00313861-0.00174599j -0.00392095+0.000709174j 0.00143495+0.00152163j 0.00817537+0.00503773j -0.00425032+0.00564155j 0.00215423+0.00850519j -0.00329491-0.00104895j 0.00117468-0.00448246j 0.00749122-0.00512207j -0.0103439-0.00969818j 0.022289-0.0169784j 0.0138391+0.0160132j -0.0102958+0.0032026j -0.0148903-0.0079531j -0.00488759-0.0140817j -0.00549791-0.00596376j 0.00634212+0.000992364j -0.00365451+0.00208153j 0.000983698-0.00163513j 0.00354957+0.00332599j 0.00268027-0.000898131j 0.00352465-0.00157802j 0.00223512-0.00205103j -0.000979439-0.00267254j -0.00515834-0.00061994j -0.00407895-0.00489547j -0.00349163-5.57155e-05j -0.00143083-0.00897953j -0.00155424-0.004018j -0.00600846+0.0119048j 0.0163709+0.00426387j -0.0030851-0.00449515j 0.00307905-0.0139137j 0.011353+0.00220031j 0.00491397-0.00784799j -0.00297094-0.00207838j -0.00162689+0.00114722j 6.57137e-05+0.00247127j 0.00193161-0.000574272j 0.000818092+0.000551747j -0.00487237+0.00281955j -0.00220936+0.00113058j -0.00176963-0.000919544j -0.00210912-0.000452777j 0.000577991+0.00205676j 0.00177758+0.00145121j 0.00476113-0.00312544j 0.000161992-0.0013843j -0.00510643-0.00229169j -1.71226e-05+9.18903e-05j -0.000962968+2.05171e-05j 0.0013452-0.00827803j -0.00473153-0.00700379j -0.00639314+0.00304653j -0.00781744+0.0060493j 0.00046135+0.00965231j 0.00667755+0.00377991j 0.00645215+0.0128224j 0.000599163-0.00161164j -0.00607227+0.000413782j -0.0145877+0.0116855j 0.00576932+0.00684736j -0.00574559-0.00596117j -0.00580909-0.00678402j 0.0048799+0.00523215j -0.0100352-0.00179314j 0.015773-0.00607111j -0.00306069-0.00282173j 0.00587344+0.00923024j -0.00901169+0.00462358j 0.00430849+0.00444273j 0.00736775+0.00582096j 0.0141929+0.00434956j 0.00321354+0.00682781j 0.00182252-0.00318372j 0.00528909-0.00660203j 0.00738939-0.000691583j -0.00348056-0.00437821j 0.00589744+0.00968138j -0.00178876-0.000781261j 0.00250436-0.000288438j -0.00501249+0.00123959j -0.0100364+0.0119298j -0.000226403+0.0128253j 0.00876981-0.00713476j -0.00857041+0.00747905j -0.00202987-0.0109465j 0.00749341-0.00979061j 0.00212946-0.00607732j 0.00305244-0.00268201j 0.000951513-0.00290956j -0.000346778+0.00393572j 0.00204108+0.000991296j 0.00207951-0.000461257j 0.000800131+0.00296325j -0.0027373-0.00122702j 0.000202617+0.000361253j 
0.0017024+0.000788455j -0.00225535+0.00346115j -0.00139576+0.000643184j -0.00172682+0.00468517j 0.00270295+0.0012147j -0.00492616-0.00484545j 0.0165965-0.0092066j 0.00220286+0.00444906j -0.00260513-0.0150955j 0.00702936+0.0034151j -0.00961341+0.00949325j -0.00531705+0.00744162j -0.000653416+0.00466782j 0.00169134+0.00218697j -0.000588346-0.00541863j -0.00119868-0.00156243j -0.00246767-0.000304674j 0.00073398-0.0023696j -0.00518706+0.000457173j 0.00648665-0.00221981j 0.00163451-0.00527713j 0.0101054-0.0090904j -0.00972706+0.00134008j 0.00365036-0.0177322j -0.00940196+0.0113988j 0.00699136+0.00795462j -0.00229332-0.00192648j 0.00569186-0.00574776j -0.00236686+0.00809489j 0.0010631-0.0130049j 0.0075107+0.00906675j -0.00347215-0.00557666j -0.00105163-0.0154776j -0.0031086-0.00952309j 0.0035143+0.00153313j -0.000423489-0.00320856j 0.0031372-0.00304967j -0.00148701-0.000559112j 0.00103288-0.00169015j 0.00125748-0.00137191j -0.00299036+0.0017517j 0.00602322-0.0052202j -0.00510913-0.00741869j 0.00403572-0.00547108j 0.00827624+0.00281411j 0.00337894+0.00971698j 0.00687515-0.00297669j -0.00336151-0.00753363j -0.00800459-0.00321362j -0.0117168-0.00700549j 0.00848289+0.00948405j 0.0132018-0.00242025j 0.00486075-0.00911619j -0.000451066+0.00241529j -0.0102094-0.00289186j -0.00106818+0.00590425j 0.000817129+0.00689817j 0.00360264+0.00590953j 0.00107663-0.00316738j -0.0161599-0.00099385j -0.0117988+0.00870406j 0.000814892+0.00401615j -0.000207516+0.00418206j -0.00147901-0.00562354j 0.00333456-0.00559658j -0.00754238+0.00506295j 0.00504173-0.00736483j -0.00133089+0.00343666j -0.0044317-0.0122335j -0.00550167+0.00487828j 0.00237513+0.00307476j 0.00976076+0.00320374j -0.0127327+0.00288027j -0.0115988-0.0149902j -0.00574152+0.00617337j 0.00735459-0.0138036j 0.00411214-0.000122323j -0.00130362-0.00401092j -0.00642746+0.00206103j 0.00128747+0.0029643j -0.00484877-0.0161197j 0.0125572-0.00545638j -0.0151614-0.00615123j -0.00811036+0.018013j -0.000635929-0.0024615j -0.00731142+0.00740818j 0.00505959-0.0100789j 0.000301534-0.00355728j -0.000455458+0.000593865j 0.0033119-0.00948922j 0.00667299-0.00722293j -0.00128522-0.00221588j 0.000403829+0.00175403j 0.000234708-0.00377286j -0.000739731+0.00652705j -0.000531016-0.00172816j 0.000938698+0.000971205j 
