-0.00452586-0.0172117j 0.0106758+0.00464201j 0.00805846-0.00537092j 0.00828007+0.0194518j 0.00360258+0.0111332j 0.00341958-0.005651j 0.0077711-0.00411053j 0.0112313+0.00686913j 0.0012805-0.00186269j 0.00279417+0.00180472j 0.000452541-0.00471568j 0.00103292-0.0033447j 0.00488295+0.00215574j 0.00410956-0.00226784j 0.00634251+0.00921667j -3.72045e-05+0.00735385j 0.00397619+0.0035435j 0.00298887+0.00463499j 7.57528e-05+0.0055575j -0.000833957+0.00816694j -0.00179718+0.00968922j 0.00197251+0.0124453j -0.000411219-0.00313032j -0.00957642-0.00532645j 0.012253+0.0139389j 0.000246847-0.011114j -0.00454695-0.00776161j 0.000123124-0.00283963j -0.00389862-0.0121324j 0.000373943-0.00357866j 0.00230568-0.00575408j 0.00525072+0.00512984j 0.00724964+0.00228066j -0.00494559+0.00190848j 0.00736744-0.000850695j 0.00188461+0.0101341j 0.00917272-0.00964299j -0.00290486-0.00501867j 0.00107984-0.00638119j 0.00681255+0.00700913j 0.00163319+0.00293611j 0.00372081-0.0103221j -0.00287437+0.00276602j 0.000293066-0.00582931j 0.00878025+0.00156105j 0.0080486-0.000711366j -0.00212351+0.00937722j -0.0104854+0.00405269j 0.00196577+0.00791548j 0.011375+0.00395172j 0.000333379+0.00148833j -0.00112308+0.0047884j -0.014525-0.00630382j -0.0105797+0.0139208j -0.0222423+0.0200969j 0.0169103+0.0124594j 
0.0113316+0.00791545j 0.0020302+0.0137579j 0.00193612+0.00878877j -0.00511744+0.0042952j 0.000879917+0.00854034j 0.00750605-0.00239269j 0.00459148+0.0103895j 0.00349263+0.00882502j -0.00170103+0.000529502j 0.00193609+0.00736354j -0.00586782-0.0135089j 0.00859482+0.013096j -0.00143636+0.00904358j 0.00486592-0.0108882j -0.0020263-0.00828792j -0.00276958-0.00169084j -0.000396985+0.00217497j -0.00627649-0.00693061j -0.00911871+0.00417748j 0.00815382+0.0020516j 0.00809292+0.0100635j 0.00331943+0.00160071j -0.000291305+0.0116969j 0.00102448+0.00910474j -0.00613649-0.00743884j 0.00108016-0.00418748j -0.00180188+0.00097263j -0.00804725+0.00133377j -0.00142451+0.00864707j 0.00369174-0.00168225j 0.00735318-0.00245214j 0.0068493+0.0242831j -0.00123809-0.0021573j -0.00899567+0.0105054j 0.00353192+0.00539195j 0.00551178+0.00282362j -0.00718296+0.00446897j 0.00126414+0.007553j -0.00479565+0.00404011j 0.00467312-0.00786012j -0.0012799-0.00624084j -0.00589583+0.00298664j -0.000802474+0.00960859j -0.00513715-0.00497248j 0.00568307-0.00481735j -0.00189836+0.000139757j -0.00482281+0.00494025j -0.00240248+0.00723026j 0.0141282-0.0133368j -0.00781656+0.00693924j -0.015537-0.000804015j -0.00223862-0.014263j -0.00371182-0.00764517j -0.0162032+0.00969223j -0.0125379-0.0141483j -0.0201359+0.0166287j 
0.00616086+0.0111162j -0.00287993+0.00312122j -0.00317789+0.00272106j -0.00407053-0.00693943j 0.00308993+0.00353106j -0.00218411-0.00863679j -0.00236355+0.00176338j -0.00531097-0.0123791j 0.00175091+0.00589607j 0.0024189-0.00250259j -0.00123631+0.0110559j 0.0028373-0.00236793j 0.00357309+0.00440547j -0.00511731-0.0103794j 0.000942313+0.00883912j 0.00348585+0.0092757j 0.00183673+0.0109413j -0.00387018-0.0248944j -0.00405591-0.00144525j -0.0012476+0.0158565j 0.00108201+0.0186366j -0.00346352+0.00485568j -0.0112056-0.0139132j 0.00356776-0.00138658j -0.000433421+0.0264351j 0.000594686-0.00064555j -0.000761103-0.00579881j -0.00356139+0.00620108j 0.000184288-0.00301698j -0.000845051-0.00191487j 0.00372676-0.0177161j -0.00373617-0.0101571j -0.00123907-0.00948945j -0.00858838+0.0118439j 0.00300288-0.0106903j 0.00233011+0.000523442j 0.0026067-0.00578161j -0.00350239+0.00108944j -0.00280613+0.00725736j -0.00871456+0.00568729j 0.00108137+0.00398363j -0.00304775+0.00470736j 0.002989-0.00816516j -0.00231623+0.00798969j 0.00764135-0.00782971j 0.00331263-0.00484255j 0.0031664-0.00293402j -0.0071062+0.00232402j -0.00849055+0.00142112j -0.0017614-0.000841038j 0.000624138+0.00164386j 0.00249997+0.00155061j -0.000712681+0.0102822j 0.00723003-0.00257807j 0.00546113-0.00919051j -0.00953968+0.000903528j 
0.000447115+0.00192136j -0.00147416-0.000650202j 0.00322237+0.0067981j -0.000567802+0.00317495j -0.0014623+0.00346792j 0.00339291+0.0081932j -0.00627611-0.0110736j 0.0009281-0.00127316j -0.00308784-0.00704693j -0.00606612-0.0202958j -0.00103392-0.00652067j -0.00453488-0.00180059j 0.00632774+0.0114686j -0.00532354-0.00913365j 0.00401382+0.011234j 0.00112077+0.00905889j 0.00359431+0.00728328j 0.000505255-0.0135015j -0.00558342-0.00983145j -0.00407007-0.00351816j -0.00108425+0.002987j -0.000668382+0.0154004j 0.000734984+0.0155117j -0.000681031-0.0260517j -0.0049556-0.0149376j -0.0049399-0.00592083j 0.00304168-0.00458115j 0.00174297+0.00616851j -0.00201187+0.0137973j -0.00106014+0.00536739j -0.00174163+0.00589087j 0.00748379-0.0143204j 0.00103608+0.0122835j -0.00531877+0.011109j 0.000752538-0.0041042j 0.000256279-0.000496463j -0.00178468+0.00652358j -0.00465978+0.00091656j 0.00717253-0.0164504j 0.00300574-0.00171004j 0.000531226-0.00775655j 0.00116444+0.00305147j 0.00776352-0.00822779j 0.0060284-0.00848054j -0.00305483-0.00664846j 0.00648731-0.00328483j 0.00406928-0.00353964j 0.00596605-0.00871228j 0.00775101-0.00986525j -0.00375637-0.0077399j 0.00701472-0.00766149j -0.00371104+0.00427094j 0.00340804-0.0063997j -0.00418003+0.000309939j 0.00166069-0.00129497j -0.00113024-0.00153582j 
0.00893677+0.00770332j 0.00388219+0.0129258j -0.00726068-0.00722337j -0.00315442-0.00586691j 0.00184766-0.00469464j -0.00528175-0.0169791j 0.00179272+0.0028992j 0.002764-0.000718008j -0.00479626-0.00685728j 0.000132722-0.00542216j -0.00371051-0.0136431j -0.0028061-0.00453549j 0.00283794+0.00647484j 0.00896541+0.0179204j 0.00481694+0.00461089j 0.00226709+0.00937176j 0.00184111-0.00759093j -0.00735506+0.0167153j -0.00121537-0.0124788j -0.00520532-0.0153986j 0.00224913-0.00189131j -0.00120172+0.00269189j -0.000574158-0.00898509j 0.00219889+0.004507j -0.000185993-0.00980918j 0.00564513-0.0134555j 0.00101673-0.0210157j 0.00351895-0.0034939j 0.0011475-0.0106332j 0.00583732-0.0130816j -0.000987912+0.00493994j -0.00104889-0.0115369j -0.000549401-0.00518278j -0.00120526-0.00807874j 0.00237954-0.0060196j 0.0078096-0.00790088j -0.00819409+0.0015174j 0.0011228+0.0025177j 0.00205788-0.00620149j -0.00324781+0.00394764j -0.00249569+0.00617415j -0.00441752+0.0023156j 0.00510977-0.00479027j 0.00425255-0.00976827j 0.00116346-0.00201543j 0.00647807-0.00924824j -0.000774127+0.00710931j -0.00562947-0.00381094j -0.00254427+0.00585976j -9.77315e-05-0.00144792j -0.00379347+0.000450148j 0.00586432-0.00625097j -0.00390491+0.0125108j 0.00506108-0.00163218j -0.00275915-0.00686267j -0.0104012+0.00833288j 
0.00385625+0.00167748j 0.00362598+0.0079257j -0.00170475-0.0057305j 0.00171951+0.00416372j -0.000396857+0.00025818j 0.00836867+0.0157262j -0.0059552-0.00390677j -0.00569748-0.0155215j -0.00411981-0.00942409j 0.00475223+0.0022985j -0.000616793+0.00257175j -0.00518246-0.00163863j 0.00671518+0.0161157j 0.0024661+0.00899388j -0.00479139-0.0119594j -0.00385841-0.00838941j 0.00468308+0.00515811j -0.00382507+0.0166802j 0.00320696+0.00107687j 0.00359694-0.00798756j -0.000240052+0.0183577j -0.00162555-0.0129638j -0.0017078-0.0166923j -0.00306797-0.0079105j -2.77475e-05-0.0032615j -0.0033503-0.00643652j -0.0030684+0.0187331j 0.00271092-0.0168816j 0.00276794+0.000729316j -0.00292809+0.00565641j 0.00151295-0.0111389j 0.00330884+0.000551423j 0.00163758+0.000849801j -0.00120041-0.010363j -0.00358661-0.00140057j -0.00343277+0.0108688j -0.00504426-0.000784198j -0.00370028+0.0013392j -0.0032677+0.00135026j -0.00169015+0.00440235j 0.00436179-0.0103047j 0.00191435+0.00279089j 0.00647134-0.0104994j -0.00222913+0.00456542j 0.0072097-0.00516272j -0.001266+0.00451843j 0.00829884-0.0138062j -0.00118795+0.00120338j -0.000568662-0.00441741j -0.00412922-0.00740466j 0.00907185-0.0119443j -0.00114614+0.0060445j -0.00284309+0.00260104j -0.00136935+0.00181462j -0.00269173-0.00235687j -0.00459035+0.00513054j 
-0.000233124+0.00431326j -0.007068-0.00887363j 0.00766365+0.00970944j 0.00839153+0.0159242j -0.00871675-0.0122782j -0.00483448-0.00621474j 0.003981+0.00170481j -0.00756704-0.00875786j -0.00905489-0.00147835j 0.00250479+0.00188609j 0.000346353-0.0107686j 0.00319828+0.000876152j -0.00166187+0.00312244j -0.00405981-0.00241416j 0.00396511+0.00309075j 0.000119857+0.0057118j -0.000743598-0.0128398j 0.00160787+0.0151816j 0.00104713-0.00956932j -0.00328633+0.00661321j -0.00175556+0.0149937j 0.00468256-0.0256264j -0.000486828+0.0114905j 0.00102596+0.00374419j -0.00125562+0.0117878j 0.000155657-0.0151523j 0.00268551-0.00943371j -0.00415115+0.00296879j -0.0058126+0.00164449j 0.00483964+0.00599955j 0.00217956+0.000897488j 0.00709785-0.00910798j -0.00309251+0.0129786j 0.000315929-0.00191786j -0.00710218+0.0108702j -0.00636104-0.00044816j 0.000853601+0.000980332j 0.000853309-0.000988313j -0.00126193+0.00228066j -0.000630138+0.00300723j -0.00248384+0.00141467j -0.000522989-0.000650838j -0.00519589+0.00112614j -0.00176564+0.00672185j -0.00261297-0.00972009j 0.0060542-0.0133159j 0.00059168-0.00228989j -0.00197168+0.0102384j -0.00066151-0.00142746j 0.00206416+0.00339196j -0.00171573+0.00901099j -0.00638818+0.00822045j 0.0038578-0.011515j -0.00550882+0.00423475j 0.00484277-0.00164353j 0.00231236-0.0066882j 
0.00832283-0.00577888j 0.00252825-0.00577766j 0.0107292+0.00127201j -0.00320297+8.9146e-05j -0.00324205-0.00328805j 0.00796124-0.00677298j 0.00728752-0.00249833j 0.00797964-0.0026968j -0.00195564+0.00463568j 0.00115149+0.00163731j 0.00242987+0.00423276j 0.00199791-0.00533697j 0.000224022+0.00501644j 0.0031311-0.0111457j 0.00144775-0.000107713j -0.000585307+0.00135387j 0.00197098-0.00140209j -0.00338636-0.00137291j -0.00635777+0.0110068j 0.00578019-0.00840996j -0.0033571-0.0133299j -0.00392028-0.0123706j -0.00678143+0.00477759j -0.0013843-0.00358094j -0.00666341+0.00143871j -0.000746385+0.0130661j -0.00287543+0.00205691j -0.0137643+0.00402208j -0.0109673+0.00338714j 0.00277985+0.00474029j 0.00327886+0.00749972j 0.000815182-0.0178039j -0.00181613-0.000828038j -0.00384905-0.00594523j 0.000401993-0.00547631j 0.00608235-0.00295527j 0.000231852-0.0195372j -0.00498247-0.00171588j -0.00437697-0.00356625j 0.00965483-0.00486246j -0.00527056+0.0037714j -0.00608701-0.000581133j -0.00207616+0.0025176j -0.00483717+0.00960287j 0.000143298+0.00976268j 0.0080719+0.0118619j 0.00618068-0.0106586j -0.0128308-0.00338435j 0.00423629+0.00439569j 0.00254092+0.0104553j -0.0109878+0.00642674j 0.00992984-0.00571779j -0.00123019-0.022687j -0.0123733-0.00670855j -0.0168162-0.0246468j -0.0103884+0.0204076j 
-0.00160375+0.00935485j 0.010092-0.00579793j 0.00438741-0.00616707j 0.00758523-0.00620777j 0.00291655+0.000927515j -0.00532069-0.0068829j 0.00041085-0.0052843j 0.00559364-0.00809947j 0.000902279-0.00255332j 0.00653422-0.00165769j -0.00298678-0.00553666j -0.00511534-0.000708707j 0.00690155-0.000449766j -0.00373337-0.00696269j -0.00285487-0.00457849j 0.00257191+0.00202148j -0.000344486-0.00497014j -0.00556198-0.00415121j 0.00263436+0.00314043j -0.00473196+0.00412787j -0.00666438+0.0113975j -0.00481418-0.00335944j -0.00101403+0.00623816j -0.00619749+0.0157379j 0.00794122-0.0111823j 0.00962715-0.0023713j -0.00231036+0.0031945j 0.00265682+0.0110905j 0.000411904+0.0163858j 0.00235372-0.00347322j 0.00430162+0.0025212j -0.00447698+0.00188138j 0.00240844+0.00148276j -0.00575078-0.012567j 0.00202474+0.00488478j 0.00426192-0.00809376j 0.00683478+0.00249714j -0.0109205+0.0144024j 0.00328129-0.00242349j -0.00423382+0.00989596j 0.00466579+0.00187852j 0.000834689+0.010612j -0.00353453-0.00710467j 0.00461588-5.06777e-05j -0.00346988-0.00659387j -0.0101672+0.00967084j 0.00972194+0.00143641j -0.00593682-0.0116184j -0.00596446+0.00097194j 0.00539711+0.0044203j -0.00122525+0.0205389j -0.00443756+0.017646j -0.00884647+0.00477697j 0.00432671+0.00817374j -0.00879663+0.0170815j 0.0163484+0.0281165j 
-0.00669466+0.00293875j 0.00756102-0.00395143j 0.00666039-0.00673835j 0.00170666+0.00153416j -0.00693945+0.0036831j -0.000830425-0.00080755j -0.00101924-0.00359414j 0.00476035+0.00103533j 0.00275541-0.00347366j -0.00332219+0.00396466j 0.00840662-0.00840825j -0.0139609+0.00374739j -0.00599008+0.00172166j 0.0113773-0.00616085j 0.00965269-0.00217967j 0.00109322+0.00172918j 0.000260415-0.00236093j -0.00703488-0.00289629j 0.000730062-0.00254759j 0.021155+0.00276291j 0.00653636+0.00703351j -0.000119295-0.00169786j 0.0159585-0.00840849j -0.00287675+0.00664756j -0.00117121+0.000970768j 0.000928066-0.00620554j 0.00469608-0.0035694j 0.00658164-0.00161951j 0.00103977+0.000317171j 0.00902907-0.002537j -0.00783005-0.00804864j 0.0104217-0.0118333j 0.00463021-0.00651118j 0.029844+0.00509637j -0.0136214-0.000862145j -0.00967811+0.00473986j -0.0196027+0.00401742j 0.0186586-0.000509272j 0.00275709+0.00325704j 0.0108284-0.00323175j -0.0125189+0.00513634j 0.0027202+0.00702117j 0.00605115-0.00610147j -4.80667e-05-0.0020843j -0.0148336-0.0110969j -0.0109732-0.0039063j -0.00506124-0.00655978j 0.0164491+0.0105656j 0.00905993+0.025358j -0.00169869-0.00934107j -0.00188675-0.00421799j 0.00530925-0.0128148j 0.0137283-0.00455382j -0.0144082-0.0186104j -0.000451164+0.00644652j 0.00663485+0.0101595j 
0.0107915-0.00604293j 0.00128875+0.00238532j -0.00525499+0.00788857j 0.00246367-2.33544e-05j 0.0162231-0.00809282j -0.00464692-0.00392139j 0.00773893+6.56269e-05j -0.00689497-0.00230238j 0.000545922+0.00127646j -0.00042124-0.00387435j 0.0045311+0.00373798j 0.00465126-0.0054134j 8.08631e-05+0.00108689j -0.00574931-0.00420348j 0.00779608-0.00274858j 0.00478594-0.000112765j 0.0139981+0.000324558j -0.0251917+0.00633158j 0.00859464-0.00137176j 0.016658+0.00222701j 0.00562148+0.00554201j 0.0146325-0.00623453j 0.000846436+0.00573215j -0.0024552-0.00502762j 0.0146498-5.85402e-05j 0.0102599-0.00372089j -0.00911215-0.00128403j 0.0197025-0.00396704j 0.0123743-0.00342426j 0.00834909-0.000569514j -0.0103151+0.00152281j -0.0126264-0.00345165j -0.00373836+0.00577658j 0.0189742+0.00058963j -0.00853352+0.00424708j 0.0144651+0.00554747j -0.00348022-0.00438725j -0.00880241-0.00763972j -0.00018426-0.00394614j 0.00795231+0.00893264j 0.00387693+0.000331872j 3.54789e-05-0.0104457j -0.0100642-0.00517349j 0.00532063+0.0085319j -0.00402301-0.00155934j -0.00188491-0.00754417j 0.00615036+0.000271404j -0.000999297+0.00695834j 0.00400131-4.63574e-06j 0.00452244+0.00740313j -0.00658732-0.00592803j 0.011217+0.00528359j -0.0041217+0.00936135j 0.0174165+0.014247j -0.00534915-0.00955005j -0.00616162+0.000341948j 
