0.554601-0.208559j -0.182324-0.064355j 0.126771+0.00170634j -0.00755518-0.0936866j -0.11507-0.0497256j -0.0178508-0.018214j -0.0136949+0.0173568j -0.0278801-0.0176306j 0.00453614-0.00787874j -0.0914061+0.00489915j -0.0270314+0.00605005j 0.028439-0.00551483j 0.0119229-0.106058j -0.00449669+0.00497759j -0.0879553-0.0330452j -0.012484+0.0218319j 0.0429802-0.00255097j -0.0449695+0.00173726j 0.0184621-0.045817j -0.00086211-0.0214933j 0.0768259-0.00778139j -0.0264183-0.00996399j -0.0409911-0.0137436j 0.011125-0.0224271j 0.0116936-0.00747786j -0.0130982+0.00689687j 0.0146427+0.0130388j 0.0150176+0.00127818j -0.0269561-0.0376374j -0.0179102-0.00531157j 0.0174822-0.016948j -0.00108181-0.00570142j -0.0359479+0.0189777j 0.018168-0.00525881j 0.00840612+0.002248j 0.0119445-0.0333399j -0.0350451-4.74949e-05j -0.0373546+0.00252833j -0.0388848+0.0843998j 0.0587688-0.000139475j 
0.231899+0.624183j -0.00130525+0.161846j 0.0265018-0.0362913j -0.0637004-0.0111183j -0.0561358+0.0372553j 0.012624-0.030415j 0.0506059+0.0344129j 0.00696291+0.0159499j 0.0224133-0.00776548j -0.0159536-0.0543412j 0.0211627-0.0345514j 0.011705+0.0146323j -0.028142-0.0563577j 0.0339178+0.0200812j -0.0156537-0.00392626j 0.0092268-0.00515983j 0.00309017-0.00870052j -0.0183476+0.0129311j -0.0102225-0.000223495j -0.0160841+0.0335991j -0.00300847-0.0354133j 0.00288295+0.0150328j -0.0256112-0.00160273j -0.00113718+0.0181432j -0.0310888+0.0170365j -0.00989581-0.0193644j -0.00821282+0.00707795j 0.00324185-0.0082283j -0.048987-0.00469016j -0.0162916+0.00150608j -0.0294037+0.00232568j 2.23357e-05-0.00832016j 0.0150315-0.00897788j 0.0217464-0.00632127j 0.00813903-7.12525e-05j -0.00797746+0.00522302j -0.000522648+0.00465539j -0.0264678+0.0257497j 0.0110643+0.0170005j 0.0204531-0.024203j 
-0.329476+0.188316j -0.305902-0.0507404j 0.0691125-0.0893908j 0.0542007-0.0534482j -0.11053-0.0550222j -0.125813-0.0323907j -0.0163874-0.0320586j -0.0735146-0.0832616j 0.0527228-0.0265656j -0.0571668+0.00605926j 0.0222108-0.00148961j -0.0131828+0.0118417j 0.093121-0.101004j 0.00915867+0.0529802j -0.101246-0.00599277j -0.0308315+0.0609414j 0.0596518+0.00615374j -0.0602582-0.0224371j 0.0624311-0.0208765j -0.0475895-0.0062967j 0.123534+0.0784953j -0.00117853+0.00635952j -0.0318403-0.0170426j -0.00259395-0.000596831j -0.00617485-0.0047271j 0.0178315-0.012862j -0.00562866-0.00373444j 0.0261682+0.00633539j -0.00813324+0.000426699j -0.0167888-0.036393j 0.00596697+0.00279453j -0.0109454+0.0247237j -0.0310786-0.00653284j 0.00290849-0.00194403j 0.0266645-0.00613112j -0.00910081-0.0203707j -0.0560995+0.0311507j -0.00327408-0.0833408j -0.076766+0.078667j 0.0741195+0.0412721j 
-0.203079-0.173843j -0.116911+0.066702j -0.0230529+0.0832767j -0.112103-0.0691918j -0.0126386+0.108556j -0.00862582+0.1005j 0.0541851+0.0305855j -0.100208+0.0630394j -0.0495405-0.0104506j -0.0217188-0.00170101j 0.0420038+0.000700531j -0.0241872-0.0403112j -0.0924195-0.112525j 0.00897795-0.0223225j -0.0202817+0.095056j 0.0397729+0.0521809j 0.03292-0.0183366j -0.0256401+0.0532084j -0.0749557-0.0639622j -0.00636735+0.0121855j 0.0732438-0.0985797j 0.0175229+0.0434097j -0.0308189+0.0368892j 0.00687315-0.030421j -0.0220553+0.0158281j 0.0203974+0.0139139j 0.0106349-0.0117741j 0.0139215-0.0243824j -0.0473782+0.0241801j -0.0311487+0.0523597j -0.000630608-0.00834517j 0.0367511-0.0019891j 0.0115088+0.0573584j 0.00923927-0.0479143j -0.0156578-0.00786825j -0.00890694-0.00911553j 0.0163977+0.0372017j -0.0843201+0.0533218j 0.0598232+0.0621354j 0.071054-0.0934815j 
0.1061-0.0160017j -0.518457+0.0103928j 0.416465+0.0259552j -0.0406586+0.0461771j -0.042255+0.0152478j 0.0230466-0.007861j 0.0419672-0.00994599j 0.0613726+0.0326476j -0.0169791+0.0555361j -0.110638+0.0224088j -0.028117-0.0487369j -0.037965+0.011539j -0.0280069-0.0221059j -0.00224603+0.031344j -0.0552847+0.0627647j 0.0327881-0.00867158j 0.0322665-0.0152548j 0.0226101-0.0256224j -0.0338651-0.026577j 0.0135166+0.011472j 0.000522183-0.0387569j -0.0114792-0.0144271j -0.0147912+0.0124368j 0.00497403-0.00877246j -0.00354681+0.0018768j -0.0160486+0.0047467j 0.00121037-0.000148734j -0.0226056-0.0133087j -0.00581439+0.0232953j -0.0110038+0.0138664j -0.00826436-0.0061942j -0.0422044-0.0238508j 0.0202287+0.01163j 0.0111579-0.010001j 0.0154022-0.00604438j -0.00549364+0.0119441j -0.0308655+0.0156544j -0.0554178+0.0363545j 0.037801-0.00468464j 0.0386295-0.0439899j 
0.00382172-0.0959642j 0.115464-0.0951856j -0.0927314-0.0681587j 0.0170944+0.0500994j -0.0635041-0.0671214j -0.0129559-0.0245599j -0.0262404+0.0201202j -0.0621886-0.0333833j 0.0518069-0.0908819j -0.0222301+0.0129544j 0.0115938-0.0322815j 0.00227415-0.0240603j 0.0855431+0.0173991j 0.0769243+0.0626655j -0.164002-0.0539572j 0.00481799-0.0392091j 0.0711117-0.000554772j -0.0199774-0.0262156j 0.0118035+0.016961j -0.0212451+0.00573236j 0.0262288+0.136269j 0.0239655-0.00131576j -0.0164321-0.0222943j 0.00522193+0.0199232j 0.00181008-0.0442926j -0.00472539+0.0156976j -0.0119856+0.0045671j 0.01066-0.0122369j 0.0387526-0.0327106j -0.033454-0.0315543j 0.0164985+0.0180273j -0.00723128+0.0132449j 0.0177156-0.0102226j 0.0139687+0.0262216j 0.000555001+0.0246121j -0.00841181-0.000202335j -0.0584311+0.0316301j 0.0799947-0.038975j -0.0826183+0.0374352j 0.00397333+0.0540794j 
0.0270305-0.00273477j 0.347794-0.00937996j -0.417617-0.0410124j -0.00447635-0.0283939j -0.0465346-0.0237972j -0.0260807+0.0119435j 0.0438734-0.0427749j -0.108585+0.0579397j -0.0113111-0.0144837j 0.0882782-0.0175564j 0.0108615+0.00448179j 0.0120122-0.00176392j -0.0236035-0.0615457j 0.0580332-0.0311193j -0.0517543+0.0860675j -0.0198636+0.056251j -0.00763157-0.0923953j -0.00902059+0.0418674j 0.000213921-0.0305661j 0.00243644+0.0178534j 0.150821-0.0167119j -0.00411339+0.00680629j 0.0121093-0.00782855j -0.00486842-0.0245295j -0.0296728-0.0128605j -0.0121383+0.00253993j 0.0016857-0.00885935j -0.00822814-0.00285804j -0.0221648+0.0352027j -0.030785+0.0311923j 0.0134217-0.0185033j 0.01081-0.0203188j 0.00670473+0.0230061j 0.0237953-0.014864j 0.030176-0.0171841j -0.0140542+0.0257407j -0.000662821+0.0415476j -0.0107175-0.0461612j -0.0152102+0.0763427j 0.0775368-0.039359j 
-0.0534733-0.0122577j 0.210251+0.0108609j -0.0446842+0.0120907j -0.139527-0.0649376j -0.133414-0.00312909j -0.16536+0.113896j 0.0273374+0.16086j 0.0759836-0.0858299j 0.13354+0.0213946j 0.0338764-0.0203957j 0.00449852+0.0206519j 0.0200172-0.0567591j -0.117452-0.0375892j 0.0392218+0.121996j -0.13692+0.0917604j 0.0213049-0.0658438j 0.0119675+0.0491485j -0.0183032+0.00832835j -0.0897233-0.0227085j -0.029237-0.0167557j -0.035602-0.0120301j -0.0203594+0.00281731j 0.0163952-0.00334784j -0.038089-0.00286609j 0.0683789-0.00931166j -0.0135365+0.000104654j 0.00782632-0.00550295j 0.0140269-0.0389502j -0.0222089+0.0394037j -0.00982801-0.0246224j 0.0156553-0.0272125j -0.00301799-0.0107063j -0.019532+0.00233021j -0.00994336+0.0192687j 0.0142016-0.0138745j -0.0366239-0.0119435j -0.0324272+0.0590102j 0.01215+0.0796839j 0.0652312-0.00178778j 0.00212916-0.0545275j 
-0.0761464+0.058065j 0.0986886+0.0642433j -0.0748338+0.0729569j -0.0914458-0.159242j 0.119115-0.125996j -0.279947-0.136963j 0.0268369+0.136518j 0.0738583+0.106001j -0.000837304+0.102916j -0.0204318+0.0253872j -0.00287722-0.0417724j 0.016471+0.0467303j 0.00213602-0.0600477j -0.143746+0.021061j -0.065789-0.134967j -0.00653293+0.024632j -0.0258928+0.0354553j -0.00186893-0.0251083j -0.00694076-0.0654013j 0.0508697-0.0221013j -0.0139339-0.0147226j 0.00609276+0.00120386j 0.020298+0.0120996j 0.0372181+0.00761629j 0.0421408+0.00650535j 0.0310824-0.000276372j 0.0304706+0.0103052j 0.0343452+0.0242377j 0.00344826+0.0138597j 0.0464371-0.0127931j -0.0129154-0.0185388j -0.0334871+0.0155788j -0.0148811+0.00778758j -0.0254172+0.0139975j 0.032067+0.0299638j 0.0388775-0.0599859j -0.0242878-0.0306828j -0.0352103+0.0313036j -0.00878572+0.0269773j -0.00882428+0.0183625j 
-0.0612747-0.0583568j -0.0620884+0.024857j 0.0895449+0.00961755j -0.169667+0.182052j -0.0932889-0.0871363j -0.0277012-0.221556j 0.227121-0.0887613j 0.107751+0.117589j 0.0753436+0.0368329j 0.0224051-0.0609139j -0.028424+0.0102947j 0.0175248-0.0409053j -0.0183771+0.0320305j -0.0120312+0.100498j -0.0574899-0.0339709j -0.0187134+0.085598j -0.00364797-0.037604j -0.00398595+0.0501278j -0.0603847+0.0312722j 0.00600668+0.00275293j -0.0618334+0.0457649j -0.017796+0.00174858j 0.0156509-0.0325871j -0.00564654+0.0040652j 0.0289407+0.00781796j -0.00149432+0.0142134j -0.0105768-0.0263641j 0.0202097-0.00339993j 0.00421978-0.00840497j -0.00501121-0.0209749j 0.0135044+0.0141719j 0.0108578+0.0293678j -0.00376917-0.0387639j 0.0207222+0.0456329j 0.0147255-0.022583j -0.0376355+0.015516j -0.0553985-0.0223567j 0.0265298-0.00350937j -0.00549022-0.0258598j 0.0070018+0.0449349j 
-0.0131703+0.00343782j -0.010069-0.0246493j -0.145096-0.0159387j -0.0864087+0.115794j -0.184867+0.182265j -0.0575038-0.583873j 0.0999937-0.124227j -0.132641+0.0470636j 0.143471+0.0056332j -0.122019-0.195184j 0.0578983-0.0568294j -0.0495494-0.0337209j 0.0380448+0.00607821j -0.0189695-0.0429788j -0.092508-0.0638001j 0.0525061+0.0441535j -0.00308191+0.00272718j -0.00703544+0.0240525j 0.00691443+0.00845687j -0.0237275+0.02018j 0.0109687-0.018228j 0.00942452-0.0111419j 0.00534531+0.00511173j 0.0199796+0.0028824j -0.00190262+0.0475563j -0.00599607-0.0174067j -0.0126163+0.00218952j 0.00583773+0.0409831j 0.0250972-0.000324826j 0.016864+0.0181514j -0.0232183+0.0449283j 0.0113306-0.028198j 0.0401109+0.00753727j -0.00753254-0.0393363j -0.0153422-0.0485621j -0.0161259+0.00251144j -0.0440475-0.0323411j -0.0177334-0.0195724j 0.0128783+0.00588223j 0.0579346-0.0246561j 
