0.0362864-0.0338001j 0.113775+0.0165715j -0.029688+0.00794688j -0.0482003-0.0322475j 0.00392927+0.0992577j 0.00977893+0.0078495j 0.00371838-0.0172097j -0.00884173+0.0287277j 0.0112161+0.00796685j -0.0331379-0.015759j -0.0175622+0.0115687j 0.00691086+0.0327215j 0.0124868-0.0171662j -0.00265029-0.0507988j 0.0258717+0.00633363j -0.0456168+0.00958723j 0.0110937-0.0109239j -0.00854736+0.00781854j -0.00948354-0.0148025j 0.0187346-0.000802401j -0.00871974-0.0226589j 0.025959-0.00689812j 0.00149521-0.019413j 0.00927676-0.0172341j 0.00475862-0.000444575j -0.00161393+0.0275746j -0.00511442+0.00741656j 0.0134277+0.0186282j 0.0188671-0.0187925j 0.0188653+0.0111425j 0.00138752-0.0125227j -0.0290749+0.00573628j 0.00889491+0.000786148j -0.00895188+0.019078j 0.0206719+0.0114889j -0.00488183+0.0151407j 
0.0427655+0.25783j -0.00802236-0.202766j -0.0112451-0.137043j 0.0380174-0.00882147j 0.0343165-0.0908793j 0.0120092+0.0969177j 0.00807142-0.115478j -0.0405996-0.00317462j -0.0118896+0.0673761j -0.0269576+0.0552467j -0.0113282+0.0362828j 0.0188921-0.00809929j 0.0296918-0.0945264j -0.00812455+0.037802j -0.00466056+0.00209113j 0.0822087-0.0740562j -0.0084107+0.0193993j 0.0385891-0.0293457j -0.0450636+0.0950642j 0.0133366-0.0438177j 0.010792-0.0100473j -0.0263783-0.00857135j 0.024144-0.0247198j -0.00175028+0.0683068j 0.0139732+0.0316551j 0.00935875-0.0472956j 0.0283685-0.0266799j 0.0205195+0.000222808j -0.00635088+0.00271292j -0.00149164+0.0039138j 0.00526084+0.0231036j -0.00346863+0.0196124j -0.00460643+0.0556754j 0.0325582-0.0134691j -0.0713957-0.0524081j 0.0487977-0.0734946j 
0.0282422+0.175863j -0.0527547-0.170143j -0.00646523-0.0176896j 0.0502369-0.113117j 0.0419364-0.156051j -0.0120334+0.0716775j 0.0286922-0.192943j -0.0502539-0.020185j 0.0278082+0.0317801j -0.0360936+0.103777j -0.0537764+0.0528325j 0.0192878+0.0453191j -0.0124768-0.0858178j 0.0670839+0.0579459j -0.0463736+0.0712461j 0.0343464-0.0587304j -0.00861295+0.0371417j 0.00203997-0.00485495j -0.038522+0.115871j -0.0286629-0.0332967j -0.0112589-0.00545411j -0.000971371-0.0578653j 0.0323524-0.0256677j -0.0166022+0.105047j -0.0306574+0.0480103j 0.0330262-0.0686669j -0.00570877-0.026176j 0.00618544-0.00630373j 0.0425057+0.00743782j -0.0114333-0.0015026j 0.033597+0.0359725j 0.0334456+0.0228897j 0.0454708+0.0648765j 0.0400391+0.00715005j -0.0199012-0.0630245j 0.0605879-0.114648j 
0.194317+0.199458j -0.0817207+0.279104j -0.174812+0.0231774j 0.159971-0.0807366j 0.0485794+0.178886j 0.0125106-0.10145j 0.048437-0.0582839j -0.000578738-0.0238589j 0.0319561+0.0537763j -0.0416833-0.0304416j -0.0754512+0.0640923j 0.000120487+0.105698j 0.0650065-0.0609005j -0.00950017+0.0574803j -0.0278845+0.00426467j -0.0407131+0.16055j 0.00176172+0.0414573j -0.0387613+0.136256j -0.0224551-0.0841275j -0.0423958-0.0599342j 0.00250966-0.0276476j 0.000284327-0.100398j 0.0237215+0.0241547j -0.0276692-0.0426727j -0.00764243-0.0159842j 0.0112466+0.00247165j 0.00693731+0.0243757j 0.0278969+0.00578481j -0.00197365+0.00162058j -0.0168295+0.00469373j -0.00193398+0.0198121j -0.0209644+0.0387008j -0.0320962-0.0108746j 0.0213069+0.0567078j 0.0825031-0.0815847j 0.0499937+0.0619349j 
-0.11863+0.277924j 0.408724+0.237113j 0.100219-0.119136j -0.181786-0.0594078j -0.0337958+0.0925672j 0.0424769-0.0429291j -0.0751511-0.0650785j -0.00692157+0.072582j 0.010538+0.0976046j 0.0246568+0.0494j -0.0173237+0.0736768j 0.0627179-0.012149j 0.0171149-0.0375493j -0.118863-0.018042j 0.0251247+0.0405519j 0.0084764+0.0876274j -0.00854233-0.00192219j -0.0213348+0.019981j -0.00987458+0.0507708j 0.0543284+0.0282543j -0.0276706-0.0440683j -0.00230404+0.0103298j -0.0174802-0.00747751j -0.0032645+0.014461j -0.00362611+0.00295474j -0.0311159-0.00997377j 0.00268921-0.00586129j -0.00188831-0.00571801j -0.0148534-0.0142957j 0.014876-0.0279797j 0.0202363-0.00142614j -0.0253799+0.0166459j 0.00606022-0.0224349j 0.0373167+0.00728543j -0.0121033-0.0416817j 0.00495666-0.0201471j 
-0.319842+0.105968j -0.442131+0.177027j 0.280374-0.0833011j 0.0288095-0.0484714j -0.00761849+0.0769267j -0.100857-0.00665148j -0.0315002+0.0141823j -0.0147715+0.0297683j -0.017319+0.034804j 0.0311518-0.0404559j 0.0622137+0.0813569j -0.0201583-0.0523683j 0.0806108-0.0318011j 0.0154625+0.0436721j 0.0042408+0.00386009j 0.00945726+0.0913966j -0.0329172-0.0491863j 0.0113865+0.0568904j 0.0110269+0.0185982j 0.00601108-0.0370631j 0.0344607-0.0249422j -0.0126429+0.0204463j -0.017673-0.0111955j 0.0444669-0.0265725j -0.0210834-0.0374533j -0.0242485-0.00761369j -0.00671318+0.0200862j 0.00548943+0.0203448j -0.00287687-0.000726063j -0.00739174-0.00626928j -0.0109542+0.0042391j -0.0341599-0.000446141j -0.00326108-0.01735j 0.0252564-0.0138941j -0.00245626-0.0236961j 0.00191775+0.0089767j 
-0.236612-0.211436j 0.304416-0.207982j 0.0428283+0.212652j -0.0723647-0.00395391j -0.057781+0.0921228j 0.0114086-0.0834144j -0.057233-0.0801823j 0.0132373-0.0587689j -0.00881968-0.0306861j -0.108306+0.0347195j -0.0266799-0.0022501j -0.111785+0.0299436j 0.0753872-0.0277091j -0.100437-0.00811143j 0.00505795-0.0142886j -0.0292148+0.175628j -0.0190701+0.00414308j -0.10448+0.0468004j -0.0108274-0.0934402j 0.0208539-0.0182284j 0.0321379+0.0085925j 0.102967-0.0688924j -0.0266346+0.0435845j -0.0548206-0.0083742j 0.020954-0.0128445j 0.00428596-0.000608134j -0.0208814-0.018827j 0.001851+0.0152025j -0.000975759-0.00332639j 0.00628989-0.0275055j -0.0180446+0.0324032j -0.0111993+0.00658068j -0.0489707-0.0263926j -0.0246945+0.056566j 0.105973-0.0344582j 0.0255138+0.0870949j 
0.185278+0.232852j -0.0805971-0.307873j -0.0688026-0.186436j 0.00458884+0.220235j -0.0165077+0.146955j 0.0284769-0.0515242j 0.0558242+0.0568j 0.0222277+0.0250196j 0.0409386+0.0557949j 0.0567022-0.0291839j 0.0423252-0.11611j 0.00092137-0.0793357j -0.0397823+0.0600045j -0.0490179+0.0284571j 0.0295832-0.0988537j -0.0176023+0.23615j -0.00697496-0.0338979j 0.0636433+0.0193104j 0.0319822-0.0515796j 0.0369902-0.0328206j -0.035792+0.00949046j -0.017793+0.043033j 0.0047406+0.038129j 0.0410019-0.0766301j 0.00724677-0.0652354j -0.0239272+0.0828057j -0.0198009+0.0368735j 0.00201752+0.004035j -0.0145793-0.00762786j -0.033632-0.0133961j -0.0306628-0.0690852j -0.0200834+0.00888252j -0.0687403-0.0583987j 0.00668051-0.0324598j -0.00470217+0.0168241j -0.0255789+0.0877712j 
0.123675-0.191541j -0.125784-0.0664812j -0.0773987+0.278499j 0.0602336-0.134899j 0.0044663+0.226716j 0.0168876-0.151074j 0.032677-0.0854298j -0.0322444+0.137796j 0.0101857+0.0124007j 0.0128804+0.125115j 0.0367192+0.106098j 0.0445763-0.00478217j -0.0588137-0.0862298j -0.0146932-0.0223287j 0.0486372+0.00429788j -0.0577458+0.173608j 0.0317291-0.00606816j -0.00621147+0.133633j 0.0265631+0.0838481j 0.000628703+0.052932j -0.010626-0.0189603j -0.0297522-0.042993j -0.0110011-0.0287801j 0.0543711+0.0284311j -0.00425301-0.0255294j -0.0506854-0.0233706j -0.025353+0.00497792j -0.0346176-0.00738725j -0.0215144-0.0415008j 0.0148565-0.0211623j 0.0453795-0.0212163j 0.0140335-0.016187j 0.0343402-0.0369791j 0.0701993+0.0219693j -0.0239075-0.0753419j -0.0153871-0.0444442j 
-0.103497+0.218303j -0.176042-0.0553588j -0.00532272-0.0545559j 0.0689142+0.0594548j -0.0117786+0.0340717j -0.0320841-0.0352542j -0.0298237-0.0910555j 0.0411566-0.0567552j -0.000804951+0.0720314j -0.028452+0.063025j 0.0047616+0.0244087j -0.0196297-0.0224776j -0.00420109+0.00464442j 0.0303563-0.144583j 0.0281498+0.0660884j -0.120619-0.00543322j -0.0069179+0.0291858j -0.106484-0.0263453j 0.0362362-0.0684379j -0.0221617+0.00724795j 0.0254173-0.00763368j 0.0218497-0.0141123j 0.0174181-0.0330549j -0.00284559+0.0447931j -0.00586169+0.0237443j -0.00295611-0.0204916j -0.0061067-0.00378957j 0.00137322-0.0262169j -0.0162031-0.0265664j 0.0353411-0.0272252j 0.0270352+0.0219915j 0.0122836-0.0279851j 0.0263083-0.0181582j -0.0427397+0.044947j 0.0329659+0.0420861j -0.0364838-0.0151862j 
-0.0615347-0.047173j -0.104743-0.0568188j -0.108636-0.102j -0.146757-0.0672528j -0.087434-0.0398731j 0.316674+0.11338j -0.0398053-0.0216345j -0.0648028+0.00566267j -0.102102-0.0559539j -0.0325089-0.0221361j -0.0383247-0.00821221j 0.0048698+0.0462683j 0.0278938+0.00267706j -0.109253+0.0300975j -0.0711921-0.0117994j -0.0733763+0.0144194j -0.00510673-0.00359743j -0.0592934-0.0557086j 0.0571839+0.0443988j -0.0322806-0.0443189j 0.016919-0.020281j 0.0341838-0.0127937j -0.0432525+0.0331456j 0.0432537-0.0168208j 0.0699369+0.00570899j -0.0213583-0.047994j 0.0148812-0.00490314j 0.000215465+0.0168763j 0.0197696+0.0142701j -0.0392706+0.00271795j -0.0217209-0.00478592j -0.0206914+0.0144659j 0.0220476-0.0128944j -0.0101032-0.0148245j 0.0402087+0.00553845j -0.0436895+0.00883616j 
