0.994857-0j -0.000857216-0j -0.000524935-0j -0.000107152-0j -6.31399e-06-0j -0.00463339-0j 0.144628-0j -0.000610503-0j -8.81186e-05-0j -7.63129e-05-0j -8.99356e-06-0j -4.10498e-07-0j -0.00298146-0j -0.00301236-0j -0.000471411-0j -0.000476296-0j 0.0720873-0j -0.000248455-0j 0.0728343-0j 0.0104049-0j -0.00025103-0j 0.0105127-0j -6.21138e-05-0j -2.19605e-05-0j -6.27575e-05-0j -5.17615e-06-0j -2.21881e-05-0j -5.49014e-06-0j -5.22979e-06-0j -5.54703e-06-0j -4.57511e-07-0j -4.62252e-07-0j -1.70504e-08-0j -1.72271e-08-0j -0.0022467-0j -0.00278015-0j -0.00162176-0j -0.000350267-0j -0.000433433-0j -0.000252836-0j -0.000271315-0j -3.9161e-05-0j 0.0479074-0j -0.000335736-0j -0.000195846-0j -4.84593e-05-0j 0.00846892-0j 0.0592824-0j -2.82679e-05-0j -2.91889e-05-0j 0.0345814-0j 0.000705743-0j -2.52783e-05-0j 0.0104798-0j -3.61194e-05-0j -5.15991e-06-0j 0.000873313-0j 0.00611319-0j -3.12803e-05-0j -2.57996e-06-0j -2.10696e-05-0j -3.04051e-07-0j 0.000509432-0j -1.82469e-05-0j -6.38507e-06-0j -3.72385e-07-0j -3.19253e-06-0j -3.72462e-06-0j -3.76244e-07-0j -2.40373e-08-0j -1.86231e-06-0j -4.60803e-07-0j -2.19476e-07-0j -7.57105e-10-0j -2.97447e-08-0j -2.68801e-07-0j -9.36869e-10-0j -1.73511e-08-0j -5.46507e-10-0j 
0.000857216-0j 0.972496-0j 8.74892e-05-0j -0.00170197-0j -0.000201631-0j 0.000772232-0j -0.00587589-0j -0.0146891-0j 0.202058-0j -0.000599706-0j -0.000215026-0j -1.64032e-05-0j 0.00049691-0j 0.00050206-0j -0.00370458-0j -0.00374297-0j 6.21138e-05-0j -0.0119974-0j 6.27575e-05-0j -0.000854417-0j -0.0121217-0j -0.000863271-0j 0.070467-0j 3.66009e-06-0j 0.0711972-0j 0.0178658-0j 3.69802e-06-0j -8.72035e-05-0j 0.018051-0j -8.81072e-05-0j -1.46102e-05-0j -1.47616e-05-0j -8.18155e-07-0j -8.26633e-07-0j 0.000374451-0j 0.000463359-0j 0.000270293-0j -0.00275257-0j -0.00340613-0j -0.00198691-0j 4.52192e-05-0j -0.000622021-0j -0.00595923-0j 5.59559e-05-0j 3.2641e-05-0j -0.000769711-0j -0.000344071-0j -0.00737417-0j -0.000448998-0j 0.0664579-0j -0.0043016-0j -8.72341e-05-0j -0.000608211-0j -0.000425767-0j 0.0822375-0j 0.0118318-0j -0.000107947-0j -0.000248364-0j -0.000752623-0j -2.02746e-05-0j 0.0479719-0j 0.00140171-0j -6.29689e-05-0j -0.00043903-0j 0.0146411-0j -8.90329e-06-0j -2.50885e-05-0j 0.00854065-0j 0.00173452-0j -9.60512e-07-0j -1.4635e-05-0j -1.10173e-05-0j 0.00101181-0j -4.24051e-08-0j -1.18857e-06-0j -6.42673e-06-0j -5.24736e-08-0j -6.93334e-07-0j -3.06096e-08-0j 
0.000524935-0j 8.74892e-05-0j 0.979351-0j -0.00210204-0j 6.44419e-07-0j 0.000472894-0j 7.63129e-05-0j -0.0119765-0j 8.99356e-06-0j 0.142374-0j -0.00017643-0j 4.18963e-08-0j 0.000304294-0j 0.000307448-0j 4.81131e-05-0j 4.86117e-05-0j -0.00731106-0j 2.53579e-05-0j -0.00738682-0j 5.49014e-06-0j 2.56206e-05-0j 5.54703e-06-0j -0.00121851-0j 0.124207-0j -0.00123114-0j 5.28289e-07-0j 0.125495-0j 0.0102427-0j 5.33763e-07-0j 0.0103489-0j -8.97517e-06-0j -9.06818e-06-0j 1.7402e-09-0j 1.75824e-09-0j 0.000229303-0j 0.000283748-0j 0.00016552-0j 3.57489e-05-0j 4.4237e-05-0j 2.58049e-05-0j -0.00532249-0j 3.99685e-06-0j 2.52783e-05-0j -0.00658625-0j -0.00384198-0j 4.94585e-06-0j -0.000858914-0j 3.12803e-05-0j 2.88508e-06-0j 2.97908e-06-0j 1.82469e-05-0j 3.72385e-07-0j 0.0471607-0j -0.00106285-0j 3.68642e-06-0j -0.000101224-0j 4.60803e-07-0j -0.000619997-0j 0.0583584-0j 0.0145921-0j 2.15041e-06-0j 3.10321e-08-0j 2.68801e-07-0j 0.0340424-0j -0.000125258-0j 0.000694743-0j 0.0180568-0j -7.30673e-05-0j 3.84002e-08-0j -4.71549e-07-0j 0.0105331-0j 0.000859701-0j 2.24001e-08-0j 7.72717e-11-0j -5.83512e-07-0j 0.000501492-0j 9.56188e-11-0j -3.40382e-07-0j 5.57776e-11-0j 
-0.000107152-0j 0.00170197-0j 0.00210204-0j 0.948756-0j -0.00360924-0j -9.65291e-05-0j 0.00148455-0j 0.00121598-0j -0.00816095-0j -0.029123-0j 0.244035-0j -0.000392453-0j -6.21138e-05-0j -6.27575e-05-0j 0.000935967-0j 0.000945666-0j 0.000742299-0j -5.17615e-06-0j 0.000749992-0j -0.00498187-0j -5.22979e-06-0j -0.00503349-0j -0.0117904-0j 0.000132136-0j -0.0119126-0j -0.00146908-0j 0.000133506-0j 0.0977311-0j -0.0014843-0j 0.0987439-0j 0.0250032-0j 0.0252623-0j -2.45025e-05-0j -2.47564e-05-0j -4.68063e-05-0j -5.79199e-05-0j -3.37866e-05-0j 0.00069544-0j 0.000860563-0j 0.000501995-0j 0.000540398-0j -0.00362683-0j -5.15991e-06-0j 0.000668709-0j 0.00039008-0j -0.00448797-0j -0.00831095-0j -6.38507e-06-0j -0.00261798-0j 5.79533e-05-0j -3.72462e-06-0j -0.00103554-0j 0.000101224-0j -0.0102843-0j 7.17136e-05-0j 0.0456875-0j -0.00128141-0j -0.00599916-0j 0.000125258-0j -0.00147943-0j 4.18329e-05-0j -0.000173803-0j -0.000747491-0j 7.30673e-05-0j 0.0565353-0j 0.0203145-0j -0.0018307-0j 0.0329789-0j -0.000215071-0j 0.00219707-0j -0.00106791-0j 0.025138-0j -0.000125458-0j -1.52533e-06-0j 0.00271873-0j 0.0146638-0j -1.8875e-06-0j 0.00158593-0j -1.10104e-06-0j 
6.31399e-06-0j -0.000201631-0j 6.44419e-07-0j 0.00360924-0j 0.918216-0j 5.68803e-06-0j -0.000175874-0j 7.49464e-07-0j 0.00296813-0j -1.795e-05-0j -0.0286665-0j 0.311708-0j 3.66009e-06-0j 3.69802e-06-0j -0.000110883-0j -0.000112033-0j 4.57511e-07-0j 3.05008e-07-0j 4.62252e-07-0j 0.0018119-0j 3.08168e-07-0j 0.00183068-0j -1.46102e-05-0j 2.69591e-08-0j -1.47616e-05-0j -0.0164987-0j 2.72385e-08-0j 0.000184926-0j -0.0166697-0j 0.000186843-0j 0.0665339-0j 0.0672234-0j 0.0393934-0j 0.0398016-0j 2.75809e-06-0j 3.41296e-06-0j 1.99089e-06-0j -8.23884e-05-0j -0.00010195-0j -5.94711e-05-0j 3.33071e-07-0j 0.00131908-0j 3.04051e-07-0j 4.12154e-07-0j 2.40423e-07-0j 0.00163227-0j -1.02986e-05-0j 3.76244e-07-0j 0.000952159-0j -6.8657e-06-0j 2.19476e-07-0j -0.0116297-0j 3.10321e-08-0j -1.27438e-05-0j -8.49587e-06-0j 0.000173803-0j -0.0143911-0j -7.43389e-06-0j 3.84002e-08-0j -6.06848e-07-0j -4.95592e-06-0j 0.0442168-0j -0.00839479-0j 2.24001e-08-0j 0.000215071-0j -0.00118696-0j -7.50936e-07-0j 0.000125458-0j 0.0547155-0j 0.0182525-0j -4.38046e-07-0j -0.00146878-0j 0.0319174-0j 0.0041102-0j 0.0225863-0j -0.00085679-0j 0.00508611-0j 0.0131754-0j 0.0029669-0j 
0.00463339-0j 0.000772232-0j 0.000472894-0j 9.65291e-05-0j 5.68803e-06-0j -0.017559-0j 1.16704e-05-0j 9.52885e-06-0j 1.37537e-06-0j 1.19111e-06-0j 1.40373e-07-0j 6.40713e-09-0j 0.00268588-0j -0.00261968-0j -0.103111-0j 0.10057-0j 0.000335736-0j 0.000223824-0j -0.00032746-0j 4.84593e-05-0j -0.000218307-0j -4.72648e-05-0j 5.59559e-05-0j 1.97834e-05-0j -5.45767e-05-0j 4.66299e-06-0j -1.92958e-05-0j 4.94585e-06-0j -4.54806e-06-0j -4.82395e-06-0j 4.12154e-07-0j -4.01996e-07-0j 1.53601e-08-0j -1.49815e-08-0j 0.00202397-0j 4.33932e-05-0j -0.00284602-0j 0.000315542-0j 6.7651e-06-0j -0.000443701-0j -0.0593445-0j -0.00856564-0j 0.000223122-0j -0.00127232-0j 0.0834477-0j -0.000183644-0j 3.94427e-05-0j 4.78365e-06-0j 0.0120446-0j 2.62951e-05-0j -0.000313744-0j 3.28689e-06-0j 2.27723e-05-0j 8.45637e-07-0j 5.63758e-07-0j 4.64837e-06-0j 7.04698e-08-0j -5.54626e-05-0j 4.88229e-07-0j 2.32418e-06-0j -3.69751e-05-0j 2.73908e-07-0j -4.62189e-06-0j -3.20214e-05-0j 9.96593e-08-0j 3.35467e-07-0j 4.98297e-08-0j -6.53633e-06-0j 5.87248e-09-0j 2.16543e-08-0j -3.26817e-06-0j 7.19229e-09-0j -3.85157e-07-0j 6.82046e-10-0j 4.64261e-10-0j -4.71719e-07-0j 1.46228e-11-0j -3.04494e-08-0j -9.59064e-10-0j 
0.144628-0j 0.00587589-0j -7.63129e-05-0j 0.00148455-0j 0.000175874-0j -1.16704e-05-0j -0.0171764-0j -1.53771e-06-0j 2.11523e-05-0j 9.06309e-06-0j 3.24959e-06-0j 2.47894e-07-0j -0.000433433-0j 0.00042275-0j 0.00323134-0j -0.0031517-0j 0.0104798-0j -3.61194e-05-0j -0.0102214-0j -0.144156-0j 3.52291e-05-0j 0.140603-0j 0.000425767-0j -3.19253e-06-0j -0.000415273-0j 0.000107947-0j 3.11384e-06-0j 7.60638e-05-0j -0.000105286-0j -7.4189e-05-0j 1.27438e-05-0j -1.24297e-05-0j 7.1364e-07-0j -6.9605e-07-0j -0.000326617-0j -7.00254e-06-0j 0.000459274-0j 0.00240095-0j 5.14754e-05-0j -0.00337611-0j -3.94427e-05-0j 0.000542561-0j 0.00696459-0j -8.45637e-07-0j 5.54626e-05-0j 1.16323e-05-0j -0.0580513-0j 0.000149318-0j -0.000762926-0j 0.000200079-0j -0.0097933-0j -0.014718-0j -3.67486e-06-0j -0.0012446-0j 4.28962e-06-0j 7.14887e-05-0j -0.000315549-0j 0.0816292-0j -7.87876e-08-0j 1.76846e-05-0j -0.000281342-0j 8.46922e-06-0j 0.0206958-0j 5.16743e-06-0j 1.53269e-06-0j 7.76594e-06-0j 3.79152e-07-0j -0.000100524-0j 1.81577e-07-0j 8.37812e-07-0j -2.48674e-05-0j 1.66499e-07-0j -1.19091e-05-0j 3.69881e-08-0j 1.79624e-08-0j -1.09201e-05-0j 7.93011e-10-0j -1.1781e-06-0j -5.2011e-08-0j 
-0.000610503-0j 0.0146891-0j 0.0119765-0j 0.00121598-0j -7.49464e-07-0j -9.52885e-06-0j -1.53771e-06-0j -0.0173288-0j 2.61617e-05-0j 3.01659e-05-0j 1.76829e-06-0j -8.44214e-10-0j -0.000353896-0j 0.000345174-0j -5.59559e-05-0j 5.45767e-05-0j 0.00422929-0j 0.00854445-0j -0.00412504-0j -6.38507e-06-0j -0.00833385-0j 6.22769e-06-0j -0.101759-0j 0.000752853-0j 0.099251-0j 8.86975e-05-0j -0.000734297-0j 0.000125258-0j -8.65113e-05-0j -0.000122171-0j 5.19194e-06-0j -5.06397e-06-0j -2.02387e-09-0j 1.97399e-09-0j -0.000266681-0j -5.71755e-06-0j 0.000374996-0j -4.15763e-05-0j -8.9138e-07-0j 5.84628e-05-0j 0.00307895-0j -4.64837e-06-0j 0.00424412-0j 6.60115e-05-0j -0.00432948-0j -9.96593e-08-0j 0.000496863-0j 9.09925e-05-0j 6.53633e-06-0j 0.00100381-0j -0.00596791-0j -4.33086e-07-0j -0.0832586-0j 1.06526e-05-0j 2.15214e-05-0j -0.00845333-0j -9.28521e-09-0j -0.000698667-0j -0.00178503-0j 8.84462e-05-0j -0.00141152-0j 5.21016e-06-0j 6.08987e-07-0j 0.117075-0j -0.000181236-0j 8.49601e-06-0j 1.89626e-06-0j 0.0118867-0j 1.11704e-07-0j 2.72781e-07-0j -0.000124369-0j 1.82151e-07-0j -7.3263e-06-0j -8.98675e-11-0j 5.84832e-09-0j -1.19467e-05-0j -1.92673e-12-0j -3.83573e-07-0j 1.26368e-10-0j 
8.81186e-05-0j 0.202058-0j 8.99356e-06-0j 0.00816095-0j 0.00296813-0j 1.37537e-06-0j -2.11523e-05-0j -2.61617e-05-0j -0.0167865-0j -2.15884e-06-0j 3.63691e-05-0j 5.59177e-06-0j 5.10805e-05-0j -4.98215e-05-0j -0.000769711-0j 0.00075074-0j 6.38507e-06-0j -0.00123329-0j -6.22769e-06-0j 0.00409694-0j 0.00120289-0j -0.00399596-0j 0.0146411-0j 3.76244e-07-0j -0.0142802-0j -0.17441-0j -3.6697e-07-0j 0.000418142-0j 0.170111-0j -0.000407836-0j 0.000215071-0j -0.00020977-0j 2.01501e-05-0j -1.96535e-05-0j 3.84921e-05-0j 8.25258e-07-0j -5.4126e-05-0j -0.000571909-0j -1.22615e-05-0j 0.000804194-0j 4.64837e-06-0j 0.0029826-0j -0.000612587-0j 9.96593e-08-0j -6.53633e-06-0j 6.39458e-05-0j -7.14887e-05-0j -1.31336e-05-0j -0.004194-0j 0.0138081-0j 0.000861393-0j 0.000851596-0j -6.25219e-05-0j -1.53269e-06-0j 0.000296042-0j -0.0567337-0j 1.82579e-05-0j 0.000100524-0j -1.34045e-06-0j -4.21251e-06-0j -0.0194164-0j -0.020634-0j -0.00119748-0j 8.79156e-05-0j -0.00121635-0j 8.69156e-05-0j -9.03147e-08-0j 0.0797765-0j -0.000442385-0j 1.88986e-05-0j 5.92345e-06-0j 1.86344e-06-0j 0.0290146-0j 1.25438e-06-0j 4.05179e-07-0j -0.000122217-0j 2.68935e-08-0j -2.65744e-05-0j -1.76386e-06-0j 
7.63129e-05-0j -0.000599706-0j 0.142374-0j 0.029123-0j -1.795e-05-0j 1.19111e-06-0j -9.06309e-06-0j -3.01659e-05-0j -2.15884e-06-0j -0.0169086-0j 6.37484e-05-0j -2.53006e-08-0j 4.4237e-05-0j -4.31467e-05-0j -0.000329797-0j 0.000321669-0j -0.00106285-0j 3.68642e-06-0j 0.00103665-0j -7.60638e-05-0j -3.59556e-06-0j 7.4189e-05-0j 0.00835242-0j 0.0180568-0j -0.00814655-0j -1.10173e-05-0j -0.0176117-0j -0.141909-0j 1.07457e-05-0j 0.138411-0j 0.00025-0j -0.000243838-0j -7.28356e-08-0j 7.10403e-08-0j 3.33352e-05-0j 7.14694e-07-0j -4.68745e-05-0j -0.000245045-0j -5.25369e-06-0j 0.000344572-0j -0.000773762-0j -5.53749e-05-0j 3.67486e-06-0j -1.65892e-05-0j 0.00108803-0j -1.18722e-06-0j 0.00588753-0j 7.87876e-08-0j 7.78658e-05-0j -2.04205e-05-0j -5.16743e-06-0j -7.76594e-06-0j 0.00685604-0j 0.000126227-0j -4.37807e-07-0j 0.00140242-0j -1.66499e-07-0j -0.00827879-0j 0.000146991-0j -0.100023-0j 2.87144e-05-0j -8.64386e-07-0j 1.09201e-05-0j -0.00964066-0j 3.00674e-05-0j -0.0144886-0j -0.00214446-0j -0.00197202-0j -1.85321e-08-0j 1.64357e-05-0j 0.140648-0j -0.000310631-0j 1.21546e-06-0j -3.77508e-09-0j 3.52375e-07-0j 0.0203733-0j -8.09363e-11-0j -2.31111e-05-0j 5.30835e-09-0j 
-8.99356e-06-0j 0.000215026-0j 0.00017643-0j 0.244035-0j 0.0286665-0j -1.40373e-07-0j 3.24959e-06-0j 1.76829e-06-0j -3.63691e-05-0j -6.37484e-05-0j -0.0163729-0j 8.15826e-05-0j -5.21339e-06-0j 5.08489e-06-0j 0.00011825-0j -0.000115335-0j 6.23033e-05-0j -4.34449e-07-0j -6.07676e-05-0j -0.00128141-0j 4.23741e-07-0j 0.00124983-0j -0.0014896-0j 1.10906e-05-0j 0.00145288-0j 0.00568888-0j -1.08172e-05-0j 0.025138-0j -0.00554866-0j -0.0245184-0j -0.198588-0j 0.193694-0j 0.000393219-0j -0.000383527-0j -3.92859e-06-0j -8.42275e-08-0j 5.52421e-06-0j 8.78616e-05-0j 1.88372e-06-0j -0.000123547-0j 4.53572e-05-0j -0.000932877-0j -4.33086e-07-0j 9.72441e-07-0j -6.37793e-05-0j -2.00005e-05-0j -0.00105-0j -9.28521e-09-0j 0.00131177-0j 7.3218e-06-0j 6.08987e-07-0j 0.00401002-0j 8.49601e-06-0j -2.25117e-05-0j 1.56977e-07-0j 0.0117515-0j 8.59735e-05-0j 0.00147647-0j 1.82151e-07-0j -0.00018691-0j -1.02956e-05-0j 0.00138044-0j -0.00563872-0j -1.19467e-05-0j 0.000251948-0j -0.0786661-0j -4.00729e-06-0j -0.0165245-0j 2.95961e-05-0j -0.0263608-0j 0.000262825-0j -0.00168657-0j -0.00194111-0j 3.06518e-05-0j -0.000565167-0j 0.110617-0j 6.57163e-07-0j 0.0370675-0j -4.31012e-05-0j 
