0.49278-0j -0.512476-0j -0.0595889-0j 0.0716384-0j -0.0430136-0j -0.0363761-0j -0.00525044-0j -0.0424388-0j 0.0764855-0j -0.00612552-0j 0.0360769-0j 0.0110397-0j 0.00520725-0j -0.015317-0j -0.00221082-0j -0.0264821-0j -0.00468141-0j -0.000390118-0j -0.0299147-0j 0.0237299-0j -0.00528822-0j -0.0246783-0j -0.000440685-0j 0.0628994-0j 0.00419489-0j -0.00436256-0j 0.000349574-0j 0.0171291-0j 0.0111191-0j -0.000363546-0j -0.00563321-0j 0.000926595-0j 0.00302803-0j 0.000252336-0j -0.00099582-0j -8.2985e-05-0j -0.0208702-0j -0.00347837-0j -0.00213006-0j -0.0230991-0j -0.000434797-0j -2.56206e-05-0j 0.0177416-0j -0.00384985-0j -0.0121743-0j -0.0184507-0j -0.00235754-0j -0.000481232-0j 0.0206985-0j 0.00295693-0j -2.83568e-05-0j -0.00202905-0j 0.037019-0j 0.00181074-0j -0.0124279-0j -0.00307512-0j -0.00124253-0j 0.0387949-0j -0.00188312-0j 0.000369617-0j -0.000253631-0j 0.00344975-0j -0.00038439-0j 2.17799e-05-0j 0.00747049-0j 0.00211253-0j 0.00616984-0j -1.49454e-05-0j -0.00207132-0j -2.26504e-05-0j -0.00200597-0j 0.00377824-0j 0.000431219-0j 0.00646582-0j -0.00126842-0j 0.00077123-0j 0.00395949-0j 2.54098e-05-0j 0.00124508-0j -0.000258915-0j 0.000808228-0j 0.000762454-0j 4.54452e-05-0j -1.52567e-05-0j -0.000334328-0j 0.000155635-0j -0.000204733-0j 4.76253e-05-0j -4.1791e-05-0j 9.1709e-06-0j -2.46256e-06-0j 
0.512476-0j -0.517476-0j 0.0602064-0j -0.0719201-0j 0.0390198-0j 0.0367531-0j 0.00530486-0j -0.0413928-0j 0.0262577-0j -0.00597454-0j -0.0374963-0j 0.00378997-0j -0.00541212-0j 0.0731443-0j 0.0105575-0j 0.0267565-0j 0.00472992-0j 0.00039416-0j -0.0291773-0j 0.0246783-0j -0.00515787-0j -0.0249191-0j -0.000429823-0j -0.0208453-0j 0.00436256-0j -0.00440512-0j 0.000363546-0j 0.015994-0j -0.00368496-0j -0.000367093-0j 0.0596833-0j -0.00030708-0j 0.00282737-0j 0.000235614-0j 0.0105506-0j 0.000879217-0j 0.0210865-0j 0.00351442-0j 0.00215213-0j -0.0225298-0j 0.000439302-0j 2.58861e-05-0j 0.0184507-0j -0.00375496-0j 0.0123005-0j -0.0186307-0j -0.00229944-0j -0.00046937-0j -0.0207799-0j 0.00307512-0j -2.76579e-05-0j 0.00205008-0j 0.00761053-0j 0.00188312-0j 0.011274-0j -0.00310512-0j 0.00125541-0j -0.0133104-0j -0.00190149-0j 0.00038439-0j 0.00025626-0j -0.00346332-0j -0.00038814-0j 2.26504e-05-0j 0.0367197-0j -0.00212084-0j 0.00126842-0j 1.51002e-05-0j 0.001879-0j -2.28714e-05-0j 0.0368411-0j 0.000776746-0j -0.000432915-0j -0.0022184-0j 0.00115065-0j 0.000158553-0j -0.00135849-0j -2.55097e-05-0j 0.00611995-0j 0.000234875-0j -0.0002773-0j 0.00374769-0j 9.3428e-06-0j 1.38401e-05-0j 0.00614018-0j 0.000764993-0j 0.00376008-0j -1.63401e-05-0j 0.000767522-0j 4.50777e-05-0j 4.52267e-05-0j 
0.0595889-0j 0.0602064-0j 0.649147-0j -0.40846-0j -0.238268-0j 0.00427352-0j -0.0587852-0j -0.00980505-0j 0.00305315-0j 0.134875-0j 0.00436256-0j -0.0419982-0j -0.0600099-0j 0.00179946-0j -0.0247528-0j 0.00311115-0j -0.0259321-0j -0.00657468-0j 0.00351442-0j -0.00564319-0j -0.0292934-0j -0.00570167-0j -0.00742689-0j 0.00251082-0j 0.0470371-0j 0.0475246-0j 0.0119256-0j 0.00207132-0j -0.0209282-0j 0.0120491-0j 0.000661798-0j -0.00530603-0j -0.0172649-0j -0.00437725-0j -0.00551622-0j -0.00139855-0j 0.00245187-0j -0.019268-0j 0.000250243-0j 0.00271372-0j -0.00486808-0j -0.000576719-0j 0.00214538-0j -0.0213258-0j -0.00705575-0j 0.00216762-0j 0.000276968-0j -0.00538798-0j -0.0049223-0j -0.0168595-0j -0.000638311-0j 0.0554476-0j 0.000884925-0j 0.000218962-0j -0.00287134-0j -0.0170342-0j -0.000720124-0j 0.00154862-0j 0.000221231-0j -0.00425957-0j 0.0140089-0j 0.038682-0j -0.00430371-0j -0.000504629-0j 0.000903361-0j -0.000502381-0j -0.00695419-0j 0.00165963-0j 0.0225645-0j -0.000509858-0j 0.000235664-0j 9.03173e-05-0j 0.00977304-0j -0.0121698-0j -0.000293055-0j -0.00175698-0j 0.000158055-0j 0.00115781-0j -0.00709907-0j 0.00570094-0j -0.00307472-0j 9.21989e-05-0j -0.000208149-0j 0.000675387-0j -0.00185197-0j -0.00179359-0j 2.40524e-05-0j -0.00036426-0j -0.000467901-0j -0.000212485-0j -5.5432e-05-0j 
0.0716384-0j 0.0719201-0j 0.40846-0j -0.00850793-0j -0.574358-0j -0.00528822-0j 0.0727429-0j -0.000106893-0j 0.0111191-0j 0.00147039-0j -0.00506297-0j -0.152951-0j 0.0696445-0j 0.00652584-0j -0.0897673-0j -0.00384985-0j 0.0320893-0j 0.00813575-0j -7.53479e-05-0j 0.00344975-0j 0.00062804-0j 0.00346332-0j 0.00015923-0j 0.000158428-0j -0.0287544-0j -0.0288675-0j -0.00729024-0j -0.0048509-0j -0.00132053-0j -0.0073189-0j 0.00320479-0j -0.000334801-0j 0.0404332-0j 0.0102512-0j -0.0267126-0j -0.00677256-0j -0.00303403-0j 0.0238429-0j -0.000309659-0j -5.81811e-05-0j 0.00602394-0j 0.000713653-0j 0.0025792-0j 0.000457217-0j -0.00176985-0j 0.00258934-0j -5.93809e-06-0j 0.000115516-0j 5.21346e-05-0j -0.0202687-0j 1.36852e-05-0j 0.0139084-0j 0.00538168-0j 0.000263239-0j 0.00351954-0j -0.0203484-0j -0.000180635-0j -0.00544442-0j 0.000264274-0j -0.0051209-0j 0.00351397-0j -0.0004097-0j -0.00514103-0j -0.00060667-0j -0.00318282-0j 5.32097e-06-0j -0.0422919-0j 0.000416298-0j -0.0276583-0j -0.000609055-0j 0.00142778-0j 0.000549265-0j -0.000103511-0j 0.042785-0j 0.000359211-0j -0.0106851-0j -0.000555669-0j -1.22629e-05-0j 0.0250122-0j -0.0069879-0j 0.0108097-0j -0.000324846-0j -0.00126586-0j -0.000827852-0j -0.0112202-0j 0.00631937-0j 0.000145722-0j 0.00128062-0j -0.0028348-0j 0.000748652-0j -0.000335837-0j 
0.0430136-0j 0.0390198-0j -0.238268-0j 0.574358-0j -0.66115-0j 0.00308479-0j -0.0424334-0j -0.00701079-0j 0.00220388-0j 0.096438-0j 0.00282737-0j -0.0303159-0j -0.0388924-0j 0.0015551-0j -0.0213915-0j 0.00224575-0j -0.0187188-0j -0.00474586-0j -0.00494182-0j 0.00207132-0j 0.0411911-0j 0.001879-0j 0.0104434-0j -0.00353061-0j -0.0172649-0j -0.0156619-0j -0.00437725-0j 0.00574754-0j 0.0294284-0j -0.00397082-0j -0.00608425-0j 0.00746111-0j -0.0479069-0j -0.0121461-0j 0.0507135-0j 0.0128576-0j 0.00176985-0j -0.0139084-0j 0.000180635-0j -0.00381591-0j -0.00351397-0j -0.000416298-0j 0.00154862-0j 0.0299874-0j 0.00103241-0j 0.00140483-0j -0.00038946-0j 0.00757634-0j -0.00351954-0j -0.0121698-0j 0.000897565-0j -0.00811322-0j 0.000638773-0j 0.000158055-0j 0.00405138-0j -0.0110399-0j 0.00010537-0j 0.00100366-0j 0.00014338-0j -0.00307472-0j -0.00204981-0j 0.0276583-0j -0.00278923-0j -0.00036426-0j 0.000780689-0j -0.000359211-0j -0.0050198-0j -0.00024284-0j -0.0318378-0j -0.000330439-0j -0.00742534-0j 6.51945e-05-0j 0.0069879-0j -0.00788726-0j 0.000413492-0j -0.00126826-0j 0.000102436-0j 0.000827852-0j -0.00613505-0j -0.00804385-0j -0.00199273-0j 7.96788e-05-0j -0.00015025-0j -0.00095295-0j 0.0583521-0j -0.00155003-0j -0.000757846-0j -0.000236077-0j 0.0147427-0j -0.000183631-0j 0.00174656-0j 
0.0363761-0j 0.0367531-0j 0.00427352-0j 0.00528822-0j 0.00308479-0j 0.740236-0j -0.00111755-0j -0.290981-0j -0.178189-0j 0.000439302-0j -0.254609-0j 0.000269017-0j 0.00038439-0j -0.105021-0j 0.000158553-0j 0.00189921-0j -0.032098-0j 2.7978e-05-0j -0.00636732-0j 0.0017517-0j 0.107612-0j 0.00176985-0j -9.37995e-05-0j 0.00153274-0j -0.029605-0j -0.0299118-0j 2.58049e-05-0j 0.00126444-0j -0.0259044-0j 2.60724e-05-0j 0.000403995-0j 2.25793e-05-0j -0.02137-0j 1.8627e-05-0j -0.00682783-0j 5.95141e-06-0j 0.00149675-0j 0.000249458-0j -0.0293622-0j 0.00165659-0j -0.00298118-0j 1.83743e-06-0j -0.00388694-0j 0.000276099-0j 0.000873102-0j -0.00392722-0j -0.032498-0j -0.00329956-0j 0.00152793-0j -0.000647823-0j 2.03366e-06-0j 0.000145517-0j 0.000540204-0j 0.0762515-0j 0.000891291-0j -0.000654537-0j -0.017128-0j 0.000945357-0j 0.0770417-0j 0.0077419-0j -0.00173902-0j 0.000254655-0j 0.00782213-0j -4.77167e-06-0j 0.000551458-0j -0.0299739-0j 9.0034e-05-0j 1.07183e-06-0j 0.000148549-0j -4.82112e-06-0j 0.000143861-0j -0.0105974-0j -0.00304328-0j 0.00015756-0j -0.0174848-0j -0.00107596-0j -0.0185454-0j 1.87571e-06-0j 9.19097e-05-0j -0.00177525-0j -0.00188294-0j -0.0108182-0j 6.63163e-07-0j 1.09416e-06-0j 2.39769e-05-0j -0.00109838-0j -0.00282218-0j 1.16054e-06-0j -0.000286539-0j 6.76979e-07-0j 1.76607e-07-0j 
-0.00525044-0j -0.00530486-0j 0.0587852-0j 0.0727429-0j 0.0424334-0j 0.00111755-0j 0.717072-0j -0.000439302-0j -0.000269017-0j -0.281876-0j -0.00038439-0j -0.172613-0j -0.246641-0j -0.000158553-0j -0.101734-0j -0.000274127-0j 0.00461827-0j -0.0550143-0j 0.000919043-0j -0.000252836-0j -0.0154833-0j -0.000255456-0j 0.184442-0j -0.000221231-0j 0.00425957-0j 0.00430371-0j -0.0507414-0j -0.000182507-0j 0.00372712-0j -0.0512672-0j -5.83117e-05-0j -0.0443987-0j 0.00307472-0j -0.0366271-0j 0.000982388-0j -0.0117025-0j -0.000216037-0j 0.00343146-0j -2.20491e-05-0j -0.000239109-0j -0.0200079-0j -0.00727685-0j 0.000561032-0j 0.00379793-0j -0.000126021-0j 0.000566845-0j -2.44039e-05-0j -0.0221447-0j -0.000220537-0j -0.00891124-0j -0.00805399-0j 0.00200168-0j -7.79717e-05-0j 5.726e-05-0j -0.000128647-0j -0.00900359-0j -1.2862e-05-0j -0.000136451-0j 5.78534e-05-0j 0.051959-0j -0.0116713-0j 0.00350294-0j 0.0524974-0j 0.0188974-0j -7.95961e-05-0j -2.25085e-05-0j 0.00123848-0j -0.00424483-0j 0.00204338-0j 0.0190933-0j -2.07646e-05-0j -7.95796e-06-0j -0.0204247-0j 0.00216734-0j -1.313e-05-0j -0.00722122-0j -1.39264e-05-0j -0.00742845-0j 0.00126428-0j -0.0119144-0j -0.0126371-0j -8.12375e-06-0j -0.00262635-0j -0.00433326-0j 0.000329818-0j -0.00737166-0j -2.11928e-06-0j -0.00459612-0j -0.00192308-0j -0.00268107-0j -0.000699423-0j 
-0.0424388-0j 0.0413928-0j 0.00980505-0j -0.000106893-0j 0.00701079-0j 0.290981-0j -0.000439302-0j -0.0115671-0j 0.207887-0j 1.74631e-05-0j -0.28675-0j -0.000313853-0j 0.000432915-0j -0.359081-0j 0.000542115-0j -0.00221574-0j 0.0374477-0j -3.2641e-05-0j -4.33657e-05-0j 0.00401904-0j 0.000732912-0j -0.00391998-0j -6.38837e-07-0j -3.09819e-05-0j -0.0679249-0j 0.0662507-0j 5.92061e-05-0j 0.00287369-0j 0.000523618-0j -5.77468e-05-0j 0.00184448-0j -4.56407e-07-0j -0.0485675-0j 4.23334e-05-0j -0.0311731-0j 2.71718e-05-0j -0.0017462-0j -0.000291034-0j 0.0342559-0j -3.34855e-05-0j 0.00347804-0j -2.14367e-06-0j -0.00152793-0j -5.58092e-06-0j 0.00502506-0j 0.00149027-0j 0.000656898-0j 6.66956e-05-0j 6.07381e-05-0j -0.000254655-0j -4.11074e-08-0j 0.000837509-0j -0.000630238-0j 0.0299739-0j -0.00398361-0j 0.000248378-0j -0.0985784-0j 0.0010647-0j -0.0292351-0j 0.00304328-0j -0.0100088-0j 1.0123e-05-0j -0.00296827-0j -1.87571e-06-0j 0.00188552-0j -0.00119152-0j -0.00010504-0j 6.16884e-06-0j -0.000663936-0j 1.82948e-06-0j 0.000821744-0j 0.0123636-0j -0.000120976-0j 0.00017745-0j 0.078148-0j 0.00125529-0j -0.0208866-0j 7.4563e-08-0j 0.000314253-0j 0.00793445-0j -0.00212064-0j -0.0369889-0j -7.7369e-07-0j -4.89035e-06-0j 0.000136957-0j -0.00375552-0j -0.0161205-0j 1.30704e-06-0j -0.00163673-0j 2.31469e-06-0j 1.00879e-06-0j 
0.0764855-0j -0.0262577-0j -0.00305315-0j 0.0111191-0j -0.00220388-0j 0.178189-0j -0.000269017-0j 0.207887-0j 0.113014-0j -0.000313853-0j -0.535347-0j -0.000170621-0j 0.000808228-0j 0.0750304-0j -0.000113275-0j -0.00135686-0j 0.0229319-0j -1.99884e-05-0j -0.00153274-0j 0.00368317-0j 0.0259044-0j -0.00126444-0j -2.25793e-05-0j -0.000972121-0j -0.0622483-0j 0.02137-0j 5.42582e-05-0j 0.00265865-0j 0.0164296-0j -1.8627e-05-0j -0.000288628-0j -1.43207e-05-0j -0.0449332-0j 3.91656e-05-0j 0.00487803-0j -4.2519e-06-0j -0.00106933-0j -0.000178221-0j 0.0209774-0j -0.00118353-0j 0.00212986-0j -1.31272e-06-0j 0.00275371-0j -0.000197255-0j -0.000623774-0j -0.000945357-0j 0.0232177-0j 0.00235732-0j 0.00321266-0j 0.000458952-0j -1.45292e-06-0j -0.000103962-0j -0.00482134-0j -0.0540206-0j -0.000636769-0j -0.00015756-0j 0.0122368-0j -0.000599583-0j 0.0185454-0j -0.00548476-0j 0.00124242-0j 0.000535444-0j 0.00188294-0j 3.3805e-06-0j 0.00115951-0j -0.063024-0j -0.000803557-0j -7.65755e-07-0j -0.000106128-0j -1.16054e-06-0j -0.00010278-0j 0.094582-0j -0.00639889-0j -9.99304e-05-0j 0.0124917-0j 0.00960301-0j 0.0117622-0j 3.94392e-06-0j 0.000193252-0j 0.0012683-0j 0.00119423-0j -0.0227466-0j -5.91875e-06-0j -7.81708e-07-0j -1.71299e-05-0j -0.00230948-0j 0.00201627-0j -7.36057e-07-0j 0.000204714-0j 1.42343e-06-0j -1.26174e-07-0j 
0.00612552-0j -0.00597454-0j 0.134875-0j -0.00147039-0j 0.096438-0j 0.000439302-0j 0.281876-0j -1.74631e-05-0j 0.000313853-0j -0.0112051-0j -0.000432915-0j 0.201382-0j -0.277777-0j -0.000542115-0j -0.347845-0j 0.000319815-0j -0.00538798-0j 0.0641833-0j 6.25929e-06-0j -0.000580099-0j -0.000105451-0j 0.000565801-0j 0.00125617-0j 4.47186e-06-0j 0.00977304-0j -0.00953215-0j -0.11642-0j -0.000414781-0j -7.53382e-05-0j 0.11355-0j -0.000266228-0j 0.000897453-0j 0.0069879-0j -0.0832421-0j 0.00448519-0j -0.053429-0j 0.000252043-0j -0.00400337-0j 2.5724e-05-0j 4.83322e-06-0j 0.0233425-0j 0.00848965-0j 0.000220537-0j -7.67693e-05-0j -0.000725304-0j -0.000215102-0j 4.93289e-07-0j 0.000447621-0j -8.76678e-06-0j -0.00350294-0j 0.000162799-0j 0.0115205-0j 9.0967e-05-0j 2.25085e-05-0j 0.000574985-0j 0.0034166-0j -7.40261e-05-0j -0.000153676-0j -2.19537e-05-0j 0.0204247-0j -0.0671729-0j 0.000139249-0j -0.0199213-0j 0.00742845-0j -0.000272151-0j -8.94756e-07-0j -0.00144489-0j -0.0244307-0j -0.00913288-0j -0.00724535-0j -0.000118609-0j 9.28428e-06-0j -0.000811921-0j 0.00244094-0j 5.86842e-05-0j 0.00842476-0j -1.56845e-05-0j -0.000295295-0j 0.00432276-0j 0.0532513-0j -0.0142324-0j -2.77763e-05-0j 0.00306408-0j 0.0193675-0j 0.00188394-0j -0.0252048-0j -1.21054e-05-0j -0.00517633-0j -0.0109847-0j -0.00916696-0j -0.00399514-0j 
-0.0360769-0j -0.0374963-0j 0.00436256-0j 0.00506297-0j 0.00282737-0j -0.254609-0j 0.00038439-0j 0.28675-0j 0.535347-0j -0.000432915-0j -0.252362-0j -0.000808228-0j 0.000380998-0j -0.50671-0j 0.000764993-0j 0.00193877-0j -0.0327667-0j 2.85608e-05-0j -0.00211419-0j -0.00173729-0j 0.0357314-0j -0.00180564-0j -3.11449e-05-0j 0.00444535-0j 0.0293614-0j 0.0305166-0j -2.55926e-05-0j -0.00112593-0j -0.0751297-0j -2.65996e-05-0j 0.00432465-0j 6.54862e-05-0j 0.0190291-0j -1.65866e-05-0j -0.0730898-0j 6.37081e-05-0j 0.00152793-0j 0.000254655-0j -0.0299739-0j -0.00163251-0j -0.00304328-0j 1.87571e-06-0j -0.00129888-0j -0.000272084-0j 0.000891291-0j -0.00134998-0j 0.0320255-0j 0.00325158-0j 0.00146285-0j -0.00021648-0j -2.00409e-06-0j 0.000148549-0j -0.0027102-0j 0.0254806-0j 0.000816914-0j -0.000224997-0j -0.0174848-0j 0.00283851-0j 0.0264831-0j 0.00258707-0j -0.00177525-0j 0.000243808-0j 0.00268885-0j -1.59452e-06-0j -0.00258496-0j -0.0286972-0j -0.000451699-0j 1.09416e-06-0j 0.000136152-0j -1.65726e-06-0j 0.0026695-0j 0.0531669-0j -0.00291366-0j 0.000473084-0j -0.0160257-0j 0.00539809-0j -0.055684-0j 1.79581e-06-0j -0.000430827-0j -0.00162711-0j -0.00565366-0j 0.0507102-0j -3.32708e-06-0j 1.00286e-06-0j 0.000444917-0j 0.00514866-0j -0.0523686-0j 3.48459e-06-0j -0.00531704-0j -3.17334e-06-0j 3.27712e-06-0j 
