0.995898-0j -0.000661914-0j -0.00054045-0j -7.80073e-05-0j -6.75563e-05-0j -7.96158e-06-0j -3.63395e-07-0j -0.00377128-0j 0.14478-0j -0.000471411-0j -0.000314274-0j -6.80423e-05-0j -7.85684e-05-0j -2.77781e-05-0j -6.54737e-06-0j -6.94453e-06-0j -5.78711e-07-0j -2.15673e-08-0j -0.00246114-0j -0.00248665-0j -0.000383698-0j -0.000387674-0j 0.0721627-0j 0.0729106-0j 0.0104158-0j -0.000271315-0j 0.0105237-0j -0.000274127-0j -4.79622e-05-0j -3.19748e-05-0j -4.84593e-05-0j -3.99685e-06-0j -2.7691e-05-0j -3.23062e-05-0j -4.03827e-06-0j -2.7978e-05-0j -5.6524e-06-0j -2.8262e-06-0j -5.71098e-06-0j -3.33071e-07-0j -4.07927e-07-0j -2.85549e-06-0j -3.36523e-07-0j -4.12154e-07-0j -2.63316e-08-0j -2.66044e-08-0j -8.29367e-10-0j -8.37961e-10-0j 
0.000661914-0j 0.974196-0j 8.72148e-05-0j -0.0011997-0j -0.000514033-0j -0.000184308-0j -1.40599e-05-0j 0.000608588-0j -0.00453717-0j -0.0147148-0j 5.07157e-05-0j 0.202411-0j -0.000597824-0j 4.48268e-06-0j -0.000151569-0j -0.000106802-0j -1.78937e-05-0j -1.00203e-06-0j 0.000397165-0j 0.000401281-0j -0.00291954-0j -0.0029498-0j 4.79622e-05-0j 4.84593e-05-0j -0.000659752-0j -0.00846892-0j -0.000666589-0j -0.00855668-0j 0.0705902-0j -0.000243295-0j 0.0713217-0j 0.0178971-0j 4.46862e-06-0j -0.000245817-0j 0.0180825-0j 4.51492e-06-0j -8.693e-05-0j -2.15045e-05-0j -8.78309e-05-0j -1.02986e-05-0j -9.44337e-06-0j -2.17273e-05-0j -1.04053e-05-0j -9.54123e-06-0j -1.01878e-06-0j -1.02933e-06-0j -4.49774e-08-0j -4.54435e-08-0j 
0.00054045-0j 8.72148e-05-0j 0.98284-0j -0.00148382-0j -0.00171092-0j -0.000100293-0j 4.78815e-08-0j 0.00049691-0j 7.85684e-05-0j -0.00593839-0j -0.0119974-0j 8.96535e-06-0j 0.142881-0j -0.00105709-0j -0.000124541-0j -0.000175877-0j -7.29007e-06-0j 2.84174e-09-0j 0.000324284-0j 0.000327644-0j 5.05566e-05-0j 5.10805e-05-0j -0.00374399-0j -0.00378279-0j 5.6524e-06-0j -0.00516084-0j 5.71098e-06-0j -0.00521433-0j -0.000604184-0j -0.00122064-0j -0.000610445-0j 5.26631e-07-0j 0.101242-0j -0.00123329-0j 5.32089e-07-0j 0.102291-0j 0.0102792-0j -0.00010755-0j 0.0103858-0j -6.33553e-06-0j -1.03311e-05-0j -0.000108665-0j -6.40119e-06-0j -1.04382e-05-0j -3.31701e-07-0j -3.35138e-07-0j 1.09279e-10-0j 1.10411e-10-0j 
-7.80073e-05-0j 0.0011997-0j 0.00148382-0j 0.952085-0j 0.000122444-0j -0.00206275-0j -0.00031715-0j -7.17228e-05-0j 0.00108076-0j -8.96535e-06-0j 0.00173167-0j -0.00575257-0j -0.0205578-0j -5.28289e-07-0j 0.244891-0j -0.000587119-0j -0.000301984-0j -2.8293e-05-0j -4.68063e-05-0j -4.72914e-05-0j 0.00069544-0j 0.000702647-0j -5.6524e-06-0j -5.71098e-06-0j -0.00362683-0j 0.000744904-0j -0.00366441-0j 0.000752623-0j 8.693e-05-0j -0.0167907-0j 8.78309e-05-0j -0.00103554-0j 7.60264e-05-0j -0.0169647-0j -0.00104627-0j 7.68143e-05-0j 0.068988-0j 5.1224e-06-0j 0.0697029-0j 0.0250909-0j -0.000105689-0j 5.17548e-06-0j 0.0253509-0j -0.000106784-0j -2.29807e-05-0j -2.32188e-05-0j -1.52533e-06-0j -1.54113e-06-0j 
-6.75563e-05-0j 0.000514033-0j 0.00171092-0j 0.000122444-0j 0.959012-0j -0.00361563-0j 1.43498e-06-0j -6.21138e-05-0j 0.000463073-0j 0.00149236-0j -5.17615e-06-0j 0.000106802-0j -0.0117277-0j -0.0253537-0j 1.54695e-05-0j 0.199256-0j -0.000351028-0j 1.02269e-07-0j -4.05355e-05-0j -4.09555e-05-0j 0.000297975-0j 0.000301063-0j 0.000940893-0j 0.000950643-0j 6.73357e-05-0j -4.46862e-06-0j 6.80335e-05-0j -4.51492e-06-0j -0.00715922-0j 2.48312e-05-0j -0.00723341-0j 9.44337e-06-0j -0.00833692-0j 2.50885e-05-0j 9.54123e-06-0j -0.00842332-0j -0.00170534-0j 0.121628-0j -0.00172301-0j 1.05109e-06-0j 0.0176181-0j 0.122888-0j 1.06198e-06-0j 0.0178007-0j -1.99857e-05-0j -2.01928e-05-0j 4.59049e-09-0j 4.63806e-09-0j 
7.96158e-06-0j -0.000184308-0j -0.000100293-0j 0.00206275-0j 0.00361563-0j 0.928628-0j -0.00462714-0j 7.32018e-06-0j -0.000166036-0j -8.74808e-05-0j 6.10015e-07-0j 0.00179925-0j 0.00209157-0j -1.55724e-05-0j -0.00798782-0j -0.0352965-0j 0.27884-0j -0.000552124-0j 4.77715e-06-0j 4.82666e-06-0j -0.000106839-0j -0.000107947-0j -5.51542e-05-0j -5.57257e-05-0j 0.00113438-0j 5.26631e-07-0j 0.00114613-0j 5.32089e-07-0j 0.0012768-0j -8.90329e-06-0j 0.00129003-0j -0.00487618-0j -1.03311e-05-0j -8.99555e-06-0j -0.00492671-0j -1.04382e-05-0j -0.0142898-0j 0.000227282-0j -0.0144379-0j -0.00167861-0j 0.0956578-0j 0.000229638-0j -0.001696-0j 0.0966491-0j 0.0320547-0j 0.0323869-0j -3.72725e-05-0j -3.76588e-05-0j 
-3.63395e-07-0j 1.40599e-05-0j -4.78815e-08-0j -0.00031715-0j 1.43498e-06-0j 0.00462714-0j 0.898302-0j -3.34119e-07-0j 1.2666e-05-0j -4.17649e-08-0j -2.78433e-08-0j -0.000276636-0j 1.66889e-06-0j -2.46102e-09-0j 0.00380522-0j -2.8234e-05-0j -0.0317138-0j 0.337863-0j -2.18046e-07-0j -2.20306e-07-0j 8.15022e-06-0j 8.23468e-06-0j -2.63316e-08-0j -2.66044e-08-0j -0.000174411-0j -2.40373e-08-0j -0.000176218-0j -2.42864e-08-0j 1.01878e-06-0j 6.79185e-07-0j 1.02933e-06-0j 0.0023229-0j -2.4533e-09-0j 6.86223e-07-0j 0.00234698-0j -2.47872e-09-0j -2.29807e-05-0j 6.0032e-08-0j -2.32188e-05-0j -0.0182525-0j 0.00023708-0j 6.06541e-08-0j -0.0184417-0j 0.000239537-0j 0.0650909-0j 0.0657654-0j 0.046286-0j 0.0467656-0j 
0.00377128-0j 0.000608588-0j 0.00049691-0j 7.17228e-05-0j 6.21138e-05-0j 7.32018e-06-0j 3.34119e-07-0j -0.0175712-0j 9.49896e-06-0j 7.50959e-06-0j 5.00639e-06-0j 1.08392e-06-0j 1.2516e-06-0j 4.42507e-07-0j 1.043e-07-0j 1.10627e-07-0j 9.21889e-09-0j 3.43568e-10-0j 0.00226287-0j -0.00220709-0j -0.103183-0j 0.10064-0j 0.000273267-0j -0.000266532-0j 3.94427e-05-0j 0.000249458-0j -3.84705e-05-0j -0.000243309-0j 4.40983e-05-0j 2.93989e-05-0j -4.30114e-05-0j 3.67486e-06-0j 2.54602e-05-0j -2.86742e-05-0j -3.58428e-06-0j -2.48326e-05-0j 5.19703e-06-0j 2.59852e-06-0j -5.06894e-06-0j 3.06238e-07-0j 3.75064e-07-0j -2.53447e-06-0j -2.9869e-07-0j -3.65819e-07-0j 2.42102e-08-0j -2.36135e-08-0j 7.62551e-10-0j -7.43756e-10-0j 
0.14478-0j 0.00453717-0j -7.85684e-05-0j 0.00108076-0j 0.000463073-0j 0.000166036-0j 1.2666e-05-0j -9.49896e-06-0j -0.0171943-0j -1.18737e-06-0j -7.9158e-07-0j 1.63331e-05-0j 9.33096e-06-0j -6.99665e-08-0j 2.36572e-06-0j 1.66699e-06-0j 2.79289e-07-0j 1.56399e-08-0j -0.000357791-0j 0.000348972-0j 0.0026301-0j -0.00256528-0j 0.0104907-0j -0.0102322-0j -0.144307-0j -3.94427e-05-0j 0.14075-0j 3.84705e-05-0j 0.000328763-0j 0.000219175-0j -0.00032066-0j 8.33528e-05-0j -4.0256e-06-0j -0.000213773-0j -8.12984e-05-0j 3.92638e-06-0j 7.83119e-05-0j 1.93725e-05-0j -7.63817e-05-0j 9.27757e-06-0j 8.50716e-06-0j -1.88951e-05-0j -9.0489e-06-0j -8.29748e-06-0j 9.17777e-07-0j -8.95156e-07-0j 4.05184e-08-0j -3.95197e-08-0j 
-0.000471411-0j 0.0147148-0j 0.00593839-0j -8.96535e-06-0j 0.00149236-0j 8.74808e-05-0j -4.17649e-08-0j -7.50959e-06-0j -1.18737e-06-0j -0.0173591-0j -6.25799e-07-0j 2.62075e-05-0j 1.49574e-05-0j 1.59753e-05-0j -1.30375e-08-0j 2.65795e-06-0j 1.10172e-07-0j -4.2946e-11-0j -0.000282858-0j 0.000275886-0j -4.40983e-05-0j 4.30114e-05-0j 0.00326572-0j -0.00318522-0j -4.93034e-06-0j 0.00603151-0j 4.80882e-06-0j -0.00588285-0j -0.101937-0j -3.67486e-06-0j 0.0994245-0j 8.88525e-05-0j 0.000611713-0j 3.58428e-06-0j -8.66625e-05-0j -0.000596635-0j 6.21079e-05-0j 9.38114e-05-0j -6.0577e-05-0j -3.82798e-08-0j 9.01138e-06-0j -9.14992e-05-0j 3.73363e-08-0j -8.78927e-06-0j 2.89328e-07-0j -2.82197e-07-0j -9.53189e-11-0j 9.29695e-11-0j 
-0.000314274-0j -5.07157e-05-0j 0.0119974-0j 0.00173167-0j -5.17615e-06-0j -6.10015e-07-0j -2.78433e-08-0j -5.00639e-06-0j -7.9158e-07-0j -6.25799e-07-0j -0.0173892-0j -9.03263e-08-0j 3.02185e-05-0j -3.68756e-08-0j 2.51821e-06-0j -9.21889e-09-0j -7.68241e-10-0j -2.86306e-11-0j -0.000188572-0j 0.000183924-0j -2.93989e-05-0j 2.86742e-05-0j -2.27723e-05-0j 2.2211e-05-0j -3.28689e-06-0j 0.00602289-0j 3.20588e-06-0j -0.00587444-0j -3.67486e-06-0j -0.102114-0j 3.58428e-06-0j -3.06238e-07-0j 0.000614708-0j 0.0995968-0j 2.9869e-07-0j -0.000599557-0j 0.000125477-0j -2.16543e-07-0j -0.000122384-0j 7.39379e-06-0j -3.12553e-08-0j 2.11206e-07-0j -7.21155e-06-0j 3.04849e-08-0j -2.01752e-09-0j 1.96779e-09-0j -6.35459e-11-0j 6.19797e-11-0j 
