0.163603+0.205231j 0.209497+0.0429475j -0.100845+0.047676j -0.0151446+0.0814781j 0.127674-0.0589098j 0.10483-0.0498818j -0.0992146-0.0583846j 0.0135461-0.076468j -0.0181197-0.00827528j -0.0569973-0.0387825j 0.0120748+0.0313682j -0.0449854+0.0811244j 0.0699926+0.0600613j 0.0382178+0.0343745j 0.000216506+0.0263397j 0.0763562-0.113951j -0.013802-0.0231041j 0.0643503-0.141925j 0.11668-0.0659771j 0.017543+0.00658678j -0.0114782+0.024301j -0.00744202-0.0595952j -0.0395138+0.0154977j -0.0842576-0.0210886j -0.0617224+0.0120496j -0.0763106+0.0207174j -0.040906+0.0519145j 0.0061784+0.00274372j 0.0106188+0.00708574j 0.00849612+0.0109184j 0.0462958-0.0394912j -0.0173055-0.0382413j -0.0136047+0.0100171j 0.0943371-0.0110979j 0.0489104-0.141265j 0.111772-0.0353488j 
0.184653-0.0927846j -0.0464334-0.150478j -0.0121361+0.101009j 0.0573922-0.117693j -0.0675528-0.129399j -0.00326463-0.109914j -0.0994713+0.0882451j 0.0200942-0.0523153j -0.055028-0.0104202j -0.0743573+0.0147628j 0.0806701-0.0402082j 0.0750229-0.00369883j 0.0900793-0.0859646j 0.0696605-0.0415012j -0.00675477-0.0559844j -0.0968165-0.0426905j -0.0130032+0.000564932j -0.0968472+0.00483326j -0.00138544-0.115425j 0.034352-0.0355348j 0.0182966-0.0128269j -0.0773778+0.0292187j 0.0169494+0.038683j -0.0415458+0.0587361j 0.00280867+0.048216j -0.0334761+0.059763j 0.0357704+0.0222936j -0.00420464+0.033848j 0.0434651-0.0216396j 0.0150935-0.0261298j -0.000130333-0.031767j -0.0217081+0.0385773j 0.0200944+0.00970442j 0.0675225-0.105759j -0.145482+0.0509661j 0.0639694-0.112855j 
-0.0569646-0.231192j -0.257164+0.20363j 0.0304682+0.184862j 0.0987338+0.0427543j -0.0146538+0.0245313j 0.0191778-0.0475592j 0.0117882-0.038521j 0.0129393+0.020738j 0.0669448+0.0642816j 0.0656868-0.0447712j -0.0347486+0.0221575j -0.00826842-0.0557888j -0.019201+0.0065769j -0.0100327+0.0724982j 0.00868679+0.0257118j 0.0543494+0.0316819j -0.00759644-0.0143564j 0.0160144-0.0262589j 0.033954+0.0316541j -0.00518485-0.00751066j -0.0221516-0.0173418j 0.0178046+0.000371046j -0.00763378-0.0170589j 0.0491453-0.0520314j -0.0241237+0.00841904j -0.00389774-0.0100959j 0.0136861-0.00974416j -0.0018653+0.0291371j 0.0190143+0.000706824j -0.0281294+0.00799482j 0.0270756+0.00168329j 0.0192274-0.01043j 0.00424322-0.0196337j -0.0292367+0.0381109j 0.0557439-0.0311475j -0.0144508+0.046338j 
-0.32112+0.145379j -0.242844-0.712401j 0.163167-0.136148j 0.156802+0.230584j -0.0552508-0.0182948j 0.0375527+0.0932792j -0.055518-0.0254439j -0.013578+0.0038271j 0.0306488+0.00488564j 0.0138761+0.00500115j 0.0478767+0.058904j 4.59982e-05+0.0449481j -0.036127+0.0489194j -0.0287672-0.0241193j -0.0110681+0.0311007j 0.0286459-0.0138617j 0.00974396-0.00571647j 0.0352541-0.0127889j 0.00154623-0.00270317j -0.00780367-0.011078j -0.0225467+0.022297j 0.0253162-0.0177611j -0.0197271-0.0138591j -0.00245779-0.00353798j -0.0187099-0.0102007j 0.00515731-0.0172142j 0.0143943-0.00727334j -0.018889+0.0121379j 0.014062+0.0289449j -0.00625933-0.0115356j 0.0149199+0.0160264j 0.00845672-0.0283001j 0.0250891+0.0167319j -0.00979147-0.000431094j 0.0553858-0.0306428j -0.0190974+0.0114238j 
0.0980911-0.129747j -0.077905+0.165263j -0.10678+0.119579j -0.0437717+0.0649782j 0.0657571+0.0626127j 0.018879-0.017353j -0.0269591-0.040176j -0.0358548-0.00372397j -0.0259217-0.0332221j 0.0215529-0.0784201j 0.00750642+0.0640618j -0.0124504+0.00163333j 0.0122052+0.0240087j 0.0366351+1.48896e-05j 0.0293956+0.0378255j 0.141547-0.0232554j -0.0331024+0.025817j 0.0858987-0.0329467j 0.0124529+0.028927j 0.0395114-0.0132739j 0.00118435-0.00267117j 0.0200669-0.0331255j 0.00245648+0.0263263j -0.0312595-0.0540503j -0.0097279+0.00683392j -0.0101518-0.0417551j -0.0071392-0.0196251j -0.0277521+0.00549296j -0.0157156-0.000442549j 0.0147269-0.0192905j 0.00747425+0.0303213j -0.0173638-0.0180834j -0.0290846+0.00634666j -0.00678647+0.0184229j 0.101602-0.0805827j 0.00608079+0.0113365j 
0.454032-0.239504j -0.0671758-0.0959471j -0.358005+0.0834365j -0.130612+0.0581779j 0.0421307-0.0226176j 0.0547118+0.0177838j 0.0530446-0.0432812j -0.0249526+0.0250702j -0.12667+0.0618205j 0.0133915-0.0302369j -0.0176613+0.0222869j 0.0138763-0.00755671j 0.0174794-0.0206077j 0.0410086-0.0144326j -0.0273142+0.0102733j 0.0106696+0.033269j 0.043746-0.0188489j 0.0266753+0.0757279j -0.0356608+0.0101945j 0.00739436-0.0190035j -0.000156086-0.0153446j 0.0162532-0.00154652j 0.00246028-0.0354188j 0.0307923+0.0255841j -0.0171154-0.0232255j 0.0279434-0.024123j 0.0222634-0.00339935j -0.00141727-0.0139138j -0.00414365+0.00478447j 0.00280242+0.00903428j -0.0303389+0.0394067j -0.0107865+0.00952134j -0.0176333+0.0253679j -0.0228209+0.00224525j 0.00812322+0.0481132j -0.0380124+0.00467378j 
-0.0549339-0.147104j -0.298029-0.0583811j 0.0692423+0.208444j 0.150239+0.111538j 0.047845+0.013102j 0.0115573-0.0385003j -0.0748807+0.0264908j 0.0304438-0.00542937j -0.0441888+0.0188319j 0.00345647+0.00658791j 0.0797333-0.0391515j 0.0361369-0.0435901j 0.0548829-0.0326068j -0.00531827+0.0376448j 0.0326709-0.0177952j 0.0115264-0.0857023j 0.00715802+0.0159348j 0.0232208-0.114258j 0.0213774-0.0216728j -0.0344694-0.0430181j 0.0234671+0.0323303j -0.038632-0.0260178j -0.0405017+0.021094j -0.0310186+0.0318574j -0.022748+0.0210183j -0.0683768+0.00678022j -0.0221254+0.0190257j 0.0184932-0.0139836j 0.00181144-0.0326303j -0.000227376-0.0329069j 0.0443351-0.0213624j -0.0228441+0.0308608j 0.00841643+0.00120014j 0.0280801-0.0144578j 0.00210621-0.0641959j 0.0642675-0.0499881j 
-0.235315-0.0610313j -0.0618544+0.14955j 0.150969+0.0192695j 0.0732196-0.0617091j 0.0824554-0.134539j 0.0706728+0.0384533j -0.0765153-0.00390506j 0.024987+0.00212508j 0.0472244-0.010658j -0.0142529-0.0323343j 0.0320107-0.0279752j 0.0345119+0.0183592j 0.0554988-0.0319652j 0.0202395-0.0106203j -0.0360333-0.0835408j 0.0132304-0.0251538j -0.00406804+0.00700738j -0.01148+0.0484674j 0.0347807+0.0158966j -0.0190433+0.00193712j -0.00985339-0.00619738j -0.0431986+0.00638499j 0.00200257-0.000754127j -0.0259547+0.030234j -0.0333116+0.0267991j -0.0321853+0.0490781j -0.000422727-0.0132559j 0.0110508-0.0124964j -0.00939499-0.00879278j -0.00315935+0.0293727j 0.0094883-0.0120221j -0.0125862-0.00513502j 0.0180235+0.0136714j 0.0205553-0.0463074j -0.0252229+0.0124834j 0.0126626-0.0780673j 
-0.0339235-0.109408j 0.0512032+0.123124j -0.169332-0.0020439j 0.0577657-0.0782269j -0.332131-0.190622j 0.110979-0.148958j 0.0710486+0.0352158j 0.095746+0.133917j 0.046113+0.00523511j -0.102174+0.0155872j 0.113592+0.0360253j 0.0678296+0.0276933j 0.0010701+0.0130185j -0.0422235+0.0110189j -0.0671262+0.062255j -0.150698-0.0701674j 0.0129766+0.0159286j -0.0118708+0.0553982j 0.0295315+0.0474644j 0.00853193-0.0111208j 0.00463954-0.00260454j -0.0391574+0.0212804j -0.00839642-0.000505286j -0.0105834+0.0132668j -0.00499873+0.0266634j -0.00240043-0.0136369j -0.0294829-0.0292171j 0.00231226-0.00398925j 0.00569581+0.0183551j 0.0270618+0.0168495j -0.00155971+0.036914j -0.00983027+0.0064979j 0.0664933+0.0261609j 0.0169843-0.000789412j -0.031966+0.04287j -0.0350886+0.032624j 
0.00627273+0.104714j -0.0611447-0.0386177j 0.0756691+0.115668j 0.0138626-0.0938782j -0.0523315+0.383647j -0.173004-0.145506j -0.112732-0.0999799j -0.00311458-0.114871j -0.0683147-0.0743802j 0.00150609+0.0744763j 0.0211063-0.0814122j 0.0198651-0.000275421j 0.0123521-0.0652535j 0.0524524+0.0268656j 0.0721967+0.0766908j -0.063183-0.0680716j -0.0173862-0.0174753j -0.0373443+0.0141524j -0.0192224-0.0281953j 0.00700347+0.0191779j 0.00326368-0.00958873j -0.0459165+0.0280245j 0.0238511-0.00335575j 0.0248983+0.0322436j 0.00310249-0.0101158j 0.0314147+0.0228524j 0.00711053-0.0193997j 0.00289928+0.0165868j 0.00889613-0.0336613j -0.0020638-0.0179189j -0.0312472+0.0049364j -0.0111605+0.035507j 1.07182e-06-0.00636038j -0.0151378-0.000748773j -0.0466219+0.0266205j -0.0172434-0.0303908j 
-0.033993-0.0153343j -0.0526536+0.071494j -0.0983862+0.0286678j 0.0268919+0.163762j 0.160404-0.0246333j 0.121867+0.16717j 0.209557-0.128244j -0.0202423-0.0869435j 0.0441076+0.0257308j -0.0386555+0.105209j -0.0141935-0.092592j -0.0115505-0.0165995j -0.0570333-0.0480417j 0.031284+0.0618805j -0.0324264-0.073241j -0.0985089+0.0381863j 0.0487553+0.0143716j -0.086685-0.0260349j 0.0131945-0.0210936j -0.0555655+0.0925935j 0.019415-0.0276042j 0.00867744-0.0248762j 0.00250697+0.0267861j -0.0345577+0.0513192j -0.0182717-0.00699439j -0.0251006+0.0320042j -0.0210312+0.00168456j 0.0057547-0.00860941j -0.0126925+0.01539j 0.0259984+0.0192062j 0.00880778-0.0548624j 0.032855-0.0397834j 0.0868248-0.0164019j 0.0447773-0.0213481j -0.0800461-0.00793981j 0.0106047+0.00155007j 
