-0.0160212-0.0514144j 0.00823468-0.0164316j -0.0175616-0.0135008j 0.00920329-0.0384428j 0.0121435+0.0359899j -0.00710669+0.00215639j 0.0388141-0.038233j -0.00893231-0.0253611j -0.0117462+0.00715091j -0.00631321+0.0434004j -0.0443189-0.00701745j 0.025279-0.0445477j -0.00161065-0.0370259j 0.0256227-0.00296883j -0.0296052+0.0344645j 0.00809202+0.0158706j 0.00868371-0.021696j 0.0125875+0.014319j 0.028206-0.0192965j -0.0385771+0.00608605j 0.033463-0.0288052j -0.00169482+0.0211839j -0.00107006+0.0386434j -0.0168524-0.00802893j 0.0208106-0.00848504j -0.000542243+0.0027744j -0.0414608+0.0175266j 0.0192041-0.00804331j -0.0298276+0.0288276j 0.00129487+0.00876966j 0.00727681+0.00626303j -0.0232996+0.0109487j -0.0182196+0.0100122j 0.0295519-0.0285563j 0.027705-0.0154811j -0.0202891-0.0143657j 0.0185608-0.0258044j 0.00650698-0.0201945j -0.00162552-0.00239305j -0.00420586+0.0112426j -0.0100594+0.00831339j -0.00439687-0.0074341j 0.00736557+0.0252778j -0.00401307-0.00076623j 0.024962-0.0129647j 0.0249794-0.00519079j -0.0127545+0.0201129j 0.0111827+0.0175985j -0.0090536+0.0111801j -0.011266+0.0106053j 0.0119566+0.00513826j 0.0138582-0.0185784j 0.0154094-0.0136095j -0.0224271-0.016784j 0.0197428-0.00517793j -0.00607435+0.00960378j 0.0109695-0.0316386j 0.00590875-0.0366383j -0.037698+0.0362296j -0.0331653+0.015926j 0.00193452+0.0178158j -0.0156373-0.000434996j 0.00586226+0.00887219j -0.0147451+0.0144846j 0.00508148-0.0421031j -0.0417142+0.0632408j 0.0126639+0.00903133j -0.00722624-0.0251207j 0.0177829-0.0623784j -0.0248-0.0747622j 0.0197388-0.0398472j -0.0698506+0.089348j 0.0860603-0.0812969j -0.0379826+0.0464058j 0.0640084+0.00488988j -0.0159678+0.0773129j 0.055395+0.0104348j -0.107093+0.113983j 0.1471-0.170725j 0.127961+0.0357915j 0.00960093+0.075631j 0.208435-0.15744j 0.0314942-0.0838528j -0.0880173+0.0430543j -0.0219771+0.000115872j 0.046778-0.0624204j 0.0328093-0.0656321j 0.0242407-0.020121j -0.0149541+0.171281j -0.149879+0.0613117j 0.0867468-0.144466j 0.0965912-0.0584918j 
0.00882954-0.0235741j 0.00637891+0.0601215j 0.0110135-0.0345539j 0.0294351+0.0180363j -0.00197213+0.0209193j -0.0200577+0.0531841j 0.0021836+0.0286974j 0.00941337-0.0069318j -0.0176918+0.0283571j 0.00041778-0.0146823j 0.043863-0.0778465j 0.00863492+0.00252034j 0.0269796+0.00475155j 0.0107382+0.0265054j 0.00197252-0.0470061j -0.0243943+0.00413975j 0.0161964+0.0118709j -0.0290003+0.0216334j -0.0168009+0.012779j 0.00850977-0.0464858j 0.0330924-0.0072044j -0.0122751-0.00973851j -0.0210001-0.00328337j 0.00856605-0.0103079j -0.0170404+0.0198405j 0.000363385+0.0402854j 0.000290293-0.0381012j 0.0106087+0.000904448j -0.00912485+0.012154j 0.0223498-0.0228502j -0.0130867+0.0123525j -0.00083813-0.0139104j -0.0173452+0.00179706j -0.0206418+0.0267078j 0.014701+0.0228222j -0.0101573-0.0199779j 0.000755652-0.0172568j 0.000933803+0.0325159j 0.0224117-0.00930384j 0.0142592-3.62582e-05j -0.0115394-0.0230837j -0.00764164+0.00651472j -1.72353e-05-0.0152139j 0.0019382-0.00334037j -0.00208724-0.0281391j -0.00831559+0.0083752j -0.0125023+0.0123963j 0.0208688+0.0167118j 0.014581-0.000698472j -0.010012-0.010854j -0.00889266+0.0102694j 0.01392+0.0309447j -0.0127081-0.0202124j -0.00708955+0.00518397j 0.00394141+0.0331431j 0.00623228+0.0054395j 0.00744798-0.00207496j 0.0198422+0.025465j -0.00548966+0.00481944j 0.0247328+0.0264618j -0.00532801+0.00919142j 0.0283914+0.0392997j -0.00330565-0.0116468j 0.00192577+0.061677j 0.0165508+0.0459363j 0.0420712+0.0150715j 0.0472832-0.0362609j 0.0320313+0.00827426j -0.0203525-0.00998488j -0.0656378+0.0690347j -0.0219862-0.0199432j 0.0712912+0.0348578j 0.0210365-0.0702071j 0.0297593+0.0170459j 0.0631473-0.128565j 0.0813583-0.0150444j 0.0816379-0.0868546j 0.0207807+0.0440812j -0.144844+0.0325935j 0.198924-0.192657j 0.114864-0.101937j 0.0179142-0.143314j -0.131707+0.107528j -0.0671144+0.0582722j 0.0166584+0.0191129j -0.0225793+0.0243475j 0.0314859-0.00438368j 0.0487612-0.0858003j 0.14638-0.0558955j -0.0260779+0.191599j -0.0810804+0.0585314j 0.0986308-0.153647j 
0.0432949+0.0196771j -0.0217116-0.00809105j 0.00645287-0.00125324j 0.00631144-0.0246964j -0.00478191-0.0315372j -0.0268582-0.0228041j 0.000564123+0.00028085j 0.0105864-0.013962j -0.0316569-0.023944j -0.00660468-0.00738449j 0.0545673+0.0208901j -0.00327038+0.0197444j 0.0313284+0.00433394j -0.0402104-0.0120293j -0.0197882+0.0120896j -0.0199668-0.0167743j 0.00431562-0.00159868j 0.0185342+0.0104446j -0.0175236+0.0247925j -0.00687752+0.0232147j 0.0253827+0.0151331j -0.0283065+0.00866343j 0.00506094+0.0393601j 0.0272437+0.014792j -0.0104346-0.0311505j 0.0244513+0.0158788j -0.00746125-0.0252172j -0.024302-0.0178811j -0.00982144-0.0111453j -0.0389975+0.00238586j 0.0263736-0.000359969j -0.0042134+0.0085703j -0.0204757-0.00277729j 0.00470185-0.0135473j -0.00989432+0.000564383j 0.0131398+0.0192513j 0.0246602+0.00611875j -0.023806+0.0207097j 0.0253835-0.0315886j -0.0194865-0.00091113j 0.00802806-0.0220868j 0.0178111+0.0117407j -0.016709-0.00260116j 0.0164777-0.0202125j -0.00471538-0.00229568j -0.00636788-0.0155665j 0.00976173+0.0238414j -0.0400615+0.0523735j 0.00238959-0.0117092j 0.0111624+0.0220239j -0.021356-0.0182407j 0.0285812-0.0460269j -0.0240476+0.00453877j 0.0081395-0.000799302j 0.00732615-0.00364609j 0.0528187-0.0114813j 0.0317662+0.00959921j 0.0205366-0.0118536j -0.0359417+0.019414j 0.00917265+0.000371258j 0.0235766-0.0134235j 0.0157096-0.0438047j -0.0206391+0.0412911j -0.00690696+0.0141044j 0.0296066+0.00952267j -0.0167727-0.0394409j 0.0212817-0.0584563j 0.0556089+0.0167389j 0.0375762+0.0107646j 0.0664805-0.0929292j -0.0408283-0.0581603j 0.0297143+0.0410987j -0.0584835+0.0355306j 0.000929034-0.0176371j -0.0993452+0.0160382j -0.0511649+0.0645427j -0.0117429+0.0383865j -0.0190035-0.0370538j 0.098495+0.0802528j -0.0197532+0.0662719j -0.0224996+0.0426722j 0.0451032+0.124538j 0.0259592+0.0153828j -0.0452933+0.0102133j 0.0349577-0.0903284j 0.00820605+0.0771067j 0.0856295+0.0483487j -0.0406139+0.106404j -0.0689631+0.0695475j 0.0463537-0.00320607j 0.0797495+0.0590366j 0.0394072+0.0731238j 
0.0254648+0.00670231j 0.037151+0.023863j -0.0123521-0.00171768j 0.015477-0.00262537j -0.000853217-0.0198959j -0.0145992+0.0309533j 0.0401728-0.00832102j -0.0467882-0.0109648j -0.0216699+0.0260644j -0.0110756-0.0421253j -0.0260271-0.000438469j 0.0515493+0.0397637j 0.0464218-0.00092024j 0.0271211+0.0218667j 0.0376159+0.0193588j -0.0262115-0.00674147j 0.0205124+0.0252787j 0.0302079+0.0152402j 0.0285088+0.0267137j -0.0212836-0.015017j 0.00477985-0.0186439j -0.00963328-0.0018242j 0.0199463-0.0276927j 0.01786+0.0390125j -0.0109694+0.0062528j 0.0406629-0.0189481j -0.0456747-0.0315834j -0.00276494+0.021879j -0.00133624+0.0372153j -0.00963007+0.00107162j 0.00153473-0.01138j -0.0337933+0.00971072j 0.016415+0.0718867j -0.00588478-0.0108447j 0.018674-0.00862762j -0.00465132+0.00343075j -0.00271985+0.0183471j 0.0354776+0.052853j -0.0165694-0.0155129j -0.0011707-0.00918058j 0.00567758+0.00397132j 0.0265086+0.0195228j -0.0120989-0.00642946j -0.00109061-0.0216512j -0.0203452-0.00360481j -0.0186072-0.0228221j 0.06954-0.00409062j 0.022729-0.0167931j -0.029925-0.0123551j -0.0158585-0.0129002j 0.0142391+0.0204326j 0.0391386-0.00013312j 0.00301177+0.0131129j -0.0385912+0.0184774j 0.0488437-0.0219209j 0.0088787+0.0213176j -0.00542679+0.0115782j 0.0197882+0.0414921j -0.00812826-0.0177018j -0.0197747+0.0664324j -0.0154024+0.000420218j -0.000229983+0.0224207j 0.00486839+0.00823107j -0.0101113+0.0275291j -0.00734728+0.0537379j -0.0362744+0.00709712j -0.030066+0.00126956j -0.0244488-0.0517759j -0.0726245-0.0177133j -0.0578753+0.0129964j -0.0497494+0.0671938j 0.0733008-0.0642889j -0.0474296+0.122948j -0.0183119-0.032735j -0.0446612+0.0495946j 0.0458657+0.00965253j -0.0322059-0.0114935j 0.0447745-0.0226216j -0.0163217+0.0601062j -0.0852014-0.100572j -0.0546399-0.0407887j -0.0206329+0.064451j 0.0452883+0.0186905j 0.00681427+0.0654677j -0.0426223+0.0919322j -0.0300866+0.119701j -0.00579963-0.00400171j -0.124945-0.0481807j 0.0650632-0.0322041j 0.0139363-0.0870793j 0.0356881+0.0511587j -0.0949408-0.0517995j 
-0.00843611-0.00429806j -0.0224066-0.000609204j -0.0129406-0.0201719j -0.0311204-0.0439744j 0.00195464-0.0307358j -0.0165347-0.0110846j -0.0208454+0.00312707j -0.00586521-0.00913319j 0.010753+0.00072618j 0.00725392+0.00568807j 0.0248333-0.0152546j -0.0205249+0.0193687j -0.0311368-0.0155488j -0.01864+0.00563254j 0.00687769+0.0168961j 0.00951057+0.0133585j -0.00477025-0.0373663j 0.0338866+0.00240809j -0.00422616+0.0260347j 0.000614435-0.0345722j 0.00632416-0.0108518j -0.00159355+0.00895057j 0.021746+0.0338253j 0.00960304+0.0595513j -0.0258277-0.0493613j 0.0127032-0.0260861j 0.0166068-0.0144575j -0.0232957-0.0150889j 0.00726252+0.0640695j -0.0186093+0.00909747j -0.00490208-0.0115993j 0.0444285-0.0213293j 0.0331438+0.0355402j -0.0186728-0.0249036j -0.0370037+0.0174889j 0.0275238-0.00478322j 0.00710082+0.0195272j -0.0293189+0.0199642j -0.0391474-0.0293416j -0.020197-0.0105945j -0.00783554+0.0265347j -0.0100422-0.0151496j 0.00799343+0.00260637j -0.0139271-0.0206713j -0.0522823+0.0256836j -0.0437212+0.0623865j -0.0183005-0.0281265j -0.00529277-0.00115005j 0.0142925-0.0376099j 0.00412573+0.00785346j -0.0250695+0.0277753j -0.0365783+0.000202913j -0.0161294+0.0063169j 0.0456471-0.0597478j -0.0115614+0.00198776j -0.0154344+0.0196407j -0.00337688-0.00526898j -0.0121777+0.0161963j 0.0529538-0.0249592j 0.0252875-0.00285259j 0.0239949-0.010873j 0.0152803-0.0166845j 0.00629054-0.000513808j 0.0504476-0.0586268j 0.0938445-0.110897j -0.0182842-0.0666849j -0.00942492+0.0463515j 0.0547968-0.0580051j 0.112914-0.102761j 0.00306856-0.0682469j -0.0345735+0.00873608j 0.0228427-0.0660153j 0.0349906-0.148645j -0.00776995-0.0376089j -0.0373279+0.0327812j 0.059401-0.048065j 0.0663562-0.0737742j -0.0326215+0.0492319j -0.0513129+0.062792j 0.033869+0.084667j 0.0210851-0.00396298j -0.00150635+0.095963j -0.0147849-0.0928105j 0.0244781-0.0150685j 0.0136917-0.072j 0.0324138-0.0684209j 0.0755358-0.0517697j 0.0842675-0.112189j 0.0208624-0.0278409j -0.00113339-0.0869049j -0.0368607-0.0254525j 0.0431861+0.0638805j 
0.00772555-0.0185403j 0.0205662+0.00762752j -0.0423919-0.0224603j 0.012925+0.0159229j 0.00603953+0.0389226j -0.0122701-0.0466941j 0.00775829+0.0151331j -0.00332445-0.0398487j -0.0316344+0.000680466j -0.00945541+0.0125732j -0.0330135-0.010772j 0.0153643-0.00217479j 0.0384409-0.0207874j 0.00700875+0.0277352j 0.0142807+0.0313676j -0.00566154-0.026574j 0.0414221+0.011516j 0.0394999+0.0553891j 0.0458981-0.0424542j -0.0146997-0.0112348j 0.0122005+0.0596178j -0.0191171-0.0185768j -0.0016247+0.00427446j -0.0235214+0.0164536j -0.0239715-0.00609573j -0.000699006+0.0543399j 0.0166158+0.0037922j -0.0100447-0.0297075j 0.0292177-0.0122373j -0.00630253+0.00936145j 0.0438571-0.00903763j -0.00927091-0.0496469j 0.0343427-0.0170671j 0.00708286-0.0590005j -0.0293264+0.0332248j 0.00776452-0.030338j 0.0221603+0.0278863j -0.0106671-0.0553985j -0.00204331-0.0118224j -0.0170382-0.0134993j -0.00132723+0.0214429j -0.0123306+0.0058794j 0.0131851+0.0296024j 0.00327255+0.057688j -0.0472629+0.0116537j 0.0412009-0.0226994j -0.0064732+0.0682849j 0.0532795-0.0169534j 0.0176927-0.0945546j 0.0156534-0.056084j 0.0319467+0.0245252j 0.0110642+0.0550872j 0.0240772-0.00976616j -0.0297941-0.00807983j 0.0172205+0.0914527j -0.0332587+0.032158j -0.0547514-0.028849j -0.0790498+0.0365342j 0.0356819-0.0212447j -0.0899025-0.0223125j -0.0414334+0.0881892j -0.0864936+0.0782439j -0.0326006-0.0109086j -0.0491767-0.0937787j -0.106381+0.10908j 0.0111378-0.0176359j 0.0118222+0.182009j 0.00511615-0.0788778j 0.0423714-0.120585j 0.018066+0.0202383j 0.00575855+0.0583591j -0.0377491+0.056696j -0.127216+0.0680868j 0.00507011-0.08955j 0.0110087+0.0335137j -0.0965977+0.0267008j -0.025512+0.0104573j 0.0277219+0.0840696j -0.0121654-0.0974199j -0.0232491+0.0460597j -0.0148683-0.0350402j -0.00457354-0.0493419j 0.0528784-0.0771624j 0.0202291+0.0129254j -0.0288896+0.0987222j -0.118452+0.00266644j -0.0389243+0.0537189j -0.0158004-0.11964j -0.0291618+0.103508j -0.0363145-0.0649578j -0.0181965-0.0811539j -0.0620063-0.0328341j 
-0.0507952+0.00660109j 0.0211345-0.00869428j -0.00723868+0.0026289j -0.0301821-0.00837991j -0.00834436-0.0243017j 0.0310575-0.0130862j -0.0274637+0.0184505j 0.0161035+0.0175019j 0.0565551+0.00421319j -0.024622+0.0186415j -0.06167-0.00098695j -0.0378504+0.0126129j -0.0383823+0.0252525j 0.043616-1.78607e-05j -0.0548548+0.00425255j 0.0202358-0.0016595j -0.0319491-0.0418168j -0.00769766-0.0150675j -0.0165601+0.0156785j 0.0106207-0.00370708j -0.0233102+9.79268e-06j 0.0416932-0.00591758j 0.0323224+0.0178595j -0.035689-0.0169344j 0.00927181-0.00894603j 0.00644742-0.0247417j 0.0294938+0.000725923j -0.000691968+0.0205178j 0.0084811-0.0182553j 0.00806479+0.0243339j 0.00177376-0.0543721j 0.0431303-0.00387514j 0.00755665-0.00674509j 0.045337+0.0271874j 0.00654179+0.0262952j -0.0201433+0.0051417j -0.0308641+0.00537148j -0.026215+0.0281494j -0.0469381-0.0347723j -0.011562+0.0138122j -0.102251-0.00228016j -0.0110395-0.0113465j -0.0103917+0.0214792j -0.0129547-0.0528117j -0.00606436+0.00413607j -0.0565593+0.0376124j 0.0135285-0.00634784j -0.041107+0.0545581j 0.0359668+0.0394011j 0.012378+0.000122552j -0.050823-0.0316147j -0.0688715+0.016785j -0.0385039-0.022836j 0.0812616-0.091228j 0.00558058+0.00832549j -0.0592968-0.0711889j 0.00361707+0.00250838j -0.0161609+0.0299085j 0.0270464+0.0412721j 0.0579052-0.0611575j -0.0506995+0.00443224j -0.0757726+0.05146j 0.059648-0.00782564j 0.0625829-6.34113e-05j 0.00696317-0.0882685j -0.0997444-0.0167722j -0.0780315-0.0896955j 0.120437-0.0340174j 0.100893-0.000405946j -0.0421956+0.0182894j -0.0573533-0.0239886j 0.0522842-0.0637394j -0.0247392-0.0770917j 0.00633692-0.00203756j -0.0455108-0.0412103j 0.0105371-0.0115555j 0.0194305-0.0327145j -0.0547913-0.00954025j -0.0568692+0.0338465j 0.0194169+0.0971841j 0.0264379+0.0144827j -0.0438413-0.0672978j -0.0374774+0.0225501j 0.072831-0.0834068j -0.109916-0.0512021j -0.010162+0.0172581j 0.0272808-0.0422006j 0.111365+0.00438012j -0.020999-0.0313835j 0.0937149+0.00973522j -0.0798073-0.00583538j 0.0197144+0.0441275j 
-0.00928794+0.011342j -0.0363341+0.009858j -0.00439024-0.00304157j 0.022895-0.00144667j 0.0388354+0.00177568j -0.0173519-0.00604615j -0.0244002+0.00837564j 0.00146195+0.0228493j 0.0113987-0.0226177j 0.033727-0.0187967j 0.0479579-0.0130158j -0.00891672+0.0102244j -0.0535759+0.0203926j -0.0186066-0.00122135j -0.0195569-0.0373034j 0.00380352+0.0199748j 0.0414201+0.011335j 0.0212079-0.00398453j -0.0371773-0.0279658j -0.00276199-0.0460423j 0.0347426-0.004552j -0.0318284+0.00434098j -0.0218303+0.0021461j -0.0123019-0.0168307j 0.0306853-0.00312683j -0.0133682+0.0222391j -0.0256295-0.00312332j -0.0332827-0.0138177j -0.000394728-0.0086465j 0.00922425+0.0147205j -0.0137006+0.0233955j -0.0112549+0.00193081j -0.0224168-0.037971j -0.0206371-0.000140303j -0.00125351-0.00673686j 0.0164043+0.0166889j 0.0232254-0.0538995j -0.010017-0.00285057j 0.0182385+0.00673066j 0.02463+0.00273818j 0.0252534-0.0545337j -0.0137954+0.0099257j 0.0299517-0.000645846j 0.00516803+0.0209717j 0.000497552-0.00391829j -0.049231+0.00712712j 0.0285448-0.0923865j -0.0175649+0.02639j 0.00237497-0.0167213j -0.00458629+0.0109085j -0.0188736+0.049988j -0.00750385-0.0492635j -0.00518779+0.00319424j -0.00308695+0.0483094j -0.0203836-0.00764448j 0.0410825+0.0258805j 0.0219263+0.00630485j 0.00394886-0.0341518j -0.0116377+0.0457748j 0.01983+0.028515j 0.108845+0.0327625j 0.0522533-0.0449453j 0.00827209+0.0134723j 0.0456552+0.12012j 0.0753708+0.162947j 0.111632+0.083733j 0.0244236+0.0164609j -0.0732977+0.0722181j -0.05004+0.0521262j 0.05865-0.0118325j -0.00537507-0.0275621j -0.0260102+0.114128j 0.0279195+0.113187j 0.00267586+0.0426684j -0.0654338-0.0101715j 0.0650086+0.129689j 0.0273639+0.0875191j -0.0293207+0.0514246j 0.0496841+0.0529753j 0.0455082+0.00451265j 0.0881442+0.0431335j 0.0344557+0.0153779j -0.0124304+0.0858225j -0.0167694+0.0275123j 0.047533+0.0228401j 0.0340368+0.0573223j 0.027794+0.0412293j -0.0553261+0.0892817j 0.0299737+0.0692779j 0.0265693+0.0838939j 0.024391+0.0461642j 0.0587825-0.013354j 
-0.0250935+0.0211325j 0.0131823-0.0126246j 0.0175514+0.0297315j -0.000336639+0.00434921j 0.00868497-0.00166269j 0.0103706-0.0167203j -0.0353147-0.0312919j 0.00946884+0.0189077j 0.0426929+0.0202118j -0.0227002-0.0456143j -0.0076245+0.0473112j 0.00391352+0.0302868j -0.0138425+0.0082565j 0.0395194-0.016156j -0.0419274+0.00764639j 0.00681765+0.0122795j 0.00106953+0.0287068j -0.0282418+0.0124739j -0.042377-0.0559342j 0.00938658-0.0249866j -0.0170849-0.0293102j -0.00883418+0.0127715j 0.00278887-0.0314634j -0.0429574+0.0268461j 0.0413816+0.0386197j -0.0200243-0.0116976j -0.0142991+0.00909116j -0.0115698-0.00197926j -0.0194301-0.000565862j 0.0381122+0.0480258j 0.00306375-0.00881691j -0.0357054-0.00646686j -0.0220298+0.05539j 0.0280949-0.0289227j 0.0242078-0.044469j 0.00441319+0.0375913j -0.00378745+0.0205493j 0.024568-0.00103159j 0.0233034-0.0324656j 0.0353455-0.0340251j -0.0347682-0.0413749j 0.0225393+0.0142246j -0.0381374+0.0414716j -0.00782382+0.022597j -0.0313732-0.00392104j -0.0310895-0.0336024j 0.111357-0.0146184j -0.00984738+0.0278575j 0.041469-0.0343715j -0.025266-0.00683886j -0.00424319+0.0324015j 0.02658-0.0182j 0.0296276-0.0268652j 0.0240266+0.0476349j 0.00601597-0.0322548j -0.0170961+0.128843j 0.0429975+0.0431638j 0.0766508-0.0047177j -0.0411003-0.0230377j 0.0126548+0.0959057j -0.107245+0.0615142j 0.0138743-0.15041j -0.0683308+0.070966j 0.0584104-0.0315075j 0.0563485+0.0176051j -0.00402384+0.0290537j 0.00166541+0.0916336j 0.117083-0.0103971j 0.0818052-0.0431511j -0.0175205+0.0396187j -0.0310963+0.00875363j 0.00373711+0.0264715j 0.0852557-0.0399077j 0.0492151-0.00654457j 0.0527424-0.127829j 0.0485761+0.00381681j 0.0757032+0.0062798j -0.0462856+0.00160628j -0.132+0.162225j 0.126262-0.0301296j 0.0457851+0.00114971j 0.0581002+0.129787j -0.0497307+0.00710177j -0.075792+0.0594473j 0.0324557+0.0393161j 0.0229903+0.00319896j 0.0108134+0.0521086j 0.113395-0.0707395j 0.00396267-0.0678292j 0.0054064+0.0326176j -0.0525762+0.0714283j 0.0572716+0.0370226j 
-0.00268503-0.00664005j 0.00236873-0.00608246j -0.0193617-0.00857707j -0.0194954-0.0133904j 0.0285555+0.0134253j 0.00482964+0.0120089j -0.00759761-0.0154679j -0.0378073-0.0377807j -0.0265286-0.0456858j 0.00175836-0.0312641j 0.0175259+0.016341j -0.00434997+0.0144009j -0.00367122-0.0404782j 0.000887823+0.0191788j 0.0202996+0.0219841j 0.0016705-0.00985041j 0.00638839+0.0718037j 0.0316024+0.0382122j 0.0173442+0.0391466j -0.0162943-0.00886275j -0.0121171-0.0153419j -0.0167146+0.0149377j 0.00976527+0.0114073j -0.00701016+0.00920521j -0.009951-0.00786078j 0.0206236-0.00353492j -0.0320366-0.00383738j -0.0170514+0.0468526j 0.0130394+0.0155837j -0.0256742-0.0226901j 0.0300086+0.0599899j 0.0251363+0.0208607j 0.0321602+0.0422416j -0.06223-0.0344571j -0.047943-0.0290648j 0.0271353+0.0125271j 0.00808766+0.0703152j -0.00214884+0.0294235j 0.033464+0.00313427j 0.0151706+0.0275421j 0.0717199-0.0312483j 0.0539282-0.0542986j -0.00995857+0.062314j 0.00314846+0.0185724j -0.00573134+0.0247368j -0.0157493+0.00121074j 0.104727-0.00138046j -0.0289682-0.0318429j -0.0134173+0.00218637j 0.054772-0.0257419j 0.00484109-0.020711j -0.0176996+0.05368j 0.0577919-0.0288634j -0.0626464+0.0385224j -0.0324891+0.0292629j 0.138172-0.0383191j 0.0685007-0.0265055j -0.00515703-0.0384421j -0.0650653-0.0181792j 0.0278875-0.0512044j 0.0137598+0.157893j 0.0290727-0.202986j -0.0307086+0.110034j -0.015316-0.0462387j -0.0118281-0.0292847j 0.0867472+0.0339999j 0.0650052+0.0180817j 0.0525521-0.152198j -0.0293637-0.0750566j 0.00583537-0.00670428j -0.0254204+0.0427364j 0.074933-0.118929j 0.0939333-0.0789576j 0.0367081-0.152443j 0.0960118+0.00762737j 0.0948089-0.121221j 0.0645157-0.0194305j 0.128406-0.0639497j -0.142676+0.0513448j -0.068232+0.205523j 0.0597822+0.113603j -0.00166529+0.106152j -0.117093-0.00265769j 0.00835268+0.0384065j 0.0525314-0.000820817j -0.011106-0.0180232j -0.0312607+0.0648669j 0.0266407-0.0618328j 0.0938785-0.0386326j -0.0232986-0.129014j -0.0424637-0.0334039j -0.0263485+0.0736731j 
0.0103882-0.01763j 0.0192324+0.0103592j -0.0174868+0.00558593j 0.0579439+0.006119j 0.0328184+0.0167681j 0.0251515+0.00508307j 0.0179077+0.0229637j -0.0105973-0.0220213j -0.0309789-0.019908j 0.0154011+0.0342349j 0.00395522+0.0159897j 0.0162837+0.0110807j 0.0246819-0.00842978j -0.000279322+0.0248046j -0.0159225+0.0268944j -0.0375774+0.00319436j 0.0902381+0.0211149j 0.0269922-0.0376316j 0.0117983-0.0135489j -0.00274162+0.00693365j 0.00217787-0.0183342j -0.000992131-0.00478897j -0.0571714-0.0153485j -0.0294044-0.0312284j 0.0409627-0.0107393j 0.0173213+0.00665996j -0.0096461+0.00523785j 0.0229843+0.0180334j 0.0398424-0.0428182j -0.0327224+0.0159248j 0.00935156-0.0693635j 0.0291687-0.00903851j -0.0364215-0.0555015j 0.0196449+0.0151938j -0.0045329+0.0122049j -0.0263969+0.0362221j 0.00224285-0.0164716j -0.0473479+0.0477047j 0.0722354+0.0563663j -0.00958614+0.0731195j -0.0408586+0.0211711j -0.0201843-0.015131j 0.0453824+0.00891602j 0.0295313+0.0343679j 0.0656641-0.00670697j 0.00085803+0.0264322j 0.131388-0.074291j 0.0573307+0.0541414j 0.0268782+0.0357866j -0.00806035-0.0292932j -0.0397405-0.0339551j -0.0385772+0.0466381j -0.00771674+0.0526007j 0.0618448+0.0109261j -0.0520413-0.0318264j -0.00271691-0.137729j 0.0134977+0.0317029j -0.0725442+0.0630721j 0.0189728-0.00480644j 0.0618078-0.0924758j 0.173431+0.0411394j -0.0347453-0.0823493j 0.141142+0.0596879j 0.00793716-0.0475261j 0.0251984-0.034579j 0.154505-0.0124995j -0.0130845-0.0363943j -0.0894344-0.0087313j -0.0665819-0.0647783j 0.070708-0.0727313j 0.0431965-0.0349662j 0.0368795+0.0203223j 0.0249731-0.0842753j -0.0336729-0.0631527j -0.0383805+0.055129j 0.0639236-0.0249848j -0.0532049-0.0739164j 0.0329154-0.00978639j 0.0216133-0.236778j -0.114282+0.0794805j 0.0696081+0.112841j -0.209377-0.107873j 0.04824-0.0457215j 0.12027-0.0249404j 0.0572127-0.0109059j 0.0209427-0.111852j 0.0213903+0.015436j -0.0812638-0.0208612j 0.0436806+0.033798j 0.0218867-0.0413674j -0.00130788-0.093011j -0.0878818-0.0220889j 
