-0.172819-6.66134e-16j -0.0637677-0.00454799j -0.0794011-0.0875672j -0.0655715-0.119768j 0.0194353+0.00365243j 0.0284131+0.0231917j 0.0562529+0.00131941j 0.00835443+0.060127j -0.0255341-0.0606376j 0.0220629+0.0042844j 0.00470449-0.0143045j -0.00510401-0.0521607j 0.0196656+0.000897683j 0.0149027+0.0430815j 0.0195357+0.0171157j -0.00312334-0.00465573j -0.0166314+0.00407412j -0.00276971-0.0580447j -0.028042-0.0180053j 0.00771167+0.0114745j -0.0138938+0.008918j -0.00707524-0.0137069j -0.00889467-0.00220763j 0.00575916+0.000180707j 0.00330608-0.0240543j 0.00728328-0.0228641j 0.0270427+0.0041104j -0.00227899+0.0136199j -0.00462667-0.00683283j 0.00667999-0.00688497j 0.0262166+0.00540731j 0.00296867+0.0311708j -0.000169047+0.00414871j -0.0128716-0.0115952j -0.0289505-0.00887051j -0.0146944-0.0156687j 0.0112184+0.00307704j 0.0282127+0.00148092j 0.0340822+0.0221563j 0.00235914+0.00259634j -0.0320079+0.00185695j 0.0392281-0.00736641j -0.0121083+0.00585831j -0.0246931-0.0175894j 0.00491011+0.0235804j 0.00381035+0.00675227j 0.00383514+0.0139991j 0.00564054+0.00349741j 0.0102547-0.008151j -0.0024252-0.00163621j 0.00608433+0.0146065j 0.00593939+0.00886702j 0.0288735-0.0199465j -0.0141027-0.0170237j -0.00201109+0.0277362j -0.00531868-0.000148849j 0.0537793-0.0453423j 0.00599789-0.0291654j -0.00657867-0.00484812j 0.0143018-0.022532j 0.00622811-0.0274357j -0.00898835+0.0236435j -0.00299654-0.000815388j -0.00973096+0.0225565j -0.0129606+0.00513089j 0.00185791+0.0126925j 0.0134218-0.0329646j -0.0107185+0.0292247j -0.01441+0.0149749j 0.0257129+0.0163412j -0.0179425-0.0335221j 0.0210699+0.0174798j -0.0237784+0.0646631j 0.0334605-0.00767965j 0.0409281+0.0160471j 0.0159887-0.0221913j -0.0135661+0.0114165j -0.00346516-0.0184944j -0.0374431-0.00982012j 0.0203405-0.02119j 0.0349804-0.0355614j -0.016005+0.0422501j 0.0335458+0.00500779j -0.00228345+0.0155834j -0.0520195+0.0684195j -0.0564075+0.0525703j -0.0425487+0.11091j 0.00705249-0.0745982j -0.137153-0.224349j 0.325838+0.0673966j 0.0644779-0.158039j -0.040156+0.0445682j -0.0112088-0.0740847j -0.0870078+0.217643j -0.0161288-0.00986384j 0.00728882+0.0114345j 0.211343+0.1339j 
-0.0637677+0.00454799j 0.188037+9.71445e-17j 0.0847111+0.0716081j -0.0506068-0.062364j -0.0250133+0.0078316j 0.0362595+0.00804781j -0.0146185-0.0575222j -0.0425602+0.014079j -0.00267889-0.0754335j -0.0210762+0.0386907j -0.0442792-0.0207204j -0.0101941-0.0144696j 0.00758919-0.0058945j 0.00648615-0.0150562j 0.000994983-0.00142429j 0.0193906-0.0138563j 0.0339089-0.0374721j -0.0216646+0.0249414j 0.000980066-0.0235136j 0.00283317+0.0101976j -0.00442936+0.00566835j -0.00678102+0.0517572j -0.00987975-0.0101887j -0.0327382+0.0372162j 0.0112854-0.0185256j 0.0148674-0.00136382j -0.0226145+0.0137661j -0.00210941+0.0125317j 0.00686168+0.0281608j -0.00938222+0.00411063j 0.0358759-0.0227118j 0.0129315+0.0212328j 0.00763753+0.00877921j -0.0340061+0.0284884j 0.0369272-0.0236135j 0.0226662-0.0214083j -0.00338666+0.0362912j 0.0015152+0.00787419j 0.0294821-0.0250332j 0.0176353-0.00234947j -0.00303972+0.0253941j 0.0190898+0.0398175j 0.0107168+0.0142066j 0.0143199+0.0143191j -0.00449372+0.0194729j -0.0172466+0.0203585j 0.00476728+0.0219103j 0.00477455-0.00816299j -0.00947379+0.0660045j 0.0269471-0.0498275j -0.0115833-0.0259716j 0.00447568-0.0160694j 0.00965233-0.012302j 0.00618312-0.0110108j -0.0141762+0.00391715j -0.00714643-0.0147311j 0.00304846+0.0130798j -0.00242429+0.00496855j -0.00136141-0.00477651j -0.00318422+0.0199373j 0.0206949+0.00169928j 0.00658926+0.00117024j -0.00767126+0.000643814j 0.00996407-0.00329753j -0.0203393-0.0067499j 0.0199106-0.00239305j 0.0068559+0.00625519j 0.0130174-0.0126607j -0.013456+0.00179851j -5.83547e-06-0.0238775j 0.00690695+0.0172517j -0.0115096-0.0441735j -0.00110101+0.0366281j 0.0239106+0.000778677j -0.000858557+0.0102913j 0.0208507-0.0498772j 0.0175353+0.024455j 0.0339277-0.0306705j 0.0120108-0.015196j 0.0498954-0.0245407j 0.00547776-0.0133397j -0.0118241-0.0175072j -0.00649943-0.0487591j -0.11873+0.00859877j -0.0552948+0.0322844j 0.00197316-0.0306981j -0.0523897+0.00365508j 0.0562908-0.0132305j 0.301067-0.0319013j 0.0504756+0.327612j 0.0532409+0.186602j -0.0168095-0.0637486j 0.0327909-0.0183725j -0.0605574+0.0322593j -0.0923494+0.128351j -0.231335-0.140303j 0.0107558-0.00270558j 
-0.0794011+0.0875672j 0.0847111-0.0716081j 0.0700075+4.16334e-17j 0.0445978+0.0386944j -0.0573296-0.0135792j 0.0342607-0.051272j 0.0198799+0.0816826j -0.0424577-0.0157043j 0.0347231+0.00933916j 0.00442094-0.0338462j -0.0389954-0.00904781j 0.0407238+0.00779954j -0.0269623+0.00305946j -0.0438446-0.00885931j -0.0529645+0.00854996j 0.0283783-0.0276341j -0.00226658+0.00474404j 0.0330479+0.00418791j -0.0170938-0.0281957j -0.0186682+0.00266228j 0.00850247-0.0291986j 0.0208764-0.00285293j -0.0377721+0.0521374j -0.0210475-0.0206247j -0.0034467+0.0336655j 0.0304303-0.0195589j -0.000269218-0.00562434j -0.019783-0.00792795j 0.0194871+0.0198462j -0.0222069-0.00243651j 0.000570765+0.0297684j 0.0350825+0.0382465j -0.0146515-0.0703399j -0.0268566-0.00391717j 0.0248675+0.084057j 0.0199296+0.0368336j 0.00956099-0.0136922j -0.0231623+0.0051008j -0.00354364+0.0370655j 0.0377254-0.0238083j 0.0192144-0.0204449j 0.0283638+0.0308845j -0.00775346+0.00369772j 0.0146661-0.00393704j -0.0131279+0.0147998j 0.000767462+0.0191139j 0.0202809+0.00265609j 0.00394503+0.0318619j -0.0458806-0.0631443j -0.0207994-0.00499683j -0.0248651+0.0347762j -0.0126641-0.00725122j 0.013806+0.00958003j 0.026988+0.0189383j 0.0170969-0.0336995j -0.0328065-0.0165213j 0.0416802+0.0370828j 0.0254512-0.0449986j -0.0168492+0.0123323j 0.0153455+0.0459781j 0.0543661+0.0323353j 0.00222336-0.0417086j -0.0195897-0.0130323j 0.00746208-0.0742534j -0.0208661+0.00815713j -0.00377963+0.0546011j 0.0642566-0.0225044j -0.00820233-0.00821355j 0.0259767-0.0446012j 0.0227009-0.0176563j -0.030833+0.0516105j 0.0034609-0.0101975j -0.0283024-0.0667534j 0.0803048-0.0577485j -0.0150388+0.0116761j 0.0263905+0.0101847j -0.0234938-0.0519315j -0.0389979-0.0726764j 0.0396939-0.0523075j 0.0606159+0.0303878j -0.0625759+0.0408943j -0.100473+0.0743637j -0.0759279+0.0496434j -0.201291+0.0014327j -0.0656961-0.0488304j -0.097133+0.140347j -0.0356615+0.249708j 0.0693462-0.162649j 0.0209535+0.0402448j -0.0535579-0.122044j 0.133442+0.0483214j -0.0257666+0.0763108j 0.0439091+0.0139987j -0.0293226-0.0481243j 0.0416214-0.162303j -0.0939251+0.124108j 0.0176918-0.00809682j 
-0.0655715+0.119768j -0.0506068+0.062364j 0.0445978-0.0386944j 0.0352888-0j 0.0315702-0.0378465j 0.0598504-0.0337246j 0.0103932-0.0220251j 0.0313399+0.0575733j 0.0235025-0.0248711j 0.0526378+0.0637044j -0.0285938+0.0294686j 0.0301007+0.0331012j 0.0023659-0.0428413j -0.0308961-0.00120238j -0.0484802+0.00760055j 0.0126869-0.00196756j -0.0331847-0.0500607j 0.0534839+0.0289085j -0.0458545-0.0155704j -0.043333+0.0378892j -0.0314895+0.0394177j -0.0149473+0.0157147j -0.000244854+0.0138438j 0.0255624-0.0113512j -0.00426531-0.0183502j -0.000747233-0.0197486j 0.00382927+0.0441944j 0.00829609+0.0303703j -0.0265934+0.0404356j -0.00223532-0.00551932j 0.0384252-0.057271j 0.000368565+0.0307931j -0.0486446-0.000764976j 0.0149845-0.010014j -0.00259189+0.0100972j -0.00414625-0.00756793j -0.00665825-0.00657961j 0.0280675+0.00373053j 0.00745807+0.0162032j -0.0301533-0.00246849j 0.00612212+0.0529403j 0.00151489+0.00276724j 0.00525977+0.00957085j -0.0143688-0.0189757j 0.00634516+0.0191568j 0.00729233-0.00790804j 0.0431073-0.0100391j -0.000614093+0.0107855j -0.0394691+0.0229455j -0.0587968+0.0259661j -0.012992+0.00983657j -0.0197147+0.0399751j -0.0319403+0.0517863j 0.0383686-0.0164517j 0.0545973-0.012552j 0.0162019-0.000447233j -0.0158906-0.0238351j -0.000733241-0.0262789j -0.03157+0.0341937j -0.0215515-0.00334726j -0.0162972-0.0174696j -0.0378879+0.0628137j 0.0238458-0.0259159j -0.0835451+0.0515303j 0.0140775+0.0196583j -0.032057+0.0481483j 0.0343605-0.0431568j -0.0199062+0.0535962j -0.0423562+0.0341853j 0.0120213+0.00687423j 0.0643152-0.0197412j -0.0208017+0.0218878j 0.0130017+0.00212715j -0.0228214+0.0250438j 0.0731562-0.0124895j -0.00847126-0.00356724j 0.0463139-0.0486912j -0.130449+0.0539968j 0.0111299-0.113911j 0.0256099+0.00267589j 0.050847+0.013861j 0.0602828+0.0297539j 0.0622688+0.0366491j -0.10984+0.261446j 0.00294812-0.0405053j 0.0404409+0.0224278j 0.218308-0.100184j -0.12065+0.0292879j 0.00358258+0.142566j 0.0772972+0.0622908j 0.142168-0.0737829j -0.00187229-0.0178065j -0.0193126+0.0526158j -0.0339264-0.128132j -0.0572871-0.00402671j -0.0588296+0.00471147j 0.0949559-0.213671j 
0.0194353-0.00365243j -0.0250133-0.0078316j -0.0573296+0.0135792j 0.0315702+0.0378465j -0.0885164-1.249e-16j 0.0942265-0.00293134j -0.00813961+0.0655913j -0.0697628-0.044274j 0.010818+0.0510382j -0.00873188-0.0554217j -0.0533362-0.116243j -0.0412251-0.00654522j 0.00794475+0.0106152j 0.0681627+0.0439501j 0.0157002+0.0260608j -0.0197445-0.00885027j -0.0147191+0.0159857j 0.0220692-0.00150787j -0.0545986+0.00506132j -0.0320642-0.0601979j 0.0102667+0.0204764j 0.00650641+0.0230834j -0.0562125+0.0234838j -0.00331262-0.00146071j -0.00583382-0.0792747j 0.0473889-0.0222266j 0.0742239-0.0234616j 0.015217-0.00583557j 0.010854-0.0310539j -0.0920156-0.0372013j 0.0383602+0.0936277j -0.014011-0.0740315j -0.00791326-0.0223502j 0.00167134+0.0514706j -0.0669637-0.0171352j -0.0145777+0.0338549j 0.0544362-0.0281809j -0.0406053-0.00606174j 0.0128323-0.024018j -0.0056272-0.0140501j 0.0316862-0.00138834j -0.00621024-0.0109708j -0.0369148+0.00591312j 0.0152383+0.0486394j -0.00781328-0.00550942j -0.00499682+0.0716368j 0.0341692+0.0273788j -0.022886+0.0378868j -0.0186807-0.000895754j -0.0491923+0.0370419j 0.0179093+0.018792j -0.0652145-0.0355209j 0.0253939-0.149334j -0.000797136-0.0302163j 0.0443753+0.0593122j -0.0350803-0.00770741j -0.0213188+0.0687519j -0.018825+0.0124588j -0.00390696-0.0361939j 0.0121045-0.0252369j -0.00386504-0.0329443j 0.00570039+0.0189024j 0.00145696+0.0411054j 0.000191695+0.0357213j -0.019249-0.0805538j -0.0333236-0.0261589j 0.0342856-0.0379349j -0.105997-0.0181025j 0.0191049+0.00479734j -0.000408397+0.0163152j 0.0207322-0.0822462j -0.0479061-0.0275329j 0.0373406+0.0660801j 0.0419998+0.0224533j 0.0408665-0.0332734j 0.0327072+0.0259949j 0.0304548-0.044464j -0.0426755-0.0119207j 0.0591222+0.131779j -0.00742172+0.0482614j -0.138442-0.10546j -0.111432+0.0434146j 0.136247+0.0682213j -0.0616254+0.126786j 0.0577485+0.132755j 0.0779857-0.196542j -0.0933908+0.0558569j -0.00785245-0.0198452j -0.0411679+0.0391231j -0.0393548+0.109898j -0.005523-0.0289894j 0.0303248+0.0225584j -0.177832-0.153335j 0.0189702-0.021904j 0.0400176+0.033218j 0.0381296-0.00766677j 0.00746797+0.0834606j 
0.0284131-0.0231917j 0.0362595-0.00804781j 0.0342607+0.051272j 0.0598504+0.0337246j 0.0942265+0.00293134j 0.0814165+1.38778e-17j 0.0753476+0.00980529j -0.0554405-0.0392332j -0.0264545+0.0563236j 0.0445966+0.060154j 0.00729679+0.00657443j -0.0303663+0.00875616j 0.0628521-0.0401181j 0.0654602+0.0029394j 0.043918+0.0588122j -0.0243851+0.0185125j 0.0531931-0.0290079j -0.00320771-0.0111586j 0.0300278+0.00121562j -0.0583049+0.0767248j 0.0180762+0.047083j -0.00787742-0.063918j 0.0637951+0.0587679j 0.0336007-0.0193268j -0.0192342-0.00233877j -0.0650722-0.039001j -0.0272653+0.0154883j 0.00410327-0.0747494j 0.00562149+0.0401773j -0.0624735+0.00534524j -0.0214224-0.00672517j -0.0503874-0.0150964j -0.0215795-0.0470544j -0.0454354-0.0582885j -0.00788392-0.0663107j -0.00607363+0.00304428j -0.0330143-0.0592101j 0.00334605-0.0642442j 0.00146651+0.00391846j 0.0105663-0.0193606j 0.0384051+0.00169519j -0.0708678+0.00201782j -0.0342184-0.013931j -0.0402156-0.093565j 0.0229373+0.0111305j -0.00997204-0.0263197j 0.00300599-0.00778516j -0.027669-0.0621586j -0.0250527+0.0446877j 0.0286689-0.0163412j 0.0328002+0.02271j -0.001171+0.00955952j -0.0150776-0.00467855j 0.00230904-0.0566042j 0.0433628-0.0158707j -0.0371682+0.0121591j 0.00201323+0.0256474j 0.00207102+0.00516945j 0.026262-0.0290377j -0.0463306-0.00132946j -0.0378387-0.0515158j -0.0127121-0.00331867j 0.0159739-0.0366233j -0.0138293+0.0234886j -0.00084942-0.00523921j -0.0417707+0.0552127j 0.028209-0.0367377j -0.000310516+0.0494375j 0.0919584-0.0501684j 0.0753342+0.0277055j -0.0197035-0.00776461j 0.0476864-0.0117261j 0.0178696+0.0841838j 0.0387794-0.116018j -0.0783516+0.00138494j 0.00541121-0.0400843j 0.0481224-0.0247605j -0.0364945-0.00657424j 0.19707-0.0424677j 0.0667871+0.0884742j 0.00265797+0.0940478j 0.0566329+0.241018j 0.074321-0.103509j 0.116483-0.0116846j 0.110046-0.0761177j -0.107793-0.0246288j -0.0455396+0.0990182j -0.0793754+0.152647j 0.0158506-0.0567419j 0.0361138+0.0135104j -0.0185652+0.0250751j 0.176253+0.160409j 0.0342775+0.0328018j -0.0124889+0.0210497j 0.0266316-0.0410453j 0.0204327+0.0731594j -0.0504238+0.0676066j 
0.0562529-0.00131941j -0.0146185+0.0575222j 0.0198799-0.0816826j 0.0103932+0.0220251j -0.00813961-0.0655913j 0.0753476-0.00980529j -0.0444396-6.93889e-17j 0.0866576+0.0507532j 0.033339-0.0249586j 0.0151687-0.00582344j -0.103207+0.0117662j 0.0591464+0.021611j 0.00156254+0.0197855j -0.0532049+0.0246146j -0.0278667-0.00431196j -0.0261273+0.0403087j -0.0383294+0.0513315j 0.0293352-0.0154003j -0.0504912+0.0345885j -0.0352221+0.0094464j -0.0547688+0.0315553j -0.0350756+0.0201185j -0.0261787-0.0289151j -0.00216372-0.0416004j 0.0627405-0.0529461j 0.0475988+0.0120134j 0.0310949-0.0347095j 0.0492167+0.0173462j 0.0133213+0.0181868j 0.00745756+0.0454459j -0.0105861+0.0141503j 0.0107914-0.0100898j -0.0459681-0.0170983j 0.0299133-0.0122979j 0.0408621+0.0133729j 0.0568068+0.0253243j -0.0429437+0.00996948j 0.0274563-0.0388425j -0.00589247-0.0285132j -0.00971986+0.016256j -0.00236313+0.0440594j 0.0196113-0.0386771j -0.017088+0.0110598j -0.00839955+0.00587687j -0.0360589-0.000755826j 0.0485954-0.0360814j 0.00614982-0.0251642j 0.0794619+0.0230796j 0.00809751-0.0398185j -0.0176553+0.0380296j -0.0407499-0.0613663j 0.0201993+0.0276443j 0.0287074+0.0147476j -0.00924911-0.00437645j -0.0182196+0.0259692j -0.0452701+0.0290783j -0.0200961-0.0199693j -0.0677698+0.0450021j 0.00817517+0.0231782j 0.0418397-0.030369j 0.0713976-0.0466102j 0.00795795+0.0680006j -0.0267348+0.0124488j -0.0581533+0.0435639j 0.00369618+0.0229967j 0.0305911+0.0280236j 0.0145421-0.0504567j 0.0561772+0.0216925j -0.0168486+0.0251393j 0.0148578-0.0758476j 0.0511578+0.102417j 0.0484563-0.0382905j -0.0497823-0.0207308j 0.0473875+0.0594335j 0.0512941-0.154344j 0.0729308-0.0175164j -0.133534+0.00916551j -0.0309571+0.000878197j 0.0324825+0.00785421j -0.0308905+0.127663j -0.135661-0.0172251j 0.0202667-0.017754j 0.0213536+0.0615302j 0.122043-0.0282231j -0.0728827-0.0869858j 0.180923-0.101263j 0.0173798+0.129441j -0.0512238-0.0075687j 0.166176-0.0116515j 0.0577709-0.141211j -0.0341397+0.130035j 0.0226646+0.0308597j -0.0350469-0.0138229j -0.169824+0.107121j -0.115741-0.0787013j -0.0590604-0.149859j 0.024467-0.13075j 
0.00835443-0.060127j -0.0425602-0.014079j -0.0424577+0.0157043j 0.0313399-0.0575733j -0.0697628+0.044274j -0.0554405+0.0392332j 0.0866576-0.0507532j 0.0476449+2.18159e-14j -0.106639-0.0201244j -0.00559318+0.0366848j 0.0161796-0.0212133j 0.0334749+0.0507117j 0.0388415-0.0411119j 0.000286245-0.00670203j 0.00841365-0.0763926j -0.00413759+0.0284069j 0.0358411+0.0235263j -0.000520302+0.0536475j -0.0115984-0.108825j 0.0664222+0.0500562j -0.0351122+0.00829997j -0.00729289+0.0184999j -0.0448206+0.0430184j -0.058172+0.0374122j 0.0328176+0.026776j 0.00888715-0.0584243j -0.0124982-0.0220418j 0.0426561-0.0121352j 0.0337523+0.023965j 0.0544067+0.0221633j -0.0558-0.0564462j 0.00894885+0.0763929j 0.00904666-0.0228695j 0.0469765-0.0291355j 0.0131611+0.0404412j -0.0327422+0.0264927j -0.00447338-0.065674j -0.0190162-0.0582706j 0.04305+0.00891247j 0.0681637+0.037287j -0.0150239-0.00896363j 0.0252086-0.0381629j -0.00972176+0.0479445j -0.0225729-0.0650158j 0.0156946+0.00279551j -0.0683352-0.065497j -0.00862435+0.0449805j -0.0182665-0.00229202j 0.00725702-0.0091178j 0.0940256-0.0370034j -0.0420413-0.0754935j 0.0309285+0.0289313j 0.048502+0.000776778j -0.0143428-0.0172885j -0.0208317-0.0608241j 0.0433942+0.0422641j -0.106803-0.0284355j 0.0788053+0.0201005j 0.0509159-0.0722444j -0.0120985-0.0116312j 0.0311554-0.0602902j 0.0361507-0.0648626j 0.00556296+0.0301679j -0.0126232-0.0595039j 0.0573535+0.0106851j -0.0357991+0.0493917j -0.0135832-0.0524539j 0.0567144+0.108072j -0.0559083-0.0205089j -0.0904043+0.00926025j -0.00876521+0.0490069j 0.0736853+0.133994j -0.0241912+0.0138947j -0.120366-0.00945075j -0.0579931+0.0562601j -0.0077495-0.0459349j 0.0501598-0.0602699j 0.012868-0.206j 0.0743027+0.0150885j -0.0845482+0.0468344j 0.0170588-0.0317182j 0.0216075-0.002513j 0.120624+0.0406122j -0.0316772+0.0302012j 0.0035068+0.00475523j 0.0160725+0.00843552j -0.0518742+0.0992333j 0.0305063+0.0170142j -0.00076073+0.0762455j -0.0121977-0.174854j 0.0283571+0.068796j -0.0508818+0.0489313j 0.00868229+0.0574287j 0.0805971-0.0387456j -0.00770814-0.115283j -0.0597676+0.296271j -0.30719-0.121584j 
-0.0255341+0.0606376j -0.00267889+0.0754335j 0.0347231-0.00933916j 0.0235025+0.0248711j 0.010818-0.0510382j -0.0264545-0.0563236j 0.033339+0.0249586j -0.106639+0.0201244j -0.0995243-4.20497e-15j 0.0086346-0.00338451j 0.0378324+0.0316605j -0.0456085-0.0661774j 0.016162+0.00558729j 0.0807157-0.0312454j -0.00501781-0.00487909j 0.000194014-0.0744968j -0.0185142-0.0241338j 0.0820704-0.000392439j -0.03886+0.0325454j -0.000696586+0.00190147j 0.0169088+0.0483316j 0.0321779+0.033697j 0.0756172+0.00358195j 0.0716793-0.00351389j 0.00613408+0.0190135j -0.059434+0.0668226j -0.0101535+0.0327277j 0.0602379+0.0288283j -0.0132212+0.0462363j -0.0346556-0.0426951j 0.0509993-0.00645793j -0.0294039+0.00509988j -0.0383666-0.0119224j 0.0355997+0.0262599j 6.88731e-05-0.0120514j -0.0261237-0.0566994j -0.0231922-0.0054873j 0.0222648+0.0170557j 0.0119969+0.0236048j -0.0577343-0.0143731j 0.0552975-0.0403143j -0.0162029-0.022688j 0.0196976+0.00891183j -0.0019833+0.0626277j 0.00384591+0.00471255j 0.0463095+0.0132464j 0.0170734-0.0111306j -0.067781-0.0233246j 0.0387531+0.00407289j -0.0155358-0.0174211j 0.00409118+0.0288337j -0.0866832-0.00549819j -0.0847132+0.0620095j -0.0218985+0.0069428j -0.019979-0.03784j -0.00948032+0.0110562j -0.0124994+0.0181344j -0.0345201-0.0231559j -0.000975442-0.00970854j 0.00693381+0.0231083j -0.0256205+0.00916151j -0.0808195-0.0184589j 0.00615208-0.0277606j -0.0543697+0.0135684j 0.0186176+0.00511711j 0.0458167+0.0104947j -0.013723-0.0369279j -0.0652154+0.00535352j -0.009491+0.037436j 0.0657239-0.0105463j -0.0531261-0.113008j 0.0832971-0.0109059j 0.0618658-0.0738184j -0.0698961-0.105687j 0.165269-0.0636879j 0.0280173-0.0083233j -0.0256449+0.0327812j 0.0665197-0.091847j -0.0677363-0.0512775j -0.11033+0.121573j -0.0341491-0.0532932j 0.0640807-0.00499899j 0.0451823+0.0672098j 0.0388467-0.0103369j 0.138171+0.00456779j 0.0791012-0.0184492j -0.0310894+0.0297259j -0.0119905-0.0863803j 0.0839767-0.195756j 0.0224122-0.0696353j -0.178882+0.0839664j 0.00514709+0.00705962j -0.0451838-0.00848429j -0.025936+0.135786j 0.0213687-0.0171027j 0.256424+0.0754349j -0.000422363+0.160183j 
0.0220629-0.0042844j -0.0210762-0.0386907j 0.00442094+0.0338462j 0.0526378-0.0637044j -0.00873188+0.0554217j 0.0445966-0.060154j 0.0151687+0.00582344j -0.00559318-0.0366848j 0.0086346+0.00338451j 0.0364004+8.32667e-17j 0.0257252-0.0897725j -0.0106911+0.0166069j 0.0509523+0.0710503j -0.0160011-0.0110999j -0.0221389-0.0756825j 0.0476621-0.0788686j -0.00104271+0.0507111j 0.0461175-0.0276945j -0.0740208+0.0525959j -0.0513675-0.00593227j -0.178037+0.0523417j -0.0281738+0.0243546j 0.0743742-0.0566488j -0.0365399-0.0142145j -0.182761+0.107402j -0.224881+0.158488j -0.0788429+0.0133844j -0.128512+0.148422j -0.059398+0.0050051j 0.0540159-0.0821421j 0.119607-0.130626j 0.0276453-0.0522031j -0.0192338+0.0340174j 0.0423986+0.015625j 0.0421468+0.00232511j 0.0528455-0.00226776j 0.0293854-0.0221822j -0.0818882+0.0727825j -0.0421837+0.0387014j 0.0164619+0.0409118j -0.0499067+0.0836465j 0.0712233-0.083353j 0.0232415-0.0688901j -0.00577377+0.0353755j 0.0195518-0.0430696j -0.0303085+0.0357655j 0.06653-0.0335487j -0.0123075+0.0421531j -0.0267789+0.0533492j -0.018072+0.00154716j 0.0213996-0.0610173j -0.0426406+0.020004j -0.0489342+0.039242j -0.0206474+0.0217724j 0.00846458+0.0147194j 0.0435221-0.0827871j 0.0349038-0.0458802j 0.0485849-0.0195281j -0.0516634+0.0483632j 0.0255255-0.050787j -0.0483076+0.099779j 0.0212187-0.000979963j 0.000834575+0.0293871j 0.00251719-0.0797238j -0.0481592-0.0125918j -0.00160839-0.0481323j 0.00145058+0.043782j -0.024329+0.0691012j -0.0424339+0.0117495j -0.0269447+0.0213985j 0.0886007-0.00670411j -0.00551761+0.0410658j 0.0141662-0.0199078j -0.0607177+0.0567885j -0.0341653+0.0170292j 0.0327197-0.0209811j -0.0188409-0.0630138j -0.0471505+0.132481j 0.151203-0.0113064j -0.0146126-0.0777824j 0.053419-0.0728899j -0.144682+0.0806223j -0.0938669+0.00919996j -0.0254843-0.0239997j 0.104498-0.0534597j -0.0348048+0.0624922j 0.0889167-0.0589726j 0.00907802-0.0593591j 0.0537265-0.0445397j -0.0407647-0.00297082j -0.0633611+0.0342123j -0.0340142-0.0388472j -0.0916524+0.130422j 0.144976-0.038673j -0.067786+0.159555j -0.0815784+0.00487621j 0.0180464-0.0818267j 
0.00470449+0.0143045j -0.0442792+0.0207204j -0.0389954+0.00904781j -0.0285938-0.0294686j -0.0533362+0.116243j 0.00729679-0.00657443j -0.103207-0.0117662j 0.0161796+0.0212133j 0.0378324-0.0316605j 0.0257252+0.0897725j 0.0701592+8.32667e-17j -0.0627533+0.0963121j 0.0159185-0.0743289j -0.0626629-0.0504878j -0.12555+0.0458901j 0.0504737-0.0500756j 0.0229782-0.099762j 0.0252318+0.0776784j -0.0507614-0.0981709j -0.0626909+0.116326j -0.0950637-0.0164077j -0.0134298-0.039608j -0.0249107+0.126154j -0.0383189-0.0197014j -0.0747043+0.092489j -0.00558114-0.111422j 0.0720961-0.0639664j -0.0627013-0.0489494j -0.0215141-0.0103289j 0.0685809-0.0268873j 0.0257287-0.0102361j 0.0531715-0.0124112j 0.0452555-0.0141659j 0.0607935-0.0547571j -0.0322983+0.0311446j -0.0317391+0.0538455j 0.0712093-0.0481755j -0.0443798+0.00132967j 0.0185692+0.0344178j -0.00390782-0.0646281j -0.0257564-0.0172749j 0.0633192+0.015049j -0.0255762-0.00683624j 0.0260958-0.0790382j -0.0661577-0.00975607j -0.0653811-0.0362901j 0.00262041+0.0379411j -0.00929047-0.0181295j -0.0176805+0.0264213j -0.040155-0.000225016j 0.0340935+0.0287951j -0.030921+0.0132793j 0.0551074-0.020509j 0.0339467+0.0188621j -0.000175249-0.0908418j 0.0255353+0.0197242j -0.0501399+0.0130976j -0.0276625-0.0361471j -0.0308491-0.00599866j 0.0414137+0.0201163j -0.0208717-0.0411569j -0.0300701-0.0228467j -0.0418676+0.0470853j -0.0512433-0.011953j 0.0923842-0.0894335j 0.0058064+0.00700717j 0.025769-0.0402342j -0.0492744+0.066871j -0.014289-0.0649496j -0.0334073-0.029584j -0.0258711+0.0387861j 0.00136364-0.0253567j -0.0501295+0.0744807j 0.0479854-0.110937j 0.0836872+0.0390683j 0.0145988+0.0509807j 0.0496926-0.0359607j -0.0787307+0.0336639j -0.0503649+0.00935333j -0.161642+0.112859j 0.0401058+0.128239j -0.0281179-0.0703882j -0.112577+0.0390681j 0.00529498-0.059455j 0.0395932+0.0033937j 0.0453008+0.0117737j 0.00430923+0.0168427j -0.0316812+0.0861932j 0.109738-0.0561586j 0.0123247-0.0134809j -0.108842+0.0407147j -0.145144+0.133018j 0.00675956+0.0646288j -0.0133923+0.0658787j -0.0765909+0.0488087j 0.0125763-0.0322881j 0.0313179+0.0130999j 
