-0.0132708-2.17699e-14j -0.00291378+1.26526e-06j -0.00586821-0.000571145j -0.0119645-0.000829277j -0.00521339+1.93527e-05j 0.00211572+0.000434546j 0.0130251+0.00083302j 0.00449717+0.000660951j 0.00213041+0.000548619j -0.00217873+0.000398553j 0.00661133+0.000619328j -0.0115609-0.000562182j 0.000220261-0.000143279j -0.00327253-0.000568614j 0.00563879+0.000732618j 0.0039388+0.000798795j 0.00248189+0.000214099j 0.00266194+0.000139569j -0.00297475-0.000234374j -0.0032453+0.000492095j 0.00559192+0.000477336j -0.00792381-0.000784269j -0.00656397-0.000522385j -0.00109417-0.000208876j 0.00400981+0.000250547j -0.00292181-0.000184658j 0.00224897+1.65798e-05j 0.00477117+4.57484e-05j 0.00322838+0.000344299j 0.000977131-0.000231968j 0.00172311-0.000112434j 0.000344743+0.000508559j 0.00601961+0.000588527j 0.00248473+6.93764e-05j -0.000229403-0.000376804j 0.00137477+0.000267261j -0.00444396-0.000701008j -0.00968708-0.000604555j -0.00539394-0.000204387j 0.00415569+0.000591672j -0.00212744+7.59421e-05j -0.00575171-0.0006843j 0.00531095+0.00122325j 0.000844088-0.00018697j -0.0032125-0.000679397j 0.00491522+0.000646891j -0.00121639+0.000245194j -0.00198478+2.66635e-05j -0.00272067-0.00129167j 0.00188919+0.000559815j -0.00324185-0.000115621j 6.27852e-05-8.06951e-05j 0.00540989+0.000526911j -0.00424613-0.000418021j -0.00505406-0.000278365j -0.00360823+0.00082477j 0.00161527+0.000457693j -0.00356683-0.000218177j -0.00878887-1.49687e-05j 0.00893762+0.000844403j 0.00439543+0.000561299j 0.00129247+0.000746382j 0.00174998+0.000617098j -0.00443602-0.000108776j 0.00487989-0.000605844j -0.0037039+9.8287e-05j -0.0192221-0.00161507j 0.00524048-0.000811149j -0.00770281-0.00227245j -0.0102842+0.000453838j 0.000829423-0.000336961j 0.0318843+0.00141671j 0.00917217-0.00111478j -0.0179898+0.00997583j -0.0638328-0.00516858j -0.00459328+0.000197185j -0.827654+0.00854424j 
-0.00291378-1.26526e-06j 0.0132847-2.45463e-16j 0.0116579+0.000802761j -0.00583203-0.000585677j 0.0043744+0.000710053j 0.00978049+0.000213359j 0.00327953+0.000386375j -0.0104736-0.00106873j 0.00177088+0.000411834j 0.00436492+0.000181173j 0.00561028-0.000313877j 0.00104116+0.000100905j -0.0137287-0.0013128j 0.00264223+0.000245643j 0.000667873-5.53439e-05j 0.000314157-1.22826e-05j 0.00138131-0.00024532j 0.00307062+1.83859e-05j -0.000941862+0.0001948j 0.00334992+1.11367e-05j -0.00835818-0.00073394j -0.00622575-0.000197617j 0.00370862+0.000700677j -0.00504729-0.000104508j 0.000942851-0.000102874j 0.000277297-8.84659e-05j -0.0049345-0.000563384j -0.00421472-0.000804005j 0.00537564+0.000420073j 0.00157335+0.000201388j -0.0013943-0.000256492j 0.00696411+0.00060058j -0.00341793-0.000221402j -0.0043134-0.000275409j -0.00318961-0.000324589j -0.0034886-0.000240875j -0.00502755-0.000522509j 0.00138208+0.000916605j 0.00152626+0.000711288j 0.00361019+0.000256253j -0.00153152+0.000180069j -0.00178758-0.000155398j 0.003985-5.78496e-05j -0.00487204-0.000531131j -0.0030275+0.000335864j -0.00309549-0.000261078j 0.00403262+0.000478393j -0.0022474+3.56655e-05j -0.00866682-0.000963528j 0.000642207-0.000681791j -0.00287138-0.000336386j -0.00425866-0.000284237j 0.00111552-0.000312879j 0.00581726+0.000796679j 0.000582377+0.000282927j 0.00749724+0.000561009j 0.00116387+0.000805726j -0.00926245+0.000153334j 0.000410684+7.13093e-05j -0.0021683-0.000658385j -0.000451414-0.000925737j 0.00359359+0.000648819j 0.00871111+0.000671162j 0.00476591+0.000868396j -0.00190569+0.000658394j -0.0124851+0.000142862j -0.00221052+0.000676385j -0.0175519-0.00248955j -0.0027895-0.000145415j 0.00133347-0.00151633j 0.025201+0.000429081j 0.00530929-0.000998001j -0.0226094-0.00104371j -0.0637243-0.00500691j 0.0175611-0.0101946j 0.827842-0.00850693j -0.0046422+0.000259477j 
-0.00586821+0.000571145j 0.0116579-0.000802761j 0.00306762+3.20924e-17j 0.00134405-4.31654e-05j -0.00932736+8.84939e-05j 0.0112648-0.000316984j -0.00166638-0.00052861j -0.00154846-0.000217084j -0.00984108-0.000509699j 0.00327684+0.000357837j 0.0126735-0.000639276j -0.00302581-0.000151016j 0.00167166+0.000434633j 0.00785835+0.00103512j -0.005982-0.000999226j -0.00423613-0.000517561j 0.00718423-0.000426518j 0.00276261-0.00037343j -0.00247959+0.000628241j -0.000581239+0.000211532j -0.00815749-0.000706948j -0.00752208-0.000279463j -0.00349531-0.000227823j -0.00438342-4.80726e-05j 0.00314917+0.000392576j 0.00263725-6.77477e-06j 0.000957711+0.000909827j 0.0127018+0.000765558j 0.00362341+0.000185564j -0.0025335-0.000379616j 0.00835814+0.00131078j -0.00222914+0.000245724j -0.0106268-0.00106192j -0.00572464-0.000633944j 0.00639328+0.00165715j -0.0048557-0.000466454j 0.0097041+0.00139361j -0.0131874+0.000136978j -0.00358765+0.00071362j -0.00445395-0.00107516j -0.0043055+0.000233431j 0.00292208+0.000670996j -0.0101157-0.00173084j 0.00292302+0.00037371j -0.00609388+0.000381456j -0.00689763-0.000213274j -0.00505233-0.000505531j -0.00570187+0.000142438j 0.0124698+0.00149383j -0.000548332-0.000652215j 0.000492033+8.57436e-05j -0.00627116+0.000328251j -0.000289894+0.000410943j 0.0104584-0.000688328j -0.00717244+0.00112927j -0.00494864-0.000624693j -0.0141625+3.52186e-05j -0.0103204-0.00242907j -0.00485757+0.000425207j 0.00509753+0.00170129j -0.00538082+0.000403913j -0.0127974-0.00140905j -0.00648107-0.00246584j 0.00361622-0.00148131j -0.00500388+0.0011085j -0.0283202-0.000535281j -0.00872396+0.00314047j 0.0317319+0.000979476j 0.0431897+0.00157976j 0.0239926-0.00915526j 0.0673983+0.00287861j 0.012014-0.00286651j 0.074468+0.00819279j 0.00630745+0.000201277j -0.827696+0.0103826j -0.0123437+0.00999678j -0.0266759-0.00561737j 
-0.0119645+0.000829277j -0.00583203+0.000585677j 0.00134405+4.31654e-05j -0.00289622-4.94396e-17j -0.00714008+0.000419999j -0.00889796+4.77103e-05j 0.00902042-1.51325e-05j -0.00929871-0.000993382j -0.00746591-0.000811534j -0.0117794+0.000331426j -0.0045325-0.000273183j -0.0113934-0.000179877j -0.00227484-0.000454368j 0.00421024+0.000416344j -0.00862324-0.00125196j -0.00913737-0.000304642j 0.000563685+0.000284654j 0.000933604+0.000146664j -0.00222306+0.000264785j -0.019265-0.000182298j 8.83622e-05-0.000469947j 0.000863154-0.000345482j 0.00673871+0.000588076j 0.00397294-0.000116971j 3.25786e-05+0.00011402j 0.000471799+0.000266504j -0.00436101-0.000672498j 0.000997225+0.000106678j 0.00064834+0.000207721j 0.00905385-9.00484e-05j 0.00113227+0.000211391j -0.00392409+0.000471401j 0.00403642-0.000278645j 0.00583789-0.000231123j -0.00103606+0.000147046j 0.00163007+0.000158572j -0.00150436+0.00034671j 0.00116755+7.06086e-05j -0.00408067+0.00021119j 0.00412497+4.82725e-05j 0.00014609+0.000775379j -0.003647+0.000151846j -0.0108468-0.00080196j -0.00104248-0.00045278j 0.00914634-0.000440137j -0.00572789-0.000271594j -0.00328068+0.000273313j -0.00709327-0.000523267j -0.00260483-0.000260775j -0.0123028-0.00050294j 6.42116e-05+1.16429e-05j -0.00631611-0.00081163j -0.00442914-0.000844261j 0.00586261+0.00155069j -0.0045119-0.000428461j -0.0119447+0.000272759j 0.00299449+0.000237589j 0.0127811+0.00119422j -0.0116628-0.000787171j -0.0112715-0.000681187j -0.0161255-0.0021698j 0.00704197+0.00135295j 0.00687544-0.0015315j -0.00216864+0.00326971j 0.0333749-0.000551754j 0.00273773-0.000348631j 0.00534457+0.000448401j -0.00570004-0.00204267j 0.0344576-0.00199123j -0.0916539-0.00525238j 0.00735731-0.00818237j -0.0253846-0.0047261j 0.0198496-0.00947703j 0.835686-0.0087962j 0.00843547-0.0021442j -0.0264068-0.00544255j 0.0122786-0.00973735j 
-0.00521339-1.93527e-05j 0.0043744-0.000710053j -0.00932736-8.84939e-05j -0.00714008-0.000419999j -0.000923258-5.63785e-17j 0.0152279-1.1217e-06j -0.00144833+0.000238751j 0.0120328+0.000769378j 0.00405157+0.00124657j 0.000345108-0.000215619j 0.0121033+4.18037e-05j 0.00140779+0.000178797j 0.0049486-0.000591816j -0.00328495-0.000672479j 0.00559917+0.00072413j 0.00558894+0.000503045j 0.00768181-0.000135165j 0.0137457+0.000579115j 0.00561921-0.00016859j -0.00420905-0.000522374j 0.00235313+0.000301133j -0.000286921+0.000414499j -0.00586984+0.000306056j 0.000633659+0.000503976j -0.00519027-0.00071927j -0.0084947-0.000483098j -0.00932974-0.000602264j 0.00290502-0.00117351j -0.00211783+6.55706e-05j -0.00204398+0.000252435j -0.00585932-0.000556647j -0.0063684+0.000896126j -0.00629935+0.000465047j -0.00467564-0.00018275j 0.00168315+7.03553e-06j -0.00719508-0.000212977j -0.00576688-0.0010605j -0.00968628-0.0001329j -0.000482821-0.000169943j -0.0101174-9.37908e-05j -0.0110433-0.00113462j 0.00247518-0.000352714j 0.00433441+0.000800033j 0.00416241+0.000716981j 0.00017597-0.000110578j 0.00621441+0.000156789j 0.00798003-0.00041048j 0.012588+6.32844e-05j 0.0148901+0.00144581j 0.00686935-0.00139262j -0.0146799-0.000117738j 0.0052919+0.000653874j -0.00752435-0.00211266j 0.0198399+0.00138964j -0.0137804+0.000730207j -0.016103+0.0012956j -0.000654238+0.000961326j 0.0196587+0.00198956j -0.0157565-0.00183735j -0.0139703-0.00266959j -0.0152334-0.000409564j -0.0282478+0.000808101j 0.0068107+0.0029667j 0.0596627-0.000715724j -0.00999027+0.00117691j 0.00882152+0.00305874j -0.0604043-0.00345967j 0.00869035-0.0018427j 0.0885603+0.00522971j -0.0130993-0.00492422j -0.0896463-0.00366456j 0.0403489-0.00257248j 0.825266-0.0127558j -0.000239234-0.0092136j 0.00312723-0.00921621j -0.0049732-0.0018966j 0.000819544+0.00166252j 
0.00211572-0.000434546j 0.00978049-0.000213359j 0.0112648+0.000316984j -0.00889796-4.77103e-05j 0.0152279+1.1217e-06j -0.00266359+5.20417e-18j 0.00225368+0.000339721j -0.00556741-0.000197301j 0.00205125+0.000296465j 0.00257054-0.000264346j 0.00657501+0.000228014j 0.00477885+0.00046058j -0.00654359-0.000358211j -0.00784601-0.000399366j -0.00315561+0.000186552j 0.00311053+0.000239446j -0.0053369-0.000276854j 0.0131142-5.01214e-05j -0.00862155-0.000726849j 0.0136265+4.25831e-05j 0.00850307+4.57907e-05j 0.000887735+0.000660909j -0.00334447+0.000478078j -0.00988771+5.69564e-05j 0.0109927+0.000257261j 0.00806773+0.000623398j -0.000276755-0.000391957j -0.007198-0.000678182j -0.00295383+0.000114059j 0.0126504+0.000447073j -0.00251767-0.000553187j 0.0165351+5.63568e-05j 0.0096422+0.000518701j -0.000169072+0.000221088j 0.0110231-0.000565j 0.00286989+0.000328447j 0.00114504-5.65217e-05j -0.00231542+0.000345712j -0.0152447+0.000131859j 0.00228316+0.000446144j -0.00240298+0.000266455j 0.0111666-1.24746e-05j 3.81856e-05-0.000499612j 0.00353867+0.000209351j -0.010734-0.000479928j -0.00509326-0.00043217j 0.00319998-0.000707927j -0.0165676-0.00111033j 0.0204609+0.00199243j 0.013053-0.00071784j -0.000712296+0.000262254j 0.00897387-0.000205736j -0.00885639-0.000580148j -0.00141193-0.000328234j 0.00844028-0.000157647j 0.00228242-0.00184303j -0.00977557-0.00128562j -0.011219+0.000807807j -0.0380913+0.00034925j -0.0296143-0.00198018j 0.0342439-9.40124e-05j 0.00513904+0.000897634j -0.0389543+0.000794761j 0.0342167+0.00111386j -0.0231992+0.00130849j -0.0599168-0.00377534j -0.00684665-0.00278612j 0.0365568+0.00237183j -0.0093259+0.00630018j 0.010697+0.000114769j 0.0470144-0.00293549j 0.857164-0.00730979j -0.0289633-0.00341079j 0.00972871-0.00537959j 0.0104401+0.00296113j -0.000986742-0.00139501j -0.00741221-0.0018903j 
0.0130251-0.00083302j 0.00327953-0.000386375j -0.00166638+0.00052861j 0.00902042+1.51325e-05j -0.00144833-0.000238751j 0.00225368-0.000339721j -0.0048902-5.37764e-17j 0.00142316+2.49062e-05j -0.00603751+0.000218344j 0.0161581-0.000364407j -0.00221364-0.000334222j 0.00370861-0.00025796j 0.00432684+0.000167963j -0.00169094-0.000212294j -0.0083153+0.000708563j 0.00794662+0.000310483j 0.00966093+4.73237e-05j -0.00884841-9.64781e-05j -0.00638762-0.000359671j 0.0102386-0.000557363j -0.00237219+0.000276709j 0.000525534+0.000644199j -0.000424424-1.7852e-05j 0.00465673+0.000379259j -0.00437252-0.000714133j 0.0068656-0.00065871j -0.00171034+0.00034129j -0.000257754-0.000967525j 0.00356471+0.000181476j -0.0166286-0.000159021j 3.59248e-05-0.000777787j 0.00406367-0.000598493j 0.0048786+0.00100005j -0.00300527+0.000738125j -0.0117624-0.00157666j 0.0115045-4.7539e-06j 0.00557831-0.000753457j -0.0197915-0.00132569j -0.00388725-0.000912858j 0.00814126+0.000984671j 0.0173536-0.000137131j -0.00120614-0.00068681j 0.00691418+0.00160709j -0.00242779-2.17309e-06j -0.0257825-0.00113096j 0.00790496+0.000360451j -0.0123775-0.000820424j -0.00897301-0.000363402j 0.00352513+0.0005528j 0.00948933-0.00107682j 0.0193273+0.000503185j -0.0160187-0.00143822j -0.00450406-0.00205064j -0.00153991+0.0010368j -0.0108551-0.000806416j 0.0170087+5.07074e-05j -0.0279437+0.000228353j 0.0160493+0.00310854j -0.00373176-0.000934655j 0.00844849-0.00218417j -0.0179021-0.00141711j 0.0508616+0.000847275j -0.0215833+0.00308544j 0.0265777-0.000411074j -0.0999398-0.0037737j 0.018177-0.00401749j -0.0500152-0.00286406j -0.0157739+0.00229802j 0.0388518+0.00278439j 0.0103284-0.00375173j 0.837149-0.0100597j -0.0337257-0.00208395j 0.0448716-0.0058135j 0.0208547-0.00879948j -0.0191899-0.00410259j 0.00776399-8.45387e-05j 0.00152681+0.000656431j 
0.00449717-0.000660951j -0.0104736+0.00106873j -0.00154846+0.000217084j -0.00929871+0.000993382j 0.0120328-0.000769378j -0.00556741+0.000197301j 0.00142316-2.49062e-05j 0.00177482-4.46691e-17j 0.0108695-0.000910548j 0.00551497-0.000210222j -0.0137529+0.00103517j -0.00678022-0.000314557j -0.00132588+0.000379787j 0.00624079+0.00067991j 0.00523668+0.000342473j 0.00504063-0.000695446j -0.0160602+2.87675e-06j -0.00494308-0.000387229j 0.0174141-8.40388e-05j 0.0162241+0.000736448j -0.00128633-0.000177174j -0.0129282-0.000840134j -0.00879694-0.000332977j -0.00842906-0.00105692j 0.00837039+0.000614499j -0.014516+0.000351984j 0.02659+0.000598592j -0.00262754+0.00133277j 0.00969105-0.000110185j -0.0121397+3.57443e-05j 0.0156341+0.000382431j 0.0177957-0.000853166j 0.00229616-0.000417827j -0.00418437+0.00044107j 0.0181613-0.000216901j -0.00874835-0.000190881j 0.0077628+0.000479301j -0.00705398+0.000395997j 0.00872832-0.000341872j -0.00681512+0.000202942j 0.00987261-0.000514599j -0.00400412-8.45136e-05j 0.00131532+0.000382252j 0.00284371-0.000236257j -0.0184881-0.000736692j 0.0105227-0.000631617j -0.0034276+0.000674332j 0.000403049-0.000508356j 0.0159766-0.001227j -0.0246337+0.000885567j -0.00227033-0.000380324j -0.0046817-0.000143362j -0.0238017+0.00027345j 0.00519551+0.00236337j 0.0254328-0.0022718j 0.024026+0.000100957j 0.0473188-0.000589986j -0.0286399+0.00247444j -0.0107037+9.20933e-05j 0.043234-0.000589212j -0.0113446-0.00170628j 0.0290858+0.000732456j -0.0656479-0.00106329j 0.0754382+0.00512093j 0.00601579-0.00647558j 0.0267345+0.00157789j -0.00540499-0.00552991j -0.0134125-0.00137405j -0.0173704+0.00644204j 0.852724-0.00727299j -0.0060165-0.00499441j -0.00568815-0.000347781j 0.0155282-0.00746678j -0.0163183-0.00562856j -0.0159421+0.00840662j -0.00320522-0.0019326j 0.00624062-0.001069j 
0.00213041-0.000548619j 0.00177088-0.000411834j -0.00984108+0.000509699j -0.00746591+0.000811534j 0.00405157-0.00124657j 0.00205125-0.000296465j -0.00603751-0.000218344j 0.0108695+0.000910548j -0.014876-4.13298e-16j 0.00763788-8.90505e-05j 0.00989367+0.000812254j -0.00797451-0.000159758j 0.0197302+0.000484373j 0.00412816+0.000303967j -0.0215795+0.00114117j 0.00530928+9.18287e-05j 0.00117077-0.00080378j 0.0213654-0.000645721j 0.00815585-0.000770717j 0.00485457+0.00057037j 0.00736294+0.000124471j 0.000692474+0.000178793j -0.00749517-0.000233531j -0.00575825-0.000156755j 0.00609794-2.25787e-05j -0.00733392-4.7869e-05j -0.0086421-1.38457e-05j 0.000483352+2.01574e-05j 0.00166417-0.000141405j -0.00480498+0.000302318j -0.00461509-0.000567269j -0.00185406-0.00109161j 0.0104035+0.00065514j 0.000209535+0.000654989j 0.00789543-0.00120787j -0.00300309-0.000300586j 0.0104094-0.00032309j -0.0252604+0.000896264j 0.000936041+0.000451155j -0.00632913+0.000931591j 0.0178519-0.000680605j 0.0050035-0.000985327j -0.0222639+0.00127153j 0.00788856+0.000189155j 0.00511759-0.000850372j -0.00469015-0.000359967j 0.0262151-0.000118989j 0.00767057-0.00066002j -0.019656-0.000619242j 0.0250309-0.000199362j -0.00577806-0.000257598j -0.0272146+0.000799235j -0.00560274+0.000789143j 0.0137249+0.000264423j -0.0314037-0.00149544j -0.01233-0.000806899j 0.0169801-0.000855142j 0.0262322+0.00180906j -0.00543902+0.00259539j 0.00975112-0.000473208j 0.00919935+0.000799985j 0.0204964-0.002834j -0.037725+0.00379214j 0.0611784-0.00519694j -0.0205657+0.000176758j 0.00349862+0.000595879j -0.021865-0.000317879j 0.105787-0.0018232j 0.86826-0.00534542j -0.00537766+0.00865931j -0.0296004+0.00425587j -0.00363988+0.00737548j -0.0322398+0.0067621j -0.00149592-8.80319e-05j -0.00275815-0.000587554j 0.00427-0.000549337j 0.00416963+0.00268097j 
-0.00217873-0.000398553j 0.00436492-0.000181173j 0.00327684-0.000357837j -0.0117794-0.000331426j 0.000345108+0.000215619j 0.00257054+0.000264346j 0.0161581+0.000364407j 0.00551497+0.000210222j 0.00763788+8.90505e-05j 0.0234989-6.70037e-16j 0.00561093+0.000189669j -0.00345436-0.000246334j -0.00450295+0.000603995j -0.00473874-0.00016564j 0.0130809+0.000980404j 0.000303896+0.000359703j -0.00170707+8.25536e-05j -0.0142236-0.000307076j -0.018848-0.000239927j 0.0207611+0.000905382j 0.00613597+0.000295473j -0.0114517-0.000603095j -0.022167-0.00100364j -0.00698208-0.000406546j 0.014125+0.000657435j 0.00182858+0.0001612j 0.0112279+0.000519351j 0.0115337+0.000322325j -0.0116037-0.000217873j 0.00404731+0.000369064j 0.0043481-0.000395134j -0.00247667-0.000634288j 0.00920256+0.000118218j -0.0171092+0.000502559j 0.00407065-0.00110407j 0.00281988+0.000581095j 0.0110477-0.000935122j -0.0075462+0.00129219j -0.00895586-9.47753e-05j 0.0154675+0.000704135j 0.00875733+0.000921153j 0.0220923+0.000611397j -0.00337997+0.000947755j -0.0168562-0.00193828j 0.00144386+0.000670497j -0.00507316+0.000727369j -0.00155255+0.00100491j -0.0154613+0.000147179j 0.0188201-0.00197701j -0.01398+0.00104048j -0.0259558-0.00132694j 0.0498722-2.36267e-06j 0.0230309+0.000705373j 0.0338486+0.000345479j 6.11761e-05-0.00154844j 0.031838-0.00152297j -0.0279211+0.000496014j -0.019248+0.00246804j -0.081441-0.00266687j 0.03348-0.00117552j -0.0582812-6.7631e-05j -0.00950265+0.00259875j -0.0795377+0.000457862j 0.0892279+0.00442011j 0.000472693+0.00112358j 0.00126436+0.00118788j -0.17833+0.00151571j 0.850646-0.0060136j -0.0984457-0.00215045j -0.0189835+1.39009e-05j -0.004156+0.00254768j -0.022305+0.00240936j -0.0218349-0.0014808j -0.00556168-0.00098153j 0.00642088-0.000849789j -0.00392488-0.00285823j 0.00299606+0.000350311j 
0.00661133-0.000619328j 0.00561028+0.000313877j 0.0126735+0.000639276j -0.0045325+0.000273183j 0.0121033-4.18037e-05j 0.00657501-0.000228014j -0.00221364+0.000334222j -0.0137529-0.00103517j 0.00989367-0.000812254j 0.00561093-0.000189669j -0.0171873+1.08854e-16j -0.0048885-0.00038069j -0.0135184-0.000430176j 0.00764147+0.000963025j -0.00515533-0.000508998j 0.00204927-0.00103098j 0.00657812+6.93355e-05j 0.00267523-0.000575054j 0.0154777+0.000276352j 0.0057081+0.000195083j -0.00988736-0.000884752j -0.0175727-0.000471467j -0.00176736+0.00029848j 0.00182318-0.000307878j -0.0230906-0.000406421j -0.00819953+0.000448213j 0.00854398+0.000731622j 0.00207111+0.000970273j -0.00640136-7.68553e-05j -0.00141418+0.000185422j 0.0151832+0.000698457j 0.0155382-0.000964214j -0.0109547-0.00095465j 0.00376316+0.00070617j 0.0049587+7.16358e-05j 0.000122847-0.000133832j -0.0050473+0.000873175j -0.00681655+0.00105931j -0.032244-0.000238643j -0.0160723-0.000308579j 0.0139877-0.000411155j 0.00991747-4.68457e-05j 0.0146417-0.000211368j -0.0323447-0.000279988j -0.0187859+0.000677377j 0.0147149-0.000932703j -0.011749+6.39797e-05j -0.0103673-0.000147877j 0.0274523-0.00134645j 0.0302612+0.00196299j 0.0031682+0.000476254j -0.00454951-0.000449027j -0.0388331+0.00269863j -0.0111768-0.000609006j 0.026113-0.00165109j 0.00179955-0.000953402j -0.0210278-0.00286232j -0.103404-0.00205975j -0.0180726-0.000165028j 0.0578572+0.000829258j -5.80576e-05-0.00371244j -0.00360492-0.000104183j -0.075814-0.000317393j 0.0591256-0.00211484j -0.097096-0.000166326j -0.214199+0.000750316j -0.82618+0.0067157j -0.173925+0.00083621j 0.00296593-0.000759645j -0.0247266+0.00690286j -0.0259767+0.00375048j -0.0286418+0.00327049j 0.0015356+0.0035608j 0.00414202+0.00151039j 0.0119834+0.00323597j -9.98633e-05-0.000270594j -0.00342215-0.0019605j 
