-0.119546-2.35922e-15j -0.133863-0.00108614j 0.0408906-0.0446144j 0.0896207-0.112383j 0.0160106+0.0666163j -0.0405219+0.0246455j -0.0185565+0.0988185j -0.0175645-0.0408313j 0.00105107+0.0737835j 0.0146436-0.00527768j -0.0376167-0.035754j 0.00676205+0.0423851j -0.0215549+0.00673517j -0.0108396+0.00352944j -0.0408753+0.0220068j -0.00579441-0.0416957j 0.0175587+0.0273272j -0.013837+0.012684j -0.00870605+0.0520388j 0.00242702-0.000685042j 0.00708174+0.0224473j 0.0048226+0.0491679j 0.019653+0.0104485j -0.0141315+0.0295783j 0.00608602-0.0137543j 0.0247912-0.00533627j -0.0183915+0.047894j 0.0138703-0.0195139j -0.00697349-0.0176795j -0.012756-0.00505835j 0.0309892-0.00963515j 0.00185148+0.00327579j 0.00110942-0.00517676j -0.0188119+0.00987994j -0.000425054-0.0453599j 0.015538-0.0124578j 0.0102557-0.0190195j 0.0136222-0.0227028j -0.0159666-0.0251492j 0.0270805-0.000795251j 0.00407558+0.016207j 0.0115382-0.0160743j -0.0174991+0.0173568j -0.0105157-0.00224718j -0.00921908+0.000557562j -0.0386359-0.0381681j -0.0152472-0.0443286j 0.013149-0.017762j -0.0263806-0.0295744j -0.0244067+0.0163638j 0.0283811+0.0251196j 0.0169462-0.00938489j 0.0421814+0.0190675j 0.00107058-0.00566096j -0.0396732+0.0110123j 0.00900385-0.0690247j 0.0174287-0.00544662j -0.0321225-0.0179405j -0.0224906-0.0208432j -0.0281172-0.0272225j -0.00107406-0.0139482j -0.0493099+0.00240315j 0.000731932-0.0303365j 0.0419783+0.0785231j -0.137274-0.180492j -0.172492+0.252907j -0.310564+0.0877358j -0.0798842-0.119885j 0.0739892+0.1962j 0.0365312-0.0115413j 0.00214441-0.00450976j -0.213395+0.0901665j 
-0.133863+0.00108614j 0.122-2.98372e-16j -0.100905+0.0982279j 0.0541296-0.0709267j 0.0255728-0.0243611j 0.0254673-0.0267344j -0.0346047+0.0426402j 0.0177505+0.0838212j -0.000420588-0.00901174j 0.0230399-0.0283871j 0.030785+0.0258652j 0.000393226-0.00631445j -0.0138619+0.00074453j -0.0423919+0.0288597j -0.0236464+0.00128017j -0.0212244+0.019352j 0.0268447+0.00122824j 0.0226991-0.0302778j -6.27395e-05-0.0263317j 0.0307381+0.00919575j -0.0426067-0.0273469j 0.0337729+0.0181737j 0.00778462+0.00811816j -0.0236712+0.00894559j 0.0119967+0.000792763j -0.0263272-0.000390173j -0.016389+0.00345876j -0.0282069-0.011487j -0.0306802-0.0147925j -0.00888724-0.0125864j 0.0203223-0.000564446j -0.019149+0.0138759j -0.0222442-0.00905495j 0.00868274+0.0129605j 0.0346584+0.0614048j 0.0288539+0.0296209j -0.00224348+0.00183754j 0.0116724-0.00548708j -0.001244-0.0466227j 0.0367728+0.0838488j 0.0232976+0.00530133j 0.0265009+0.0415271j 0.0188623+0.00787278j -0.0286476-0.01481j 0.00508329-0.00341559j -0.00972085-0.0171721j 0.00259183+0.00565187j -0.0276795+0.011732j -0.000462855+0.00696089j -0.00805421+0.00460833j -0.0245831-6.28264e-05j -0.0174919-0.0280312j -0.0168989-0.010572j -0.0291179-0.00335562j 0.0495648-0.00514031j 0.00872477-0.0233466j 0.00973567-0.0334628j 0.00708595+0.0625994j -0.0295004-0.0535952j -0.0035078+0.00695664j -0.0616961-0.0387563j -0.00955513+0.055664j 0.106089+0.0338558j -0.0285131-0.0534511j 0.131796-0.0858858j -0.319158-0.0860139j 0.059606-0.293076j 0.0831256-0.220738j -0.0145297+8.0527e-05j -0.057312-0.130309j 0.223748-0.096743j 0.00746369+0.00383825j 
0.0408906+0.0446144j -0.100905-0.0982279j 0.0289194-1.04083e-16j -0.0597157+0.0285714j 0.0626293-0.0814755j -0.0475779+0.0444154j 0.0546592-0.0340694j -0.0236953+0.10429j 0.0437585-0.0501763j -0.0377164+0.00689199j -0.0826135+0.0107133j -0.0400141-0.0488269j -0.0214621+0.0368563j 0.00229014-0.029586j 0.0313344-0.016352j -0.00623112-0.00967857j 0.0449864+0.0515968j -0.0353837-0.0104092j 0.0237204-0.0312937j -0.0226289-0.00141512j 0.0185516+0.0147563j 0.0384295+0.0109798j 0.0258828+0.00122828j 0.0169262-0.0293835j -0.021677+0.0244354j -0.00478543+0.0105629j 0.03668+0.0203579j -0.0153585-0.0274941j -0.028765-0.0532779j -0.0337779-0.0212331j -0.0258146+0.0453303j 0.0305887-0.0279393j -0.00224307-0.0410026j 0.00795184-0.0043186j 0.0241317-0.0152153j 0.000249441+0.00158786j 0.010286-0.00497901j -0.0210801+0.0520249j 0.0103318-0.0447454j 0.0310265+0.0736959j 0.0476285+0.0663355j -0.00955669+0.0347838j -0.0293325+0.0353526j 0.0247963+0.0461159j 0.0334611+0.0518898j -0.00561991-0.0452151j -0.0576811-0.00453949j -0.0376716-0.0517671j -0.0301044-0.0110795j 0.0167886-0.0264983j 0.00629756-0.0782069j 0.00660931+0.0484306j 0.0079589-0.00745143j 0.0278376+0.0338156j -0.0525735-0.0178338j -0.0216561+0.0345971j 0.00988964-0.0422242j -0.00169302+0.0343566j -0.0427991+0.1019j -0.0439257+0.0739477j 0.11026-0.00825939j 0.11976+0.113792j -0.215735+0.0705822j -0.0294959-0.0866037j -0.137142-0.339044j 0.0443842-0.0365268j 0.0972442-0.0521733j -0.0526873+0.0291211j 0.00185469-0.0548729j -0.0471207-0.116032j -0.0607227-0.127646j -0.0307211+0.0024741j 
0.0896207+0.112383j 0.0541296+0.0709267j -0.0597157-0.0285714j 0.0498287-2.77556e-17j -0.0919855+0.0366987j -0.00947373-0.00158242j -0.00244025-0.0196223j -0.0307863+0.0181364j -0.00906835+0.00759496j -0.0148927+0.00306179j 0.0658959+0.0112296j -0.0026854-0.0708034j 0.0297845-0.00610293j 0.0348262-0.0452233j 0.0201671+0.00886396j -0.0288894-0.0432881j 0.0115728+0.0533406j 0.000983446+0.0185403j -0.0417417-0.0234574j -0.00208607+0.0114423j -0.0526744-0.038498j -0.00183402-0.022298j -0.0451257+0.0122486j 0.0179289-0.0113187j 0.0233508+0.0267548j 0.00244419-0.0251176j 0.0115829-0.005495j -0.00410838-0.021086j -0.0045716-0.0519486j -0.0419501-0.00161542j 0.00506051+0.00415394j 0.0200346-0.0352862j 0.00701199+0.00328781j 0.00490408+0.0553039j -0.00744081+0.0527753j -0.0142671+0.00608088j -0.00439052+0.0070199j -0.00583338+0.0136513j -0.026202-0.0470469j -0.00477817+0.0204111j -0.00178066-0.00406969j -0.0165246-0.00907584j -0.00921117-0.0388232j 0.0526785+0.0221604j -0.010284-0.00669924j -0.0408485+0.03205j 0.0523737+0.0388159j 0.036775+0.0348711j -0.0187561+0.0692117j 0.0496229+0.0245232j -0.00115587-0.0404485j 0.0204315-0.0256783j -0.0197546-0.0420955j 0.085098+0.0278807j 0.0611158+0.0165884j 0.121228+0.0903725j -0.0461235-0.10058j -0.0569857-0.0365238j 0.17262+0.109422j -0.00626562-0.000291548j -0.0212285-0.023378j 0.0844189-0.0844958j 0.111687+0.275212j 0.027525+0.177988j -0.206851-0.018107j -0.0138864+0.12935j 0.117118-0.0500187j 0.116675+0.00309172j -0.0427193+0.132774j -0.0190452+0.0248677j 0.0195734-0.0132819j 0.0813209+0.191424j 
0.0160106-0.0666163j 0.0255728+0.0243611j 0.0626293+0.0814755j -0.0919855-0.0366987j 0.0662367-3.05311e-16j 0.0662446+0.0174173j -0.0419986+0.0500116j 0.0497214-0.00163717j 0.0547259+0.0230629j 0.0373674-0.0233006j 0.00137898-0.0232568j -0.0131837+0.0680356j -0.035456+0.00127504j -0.0292509-0.0147593j 0.0445789+0.0281122j -0.00969445+0.0187402j -0.00365576+0.0153602j 0.025691-0.014076j 0.0260805-0.0269504j 0.0263872+0.0230062j 0.00238386-0.0168946j -0.0335944+0.0563084j 0.062341-0.023213j -7.77405e-05-0.0474349j -0.0159821+0.0174327j 0.0136368-0.000927659j 0.00617546-0.00833493j -0.0199091+0.0367019j 0.00965947+0.00472746j 0.0333308+0.0294271j -0.0628282-0.0188037j -0.0320348-0.00373554j 0.0144201-0.0326549j -0.0216898-0.0182701j -0.0389357+0.00407157j 0.0295214+0.0161398j 0.00223755-0.0660768j -0.0336894-0.0333047j -0.0375435-0.000369117j -0.000696723+0.0431132j -0.10746-0.0230972j -0.0536982+0.0982208j -0.0718353+0.0351985j -0.0241962-0.031803j -0.0829115-0.0264554j 0.0732734-0.0136739j 0.0336638+0.0452229j 0.0243861-0.00378521j -0.0515933-0.0179794j 0.0555962-0.0132098j 0.021854-0.00222372j -0.0536048+0.0543013j -0.0184937+0.00194048j 0.00633874+0.0911487j -0.0741009-0.115635j 0.0469784+0.101708j -0.0657465+0.196307j -0.149886-0.000493452j -0.0148986-0.0541848j -0.112432-0.0486524j 0.0187766-0.128571j 0.0114982-0.0436192j 0.0613871+0.159475j 0.195136-0.106681j 0.0907186-0.0830363j 0.106913+0.0247065j -0.0681825-0.114748j -0.0495882+0.120745j 0.127984+0.0262104j 0.0437726-0.0495127j -0.0820427+0.194277j -0.0634906-0.116378j 
-0.0405219-0.0246455j 0.0254673+0.0267344j -0.0475779-0.0444154j -0.00947373+0.00158242j 0.0662446-0.0174173j -0.142333-7.21645e-16j 0.0237674-0.0243776j -0.0296968+0.0125057j -0.0570564+0.0239648j 0.0650951+0.0298043j 0.0185007-0.0254648j -0.00203614+0.0199244j 0.0080773+0.00382381j 0.0183204+0.00644469j -0.0577855+0.0324174j -0.0171282+0.0229776j -0.0523263+0.000765383j 0.0547484-0.0296425j 0.0437535+0.0286373j -0.00720398-0.032495j -0.026962+0.0662954j 0.000564557+0.00701474j -0.0160942-0.012076j -0.0263541+0.00536406j 0.0336892+0.0450699j -0.0113981+0.0314246j -0.00208925+0.0636305j 0.099299-0.0240576j 0.0127499-0.0313558j 0.016874+0.0585304j -0.00749497+0.0820638j 0.0419598-0.0059905j -0.00647143+0.0214429j -0.0178276-0.0585351j 0.0382678-0.0339907j -0.00192646-0.0211957j -0.0460762-0.0212004j 0.0158485-0.0512896j -0.02758+0.0762466j -0.0577688+0.0312182j -0.0403449-0.0761996j 0.0211949+0.0343351j 0.0549193-0.00723398j 0.0366708-0.0294285j -0.0502835+0.0894539j -0.00515286-0.0209822j 0.0601349-0.0264766j -0.0121274-0.0331013j 0.0550985-0.121668j 0.108131-0.0194056j -0.0262612+0.0179573j 0.120273+0.000247238j -0.0389525+0.115485j -0.125918+0.157682j 0.0602688+0.0124868j 0.0731353-0.0645641j 0.171047-0.0334139j -0.0341768-0.00371911j 0.0386426+0.105168j 0.0221021+0.102299j -0.15903-0.104534j -0.0525811+0.0320099j 0.00934588+0.0618941j -0.11565-0.0748365j -0.0143648-0.113525j 0.0641997+0.0591788j 0.0149927-0.165395j 0.0606732+0.0901603j -0.087962+0.0352633j 0.0561366-0.0577954j 0.0471002-0.291251j 0.289286-0.0796869j 
-0.0185565-0.0988185j -0.0346047-0.0426402j 0.0546592+0.0340694j -0.00244025+0.0196223j -0.0419986-0.0500116j 0.0237674+0.0243776j 0.114669+4.44089e-16j 0.00445241+0.058351j -0.050874-0.0420067j -0.0462298+0.0398206j -0.0534169-0.0323493j 0.0628708-0.0577005j 0.0271827-0.0363705j -0.0225341-0.0479795j -0.0365555+0.000874186j 0.0287502-0.00670065j -0.00323474-0.0206441j -0.0631512-0.036701j 0.00626769+0.00688958j 0.0329747-0.0267003j -0.0023045-0.0211125j -0.00206571+0.0355989j -0.00198757+0.011955j 0.0127422+0.016968j 0.00415573+0.00208754j -0.035519+0.0413142j 0.027278+0.0148361j 0.0142168-0.0375139j -0.0512843+0.00966653j 0.0325079+0.0381851j -0.0281737-0.0870382j -0.0689069+0.0150337j 0.0276023+0.00746608j 0.0392443+0.0116213j 0.0587335+0.014004j 0.0591833+0.0715628j -0.0947166+0.0410783j -0.0716891-0.00563553j -0.0276256-0.0737234j -0.00675045+0.00525576j -0.0466468-0.0266491j 0.0309553-0.0356949j 0.0742238+0.0068655j -0.0338505+0.0150728j 0.0693796-0.035286j 0.0290428+0.0490061j -0.0365137-0.00110006j -0.0151953-0.0887438j -0.0409065+0.0225862j -0.0464801+0.0259124j 0.111572-0.023955j -0.0670738+0.0415027j 0.0669587+0.0647243j 0.0549193-0.0582551j -0.190176-0.177717j 0.0885963-0.0125198j 0.0987067-0.154649j -0.00666575-0.152693j -0.0207714-0.0487389j 0.0717551+0.0626397j -0.0415113-0.109547j -0.0677954+0.00694223j 0.152436+0.0205046j -0.0901234+0.00590827j 0.094552+0.0351697j 0.0770169+0.239853j -0.0523682-0.0209905j 0.125677+0.0501518j 0.0471418+0.137972j -0.0309974+0.00984417j 0.290834+0.0790063j -0.147474+0.248166j 
-0.0175645+0.0408313j 0.0177505-0.0838212j -0.0236953-0.10429j -0.0307863-0.0181364j 0.0497214+0.00163717j -0.0296968-0.0125057j 0.00445241-0.058351j 0.0251143-1.04083e-17j -0.0194302-0.051978j -0.023134-0.023783j -0.0328932-0.0124943j -0.00247718-0.0260264j 0.0238749+0.0102935j 0.0053298+0.0305378j -0.0465724-0.0386642j 0.0161428-0.0301043j 0.0152068+0.00593036j 0.000961581-0.0585329j 0.0540848-0.0224151j -0.0900501-0.00639232j -0.033555-0.103242j 0.0648902-0.0440513j 0.0534732+0.0229531j -0.00435883-0.00624129j -0.0213391-0.0408753j 0.0229146-0.0276578j 0.0769104+0.0247976j 0.0121577+0.0129045j -0.0272491+0.0267737j 0.0543145-0.00740829j -0.00284404+0.0131957j 0.0462518+0.0374081j -0.0777791-0.0568763j -0.0614246-0.0241623j -0.0482513+0.0377038j 0.0717847-0.0179016j -0.0426472+0.0546955j 0.0628094+0.16729j 0.0681444-0.0184998j 0.0909842+0.00841953j -0.0549541+0.0611966j -0.0158458-0.0358306j 0.118483+0.0758543j -0.00841307+0.0785011j 0.00226496+0.0616588j -0.0134176-0.0200207j 0.0232942+0.0308885j 0.101306+0.136111j -0.0760204-0.0771192j 0.0428217-0.0207073j 0.102822+0.101716j 0.0150583-0.0110686j 0.0303043-0.00617052j 0.0499785-0.10571j -0.0597795+0.0251447j 0.00597553+0.0528567j 0.00499447+0.0281773j -0.0734406+0.0981049j -0.136162-0.170172j -0.0900147-0.00797941j -0.17176+0.0163876j 0.169398+0.0071452j -0.00267983+0.022035j -0.158133-0.00103049j 0.114149+0.0471875j 0.134043+0.0840943j -0.0029888+0.0486835j 0.146872+0.00727238j -0.202624+0.00719996j 0.15387+0.316545j -0.0976201+0.0780287j -0.113026-0.144341j 
0.00105107-0.0737835j -0.000420588+0.00901174j 0.0437585+0.0501763j -0.00906835-0.00759496j 0.0547259-0.0230629j -0.0570564-0.0239648j -0.050874+0.0420067j -0.0194302+0.051978j -0.0377324-1.11022e-16j -0.0630155+0.0449627j 0.0475476-0.046511j -0.0242858+0.0202285j 0.0381905+0.0184544j 0.0391116-0.00125354j 0.129597-0.0515847j -0.0115239-0.0547176j 0.00204324+0.0420612j -0.0387338-0.0482057j -0.103844-0.0798243j -0.0125145+0.0263857j -0.0119125-0.122136j 0.0638464+0.0341924j -0.00564425+0.0161736j 0.00339994-0.00947791j 0.0310447+0.0271188j 0.0176761+0.00326903j -0.110585-0.0672466j -0.0303835+0.0137368j -0.0701041-0.00463464j -0.100509+0.0501138j 0.0280205+0.0317903j 0.0299605+0.0940545j 0.0368142-0.0289348j 0.018998+0.0746034j 0.00902839-0.117434j 0.0469755-0.0874634j -0.00355599+0.012455j -0.0789096+0.0865985j 0.0372082-0.15674j 0.151588-0.0139282j 0.0171721+0.0307851j -0.038834-0.0184528j 0.0234359+0.0470173j -0.00473999-0.0214734j -0.0255235-0.0321965j 0.027501+0.139504j -0.0368717+0.151226j 0.017092+0.0481586j 0.015595+0.0973325j 0.108327+0.0661937j -0.015065+0.0697207j 0.0916734+0.0241707j 0.00771332+0.0402451j 0.102208-0.116686j -0.0625468-0.0057764j 0.0305259+0.0295995j -0.065469+0.0407319j -0.0367936-0.12057j 0.0392628-0.0667383j -0.0513851+0.00399623j 0.0286548-0.111282j -0.0539738-0.036317j -0.0440789-0.0963454j 0.00834769+0.0771981j -0.0651903-0.0527615j -0.0545196-0.0229357j 0.0392769+0.00947298j 0.100725-0.034598j -0.0364981+0.0643883j 0.0422839+0.0345087j 0.0472646+0.0104973j 0.0976308+0.00872564j 
0.0146436+0.00527768j 0.0230399+0.0283871j -0.0377164-0.00689199j -0.0148927-0.00306179j 0.0373674+0.0233006j 0.0650951-0.0298043j -0.0462298-0.0398206j -0.023134+0.023783j -0.0630155-0.0449627j 0.0004877-2.08167e-16j -0.0834846+0.0855617j -0.0423976-0.0156158j 0.0440175-0.0284119j -0.00692713+0.0513246j -0.00327177-0.0900592j 0.0271712+0.0518685j -0.0452844+0.00840411j -0.0445119+0.0876418j -0.0159494+0.044723j -0.039563-0.0230648j 0.011773-0.071392j -0.00720297+0.0400104j -0.0164171-0.0362734j -0.0663585+0.00265659j 0.0313793+0.0198315j 0.0134123+0.0172934j -0.0991161-0.00221769j -0.0451187+0.00381396j -0.0436086-0.0482149j -0.0130647-0.0853887j -0.0346097+0.0120172j -0.0184942+0.0346583j 0.102014+0.0422099j 0.0637849+0.00856252j 0.0608492-0.117516j -0.0270244+0.01355j 0.0949536+0.0336393j -0.0487416-0.11948j 0.161292-0.00261164j 0.0219962+0.122187j 0.0443261+0.120142j 0.064194-0.143848j -0.0784502-0.187429j -0.0805945+4.89458e-05j 0.0769264+0.0250214j 0.00817822+0.0810912j -0.057671-0.0960792j -0.0721323-0.126491j -0.077815-0.00721491j -0.0487304+0.11606j -0.0354744-0.0521454j -0.0204499+0.014225j -0.00299653+0.0701056j 0.0305715+0.0602879j -0.0974825-0.0353461j 0.0159478-0.069779j -0.0096948-0.0313504j 0.0418939-0.0626435j -0.0367151+0.0514525j 0.0332221+0.00154402j -0.0224141-0.116201j -0.0225981+0.0919743j -0.0375395+0.0754016j -0.0129703+0.00301327j 0.0108812+0.00514235j 0.0467706-0.0266218j 0.0293074-0.0215727j 0.0740652+0.0490202j 0.0802571+0.0775486j 0.106436-0.00391613j -0.105841+0.0183991j 0.0298288-0.0188305j 
-0.0376167+0.035754j 0.030785-0.0258652j -0.0826135-0.0107133j 0.0658959-0.0112296j 0.00137898+0.0232568j 0.0185007+0.0254648j -0.0534169+0.0323493j -0.0328932+0.0124943j 0.0475476+0.046511j -0.0834846-0.0855617j 0.00962974-1.33227e-15j -0.0462395+0.0159466j -0.0754454+0.0177043j -0.0217701+0.0141495j 0.0115739-0.0191301j 0.0250813-0.0329416j 0.0628337+0.0168234j -0.0091928+0.0652789j 0.0331564-0.0138379j 0.00452229-0.00527628j -0.0487487+0.0507898j 0.0211032+0.0172282j -0.0413477+0.0398298j 0.0138683-0.0039414j -0.0340127+0.0305438j 0.0252335-0.00614778j -0.0381196-0.013679j 0.0127287+0.0110257j 0.0955384-0.0197769j -0.0936508-0.132595j 0.0501557+0.136574j 0.0160547-0.0463413j 0.0174005+0.0449142j -0.132953-0.0580726j -0.0506373-0.0596234j 0.0424807-0.126799j 0.117407-0.0265678j -0.0211485-0.0414585j -0.0822758-0.0216757j 0.170304-0.0818444j 0.0732122+0.0225903j -0.111028-0.00864776j -0.0243569+0.0354933j 0.0074467+0.102989j -0.0548317-0.0102433j 0.144495+0.109592j -0.0634629+0.0275553j -0.00325078-0.161471j -0.050868+0.0551048j 0.0671639+0.0758064j 0.0825867+0.131631j -0.0212916-5.70309e-06j 0.0636948-0.0145298j -0.0155667+0.0214512j 0.0269356+0.00986561j -0.0912247+0.0231795j -0.0408773-0.0261538j 0.0867292-0.0041739j -0.0894509+0.121934j 0.0878561+0.0146275j -0.0630583-0.0565256j 0.0356121-0.04993j 0.0867507+0.141361j -0.0429131-0.0582939j 0.153058+0.00739695j 0.145501+0.0561661j -0.178984-0.138715j -0.0508086+0.134086j 0.0030262-0.0323024j 0.0720267-0.0928153j -0.000196481-0.018354j 0.0108531-0.038366j 
