0.142641+0.131066j 0.144408-0.147908j 0.179992+0.141125j -0.0568193+0.187139j -0.0637281-0.0923991j -0.170897+0.0620521j -0.252556-0.0143147j -0.0406304+0.200209j 0.145877-0.0360874j -0.0789713+0.0340913j -0.0736164-0.0501805j -0.0448186-0.141918j 0.0568411+0.0729201j -0.125913-0.064865j 0.0396581-0.0636084j -0.093895+0.120378j 0.0250016+0.178815j -0.0980193-0.21961j 0.0907674+0.0569061j -0.0154816+0.0248881j 0.00637665+0.0944349j 0.0519419-0.0726223j 0.165179-0.105986j -0.00075163+0.00646872j 0.156816-0.0258578j 0.0204173-0.149418j 0.0714643-0.12317j -0.125579-0.0345554j 0.165734-0.0531705j 0.0241587+0.0933094j -0.102086+0.206731j 0.21089+0.0928556j 0.127832+0.211523j 0.191544-0.128599j 0.074482-0.0255518j -0.0315024-0.0563426j -0.000766493+0.0597186j -0.0844468-0.026376j -0.0388601-0.0462625j 0.0243649-0.0281221j 0.0144722-0.0164583j 0.0187826-0.0226539j -0.022014+0.0369322j 0.00358244+0.050702j 0.020725-0.022798j -0.00910737-0.0166408j -0.03438-0.00308626j -0.0536256+0.0178051j 0.000646019-0.00705429j 0.0192315+0.0129365j 0.0063341-0.0454408j 0.046594+0.0171269j 0.0119221-0.0303639j 0.0101185+0.0252997j 0.0215582-0.0049404j -0.00427848-0.00237661j -0.0204041-0.0122805j -0.022083-0.0219538j -0.0384173+0.0103964j -0.0147692+0.00439918j -0.00761885+0.0160019j -0.0163222-0.0373722j 0.0177921+0.00369192j 0.0171177-0.00197007j -0.0168156+0.0118776j -0.0297486-0.0061196j 0.00144636+0.0373526j -0.00050996-0.00837578j -0.00659219-0.0312737j -0.0326453+0.00725381j 0.0125854+0.0769516j 0.0761204-0.0113698j 
-0.127759+0.0480772j 0.041918+0.127126j 0.157283-0.203663j 0.180442+0.13561j 0.0440074+0.0847658j -0.0322655+0.0990192j -0.187517-0.127005j 0.0207186+0.139641j -0.206518+0.171699j 0.0596631-0.108209j -0.0227832+0.190423j -0.0522829-0.102355j 0.0315902+0.0707501j 0.140946-0.0676606j 0.0706107-0.0470448j -0.0344926+0.116303j -0.183213+0.012466j 0.0637202+0.0711566j -0.0432602-0.097893j 0.201395+0.0337011j -0.00740824+0.0141803j 0.0728465-0.0367951j 0.151781+0.0906984j -0.0197109-0.0369545j 0.0669883+0.144924j -0.242588-0.0153207j -0.00947876-0.233577j -0.0466035+0.076048j -0.173743-0.216389j 0.23907-0.193416j -0.0963275-0.210162j -0.148263+0.0638841j -0.00819562+0.0554312j 0.0612462-0.026515j 0.0644065-0.00833383j -0.0628744-0.0846665j 0.0730884-0.0444545j 0.00693941+0.0696371j 0.0168983-0.0383602j -0.0352169+0.0106388j -0.00738933-0.0262546j -0.0269869+0.0535412j -0.0233904+0.014635j -0.0401604+0.00597065j -0.0169223+0.00927745j 0.0306474+0.0257665j 0.00100697+0.0150326j 0.0225612-0.00964466j 0.0113884+0.0173977j 0.0421993-0.00325113j 0.0232615+0.0256042j 0.0152353-0.00478279j -0.0101735+0.011285j -0.00667598-0.0238831j -0.00629536+0.00324904j 0.0204547+0.00536123j 0.000566913+0.000879817j -0.00643259-0.0127766j 0.0156296-0.0218424j -0.00595304-0.0231233j 0.0136683+0.0126488j -0.0050353+0.000884456j -0.0242002+0.0183658j -0.00702743-0.00647532j 0.0193953+0.00912557j -0.013368+0.000567875j -0.0115998+0.00972173j 0.00907517+0.0241223j -0.0352743+0.0169788j 0.0162555+0.0334833j -0.0309843-0.0165346j -0.0159872+0.0304157j 
-0.0717782-0.0280147j -0.030421+0.0749317j -0.0951227+0.00666973j 0.0224423-0.0744358j -0.055269-0.0736333j -0.0506621-0.0309966j -0.0802511-0.0187165j -0.0490707+0.0769044j 0.0391955-0.00855501j 0.00404186+0.0174141j -0.00611422-0.026574j -0.00754328-0.0385547j -0.011532+0.00361506j -0.0203026-0.0355557j -0.00695046-0.00413314j -0.00998613+0.0404251j 0.0434633+0.018021j -0.0323464-0.0448363j 0.03116-0.00985456j -0.00352278+0.0147912j 0.0104384-0.000481653j 0.0080054-0.00144472j 0.0475635-0.0627525j 0.00258581-0.0120148j 0.0361187-0.0305327j 0.0158149-0.030731j 0.013983-0.057964j -0.0545823-0.00666162j 0.0482451+0.0113401j -0.0123921+0.0790096j 0.0449467+0.0663243j 0.0222077-0.0494347j 0.138095+0.0987875j 0.147856-0.101576j -0.00353019+0.0913101j 0.0296827-0.0331368j -0.0481304-0.14494j 0.0722528-0.0543637j 0.0640899+0.0864112j -0.00272366-0.0349169j 0.00488541-0.0702672j -0.0403053-0.00842068j 0.0581613-0.00839558j 0.0935616-0.0425947j -0.0131378+0.00745559j 0.0768411-0.0328686j -0.017995-0.00923905j 0.0805642-0.0215038j -0.0465716+0.0303855j -0.0115509-0.0609258j -0.031635+0.0466723j 0.00265864+0.0175407j 0.00688262+0.0104678j -0.0268486-0.00319028j -0.0397188-0.0240808j -0.0226408+0.0388944j 0.0469772+0.129671j 0.0590364-0.00356434j 0.0184545-0.0173979j 0.0116117-0.019605j 0.0181465-0.054479j 0.0426541-0.0107863j -0.0592807+0.043676j 0.0718461+0.0155593j 0.0832463+0.0537463j -0.043063+0.00534072j -0.0454363-0.022763j 0.00351964+0.0567341j 0.0966677+0.137052j 0.143278-0.0978923j -0.0266783-0.154219j -0.156516+0.0243169j 
0.0735534-0.0747422j -0.0715321-0.073351j 0.0156908-0.00251096j 0.0271329-0.00448844j -0.0525573+0.0689646j -0.0713407-0.0756845j 0.0279227-0.0125419j -0.025085+0.0650789j -0.0164761-0.0286729j 0.00792642-0.025022j 0.0561427+0.0152339j 0.0318-0.0328577j -0.0139414+0.00117613j -0.00103324-0.0408334j 0.0361394+0.0309578j 0.00721429+0.0156816j -0.0340076+0.0166898j 0.0243655+0.041341j -0.00671526+0.00707856j 0.0123154+0.00214037j -0.00499931-0.0205279j 0.0197612+0.0164435j 0.0338789+0.0206476j 0.0298043-0.0252434j -0.0252433+0.0247707j -0.00923237+0.0385599j -0.00443355-0.0140392j 0.00351562-0.0446214j -0.0758919-0.0104269j 0.00429001-0.0693554j -0.000210703+0.0157774j 0.0267941+0.0224531j -0.0549729-0.045217j -0.00507335+0.0195499j 0.19825+0.00779627j -0.10749-0.156339j 0.0242526-0.154165j 0.120038-0.091926j 0.0827344-0.0851561j 0.0653354-0.0173306j 0.0362996+0.0677093j -0.0504459-0.0826451j 0.0861748+0.0155815j 0.113302-0.0167267j 0.105033-0.012865j -0.035094+0.0212894j 0.0298879+0.11772j -0.0621414+0.0309793j 0.0110629-0.0114466j -0.0351387+0.0371109j -0.00788599-0.0433656j -0.0333508-0.0219849j -0.0377654+0.0748893j 0.0417117+0.113957j 0.0273117-0.0864541j -0.0242901-0.0751916j -0.044098+0.0652273j 0.033558+0.0273554j 0.0514041+0.0843078j 0.00509382+0.0603335j 0.0409265+0.0202666j 0.0371313-0.079165j 0.178721-0.0250561j 0.0771851+0.0229578j 0.0431268-0.146516j 0.0607585-0.0576631j -0.133806-0.0148209j 0.0188954+0.0798181j 0.105816-0.115225j -0.111654-0.125666j 0.158052+0.0068147j 0.00497784-0.15439j 
0.0441138+0.0874414j 0.0864594-0.044451j -0.0362857-0.101974j 0.0918582-0.0378464j 0.036199-0.0262225j -0.0487888+0.0101627j 0.0185989-0.0491915j 0.0090675+0.0268164j -0.0226702-0.0910473j 0.0924043-0.0199559j 0.016937-0.0233589j 0.0622731+0.0134946j -0.0033654+0.0369608j -0.048529-0.0147323j 0.00872556+0.0307231j -0.0103114-0.0130693j -0.00617163-0.0244142j -0.0315994+0.00589624j 0.0186163+0.0222536j -0.0487761-0.00795866j -0.00240035-0.0609075j 0.0120607-0.0324875j -0.0149903+0.0104423j -0.0137717+0.0302762j -0.0364723-0.0122476j -0.0257145+0.0236341j -0.0467511+0.0494733j 0.062149+0.061125j 0.0727758-0.0720216j 0.0346351+0.0900126j 0.105+0.0113723j 0.0241619-0.0901386j -0.0901198+0.0648147j 0.0745765+0.0932926j -0.0164308-0.060271j -0.130804-0.0262392j 0.00170118-0.116906j 0.0587234+0.0116955j 0.0806276-0.189206j 0.245147+0.136045j -0.083389-0.0284624j -0.0602297-0.102017j 0.012811+0.109869j -0.0552216-0.0906026j -0.0497924+0.100575j 0.121122-0.139233j 0.0144548+0.0112183j -0.0399716+0.016464j 0.102829-0.112795j 0.0272396+0.0404432j -0.036916+0.0770449j 0.0664792-0.0653198j -0.0495621+0.059799j -0.0675924-0.029341j 0.0108135-0.0948579j 0.0642389-0.123681j 0.0108791+0.00151323j -0.111636-0.100441j 0.179332-0.100881j -0.0526061-0.0691589j 0.118128+0.0904367j 0.124253+0.131752j 0.127014-0.0300366j -0.139812+0.170927j -0.172933-0.0948561j -0.21437-0.0226994j 0.0391894+0.278948j 0.172599-0.103385j 0.111874+0.112531j 0.0943008-0.0963929j 0.0113634+0.0544228j 0.054965-0.0112708j 
0.00280151+0.0833379j 0.0866937-0.00618375j 0.0554227-0.00271146j -0.0186533+0.0533012j 0.0674848-0.0111405j 0.0510472+0.0794059j 0.000131387+0.0108692j 0.0422422-0.053196j -0.0123285+0.0184906j 0.00577733+0.00668992j -0.0444088-0.0065682j -0.0266332+0.0343147j 0.0151639+0.00388181j -0.0125567+0.0413382j -0.0109769-0.016093j -0.00770916-0.0173406j -0.00486846-0.0145399j -0.00522965-0.0124036j -0.00298593+0.0041762j -0.0132288-0.00635917j 0.00277565+0.0161295j -0.0112538-0.0294029j -0.0346997+0.0166733j -0.0230456+0.0228155j 0.00406842+0.000705527j -0.0117965-0.0161062j -0.00670168+0.0323406j 0.0242797+0.0334656j 0.049073-0.0211211j 0.00402243+0.025276j -0.0188903-0.0372727j -0.0115735+0.0121275j -0.0344888+0.0121598j -0.0666005+0.0357697j -0.122286-0.105086j 0.0291903+0.116848j -0.00245694+0.197773j -0.118507+0.0628491j -0.0844742-0.0333475j 0.00157977+0.0714552j 0.022415+0.0106052j 0.0662681+0.0643821j -0.147176-0.00442806j -0.171688+0.0262661j -0.0607464+0.059995j -0.0228551-0.0118151j -0.00673222-0.0827099j -0.0370229-0.0273606j 0.0529716-0.0224598j 0.0346567+0.0382386j 0.0377926-0.0216719j 0.0427743+0.00124016j 0.024079-0.0754289j -0.0268384-0.0980713j -0.00274898+0.075254j 0.0490762+0.00878353j 0.0332008-0.147272j -0.0740442-0.0370329j -0.0234977-0.0596121j -0.0449203-0.0477464j -0.0193823+0.0318097j -0.0379954+0.086977j -0.0697608-0.022353j -0.111536+0.0166539j -0.0920766+0.0669935j -0.0491989+0.0504394j 0.127126+0.0276572j -0.0208295-0.0588207j -0.127361+0.0208894j 0.0208738+0.141831j -0.060787+0.110242j 0.105863+0.0622256j 
-0.115183-0.013125j -0.0209632+0.115924j -0.101271-0.0569937j 0.0510601-0.0803295j 0.00167992-0.0845009j 0.00824629+0.00204032j -0.047866-0.0292306j -0.038173+0.00834628j 0.00119687+0.00761404j 0.0180767+0.0209847j -0.0143143-0.0149295j -0.0139569-0.0141744j -0.00587031-0.00444133j 0.00674435-0.0146132j -0.0275598-0.00295197j -0.00407849+0.018919j 0.040138-0.0213192j -0.0242469-0.0129075j 0.0146893-0.0231175j 0.00052834+0.00597224j 0.00843503-0.00544503j 0.0028731-0.00452542j 0.00678848-0.0353528j -0.00988564+0.00317148j 0.0189791-0.0274034j -0.0011511-0.0182995j 0.00463148-0.0357253j -0.0272931+0.0266201j 0.0334836+0.00383326j -0.00450559+0.0859403j 0.0463253+0.0186j -0.0176841-0.0679202j 0.11129+0.0867072j 0.125082-0.0411072j -0.149689+0.0627332j 0.0512805+0.0465334j -0.0180243-0.113368j 0.0151795+0.0404209j 0.0402886+0.113666j -0.0236521-0.0285372j -0.00159916-0.122136j -0.0667658+0.0468707j 0.0287633-0.016132j 0.0241537-0.0616454j -0.0768886+0.0204956j 0.123285-0.029212j -0.0173484-0.0780573j 0.139543-0.0113818j -0.039237+0.0224216j 0.000869014-0.0712173j -0.0188175+0.0885743j 0.00666247+0.0322364j 0.02083-0.0187706j -0.0537599-0.0581102j -0.0747231+0.00837729j 0.015309+0.0709674j 0.0860368+0.0954117j 0.0339608-0.040174j 0.0142424-0.0823194j 0.00679274-0.0620997j -0.00279062-0.0865413j 0.058129+0.0581911j -0.137009+0.0716784j 0.0143911+0.00474875j 0.0730207+0.0783104j -0.0586228+0.0738957j 0.0117965+0.00177972j 0.0507382+0.0174882j 0.0765197+0.155685j 0.159349-0.071478j -0.103447-0.121861j -0.117454+0.105072j 
0.00154306+0.00504138j 0.00271275+0.00128824j -4.47823e-05+0.00652498j -0.0116299+0.00485576j 0.000438169+0.00405278j 0.010275-0.016072j 0.00821388+0.00268449j 0.00977275-0.0110967j -0.00114235+0.00878449j -0.00455409-0.00917979j 0.0148419-0.00175241j 0.0109233+0.00152321j -0.0112816-0.00478685j -0.00389115+0.00638749j -0.00209179-0.0158309j 6.22547e-05-0.00579842j 0.00896978+0.000333977j 0.00633691+0.0100596j 0.00276023-0.00899725j 0.0034525-0.00711694j -0.00363019-0.00598608j 0.00718059+0.00456196j -0.000568167-0.0146103j 0.00861089+0.00649801j -0.00291915-0.0040375j 0.00100726-0.00478062j -0.0115747-0.00140939j -0.0202654-0.0051513j -0.01524+0.00347354j 0.0141832-0.0130407j 0.00334854+0.00330404j -0.00219339-0.0116645j 0.0204623-0.00932266j 5.72313e-05-0.0181833j -0.00360896+0.0458749j 0.0336828-0.00609686j 0.0185852-0.00479978j 0.0239211+0.0140474j -0.00253212-0.014659j -0.00718663-0.0373212j 0.0318166+0.0142219j -0.0311521+0.027968j -0.00837866-0.0174566j -0.0398102-0.0122723j 0.0101237+0.0290331j 0.00585453+0.0516111j 0.0142983-0.0236208j -0.00826255+0.0146227j -0.0263761+0.00470177j -0.0188901+0.0220128j 0.0298534-0.0460001j -0.001989+0.0228725j 0.0292311-0.00139051j 0.0438229-0.00155257j -0.0144353-0.0045925j 0.00383602+0.0254697j -0.00960397-0.00784878j 0.0113094+0.00479576j -0.0154666-0.0068053j 0.0181981-0.0138927j -0.0446091-0.0378152j -0.00425836-0.0209891j 0.0150801-0.0273967j 0.0445359+0.00276678j -0.00982945-0.0132478j 0.0119494-0.0162752j -0.0218899+0.00396243j 0.0163983+0.0255064j -0.0101484+0.039181j 0.0380931-0.00432637j -0.00264692+0.00415649j 0.00282398+0.00164709j 
-0.0146622-0.00550587j -0.00496551+0.0124071j -0.0215001-0.012463j 0.0111721-0.0251384j -0.0189561+0.00405703j 0.0160523-0.0119452j -0.00276163+0.00720666j -0.0344218+0.00986953j -0.0248974-0.0178881j 0.0109934+0.0172031j 0.01906+0.0140268j -0.0147159-0.0187324j -0.000900093-0.0165492j -0.00914629-0.0305577j -0.00822415+0.0127164j 0.0045532-0.00239739j 0.0113369-0.0317492j -0.0193767+0.0200316j -0.00320339-0.0143561j 0.00889203-0.0105833j -0.0129005+0.00270883j 0.0163157+7.6401e-05j -0.0113398-0.00351117j -0.00834679+0.00874373j -0.0087458-0.00907786j -0.00287116+0.0133071j -0.00988966-0.0135228j 0.00115721-0.00446328j 0.00942567+0.00853144j -0.00237895+0.0240267j -0.0182075-0.0147564j -0.0167945+0.0341388j 0.0191402-0.00607018j -4.55789e-05-0.0208671j 0.01174+0.0320954j 0.0146045-0.00817062j 0.00173234+0.00317096j 0.00346044-0.0018602j 0.00369785-0.00258727j 0.00214846-0.0191787j -0.00595739-0.00964111j -0.00700037-0.00230259j 0.00438327+0.00917956j -0.00730094+0.00173549j 0.0126562+0.00362633j 0.00317075+0.0197012j 0.00942411-0.00413723j 0.000142548+0.00869084j -0.0196091-0.00262208j -0.00243209+0.00276765j -0.00534458-0.00256316j -0.00512858-0.0046599j 0.00439468+0.0132197j 0.0131417-0.00415245j 0.00595261-0.00865301j -0.0057836+0.022815j -0.0180693+0.0121438j 0.00778814+0.0135404j 0.00529216-0.00381341j 0.0165332-0.00166825j -0.00458783-0.00495814j -0.000682988-0.0166381j -0.00128057-0.0188064j 0.0277632-0.00142431j -0.00626639-0.00150708j 0.00548594-0.014662j -0.013982+0.00412127j 0.0246615-0.0138634j 0.0012854+0.0246806j 0.0200649+0.00847309j -0.00885356-0.0150281j -0.0151258+0.00838528j 
-0.00412204+0.00826338j 0.010648+0.00291992j -0.000569054-0.00171972j 0.00965227-0.00186322j -0.0227515-0.00790423j -0.00704451+0.0094988j -0.0119529+0.000709524j -0.00546057+0.00962996j 0.00668981+0.01517j -0.0132364+0.012453j -0.0378456+0.00188748j -0.0137788-0.000495325j -0.00870009+0.0153272j 0.00990977+0.0307794j -0.0165536+0.0110139j -0.0215313+0.00073536j -0.0151341-0.00889354j 0.0164591-0.0240949j -0.00953379+0.0040426j -0.0038946-0.0111194j 0.014384+0.00507393j -0.0261489-0.00983055j -0.014019+0.0295503j -0.0106772+0.00202606j 0.0115448+0.00186806j -0.0278823+0.00519876j 0.0125637-0.00176593j 0.0317932+0.0108773j 0.0054693-0.00291913j -0.0223978-0.00502151j -0.00472232+0.015255j 0.00421577+0.00744615j 0.0173002-0.00979601j -0.0129771-0.016522j -0.000405367+0.0126242j 0.014448-0.00260489j 0.0137851+0.0212281j -0.00721003+0.0146699j -0.00613963-0.00520871j 0.00407978-0.0165743j -0.00140236+0.017431j -0.0205409+0.00150918j -0.00645749+0.000394772j -0.0227458-0.00627537j -0.00477416+0.0155424j -0.00635957+0.0234163j 0.0128425-0.0122718j -0.0130363+0.00876849j -0.016799-0.00524526j -0.00166071+0.00853198j 0.0141219-0.00469784j 0.00100263+0.00689628j 0.0164857+0.00222188j 0.0268311-0.00341114j 0.00284804-0.0122736j 0.00674781+0.018585j -0.008698-0.00545973j -0.000221223+0.00480557j -0.00537512-0.0112856j 0.0155034-0.0125101j -0.0112955-0.00687767j 0.00477693-0.0148995j -0.0027086-0.0130743j 0.0157664-0.00207861j -0.0180683-0.00317288j 0.00179721-0.00569943j -0.00683803+0.00291216j 0.0237566+0.00512302j -0.0114363+0.016573j 0.00627425+0.0107218j -0.00702259+0.00982251j 0.0100002+0.00765442j 
0.00903613-0.000424182j -0.00349381-0.00841877j 0.00462495-0.00642783j -0.00151772-0.00460522j 0.0125308+0.0362367j -0.0229144-0.0113358j 0.00637032-0.0118719j 0.0119882+0.0133613j -0.010611+0.00783437j -0.00142626+0.0173957j 0.00236989+0.0138399j -0.00354383-0.0137834j -0.0289714+0.0137941j 0.00779102+0.0127916j -0.0177418+0.000408711j -0.0151476-0.00193779j -0.0046783-0.0331595j 0.000586745-0.0336817j -0.0047337-0.0195622j -0.00644785-0.0220675j 0.00117297+0.0101156j 0.00448447+0.0150634j -0.0211933+0.00585897j 0.000683064+0.0230749j 0.025135-0.0310059j -0.00194151+0.00877527j -0.000737879-0.0112799j -0.012068-0.0248494j -0.0222538+0.0019499j 0.00701887-0.00826697j 0.000165068-0.0110867j -0.0049666-0.0101909j 0.00130056+0.0216362j 0.0200796+0.00100898j -0.0160435-0.0112711j -0.00757214+0.0186946j -0.0105201-0.00043593j -0.010868-0.0011701j 0.00817957-0.00310521j 0.00236121+0.0181556j 0.00933355-0.0203288j 0.0211055-0.00475085j -0.00165736-0.00952643j 0.0115724-0.00202748j -0.00913454-0.0122836j -0.0011836-0.014336j -0.00260791+0.00561343j 0.00836323-0.0136501j 0.0261138+0.00348775j -0.00151563-0.00833307j -0.00282717-0.00284312j -0.000831371+0.00060443j -0.00529882+0.00158129j -0.0307453+0.00262998j -0.00233822+0.0169949j -0.0185225-0.0169071j 0.011608-0.00071962j 0.00094294-0.0101489j 0.00308709+0.00781255j -0.00427208+0.0161324j -0.00137898-0.00632773j -0.00959284+0.0249518j 0.0100151+0.0124519j -0.0174816+0.00386615j 0.0105742+0.0129586j -0.00244322+0.0109473j 0.013113-0.00310422j -0.018279-0.00697786j 0.00461758-0.00428555j 0.00324932-0.00464841j 0.00167138-0.00567262j -0.00520951-0.00248298j 
