-0.101184-0j 1.06952e-05-0j 0.00690669-0j 0.000431099-0j -0.000423167-0j -0.0072859-0j 0.087068-0j 0.00715184-0j -0.0854659-0j 0.000302924-0j 5.33554e-06-0j -0.00482684-0j -0.000427987-0j 3.0917e-05-0j 0.0282354-0j -8.50174e-05-0j 5.44556e-07-0j 0.0102683-0j 0.00681962-0j 0.000497324-0j -4.36812e-05-0j 0.00018086-0j -0.0398925-0j -0.0145075-0j -0.000703742-0j 3.87212e-06-0j 0.0108575-0j 0.000166588-0j -0.000231256-0j -9.27261e-05-0j -0.000288959-0j -5.97399e-05-0j -0.0598802-0j 0.00110814-0j -0.00257015-0j 5.10197e-07-0j -0.0187276-0j 0.00356786-0j 2.19499e-05-0j 0.000329472-0j -0.00287929-0j 0.00445812-0j 0.0141747-0j -6.09718e-06-0j -3.04706e-05-0j -0.000262315-0j 0.000103043-0j -0.0196772-0j -3.80737e-05-0j 0.000364143-0j 0.00443315-0j 1.58424e-05-0j -0.0245871-0j -0.00615407-0j 0.000681577-0j 0.000455005-0j -0.00094616-0j -0.00768965-0j -0.00118225-0j 
-0.00598698-0j 0.408959-0j -0.000613509-0j 0.00239955-0j -0.00246394-0j -0.0408124-0j 3.53487e-05-0j 0.0419076-0j -3.62972e-05-0j 0.0034181-0j 0.00208645-0j 0.000569684-0j -0.00123694-0j -0.067479-0j -0.00685144-0j 0.000347742-0j -0.04119-0j 4.19612e-06-0j -0.000206157-0j -0.00418221-0j 0.0244192-0j 2.56136e-06-0j 0.00247939-0j -1.51849e-06-0j -0.00131903-0j 0.00306958-0j -0.000212858-0j 0.00279685-0j 0.00132491-0j 0.0167218-0j -0.000555408-0j 0.000495351-0j -2.50855e-05-0j 0.00420217-0j 0.00045134-0j -0.038914-0j 0.000246335-0j 0.000213807-0j -0.0354566-0j 5.83777e-05-0j -1.1686e-07-0j -8.96286e-05-0j 5.3191e-05-0j -0.00977905-0j -0.0167963-0j -0.00891021-0j -0.000573257-0j 2.51974e-05-0j 0.00704108-0j -0.0042209-0j -0.000522324-0j 2.71951e-07-0j -1.05628e-05-0j -0.000247433-0j 2.47789e-07-0j 0.00176942-0j 1.17381e-07-0j 0.000103725-0j -4.92067e-08-0j 
-0.0826168-0j 0.000613509-0j 0.396189-0j -0.000346345-0j 0.000355639-0j 0.00585349-0j -0.0699503-0j -0.00601056-0j 0.0718274-0j -0.000493361-0j -0.000301153-0j 0.0078613-0j 0.000178537-0j -5.03534e-05-0j -0.045986-0j 0.00479863-0j -3.07363e-05-0j -0.0167235-0j -0.00284484-0j -0.0280704-0j 1.82218e-05-0j -0.0102083-0j 0.0166413-0j 0.00605189-0j 0.000190386-0j -0.000443056-0j -0.00293731-0j -0.000403691-0j -0.000191235-0j 2.50855e-05-0j 8.01662e-05-0j 0.00683555-0j 0.0161996-0j -0.000299788-0j 0.00622823-0j -5.83777e-05-0j 0.00506646-0j 0.00295041-0j -5.3191e-05-0j -0.0376989-0j 0.000778945-0j -0.00123682-0j -0.0343494-0j 0.000697651-0j -2.51974e-05-0j 0.000635666-0j -0.0117904-0j -0.0162718-0j 1.05628e-05-0j 0.000301125-0j -0.0107428-0j -0.00181272-0j 0.00682121-0j -0.00508905-0j -0.00165166-0j -0.000126232-0j -0.000782418-0j 0.00213335-0j 0.000327992-0j 
0.00604903-0j 0.401434-0j -0.000602221-0j 0.00246394-0j -0.00248846-0j -0.0419076-0j 3.62972e-05-0j 0.0423247-0j -3.66585e-05-0j -0.00345352-0j -0.00208145-0j -0.000575587-0j 0.00114454-0j 0.0681783-0j 0.00692244-0j -0.000346909-0j 0.0410913-0j -4.2396e-06-0j 0.000190757-0j 0.00417218-0j -0.0225952-0j -2.55522e-06-0j -0.00229419-0j 1.40506e-06-0j 0.0013327-0j 0.0030131-0j 0.000215064-0j 0.000952128-0j -0.00135991-0j -0.0168951-0j 0.00267938-0j 0.000486237-0j 2.53455e-05-0j -0.00424572-0j 0.000153649-0j -0.038198-0j -0.000248888-0j -0.000219455-0j -0.0120704-0j 5.73036e-05-0j 1.18071e-07-0j 0.000432383-0j 1.81077e-05-0j -0.00959912-0j 0.0172401-0j -0.00303329-0j -0.000562709-0j -2.58631e-05-0j -0.0339673-0j 0.00433241-0j -0.000177814-0j 2.66947e-07-0j 5.09569e-05-0j 0.00025397-0j 8.43543e-08-0j -0.00853597-0j -1.20482e-07-0j -0.000500386-0j 2.37381e-07-0j 
0.00523861-0j -0.00509342-0j 7.64101e-06-0j -0.00633304-0j -0.00209457-0j 0.107715-0j -9.32945e-05-0j 0.0356253-0j -3.08559e-05-0j 0.0014994-0j -7.83814e-05-0j 0.000249899-0j -0.00211843-0j -0.0296006-0j -0.00300548-0j -1.30636e-05-0j 0.00154738-0j 1.84068e-06-0j -0.000353071-0j 0.000157112-0j 0.0418213-0j -9.62223e-08-0j 0.0042463-0j -2.60061e-06-0j 0.00115415-0j 1.9166e-05-0j 0.000186251-0j 0.000772083-0j 0.00339725-0j -0.0146316-0j -0.00143028-0j 3.0929e-06-0j 2.19499e-05-0j -0.0036769-0j 0.000124594-0j -0.000242974-0j -0.000215543-0j 0.000548229-0j -0.00978793-0j 3.64502e-07-0j 1.02253e-07-0j -0.00023081-0j 1.46836e-05-0j -6.1059e-05-0j -0.043068-0j -0.0024597-0j -3.57934e-06-0j 6.46094e-05-0j 0.018132-0j -0.0108229-0j -0.00014419-0j 1.69802e-09-0j -2.72012e-05-0j -0.000634451-0j 6.84031e-08-0j 0.00455657-0j 3.00981e-07-0j 0.00026711-0j -1.26716e-07-0j 
0.083473-0j 0.000602221-0j 0.388899-0j -0.000355639-0j 0.000359179-0j 0.00601056-0j -0.0718274-0j -0.00607039-0j 0.0725424-0j 0.000498473-0j 0.000300432-0j -0.00794276-0j -0.000165201-0j 5.08752e-05-0j 0.0464625-0j -0.00478713-0j 3.06627e-05-0j 0.0168968-0j 0.00263234-0j 0.0280031-0j -1.68607e-05-0j 0.0101838-0j -0.0153983-0j -0.00559984-0j -0.000192359-0j -0.000434903-0j 0.00296775-0j -0.000137428-0j 0.000196287-0j -2.53455e-05-0j -0.000386735-0j 0.00670978-0j -0.0163675-0j 0.000302895-0j 0.00212026-0j -5.73036e-05-0j -0.00511896-0j -0.00302835-0j -1.81077e-05-0j -0.0370052-0j -0.000787018-0j 0.00596663-0j -0.0116935-0j 0.000684814-0j 2.58631e-05-0j 0.000216399-0j -0.0115734-0j 0.0167017-0j -5.09569e-05-0j -0.00030908-0j -0.00365716-0j -0.00177937-0j -0.0329067-0j 0.00522349-0j -0.000562273-0j 0.000608967-0j 0.000803088-0j -0.0102916-0j -0.00158229-0j 
0.0722897-0j -7.64101e-06-0j -0.00493437-0j 0.000914095-0j 0.000302325-0j -0.0154489-0j 0.184617-0j -0.00510952-0j 0.0610598-0j -0.000216419-0j 1.13134e-05-0j 0.00344846-0j 0.000305769-0j -2.20882e-05-0j -0.0201724-0j -0.00018027-0j 1.15467e-06-0j -0.007336-0j -0.00487217-0j 0.00105452-0j 3.12074e-05-0j 0.000383492-0j 0.0285006-0j 0.0103647-0j -0.000166588-0j -2.76638e-06-0j 0.00257015-0j -0.000111441-0j -0.000490351-0j -2.19499e-05-0j 0.000206443-0j 4.26802e-05-0j -0.0141747-0j 0.000262315-0j 0.00171933-0j -3.64502e-07-0j -0.00443315-0j 0.00756523-0j -1.46836e-05-0j -0.000235386-0j -0.000681577-0j -0.00318504-0j -0.0094823-0j 4.35603e-06-0j -6.46094e-05-0j 0.000175478-0j -7.36175e-05-0j -0.0417231-0j 2.72012e-05-0j 0.000772123-0j -0.00296561-0j -1.13184e-05-0j 0.0175659-0j -0.013049-0j -0.000455948-0j -0.000325072-0j -0.00200622-0j 0.00549375-0j 0.00084464-0j 
-0.00432163-0j -0.577799-0j 0.000866798-0j 0.00173208-0j -0.00162883-0j -0.02946-0j 2.5516e-05-0j 0.0277038-0j -2.3995e-05-0j -0.00123694-0j -0.00294785-0j -0.000206157-0j -0.00345711-0j 0.0244192-0j 0.00247939-0j -0.000491308-0j 0.0581955-0j -1.51849e-06-0j -0.000576186-0j 0.00590884-0j 0.0682492-0j -3.61883e-06-0j 0.00692964-0j -4.24401e-06-0j -0.000952128-0j 0.0021742-0j -0.000153649-0j 0.00201888-0j 0.000875858-0j 0.0120704-0j -0.000466497-0j 0.00035086-0j -1.81077e-05-0j 0.00303329-0j 0.000325795-0j -0.027563-0j 0.000177814-0j 0.000141341-0j -0.0255939-0j 4.13492e-05-0j -8.43543e-08-0j -7.52806e-05-0j 3.83953e-05-0j -0.00692655-0j -0.0111035-0j -0.00643173-0j -0.000406041-0j 1.66572e-05-0j 0.00591392-0j -0.0027903-0j -0.000377034-0j 1.92624e-07-0j -8.8719e-06-0j -0.00016357-0j 1.78863e-07-0j 0.00148616-0j 7.75971e-08-0j 8.71203e-05-0j -4.13295e-08-0j 
-0.059636-0j -0.000866798-0j -0.559757-0j -0.000250005-0j 0.000235102-0j 0.00422527-0j -0.0504928-0j -0.00397339-0j 0.0474828-0j 0.000178537-0j 0.000425486-0j -0.00284484-0j 0.000498992-0j 1.82218e-05-0j 0.0166413-0j -0.00677976-0j 4.34259e-05-0j 0.00605189-0j -0.00795102-0j 0.0396593-0j 5.09281e-05-0j 0.0144228-0j 0.0465108-0j 0.0169144-0j 0.000137428-0j -0.000313818-0j -0.00212026-0j -0.0002914-0j -0.000126419-0j 1.81077e-05-0j 6.7333e-05-0j 0.00484166-0j 0.0116935-0j -0.000216399-0j 0.00449577-0j -4.13492e-05-0j 0.00365716-0j 0.00195042-0j -3.83953e-05-0j -0.0267023-0j 0.000562273-0j -0.00103883-0j -0.0247947-0j 0.000494149-0j -1.66572e-05-0j 0.000458848-0j -0.00835119-0j -0.0107568-0j 8.8719e-06-0j 0.000199064-0j -0.00775459-0j -0.00128396-0j 0.00572925-0j -0.00336421-0j -0.00119223-0j -0.000106025-0j -0.000517232-0j 0.00179183-0j 0.000275487-0j 
0.00138078-0j 0.370562-0j -0.000555906-0j 0.000562431-0j 0.00601051-0j -0.00956605-0j 8.2854e-06-0j -0.102229-0j 8.85431e-05-0j 0.000395208-0j -0.00192138-0j 6.5868e-05-0j -0.00369621-0j -0.00780206-0j -0.000792178-0j -0.000320229-0j 0.0379311-0j 4.85164e-07-0j -0.000616035-0j 0.00385132-0j 0.0729693-0j -2.35871e-06-0j 0.0074089-0j -4.53753e-06-0j 0.000304209-0j -0.00139439-0j 4.90916e-05-0j 0.000217338-0j 0.00328467-0j -0.00385656-0j -0.0023943-0j -0.000225018-0j 5.7855e-06-0j -0.000969149-0j 3.50727e-05-0j 0.017677-0j -5.68124e-05-0j 0.000530061-0j -0.00275526-0j -2.65186e-05-0j 2.69516e-08-0j -0.000386378-0j 4.13336e-06-0j 0.00444223-0j -0.0416407-0j -0.000692394-0j 0.000260408-0j 6.24683e-05-0j 0.0303532-0j -0.0104643-0j -4.05888e-05-0j -1.23536e-07-0j -4.55351e-05-0j -0.000613426-0j 1.92552e-08-0j 0.00762774-0j 2.91007e-07-0j 0.000447145-0j -2.12124e-07-0j 
