-0.012013-0j 0.0998743-0j 0.0253225-0j -0.0105048-0j 0.0823404-0j -0.00107214-0j 0.0208039-0j 0.00246466-0j -0.00663964-0j -0.00670845-0j 0.0503913-0j 0.0509135-0j -0.00087485-0j 0.0120036-0j -0.000883916-0j 0.00514304-0j 0.012128-0j 0.00519634-0j 0.00184412-0j 0.000140679-0j 0.00186323-0j 0.000142137-0j 
0.00857713-0j -0.144225-0j 0.000126353-0j 0.000148449-0j 2.47415e-05-0j -0.0028975-0j -0.000294179-0j 1.82238e-07-0j 0.00474061-0j -0.00460014-0j 0.000765013-0j -0.000742344-0j -0.0594153-0j 9.01576e-05-0j 0.0576547-0j -0.0149319-0j -8.7486e-05-0j 0.0144894-0j -0.00087527-0j 4.19997e-07-0j 0.000849333-0j -4.07552e-07-0j 
-0.001238-0j 0.0208039-0j -0.247195-0j -2.14268e-05-0j 0.000339473-0j -2.18686e-06-0j -0.00197424-0j -0.000718082-0j -0.000684248-0j 0.000663972-0j 0.0104966-0j -0.0101855-0j -9.01576e-05-0j -0.0575528-0j 8.7486e-05-0j 0.0010713-0j 0.0558474-0j -0.00103956-0j -0.018002-0j -0.00276789-0j 0.0174685-0j 0.00268587-0j 
-0.709037-0j 0.00087485-0j 7.29041e-05-0j 0.00432757-0j -0.103336-0j 0.00044168-0j 9.01576e-05-0j 5.31259e-06-0j -0.00263037-0j 0.00276362-0j -0.000424474-0j 0.000445977-0j 0.0496553-0j 0.00716713-0j -0.0521708-0j -4.33227e-05-0j -0.0075302-0j 4.55173e-05-0j -5.10563e-06-0j -2.33039e-07-0j 5.36427e-06-0j 2.44844e-07-0j 
0.716385-0j -0.000883916-0j -7.36596e-05-0j 0.00419933-0j -0.100274-0j 0.000428592-0j 8.7486e-05-0j 5.15516e-06-0j -0.00276362-0j 0.00279007-0j -0.000445977-0j 0.000450246-0j 0.0521708-0j 0.0075302-0j -0.0526701-0j -4.55173e-05-0j -0.00760228-0j 4.5953e-05-0j -5.36427e-06-0j -2.44844e-07-0j 5.41561e-06-0j 2.47188e-07-0j 
-0.00087485-0j -0.691847-0j 0.00184412-0j -0.000765013-0j 0.00599645-0j 0.0149319-0j -0.144113-0j 0.000179489-0j 0.000464988-0j -0.000488543-0j -0.00352901-0j 0.00370778-0j -0.00582781-0j -0.000840638-0j 0.00612304-0j 0.0688809-0j 0.000883224-0j -0.0723703-0j 0.0122846-0j -9.85202e-06-0j -0.0129069-0j 1.03511e-05-0j 
7.29041e-05-0j -0.00184412-0j -0.669853-0j 6.37511e-05-0j -0.00152036-0j 6.50656e-06-0j 0.018002-0j -0.201661-0j -3.8749e-05-0j 4.0712e-05-0j 0.000894758-0j -0.000940085-0j -5.10563e-06-0j -0.00998855-0j 5.36427e-06-0j 9.13208e-05-0j 0.0104946-0j -9.5947e-05-0j 0.0469112-0j 0.0223499-0j -0.0492876-0j -0.0234821-0j 
0.000883916-0j 0.699017-0j -0.00186323-0j -0.000742344-0j 0.00581876-0j 0.0144894-0j -0.139842-0j 0.000174171-0j 0.000488543-0j -0.000493219-0j -0.00370778-0j 0.00374327-0j -0.00612304-0j -0.000883224-0j 0.00618164-0j 0.0723703-0j 0.000891677-0j -0.073063-0j 0.0129069-0j -1.03511e-05-0j -0.0130304-0j 1.04502e-05-0j 
-7.36596e-05-0j 0.00186323-0j 0.676795-0j 6.1862e-05-0j -0.00147531-0j 6.31376e-06-0j 0.0174685-0j -0.195685-0j -4.0712e-05-0j 4.11016e-05-0j 0.000940085-0j -0.000949083-0j -5.36427e-06-0j -0.0104946-0j 5.41561e-06-0j 9.5947e-05-0j 0.010595-0j -9.68654e-05-0j 0.0492876-0j 0.0234821-0j -0.0497594-0j -0.0237069-0j 
0.0034972-0j 0.000618224-0j 5.15186e-05-0j -0.58558-0j 0.000509688-0j 0.000312119-0j 6.3711e-05-0j 3.75421e-06-0j 0.00193292-0j 0.00195295-0j -0.059728-0j -0.0603469-0j 0.000254684-0j 3.67605e-05-0j 0.000257323-0j 3.18355e-05-0j 3.71414e-05-0j 3.21654e-05-0j 3.75185e-06-0j 1.71248e-07-0j 3.79073e-06-0j 1.73022e-07-0j 
-0.00432757-0j -0.000765013-0j -6.37511e-05-0j 0.014342-0j -1.24832e-05-0j -7.6444e-06-0j -1.56041e-06-0j -9.19478e-08-0j 0.00230013-0j 0.00232098-0j -0.071075-0j -0.0717195-0j 0.000303068-0j 4.37441e-05-0j 0.000305817-0j 3.78835e-05-0j 4.41408e-05-0j 3.82271e-05-0j 4.46462e-06-0j 2.03781e-07-0j 4.5051e-06-0j 2.05629e-07-0j 
