-0.0071276-0.00663309j -0.00529627+0.0011581j 0.00388803+0.00367956j 0.00907878+0.0165496j 0.0044997+0.00848282j 0.00248347+0.00225136j -0.00399517-0.00148865j -0.00384196-0.0100064j -0.00626168-0.0305745j 0.00513839+0.018481j -0.00614684-0.00516604j 0.00192642+0.0236292j 0.00615928+0.0169209j -0.0050323-0.00213167j 0.00111388+0.0151018j -0.00635123-0.01253j 0.0036615+0.00252695j 0.00205328+0.0110705j -5.67309e-05+0.0014112j 0.00147752+0.000455814j -0.00678502+0.0255907j -0.000114969+0.000441107j -0.00509759+0.00728847j 0.000809622-0.00458297j -0.00578597+0.000964075j 0.00309413-0.0184292j 0.00590338-0.00494626j 0.00532559-0.00218937j 0.021401-0.0103566j 0.00696117+0.00684286j 0.0181983-0.00680562j 0.00278504+0.0147734j -0.0012129+0.00208861j -0.00831616+0.00740871j -0.0115992+0.00730314j -0.00839507+0.00155223j -0.00509279+0.00370682j -0.00493448+0.00669842j -0.00502264+0.000447977j 0.0154432-0.00592152j -0.0128191+0.00732394j 0.0132721+0.00167472j -0.0217372+0.00801673j 0.00897445-0.00781812j -0.00929286+0.00245263j -0.00879857+0.00341802j 0.008346-0.000168692j 0.00534912-0.000496699j -0.00471275-0.000183282j 0.00815641+0.00127936j 0.00674427-0.000420048j -0.00643916+0.000422651j 0.0123974-0.000934598j 0.00749391-0.00457035j 0.0145004+0.00414589j 0.0131187+0.00402746j -0.0101756+0.000529773j -0.00964724-0.00166272j -0.00338883-0.000873514j -0.000685609+0.00029287j 0.00234121+0.00311754j 0.0105606-0.000273208j -0.00629465-0.00518916j -0.0080057-0.00126671j -0.0119123-0.00746949j -0.00116447+0.00299299j -0.00668045+0.00109299j 0.00840024+0.00532437j -0.00479048+0.00158659j -0.00989155-0.00632054j -0.0118864-0.00496435j -0.00786676+0.0017454j 
-0.00530844-0.0104568j -0.0157325-0.00484926j 0.00423477+0.0103412j 0.00079699+0.000372139j -0.000895372-0.00531962j 0.00326219+0.0120014j 0.00555852+0.0112959j -0.0121572-0.0206809j 0.00476814+0.0218281j 0.00129041-0.00885512j -0.00462776+0.00423887j 0.00314845-0.00778742j 0.00464963+0.0233367j -0.00240752-0.0131286j -0.00341946-0.0188005j -0.00216654-0.0182712j 0.00873048-0.000841447j -0.00309378+0.001074j -0.00521618+0.0213376j -0.00497594-0.00504316j -0.00119099-0.00595968j -0.0034863+0.00455511j -0.00637405+0.0128051j 0.00983781-0.0132486j 0.00739103-0.00636849j -0.00344625-0.00179055j -0.00393452+0.0148195j -0.0168007+0.00500749j 0.0116473-0.00756856j 0.00233827-0.00013902j 0.0106737-0.00989827j 0.0082206+0.00761553j -0.001286+0.0107351j 0.00310996-0.00336896j 0.00503809-0.00338077j 0.0143804-0.00534356j -0.0114481+0.000727348j -0.00909572+0.0149372j 0.00268766-0.00845171j -0.0132767+0.000109419j 0.0169738-0.00180384j -0.00309165-0.00368647j 0.00507177+0.00417151j 0.0162596-0.00530603j 0.00527274-0.00293258j -0.013928+0.00420873j -0.0151343+0.00360341j -0.00634647-0.0032859j 0.00709578+0.00307199j -0.00829908+0.00606155j -0.00677282-0.00576284j -0.0180879-0.00211332j -0.00902942-0.00203784j 0.00621803-0.00116244j -0.00643087+0.000376966j 0.000459066+0.00375616j 0.000901552+0.00251717j -0.00812866-0.00223547j 0.0112013+0.00779914j 0.00208951+0.0008451j -0.00403371-0.00647818j 0.0102089+0.000182024j 0.00751572-0.00254358j 0.00202323-8.89771e-05j 0.00199524+0.000588731j -0.014348-0.00467003j -0.00381615-0.00189616j 0.00259648+0.00274437j 0.00486852+0.000574785j 0.00355993-0.00127625j -0.0204349-0.00383994j 8.11214e-07+0.00553403j 
0.00454027-0.00389572j -0.0121533-0.00735214j -0.0109192-0.0102495j -0.00265004-0.00980944j 0.00469844+0.00748621j 0.000634457-0.00559492j 0.00905287+0.0115497j -0.00654703+0.00157741j -0.00131416+0.00198759j 0.00835032+0.0351773j 0.00152065-0.0197023j 0.000849222+0.00381j 0.0040431-0.0131231j 0.00279449+0.00842985j -0.00398097-0.0132535j 0.00185866-0.000299137j 0.00848631-0.0171551j -0.00237913-0.0151943j -0.0043451+0.00893851j 0.00576672-0.00989789j -0.00500785+0.0155218j 0.00356029-0.0190533j 0.00166849+0.00320331j -0.012571+0.00822933j 0.00241274-0.00458915j 0.00490111+0.0110409j -0.00763841+0.0119888j -0.0131913+0.00576605j -0.00331457+0.00767545j -0.00209985-0.00415024j 0.0067417-0.00612131j -0.00118935+0.00614342j 0.0203176-0.00603464j 0.00363143-0.0171566j -0.000345636+0.00518098j 0.00298077-0.00248471j 0.00773456-0.00162889j 0.00135323+0.0053985j 0.00744648-4.27038e-05j 0.0238789-0.00806411j -0.00171634-0.000640183j -0.00411446-0.00277576j -0.00074624-0.000459177j -0.000383242+0.00187186j -0.00775866-0.00645135j 0.0221666+0.00468726j -0.0148596+0.00276321j -0.000382124-0.00348959j -0.0148909-0.000926733j -0.0076865+0.00152347j 0.00311938-0.00126585j 0.00325485+0.00231626j -0.00485471+0.000652335j 0.00572437+0.00508432j -0.00329284-0.00172578j 0.01268+0.00289038j 0.0101175+0.00292203j 0.00471058+0.00525312j -0.0078917+0.0016779j 0.0101808+0.004467j 0.0111225+0.000484392j 0.0035172+0.00527058j -0.00301563-0.00294423j -0.0107493+2.23149e-05j -0.00574665-0.0018295j -0.00489745-0.00374317j 0.00359355+0.00364948j -0.0121497+7.25982e-05j 0.000100427-0.00309415j 0.0137334+0.00156374j -0.010295-1.68576e-05j 0.0069818+0.00366294j 
-0.0144449+0.00133356j 0.014871-0.0112163j -0.0143342+0.0105522j 0.0156952+0.00444565j -0.00567472+0.00599155j 0.00797429-0.00657293j 0.00862894+0.000293974j 0.00935787+0.00513963j 0.00695425-0.00227781j 0.00573233-0.00383773j -0.0180626+0.00746685j 0.000168818-0.00291148j 0.0132754-0.0148174j -0.00605945+0.00027779j -0.013112+0.00140009j -0.00775376+0.0113207j 0.014602-0.0142111j -0.00217843-0.0104021j -0.00193513+0.00170156j 0.00279358+0.00167441j 0.00165266-0.00433737j -0.00441788+0.00835602j -0.0101591-0.000206734j 0.00661077+0.00882706j -0.00798787-0.0064675j 0.00123165-0.00341532j 0.0144254+0.0038121j -0.00658392-0.00355189j 0.0127926+0.0110689j -0.00441692+0.00659575j 0.0167471+0.0283573j -0.0126698+0.0170077j -0.0111166+0.0127122j 0.0182075+0.0143067j 0.00580849+0.00525545j 0.000633587+0.00488735j -0.00619023-0.00693182j -0.00463482+0.00636694j 0.00207128-0.000690354j -0.00563062+0.00216056j -0.00782032+0.0033467j 0.00122864-0.000994087j -0.0034927+0.00200711j -0.00386137-0.000457741j 0.00795259+0.00399053j 0.00262485-0.000978358j 0.000843374+0.00224717j 0.00779622+0.00213077j 0.001349+0.000986491j 8.93045e-05+0.00173715j 0.00371341+0.00182588j 0.0052365+0.00493372j 0.0015434-4.80633e-05j -0.0012722-0.0080457j -0.00331694+0.00326027j 0.000326227-0.00192565j 0.00156871-0.00303102j 0.000345927+0.000736889j 0.0027227-0.00127534j 0.0031221-0.00204559j 0.000860168-0.000687143j 0.00181897+0.00521351j 0.00474319+0.00297383j 0.00839786+0.00401057j -0.000345346-0.00440324j -0.00217281-0.0015948j 0.00097579-0.00860522j -0.00353264-0.00610734j 0.00449291+0.00961979j -0.00790635+0.00342502j -0.0157074+0.00308694j 0.00624026+0.0271722j 
-0.0150532+0.0100492j -0.00578517-0.00394944j 0.0094405+0.00228866j 0.00231554-0.00140905j 0.00236719-0.0028908j -0.0201392+0.00733461j 0.0015984-0.000924122j -0.0147665+0.000901882j 0.0107787-0.0141212j 0.000172778-0.00896815j -0.00270541-0.00304539j 0.00777513+0.00304925j 0.00449536-0.0104321j 0.0197948-0.00955153j -0.0135653+0.00649251j 0.02513+0.00222694j -0.00046788+0.00600339j 0.0112749+0.00397265j -0.00550384-0.00862512j -0.000736453+0.0111658j -0.00540463+0.00300362j -0.0199201-0.000105618j -0.0012967-0.00805576j -0.00207253+0.00501759j 0.0166516+0.000664667j -0.00605721-0.00909834j -0.00886175-0.00329179j -0.00487602-0.0168439j -0.0109611-0.0101342j -0.00501385-0.021114j 0.011131-0.0102907j 0.0126378+0.0144616j 0.010098+0.0141622j 0.0108395-0.00610444j 0.00162909-0.00208719j 0.00159081-0.00173146j -0.0105516+0.00216221j 0.0067286+0.00563456j -0.00362707+0.000242652j 0.000981065+0.00170381j 0.00314257+0.00272549j 0.0060904-0.0019292j 0.00182635+0.000404894j -0.00385098-0.00106239j -0.00277611-0.000921145j -0.00681431-0.00049771j 0.00393277+0.000537296j 0.000684638-0.000953813j -5.553e-05+0.000160561j 0.00119869+0.0059069j -0.000850768-0.00256299j 1.4177e-05-0.00372562j -0.000370955+0.00340099j 0.00399039-0.0018481j -0.000229611+0.00177241j -0.00389221+0.00734004j -0.000423857+0.000786834j -0.0044959-0.00245564j -0.00230781+0.00305969j 0.000927475+0.00220792j 0.0046756+0.000894581j -0.0083646-0.00105065j 0.00226783+0.00152464j -0.00240383+0.00120985j 0.0070053-0.00305347j -8.01141e-05+0.00271176j -0.00424676-0.0046439j 0.00381737-0.00812507j -0.0018252-0.0125078j 0.00877782+0.000671874j 0.00317338+0.0206826j 0.0149324+0.00165832j 
-0.0105222+0.00629112j -0.00455496-0.00204062j 0.000448479+0.00112027j -0.0107697+0.00542075j -0.0125977+0.00183423j 0.00152903+0.0059617j 0.0086624-0.00522263j -0.00599361+0.00396579j 0.00276693-0.00149534j 0.0263394-0.0103761j 0.0216805-0.000780535j -0.00531824+0.00503275j -0.0242717-0.00267782j -0.0189448+0.0069904j 0.0258079+0.0010308j -0.0136967+0.00064252j 0.0261659+0.0061887j 0.00854887+0.0101367j -0.0115857-0.00589558j -0.0135948-0.00564138j 0.00280031-0.00301415j 0.0028871+0.00677067j 0.00321312+0.00690756j -0.0175268-0.00629568j 0.0070083+0.0060443j 0.0137603+0.00996881j 0.00382646+0.000638455j 0.00240667+0.00342654j 0.00147663+0.0106642j -0.0108403-0.00521619j 0.0087786+8.31263e-05j 0.000104608+0.00884386j 0.00769002+0.0056789j 0.00345611-0.00145088j -0.00317431+6.08274e-05j -0.00240351-0.00215684j -0.00527059+0.0022204j 0.00213345+0.0032223j 0.00240857+0.000754767j -0.00366826+0.000219298j -0.000297001+0.000101325j 0.00179813-0.00318897j 0.00135329+0.000980109j -0.000291208+0.0011515j 6.05809e-05+0.00228661j -0.00310642+0.000350206j 0.00173829+0.00139138j 0.000240503-0.000675569j -0.00105167+0.000333266j -0.00193146+0.000557713j 0.000930766-0.00135916j 0.000436027+0.00015983j -0.00272784+0.000879634j 0.000341472+0.000538592j 0.00276597-0.000265085j -0.00149485-0.000132776j 0.00139978-0.00036433j -0.00113852-0.00101433j 0.00142834+0.00159452j -1.72667e-05+0.00110143j 0.00275029+0.00151886j -0.00335901-0.00048038j 0.000466717+0.000800982j -0.00220591+8.72253e-06j -0.000658128-0.00308285j 0.0010824+0.00320812j -0.000277578-0.000786539j 0.00213226+0.00222076j -0.00356409-0.00153142j -0.000824459-0.00406643j -5.52987e-05+0.0070268j 0.00499698+0.00302255j 
0.00287848-0.00187732j 0.00213089+0.000174938j -0.00392509+0.00111756j 0.00354649+0.000125725j -0.00302572+0.00270005j -0.00803299+0.00524583j 0.0268011-0.0075932j 0.00389461-0.00577535j 0.0134473-0.00747287j -0.0152967+0.0054517j 0.00512194-0.0056344j 0.0295164-0.00729751j 0.0109059+0.000278616j -0.0147024+0.00251049j 0.0209653+0.00180195j 0.0175958+0.00401366j -0.00547724-0.0025702j 0.00213301-0.000831828j 0.0227043+0.000622722j -0.0179066-0.0027825j 0.0146468+0.00506186j 0.0116799+0.00522025j -0.0228975-0.00805494j 0.00954858+0.0038137j 0.0200491+0.0163087j 0.0125038+0.00105233j 0.00700824+0.0127794j -0.00372585+0.00363737j 0.00149216+0.000202033j 0.00121045+0.00266471j -0.00356334-0.000402827j 0.000235855-0.00298181j -0.00384916-0.00207756j -0.00173176+0.00248001j -0.00123997+0.00176416j -0.00189485-0.000969096j -0.00291188+0.000891579j -0.00182104+0.00209362j 0.0011447+0.00147778j 0.000947388+0.000524622j -0.000453613+6.98899e-05j -0.0026164+0.000813293j -0.00125491-0.000811269j -0.00131408+0.00204329j 0.000366937-0.00074376j 0.000720127+0.000474192j -0.000373999-0.000294483j -0.000299559+3.2549e-05j 0.000668493-0.000761417j 0.000678584-3.01467e-05j 0.00144561-0.000680609j -0.000586349+0.00134123j 0.000804179+0.000277728j -0.000305317+0.00094503j 0.000923808+0.00025623j -0.000231378-0.000605966j 0.00039722+0.000646694j 0.000121331-0.000325325j -0.0012049-0.000618693j -0.00171456-0.00150136j -0.000540637-0.000443525j 0.0017326+0.000905938j 0.00105489+0.00224095j -0.000853519-0.00149643j -0.000905831+0.00107516j 0.000755336+0.00250889j -0.00209632-0.00178819j 0.000424685+0.000587096j -2.24599e-05+0.00147331j -0.000973943-0.000494154j 7.09904e-05-0.00209857j -0.00143634-0.000752943j 
-0.00291878+0.00425677j -0.00776786+0.00249629j -0.0140868+0.00454942j -0.0128386+0.00811106j 0.0143211-0.0102096j -0.00236538-0.0015652j 0.000361485-0.00494178j 0.00913474-0.00105907j -0.0126543+0.00276619j -0.0102338-0.0037109j -0.00275454+0.00399868j -0.0139306-0.00179542j 0.0419068+0.00174197j -0.00194197-0.00312592j 0.0190621+0.00105598j 0.00996952+0.005229j 0.00340435+0.000724733j -0.0347391-0.00136754j -0.00657864-0.00107074j 0.0105655+0.0101016j 0.00285707+0.00230216j 0.00108591+0.00148659j 0.00294494+0.00108613j -0.0164627-0.00876198j 0.00210514+0.00206725j 0.00776823+0.00760503j -0.00319317-0.00288649j 0.00458347-0.00290986j 0.00698134+0.0115099j -0.0127983-0.00212101j 0.00539474-0.00654864j 0.00472256+0.00477604j 0.005266-3.29521e-06j -0.00507237+0.000861837j 0.000961428-0.00138211j -0.00396505+0.000182438j -0.000923942+0.00199701j 0.000739721+0.00206273j 0.00271672-0.000326226j -0.000888743-0.000823353j 0.000904153-0.00172082j 0.000953824-0.00148684j 0.000415417+0.00156197j -0.00130586+0.000709422j 0.00182048+0.000386854j 0.000212529-0.00067158j 0.000179643+0.000941149j 0.000441649-0.000938347j -0.00128832-0.00118423j 0.000860892-0.000454602j -0.0012609-0.000511669j -0.00114549-0.00108899j -0.00105385-0.000469691j 0.00222622+0.00185253j 0.000762244-0.000580027j -0.0026156-0.00234018j 0.000209562+0.000172946j 0.000394846+0.000479344j 0.000769471+0.00121006j -0.000700822+0.000398521j 0.000343802+0.000455599j -0.0007672+0.00131141j -0.000675197+0.000401218j -0.0011644+0.00158759j -0.000601689-0.000473538j 0.000986092+0.00117148j 0.000706942+0.000562956j 0.0021627+0.00311859j -0.00270177-0.00112518j -0.000670665-0.00360202j 0.0019785+0.00403534j 0.00223417-0.000984061j 
-0.00340179-0.00926185j 0.0043462-0.00091094j -0.00188891+0.00262041j -0.00425499+0.013344j 0.00140689+0.00251012j -0.00287742-0.00317172j -0.00582144+0.000866296j 0.00176338+0.00554192j 0.0071082+0.00293167j 0.00735474+0.00759973j 0.0150712+0.00392834j 0.00253364-0.00398357j 0.00365992+0.0105329j 0.0149433+0.00405779j 0.00140324+0.00581217j 0.022066-0.00484234j -0.00103246-0.0104396j -0.00366187+0.00231068j -0.00805486+0.00808178j -0.0045609-0.000810669j -0.00907143+0.000440136j -0.00231512+0.00379462j 0.0133451+0.00987842j -0.018235+0.00800195j 0.0129978+0.00216981j 0.00370355+0.000407651j 0.00132153+0.00245064j -0.00831107+0.00392052j -0.0173038+0.00368328j -0.0138821+0.00022397j -0.0313757+0.0097522j -0.02018-0.0133512j -0.00830561-0.00767596j -0.00597143+0.009149j 0.00149721+7.36643e-05j 0.00588781+0.000767264j -0.00125729-0.00569919j -0.00323329+0.00271881j 0.00293064-0.00319563j -0.00701635+0.00177414j -0.011261+0.0073507j -0.00219718+0.00389272j -0.00217926+0.00387366j 0.00524683-0.00204112j 0.00751695+0.00357388j 0.00424577+0.000472206j -0.00266133+0.00327929j 0.00420995+0.00363947j -0.00154131+0.00073684j -0.000981903-0.00609877j 0.00682417+0.00269323j 0.00253273+0.00907681j 0.00271282-0.00405586j -0.00618541-0.00917608j 8.70643e-05+0.00240386j 0.00606035-0.00967327j 0.000652747-0.00565306j 0.0057246+0.00383347j 0.00800242-0.0040694j 0.000945079-0.00536801j -0.00535179-0.00324692j 0.0122022+0.00547283j 0.000230929-0.0040394j 0.00732399-0.00500877j -0.0139573-0.00399157j -0.000485085-0.00636696j 0.0103696-0.00126639j -0.0124154+0.00569805j -0.0018459+0.0170598j -0.0207025-0.00230062j -0.0143854-0.0236501j -0.0203105+0.0165398j 
0.0016954-4.16493e-07j 0.00527853+0.0108179j -0.00545981-0.00962006j -0.00737823-0.000524098j -0.00698038-0.00290605j -0.00081039+0.00337149j 0.00220281-0.00645022j -0.0105389+0.00871016j 0.000776556+0.000520951j 0.00343952-0.000203381j -0.0105087+0.00644865j 0.00801321+0.00140617j 0.0079785+0.00198048j 0.00405597+0.00583161j -0.0140688+0.0014295j 0.000750886+0.00663241j 0.0267956+0.00670249j 0.00186675+0.0071161j -0.0133412-0.00498064j -0.00623818-0.00751408j -0.0152669-0.0017553j -0.00504401-0.00384971j -0.0154841+0.0109061j 0.00609936+0.000327163j 0.00611107+0.00456703j -0.00745832+0.0157717j 0.000487215-0.000891132j -0.030748+0.00112543j 0.00343764+0.00083315j -0.0150811-0.000560677j -0.00415044-0.00870031j 0.0252521-0.00711993j 0.00666997-0.00933512j -0.00983752+0.00249312j -0.00688141+0.00168953j 0.00157165-0.00283816j 0.00424268+0.00177546j -0.000632444-0.0110699j -0.000912091+0.00129593j 0.000694826+0.000385455j -0.000214144-0.00281214j -9.53562e-05+0.00345065j -0.000524835-0.0037162j 0.00575331-0.000426041j -0.00118207-0.00171499j 0.010715-0.00218507j 0.0019228-0.00295323j -0.00629025+0.00375407j 0.00184029-0.00244685j -0.00342166-0.00820171j 3.33554e-05+0.00309918j 0.000210036+0.00262799j -0.00392217-0.000875162j -0.00574294+0.00880267j 0.00853955-0.00512054j 0.000786861-0.00862976j -0.00361748+0.000134465j 0.00310735-0.000361208j 0.000282932-0.00377148j -0.00583322-0.000118299j -0.00339744+0.00397461j 0.00643289-0.00805796j -0.00824056-0.00381365j -0.00763095-0.00685486j -0.0106301+0.00903338j 0.00790454+0.00230828j -0.00421673+0.00979974j -0.00674855+0.0190984j -0.00701179-0.00242221j 0.000756371-0.00246755j 0.0211171-0.0181617j -0.0140693-0.0244715j 
-0.00315207+0.00541423j -0.00785624-0.00326784j 0.00291861+0.000730617j 0.00692554+0.00249373j -0.00192848+3.28219e-05j 0.00654809+0.0144668j 0.00356199+0.00127315j 0.00276337+0.00381623j -0.00417083-0.00441937j -0.00551756+0.00435821j -0.00477326+0.00908675j 0.00379104+0.00876624j -0.00910156-0.00533336j -0.000106752+0.00887053j -0.00855857+0.00125369j 0.00201513-0.00506011j -0.0150348+0.00862983j 0.00314653+0.0200535j 0.00651071-0.00836236j -0.000577486-0.0214623j -0.000262212-0.00795763j 0.00687624+0.00382865j 0.00169198+0.0179476j 0.0161015-0.00729516j -0.00794968+0.005077j -0.0203189+0.0117562j -0.00539324+0.00666506j -0.00423233+0.00429231j -0.0120627+0.0167007j -0.0200085-0.00139904j -0.00260104-0.0026969j -0.00531296+0.00593405j 0.007003+0.0109614j 0.0121699-0.0111967j 0.00704134+0.00188919j -0.00850774+0.00121042j -0.00220975+0.00152821j -0.00320856+0.0111833j 0.00710196+0.00107527j -0.00407749-0.000761833j -0.00553586-0.00183564j -0.00517808-0.00366535j -3.80182e-05+9.65548e-05j 0.0073822-0.00367102j 0.00837663+0.00159738j -0.00403296-0.000970747j 0.0060562+0.000690837j -5.52595e-05-0.000554725j -0.00805374-0.000479763j -0.0150457-0.00617585j 0.0164371-0.00317859j 0.00308383+0.00361834j -0.010287+0.00264219j -0.00326914+0.0107266j 0.01787-0.0050445j 0.000728218-0.00610434j 0.0151718+0.00154761j 0.0019372-0.00629784j 0.0078203+0.00255919j -0.00597493+0.00316991j 0.0105298+0.0075241j -0.00936666-0.00392614j -0.00416351-0.00472279j -0.0114885-0.00610329j -0.000430547-0.0107595j 0.00304073+0.00953607j 0.00381716+0.000948929j 0.00156648+0.0103719j -0.0182428+0.00691294j -0.0120388-0.0220942j -0.00374272+0.0118697j 0.00321941+0.00960563j 
