-0.0720061-0j -0.0103932-0j -0.0590299-0j -0.0104351-0j -0.000869593-0j 0.0353457-0j -0.0362942-0j 0.00589094-0j 0.00360745-0j -0.00604903-0j 0.000736368-0j -0.00370426-0j -0.000756128-0j 4.33909e-05-0j -4.45553e-05-0j -0.0260693-0j 0.0317417-0j -0.0188178-0j -0.00420692-0j -0.00343494-0j 0.00512229-0j -0.00049579-0j -0.00303672-0j -0.000429367-0j 0.00418233-0j -5.06014e-05-0j 0.000603668-0j -0.00247947-0j 0.000522792-0j -2.30963e-06-0j -0.00035788-0j -0.000309933-0j 6.16116e-05-0j 2.81217e-06-0j -3.6526e-05-0j -1.66718e-06-0j -0.0204805-0j -0.0238939-0j 0.0434266-0j -0.00323826-0j 0.0205718-0j -0.00862378-0j -0.00256007-0j -0.00377796-0j -0.00170671-0j -0.000369514-0j 0.00686634-0j 0.00325269-0j -0.00298674-0j -0.000426678-0j -0.00136354-0j -0.00199116-0j -0.000150853-0j 0.00542832-0j -0.000431099-0j -3.55565e-05-0j 0.00361888-0j 0.00078351-0j 0.00257148-0j -3.77133e-05-0j 0.00171432-0j -0.000497791-0j 0.000371161-0j -0.00107797-0j -3.14278e-06-0j 0.00090472-0j -0.000175996-0j -0.000718648-0j -4.14825e-05-0j -0.000155592-0j -1.17124e-07-0j 0.000319867-0j 7.53933e-05-0j -4.39989e-05-0j 0.00042858-0j 7.99667e-05-0j 0.000151526-0j -3.66657e-06-0j -0.000179662-0j 3.5715e-05-0j 3.78815e-05-0j 6.66389e-06-0j -6.35201e-05-0j -1.36645e-07-0j -1.49718e-05-0j 3.15679e-06-0j 2.48349e-07-0j -1.588e-05-0j 1.17647e-07-0j -1.32334e-06-0j -4.93178e-08-0j 
0.0727523-0j 0.0105009-0j -0.0579438-0j -0.0102431-0j -0.000853593-0j 0.0362942-0j -0.0366554-0j 0.00604903-0j 0.00370426-0j -0.00610923-0j 0.000756128-0j -0.00374113-0j -0.000763654-0j 4.45553e-05-0j -4.49988e-05-0j 0.0263395-0j -0.0316656-0j 0.0174122-0j 0.00425052-0j 0.00347053-0j -0.00511001-0j 0.000500928-0j 0.00280988-0j 0.000433816-0j -0.00417231-0j 5.11258e-05-0j -0.000602221-0j 0.00229426-0j -0.000521538-0j 2.33356e-06-0j 0.000331148-0j 0.000286782-0j -6.14639e-05-0j -2.80543e-06-0j 3.37976e-05-0j 1.54264e-06-0j 0.0206928-0j -0.0234543-0j 0.0147836-0j 0.00327181-0j -0.0211153-0j 0.0416026-0j 0.0025866-0j -0.00370845-0j 0.0017244-0j 0.000373343-0j 0.0023375-0j -0.00333862-0j -0.00293179-0j 0.000431099-0j 0.00657795-0j -0.00195453-0j 0.000152417-0j 0.00184795-0j -0.000423167-0j 3.59249e-05-0j 0.00123197-0j 0.000266729-0j -0.00263941-0j 3.81042e-05-0j -0.00175961-0j -0.000488631-0j -0.000380966-0j 0.00520032-0j 3.17535e-06-0j 0.000307992-0j -0.000172757-0j 0.00346688-0j -4.07193e-05-0j 0.000750602-0j 1.18338e-07-0j 0.000108892-0j 2.5666e-05-0j -4.31893e-05-0j -0.000439902-0j 2.72229e-05-0j -0.000155529-0j -3.59911e-06-0j 0.000866721-0j -3.66585e-05-0j -3.88822e-05-0j 2.26858e-06-0j 0.000306432-0j -1.34131e-07-0j 7.22267e-05-0j -3.24019e-06-0j 8.45449e-08-0j 7.6608e-05-0j -1.20755e-07-0j 6.384e-06-0j 2.37918e-07-0j 
0.00843285-0j -0.116368-0j 0.00691317-0j -0.0578079-0j -0.0146556-0j 0.00420692-0j 0.00425052-0j -0.0331663-0j 0.000429367-0j -0.03351-0j -0.00837923-0j 0.000433816-0j -0.00846606-0j -0.000992666-0j -0.00100295-0j -0.00608992-0j 0.00377796-0j 0.00220381-0j 0.0464869-0j -0.000802417-0j -0.0288388-0j 0.0110729-0j -0.0168226-0j 0.00474455-0j 0.000497791-0j 0.00170109-0j -0.00686921-0j 0.000290378-0j -0.00294334-0j 0.000129766-0j -0.00400704-0j -0.00171695-0j -0.0010553-0j -8.05022e-05-0j -0.000615589-0j -4.69596e-05-0j 0.00239854-0j -0.00558174-0j 0.0017136-0j -0.0179391-0j 0.0024485-0j 0.00100996-0j 0.000299817-0j 0.0417469-0j 0.000199878-0j -0.00413729-0j -0.0128163-0j -0.0183128-0j -0.000697717-0j -0.00236368-0j -0.00755366-0j -0.000465145-0j 1.76669e-05-0j 0.0002142-0j 0.00962808-0j -0.000599249-0j 0.0001428-0j -0.00295583-0j 0.000306063-0j -0.000422261-0j 0.000204042-0j 0.00550063-0j -0.00422349-0j 0.000126245-0j -7.07449e-05-0j -0.0016887-0j -4.11134e-05-0j 8.41631e-05-0j 0.00139454-0j -0.0017421-0j -3.96162e-06-0j 1.26218e-05-0j -0.000428124-0j 0.000982662-0j -0.00241293-0j -0.000301678-0j 1.80349e-05-0j 0.000164634-0j -0.000995282-0j -0.000611733-0j -0.000431058-0j -5.05426e-05-0j 7.43903e-06-0j 9.21926e-06-0j -0.000252327-0j -7.22187e-05-0j -2.83032e-06-0j -0.000177802-0j -4.04415e-06-0j -2.97887e-05-0j -1.66813e-06-0j 
-0.0104351-0j 0.143998-0j -0.000121765-0j 0.0010182-0j 0.000258137-0j 0.00512229-0j 0.00511001-0j -0.0403829-0j 0.000522792-0j -0.0402861-0j -0.0102024-0j 0.000521538-0j -0.010178-0j -0.00120866-0j -0.00120576-0j -0.00377796-0j 6.54756e-05-0j 0.00533771-0j 0.0288388-0j -0.000497791-0j -0.000499803-0j 0.00686921-0j -0.0407449-0j 0.00294334-0j 8.62717e-06-0j 0.0010553-0j -0.00011905-0j 0.000703305-0j -5.10109e-05-0j 8.05022e-05-0j -0.00970519-0j -0.00415851-0j -1.82893e-05-0j -1.39518e-06-0j -0.00149098-0j -0.000113738-0j -0.00296804-0j -4.92876e-05-0j 0.00629337-0j 0.0221985-0j -0.0028964-0j 0.00367812-0j -0.000371004-0j 0.000368631-0j -0.000247336-0j 0.00511964-0j -0.0470693-0j 0.0216627-0j -6.16095e-06-0j 0.00292491-0j -0.0275093-0j -4.1073e-06-0j -2.18616e-05-0j 0.000786672-0j 8.50174e-05-0j 0.000741533-0j 0.000524448-0j -0.0108556-0j -0.00036205-0j 0.000522521-0j -0.000241366-0j 4.85714e-05-0j 0.00499607-0j 0.000459765-0j 8.75423e-05-0j -0.00620193-0j -3.63037e-07-0j 0.00030651-0j 1.2314e-05-0j -0.00634448-0j 4.90225e-06-0j 4.63551e-05-0j -0.00157233-0j 8.67706e-06-0j 0.00285431-0j -0.00110794-0j -2.1334e-05-0j 1.45374e-06-0j -0.00362467-0j 0.000723635-0j 0.000509909-0j -0.000185623-0j 2.70919e-05-0j 8.14074e-08-0j -0.000918939-0j 8.54293e-05-0j -1.03946e-05-0j -0.000647531-0j 4.78393e-06-0j -0.000108486-0j -6.07508e-06-0j 
0.00608715-0j -0.0839991-0j -0.00976729-0j 0.081674-0j 0.0207063-0j 0.00303672-0j 0.00280988-0j -0.0239407-0j 0.000309933-0j -0.0221524-0j -0.00604845-0j 0.000286782-0j -0.00559665-0j -0.000716544-0j -0.000663021-0j 0.00220381-0j -0.00533771-0j 0.00615942-0j -0.0168226-0j 0.000290378-0j 0.0407449-0j -0.00400704-0j -0.0470174-0j -0.00171695-0j -0.000703305-0j -0.000615589-0j 0.00970519-0j 0.000811575-0j 0.00415851-0j -4.69596e-05-0j -0.0111993-0j -0.0047987-0j 0.00149098-0j 0.000113738-0j -0.00172051-0j -0.000131247-0j 0.00173135-0j -0.00395357-0j 0.00123694-0j -0.0129491-0j 0.00161863-0j 0.00084828-0j 0.000216419-0j 0.0295695-0j 0.00014428-0j -0.00298646-0j -0.0092513-0j -0.012106-0j -0.000494197-0j -0.0017062-0j -0.00634445-0j -0.000329464-0j 1.27526e-05-0j 0.000154617-0j 0.00681962-0j -0.000432561-0j 0.000103078-0j -0.00213363-0j 0.000202329-0j -0.000304804-0j 0.000134886-0j 0.00389613-0j -0.00279202-0j 0.000106035-0j -5.10664e-05-0j -0.00121897-0j -2.91208e-05-0j 7.069e-05-0j 0.000987759-0j -0.00146322-0j -2.85965e-06-0j 9.11092e-06-0j -0.000309036-0j 0.000696025-0j -0.00159511-0j -0.000217763-0j 1.19223e-05-0j 0.000116611-0j -0.000835954-0j -0.000404398-0j -0.000284959-0j -3.64836e-05-0j 6.24817e-06-0j 6.53005e-06-0j -0.000211934-0j -4.77415e-05-0j -2.04303e-06-0j -0.000149339-0j -2.67346e-06-0j -2.50201e-05-0j -1.40109e-06-0j 
-0.493741-0j 0.000740697-0j 0.00420692-0j -0.0715529-0j 6.19738e-05-0j 0.00256007-0j 0.0025866-0j 0.000426678-0j -0.0505399-0j 0.000431099-0j -0.00513154-0j -0.0510637-0j -0.00518472-0j 3.14278e-06-0j 3.17535e-06-0j 0.0018579-0j 0.00229903-0j 0.0013411-0j 0.000299817-0j -0.0235531-0j 0.000371004-0j 3.53338e-05-0j 0.000216419-0j -0.00591888-0j -0.0291455-0j -0.00034697-0j 4.37233e-05-0j -0.0170015-0j -0.00732424-0j 1.64601e-07-0j 2.55053e-05-0j -0.00427248-0j -0.000429354-0j 2.03684e-07-0j -0.000250456-0j 1.18816e-07-0j -0.0044052-0j 0.00170286-0j 0.00104279-0j -0.000696524-0j 0.00149001-0j 0.000614596-0j 0.0529803-0j 0.000269246-0j -0.0003671-0j -7.94795e-05-0j 0.000164879-0j 0.000235591-0j -0.0204799-0j 0.00883004-0j 9.71761e-05-0j 0.000141905-0j 0.00943057-0j -0.0125413-0j 3.07234e-05-0j -7.64792e-06-0j 8.68989e-05-0j 1.88142e-05-0j -0.0179199-0j 0.00156906-0j 0.000124167-0j -0.00341332-0j 2.6883e-05-0j -0.00739159-0j 6.50394e-05-0j -0.00209022-0j -0.00364546-0j 5.12163e-05-0j 2.95636e-06-0j 1.10887e-05-0j -2.51925e-08-0j -0.00223238-0j 1.81039e-06-0j -0.000606531-0j -0.00298665-0j -0.000371423-0j -0.00318977-0j -2.51415e-05-0j -0.00123193-0j 2.58681e-06-0j -0.000530714-0j -1.53959e-05-0j -0.00131571-0j 9.73836e-09-0j 1.06701e-06-0j -2.19988e-05-0j 5.96351e-09-0j -0.000218909-0j 8.52107e-09-0j -9.07403e-06-0j 3.51476e-09-0j 
-0.000740697-0j -0.478324-0j -0.000607217-0j 0.0102624-0j -0.122638-0j -0.000369514-0j -0.000373343-0j 0.0058879-0j -3.77133e-05-0j 0.00594891-0j -0.0344422-0j -3.81042e-05-0j -0.0347991-0j -0.0125255-0j -0.0126553-0j -0.000268164-0j -0.000331836-0j -0.000193571-0j 0.00413729-0j -3.53338e-05-0j 0.00511964-0j -0.0228177-0j 0.00298646-0j 0.000422261-0j -4.37233e-05-0j -0.00713627-0j -0.0282354-0j -2.55053e-05-0j 0.000522521-0j -0.00109717-0j -0.0164707-0j 0.000304804-0j -0.00883068-0j -0.00135768-0j -0.00515123-0j -0.000791978-0j 0.000635836-0j -0.000245787-0j -0.000150513-0j -0.00961161-0j -0.000215064-0j -8.87093e-05-0j 7.94795e-05-0j 0.00371544-0j 5.29863e-05-0j 0.0513259-0j 0.00227523-0j 0.00325101-0j -3.07234e-05-0j -0.00126644-0j 0.00134097-0j -2.04823e-05-0j 4.68338e-06-0j -1.88142e-05-0j -0.0198404-0j 0.0151342-0j -1.25428e-05-0j -0.0121497-0j -2.6883e-05-0j 0.00523843-0j -1.7922e-05-0j 0.000489552-0j -0.0173604-0j -1.10887e-05-0j 0.00269413-0j 0.000299788-0j -1.81039e-06-0j -7.39244e-06-0j -0.00585025-0j -0.00716078-0j 0.000252411-0j -1.10863e-06-0j -0.00358253-0j -0.00202495-0j 0.000428358-0j -0.00124003-0j -1.58409e-06-0j -0.00104144-0j 0.000176689-0j -0.00511896-0j -0.00177183-0j -0.000637747-0j -6.53405e-07-0j -9.75712e-05-0j -0.00211147-0j -0.000911257-0j -5.97499e-05-0j -0.000730844-0j -8.53748e-05-0j -0.000375874-0j -3.52153e-05-0j 
0.576031-0j -0.000864146-0j -6.98607e-05-0j 0.00118822-0j -1.02914e-06-0j -0.00298674-0j 0.00293179-0j -0.000497791-0j 0.0589633-0j 0.000488631-0j 0.0059868-0j -0.0578784-0j -0.00587665-0j -3.66657e-06-0j 3.59911e-06-0j 0.0043236-0j -3.8178e-05-0j 0.00306242-0j 0.000697717-0j -0.0548115-0j -6.16095e-06-0j 8.22268e-05-0j 0.000494197-0j -0.0137741-0j 0.000483994-0j -0.00080745-0j -7.26075e-07-0j -0.0388233-0j 0.000121627-0j 3.83051e-07-0j 5.82416e-05-0j -0.00975626-0j 7.12991e-06-0j -3.3824e-09-0j -0.000571921-0j 2.71317e-07-0j -0.00170286-0j 5.64059e-05-0j -0.00121658-0j -0.000269246-0j 0.00168885-0j 0.00211026-0j 0.0204799-0j 8.91856e-06-0j -0.000141905-0j -3.07234e-05-0j -0.000192359-0j 0.000267031-0j -0.00067838-0j 0.00341332-0j 0.000333662-0j 4.7005e-06-0j 0.00364546-0j 0.0146316-0j 1.01769e-06-0j -2.95636e-06-0j -0.000101382-0j -2.19499e-05-0j -0.0203114-0j 0.000606531-0j 0.000140738-0j -0.000113063-0j 3.04706e-05-0j -0.0253796-0j 2.51415e-05-0j 0.00243859-0j -0.000120753-0j 0.000175855-0j 9.7927e-08-0j 3.80737e-05-0j -9.73836e-09-0j 0.00260444-0j -2.11213e-06-0j -2.00908e-05-0j -0.00338523-0j 0.000433326-0j -0.00361546-0j -8.3279e-07-0j -0.00422993-0j 2.93204e-06-0j -0.000601541-0j 1.79619e-05-0j -0.00451761-0j 3.22575e-10-0j 3.66365e-06-0j -2.49346e-05-0j -6.95742e-09-0j -0.000751639-0j 9.65824e-09-0j -3.11564e-05-0j 1.20682e-08-0j 
0.352746-0j -0.000529179-0j -0.00300557-0j 0.0511199-0j -4.42762e-05-0j 0.00542832-0j -0.00184795-0j 0.00090472-0j -0.107164-0j -0.000307992-0j -0.0108808-0j 0.0364817-0j 0.00370414-0j 6.66389e-06-0j -2.26858e-06-0j -0.00132735-0j 0.00487483-0j -0.000958129-0j -0.0002142-0j 0.0168272-0j 0.000786672-0j -2.52437e-05-0j -0.000154617-0j 0.00422865-0j -0.0617996-0j 0.000247888-0j 9.27101e-05-0j 0.0121465-0j -0.0155302-0j -1.17597e-07-0j -1.82218e-05-0j 0.0030524-0j -0.000910395-0j 4.31888e-07-0j 0.000178935-0j -8.4886e-08-0j -0.00104279-0j -0.00121658-0j -0.000697583-0j -0.000164879-0j 0.00315938-0j -0.000439088-0j 0.0125413-0j -0.000192359-0j -8.68989e-05-0j -1.88142e-05-0j -0.000110298-0j 0.000499542-0j 0.0146316-0j 0.00209022-0j -6.9426e-05-0j -0.000101382-0j 0.00223238-0j 0.00838966-0j -2.19499e-05-0j -1.81039e-06-0j -5.81319e-05-0j -1.25859e-05-0j -0.0379971-0j 0.000371423-0j 0.000263282-0j 0.00243859-0j 5.70022e-05-0j 0.00528081-0j 1.53959e-05-0j 0.00139828-0j 0.00260444-0j -3.65907e-05-0j -2.11213e-06-0j -7.92212e-06-0j -5.96351e-09-0j 0.00149337-0j -1.21108e-06-0j 0.000433326-0j -0.00633285-0j 0.000248467-0j -0.00676354-0j 1.79619e-05-0j 0.000880134-0j 5.48504e-06-0j -0.00112532-0j 1.02993e-05-0j 0.000939992-0j -6.95742e-09-0j -7.62306e-07-0j -4.66458e-05-0j -3.98935e-09-0j 0.000156396-0j 1.80679e-08-0j 6.4828e-06-0j -2.51107e-09-0j 
0.000864146-0j 0.558044-0j 1.00835e-05-0j -0.000170419-0j 0.00203654-0j 0.000431099-0j -0.000423167-0j -0.00686921-0j 4.39989e-05-0j 0.00674282-0j 0.0401826-0j -4.31893e-05-0j -0.0394432-0j 0.0146131-0j -0.0143442-0j -0.000624057-0j 5.51052e-06-0j -0.000442023-0j 0.00962808-0j -8.22268e-05-0j -8.50174e-05-0j -0.0531-0j 0.00681962-0j 0.000982662-0j 7.26075e-07-0j -0.0166071-0j 0.000468881-0j -5.82416e-05-0j -8.67706e-06-0j -0.00255327-0j -0.037611-0j 0.000696025-0j 0.000146643-0j 2.25458e-05-0j -0.0117629-0j -0.00180849-0j 0.000245787-0j -8.1415e-06-0j 0.000175599-0j -0.00371544-0j -0.000243765-0j -0.00030459-0j 3.07234e-05-0j 0.000123071-0j 2.04823e-05-0j 0.0198404-0j -0.00265444-0j 0.00368487-0j -1.01769e-06-0j -0.000489552-0j 0.00460433-0j -6.78458e-07-0j 1.81039e-06-0j 2.19499e-05-0j -0.000657197-0j 0.00585025-0j 1.46332e-05-0j 0.0141747-0j -3.04706e-05-0j 0.00202495-0j -2.03137e-05-0j 1.6216e-05-0j -0.0196772-0j -3.80737e-05-0j 0.00104144-0j -0.000349753-0j -5.99678e-08-0j -2.53825e-05-0j -0.000193785-0j -0.0245871-0j 9.75712e-05-0j 1.29341e-06-0j 0.00417962-0j -6.70749e-05-0j 0.000485524-0j 0.0014467-0j -1.7955e-06-0j -3.44967e-05-0j 0.000606674-0j -0.00580211-0j -0.00200829-0j 0.000744038-0j -2.24352e-06-0j -3.23196e-06-0j -0.00724987-0j -0.00103287-0j 6.97082e-05-0j -0.00250941-0j -9.67684e-05-0j -0.00129059-0j -0.000120914-0j 
-0.504027-0j 0.000756128-0j -0.00417231-0j 0.0709642-0j -6.14639e-05-0j -0.00257148-0j -0.00263941-0j -0.00042858-0j 0.0507652-0j -0.000439902-0j 0.00515442-0j 0.0521064-0j 0.00529059-0j -3.15679e-06-0j -3.24019e-06-0j 0.0018966-0j 0.00224354-0j 0.00125378-0j 0.000306063-0j -0.0240438-0j 0.00036205-0j 3.60699e-05-0j 0.000202329-0j -0.00604219-0j -0.028442-0j -0.000354199-0j 4.2668e-05-0j -0.0158946-0j -0.00714746-0j 1.68031e-07-0j 2.38447e-05-0j -0.0039943-0j -0.000418991-0j 1.98768e-07-0j -0.00023415-0j 1.1108e-07-0j 0.00149001-0j -0.00168885-0j -0.00315938-0j 0.000235591-0j 0.00149604-0j 0.00299564-0j -0.0179199-0j -0.000267031-0j 0.000124167-0j 2.6883e-05-0j -0.000499542-0j 0.000236545-0j 0.0203114-0j -0.00298665-0j 0.000473652-0j -0.000140738-0j -0.00318977-0j 0.0379971-0j -3.04706e-05-0j 2.58681e-06-0j -0.000263282-0j -5.70022e-05-0j -0.0179925-0j -0.000530714-0j 0.00012467-0j 0.00338523-0j 2.69919e-05-0j -0.0360278-0j -2.19988e-05-0j 0.00633285-0j 0.00361546-0j 0.000249637-0j -2.93204e-06-0j 5.40479e-05-0j 8.52107e-09-0j 0.00676354-0j -5.48504e-06-0j 0.000601541-0j -0.00299875-0j 0.00112532-0j -0.0032027-0j 2.49346e-05-0j -0.00600463-0j 2.59729e-06-0j -0.000532864-0j 4.66458e-05-0j -0.00641301-0j -9.65824e-09-0j 5.20076e-06-0j -2.20879e-05-0j -1.80679e-08-0j -0.001067-0j 8.55559e-09-0j -4.42283e-05-0j 1.71315e-08-0j 
