-0.000483671-0j -0.000103582-0j -0.000949552-0j -0.00041958-0j -0.000828946-0j 0.000872286-0j -0.000715754-0j 0.00053821-0j -0.00126397-0j -0.00103682-0j 0.00142475-0j 0.000638739-0j 0.00066509-0j 0.00208046-0j -0.00216466-0j -0.000172703-0j 0.000363678-0j 0.00124207-0j -0.00033407-0j -0.000976733-0j 0.000822322-0j -0.000522858-0j -7.5076e-05-0j -0.000122086-0j -0.000597401-0j -0.00108174-0j -0.000716762-0j -0.00285973-0j 5.51777e-05-0j -0.000708402-0j 0.00106106-0j -0.000580077-0j 0.000120303-0j -9.4105e-05-0j 0.000531249-0j -0.000827428-0j 0.000978035-0j -0.000399799-0j -0.00122844-0j -0.000351858-0j 7.68548e-05-0j -0.00215427-0j 0.00204384-0j -0.000670969-0j 0.000658679-0j -0.00139043-0j -0.00101178-0j -0.00122794-0j 0.000535728-0j -0.000706206-0j 0.000863078-0j -0.000819146-0j 0.000417491-0j -0.000941297-0j 0.000103223-0j -0.000481274-0j 
4.95993e-18-0j 1.06221e-18-0j 9.73743e-18-0j 4.30269e-18-0j 8.50065e-18-0j -8.94509e-18-0j 7.33988e-18-0j -5.51921e-18-0j 1.29617e-17-0j 1.06323e-17-0j -1.46105e-17-0j -6.55012e-18-0j -6.82034e-18-0j -2.13346e-17-0j 2.21981e-17-0j 1.77103e-18-0j -3.72943e-18-0j -1.27372e-17-0j 3.4258e-18-0j 1.00162e-17-0j -8.43272e-18-0j 5.36179e-18-0j 7.69886e-19-0j 1.25197e-18-0j 6.1262e-18-0j 1.10929e-17-0j 7.35023e-18-0j 2.93258e-17-0j -5.65834e-19-0j 7.26449e-18-0j -1.08809e-17-0j 5.94855e-18-0j -1.23368e-18-0j 9.65024e-19-0j -5.44783e-18-0j 8.48508e-18-0j -1.00295e-17-0j 4.09984e-18-0j 1.25974e-17-0j 3.60822e-18-0j -7.88128e-19-0j 2.20915e-17-0j -2.09591e-17-0j 6.88063e-18-0j -6.75459e-18-0j 1.42586e-17-0j 1.03755e-17-0j 1.25922e-17-0j -5.49377e-18-0j 7.24197e-18-0j -8.85066e-18-0j 8.40015e-18-0j -4.28127e-18-0j 9.65277e-18-0j -1.05853e-18-0j 4.93535e-18-0j 
-0.000726376-0j -0.000155559-0j -0.00142604-0j -0.000630124-0j -0.00124491-0j 0.00131-0j -0.00107492-0j 0.000808282-0j -0.00189823-0j -0.00155709-0j 0.00213969-0j 0.000959257-0j 0.00099883-0j 0.00312442-0j -0.00325088-0j -0.000259366-0j 0.00054617-0j 0.00186534-0j -0.000501705-0j -0.00146685-0j 0.00123496-0j -0.000785227-0j -0.000112749-0j -0.000183349-0j -0.000897175-0j -0.00162455-0j -0.00107643-0j -0.00429473-0j 8.28657e-05-0j -0.00106388-0j 0.0015935-0j -0.000871159-0j 0.000180671-0j -0.000141327-0j 0.000797828-0j -0.00124263-0j 0.00146881-0j -0.000600417-0j -0.00184487-0j -0.00052842-0j 0.00011542-0j -0.00323528-0j 0.00306943-0j -0.00100766-0j 0.000989202-0j -0.00208815-0j -0.00151948-0j -0.00184411-0j 0.000804556-0j -0.00106058-0j 0.00129617-0j -0.00123019-0j 0.000626987-0j -0.00141364-0j 0.00015502-0j -0.000722776-0j 
-2.19791e-17-0j -4.70699e-18-0j -4.31498e-17-0j -1.90667e-17-0j -3.76692e-17-0j 3.96386e-17-0j -3.25255e-17-0j 2.44575e-17-0j -5.74377e-17-0j -4.71154e-17-0j 6.4744e-17-0j 2.90258e-17-0j 3.02232e-17-0j 9.45406e-17-0j -9.8367e-17-0j -7.84803e-18-0j 1.65263e-17-0j 5.64427e-17-0j -1.51809e-17-0j -4.43849e-17-0j 3.73682e-17-0j -2.37599e-17-0j -3.41162e-18-0j -5.54788e-18-0j -2.71472e-17-0j -4.91565e-17-0j -3.25713e-17-0j -1.29953e-16-0j 2.5074e-18-0j -3.21914e-17-0j 4.8217e-17-0j -2.636e-17-0j 5.46685e-18-0j -4.27634e-18-0j 2.41411e-17-0j -3.76002e-17-0j 4.44441e-17-0j -1.81678e-17-0j -5.58231e-17-0j -1.59892e-17-0j 3.49246e-18-0j -9.78948e-17-0j 9.28765e-17-0j -3.04903e-17-0j 2.99318e-17-0j -6.31845e-17-0j -4.59774e-17-0j -5.58001e-17-0j 2.43447e-17-0j -3.20916e-17-0j 3.92202e-17-0j -3.72238e-17-0j 1.89717e-17-0j -4.27746e-17-0j 4.69068e-18-0j -2.18702e-17-0j 
0.00159809-0j 0.000342243-0j 0.0031374-0j 0.00138633-0j 0.00273891-0j -0.0028821-0j 0.00236491-0j -0.00177829-0j 0.00417626-0j 0.00342573-0j -0.0047075-0j -0.00211045-0j -0.00219751-0j -0.006874-0j 0.00715221-0j 0.000570626-0j -0.00120162-0j -0.00410392-0j 0.00110379-0j 0.0032272-0j -0.00271702-0j 0.00172757-0j 0.000248057-0j 0.000403383-0j 0.00197386-0j 0.00357414-0j 0.00236824-0j 0.00944878-0j -0.000182312-0j 0.00234062-0j -0.00350583-0j 0.00191662-0j -0.000397492-0j 0.000310931-0j -0.00175529-0j 0.00273389-0j -0.00323151-0j 0.00132097-0j 0.00405887-0j 0.00116257-0j -0.000253935-0j 0.00711788-0j -0.006753-0j 0.00221694-0j -0.00217633-0j 0.00459411-0j 0.00334299-0j 0.0040572-0j -0.00177009-0j 0.00233336-0j -0.00285168-0j 0.00270652-0j -0.00137943-0j 0.00311012-0j -0.000341056-0j 0.00159017-0j 
-2.76887e-19-0j -5.92975e-20-0j -5.4359e-19-0j -2.40197e-19-0j -4.74547e-19-0j 4.99358e-19-0j -4.09748e-19-0j 3.08109e-19-0j -7.23586e-19-0j -5.93548e-19-0j 8.15628e-19-0j 3.65659e-19-0j 3.80744e-19-0j 1.191e-18-0j -1.2392e-18-0j -9.88676e-20-0j 2.08195e-19-0j 7.11051e-19-0j -1.91245e-19-0j -5.5915e-19-0j 4.70755e-19-0j -2.99321e-19-0j -4.29787e-20-0j -6.98907e-20-0j -3.41994e-19-0j -6.19261e-19-0j -4.10325e-19-0j -1.63711e-18-0j 3.15876e-20-0j -4.05539e-19-0j 6.07425e-19-0j -3.32077e-19-0j 6.887e-20-0j -5.38723e-20-0j 3.04124e-19-0j -4.73678e-19-0j 5.59896e-19-0j -2.28873e-19-0j -7.03246e-19-0j -2.01428e-19-0j 4.39971e-20-0j -1.23325e-18-0j 1.17003e-18-0j -3.8411e-19-0j 3.77074e-19-0j -7.95982e-19-0j -5.79211e-19-0j -7.02956e-19-0j 3.06688e-19-0j -4.04282e-19-0j 4.94086e-19-0j -4.68937e-19-0j 2.39001e-19-0j -5.38864e-19-0j 5.9092e-20-0j -2.75515e-19-0j 
0.000333378-0j 7.13955e-05-0j 0.000654494-0j 0.000289202-0j 0.000571365-0j -0.000601237-0j 0.000493345-0j -0.00037097-0j 0.000871213-0j 0.000714644-0j -0.000982034-0j -0.000440261-0j -0.000458424-0j -0.00143399-0j 0.00149203-0j 0.000119039-0j -0.000250671-0j -0.00085612-0j 0.000230263-0j 0.000673229-0j -0.000566799-0j 0.000360389-0j 5.17473e-05-0j 8.415e-05-0j 0.000411768-0j 0.000745604-0j 0.00049404-0j 0.00197112-0j -3.80321e-05-0j 0.000488277-0j -0.000731353-0j 0.000399828-0j -8.2921e-05-0j 6.48634e-05-0j -0.000366172-0j 0.000570319-0j -0.000674127-0j 0.000275568-0j 0.000846723-0j 0.000242524-0j -5.29735e-05-0j 0.00148486-0j -0.00140875-0j 0.000462476-0j -0.000454005-0j 0.00095838-0j 0.000697383-0j 0.000846374-0j -0.00036926-0j 0.000486764-0j -0.000594891-0j 0.00056461-0j -0.000287763-0j 0.000648804-0j -7.1148e-05-0j 0.000331726-0j 
0.00220499-0j 0.000472216-0j 0.00432888-0j 0.00191281-0j 0.00377906-0j -0.00397664-0j 0.00326303-0j -0.00245363-0j 0.00576228-0j 0.00472672-0j -0.00649526-0j -0.00291193-0j -0.00303206-0j -0.00948452-0j 0.0098684-0j 0.000787332-0j -0.00165796-0j -0.00566245-0j 0.00152298-0j 0.00445279-0j -0.00374886-0j 0.00238364-0j 0.000342261-0j 0.000556575-0j 0.00272347-0j 0.00493149-0j 0.00326762-0j 0.0130371-0j -0.000251548-0j 0.00322951-0j -0.00483723-0j 0.0026445-0j -0.000548446-0j 0.000429012-0j -0.00242189-0j 0.00377214-0j -0.00445873-0j 0.00182263-0j 0.0056003-0j 0.00160407-0j -0.000350371-0j 0.00982102-0j -0.00931758-0j 0.00305886-0j -0.00300283-0j 0.00633881-0j 0.00461255-0j 0.00559799-0j -0.00244231-0j 0.0032195-0j -0.00393466-0j 0.00373438-0j -0.00190329-0j 0.00429125-0j -0.000470579-0j 0.00219406-0j 
-0.0023486-0j -0.000502971-0j -0.00461082-0j -0.00203739-0j -0.00402518-0j 0.00423563-0j -0.00347554-0j 0.00261343-0j -0.00613757-0j -0.00503456-0j 0.00691828-0j 0.00310158-0j 0.00322953-0j 0.0101022-0j -0.0105111-0j -0.00083861-0j 0.00176594-0j 0.00603124-0j -0.00162217-0j -0.0047428-0j 0.00399302-0j -0.00253889-0j -0.000364552-0j -0.000592824-0j -0.00290085-0j -0.00525267-0j -0.00348044-0j -0.0138862-0j 0.000267931-0j -0.00343984-0j 0.00515227-0j -0.00281673-0j 0.000584166-0j -0.000456953-0j 0.00257963-0j -0.00401781-0j 0.00474912-0j -0.00194134-0j -0.00596504-0j -0.00170855-0j 0.00037319-0j -0.0104607-0j 0.00992442-0j -0.00325808-0j 0.0031984-0j -0.00675165-0j -0.00491296-0j -0.00596258-0j 0.00260138-0j -0.00342918-0j 0.00419092-0j -0.00397759-0j 0.00202725-0j -0.00457073-0j 0.000501227-0j -0.00233696-0j 
-5.42308e-17-0j -1.16139e-17-0j -1.06467e-16-0j -4.70446e-17-0j -9.29441e-17-0j 9.78035e-17-0j -8.02526e-17-0j 6.03458e-17-0j -1.4172e-16-0j -1.16251e-16-0j 1.59748e-16-0j 7.16175e-17-0j 7.4572e-17-0j 2.33267e-16-0j -2.42709e-16-0j -1.93641e-17-0j 4.07767e-17-0j 1.39265e-16-0j -3.74569e-17-0j -1.09514e-16-0j 9.22014e-17-0j -5.86245e-17-0j -8.41776e-18-0j -1.36887e-17-0j -6.69825e-17-0j -1.21288e-16-0j -8.03657e-17-0j -3.20642e-16-0j 6.1867e-18-0j -7.94282e-17-0j 1.18969e-16-0j -6.50401e-17-0j 1.34888e-17-0j -1.05514e-17-0j 5.95653e-17-0j -9.27739e-17-0j 1.0966e-16-0j -4.48267e-17-0j -1.37737e-16-0j -3.94515e-17-0j 8.61721e-18-0j -2.41543e-16-0j 2.29161e-16-0j -7.52312e-17-0j 7.38531e-17-0j -1.559e-16-0j -1.13444e-16-0j -1.3768e-16-0j 6.00676e-17-0j -7.9182e-17-0j 9.67711e-17-0j -9.18452e-17-0j 4.68105e-17-0j -1.05541e-16-0j 1.15737e-17-0j -5.3962e-17-0j 
-0.0061714-0j -0.00132165-0j -0.0121158-0j -0.00535363-0j -0.0105769-0j 0.0111299-0j -0.00913266-0j 0.00686728-0j -0.0161276-0j -0.0132293-0j 0.0181791-0j 0.00814999-0j 0.00848621-0j 0.0265456-0j -0.02762-0j -0.00220361-0j 0.00464034-0j 0.0158482-0j -0.00426256-0j -0.0124626-0j 0.0104924-0j -0.00667141-0j -0.000957932-0j -0.00155776-0j -0.00762253-0j -0.0138024-0j -0.00914552-0j -0.0364887-0j 0.00070404-0j -0.00903885-0j 0.0135386-0j -0.00740149-0j 0.00153501-0j -0.00120073-0j 0.00677846-0j -0.0105576-0j 0.0124792-0j -0.00510123-0j -0.0156743-0j -0.00448953-0j 0.000980629-0j -0.0274874-0j 0.0260783-0j -0.00856122-0j 0.00840441-0j -0.0177412-0j -0.0129097-0j -0.0156678-0j 0.00683562-0j -0.00901083-0j 0.0110124-0j -0.0104519-0j 0.00532698-0j -0.0120105-0j 0.00131707-0j -0.00614081-0j 
