-0.021048-0.0155261j 0.0063933+0.0370271j 0.0429476+0.0769592j 0.0187203+0.000203386j 0.00748686-0.0232886j -0.0137767+0.0110646j -0.00338219+0.0443361j -0.0652846+0.00758588j -0.0382669+0.0135784j -0.00512597-0.00333468j -0.0123482-0.0364343j 0.0120147-0.0130401j -0.00392167-0.00217153j -0.0418839-0.0227623j 0.0223977-0.000463173j 0.0245124+0.00749961j 0.0378946-0.00596411j -0.0148775-0.00588797j 0.01292+0.00216327j -0.0297238-0.00946918j 0.00262991-0.0152333j -0.0136293-0.0145404j -0.0090701-0.00515041j -0.0306381-0.0160178j -0.00685481-0.0037679j 0.0217426+0.0177296j -0.014799-0.0223806j 0.00813878+0.00289678j 0.00198459+0.00942449j -0.00166943-0.0333371j 0.00761131+0.0155496j -0.00652498+0.0159734j -0.00140586-0.0353509j -0.00650158+0.0253758j 0.00365354-0.00426872j 0.0418176-0.0132794j 0.00985403-0.0172388j 0.0199084+0.0330361j -0.0210353+0.0194646j -0.00333332-0.0262335j 0.0254964-0.0026577j -0.00581063+0.0167615j -0.0189783+0.00453582j -0.010595-0.00547516j -0.00579868+0.0155994j -0.00680302+0.00328284j -0.00936935+0.010366j -0.0207834-0.0102643j -0.0451545-0.0118486j 0.0206277-0.0025353j -0.0265358-0.012257j -0.0120298-0.0155981j -0.0405921-0.0205718j 0.0273026+0.00232522j 0.0286111+0.00536636j -0.0283983-0.0279602j -0.0114832-0.000189711j -0.0447893+0.00202688j -0.0217888-0.0024601j -0.0211199+0.0468433j -0.0141415+0.0334683j -0.025572+0.00294681j -0.0158443-0.00717358j 0.0253046-0.00675285j -0.0216084+0.0209619j -0.0163456-0.0173841j 0.0329567-0.00945834j -0.0201507-0.0149712j 0.0116427+0.00230943j 0.00358304-0.0339257j -0.0368111-0.0188058j -0.0170132+0.00973715j -0.0088077-0.0131125j 0.0165394-0.0634343j 0.000437028+0.00302979j 0.0362004-0.0267819j 0.0287439-0.00281343j 0.0194064-0.0128441j -0.00631051+0.0287029j 0.0343709-0.0164361j 0.0138957+0.0296689j -0.0057722-0.0206263j 0.0500966+0.0233195j -0.0401654+0.0361041j -0.0492433-0.0486041j 0.0384954-0.0485995j 0.0171521-0.0693644j -0.00192052+0.0252549j 0.0425908-0.0367603j -0.03469-0.0490718j -0.0887299+0.0184983j -0.0118219+0.0107238j -0.0191743-0.00559637j -0.00307062+0.105779j 0.177838-0.00379684j 0.00906812+0.0322976j 0.0285216+0.0164235j 
-0.00728296-0.0335232j -0.0191393-0.00549639j 0.0497689+0.00459285j -0.0128068-0.0541123j -0.0223939+0.00237167j -0.0122103+0.0121588j 0.0589739+0.0209604j -0.00899604+0.0183011j -0.0166772+0.0187534j -0.00488633+0.0379306j -0.0135195+0.00261995j 0.0104906-0.0109185j 0.0150409-0.0273869j -0.00318558-0.00808385j 0.000892092-0.0074785j 0.00948654+0.0145301j 0.0254402-0.0226203j -0.0158505+0.0211266j 0.00556205-0.0107025j -0.00472081-0.00379034j 0.0024813+0.00612072j 0.0109403-0.019143j 0.0119724-0.00371098j 0.00296792+0.00901505j -0.00179238-0.00166703j 0.027483-0.0237452j 0.00300745+0.0292792j -0.0212099+0.0278158j 0.000470321+0.0164473j 0.010003+0.000786646j 0.032215+0.00218175j 0.00446235-0.00279071j 0.0052402+0.0163817j -0.0317255-0.005422j 0.0160387+0.00916153j -0.00841878+0.0144164j 0.0119742+0.0260678j -0.00998493+0.012621j 0.00398128-0.00822381j 0.0133629-0.0249619j 0.00488277+0.0200633j -0.0220607+0.00834904j -0.00276831-0.000589626j -0.0175527-0.0190299j -0.0315464+0.00569575j 0.0041121+0.00422381j -0.00887505+0.00674872j 0.0133665-0.0225325j 0.00188399-0.0361555j -0.00569492+0.033958j 0.0240406+0.00650034j -0.0165399+0.0120045j -0.0307643+0.00623015j -0.000477879+0.00866841j -0.0147337+0.00396753j 0.00619362+0.000744j 0.0314804+0.0204703j 0.0187474-0.0424673j 0.010925-0.0155531j -0.00491894-0.0132693j 0.000838574-0.0202596j -0.0438852-0.0221511j 0.0087014-0.0189466j -0.0494269+0.0080399j 0.0250029+0.0032658j 0.0186766+0.00610462j 0.0143325+0.0114197j 0.0169242+0.00191804j -0.012819+0.00293073j 0.0232165-0.0118361j 0.0532851+0.00425918j -0.00854781-0.0353662j 0.0215365+0.0381554j 0.0385672-0.0127558j 0.0179006+0.0190643j 0.0329503-0.00135831j 0.0260771+0.0175739j 0.00427735+0.0294534j -0.0247805+0.0129034j 0.0199181-0.0374196j 0.00392371-0.0271503j -0.0294837-0.00166817j -0.0145457-0.0418664j -0.0100629-0.00318636j -0.0366468+0.0575876j -0.0503968-0.0198585j -0.0736389-0.00467462j 0.0237048-0.00569342j -0.048536+0.00653884j -0.0273966-0.0492943j -0.0081103+0.0871213j 0.0145561+0.0127351j -0.0191371+0.0133547j 0.132117+0.00806052j 0.00392227-0.13395j 0.0187277+0.0174075j -0.0077768-0.0467819j 
0.000427063+0.010427j 0.00691622+0.0111971j -0.0874987+0.0232539j 0.0235771+0.0244243j 0.0246693+0.00160389j -0.00251417-0.00475666j -0.0625876+0.00264676j 0.0288961+0.00239872j -0.0322419-0.0263526j -0.0131225-0.0440158j 0.0225186+0.0144771j -0.0502582+0.0138013j 0.0047832+0.0426241j 0.00756076+0.0468675j 0.00669404+0.0508174j -0.017706-0.0193691j -0.033049+0.00576832j -0.0277342-0.0233546j -0.00955819+0.0123937j 0.000941945+0.0118438j -0.0040968+0.00835162j -0.038329+0.0274134j 0.00153225-0.0150275j 0.000491871-0.0240193j 0.024194-0.00298094j -0.0379606+0.0222435j -0.00850439-0.0277193j 0.0063656-0.0156755j -0.0151231-0.000318499j -0.0121496+0.0161856j -0.0143956-0.0127955j 0.0157314+0.0182962j -0.00466167+0.00771029j 0.0334476+0.00937651j -0.0437512-0.018583j -0.0114738-0.0490325j 0.00573323-0.0130012j 0.0293285-0.0232172j 0.022072+0.00718398j -0.0341636+0.0450386j 0.00376376-0.0189727j 0.00918053+0.0142865j 0.00444635+0.00652046j 0.0146334-0.00842277j 0.0231562+0.00876998j 0.0350075-0.0291057j -0.0323067-0.0242951j -0.0115562-0.00905721j 0.00115088+0.0160007j 0.0231632+0.00489554j 0.00866467-0.0103869j 0.0311865-0.0064161j 0.051469-0.0154711j -0.0375077-0.00515772j 0.00393999-0.00305083j 0.0374664-0.0178784j -0.0331141-0.00916642j -0.024314-0.00144872j -0.00563214+0.0138699j 0.0102464+0.00280668j -0.0154235-0.0179468j 0.0431921+0.0303917j -0.0219923+0.00403454j 0.01845-0.00684483j 0.0408365-0.0237289j 0.0237009+0.00205287j -0.0659813+0.0131631j 0.0587439-0.0196919j 0.0375654+0.0106943j -0.0342963+0.0114161j -0.0165168+0.0322044j 0.00744239+0.00397634j 0.0358154+0.0357958j -0.0277582+0.00966099j -0.0315004-0.0280907j -0.0168602-0.00840505j -0.00715171-0.0368468j -0.0187803+0.0231641j -0.0228658+0.022042j 0.00689807+0.0244252j -0.00632019-0.0354934j -0.0256271-0.0335208j -0.0216643-0.0134198j 0.118813-0.0229652j 0.0351031-0.0151361j 0.0278769-0.0287222j -0.0576978-0.0611774j 0.0393101-0.0120022j -0.0267906-0.0858193j 0.133401-0.0497627j 0.015003-0.0417186j -0.0217232-3.49654e-05j -0.00218-0.0210578j 0.0103532+0.0393914j -0.031132+0.0319477j 0.0250102+0.00459468j -0.0198753-0.00165712j 
0.0184516+0.00349343j -0.00868179-0.0192964j -0.0642479-0.0369451j -0.0287562+0.0110749j 0.0362228+0.0272503j 0.0129509+0.0165873j -0.0144881-0.0482365j 0.0280858-0.0649283j 0.0455464-0.041358j 0.0645747+0.0235773j -0.0591632-0.000300158j -0.0206663+0.0299146j 0.0372235+0.0145206j 0.042107+0.0140511j -0.0418574-0.0868719j 0.0100466-0.0252822j -0.0607339+0.025215j 0.0826668-0.0270185j -0.0211118-0.0121615j 0.0791609+0.0278958j -0.022256+0.0198606j 0.00721335+0.04565j -0.0154479-0.0206231j 0.0098035+0.0643968j -0.0183286-0.0104939j -0.0215037-0.0203759j -0.0234298-0.00878149j -0.0622039-0.0590829j -0.0044613+0.000200376j -0.0150057+0.0418044j -0.00216652-0.0118283j 0.0219788-0.0402611j 0.0237051+0.0117381j 0.0222328-0.0662178j 0.0414343+0.022644j -0.00485475+0.022025j -0.0581241-0.000880397j 0.00918415-0.0145881j 0.0152503-0.015723j 0.0147354+0.0148561j -0.0271903+0.00998404j 0.00750952-0.0336076j 0.011486-0.0304585j -0.0381051-0.00189521j 0.00467099-0.0198927j -0.0187675+0.0396007j 0.0314534+0.0195133j 0.00897853+0.0485012j 0.0322225+0.0271813j -0.0455759-0.0414623j -0.0222922-0.0083649j 0.0392089+0.0125049j 0.0532837+0.022007j 0.00587752-0.0271152j -0.00784464+0.00321386j -0.0353092+0.0201052j 0.0329588-0.0276413j 0.0392168+0.0145805j 0.0200235-0.00654858j 0.0488274-0.0157036j 0.0211119-0.0404474j 0.0293621-0.0249319j 0.0576472+0.00112477j -0.0446791+0.00625586j -0.0408273-0.00623342j -0.00454676+0.0265479j -0.0536556-0.0215018j 0.00836444-0.0117888j -0.0240351-0.0191208j -0.00981328+0.0261797j 0.00467768-0.0419888j 0.026033-0.0139221j -0.00506279+0.0229984j 0.0320592+0.0683553j -0.00559932-0.00586725j -0.0280005+0.0344005j 0.0359659-0.0497376j -0.0705692+0.0368623j 0.0518012-0.0437198j -0.0596597+0.00867007j 0.00275527-0.00604961j -0.00748404-0.0347412j -0.0377972+0.00755133j 0.0190958-0.0126344j 0.00799944+0.0415279j -0.00822708+0.0880585j 0.0907787+0.02974j 0.0771068+0.017679j 0.02674+0.00130032j -0.00230412+0.0516536j 0.0505311-0.0113722j 0.00289511-0.0176462j 0.0308235+0.0133551j 0.00573448-0.017083j -0.0635673-0.017798j 0.0194343+0.0357367j 0.0262037-0.0255989j 
0.00328491+0.00247834j 0.0107678-0.00756868j 0.0457125+0.0266108j 0.0091128+0.0234102j 0.00632618+0.000187749j -0.0129621-0.0109341j -0.00487297+0.0452469j -0.0635944-0.000768999j 0.0605513-0.0149958j 0.0523704-0.0162864j -0.0294891+0.00844394j 0.0271627+0.0115986j 0.0249694+0.0315821j -0.0672808+0.019521j -0.00844489+0.0267146j -0.00748585+0.00218435j -0.0228958+0.0255973j 0.0204714-0.0436461j -0.00202657+0.00951463j -0.019614+0.0213597j -0.0457311-0.0195367j -0.0588577+0.00695567j -0.0214575-0.0483259j -0.0349835+0.0311102j -0.00375575-0.021814j 0.0215432+0.0663804j -0.0625357-0.0489795j -0.00731225+0.00928406j -0.00950088-0.0249223j -0.00240263+0.00627796j -0.0053674-0.0157293j -0.0220342-0.00822042j -0.0181056-0.0290209j 0.0233592+0.0336694j 0.0197031-0.00202411j 0.0268598-0.00896819j -0.0471611-0.0370124j -0.0107309+0.0368156j -0.0115795-0.00063244j 0.0277075-0.0288989j -0.0183436-0.0111702j 0.0246638-0.0335853j 0.0368733+0.0131779j 0.0126589+0.0260305j 0.0262378+0.0107782j -0.0159498-0.0464095j -0.0327666-0.00196615j -0.00804727+0.0640721j -0.0308814+0.0292087j 0.0256839-0.0520643j -0.0361122-0.0246709j 0.0432026+0.00134827j -0.0201873+0.00933203j 0.0179545-0.00311004j 0.0357649-0.000456766j -0.0228225-0.00600579j -0.0388853-0.0692061j -0.043593-0.00668716j -0.0475076+0.0121531j -0.0293185+0.0186845j 0.0330401-0.0198811j 0.0200703+0.0325752j 0.00961148+0.0181462j -0.0462544+0.0130271j -0.0715106-0.0165353j -0.0304571-0.0262429j 0.0289739-0.000896294j 0.0196072-0.0573721j 0.00198076+0.00954024j -0.0263669+0.0277285j -0.0504638+0.00862295j 0.0083253+0.0364837j -0.0267522+0.00902585j -0.00863281-0.0109628j 0.00137093+0.011793j -0.001075-0.0183279j -0.0522923-0.0279231j -0.0181203+0.00259859j 0.0344458-0.0467049j 0.026804+0.0460111j 0.0239247-0.0182897j -0.0106809+0.0423392j 0.0484358+0.0816024j -0.0689141+0.0624858j 0.0325893-0.0662292j 0.113122+0.0282299j 0.0691478-0.0455329j 0.0154469-0.0728369j 0.0307322+0.0616031j -0.0469127+0.0773481j 0.00640698-0.0131492j -0.00735821-0.0188726j 0.0105667-0.014102j -0.0440847-0.0471247j -0.00805978+0.0225167j 0.0157679-0.0359346j -0.0169665-0.0312018j 
0.0102846+0.026518j 0.00918098-0.00482402j -0.0171927-0.0127446j -0.0149868+0.0166075j 0.0221305-0.00422517j -0.00339472-0.00549503j -0.0446984-0.0107009j 0.00668798+0.0294092j 0.0172987-0.0508854j 0.056611-0.0332904j 0.00656174-0.0119815j 0.0118448+0.0106341j -0.00312894+0.041166j -0.0790236+0.0460772j 0.0164034+0.100326j -0.0465557+0.0320788j -0.0530217+0.00918949j 0.0198052-0.0143984j -0.0382507+0.00670402j -0.0416679+0.0261619j -0.0149291-0.0115739j -0.0349606+0.021363j -0.0298735-0.0379291j -0.012925+0.0148602j -0.00744987-0.0353768j -0.00912906+0.0883267j -0.0114919-0.00861868j 0.0489645+0.0605176j 0.0215595-0.00949016j 0.0171922-0.0374908j 0.00971952+0.023267j -0.0050424-0.00700909j -0.0558041-0.0494994j 0.0665599+0.0223137j -0.0105146+0.00955475j -0.0206326-0.0528293j -0.0055992-0.0320607j 0.00936153+0.0216634j 0.0287584-0.0272147j 0.00760879+0.0233688j 0.00184245+0.00723037j 0.0581443-0.021564j 0.022596+0.0317547j 0.0463555+0.0132168j 0.0206767+0.0204447j 0.0425393-0.0473588j 0.0589092-0.00296757j -0.00912691+0.0262741j 0.00880546+0.0594571j 0.0236737-0.0558753j -0.0176551-0.00163491j -0.00631116-0.0174461j -0.0113596-0.0245083j 0.00978946+0.0207937j -0.0228213-0.0200091j -0.0157601-0.0137346j 0.0087217-0.0231729j -0.0466443-0.0318589j 0.0144294+0.0125508j -0.00557407-0.036377j -0.027748+0.031801j -0.0181168+0.0443909j -0.0356926-0.0158286j -0.0115722+0.0520068j -0.022555-0.00225507j -0.00260442-0.00165426j 0.0881702+0.0375289j -0.0171494-0.00216212j -0.0339966+0.0249328j 0.0131635-0.0158193j 0.0190695+0.0200361j -0.0459756+0.0390013j -0.00581476-0.0435142j -0.0671272-0.0244052j 0.0509407-0.00394386j 0.0110414-0.0297388j -0.0684917+0.00479009j 0.0203846+0.0368902j -0.0621097-0.0368101j 0.0035591-0.0119253j 0.0596634+0.00862455j 0.0373083+0.00516776j 0.00141094+0.0635855j 0.00553762+0.0776334j -0.0679751-0.0199483j 0.0219378-0.0180927j -0.0165184-0.0466252j -0.085358+0.000822516j 0.108005-0.0503526j 0.0392273+0.0788647j 0.00212592-0.0701559j -0.0196324-0.00779665j -0.00871159-0.0212965j -0.0479312+0.00317266j 0.0135346+0.0573655j -0.000129428-0.00515168j 0.0188403+0.00962654j 
-0.0208659+0.0108708j 0.0107491+0.0158361j 0.122876-0.0468253j -0.00813709+0.00135501j -0.0780827-0.00303147j 0.00447897-0.0508747j 0.0484583-0.0122736j -0.0295607+0.00887082j 0.0251969+0.0786854j -0.0968295+0.107584j 0.117391-0.0758713j 0.141064-0.117408j -0.127681-0.0902541j -0.0224888-0.170808j 0.0440272-0.00115346j 0.0280868+0.0862218j 0.182085+0.0548927j -0.169075+0.0591916j -0.0145573-0.0353934j -0.0461566-0.0678644j 0.0078907-0.0827743j 0.10103-0.125343j 0.0125847+0.209263j 0.0389621-0.0650308j -0.0233431+0.0757353j 0.0584805-0.0641602j 0.122614+0.0106304j 0.135904+0.0709321j 0.0577256-0.0751763j 0.0364863-0.00244232j -0.0287669+0.0200979j -0.119565+0.0855625j -0.0654665+0.0262465j -0.0752657+0.0255891j -0.00752332-0.0484014j -0.0444657+0.0482385j 0.0127003+0.0166927j -0.0221569+0.00859431j -0.0224388+0.0442367j 0.0483934-0.0680515j 0.00879929+0.00133569j -0.00595194+0.0118081j 0.0119556+0.00513164j -0.0095101+0.0460659j 0.01885+0.0128743j -0.0236206-0.0689062j 0.0409227+0.0161581j 0.0226996+0.00221693j -0.0284887+0.00999875j -0.00222819-0.0195038j 0.0260878-0.00185144j -0.012877-0.00276596j -0.0711374+0.00026838j 0.0404448-0.0114622j 0.0129593-0.000667399j 0.00480748+0.0295958j -0.0250696-0.0202277j -0.0209253-0.00800929j -0.0480916-0.0132651j -0.0636485+0.00613351j -0.0231223+0.00209934j -0.0107608-0.0186271j 0.00204234+0.00121287j -0.0361588-0.0145851j 0.0309319-0.0159858j -0.0194543-0.0212532j 0.036309-0.0100499j -0.0811441+0.0176462j -0.00760806-0.0418847j 0.0467158-0.00796118j -0.0106931-0.0239271j -0.00867859-0.0517783j -0.0106288-0.0201286j 0.013921+0.0205177j 0.0250498+0.0413417j -0.0174484+0.0222316j -0.0645315+0.0382508j -0.0361263-0.0454697j 0.00743007-0.0364553j 0.0388386-0.0326241j 0.0324704+0.0672256j 0.0299287+0.0222321j -0.00416075-0.0179397j -0.0255869+0.0462987j -0.00120904-0.0100111j 0.00117962+0.0169341j 0.00968686+0.0259817j -0.0262519+0.00395096j 0.0157449+0.045171j -0.0190313+0.0200084j 0.00437818+0.0247832j -0.00683016-0.0142255j -0.00280519-2.83836e-05j 0.00099894-0.022839j 0.0451092-0.00507235j 0.0105409-0.0125125j 0.0178936+0.00938508j 
-0.00776948-0.0152773j -0.0197358-0.00175182j -0.0200732-0.057789j -0.0111233-0.0246068j 0.0146186-0.000749843j 0.0566332+0.0134582j -0.0284818-0.112963j -0.0697003-0.0535507j 0.091265+0.0812807j 0.105792+0.122905j -0.0518452-0.0802832j 0.117687+0.022045j 0.167033-0.0935932j -0.0210964-0.0247992j -0.142892-0.270098j 0.0169891+0.0981811j -0.0112488+0.179474j -0.0596004-0.0610727j -0.222449-0.0705929j 0.316892+0.0951465j -0.195573-0.0681405j 0.0334742+0.120513j -0.000217355+0.222953j -0.0997596+0.129044j -0.100612+0.0280231j -0.10466-0.0721819j -0.0579567+0.0107523j -0.0561629-0.0920657j -0.072741-0.0620626j -0.0312308+0.0871345j -0.000988217-0.0168171j 0.0563457+0.0480371j 0.114308+0.0160659j 0.0748138+0.0563482j 0.0928685+0.0355678j 0.0210578+0.0272825j -0.0693083+0.00949914j -0.0698395-0.0239801j -0.0475839-0.000513764j -0.0386774-0.0777481j -0.0487813+0.071835j 0.014326-0.00927459j -0.0342502-0.00689422j -0.022289-0.0708312j -0.019045-0.0249035j -0.0777479-0.00946429j 0.0423941-0.0105703j -0.0103072+0.033769j -0.0158837-0.0224157j -0.00211528-0.011114j -0.0310034+0.00266179j 0.023242+0.0136294j -0.0265129-0.0067446j 0.0431128+0.0200493j -0.0591569-0.0264765j 0.0082681+0.00313851j -0.0146022-0.0233543j 0.0573107+0.0105427j -0.0373204-0.0175296j 0.00425436-0.00829012j -0.0376237+0.00641919j 0.00719346+0.0189294j 0.00179525+0.00575685j 0.0166757-0.00654276j -0.000119793-0.0227252j -0.0352111+0.0232886j 0.0515582-0.0107866j 0.0557546+0.0164437j -0.0732746-0.0072523j -0.0356095+0.0464676j -0.00510553+0.0397818j 0.0204017+0.0158991j -0.0145975-0.0272686j -0.00515081+0.0140167j 0.0357599+0.0584707j -0.004039-0.0370678j -0.0074434-0.0628927j -0.0441334-0.0163075j 0.0347564+0.0255552j -0.0285894+0.0148189j 0.0399649-0.0183288j 0.00143239+0.00121178j -0.012667-0.0421489j -0.0364724-0.0289966j -0.00378435-0.0154831j 0.0151685+0.0242677j 0.0446397+0.0130849j -0.0272994-0.0114883j 0.0171984-0.00568002j -0.0502218-0.0303147j 0.0475356-0.0408405j -0.0012814+0.0101448j 0.00601899-0.00370151j -0.00417537-0.0126369j -0.0335222+0.00511756j -0.0179643+0.000296111j -0.0201239+0.000624018j 
-0.000374352+0.00183594j 0.000772836+0.000741275j -0.0282343+0.00439299j -0.0167901-0.0144312j -0.0110225+0.0132996j 0.00611859+5.95222e-05j 0.0356906-0.0708928j 0.0213073-0.0796652j -0.0725398-0.0540096j -0.0655624+0.0452971j -0.097335+0.0693484j -0.0919288-0.0168232j -0.124899-0.0359831j 0.257007-0.179465j -0.0529208-0.311915j 0.151933-0.247115j 0.0755904-0.111962j 0.144986-0.0434089j 0.243471-0.00298828j -0.0201908-0.153023j 0.148822+0.0793575j 0.178514-0.0580081j -0.00395515+0.00840627j 0.215547-0.0434862j 0.012919+0.0376123j 0.135666-0.203772j 0.00162148+0.0565162j -0.105803-0.307957j -0.0104541-0.0273428j -0.0531078+0.0779074j -0.0938071+0.107108j 0.0158993-0.0304266j -0.0798344+0.0474573j 0.050082-0.0381558j -0.03722+0.0424998j 0.0638126+0.0481716j -0.0105547-0.0422956j 0.0921265-0.0648557j -0.0376439+0.0896604j 0.0155874+0.0127847j -0.0505464-0.0261884j 0.00118296+0.0560064j -0.0559882-0.0784176j -0.0475122-0.0973186j 0.0156718-0.0238089j -0.0205433-0.018037j -0.0381064+0.0374656j 0.0127607-0.0406173j -0.0176965+0.0232968j 0.0217196-0.0186383j 0.0221163-0.0195483j -0.00968374-0.0275621j 0.0779849-0.0498298j 0.0149348+0.055346j 0.0425879-0.0133091j -0.0192332+0.0540579j -0.0273925-0.0126115j 0.010786+0.00639149j 0.0276748-0.0269759j -0.00172813+0.0121997j 0.0141864+0.0168963j -0.0134557+0.0323193j 0.00786424-0.0176061j 0.0269785-0.000323976j -0.0116087+0.00935103j -0.00584346+0.0295669j -0.0200827-0.0290586j -0.0190923+0.0241948j 0.00234241-0.0203311j 0.0256559-0.0116571j -0.0212792-0.0388351j -0.00493647-0.0092463j -0.0286132+0.0017607j -0.0171041-0.0185573j 0.0137781+0.00273289j -0.0101188+0.0336585j 0.0334958-0.00477414j 0.0158497-0.0485136j 0.015787-0.00675375j -0.00389184-0.0156136j -0.0182778+0.0250528j 0.0144823+0.00356627j 0.0250459-0.00584381j -0.00285046-0.0263062j 0.00272155-0.0165868j -0.00276718-0.0077375j 0.0148805+0.0345328j -0.00265268+0.00478937j 0.000309872+0.015368j 0.0113293+0.0131595j -0.0125776-0.0220409j -0.0030278+0.0112756j -0.000835686-0.00870678j -0.0264391-0.0126381j -0.00565053-0.00199341j 0.00427409-0.00202913j -0.0180163-0.0001727j 
0.00226094+0.00748776j 0.0111086+0.0172244j -0.0536883-0.00539747j 0.0561474+0.0113176j -0.0196571-0.0236733j -0.00464252-0.0474527j -0.0788017+0.017741j 0.0163593-0.0146783j -0.0284553+0.0610321j -0.0522813+0.095724j 0.087577-0.110658j 0.0595455-0.0967631j -0.0287677-0.0199786j 0.0114962-0.0969653j -0.00519311-0.0725989j 0.0136417+0.123542j 0.128369+0.124006j -0.185921+0.0250735j -0.141889-0.053301j 0.0962374-0.00186237j -0.0465527-0.0900276j 0.0852896-0.0219253j 0.0138265+0.314266j 0.0443927-0.0899528j 0.0061246+0.150627j -0.0825941-0.127525j 0.0913441-0.00844076j 0.114243-0.00302565j 0.132463-0.0782953j 0.033432+0.0606269j -0.00117152+0.0368569j -0.114277+0.11248j 0.0116733+0.0472441j 0.0638468+0.0303218j -0.00887307-0.0823828j -0.0779134-0.116318j 0.0262127+0.000350635j 0.0590705-0.0381748j 0.0717403+0.0591955j -0.112637+0.0644659j 0.0633471-0.0845187j -0.0216169+0.0580315j -0.00346812-0.0526992j 0.0154281+0.0178084j 0.0182724+0.0358961j 0.11298-0.0406506j 0.00802519-0.0200359j -0.0123419-0.0485083j 0.000716522+0.0128788j -0.00200107-0.0620329j -0.0117649-0.02985j -0.0088396-0.0594098j 0.0125341-0.0379383j -0.00365934+0.0283429j -0.00888328-0.0184922j -0.0675751-0.0113583j 0.0263748+0.00514939j -0.00249644+0.0100467j 0.00530851-0.0155836j 0.0215604+0.0264057j -0.00741962-0.0127317j 0.0292382-0.00474858j -0.000940389-0.00548157j -0.0216728+0.0253293j 0.0331712+0.0239449j 0.0188423-0.0096066j -0.0263228-0.0149302j -0.0231328+0.0118083j 0.0539415-0.00247224j 0.00688201+0.00355033j -0.0168489-0.0229238j 0.0174231-0.00919097j 0.00890451-0.00300471j -0.025022-0.0361123j -0.00549653-0.0389399j 0.0322028+0.00201007j 0.0190954+0.0429799j 0.0251396-0.0326187j -0.00857182+0.0180952j 0.0323586+0.0228696j 0.0169588-0.00619497j 0.00199543-0.0232735j -0.0300276+0.0114504j -0.00158536-0.00596961j 0.0324582-0.0104121j -0.0220093-0.0177841j -0.0411544-0.0133973j 0.00669015+0.0361177j -0.00254513-0.0115624j 0.0668169-0.0109573j -0.0508412+0.0187906j -0.000927665-0.00788028j -0.0205116-0.00487094j -0.00166173+0.0086j 0.0325973+0.0112147j 0.0266951+0.00537103j 0.00647717-0.0106661j 
0.00120106-0.00487129j 0.00036512+0.00842353j -0.00559013+0.0383737j 0.0165307+0.0246833j 0.0187048-0.0482578j 0.0220746+0.0125258j 0.000613351+0.0673305j -0.0153281-0.0775205j -0.00513555-0.0727457j 0.117255-0.0269149j -0.102185+0.021042j 0.0271166+0.00441427j 0.131691-0.0239834j 0.0024708+0.0173568j -0.126857-0.160163j 0.031399+0.0251352j -0.0884648+0.0557212j 0.0161961-0.080131j -0.0870817-0.0118882j 0.145907+0.10734j -0.122053-0.0204309j -0.0163365+0.0640686j -0.0192875-0.0646582j -0.0903843+0.0250078j -0.00491788-0.00234201j -0.084883-0.10141j -0.12388+0.0270073j -0.103171-0.0897255j -0.0744221+0.0397018j -0.0113095-0.0541482j -0.0378314-0.00396822j 0.116002-0.0987007j -0.0250303+0.0114544j 0.107176+0.06805j 0.0571585+0.015191j 0.142649+0.0178006j 0.0732254-0.0557828j -0.0906097+0.0948641j 0.0229161+0.0389565j 0.0152388-0.0646296j 0.0343197-0.190502j -0.0198637+0.0335996j -0.0775959-0.124522j -0.0124305+0.00532275j -0.0184508+0.0523705j -0.0118507-0.0271034j -0.169714+0.0252648j 0.017462-0.0226345j -0.0178221-0.00277877j -0.0403328+0.0212696j 0.0546121+0.00498805j -0.0203281-0.039286j -0.0673813+0.0314611j 0.0875383+0.0400665j -0.00208276+0.0109718j 0.00650372-0.0138567j 0.0399914-0.0188574j -0.0802645+0.00496945j 0.038266-0.0686647j -0.0409499+0.0400083j -0.0398048-0.00754736j 0.00237399-0.058052j -0.0118724-0.0159424j -0.0591732-0.0134183j 0.0229706+0.00012784j 0.0814919-0.00808077j -0.0465409-0.017884j -0.0372559-0.0161535j 0.0222927-0.0164964j -0.0337404-0.0491844j 0.00557299-0.0524527j -0.0104156-0.0317669j -0.0470753+0.0391477j 0.011089-0.0326213j -0.0282394-0.000115512j 0.0130133+0.068505j 0.0198323+0.118908j -0.0332238+0.0162102j -0.0131554-0.0503595j -0.010374-0.00725737j 0.0153547+0.0225443j 0.0311082+0.0259513j -0.000996066+0.079231j 0.0316211+0.045776j 0.0425521+0.028883j -0.0325769-0.0267996j -0.0236074-0.0140397j 0.0541077+0.0260144j -0.0236623+0.0259037j 0.0666596+0.037382j -0.0850412+0.103306j -0.00643568+0.0121484j -0.0128783+0.0261073j 0.0126061+0.00703751j 0.0617219-0.0305627j 0.0052174-0.00902818j 0.00584468+0.01371j 
