8.81966e-05-0j 7.12736e-05-0j 5.1448e-05-0j -0.00148642-0j -0.00130061-0j -0.00127407-0j -0.000910241-0j -0.000536476-0j 0.0101558-0j 0.0124383-0j 0.00888634-0j 0.0102611-0j 0.00733085-0j -0.000493783-0j -0.000604758-0j -0.00043206-0j -0.0004989-0j -0.000356431-0j -0.000535364-0j 0.011011-0j 0.00234224-0j -0.000113882-0j 
-0.000748373-0j -0.000604777-0j -0.000436551-0j 0.00414579-0j 0.00362757-0j 0.00355354-0j 0.00253877-0j 0.0014963-0j 0.000600931-0j 0.000735987-0j 0.000525815-0j 0.000607158-0j 0.000433775-0j 0.00842332-0j 0.0103164-0j 0.00737041-0j 0.00851061-0j 0.00608028-0j 0.00913265-0j 0.000651535-0j 0.000138593-0j 0.00194268-0j 
-0.000864146-0j -0.000698336-0j -0.000504085-0j 0.0096755-0j 0.00846606-0j 0.00829328-0j 0.00592501-0j 0.00349207-0j -0.0324724-0j -0.0397705-0j -0.0284134-0j -0.0328089-0j -0.0234398-0j -5.02844e-05-0j -6.15856e-05-0j -4.39989e-05-0j -5.08055e-05-0j -3.62972e-05-0j -5.45189e-05-0j -0.0352069-0j -0.00748914-0j -1.15971e-05-0j 
0.00598698-0j 0.00483821-0j 0.00349241-0j 0.000701153-0j 0.000613509-0j 0.000600989-0j 0.000429367-0j 0.00025306-0j 5.02844e-05-0j 6.15856e-05-0j 4.39989e-05-0j 5.08055e-05-0j 3.62972e-05-0j -0.0335191-0j -0.0410524-0j -0.0293292-0j -0.0338665-0j -0.0241954-0j -0.0363417-0j 5.45189e-05-0j 1.15971e-05-0j -0.00773054-0j 
1.23497e-05-0j 0.000701153-0j -0.000990626-0j -6.84144e-05-0j 0.00408593-0j -0.00411982-0j -0.00294334-0j 0.00510546-0j -0.000696695-0j -1.21453e-05-0j -8.67706e-06-0j 0.000683876-0j 0.000984327-0j -0.00485759-0j -8.46814e-05-0j -6.04993e-05-0j 0.00476821-0j 0.00686305-0j -0.00526664-0j -0.000755363-0j 0.000631282-0j 0.0044015-0j 
0.00733253-0j 0.00592558-0j 0.00427731-0j -0.0406203-0j -0.0355428-0j -0.0348174-0j -0.0248747-0j -0.0146606-0j -0.0058879-0j -0.00721117-0j -0.00515191-0j -0.00594891-0j -0.00425011-0j 0.000426678-0j 0.000522571-0j 0.000373343-0j 0.000431099-0j 0.000307992-0j 0.000462608-0j -0.00638371-0j -0.00135793-0j 9.8405e-05-0j 
-4.0256e-06-0j -3.25318e-06-0j -2.34827e-06-0j 0.00011339-0j 9.92161e-05-0j 9.71913e-05-0j 6.94368e-05-0j 4.09246e-05-0j -0.00156141-0j -0.00191233-0j -0.00136623-0j -0.00157759-0j -0.00112709-0j -2.34249e-07-0j -2.86895e-07-0j -2.04968e-07-0j -2.36676e-07-0j -1.6909e-07-0j -2.53975e-07-0j -0.0016929-0j -0.000360109-0j -5.4025e-08-0j 
-1.02914e-06-0j -5.84294e-05-0j 8.25522e-05-0j 1.73446e-05-0j -0.00103588-0j 0.00104447-0j 0.000746207-0j -0.00129435-0j -0.00832564-0j -0.000145139-0j -0.000103693-0j 0.00817245-0j 0.0117629-0j -4.20728e-06-0j -7.33446e-08-0j -5.23999e-08-0j 4.12986e-06-0j 5.94426e-06-0j -4.56157e-06-0j -0.00902674-0j 0.00754394-0j 3.81225e-06-0j 
9.09644e-08-0j 5.16448e-06-0j -7.29665e-06-0j -2.04764e-06-0j 0.000122292-0j -0.000123306-0j -8.80941e-05-0j 0.000152806-0j 0.0014821-0j 2.58371e-05-0j 1.84589e-05-0j -0.00145483-0j -0.00209398-0j -3.57795e-05-0j -6.23737e-07-0j -4.45619e-07-0j 3.51212e-05-0j 5.05512e-05-0j -3.87925e-05-0j 0.0016069-0j -0.00134294-0j 3.24201e-05-0j 
-1.09157e-06-0j -6.19738e-05-0j 8.75598e-05-0j 1.22219e-05-0j -0.000729932-0j 0.000735987-0j 0.000525815-0j -0.000912067-0j -0.00288177-0j -5.02373e-05-0j -3.58912e-05-0j 0.00282874-0j 0.00407151-0j 0.00086317-0j 1.50475e-05-0j 1.07504e-05-0j -0.000847288-0j -0.00121953-0j 0.000935858-0j -0.00312444-0j 0.00261119-0j -0.000782127-0j 
1.06952e-05-0j 0.000607217-0j -0.000857908-0j -0.00011975-0j 0.00715184-0j -0.00721117-0j -0.00515191-0j 0.00893639-0j 0.0282354-0j 0.000492223-0j 0.000351661-0j -0.0277159-0j -0.0398925-0j 4.37233e-05-0j 7.6222e-07-0j 5.44556e-07-0j -4.29188e-05-0j -6.17746e-05-0j 4.74052e-05-0j 0.0306131-0j -0.0255844-0j -3.96181e-05-0j 
-7.40984e-05-0j -0.00420692-0j 0.00594376-0j -8.67789e-06-0j 0.000518272-0j -0.000522571-0j -0.000373343-0j 0.000647593-0j -4.37233e-05-0j -7.6222e-07-0j -5.44556e-07-0j 4.29188e-05-0j 6.17746e-05-0j 0.0291455-0j 0.000508088-0j 0.000362996-0j -0.0286092-0j -0.0411783-0j 0.0315998-0j -4.74052e-05-0j 3.96181e-05-0j -0.026409-0j 
-0.045438-0j -0.0367194-0j -0.0265055-0j -0.00532138-0j -0.00465621-0j -0.00456118-0j -0.00325867-0j -0.00192059-0j -0.000381632-0j -0.000467402-0j -0.000333928-0j -0.000385587-0j -0.000275477-0j -0.00264402-0j -0.00323826-0j -0.00231352-0j -0.00267142-0j -0.00190856-0j -0.00286668-0j -0.000413769-0j -8.80161e-05-0j -0.000609793-0j 
-9.37279e-05-0j -0.00532138-0j 0.00751833-0j 0.000519228-0j -0.03101-0j 0.0312673-0j 0.0223384-0j -0.0387477-0j 0.00528754-0j 9.21767e-05-0j 6.58542e-05-0j -0.00519025-0j -0.00747052-0j -0.000383172-0j -6.67976e-06-0j -4.77225e-06-0j 0.000376122-0j 0.000541365-0j -0.000415438-0j 0.0057328-0j -0.00479109-0j 0.000347196-0j 
-4.9399e-05-0j -0.00280461-0j 0.00396251-0j -5.78526e-06-0j 0.000345515-0j -0.000348381-0j -0.000248895-0j 0.000431728-0j -2.91489e-05-0j -5.08147e-07-0j -3.63037e-07-0j 2.86125e-05-0j 4.11831e-05-0j -0.000201949-0j -3.52054e-06-0j -2.5152e-06-0j 0.000198233-0j 0.000285325-0j -0.000218955-0j -3.16035e-05-0j 2.64121e-05-0j 0.000182988-0j 
4.36629e-06-0j 0.000247895-0j -0.000350239-0j 5.11349e-07-0j -3.05395e-05-0j 3.07928e-05-0j 2.19994e-05-0j -3.81598e-05-0j 2.57642e-06-0j 4.49142e-08-0j 3.20883e-08-0j -2.52901e-06-0j -3.6401e-06-0j -0.00518795-0j -9.04405e-05-0j -6.46138e-05-0j 0.00509249-0j 0.00732981-0j -0.00562482-0j 2.79338e-06-0j -2.33452e-06-0j 0.00470085-0j 
-3.39004e-09-0j -1.92469e-07-0j 2.7193e-07-0j 1.14665e-07-0j -6.84816e-06-0j 6.90497e-06-0j 4.93315e-06-0j -8.55694e-06-0j -0.000138856-0j -2.42065e-06-0j -1.7294e-06-0j 0.000136301-0j 0.000196183-0j -1.38589e-08-0j -2.416e-10-0j -1.72607e-10-0j 1.36039e-08-0j 1.95806e-08-0j -1.5026e-08-0j -0.000150549-0j 0.000125819-0j 1.25577e-08-0j 
0.000592787-0j 0.0336554-0j -0.0475501-0j 6.94231e-05-0j -0.00414617-0j 0.00418057-0j 0.00298674-0j -0.00518074-0j 0.000349786-0j 6.09776e-06-0j 4.35645e-06-0j -0.00034335-0j -0.000494197-0j 0.00242339-0j 4.22465e-05-0j 3.01824e-05-0j -0.0023788-0j -0.00342389-0j 0.00262746-0j 0.000379242-0j -0.000316945-0j -0.00219586-0j 
